* Measurement data measured by REW V5.30
* Source: EXCL: Q5K Mic (Qudelix-5K USB DAC/MIC 48KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Feb 25, 2024 3:13:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 7A Supernova (AET07) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 91.719 -177.8956
20.600000 91.726 -178.5067
20.900000 91.731 -179.1650
21.200001 91.735 -179.8275
21.400000 91.738 179.7281
21.799999 91.745 178.8324
22.000000 91.749 178.3838
22.400000 91.756 177.4956
22.700001 91.760 176.8449
23.000000 91.763 176.2107
23.299999 91.766 175.5916
23.600000 91.768 174.9833
24.000000 91.769 174.1809
24.299999 91.768 173.5819
24.700001 91.766 172.7866
25.000000 91.763 172.1946
25.400000 91.760 171.4152
25.799999 91.757 170.6494
26.200001 91.754 169.8974
26.500000 91.752 169.3419
26.900000 91.748 168.6115
27.200001 91.745 168.0709
27.600000 91.739 167.3581
28.000000 91.732 166.6519
28.500000 91.722 165.7749
29.000000 91.712 164.9046
29.500000 91.702 164.0473
30.000000 91.691 163.2098
30.400000 91.681 162.5548
30.700001 91.673 162.0704
31.100000 91.662 161.4301
31.500000 91.651 160.7932
32.000000 91.635 160.0016
32.500000 91.618 159.2197
33.000000 91.602 158.4526
33.500000 91.586 157.7012
34.000000 91.572 156.9626
34.500000 91.556 156.2341
35.000000 91.539 155.5152
35.500000 91.522 154.8045
36.000000 91.504 154.0984
36.500000 91.486 153.3944
37.000000 91.468 152.6948
37.500000 91.449 152.0061
38.200001 91.421 151.0652
38.700001 91.402 150.4030
39.500000 91.369 149.3462
40.000000 91.347 148.6923
40.599998 91.320 147.9247
41.200001 91.294 147.1754
41.799999 91.269 146.4354
42.500000 91.238 145.5783
43.099998 91.211 144.8511
43.700001 91.183 144.1317
44.400002 91.151 143.3011
45.000000 91.124 142.5992
45.500000 91.101 142.0242
46.200001 91.069 141.2345
46.799999 91.042 140.5679
47.500000 91.009 139.7960
48.200001 90.977 139.0266
48.700001 90.954 138.4794
49.400002 90.921 137.7207
50.000000 90.892 137.0801
50.799999 90.853 136.2392
51.500000 90.820 135.5138
52.200001 90.787 134.7945
53.000000 90.750 133.9743
53.799999 90.712 133.1612
54.500000 90.677 132.4669
55.200001 90.643 131.7892
56.000000 90.605 131.0221
57.000000 90.558 130.0678
58.000000 90.510 129.1299
59.000000 90.461 128.2034
60.000000 90.413 127.2829
60.799999 90.376 126.5535
61.500000 90.344 125.9210
62.200001 90.311 125.2958
63.000000 90.272 124.5916
64.000000 90.225 123.7228
65.000000 90.179 122.8644
66.000000 90.131 122.0168
67.000000 90.083 121.1821
68.000000 90.037 120.3564
69.000000 89.993 119.5386
70.000000 89.948 118.7380
71.000000 89.902 117.9479
72.000000 89.856 117.1636
73.000000 89.811 116.3859
74.000000 89.766 115.6122
75.000000 89.721 114.8447
76.199997 89.667 113.9318
77.500000 89.611 112.9549
78.800003 89.555 111.9958
80.000000 89.503 111.1243
81.199997 89.453 110.2604
82.500000 89.398 109.3419
83.800003 89.342 108.4442
85.000000 89.292 107.6183
86.199997 89.242 106.7977
87.500000 89.188 105.9219
88.500000 89.148 105.2540
90.000000 89.087 104.2638
91.199997 89.040 103.4852
92.500000 88.989 102.6412
93.800003 88.938 101.8051
95.000000 88.892 101.0465
96.199997 88.846 100.2950
97.500000 88.796 99.4837
98.800003 88.746 98.6792
100.000000 88.701 97.9475
101.500000 88.647 97.0481
103.000000 88.592 96.1580
104.400002 88.541 95.3320
106.000000 88.483 94.3999
107.500000 88.432 93.5349
109.000000 88.381 92.6725
110.599998 88.325 91.7620
112.000000 88.277 90.9719
113.800003 88.216 89.9705
115.000000 88.177 89.3154
117.199997 88.104 88.1255
118.000000 88.078 87.6917
120.599998 87.994 86.2936
122.000000 87.949 85.5583
124.099998 87.882 84.4657
125.000000 87.853 84.0034
126.500000 87.807 83.2412
128.000000 87.761 82.4899
131.500000 87.655 80.7733
132.000000 87.640 80.5290
134.000000 87.579 79.5558
136.000000 87.520 78.5909
138.000000 87.461 77.6446
140.000000 87.403 76.7199
143.000000 87.315 75.4009
145.000000 87.263 74.5449
147.500000 87.214 73.4738
150.000000 87.160 72.3165
152.500000 87.096 71.1530
155.000000 87.027 70.0509
157.500000 86.960 69.0041
160.000000 86.896 67.9729
162.500000 86.832 66.9516
165.000000 86.767 65.9719
167.500000 86.703 65.0407
170.000000 86.644 64.1560
172.500000 86.594 63.3275
175.000000 86.559 62.5109
177.500000 86.536 61.6445
180.000000 86.518 60.6910
182.500000 86.493 59.6687
185.000000 86.458 58.6339
187.500000 86.417 57.6173
190.000000 86.373 56.6345
192.500000 86.327 55.6817
195.000000 86.281 54.7454
197.500000 86.236 53.8276
200.000000 86.192 52.9225
203.000000 86.140 51.8441
206.000000 86.088 50.7856
209.000000 86.036 49.7528
212.000000 85.984 48.7444
214.000000 85.950 48.0828
218.000000 85.883 46.7767
220.000000 85.850 46.1391
224.000000 85.784 44.9100
227.000000 85.735 44.0122
230.000000 85.689 43.1354
233.000000 85.644 42.2923
236.000000 85.605 41.4752
240.000000 85.559 40.3717
243.000000 85.528 39.5290
247.000000 85.486 38.4018
250.000000 85.451 37.5488
254.000000 85.403 36.4393
258.000000 85.355 35.3624
262.000000 85.309 34.3211
265.000000 85.277 33.5632
269.000000 85.239 32.5553
272.000000 85.212 31.7907
276.000000 85.175 30.7654
280.000000 85.136 29.7536
285.000000 85.088 28.5260
290.000000 85.038 27.3347
295.000000 84.988 26.1738
300.000000 84.941 25.0425
304.000000 84.904 24.1543
307.000000 84.876 23.4988
311.000000 84.841 22.6374
315.000000 84.808 21.7888
320.000000 84.768 20.7461
325.000000 84.730 19.7251
330.000000 84.692 18.7212
335.000000 84.655 17.7289
340.000000 84.618 16.7541
345.000000 84.582 15.7989
350.000000 84.548 14.8612
355.000000 84.514 13.9426
360.000000 84.481 13.0392
365.000000 84.448 12.1508
370.000000 84.416 11.2786
375.000000 84.385 10.4305
382.000000 84.343 9.2748
387.000000 84.314 8.4647
395.000000 84.271 7.2027
400.000000 84.245 6.4283
406.000000 84.216 5.5103
412.000000 84.189 4.6088
418.000000 84.161 3.7216
425.000000 84.130 2.7034
431.000000 84.103 1.8445
437.000000 84.076 1.0121
444.000000 84.044 0.0720
450.000000 84.018 -0.7144
455.000000 83.996 -1.3557
462.000000 83.966 -2.2311
468.000000 83.941 -2.9584
475.000000 83.913 -3.7803
482.000000 83.886 -4.5681
487.000000 83.867 -5.1091
494.000000 83.844 -5.8375
500.000000 83.826 -6.4320
508.000000 83.810 -7.1859
515.000000 83.803 -7.8296
522.000000 83.804 -8.4714
530.000000 83.812 -9.2400
538.000000 83.822 -10.0637
545.000000 83.828 -10.8235
552.000000 83.829 -11.5982
560.000000 83.824 -12.4743
570.000000 83.810 -13.5232
580.000000 83.793 -14.5027
590.000000 83.778 -15.4392
600.000000 83.763 -16.3507
608.000000 83.751 -17.0475
615.000000 83.740 -17.6313
622.000000 83.730 -18.1956
630.000000 83.721 -18.8229
640.000000 83.712 -19.5869
650.000000 83.705 -20.3314
660.000000 83.699 -21.0596
670.000000 83.695 -21.7671
680.000000 83.692 -22.4532
690.000000 83.690 -23.1228
700.000000 83.689 -23.7756
710.000000 83.688 -24.4078
720.000000 83.688 -25.0189
730.000000 83.688 -25.6154
740.000000 83.688 -26.1918
750.000000 83.688 -26.7394
762.000000 83.687 -27.3474
775.000000 83.689 -27.9407
788.000000 83.695 -28.4679
800.000000 83.708 -28.8942
812.000000 83.729 -29.2769
825.000000 83.761 -29.6630
838.000000 83.804 -30.0355
850.000000 83.853 -30.3817
862.000000 83.910 -30.7368
875.000000 83.977 -31.1353
885.000000 84.033 -31.4524
900.000000 84.122 -31.9507
912.000000 84.198 -32.3696
925.000000 84.284 -32.8412
938.000000 84.374 -33.3326
950.000000 84.460 -33.8051
962.000000 84.548 -34.2939
975.000000 84.646 -34.8414
988.000000 84.746 -35.4164
1000.000000 84.839 -35.9680
1015.000000 84.958 -36.6794
1030.000000 85.079 -37.4224
1044.000000 85.191 -38.1454
1060.000000 85.320 -39.0063
1075.000000 85.441 -39.8445
1090.000000 85.559 -40.7122
1106.000000 85.683 -41.6694
1120.000000 85.789 -42.5323
1138.000000 85.922 -43.6729
1150.000000 86.008 -44.4525
1172.000000 86.159 -45.9174
1180.000000 86.212 -46.4602
1206.000000 86.376 -48.2448
1220.000000 86.460 -49.2093
1241.000000 86.579 -50.6579
1250.000000 86.628 -51.2786
1265.000000 86.708 -52.3097
1280.000000 86.784 -53.3308
1315.000000 86.951 -55.6785
1320.000000 86.974 -56.0101
1340.000000 87.064 -57.3228
1360.000000 87.150 -58.6124
1380.000000 87.233 -59.8845
1400.000000 87.314 -61.1367
1430.000000 87.433 -62.9781
1450.000000 87.510 -64.1847
1475.000000 87.606 -65.6697
1500.000000 87.700 -67.1339
1525.000000 87.794 -68.5822
1550.000000 87.888 -70.0135
1575.000000 87.981 -71.4314
1600.000000 88.074 -72.8383
1625.000000 88.168 -74.2347
1650.000000 88.262 -75.6223
1675.000000 88.356 -77.0011
1700.000000 88.451 -78.3750
1725.000000 88.545 -79.7449
1750.000000 88.640 -81.1010
1775.000000 88.736 -82.4401
1800.000000 88.832 -83.7684
1825.000000 88.927 -85.0997
1850.000000 89.021 -86.4374
1875.000000 89.115 -87.7804
1900.000000 89.208 -89.1321
1925.000000 89.300 -90.4934
1950.000000 89.390 -91.8647
1975.000000 89.479 -93.2487
2000.000000 89.566 -94.6459
2030.000000 89.667 -96.3358
2060.000000 89.764 -98.0392
2090.000000 89.856 -99.7556
2120.000000 89.945 -101.4825
2140.000000 90.001 -102.6383
2180.000000 90.106 -104.9576
2200.000000 90.155 -106.1205
2240.000000 90.246 -108.4512
2270.000000 90.307 -110.1959
2300.000000 90.362 -111.9363
2330.000000 90.411 -113.6705
2360.000000 90.454 -115.3958
2400.000000 90.502 -117.6776
2430.000000 90.531 -119.3702
2470.000000 90.560 -121.5961
2500.000000 90.575 -123.2418
2540.000000 90.587 -125.4025
2580.000000 90.590 -127.5208
2620.000000 90.585 -129.5918
2650.000000 90.576 -131.1130
2690.000000 90.558 -133.0992
2720.000000 90.541 -134.5573
2760.000000 90.513 -136.4595
2800.000000 90.480 -138.3112
2850.000000 90.434 -140.5522
2900.000000 90.383 -142.7128
2950.000000 90.328 -144.7944
3000.000000 90.271 -146.8020
3040.000000 90.224 -148.3610
3070.000000 90.187 -149.5029
3110.000000 90.137 -150.9882
3150.000000 90.085 -152.4321
3200.000000 90.016 -154.1760
3250.000000 89.942 -155.8420
3300.000000 89.865 -157.4153
3350.000000 89.786 -158.8791
3400.000000 89.709 -160.2278
3450.000000 89.638 -161.4683
3500.000000 89.577 -162.6186
3550.000000 89.526 -163.6990
3600.000000 89.487 -164.7307
3650.000000 89.459 -165.7319
3700.000000 89.440 -166.7132
3750.000000 89.430 -167.6786
3820.000000 89.428 -169.0128
3870.000000 89.436 -169.9618
3950.000000 89.467 -171.5085
4000.000000 89.494 -172.5120
4060.000000 89.530 -173.7874
4120.000000 89.567 -175.1440
4180.000000 89.602 -176.5509
4250.000000 89.640 -178.2233
4310.000000 89.671 -179.6719
4370.000000 89.699 178.8674
4440.000000 89.727 177.1519
4500.000000 89.748 175.6742
4550.000000 89.763 174.4357
4620.000000 89.777 172.6943
4680.000000 89.784 171.1976
4750.000000 89.784 169.4505
4820.000000 89.774 167.7126
4870.000000 89.759 166.4859
4940.000000 89.728 164.8079
5000.000000 89.692 163.4266
5080.000000 89.636 161.6972
5150.000000 89.583 160.2969
5220.000000 89.533 158.9869
5300.000000 89.479 157.5721
5380.000000 89.429 156.2242
5450.000000 89.386 155.0942
5520.000000 89.342 154.0140
5600.000000 89.287 152.8630
5700.000000 89.216 151.6288
5800.000000 89.166 150.6517
5900.000000 89.151 149.7841
6000.000000 89.160 148.9202
