* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -21.0 dBFS with no timing reference
* Dated: Jan 18, 2025 8:56:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aful Explorer (75 Ohm) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 96.087 -164.5694
20.600000 96.090 -165.2296
20.900000 96.092 -165.9430
21.200001 96.092 -166.6619
21.400000 96.093 -167.1432
21.799999 96.095 -168.1069
22.000000 96.096 -168.5851
22.400000 96.098 -169.5216
22.700001 96.099 -170.2002
23.000000 96.100 -170.8568
23.299999 96.099 -171.4942
23.600000 96.097 -172.1169
24.000000 96.093 -172.9319
24.299999 96.088 -173.5355
24.700001 96.081 -174.3331
25.000000 96.075 -174.9272
25.400000 96.068 -175.7149
25.799999 96.061 -176.4951
26.200001 96.053 -177.2614
26.500000 96.047 -177.8221
26.900000 96.038 -178.5484
27.200001 96.032 -179.0789
27.600000 96.023 -179.7746
28.000000 96.014 179.5354
28.500000 95.998 178.6803
29.000000 95.978 177.8472
29.500000 95.956 177.0474
30.000000 95.937 176.2693
30.400000 95.925 175.6465
30.700001 95.916 175.1744
31.100000 95.903 174.5427
31.500000 95.887 173.9204
32.000000 95.866 173.1730
32.500000 95.847 172.4598
33.000000 95.830 171.7617
33.500000 95.812 171.0643
34.000000 95.791 170.3749
34.500000 95.768 169.7095
35.000000 95.745 169.0693
35.500000 95.723 168.4370
36.000000 95.700 167.7971
36.500000 95.674 167.1537
37.000000 95.645 166.5212
37.500000 95.616 165.9052
38.200001 95.579 165.0540
38.700001 95.553 164.4493
39.500000 95.508 163.5134
40.000000 95.480 162.9505
40.599998 95.447 162.2789
41.200001 95.412 161.6097
41.799999 95.378 160.9632
42.500000 95.345 160.2406
43.099998 95.321 159.6199
43.700001 95.295 158.9899
44.400002 95.257 158.2685
45.000000 95.222 157.6695
45.500000 95.192 157.1731
46.200001 95.151 156.4770
46.799999 95.115 155.8930
47.500000 95.075 155.2352
48.200001 95.035 154.5900
48.700001 95.005 154.1328
49.400002 94.962 153.5000
50.000000 94.927 152.9611
50.799999 94.882 152.2380
51.500000 94.843 151.6118
52.200001 94.804 151.0112
53.000000 94.760 150.3508
53.799999 94.716 149.6935
54.500000 94.674 149.1190
55.200001 94.632 148.5554
56.000000 94.583 147.9251
57.000000 94.524 147.1506
58.000000 94.465 146.3871
59.000000 94.406 145.6328
60.000000 94.345 144.9013
60.799999 94.297 144.3324
61.500000 94.255 143.8386
62.200001 94.213 143.3469
63.000000 94.166 142.7868
64.000000 94.109 142.0963
65.000000 94.050 141.4345
66.000000 93.990 140.7834
67.000000 93.932 140.1233
68.000000 93.873 139.4722
69.000000 93.814 138.8459
70.000000 93.756 138.2401
71.000000 93.698 137.6403
72.000000 93.639 137.0470
73.000000 93.579 136.4496
74.000000 93.519 135.8465
75.000000 93.461 135.2557
76.199997 93.395 134.5596
77.500000 93.323 133.8330
78.800003 93.251 133.1288
80.000000 93.184 132.4934
81.199997 93.115 131.8723
82.500000 93.041 131.1975
83.800003 92.968 130.5306
85.000000 92.902 129.9288
86.199997 92.837 129.3335
87.500000 92.766 128.6957
88.500000 92.711 128.2110
90.000000 92.628 127.4993
91.199997 92.565 126.9453
92.500000 92.495 126.3645
93.800003 92.426 125.7770
95.000000 92.362 125.2328
96.199997 92.299 124.7074
97.500000 92.231 124.1485
98.800003 92.162 123.5923
100.000000 92.099 123.0865
101.500000 92.021 122.4697
103.000000 91.946 121.8553
104.400002 91.875 121.2894
106.000000 91.793 120.6545
107.500000 91.718 120.0681
109.000000 91.645 119.4962
110.599998 91.566 118.8935
112.000000 91.497 118.3577
113.800003 91.409 117.6965
115.000000 91.352 117.2693
117.199997 91.245 116.4846
118.000000 91.206 116.2031
120.599998 91.083 115.2945
122.000000 91.021 114.8175
124.099998 90.927 114.1116
125.000000 90.886 113.8107
126.500000 90.818 113.3191
128.000000 90.748 112.8399
131.500000 90.589 111.7477
132.000000 90.567 111.5919
134.000000 90.481 110.9628
136.000000 90.395 110.3553
138.000000 90.308 109.7712
140.000000 90.221 109.1815
143.000000 90.096 108.2950
145.000000 90.012 107.7299
147.500000 89.910 107.0295
150.000000 89.806 106.3448
152.500000 89.705 105.6795
155.000000 89.605 105.0231
157.500000 89.508 104.3740
160.000000 89.414 103.7456
162.500000 89.318 103.1206
165.000000 89.223 102.5128
167.500000 89.130 101.9116
170.000000 89.037 101.3456
172.500000 88.945 100.7669
175.000000 88.857 100.1945
177.500000 88.770 99.6663
180.000000 88.684 99.1709
182.500000 88.600 98.6518
185.000000 88.519 98.1154
187.500000 88.443 97.5537
190.000000 88.367 96.9995
192.500000 88.288 96.4656
195.000000 88.209 95.9378
197.500000 88.131 95.4148
200.000000 88.051 94.8990
203.000000 87.955 94.2876
206.000000 87.862 93.6856
209.000000 87.769 93.1067
212.000000 87.678 92.5360
214.000000 87.619 92.1573
218.000000 87.498 91.4554
220.000000 87.437 91.1147
224.000000 87.321 90.4729
227.000000 87.238 90.0201
230.000000 87.161 89.5719
233.000000 87.096 89.1275
236.000000 87.033 88.6322
240.000000 86.941 87.8806
243.000000 86.872 87.3127
247.000000 86.776 86.5912
250.000000 86.699 86.0767
254.000000 86.597 85.4426
258.000000 86.497 84.8312
262.000000 86.401 84.2169
265.000000 86.332 83.7693
269.000000 86.241 83.1873
272.000000 86.174 82.7598
276.000000 86.081 82.1962
280.000000 85.992 81.6512
285.000000 85.887 80.9933
290.000000 85.785 80.3518
295.000000 85.686 79.7026
300.000000 85.591 79.0752
304.000000 85.517 78.5912
307.000000 85.463 78.2166
311.000000 85.390 77.7082
315.000000 85.318 77.2085
320.000000 85.230 76.6037
325.000000 85.141 76.0192
330.000000 85.055 75.4361
335.000000 84.971 74.8679
340.000000 84.891 74.3233
345.000000 84.809 73.7822
350.000000 84.729 73.2451
355.000000 84.653 72.7320
360.000000 84.578 72.2247
365.000000 84.506 71.7206
370.000000 84.435 71.2071
375.000000 84.367 70.7114
382.000000 84.270 70.0663
387.000000 84.202 69.6109
395.000000 84.096 68.8855
400.000000 84.032 68.4548
406.000000 83.958 67.9286
412.000000 83.886 67.4131
418.000000 83.815 66.9145
425.000000 83.733 66.3632
431.000000 83.665 65.9136
437.000000 83.600 65.4712
444.000000 83.527 64.9406
450.000000 83.467 64.4911
455.000000 83.417 64.1280
462.000000 83.349 63.6433
468.000000 83.291 63.2450
475.000000 83.226 62.7869
482.000000 83.164 62.3461
487.000000 83.120 62.0339
494.000000 83.060 61.6086
500.000000 83.009 61.2516
508.000000 82.942 60.7925
515.000000 82.887 60.4122
522.000000 82.834 60.0390
530.000000 82.774 59.6218
538.000000 82.716 59.2150
545.000000 82.667 58.8782
552.000000 82.619 58.5656
560.000000 82.566 58.2163
570.000000 82.505 57.8030
580.000000 82.446 57.3988
590.000000 82.390 57.0242
600.000000 82.336 56.6738
608.000000 82.295 56.4034
615.000000 82.262 56.1834
622.000000 82.230 55.9751
630.000000 82.194 55.7485
640.000000 82.153 55.4899
650.000000 82.115 55.2507
660.000000 82.080 55.0376
670.000000 82.048 54.8480
680.000000 82.019 54.6805
690.000000 81.995 54.5239
700.000000 81.975 54.3890
710.000000 81.958 54.2744
720.000000 81.944 54.1721
730.000000 81.932 54.0816
740.000000 81.924 54.0104
750.000000 81.922 53.9578
762.000000 81.928 53.9016
775.000000 81.940 53.8639
788.000000 81.958 53.8418
800.000000 81.980 53.8372
812.000000 82.008 53.8409
825.000000 82.049 53.8378
838.000000 82.096 53.8428
850.000000 82.144 53.8548
862.000000 82.198 53.8517
875.000000 82.265 53.8403
885.000000 82.321 53.8299
900.000000 82.413 53.7939
912.000000 82.491 53.7457
925.000000 82.582 53.6682
938.000000 82.679 53.5697
950.000000 82.775 53.4472
962.000000 82.873 53.3037
975.000000 82.985 53.1116
988.000000 83.101 52.8910
1000.000000 83.211 52.6605
1015.000000 83.351 52.3124
1030.000000 83.494 51.9037
1044.000000 83.627 51.4634
1060.000000 83.781 50.9183
1075.000000 83.927 50.3606
1090.000000 84.071 49.7462
1106.000000 84.222 49.0408
1120.000000 84.353 48.3873
1138.000000 84.516 47.4940
1150.000000 84.623 46.8719
1172.000000 84.814 45.6822
1180.000000 84.882 45.2344
1206.000000 85.094 43.7293
1220.000000 85.203 42.8859
1241.000000 85.361 41.5931
1250.000000 85.427 41.0350
1265.000000 85.533 40.0970
1280.000000 85.636 39.1436
1315.000000 85.866 36.8711
1320.000000 85.897 36.5458
1340.000000 86.020 35.2403
1360.000000 86.138 33.9216
1380.000000 86.254 32.5910
1400.000000 86.366 31.2495
1430.000000 86.528 29.2204
1450.000000 86.634 27.8560
1475.000000 86.763 26.1300
1500.000000 86.887 24.3765
1525.000000 87.008 22.6045
1550.000000 87.126 20.8040
1575.000000 87.242 18.9701
1600.000000 87.354 17.0987
1625.000000 87.461 15.1941
1650.000000 87.565 13.2500
1675.000000 87.664 11.2577
1700.000000 87.757 9.2230
1725.000000 87.844 7.1531
1750.000000 87.925 5.0486
1775.000000 87.998 2.9053
1800.000000 88.065 0.7238
1825.000000 88.122 -1.4921
1850.000000 88.172 -3.7350
1875.000000 88.213 -6.0074
1900.000000 88.243 -8.3093
1925.000000 88.263 -10.6325
1950.000000 88.274 -12.9659
1975.000000 88.274 -15.2969
2000.000000 88.264 -17.6318
2030.000000 88.238 -20.4409
2060.000000 88.198 -23.2349
2090.000000 88.145 -25.9987
2120.000000 88.079 -28.7234
2140.000000 88.029 -30.5180
2180.000000 87.915 -34.0416
2200.000000 87.851 -35.7700
2240.000000 87.714 -39.1510
2270.000000 87.606 -41.6074
2300.000000 87.492 -43.9968
2330.000000 87.376 -46.3245
2360.000000 87.258 -48.5873
2400.000000 87.101 -51.5048
2430.000000 86.986 -53.6177
2470.000000 86.837 -56.3365
2500.000000 86.731 -58.3121
2540.000000 86.597 -60.8757
2580.000000 86.477 -63.3580
2620.000000 86.371 -65.7766
2650.000000 86.303 -67.5562
2690.000000 86.226 -69.8953
2720.000000 86.179 -71.6364
2760.000000 86.131 -73.9460
2800.000000 86.101 -76.2411
2850.000000 86.092 -79.1141
2900.000000 86.115 -82.0434
2950.000000 86.166 -85.0706
3000.000000 86.240 -88.2115
3040.000000 86.314 -90.8226
3070.000000 86.378 -92.8486
3110.000000 86.471 -95.6472
3150.000000 86.569 -98.5719
3200.000000 86.693 -102.4180
3250.000000 86.808 -106.4694
3300.000000 86.903 -110.7130
3350.000000 86.968 -115.1165
3400.000000 86.992 -119.6127
3450.000000 86.968 -124.1120
3500.000000 86.895 -128.5285
3550.000000 86.777 -132.7639
3600.000000 86.619 -136.7460
3650.000000 86.430 -140.4208
3700.000000 86.221 -143.7465
3750.000000 86.002 -146.7042
3820.000000 85.696 -150.2366
3870.000000 85.488 -152.3506
3950.000000 85.188 -155.0687
4000.000000 85.029 -156.3914
4060.000000 84.872 -157.6458
4120.000000 84.760 -158.5610
4180.000000 84.702 -159.1864
4250.000000 84.715 -159.6608
4310.000000 84.803 -159.9688
4370.000000 84.967 -160.3284
4440.000000 85.239 -161.0892
4500.000000 85.506 -162.1826
4550.000000 85.731 -163.3719
4620.000000 86.036 -165.3532
4680.000000 86.283 -167.3357
4750.000000 86.539 -169.9677
4820.000000 86.745 -172.8832
4870.000000 86.853 -175.0798
4940.000000 86.943 -178.2180
5000.000000 86.962 179.1183
5080.000000 86.906 175.7420
5150.000000 86.793 173.0652
5220.000000 86.631 170.7264
5300.000000 86.403 168.5275
5380.000000 86.150 166.8726
5450.000000 85.925 165.8682
5520.000000 85.710 165.2418
5600.000000 85.488 164.9172
5700.000000 85.256 164.9583
5800.000000 85.075 165.3408
5900.000000 84.938 165.9846
6000.000000 84.843 166.8880
6080.000000 84.804 167.7797
6150.000000 84.800 168.6357
6220.000000 84.827 169.5119
6300.000000 84.891 170.4819
6400.000000 85.013 171.5893
