* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -35.0 dBFS with no timing reference
* Dated: Jan 18, 2025 8:53:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aful Explorer L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 94.254 -163.0615
20.600000 94.258 -163.6928
20.900000 94.259 -164.3712
21.200001 94.260 -165.0464
21.400000 94.260 -165.4926
21.799999 94.262 -166.3717
22.000000 94.263 -166.8028
22.400000 94.266 -167.6449
22.700001 94.267 -168.2598
23.000000 94.267 -168.8642
23.299999 94.265 -169.4619
23.600000 94.262 -170.0560
24.000000 94.255 -170.8432
24.299999 94.250 -171.4282
24.700001 94.242 -172.1971
25.000000 94.238 -172.7641
25.400000 94.234 -173.5067
25.799999 94.230 -174.2334
26.200001 94.225 -174.9408
26.500000 94.219 -175.4558
26.900000 94.209 -176.1195
27.200001 94.200 -176.6019
27.600000 94.187 -177.2317
28.000000 94.175 -177.8559
28.500000 94.161 -178.6377
29.000000 94.148 -179.4174
29.500000 94.134 179.8165
30.000000 94.119 179.0682
30.400000 94.107 178.4789
30.700001 94.096 178.0413
31.100000 94.079 177.4659
31.500000 94.060 176.9061
32.000000 94.036 176.2362
32.500000 94.015 175.5951
33.000000 93.998 174.9659
33.500000 93.982 174.3364
34.000000 93.964 173.7098
34.500000 93.945 173.0951
35.000000 93.925 172.4905
35.500000 93.905 171.8850
36.000000 93.883 171.2765
36.500000 93.857 170.6821
37.000000 93.829 170.1223
37.500000 93.802 169.5964
38.200001 93.772 168.8682
38.700001 93.752 168.3267
39.500000 93.715 167.4542
40.000000 93.691 166.9382
40.599998 93.664 166.3525
41.200001 93.637 165.7846
41.799999 93.607 165.2242
42.500000 93.566 164.5737
43.099998 93.529 164.0042
43.700001 93.493 163.4184
44.400002 93.454 162.7401
45.000000 93.425 162.1901
45.500000 93.402 161.7600
46.200001 93.368 161.1940
46.799999 93.336 160.7270
47.500000 93.297 160.1726
48.200001 93.259 159.5875
48.700001 93.232 159.1602
49.400002 93.195 158.5783
50.000000 93.163 158.1097
50.799999 93.120 157.5157
51.500000 93.082 156.9932
52.200001 93.041 156.4496
53.000000 92.993 155.8312
53.799999 92.948 155.2594
54.500000 92.913 154.7867
55.200001 92.879 154.3091
56.000000 92.837 153.7596
57.000000 92.781 153.0956
58.000000 92.726 152.4532
59.000000 92.671 151.8374
60.000000 92.619 151.2261
60.799999 92.576 150.7264
61.500000 92.538 150.2992
62.200001 92.500 149.8843
63.000000 92.458 149.4097
64.000000 92.406 148.8162
65.000000 92.351 148.2404
66.000000 92.294 147.6899
67.000000 92.238 147.1642
68.000000 92.185 146.6325
69.000000 92.134 146.0947
70.000000 92.081 145.5643
71.000000 92.029 145.0527
72.000000 91.979 144.5623
73.000000 91.929 144.0792
74.000000 91.876 143.6020
75.000000 91.821 143.1292
76.199997 91.758 142.5692
77.500000 91.694 141.9751
78.800003 91.630 141.4072
80.000000 91.571 140.8833
81.199997 91.510 140.3596
82.500000 91.445 139.8212
83.800003 91.381 139.2909
85.000000 91.321 138.8029
86.199997 91.262 138.3301
87.500000 91.201 137.8369
88.500000 91.152 137.4668
90.000000 91.079 136.9203
91.199997 91.023 136.4674
92.500000 90.963 135.9768
93.800003 90.904 135.5166
95.000000 90.848 135.1130
96.199997 90.795 134.7120
97.500000 90.738 134.2698
98.800003 90.680 133.8371
100.000000 90.626 133.4425
101.500000 90.560 132.9518
103.000000 90.495 132.4793
104.400002 90.436 132.0484
106.000000 90.368 131.5507
107.500000 90.304 131.0985
109.000000 90.242 130.6577
110.599998 90.178 130.1948
112.000000 90.122 129.8073
113.800003 90.049 129.3173
115.000000 90.000 128.9885
117.199997 89.913 128.3948
118.000000 89.882 128.1779
120.599998 89.785 127.4967
122.000000 89.733 127.1492
124.099998 89.656 126.6183
125.000000 89.623 126.3910
126.500000 89.568 126.0237
128.000000 89.512 125.6697
131.500000 89.389 124.8483
132.000000 89.372 124.7321
134.000000 89.302 124.2773
136.000000 89.233 123.8336
138.000000 89.167 123.3876
140.000000 89.101 122.9631
143.000000 89.005 122.3376
145.000000 88.943 121.9232
147.500000 88.865 121.4091
150.000000 88.787 120.8957
152.500000 88.712 120.4127
155.000000 88.641 119.9501
157.500000 88.569 119.4952
160.000000 88.498 119.0269
162.500000 88.428 118.5796
165.000000 88.360 118.1587
167.500000 88.296 117.7372
170.000000 88.235 117.3196
172.500000 88.171 116.9127
175.000000 88.110 116.5061
177.500000 88.051 116.1042
180.000000 87.994 115.6908
182.500000 87.940 115.2828
185.000000 87.888 114.8869
187.500000 87.835 114.4700
190.000000 87.780 114.0801
192.500000 87.726 113.6902
195.000000 87.672 113.2907
197.500000 87.619 112.9067
200.000000 87.568 112.5415
203.000000 87.510 112.1040
206.000000 87.451 111.6724
209.000000 87.392 111.2550
212.000000 87.333 110.8577
214.000000 87.295 110.6036
218.000000 87.222 110.1072
220.000000 87.186 109.8802
224.000000 87.123 109.4781
227.000000 87.089 109.1754
230.000000 87.066 108.7985
233.000000 87.043 108.3434
236.000000 87.012 107.8636
240.000000 86.958 107.2477
243.000000 86.913 106.8193
247.000000 86.856 106.2795
250.000000 86.815 105.8777
254.000000 86.760 105.3588
258.000000 86.711 104.8794
262.000000 86.662 104.4119
265.000000 86.626 104.0450
269.000000 86.581 103.5662
272.000000 86.549 103.2266
276.000000 86.508 102.7750
280.000000 86.468 102.3266
285.000000 86.422 101.7738
290.000000 86.384 101.2279
295.000000 86.350 100.6704
300.000000 86.313 100.0974
304.000000 86.283 99.6368
307.000000 86.261 99.2981
311.000000 86.234 98.8549
315.000000 86.207 98.4057
320.000000 86.174 97.8564
325.000000 86.146 97.3110
330.000000 86.118 96.7741
335.000000 86.090 96.2428
340.000000 86.062 95.7170
345.000000 86.037 95.1960
350.000000 86.014 94.6795
355.000000 85.991 94.1713
360.000000 85.970 93.6565
365.000000 85.950 93.1466
370.000000 85.933 92.6421
375.000000 85.916 92.1427
382.000000 85.892 91.4442
387.000000 85.876 90.9489
395.000000 85.853 90.1684
400.000000 85.838 89.6842
406.000000 85.822 89.1029
412.000000 85.809 88.5388
418.000000 85.796 87.9754
425.000000 85.782 87.3217
431.000000 85.773 86.7626
437.000000 85.763 86.2163
444.000000 85.751 85.5803
450.000000 85.741 85.0281
455.000000 85.736 84.5772
462.000000 85.728 83.9594
468.000000 85.722 83.4255
475.000000 85.717 82.8033
482.000000 85.711 82.2028
487.000000 85.707 81.7828
494.000000 85.702 81.1993
500.000000 85.697 80.6938
508.000000 85.693 80.0301
515.000000 85.690 79.4605
522.000000 85.687 78.9029
530.000000 85.683 78.2720
538.000000 85.677 77.6462
545.000000 85.674 77.1132
552.000000 85.672 76.5874
560.000000 85.670 75.9943
570.000000 85.669 75.2646
580.000000 85.669 74.5508
590.000000 85.667 73.8526
600.000000 85.667 73.1852
608.000000 85.667 72.6669
615.000000 85.668 72.2179
622.000000 85.669 71.7758
630.000000 85.670 71.2870
640.000000 85.673 70.6964
650.000000 85.677 70.1266
660.000000 85.682 69.5667
670.000000 85.688 69.0253
680.000000 85.694 68.5087
690.000000 85.701 68.0078
700.000000 85.711 67.5342
710.000000 85.724 67.0820
720.000000 85.738 66.6462
730.000000 85.753 66.2227
740.000000 85.771 65.8120
750.000000 85.791 65.4173
762.000000 85.818 64.9631
775.000000 85.851 64.4858
788.000000 85.889 64.0377
800.000000 85.928 63.6278
812.000000 85.970 63.2329
825.000000 86.019 62.8224
838.000000 86.074 62.4202
850.000000 86.127 62.0567
862.000000 86.185 61.6950
875.000000 86.252 61.3076
885.000000 86.308 61.0089
900.000000 86.395 60.5467
912.000000 86.470 60.1698
925.000000 86.555 59.7591
938.000000 86.644 59.3305
950.000000 86.731 58.9282
962.000000 86.820 58.5083
975.000000 86.920 58.0211
988.000000 87.022 57.5008
1000.000000 87.118 57.0013
1015.000000 87.240 56.3413
1030.000000 87.364 55.6370
1044.000000 87.480 54.9509
1060.000000 87.612 54.1236
1075.000000 87.732 53.3099
1090.000000 87.851 52.4586
1106.000000 87.977 51.5157
1120.000000 88.084 50.6619
1138.000000 88.217 49.5377
1150.000000 88.303 48.7697
1172.000000 88.454 47.3237
1180.000000 88.507 46.7895
1206.000000 88.670 45.0309
1220.000000 88.754 44.0731
1241.000000 88.873 42.6268
1250.000000 88.922 42.0050
1265.000000 89.001 40.9677
1280.000000 89.077 39.9336
1315.000000 89.243 37.5130
1320.000000 89.265 37.1681
1340.000000 89.353 35.7948
1360.000000 89.438 34.4326
1380.000000 89.520 33.0774
1400.000000 89.599 31.7256
1430.000000 89.716 29.7004
1450.000000 89.792 28.3537
1475.000000 89.885 26.6699
1500.000000 89.977 24.9775
1525.000000 90.069 23.2801
1550.000000 90.160 21.5674
1575.000000 90.249 19.8301
1600.000000 90.338 18.0717
1625.000000 90.425 16.2876
1650.000000 90.511 14.4686
1675.000000 90.595 12.6116
1700.000000 90.675 10.7197
1725.000000 90.752 8.7906
1750.000000 90.826 6.8208
1775.000000 90.894 4.8059
1800.000000 90.958 2.7511
1825.000000 91.014 0.6589
1850.000000 91.065 -1.4741
1875.000000 91.107 -3.6444
1900.000000 91.141 -5.8424
1925.000000 91.166 -8.0685
1950.000000 91.182 -10.3173
1975.000000 91.189 -12.5800
2000.000000 91.185 -14.8502
2030.000000 91.167 -17.5781
2060.000000 91.135 -20.2957
2090.000000 91.090 -22.9976
2120.000000 91.032 -25.6734
2140.000000 90.987 -27.4349
2180.000000 90.883 -30.8901
2200.000000 90.825 -32.5823
2240.000000 90.698 -35.8874
2270.000000 90.596 -38.2935
2300.000000 90.490 -40.6281
2330.000000 90.382 -42.8889
2360.000000 90.274 -45.0799
2400.000000 90.131 -47.8965
2430.000000 90.027 -49.9335
2470.000000 89.895 -52.5554
2500.000000 89.804 -54.4541
2540.000000 89.693 -56.9115
2580.000000 89.598 -59.2994
2620.000000 89.520 -61.6270
2650.000000 89.473 -63.3378
2690.000000 89.429 -65.5884
2720.000000 89.410 -67.2668
2760.000000 89.405 -69.5000
2800.000000 89.423 -71.7491
2850.000000 89.479 -74.6222
2900.000000 89.572 -77.6017
2950.000000 89.697 -80.7342
3000.000000 89.851 -84.0477
3040.000000 89.994 -86.8575
3070.000000 90.109 -89.0748
3110.000000 90.269 -92.1924
3150.000000 90.434 -95.5114
3200.000000 90.634 -99.9623
3250.000000 90.812 -104.7435
3300.000000 90.950 -109.8212
3350.000000 91.032 -115.1203
3400.000000 91.045 -120.5195
3450.000000 90.981 -125.8801
3500.000000 90.842 -131.0586
3550.000000 90.637 -135.9254
3600.000000 90.379 -140.3810
3650.000000 90.084 -144.3634
3700.000000 89.771 -147.8389
3750.000000 89.454 -150.8192
3820.000000 89.029 -154.2304
3870.000000 88.747 -156.1735
3950.000000 88.352 -158.5363
4000.000000 88.147 -159.6278
4060.000000 87.946 -160.5961
4120.000000 87.800 -161.2315
4180.000000 87.718 -161.5972
4250.000000 87.714 -161.8018
4310.000000 87.794 -161.9268
4370.000000 87.949 -162.1886
4440.000000 88.200 -162.8771
4500.000000 88.443 -163.8538
4550.000000 88.651 -164.9143
4620.000000 88.939 -166.7274
4680.000000 89.173 -168.5765
4750.000000 89.415 -171.0562
4820.000000 89.607 -173.8117
4870.000000 89.707 -175.8936
4940.000000 89.788 -178.8771
5000.000000 89.801 178.5912
5080.000000 89.744 175.3834
5150.000000 89.631 172.8372
5220.000000 89.471 170.6105
5300.000000 89.246 168.5189
5380.000000 88.996 166.9478
5450.000000 88.773 165.9969
5520.000000 88.560 165.4086
5600.000000 88.337 165.1154
5700.000000 88.102 165.1836
5800.000000 87.913 165.6038
5900.000000 87.768 166.3174
6000.000000 87.669 167.2958
6080.000000 87.629 168.2269
6150.000000 87.626 169.1017
6220.000000 87.652 169.9868
6300.000000 87.714 170.9607
6400.000000 87.830 172.0688
