* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -35.0 dBFS with no timing reference
* Dated: Jan 18, 2025 8:48:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aful Explorer R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 94.272 -163.9498
20.600000 94.273 -164.5612
20.900000 94.271 -165.2135
21.200001 94.270 -165.8626
21.400000 94.270 -166.2946
21.799999 94.274 -167.1597
22.000000 94.276 -167.5911
22.400000 94.282 -168.4420
22.700001 94.285 -169.0622
23.000000 94.286 -169.6635
23.299999 94.286 -170.2479
23.600000 94.285 -170.8210
24.000000 94.280 -171.5785
24.299999 94.276 -172.1466
24.700001 94.267 -172.9030
25.000000 94.260 -173.4646
25.400000 94.251 -174.1970
25.799999 94.243 -174.9057
26.200001 94.237 -175.5922
26.500000 94.232 -176.0959
26.900000 94.226 -176.7569
27.200001 94.219 -177.2459
27.600000 94.207 -177.8878
28.000000 94.193 -178.5163
28.500000 94.175 -179.2827
29.000000 94.159 179.9674
29.500000 94.144 179.2282
30.000000 94.130 178.5004
30.400000 94.117 177.9310
30.700001 94.106 177.5142
31.100000 94.090 176.9723
31.500000 94.074 176.4430
32.000000 94.054 175.7902
32.500000 94.034 175.1407
33.000000 94.012 174.4973
33.500000 93.990 173.8674
34.000000 93.968 173.2508
34.500000 93.948 172.6379
35.000000 93.928 172.0239
35.500000 93.906 171.4184
36.000000 93.884 170.8377
36.500000 93.861 170.2861
37.000000 93.839 169.7501
37.500000 93.815 169.2124
38.200001 93.778 168.4517
38.700001 93.750 167.9136
39.500000 93.711 167.0711
40.000000 93.690 166.5581
40.599998 93.666 165.9704
41.200001 93.642 165.4202
41.799999 93.615 164.8837
42.500000 93.580 164.2305
43.099998 93.545 163.6475
43.700001 93.508 163.0709
44.400002 93.469 162.4243
45.000000 93.440 161.8863
45.500000 93.414 161.4465
46.200001 93.374 160.8482
46.799999 93.337 160.3522
47.500000 93.295 159.7827
48.200001 93.257 159.2119
48.700001 93.232 158.8059
49.400002 93.198 158.2529
50.000000 93.167 157.7993
50.799999 93.126 157.2078
51.500000 93.088 156.6882
52.200001 93.049 156.1789
53.000000 93.005 155.6242
53.799999 92.963 155.0779
54.500000 92.924 154.5914
55.200001 92.885 154.1031
56.000000 92.838 153.5547
57.000000 92.781 152.9022
58.000000 92.723 152.2841
59.000000 92.667 151.6621
60.000000 92.613 151.0370
60.799999 92.574 150.5393
61.500000 92.540 150.1080
62.200001 92.503 149.6924
63.000000 92.460 149.2422
64.000000 92.405 148.6959
65.000000 92.350 148.1478
66.000000 92.296 147.6028
67.000000 92.242 147.0650
68.000000 92.187 146.5353
69.000000 92.131 146.0307
70.000000 92.079 145.5353
71.000000 92.031 145.0276
72.000000 91.981 144.5263
73.000000 91.929 144.0438
74.000000 91.877 143.5680
75.000000 91.824 143.0984
76.199997 91.762 142.5510
77.500000 91.697 141.9668
78.800003 91.631 141.3984
80.000000 91.568 140.8918
81.199997 91.509 140.3969
82.500000 91.447 139.8524
83.800003 91.385 139.3192
85.000000 91.326 138.8452
86.199997 91.266 138.3882
87.500000 91.203 137.8948
88.500000 91.156 137.5153
90.000000 91.087 136.9561
91.199997 91.032 136.5293
92.500000 90.972 136.0714
93.800003 90.911 135.6182
95.000000 90.857 135.2128
96.199997 90.803 134.8188
97.500000 90.745 134.3908
98.800003 90.688 133.9556
100.000000 90.637 133.5582
101.500000 90.570 133.0796
103.000000 90.505 132.6156
104.400002 90.445 132.1904
106.000000 90.378 131.7220
107.500000 90.315 131.2731
109.000000 90.252 130.8182
110.599998 90.188 130.3707
112.000000 90.135 129.9960
113.800003 90.062 129.4998
115.000000 90.013 129.1758
117.199997 89.929 128.6166
118.000000 89.899 128.4090
120.599998 89.803 127.7261
122.000000 89.751 127.3839
124.099998 89.675 126.8837
125.000000 89.641 126.6677
126.500000 89.588 126.3115
128.000000 89.535 125.9649
131.500000 89.416 125.1425
132.000000 89.399 125.0276
134.000000 89.330 124.5785
136.000000 89.261 124.1418
138.000000 89.193 123.7061
140.000000 89.127 123.2818
143.000000 89.034 122.6646
145.000000 88.974 122.2554
147.500000 88.898 121.7510
150.000000 88.821 121.2616
152.500000 88.747 120.7792
155.000000 88.676 120.3126
157.500000 88.605 119.8448
160.000000 88.536 119.3743
162.500000 88.467 118.9386
165.000000 88.400 118.5148
167.500000 88.333 118.0832
170.000000 88.265 117.6586
172.500000 88.197 117.2711
175.000000 88.129 116.9039
177.500000 88.060 116.5648
180.000000 88.000 116.2554
182.500000 87.963 115.9612
185.000000 87.934 115.6598
187.500000 87.899 115.2822
190.000000 87.864 114.8193
192.500000 87.820 114.3574
195.000000 87.775 113.8940
197.500000 87.728 113.4722
200.000000 87.679 113.0522
203.000000 87.624 112.5725
206.000000 87.565 112.1338
209.000000 87.504 111.7062
212.000000 87.448 111.2697
214.000000 87.412 110.9867
218.000000 87.343 110.4280
220.000000 87.309 110.1605
224.000000 87.246 109.6252
227.000000 87.201 109.2380
230.000000 87.159 108.9036
233.000000 87.121 108.5869
236.000000 87.084 108.2357
240.000000 87.037 107.7101
243.000000 87.006 107.3076
247.000000 86.967 106.7644
250.000000 86.936 106.3432
254.000000 86.892 105.7868
258.000000 86.846 105.2447
262.000000 86.800 104.7184
265.000000 86.768 104.3346
269.000000 86.728 103.8074
272.000000 86.698 103.4107
276.000000 86.658 102.9000
280.000000 86.620 102.4172
285.000000 86.574 101.8275
290.000000 86.533 101.2230
295.000000 86.492 100.6292
300.000000 86.452 100.0445
304.000000 86.422 99.5719
307.000000 86.401 99.2183
311.000000 86.372 98.7517
315.000000 86.345 98.2918
320.000000 86.313 97.7288
325.000000 86.284 97.1834
330.000000 86.257 96.6418
335.000000 86.234 96.0837
340.000000 86.212 95.5076
345.000000 86.188 94.9280
350.000000 86.166 94.3637
355.000000 86.145 93.8072
360.000000 86.124 93.2525
365.000000 86.103 92.6935
370.000000 86.084 92.1269
375.000000 86.064 91.5809
382.000000 86.038 90.8414
387.000000 86.020 90.3104
395.000000 85.994 89.4536
400.000000 85.979 88.9215
406.000000 85.962 88.2867
412.000000 85.945 87.6592
418.000000 85.930 87.0336
425.000000 85.911 86.3135
431.000000 85.894 85.6970
437.000000 85.880 85.0925
444.000000 85.864 84.3925
450.000000 85.851 83.7943
455.000000 85.838 83.3013
462.000000 85.821 82.6218
468.000000 85.808 82.0438
475.000000 85.792 81.3766
482.000000 85.775 80.7087
487.000000 85.764 80.2407
494.000000 85.749 79.5998
500.000000 85.737 79.0559
508.000000 85.721 78.3409
515.000000 85.707 77.7392
522.000000 85.693 77.1459
530.000000 85.675 76.4667
538.000000 85.660 75.7990
545.000000 85.647 75.2393
552.000000 85.633 74.6869
560.000000 85.617 74.0653
570.000000 85.597 73.3143
580.000000 85.579 72.5782
590.000000 85.563 71.8671
600.000000 85.548 71.1805
608.000000 85.535 70.6540
615.000000 85.524 70.2118
622.000000 85.513 69.7815
630.000000 85.501 69.3017
640.000000 85.487 68.7130
650.000000 85.475 68.1468
660.000000 85.466 67.6084
670.000000 85.457 67.1000
680.000000 85.449 66.6155
690.000000 85.445 66.1373
700.000000 85.441 65.6818
710.000000 85.439 65.2555
720.000000 85.439 64.8502
730.000000 85.442 64.4612
740.000000 85.446 64.0836
750.000000 85.454 63.7270
762.000000 85.466 63.3299
775.000000 85.483 62.9191
788.000000 85.506 62.5347
800.000000 85.533 62.1943
812.000000 85.562 61.8674
825.000000 85.598 61.5330
838.000000 85.640 61.2104
850.000000 85.686 60.9150
862.000000 85.736 60.6203
875.000000 85.794 60.3065
885.000000 85.843 60.0699
900.000000 85.925 59.6960
912.000000 85.993 59.3808
925.000000 86.071 59.0331
938.000000 86.155 58.6734
950.000000 86.236 58.3199
962.000000 86.320 57.9421
975.000000 86.414 57.5065
988.000000 86.510 57.0433
1000.000000 86.601 56.5966
1015.000000 86.716 55.9995
1030.000000 86.832 55.3514
1044.000000 86.942 54.7109
1060.000000 87.065 53.9442
1075.000000 87.180 53.1946
1090.000000 87.292 52.4018
1106.000000 87.410 51.5180
1120.000000 87.510 50.7195
1138.000000 87.633 49.6651
1150.000000 87.711 48.9450
1172.000000 87.848 47.5917
1180.000000 87.897 47.0948
1206.000000 88.045 45.4719
1220.000000 88.122 44.5945
1241.000000 88.232 43.2749
1250.000000 88.277 42.7080
1265.000000 88.350 41.7622
1280.000000 88.420 40.8164
1315.000000 88.575 38.6066
1320.000000 88.597 38.2916
1340.000000 88.681 37.0368
1360.000000 88.761 35.7868
1380.000000 88.839 34.5349
1400.000000 88.914 33.2906
1430.000000 89.025 31.4276
1450.000000 89.097 30.1906
1475.000000 89.185 28.6433
1500.000000 89.272 27.0906
1525.000000 89.358 25.5316
1550.000000 89.444 23.9595
1575.000000 89.529 22.3662
1600.000000 89.615 20.7521
1625.000000 89.698 19.1124
1650.000000 89.780 17.4437
1675.000000 89.861 15.7429
1700.000000 89.938 14.0079
1725.000000 90.013 12.2346
1750.000000 90.084 10.4235
1775.000000 90.152 8.5793
1800.000000 90.215 6.6956
1825.000000 90.272 4.7718
1850.000000 90.323 2.8110
1875.000000 90.367 0.8174
1900.000000 90.404 -1.2044
1925.000000 90.433 -3.2546
1950.000000 90.454 -5.3279
1975.000000 90.465 -7.4180
2000.000000 90.468 -9.5214
2030.000000 90.460 -12.0544
2060.000000 90.439 -14.5833
2090.000000 90.405 -17.0928
2120.000000 90.359 -19.5833
2140.000000 90.322 -21.2295
2180.000000 90.236 -24.4749
2200.000000 90.186 -26.0668
2240.000000 90.078 -29.1835
2270.000000 89.991 -31.4562
2300.000000 89.899 -33.6709
2330.000000 89.804 -35.8271
2360.000000 89.708 -37.9249
2400.000000 89.580 -40.6294
2430.000000 89.487 -42.5911
2470.000000 89.369 -45.1250
2500.000000 89.287 -46.9727
2540.000000 89.186 -49.3705
2580.000000 89.100 -51.6982
2620.000000 89.029 -53.9794
2650.000000 88.988 -55.6664
2690.000000 88.949 -57.8964
2720.000000 88.934 -59.5665
2760.000000 88.930 -61.8015
2800.000000 88.948 -64.0624
2850.000000 89.000 -66.9579
2900.000000 89.086 -69.9670
2950.000000 89.204 -73.1286
3000.000000 89.351 -76.4983
3040.000000 89.484 -79.3744
3070.000000 89.590 -81.6444
3110.000000 89.736 -84.8261
3150.000000 89.883 -88.1880
3200.000000 90.061 -92.6541
3250.000000 90.221 -97.4141
3300.000000 90.347 -102.4487
3350.000000 90.424 -107.7004
3400.000000 90.439 -113.0662
3450.000000 90.386 -118.4254
3500.000000 90.261 -123.6445
3550.000000 90.071 -128.5946
3600.000000 89.828 -133.1670
3650.000000 89.547 -137.2843
3700.000000 89.243 -140.9149
3750.000000 88.934 -144.0546
3820.000000 88.517 -147.6603
3870.000000 88.243 -149.7114
3950.000000 87.873 -152.2223
4000.000000 87.692 -153.4044
4060.000000 87.531 -154.5233
4120.000000 87.435 -155.3958
4180.000000 87.403 -156.1254
4250.000000 87.444 -156.9161
4310.000000 87.540 -157.6378
4370.000000 87.683 -158.4755
4440.000000 87.898 -159.6692
4500.000000 88.112 -160.9450
4550.000000 88.300 -162.2084
4620.000000 88.560 -164.2753
4680.000000 88.771 -166.3064
4750.000000 88.985 -168.9443
4820.000000 89.153 -171.7979
4870.000000 89.238 -173.9097
4940.000000 89.305 -176.8900
5000.000000 89.314 -179.4005
5080.000000 89.262 177.4252
5150.000000 89.162 174.8915
5220.000000 89.023 172.6308
5300.000000 88.826 170.4071
5380.000000 88.596 168.5983
5450.000000 88.373 167.4102
5520.000000 88.143 166.6359
5600.000000 87.893 166.2489
5700.000000 87.630 166.3874
5800.000000 87.439 166.9985
5900.000000 87.318 167.8730
6000.000000 87.258 168.8881
6080.000000 87.250 169.7580
6150.000000 87.268 170.5368
6220.000000 87.309 171.3135
6300.000000 87.381 172.1814
6400.000000 87.505 173.2003
