* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -30.0 dBFS with no timing reference
* Dated: Mar 20, 2025 8:10:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Arpegear Hane (0000) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.959 37.2523
20.600000 86.974 36.7059
20.900000 86.988 36.1001
21.200001 87.000 35.4726
21.400000 87.008 35.0454
21.799999 87.026 34.1847
22.000000 87.038 33.7601
22.400000 87.065 32.9406
22.700001 87.090 32.3575
23.000000 87.117 31.7992
23.299999 87.142 31.2615
23.600000 87.161 30.7437
24.000000 87.173 30.0925
24.299999 87.173 29.6416
24.700001 87.165 29.0898
25.000000 87.161 28.6967
25.400000 87.165 28.1560
25.799999 87.183 27.5507
26.200001 87.211 26.8683
26.500000 87.232 26.3295
26.900000 87.256 25.6347
27.200001 87.270 25.1712
27.600000 87.283 24.6628
28.000000 87.294 24.2688
28.500000 87.311 23.8451
29.000000 87.329 23.3567
29.500000 87.340 22.7134
30.000000 87.335 21.9515
30.400000 87.320 21.3456
30.700001 87.307 20.9420
31.100000 87.293 20.5002
31.500000 87.293 20.1529
32.000000 87.311 19.7582
32.500000 87.340 19.2938
33.000000 87.361 18.7176
33.500000 87.365 18.0779
34.000000 87.358 17.4500
34.500000 87.348 16.8848
35.000000 87.343 16.4011
35.500000 87.344 15.9977
36.000000 87.351 15.6538
36.500000 87.361 15.3271
37.000000 87.369 14.9684
37.500000 87.366 14.5504
38.200001 87.341 13.8991
38.700001 87.317 13.4468
39.500000 87.310 12.7704
40.000000 87.330 12.3097
40.599998 87.350 11.6960
41.200001 87.334 11.1559
41.799999 87.287 10.8286
42.500000 87.245 10.5636
43.099998 87.244 10.1476
43.700001 87.267 9.5235
44.400002 87.312 8.8064
45.000000 87.350 8.3670
45.500000 87.360 8.1398
46.200001 87.322 8.0304
46.799999 87.268 8.0495
47.500000 87.233 7.9205
48.200001 87.235 7.4942
48.700001 87.246 7.1332
49.400002 87.268 6.7077
50.000000 87.276 6.3858
50.799999 87.248 5.9260
51.500000 87.211 5.4987
52.200001 87.196 5.0199
53.000000 87.195 4.5167
53.799999 87.194 4.2896
54.500000 87.191 4.1995
55.200001 87.169 3.9617
56.000000 87.124 3.4637
57.000000 87.077 2.7194
58.000000 87.064 2.3087
59.000000 87.088 2.2069
60.000000 87.075 1.7304
60.799999 87.017 1.1701
61.500000 86.975 0.7466
62.200001 86.956 0.4416
63.000000 86.947 0.2818
64.000000 86.937 0.1915
65.000000 86.915 -0.1563
66.000000 86.874 -0.6264
67.000000 86.844 -0.9369
68.000000 86.820 -1.2362
69.000000 86.787 -1.5651
70.000000 86.773 -1.9420
71.000000 86.756 -2.4002
72.000000 86.717 -2.7042
73.000000 86.683 -2.9167
74.000000 86.654 -3.1515
75.000000 86.644 -3.3817
76.199997 86.639 -3.7021
77.500000 86.605 -3.9677
78.800003 86.550 -4.1934
80.000000 86.520 -4.4162
81.199997 86.509 -4.8080
82.500000 86.473 -5.2137
83.800003 86.432 -5.4619
85.000000 86.397 -5.6535
86.199997 86.367 -5.9217
87.500000 86.330 -6.2329
88.500000 86.305 -6.4284
90.000000 86.276 -6.7111
91.199997 86.254 -6.9298
92.500000 86.219 -7.1747
93.800003 86.174 -7.4295
95.000000 86.146 -7.6269
96.199997 86.124 -7.8196
97.500000 86.070 -8.0237
98.800003 85.971 -8.3440
100.000000 85.892 -8.4840
101.500000 85.918 -8.4170
103.000000 85.943 -8.5490
104.400002 85.911 -8.8946
106.000000 85.876 -9.3214
107.500000 85.855 -9.4775
109.000000 85.821 -9.5886
110.599998 85.747 -9.6237
112.000000 85.696 -9.6515
113.800003 85.655 -9.9186
115.000000 85.621 -10.1006
117.199997 85.553 -10.1588
118.000000 85.531 -10.1071
120.599998 85.472 -10.1113
122.000000 85.436 -10.4364
124.099998 85.387 -10.7266
125.000000 85.368 -10.7752
126.500000 85.333 -10.8496
128.000000 85.299 -10.9560
131.500000 85.216 -11.1682
132.000000 85.203 -11.1891
134.000000 85.154 -11.2678
136.000000 85.105 -11.3602
138.000000 85.061 -11.4368
140.000000 85.020 -11.4847
143.000000 84.948 -11.6333
145.000000 84.895 -11.6920
147.500000 84.834 -11.7010
150.000000 84.767 -11.4431
152.500000 84.722 -11.5543
155.000000 84.681 -11.8492
157.500000 84.609 -12.0470
160.000000 84.523 -12.2626
162.500000 84.496 -12.1035
165.000000 84.459 -12.0540
167.500000 84.404 -12.0804
170.000000 84.350 -12.0343
172.500000 84.302 -11.9334
175.000000 84.255 -11.8426
177.500000 84.209 -11.7603
180.000000 84.164 -11.6691
182.500000 84.119 -11.5230
185.000000 84.084 -11.3309
187.500000 84.056 -11.1705
190.000000 84.031 -11.1065
192.500000 84.009 -11.1083
195.000000 83.983 -11.1049
197.500000 83.960 -11.0958
200.000000 83.937 -11.0630
203.000000 83.879 -11.0719
206.000000 83.818 -11.0870
209.000000 83.772 -10.9935
212.000000 83.722 -10.9020
214.000000 83.688 -10.8896
218.000000 83.623 -10.8331
220.000000 83.593 -10.7983
224.000000 83.537 -10.6204
227.000000 83.496 -10.4456
230.000000 83.457 -10.3170
233.000000 83.418 -10.1731
236.000000 83.378 -10.0180
240.000000 83.331 -9.7698
243.000000 83.301 -9.6898
247.000000 83.256 -9.5612
250.000000 83.222 -9.4401
254.000000 83.177 -9.2758
258.000000 83.130 -9.0976
262.000000 83.082 -8.8915
265.000000 83.048 -8.7319
269.000000 83.005 -8.5576
272.000000 82.978 -8.4377
276.000000 82.942 -8.2451
280.000000 82.901 -8.0096
285.000000 82.854 -7.7389
290.000000 82.809 -7.4980
295.000000 82.761 -7.3667
300.000000 82.723 -7.1003
304.000000 82.693 -6.8077
307.000000 82.668 -6.6416
311.000000 82.635 -6.4256
315.000000 82.609 -6.2088
320.000000 82.578 -6.0079
325.000000 82.534 -5.6832
330.000000 82.491 -5.3620
335.000000 82.452 -5.0877
340.000000 82.415 -4.8162
345.000000 82.378 -4.5339
350.000000 82.342 -4.2244
355.000000 82.303 -3.9539
360.000000 82.271 -3.6743
365.000000 82.245 -3.3453
370.000000 82.221 -3.0374
375.000000 82.197 -2.7527
382.000000 82.163 -2.3604
387.000000 82.141 -2.0762
395.000000 82.097 -1.6809
400.000000 82.060 -1.4228
406.000000 82.029 -0.9930
412.000000 82.010 -0.5914
418.000000 81.992 -0.2160
425.000000 81.968 0.1929
431.000000 81.943 0.5342
437.000000 81.918 0.8690
444.000000 81.891 1.2893
450.000000 81.869 1.6704
455.000000 81.851 1.9962
462.000000 81.824 2.4563
468.000000 81.804 2.8536
475.000000 81.781 3.3007
482.000000 81.760 3.7168
487.000000 81.748 4.0283
494.000000 81.734 4.4900
500.000000 81.725 4.9080
508.000000 81.714 5.4222
515.000000 81.705 5.8772
522.000000 81.699 6.3202
530.000000 81.697 6.7767
538.000000 81.691 7.2298
545.000000 81.681 7.6365
552.000000 81.673 8.0384
560.000000 81.663 8.4922
570.000000 81.651 9.0602
580.000000 81.643 9.6258
590.000000 81.637 10.2073
600.000000 81.628 10.7748
608.000000 81.620 11.2749
615.000000 81.617 11.7231
622.000000 81.617 12.1512
630.000000 81.617 12.6373
640.000000 81.618 13.2520
650.000000 81.623 13.8787
660.000000 81.627 14.5178
670.000000 81.629 15.1430
680.000000 81.636 15.7731
690.000000 81.647 16.3966
700.000000 81.660 17.0077
710.000000 81.673 17.6280
720.000000 81.691 18.2729
730.000000 81.711 18.9130
740.000000 81.731 19.5383
750.000000 81.754 20.1615
762.000000 81.783 20.8776
775.000000 81.815 21.6735
788.000000 81.850 22.4802
800.000000 81.888 23.2288
812.000000 81.929 23.9893
825.000000 81.976 24.8108
838.000000 82.028 25.6243
850.000000 82.082 26.3636
862.000000 82.140 27.1095
875.000000 82.210 27.9072
885.000000 82.267 28.5064
900.000000 82.353 29.3852
912.000000 82.428 30.0745
925.000000 82.516 30.8026
938.000000 82.607 31.5020
950.000000 82.693 32.1255
962.000000 82.784 32.7226
975.000000 82.886 33.3242
988.000000 82.990 33.8990
1000.000000 83.089 34.4050
1015.000000 83.217 34.9852
1030.000000 83.345 35.5209
1044.000000 83.463 35.9808
1060.000000 83.599 36.4599
1075.000000 83.728 36.8538
1090.000000 83.856 37.1913
1106.000000 83.991 37.5176
1120.000000 84.106 37.7723
1138.000000 84.251 38.0585
1150.000000 84.345 38.2213
1172.000000 84.513 38.4683
1180.000000 84.572 38.5453
1206.000000 84.759 38.7512
1220.000000 84.857 38.8376
1241.000000 84.997 38.9586
1250.000000 85.055 39.0055
1265.000000 85.150 39.0734
1280.000000 85.242 39.1291
1315.000000 85.447 39.2466
1320.000000 85.476 39.2630
1340.000000 85.587 39.3302
1360.000000 85.694 39.3971
1380.000000 85.798 39.4559
1400.000000 85.901 39.5140
1430.000000 86.052 39.6085
1450.000000 86.151 39.6733
1475.000000 86.272 39.7578
1500.000000 86.392 39.8416
1525.000000 86.513 39.9318
1550.000000 86.633 40.0239
1575.000000 86.753 40.1085
1600.000000 86.873 40.1940
1625.000000 86.994 40.2744
1650.000000 87.117 40.3539
1675.000000 87.241 40.4268
1700.000000 87.366 40.4907
1725.000000 87.492 40.5436
1750.000000 87.620 40.5820
1775.000000 87.749 40.6075
1800.000000 87.882 40.6176
1825.000000 88.016 40.6017
1850.000000 88.153 40.5654
1875.000000 88.292 40.5040
1900.000000 88.432 40.4063
1925.000000 88.574 40.2753
1950.000000 88.717 40.1055
1975.000000 88.860 39.8921
2000.000000 89.003 39.6326
2030.000000 89.171 39.2679
2060.000000 89.334 38.8468
2090.000000 89.494 38.3731
2120.000000 89.648 37.8573
2140.000000 89.748 37.4945
2180.000000 89.939 36.7219
2200.000000 90.031 36.3150
2240.000000 90.211 35.4640
2270.000000 90.340 34.7961
2300.000000 90.464 34.1027
2330.000000 90.583 33.3775
2360.000000 90.697 32.6224
2400.000000 90.841 31.5815
2430.000000 90.943 30.7690
2470.000000 91.067 29.6465
2500.000000 91.154 28.7799
2540.000000 91.258 27.5900
2580.000000 91.349 26.3761
2620.000000 91.425 25.1534
2650.000000 91.474 24.2307
2690.000000 91.528 22.9964
2720.000000 91.559 22.0739
2760.000000 91.590 20.8574
2800.000000 91.606 19.6659
2850.000000 91.611 18.2234
2900.000000 91.598 16.8438
2950.000000 91.571 15.5299
3000.000000 91.530 14.2928
3040.000000 91.488 13.3604
3070.000000 91.453 12.7006
3110.000000 91.402 11.8710
3150.000000 91.345 11.0978
3200.000000 91.269 10.2092
3250.000000 91.188 9.4100
3300.000000 91.104 8.6997
3350.000000 91.018 8.0725
3400.000000 90.930 7.5319
3450.000000 90.843 7.0727
3500.000000 90.758 6.6921
3550.000000 90.676 6.3974
3600.000000 90.598 6.1839
3650.000000 90.529 6.0494
3700.000000 90.472 5.9845
3750.000000 90.428 5.9512
3820.000000 90.387 5.8888
3870.000000 90.367 5.8088
3950.000000 90.340 5.6296
4000.000000 90.326 5.5010
4060.000000 90.311 5.3439
4120.000000 90.298 5.1942
4180.000000 90.290 5.0419
4250.000000 90.287 4.8579
4310.000000 90.289 4.6821
4370.000000 90.295 4.4784
4440.000000 90.306 4.2040
4500.000000 90.317 3.9251
4550.000000 90.323 3.6584
4620.000000 90.327 3.2654
4680.000000 90.325 2.9355
4750.000000 90.323 2.5880
4820.000000 90.328 2.2759
4870.000000 90.340 2.0366
4940.000000 90.365 1.6224
5000.000000 90.389 1.1656
5080.000000 90.411 0.4184
5150.000000 90.416 -0.3228
5220.000000 90.405 -1.1181
5300.000000 90.370 -2.0587
5380.000000 90.313 -2.9899
5450.000000 90.244 -3.7751
5520.000000 90.161 -4.5046
5600.000000 90.050 -5.2489
5700.000000 89.891 -6.0226
5800.000000 89.718 -6.6000
5900.000000 89.536 -6.9623
6000.000000 89.355 -7.0948
6080.000000 89.215 -7.0423
6150.000000 89.098 -6.8912
