* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -30.0 dBFS with no timing reference
* Dated: Mar 20, 2025 8:14:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Arpegear Hane (1000) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.406 32.1571
20.600000 86.421 31.5386
20.900000 86.435 30.8689
21.200001 86.447 30.1953
21.400000 86.455 29.7482
21.799999 86.468 28.8682
22.000000 86.476 28.4381
22.400000 86.493 27.5948
22.700001 86.507 26.9681
23.000000 86.521 26.3386
23.299999 86.531 25.7066
23.600000 86.537 25.0806
24.000000 86.535 24.2784
24.299999 86.530 23.7132
24.700001 86.524 23.0059
25.000000 86.522 22.4962
25.400000 86.521 21.8226
25.799999 86.519 21.1515
26.200001 86.512 20.5026
26.500000 86.506 20.0453
26.900000 86.501 19.4761
27.200001 86.500 19.0646
27.600000 86.506 18.5031
28.000000 86.513 17.9047
28.500000 86.516 17.1241
29.000000 86.509 16.3764
29.500000 86.497 15.7037
30.000000 86.487 15.0706
30.400000 86.479 14.5503
30.700001 86.470 14.1427
31.100000 86.454 13.5868
31.500000 86.433 13.0413
32.000000 86.406 12.4092
32.500000 86.388 11.8447
33.000000 86.379 11.3352
33.500000 86.377 10.8578
34.000000 86.373 10.3885
34.500000 86.363 9.9102
35.000000 86.346 9.4176
35.500000 86.324 8.9118
36.000000 86.303 8.3954
36.500000 86.283 7.8832
37.000000 86.263 7.4084
37.500000 86.242 6.9930
38.200001 86.215 6.4465
38.700001 86.190 6.0099
39.500000 86.131 5.2995
40.000000 86.104 4.9347
40.599998 86.107 4.5041
41.200001 86.126 3.9588
41.799999 86.112 3.4356
42.500000 86.064 3.1870
43.099998 86.051 3.1226
43.700001 86.063 2.7575
44.400002 86.036 1.9154
45.000000 85.966 1.3026
45.500000 85.913 1.0473
46.200001 85.887 0.8249
46.799999 85.882 0.4659
47.500000 85.854 -0.1212
48.200001 85.817 -0.6570
48.700001 85.805 -0.9810
49.400002 85.807 -1.4316
50.000000 85.801 -1.8335
50.799999 85.755 -2.2582
51.500000 85.695 -2.4322
52.200001 85.654 -2.5487
53.000000 85.628 -2.8508
53.799999 85.591 -3.2925
54.500000 85.553 -3.6550
55.200001 85.523 -3.9936
56.000000 85.493 -4.3458
57.000000 85.448 -4.6601
58.000000 85.369 -5.0379
59.000000 85.259 -5.4152
60.000000 85.228 -5.6029
60.799999 85.259 -5.8639
61.500000 85.263 -6.1909
62.200001 85.230 -6.4807
63.000000 85.190 -6.7666
64.000000 85.176 -7.2189
65.000000 85.168 -7.6399
66.000000 85.129 -7.8331
67.000000 85.073 -7.9741
68.000000 85.027 -8.3293
69.000000 84.982 -8.8135
70.000000 84.932 -9.1315
71.000000 84.879 -9.2914
72.000000 84.818 -9.4003
73.000000 84.772 -9.5577
74.000000 84.749 -9.8494
75.000000 84.734 -10.1832
76.199997 84.707 -10.5691
77.500000 84.661 -10.9229
78.800003 84.614 -11.1802
80.000000 84.562 -11.2730
81.199997 84.522 -11.3198
82.500000 84.480 -11.5685
83.800003 84.434 -11.8374
85.000000 84.395 -11.9891
86.199997 84.346 -12.1220
87.500000 84.283 -12.3109
88.500000 84.246 -12.4786
90.000000 84.188 -12.7570
91.199997 84.144 -12.9530
92.500000 84.102 -13.1900
93.800003 84.063 -13.4918
95.000000 84.032 -13.8737
96.199997 83.994 -14.0710
97.500000 83.972 -13.9279
98.800003 84.002 -13.7024
100.000000 84.005 -13.7298
101.500000 83.877 -13.8098
103.000000 83.784 -13.9656
104.400002 83.748 -14.1965
106.000000 83.693 -14.3420
107.500000 83.644 -14.6890
109.000000 83.597 -15.0759
110.599998 83.554 -15.1134
112.000000 83.519 -15.0538
113.800003 83.439 -15.0683
115.000000 83.388 -15.1063
117.199997 83.314 -15.2903
118.000000 83.290 -15.3325
120.599998 83.213 -15.4681
122.000000 83.177 -15.6016
124.099998 83.118 -15.7120
125.000000 83.092 -15.7376
126.500000 83.056 -15.8316
128.000000 83.024 -15.9223
131.500000 82.940 -16.0152
132.000000 82.927 -16.0160
134.000000 82.870 -15.9985
136.000000 82.816 -16.0272
138.000000 82.762 -16.0531
140.000000 82.704 -16.0493
143.000000 82.622 -16.1044
145.000000 82.575 -16.0935
147.500000 82.527 -16.1188
150.000000 82.525 -16.2951
152.500000 82.463 -16.2374
155.000000 82.362 -16.1080
157.500000 82.322 -15.8932
160.000000 82.306 -15.6770
162.500000 82.209 -15.9102
165.000000 82.123 -16.0291
167.500000 82.062 -16.0625
170.000000 82.002 -15.9840
172.500000 81.947 -15.9633
175.000000 81.898 -15.9626
177.500000 81.846 -15.9202
180.000000 81.785 -15.8754
182.500000 81.722 -15.7616
185.000000 81.666 -15.6529
187.500000 81.614 -15.5258
190.000000 81.559 -15.4093
192.500000 81.511 -15.2722
195.000000 81.458 -15.0167
197.500000 81.409 -14.5860
200.000000 81.381 -14.3002
203.000000 81.338 -14.2736
206.000000 81.304 -14.1264
209.000000 81.257 -13.9561
212.000000 81.191 -13.9376
214.000000 81.158 -13.8640
218.000000 81.126 -13.4460
220.000000 81.111 -13.2486
224.000000 81.087 -13.1205
227.000000 81.059 -13.1143
230.000000 81.025 -13.0499
233.000000 80.996 -12.9139
236.000000 80.969 -12.7226
240.000000 80.934 -12.5723
243.000000 80.888 -12.4815
247.000000 80.820 -12.3654
250.000000 80.776 -12.2399
254.000000 80.727 -12.0380
258.000000 80.684 -11.8405
262.000000 80.638 -11.6514
265.000000 80.604 -11.4782
269.000000 80.556 -11.2626
272.000000 80.518 -11.1223
276.000000 80.475 -10.9249
280.000000 80.440 -10.6807
285.000000 80.392 -10.3492
290.000000 80.334 -10.0350
295.000000 80.266 -9.6509
300.000000 80.219 -9.3818
304.000000 80.194 -9.2332
307.000000 80.172 -9.0982
311.000000 80.138 -8.8757
315.000000 80.105 -8.6706
320.000000 80.065 -8.4379
325.000000 80.023 -8.1290
330.000000 79.984 -7.7789
335.000000 79.947 -7.4026
340.000000 79.910 -7.0399
345.000000 79.877 -6.7403
350.000000 79.840 -6.4912
355.000000 79.802 -6.2307
360.000000 79.773 -5.8974
365.000000 79.745 -5.5674
370.000000 79.710 -5.2568
375.000000 79.674 -4.9587
382.000000 79.633 -4.5418
387.000000 79.610 -4.2249
395.000000 79.576 -3.7189
400.000000 79.561 -3.4923
406.000000 79.532 -3.0626
412.000000 79.489 -2.6270
418.000000 79.458 -2.2630
425.000000 79.434 -1.7815
431.000000 79.410 -1.3380
437.000000 79.390 -0.9344
444.000000 79.366 -0.5056
450.000000 79.340 -0.1695
455.000000 79.319 0.1179
462.000000 79.292 0.5288
468.000000 79.276 0.8817
475.000000 79.262 1.3304
482.000000 79.238 1.8108
487.000000 79.221 2.1345
494.000000 79.200 2.5278
500.000000 79.182 2.8897
508.000000 79.164 3.4026
515.000000 79.148 3.8238
522.000000 79.129 4.2723
530.000000 79.113 4.7868
538.000000 79.099 5.2593
545.000000 79.085 5.6972
552.000000 79.072 6.1498
560.000000 79.056 6.6460
570.000000 79.038 7.2582
580.000000 79.027 7.8970
590.000000 79.010 8.5125
600.000000 78.994 9.1443
608.000000 78.987 9.6817
615.000000 78.985 10.1240
622.000000 78.982 10.5521
630.000000 78.977 11.0606
640.000000 78.972 11.7289
650.000000 78.973 12.3852
660.000000 78.972 13.0220
670.000000 78.972 13.6957
680.000000 78.972 14.3669
690.000000 78.976 15.0238
700.000000 78.983 15.6846
710.000000 78.992 16.3568
720.000000 79.003 17.0494
730.000000 79.017 17.7558
740.000000 79.032 18.4694
750.000000 79.048 19.1665
762.000000 79.075 19.9773
775.000000 79.107 20.8862
788.000000 79.144 21.8155
800.000000 79.188 22.6493
812.000000 79.236 23.4812
825.000000 79.291 24.3941
838.000000 79.353 25.2779
850.000000 79.415 26.0525
862.000000 79.480 26.8438
875.000000 79.556 27.6860
885.000000 79.619 28.3054
900.000000 79.715 29.1989
912.000000 79.796 29.9010
925.000000 79.889 30.6499
938.000000 79.984 31.3492
950.000000 80.075 31.9716
962.000000 80.169 32.5777
975.000000 80.275 33.2007
988.000000 80.383 33.7689
1000.000000 80.483 34.2711
1015.000000 80.611 34.8634
1030.000000 80.742 35.3900
1044.000000 80.866 35.8478
1060.000000 81.005 36.3367
1075.000000 81.135 36.7325
1090.000000 81.264 37.0805
1106.000000 81.400 37.4040
1120.000000 81.518 37.6654
1138.000000 81.667 37.9626
1150.000000 81.762 38.1264
1172.000000 81.932 38.3830
1180.000000 81.993 38.4659
1206.000000 82.184 38.6947
1220.000000 82.282 38.7987
1241.000000 82.424 38.9308
1250.000000 82.483 38.9779
1265.000000 82.579 39.0475
1280.000000 82.673 39.1056
1315.000000 82.883 39.2340
1320.000000 82.912 39.2519
1340.000000 83.026 39.3167
1360.000000 83.136 39.3798
1380.000000 83.242 39.4517
1400.000000 83.346 39.5188
1430.000000 83.500 39.6195
1450.000000 83.602 39.6843
1475.000000 83.729 39.7612
1500.000000 83.854 39.8522
1525.000000 83.976 39.9359
1550.000000 84.100 40.0088
1575.000000 84.223 40.0897
1600.000000 84.345 40.1745
1625.000000 84.469 40.2493
1650.000000 84.593 40.3125
1675.000000 84.719 40.3573
1700.000000 84.845 40.3940
1725.000000 84.972 40.4241
1750.000000 85.100 40.4493
1775.000000 85.229 40.4550
1800.000000 85.359 40.4416
1825.000000 85.491 40.4153
1850.000000 85.624 40.3752
1875.000000 85.758 40.3173
1900.000000 85.895 40.2394
1925.000000 86.034 40.1400
1950.000000 86.175 40.0161
1975.000000 86.318 39.8661
2000.000000 86.463 39.6774
2030.000000 86.642 39.3867
2060.000000 86.822 39.0237
2090.000000 87.002 38.5711
2120.000000 87.178 38.0221
2140.000000 87.291 37.6076
2180.000000 87.504 36.6848
2200.000000 87.603 36.1871
2240.000000 87.788 35.1512
2270.000000 87.917 34.3560
2300.000000 88.037 33.5481
2330.000000 88.150 32.7244
2360.000000 88.256 31.8817
2400.000000 88.390 30.7319
2430.000000 88.482 29.8534
2470.000000 88.594 28.6564
2500.000000 88.670 27.7438
2540.000000 88.761 26.5156
2580.000000 88.840 25.2768
2620.000000 88.906 24.0349
2650.000000 88.947 23.0970
2690.000000 88.989 21.8419
2720.000000 89.013 20.9093
2760.000000 89.033 19.6841
2800.000000 89.041 18.4859
2850.000000 89.035 17.0356
2900.000000 89.012 15.6505
2950.000000 88.974 14.3323
3000.000000 88.923 13.0936
3040.000000 88.874 12.1644
3070.000000 88.833 11.5067
3110.000000 88.774 10.6790
3150.000000 88.709 9.9079
3200.000000 88.623 9.0251
3250.000000 88.531 8.2297
3300.000000 88.437 7.5211
3350.000000 88.340 6.9009
3400.000000 88.242 6.3695
3450.000000 88.146 5.9319
3500.000000 88.050 5.5867
3550.000000 87.958 5.3331
3600.000000 87.876 5.1674
3650.000000 87.805 5.0684
3700.000000 87.748 5.0034
3750.000000 87.703 4.9301
3820.000000 87.651 4.7690
3870.000000 87.614 4.6274
3950.000000 87.555 4.4169
4000.000000 87.520 4.3080
4060.000000 87.482 4.2042
4120.000000 87.448 4.1223
4180.000000 87.420 4.0529
4250.000000 87.396 3.9738
4310.000000 87.382 3.8890
4370.000000 87.373 3.7793
4440.000000 87.366 3.6118
4500.000000 87.360 3.4352
4550.000000 87.355 3.2744
4620.000000 87.344 3.0389
4680.000000 87.333 2.8402
4750.000000 87.324 2.6304
4820.000000 87.320 2.4231
4870.000000 87.322 2.2498
4940.000000 87.327 1.9457
5000.000000 87.330 1.6310
5080.000000 87.327 1.1479
5150.000000 87.315 0.6734
5220.000000 87.293 0.1796
5300.000000 87.257 -0.3890
5380.000000 87.207 -0.9494
5450.000000 87.154 -1.4193
5520.000000 87.092 -1.8542
5600.000000 87.009 -2.2921
5700.000000 86.894 -2.7283
5800.000000 86.771 -3.0254
5900.000000 86.645 -3.1693
6000.000000 86.519 -3.1555
