* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -30.0 dBFS with no timing reference
* Dated: Mar 20, 2025 9:07:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Arp Hane (1111 0ohm) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.735 31.1377
20.600000 86.745 30.4375
20.900000 86.755 29.7111
21.200001 86.769 29.0144
21.400000 86.783 28.5601
21.799999 86.819 27.6457
22.000000 86.839 27.1756
22.400000 86.874 26.2100
22.700001 86.888 25.4877
23.000000 86.892 24.7981
23.299999 86.887 24.1607
23.600000 86.880 23.5742
24.000000 86.875 22.8256
24.299999 86.878 22.2408
24.700001 86.886 21.3796
25.000000 86.890 20.6746
25.400000 86.887 19.7083
25.799999 86.876 18.7901
26.200001 86.864 17.9751
26.500000 86.860 17.4346
26.900000 86.861 16.7850
27.200001 86.868 16.3319
27.600000 86.881 15.7493
28.000000 86.900 15.1625
28.500000 86.928 14.3643
29.000000 86.947 13.4534
29.500000 86.941 12.4935
30.000000 86.911 11.6374
30.400000 86.887 11.0921
30.700001 86.878 10.7466
31.100000 86.884 10.3015
31.500000 86.902 9.8004
32.000000 86.922 9.0691
32.500000 86.922 8.3124
33.000000 86.904 7.6398
33.500000 86.883 7.0619
34.000000 86.864 6.5107
34.500000 86.845 5.9283
35.000000 86.824 5.2992
35.500000 86.799 4.6250
36.000000 86.771 3.9201
36.500000 86.736 3.2326
37.000000 86.700 2.6222
37.500000 86.676 2.0935
38.200001 86.673 1.3440
38.700001 86.675 0.7180
39.500000 86.651 -0.2905
40.000000 86.624 -0.7929
40.599998 86.597 -1.2946
41.200001 86.572 -1.8268
41.799999 86.535 -2.4333
42.500000 86.486 -3.1795
43.099998 86.462 -3.9011
43.700001 86.449 -4.7471
44.400002 86.417 -5.6741
45.000000 86.380 -6.1434
45.500000 86.361 -6.3069
46.200001 86.353 -6.4919
46.799999 86.337 -6.7990
47.500000 86.295 -7.2630
48.200001 86.259 -7.7497
48.700001 86.245 -8.1532
49.400002 86.223 -8.8111
50.000000 86.184 -9.3643
50.799999 86.117 -9.9735
51.500000 86.067 -10.4662
52.200001 86.030 -10.9934
53.000000 85.992 -11.5943
53.799999 85.950 -12.1796
54.500000 85.901 -12.6845
55.200001 85.848 -13.1396
56.000000 85.806 -13.6150
57.000000 85.769 -14.2588
58.000000 85.714 -14.8880
59.000000 85.655 -15.4900
60.000000 85.593 -16.0876
60.799999 85.540 -16.4914
61.500000 85.498 -16.8329
62.200001 85.459 -17.2090
63.000000 85.417 -17.6453
64.000000 85.366 -18.0907
65.000000 85.306 -18.5186
66.000000 85.217 -19.1460
67.000000 85.118 -19.7211
68.000000 85.083 -20.0629
69.000000 85.078 -20.4846
70.000000 85.026 -20.8727
71.000000 84.958 -21.1056
72.000000 84.892 -21.4346
73.000000 84.817 -21.8574
74.000000 84.748 -22.3190
75.000000 84.688 -22.8174
76.199997 84.622 -23.4246
77.500000 84.541 -24.0275
78.800003 84.461 -24.4158
80.000000 84.393 -24.7149
81.199997 84.318 -25.0873
82.500000 84.231 -25.5180
83.800003 84.154 -25.9200
85.000000 84.079 -26.2490
86.199997 84.013 -26.5273
87.500000 83.953 -26.9242
88.500000 83.897 -27.2467
90.000000 83.790 -27.6372
91.199997 83.705 -27.9113
92.500000 83.633 -28.2179
93.800003 83.564 -28.5069
95.000000 83.487 -28.7497
96.199997 83.406 -29.0171
97.500000 83.329 -29.3285
98.800003 83.256 -29.5653
100.000000 83.190 -29.7596
101.500000 83.107 -30.0574
103.000000 83.029 -30.2801
104.400002 82.956 -30.4843
106.000000 82.863 -30.7184
107.500000 82.778 -30.8593
109.000000 82.695 -31.0214
110.599998 82.607 -31.3210
112.000000 82.528 -31.5621
113.800003 82.432 -31.7813
115.000000 82.370 -31.9176
117.199997 82.250 -32.0835
118.000000 82.206 -32.1629
120.599998 82.078 -32.4818
122.000000 82.009 -32.5336
124.099998 81.904 -32.6261
125.000000 81.860 -32.6696
126.500000 81.790 -32.7235
128.000000 81.717 -32.8114
131.500000 81.531 -33.0290
132.000000 81.506 -33.0277
134.000000 81.413 -33.0646
136.000000 81.321 -33.1492
138.000000 81.227 -33.1976
140.000000 81.137 -33.2168
143.000000 81.008 -33.2105
145.000000 80.922 -33.2474
147.500000 80.816 -33.3035
150.000000 80.713 -33.3822
152.500000 80.609 -33.3692
155.000000 80.503 -33.2827
157.500000 80.398 -33.2157
160.000000 80.295 -33.2012
162.500000 80.194 -33.1707
165.000000 80.093 -33.1041
167.500000 79.989 -33.0357
170.000000 79.895 -32.9408
172.500000 79.809 -32.8333
175.000000 79.721 -32.7544
177.500000 79.626 -32.6119
180.000000 79.530 -32.4527
182.500000 79.442 -32.3256
185.000000 79.356 -32.1825
187.500000 79.270 -31.9717
190.000000 79.189 -31.7334
192.500000 79.110 -31.5289
195.000000 79.036 -31.3238
197.500000 78.968 -31.0766
200.000000 78.906 -30.8174
203.000000 78.839 -30.5552
206.000000 78.769 -30.4225
209.000000 78.692 -30.3030
212.000000 78.609 -30.1724
214.000000 78.550 -30.0955
218.000000 78.420 -30.0015
220.000000 78.359 -29.7523
224.000000 78.248 -29.1900
227.000000 78.165 -28.8649
230.000000 78.090 -28.5009
233.000000 78.025 -28.0530
236.000000 77.973 -27.6129
240.000000 77.934 -27.0731
243.000000 77.906 -26.7201
247.000000 77.866 -26.4187
250.000000 77.833 -26.2383
254.000000 77.774 -26.0421
258.000000 77.715 -25.8612
262.000000 77.652 -25.6917
265.000000 77.598 -25.5648
269.000000 77.522 -25.3745
272.000000 77.468 -25.1639
276.000000 77.400 -24.8670
280.000000 77.331 -24.6123
285.000000 77.248 -24.3034
290.000000 77.159 -23.8942
295.000000 77.076 -23.4724
300.000000 77.007 -23.0762
304.000000 76.946 -22.7442
307.000000 76.897 -22.5282
311.000000 76.838 -22.2230
315.000000 76.787 -21.9103
320.000000 76.718 -21.5152
325.000000 76.643 -21.0857
330.000000 76.577 -20.6717
335.000000 76.516 -20.2423
340.000000 76.454 -19.8205
345.000000 76.398 -19.3878
350.000000 76.338 -18.9618
355.000000 76.274 -18.5249
360.000000 76.216 -18.0883
365.000000 76.163 -17.6117
370.000000 76.111 -17.1492
375.000000 76.059 -16.6824
382.000000 75.993 -15.9816
387.000000 75.950 -15.4388
395.000000 75.902 -14.5964
400.000000 75.881 -14.0855
406.000000 75.856 -13.5759
412.000000 75.835 -13.1880
418.000000 75.821 -12.7928
425.000000 75.796 -12.2901
431.000000 75.757 -11.8450
437.000000 75.717 -11.4797
444.000000 75.678 -11.0941
450.000000 75.642 -10.6851
455.000000 75.610 -10.3532
462.000000 75.560 -9.8830
468.000000 75.521 -9.4402
475.000000 75.488 -8.9472
482.000000 75.451 -8.4166
487.000000 75.426 -8.0588
494.000000 75.396 -7.5741
500.000000 75.372 -7.1506
508.000000 75.336 -6.6082
515.000000 75.301 -6.1103
522.000000 75.267 -5.5616
530.000000 75.235 -4.9681
538.000000 75.207 -4.4160
545.000000 75.185 -3.9135
552.000000 75.161 -3.3865
560.000000 75.133 -2.8078
570.000000 75.095 -2.1062
580.000000 75.063 -1.4409
590.000000 75.034 -0.7278
600.000000 75.004 0.0203
608.000000 74.983 0.5895
615.000000 74.968 1.0869
622.000000 74.955 1.5963
630.000000 74.939 2.1951
640.000000 74.921 2.9492
650.000000 74.901 3.6933
660.000000 74.887 4.4063
670.000000 74.878 5.1434
680.000000 74.870 5.8811
690.000000 74.864 6.6298
700.000000 74.854 7.3823
710.000000 74.846 8.1261
720.000000 74.844 8.8884
730.000000 74.848 9.6381
740.000000 74.855 10.4070
750.000000 74.863 11.1658
762.000000 74.879 12.0520
775.000000 74.897 13.0647
788.000000 74.918 14.0432
800.000000 74.944 14.9387
812.000000 74.976 15.8863
825.000000 75.014 16.8820
838.000000 75.060 17.8426
850.000000 75.114 18.7064
862.000000 75.169 19.5662
875.000000 75.234 20.4944
885.000000 75.287 21.1767
900.000000 75.374 22.1630
912.000000 75.450 22.9189
925.000000 75.528 23.7057
938.000000 75.609 24.4853
950.000000 75.692 25.1858
962.000000 75.779 25.8604
975.000000 75.875 26.5430
988.000000 75.973 27.2045
1000.000000 76.068 27.7797
1015.000000 76.186 28.4479
1030.000000 76.306 29.0655
1044.000000 76.419 29.5916
1060.000000 76.545 30.1233
1075.000000 76.664 30.5570
1090.000000 76.783 30.9655
1106.000000 76.907 31.3775
1120.000000 77.013 31.7049
1138.000000 77.147 32.0749
1150.000000 77.235 32.2967
1172.000000 77.393 32.6590
1180.000000 77.447 32.7726
1206.000000 77.619 33.1160
1220.000000 77.709 33.2815
1241.000000 77.838 33.5039
1250.000000 77.891 33.5833
1265.000000 77.977 33.7089
1280.000000 78.062 33.8380
1315.000000 78.247 34.1311
1320.000000 78.272 34.1714
1340.000000 78.373 34.3294
1360.000000 78.471 34.4894
1380.000000 78.567 34.6445
1400.000000 78.659 34.8034
1430.000000 78.793 35.0393
1450.000000 78.882 35.2020
1475.000000 78.995 35.3836
1500.000000 79.105 35.5819
1525.000000 79.213 35.7912
1550.000000 79.320 35.9698
1575.000000 79.431 36.1690
1600.000000 79.542 36.3650
1625.000000 79.654 36.5599
1650.000000 79.767 36.7471
1675.000000 79.881 36.9293
1700.000000 79.998 37.0798
1725.000000 80.114 37.2114
1750.000000 80.230 37.3601
1775.000000 80.347 37.5043
1800.000000 80.470 37.6206
1825.000000 80.593 37.6991
1850.000000 80.709 37.7658
1875.000000 80.828 37.8497
1900.000000 80.958 37.8975
1925.000000 81.098 37.9051
1950.000000 81.241 37.9076
1975.000000 81.381 37.8811
2000.000000 81.523 37.7878
2030.000000 81.696 37.5937
2060.000000 81.870 37.3255
2090.000000 82.044 36.9755
2120.000000 82.211 36.5303
2140.000000 82.312 36.1860
2180.000000 82.498 35.4302
2200.000000 82.586 35.0479
2240.000000 82.755 34.2399
2270.000000 82.872 33.6061
2300.000000 82.984 32.9719
2330.000000 83.091 32.3275
2360.000000 83.193 31.6582
2400.000000 83.320 30.7445
2430.000000 83.410 30.0381
2470.000000 83.520 29.0699
2500.000000 83.597 28.3205
2540.000000 83.687 27.3085
2580.000000 83.765 26.2654
2620.000000 83.831 25.2118
2650.000000 83.873 24.4324
2690.000000 83.919 23.3972
2720.000000 83.946 22.6236
2760.000000 83.971 21.6076
2800.000000 83.985 20.6148
2850.000000 83.988 19.4103
2900.000000 83.976 18.2745
2950.000000 83.949 17.2084
3000.000000 83.911 16.2006
3040.000000 83.875 15.4564
3070.000000 83.843 14.9335
3110.000000 83.797 14.2818
3150.000000 83.747 13.6807
3200.000000 83.681 12.9903
3250.000000 83.611 12.3840
3300.000000 83.539 11.8651
3350.000000 83.465 11.4177
3400.000000 83.392 11.0401
3450.000000 83.318 10.7407
3500.000000 83.247 10.5046
3550.000000 83.180 10.3393
3600.000000 83.116 10.2502
3650.000000 83.057 10.2241
3700.000000 83.003 10.2566
3750.000000 82.960 10.3393
3820.000000 82.923 10.4999
3870.000000 82.910 10.6128
3950.000000 82.902 10.7324
4000.000000 82.901 10.7684
4060.000000 82.901 10.7986
4120.000000 82.904 10.8321
4180.000000 82.911 10.8648
4250.000000 82.924 10.9083
4310.000000 82.942 10.9366
4370.000000 82.966 10.9426
4440.000000 83.000 10.9031
4500.000000 83.032 10.8318
4550.000000 83.059 10.7389
4620.000000 83.094 10.5734
4680.000000 83.123 10.4213
4750.000000 83.157 10.2332
4820.000000 83.195 9.9960
4870.000000 83.221 9.7920
4940.000000 83.254 9.4724
5000.000000 83.279 9.1749
5080.000000 83.308 8.7416
5150.000000 83.326 8.3250
5220.000000 83.338 7.8810
5300.000000 83.340 7.3535
5380.000000 83.328 6.8195
5450.000000 83.307 6.3724
5520.000000 83.276 5.9631
5600.000000 83.230 5.5482
5700.000000 83.162 5.1240
5800.000000 83.085 4.8418
5900.000000 83.005 4.7053
