* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Feb 11, 2024 2:39:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Artti R1 (AET07) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 93.026 -156.2170
20.600000 93.045 -156.9776
20.900000 93.063 -157.8037
21.200001 93.079 -158.6325
21.400000 93.089 -159.1819
21.799999 93.109 -160.2641
22.000000 93.118 -160.7928
22.400000 93.137 -161.8195
22.700001 93.151 -162.5640
23.000000 93.165 -163.2933
23.299999 93.179 -164.0154
23.600000 93.190 -164.7363
24.000000 93.202 -165.6974
24.299999 93.207 -166.4120
24.700001 93.211 -167.3425
25.000000 93.213 -168.0163
25.400000 93.216 -168.8814
25.799999 93.223 -169.7182
26.200001 93.231 -170.5415
26.500000 93.237 -171.1564
26.900000 93.242 -171.9735
27.200001 93.243 -172.5806
27.600000 93.241 -173.3754
28.000000 93.238 -174.1485
28.500000 93.234 -175.0852
29.000000 93.234 -176.0001
29.500000 93.235 -176.9039
30.000000 93.235 -177.7958
30.400000 93.232 -178.4953
30.700001 93.229 -179.0097
31.100000 93.223 -179.6834
31.500000 93.216 179.6508
32.000000 93.208 178.8195
32.500000 93.199 177.9835
33.000000 93.188 177.1470
33.500000 93.175 176.3217
34.000000 93.161 175.5212
34.500000 93.149 174.7549
35.000000 93.137 174.0213
35.500000 93.126 173.3082
36.000000 93.114 172.6010
36.500000 93.099 171.8929
37.000000 93.080 171.1851
37.500000 93.061 170.4812
38.200001 93.036 169.5120
38.700001 93.018 168.8400
39.500000 92.985 167.8036
40.000000 92.963 167.1697
40.599998 92.938 166.4093
41.200001 92.918 165.6482
41.799999 92.903 164.9099
42.500000 92.884 164.1117
43.099998 92.864 163.4330
43.700001 92.838 162.6650
44.400002 92.796 161.6859
45.000000 92.766 160.9408
45.500000 92.760 160.4225
46.200001 92.749 159.7462
46.799999 92.695 159.2054
47.500000 92.606 158.6006
48.200001 92.584 157.4406
48.700001 92.596 155.9971
49.400002 92.552 153.8147
50.000000 92.459 152.9323
50.799999 92.418 153.5358
51.500000 92.476 154.1701
52.200001 92.477 153.9457
53.000000 92.394 153.1874
53.799999 92.346 152.3717
54.500000 92.333 151.6466
55.200001 92.304 151.0203
56.000000 92.255 150.3845
57.000000 92.199 149.4839
58.000000 92.169 148.6163
59.000000 92.140 147.8294
60.000000 92.074 146.9929
60.799999 92.012 146.3123
61.500000 91.967 145.7462
62.200001 91.932 145.2065
63.000000 91.894 144.6061
64.000000 91.842 143.8635
65.000000 91.790 143.1206
66.000000 91.736 142.4013
67.000000 91.679 141.6834
68.000000 91.621 140.9589
69.000000 91.570 140.2648
70.000000 91.525 139.5632
71.000000 91.471 138.8711
72.000000 91.413 138.2201
73.000000 91.360 137.5622
74.000000 91.310 136.9056
75.000000 91.259 136.2794
76.199997 91.194 135.5488
77.500000 91.126 134.7519
78.800003 91.061 133.9895
80.000000 91.002 133.3061
81.199997 90.938 132.5994
82.500000 90.870 131.8406
83.800003 90.800 131.1334
85.000000 90.738 130.4869
86.199997 90.679 129.8344
87.500000 90.615 129.1522
88.500000 90.561 128.6055
90.000000 90.475 127.7052
91.199997 90.412 127.1078
92.500000 90.354 126.5611
93.800003 90.292 125.9673
95.000000 90.233 125.3885
96.199997 90.174 124.8239
97.500000 90.108 124.2284
98.800003 90.039 123.6447
100.000000 89.979 123.1215
101.500000 89.910 122.4448
103.000000 89.840 121.7808
104.400002 89.774 121.1755
106.000000 89.699 120.4904
107.500000 89.629 119.8714
109.000000 89.558 119.2620
110.599998 89.483 118.6285
112.000000 89.419 118.0836
113.800003 89.338 117.3845
115.000000 89.284 116.9277
117.199997 89.184 116.1191
118.000000 89.148 115.8214
120.599998 89.028 114.8870
122.000000 88.963 114.3879
124.099998 88.874 113.6259
125.000000 88.836 113.3023
126.500000 88.766 112.7928
128.000000 88.686 112.3275
131.500000 88.544 111.2370
132.000000 88.526 111.0748
134.000000 88.448 110.3944
136.000000 88.367 109.7617
138.000000 88.283 109.1340
140.000000 88.196 108.4445
143.000000 88.096 107.6356
145.000000 88.017 107.1027
147.500000 87.922 106.4492
150.000000 87.826 105.7793
152.500000 87.730 105.0132
155.000000 87.638 104.3325
157.500000 87.546 103.6765
160.000000 87.456 103.0098
162.500000 87.366 102.3445
165.000000 87.275 101.7587
167.500000 87.187 101.0764
170.000000 87.098 100.2989
172.500000 87.014 99.9099
175.000000 86.933 99.4375
177.500000 86.851 98.7425
180.000000 86.778 98.0767
182.500000 86.703 97.6797
185.000000 86.616 97.1691
187.500000 86.528 96.4785
190.000000 86.453 95.8088
192.500000 86.391 95.4897
195.000000 86.333 95.1821
197.500000 86.279 94.7900
200.000000 86.214 94.3398
203.000000 86.097 93.5677
206.000000 86.002 92.8941
209.000000 85.923 92.3127
212.000000 85.841 91.8073
214.000000 85.787 91.4755
218.000000 85.676 90.7194
220.000000 85.621 90.3272
224.000000 85.519 89.6769
227.000000 85.445 89.2203
230.000000 85.369 88.7374
233.000000 85.289 88.2198
236.000000 85.207 87.7344
240.000000 85.112 87.0362
243.000000 85.056 86.5107
247.000000 84.971 85.8800
250.000000 84.905 85.4279
254.000000 84.813 84.8497
258.000000 84.723 84.2688
262.000000 84.644 83.7068
265.000000 84.575 83.2462
269.000000 84.467 82.6438
272.000000 84.401 82.2729
276.000000 84.326 81.8864
280.000000 84.249 81.4627
285.000000 84.168 80.7874
290.000000 84.089 80.2523
295.000000 84.026 79.8176
300.000000 83.973 79.3189
304.000000 83.928 78.7028
307.000000 83.896 78.2135
311.000000 83.847 77.5814
315.000000 83.783 76.9648
320.000000 83.699 76.2576
325.000000 83.617 75.6327
330.000000 83.534 75.0177
335.000000 83.461 74.4070
340.000000 83.387 73.8311
345.000000 83.317 73.2868
350.000000 83.252 72.7577
355.000000 83.184 72.2213
360.000000 83.119 71.6921
365.000000 83.061 71.1575
370.000000 83.004 70.6418
375.000000 82.942 70.2099
382.000000 82.858 69.5474
387.000000 82.803 69.0328
395.000000 82.720 68.2874
400.000000 82.670 67.8424
406.000000 82.612 67.3197
412.000000 82.553 66.8025
418.000000 82.495 66.2922
425.000000 82.431 65.6893
431.000000 82.379 65.1926
437.000000 82.327 64.7065
444.000000 82.268 64.1446
450.000000 82.221 63.6788
455.000000 82.185 63.3086
462.000000 82.135 62.7994
468.000000 82.091 62.3697
475.000000 82.043 61.8733
482.000000 81.996 61.3892
487.000000 81.962 61.0521
494.000000 81.916 60.6003
500.000000 81.877 60.2251
508.000000 81.826 59.7449
515.000000 81.784 59.3659
522.000000 81.744 59.0294
530.000000 81.704 58.6926
538.000000 81.674 58.3838
545.000000 81.659 58.1161
552.000000 81.655 57.8319
560.000000 81.654 57.4457
570.000000 81.651 56.8916
580.000000 81.643 56.3195
590.000000 81.629 55.7496
600.000000 81.615 55.2113
608.000000 81.603 54.8096
615.000000 81.592 54.4713
622.000000 81.582 54.1443
630.000000 81.572 53.7872
640.000000 81.563 53.3599
650.000000 81.556 52.9566
660.000000 81.554 52.5820
670.000000 81.553 52.2203
680.000000 81.555 51.8622
690.000000 81.562 51.5228
700.000000 81.571 51.2081
710.000000 81.585 50.9019
720.000000 81.602 50.6030
730.000000 81.622 50.3129
740.000000 81.644 50.0352
750.000000 81.669 49.7703
762.000000 81.702 49.4669
775.000000 81.743 49.1591
788.000000 81.790 48.8627
800.000000 81.837 48.5964
812.000000 81.889 48.3442
825.000000 81.950 48.0876
838.000000 82.017 47.8388
850.000000 82.083 47.6164
862.000000 82.154 47.4026
875.000000 82.236 47.1727
885.000000 82.304 46.9923
900.000000 82.413 46.7193
912.000000 82.504 46.4935
925.000000 82.608 46.2393
938.000000 82.717 45.9643
950.000000 82.821 45.6912
962.000000 82.929 45.4036
975.000000 83.049 45.0722
988.000000 83.173 44.7225
1000.000000 83.289 44.3814
1015.000000 83.436 43.9301
1030.000000 83.584 43.4440
1044.000000 83.725 42.9509
1060.000000 83.885 42.3554
1075.000000 84.035 41.7635
1090.000000 84.184 41.1423
1106.000000 84.340 40.4438
1120.000000 84.475 39.8089
1138.000000 84.644 38.9698
1150.000000 84.755 38.3957
1172.000000 84.953 37.3206
1180.000000 85.022 36.9240
1206.000000 85.241 35.6165
1220.000000 85.354 34.9076
1241.000000 85.519 33.8484
1250.000000 85.587 33.3983
1265.000000 85.698 32.6581
1280.000000 85.808 31.9350
1315.000000 86.061 30.3172
1320.000000 86.097 30.0918
1340.000000 86.243 29.2034
1360.000000 86.395 28.3322
1380.000000 86.556 27.4372
1400.000000 86.722 26.4689
1430.000000 86.965 24.8303
1450.000000 87.111 23.6298
1475.000000 87.266 22.0997
1500.000000 87.394 20.6342
1525.000000 87.505 19.2766
1550.000000 87.607 18.0356
1575.000000 87.707 16.8936
1600.000000 87.808 15.8232
1625.000000 87.911 14.8086
1650.000000 88.017 13.8409
1675.000000 88.125 12.9081
1700.000000 88.235 12.0010
1725.000000 88.348 11.1141
1750.000000 88.462 10.2451
1775.000000 88.578 9.3927
1800.000000 88.696 8.5494
1825.000000 88.816 7.7125
1850.000000 88.937 6.8811
1875.000000 89.060 6.0527
1900.000000 89.184 5.2250
1925.000000 89.309 4.3925
1950.000000 89.435 3.5563
1975.000000 89.562 2.7140
2000.000000 89.690 1.8623
2030.000000 89.843 0.8280
2060.000000 89.995 -0.2314
2090.000000 90.147 -1.3144
2120.000000 90.298 -2.4240
2140.000000 90.397 -3.1794
2180.000000 90.592 -4.7267
2200.000000 90.687 -5.5203
2240.000000 90.871 -7.1412
2270.000000 91.004 -8.3793
2300.000000 91.132 -9.6283
2330.000000 91.254 -10.8849
2360.000000 91.369 -12.1592
2400.000000 91.510 -13.8845
2430.000000 91.607 -15.1951
2470.000000 91.722 -16.9545
2500.000000 91.797 -18.2772
2540.000000 91.884 -20.0331
2580.000000 91.953 -21.7665
2620.000000 92.006 -23.4675
2650.000000 92.035 -24.7126
2690.000000 92.060 -26.3267
2720.000000 92.071 -27.4964
2760.000000 92.073 -28.9989
2800.000000 92.064 -30.4341
2850.000000 92.038 -32.1257
2900.000000 91.998 -33.7020
2950.000000 91.947 -35.1588
3000.000000 91.885 -36.4968
3040.000000 91.829 -37.4757
3070.000000 91.784 -38.1599
3110.000000 91.720 -39.0028
3150.000000 91.653 -39.7650
3200.000000 91.566 -40.6039
3250.000000 91.478 -41.3162
3300.000000 91.389 -41.9066
3350.000000 91.302 -42.3756
3400.000000 91.219 -42.7401
3450.000000 91.142 -43.0258
3500.000000 91.067 -43.2557
3550.000000 90.997 -43.4084
3600.000000 90.936 -43.4533
3650.000000 90.890 -43.4023
3700.000000 90.862 -43.2836
3750.000000 90.854 -43.1426
3820.000000 90.876 -43.0001
3870.000000 90.908 -42.9927
3950.000000 90.970 -43.1788
4000.000000 91.008 -43.4031
4060.000000 91.047 -43.7527
4120.000000 91.080 -44.1707
4180.000000 91.104 -44.6475
4250.000000 91.119 -45.2650
4310.000000 91.120 -45.8425
4370.000000 91.108 -46.4553
4440.000000 91.076 -47.2041
4500.000000 91.030 -47.8582
4550.000000 90.978 -48.4024
4620.000000 90.886 -49.1480
4680.000000 90.786 -49.7507
4750.000000 90.645 -50.3914
4820.000000 90.480 -50.9327
4870.000000 90.348 -51.2427
4940.000000 90.147 -51.5486
5000.000000 89.964 -51.6828
5080.000000 89.711 -51.7119
5150.000000 89.482 -51.6570
5220.000000 89.233 -51.5610
5300.000000 88.913 -51.3389
5380.000000 88.557 -50.8450
5450.000000 88.228 -50.0800
5520.000000 87.896 -48.9645
5600.000000 87.533 -47.2777
5700.000000 87.125 -44.6654
5800.000000 86.780 -41.6892
5900.000000 86.493 -38.5077
6000.000000 86.255 -35.1968
6080.000000 86.095 -32.4709
6150.000000 85.975 -30.0344
6220.000000 85.873 -27.5527
6300.000000 85.781 -24.6623
6400.000000 85.700 -20.9789
6500.000000 85.662 -17.2345
