* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Feb 11, 2024 2:42:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Artti R1 (AET07) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 93.981 -170.4736
20.600000 93.988 -171.0846
20.900000 93.995 -171.7610
21.200001 94.000 -172.4627
21.400000 94.002 -172.9413
21.799999 94.000 -173.9045
22.000000 93.997 -174.3771
22.400000 93.987 -175.2786
22.700001 93.979 -175.9095
23.000000 93.973 -176.5091
23.299999 93.970 -177.0932
23.600000 93.968 -177.6777
24.000000 93.965 -178.4726
24.299999 93.961 -179.0782
24.700001 93.953 -179.8817
25.000000 93.944 179.5306
25.400000 93.934 178.7745
25.799999 93.925 178.0442
26.200001 93.918 177.3272
26.500000 93.912 176.7932
26.900000 93.903 176.0861
27.200001 93.893 175.5618
27.600000 93.879 174.8739
28.000000 93.864 174.1979
28.500000 93.846 173.3647
29.000000 93.828 172.5428
29.500000 93.809 171.7379
30.000000 93.790 170.9572
30.400000 93.774 170.3497
30.700001 93.762 169.9005
31.100000 93.746 169.3047
31.500000 93.731 168.7080
32.000000 93.710 167.9620
32.500000 93.688 167.2274
33.000000 93.666 166.5183
33.500000 93.643 165.8369
34.000000 93.621 165.1730
34.500000 93.597 164.5159
35.000000 93.571 163.8639
35.500000 93.545 163.2202
36.000000 93.519 162.5849
36.500000 93.496 161.9559
37.000000 93.472 161.3360
37.500000 93.448 160.7306
38.200001 93.411 159.9041
38.700001 93.383 159.3148
39.500000 93.337 158.3590
40.000000 93.309 157.7639
40.599998 93.277 157.0708
41.200001 93.247 156.4105
41.799999 93.214 155.7719
42.500000 93.171 155.0207
43.099998 93.131 154.3692
43.700001 93.095 153.7353
44.400002 93.062 153.0255
45.000000 93.033 152.4369
45.500000 93.000 151.9745
46.200001 92.948 151.3545
46.799999 92.910 150.7548
47.500000 92.874 149.9639
48.200001 92.849 149.3501
48.700001 92.853 149.1032
49.400002 92.887 148.7616
50.000000 92.889 148.2168
50.799999 92.788 147.2717
51.500000 92.659 146.5491
52.200001 92.573 145.8858
53.000000 92.524 145.0851
53.799999 92.484 144.4060
54.500000 92.449 143.9266
55.200001 92.407 143.4294
56.000000 92.353 142.8103
57.000000 92.288 142.0306
58.000000 92.227 141.2989
59.000000 92.166 140.5878
60.000000 92.101 139.8718
60.799999 92.056 139.3271
61.500000 92.025 138.8302
62.200001 91.990 138.3245
63.000000 91.944 137.7998
64.000000 91.884 137.1606
65.000000 91.815 136.4990
66.000000 91.762 135.8829
67.000000 91.721 135.1833
68.000000 91.656 134.4440
69.000000 91.585 133.6304
70.000000 91.514 132.8348
71.000000 91.464 132.3496
72.000000 91.430 131.9856
73.000000 91.377 131.5092
74.000000 91.308 130.9330
75.000000 91.234 130.3284
76.199997 91.153 129.6563
77.500000 91.096 128.7708
78.800003 91.032 128.0473
80.000000 90.965 127.6325
81.199997 90.865 127.0376
82.500000 90.769 126.3130
83.800003 90.725 125.6415
85.000000 90.673 125.1356
86.199997 90.605 124.5405
87.500000 90.537 123.8158
88.500000 90.475 123.4862
90.000000 90.342 123.3998
91.199997 90.281 122.8285
92.500000 90.236 121.6846
93.800003 90.181 120.9249
95.000000 90.114 120.4158
96.199997 90.048 119.9028
97.500000 89.981 119.3421
98.800003 89.907 118.7764
100.000000 89.842 118.2676
101.500000 89.772 117.6848
103.000000 89.698 117.1136
104.400002 89.626 116.5716
106.000000 89.544 115.9753
107.500000 89.468 115.4212
109.000000 89.393 114.8658
110.599998 89.312 114.2913
112.000000 89.243 113.7955
113.800003 89.151 113.1361
115.000000 89.089 112.7006
117.199997 88.988 111.9727
118.000000 88.951 111.7157
120.599998 88.829 110.8698
122.000000 88.764 110.3942
124.099998 88.665 109.6938
125.000000 88.627 109.4185
126.500000 88.567 108.9958
128.000000 88.514 108.6013
131.500000 88.336 107.4458
132.000000 88.310 107.2545
134.000000 88.242 106.6309
136.000000 88.139 106.0994
138.000000 88.040 105.4875
140.000000 87.970 105.0370
143.000000 87.872 104.5810
145.000000 87.782 103.9751
147.500000 87.664 103.3699
150.000000 87.559 102.7885
152.500000 87.471 101.9524
155.000000 87.382 101.2639
157.500000 87.287 100.7363
160.000000 87.196 100.2826
162.500000 87.080 99.8777
165.000000 86.970 99.3593
167.500000 86.891 98.8256
170.000000 86.803 98.4523
172.500000 86.731 97.5634
175.000000 86.655 96.8911
177.500000 86.566 96.4650
180.000000 86.474 96.0251
182.500000 86.399 95.3302
185.000000 86.328 94.7496
187.500000 86.252 94.1868
190.000000 86.176 93.6155
192.500000 86.099 93.2075
195.000000 86.021 92.8232
197.500000 85.945 92.4565
200.000000 85.871 92.0919
203.000000 85.783 91.4831
206.000000 85.698 90.8883
209.000000 85.617 90.3343
212.000000 85.538 89.7754
214.000000 85.481 89.4305
218.000000 85.371 88.8046
220.000000 85.324 88.4768
224.000000 85.253 87.6743
227.000000 85.185 87.0013
230.000000 85.083 86.6561
233.000000 84.990 86.3360
236.000000 84.912 85.9114
240.000000 84.813 85.2967
243.000000 84.738 84.8535
247.000000 84.645 84.2492
250.000000 84.579 83.8004
254.000000 84.495 83.2980
258.000000 84.408 82.7908
262.000000 84.316 82.2862
265.000000 84.249 81.8931
269.000000 84.167 81.3397
272.000000 84.113 80.9473
276.000000 84.042 80.4291
280.000000 83.964 79.9249
285.000000 83.875 79.2738
290.000000 83.791 78.6779
295.000000 83.695 78.0762
300.000000 83.606 77.4575
304.000000 83.539 77.0030
307.000000 83.489 76.6689
311.000000 83.423 76.2297
315.000000 83.359 75.7888
320.000000 83.281 75.2546
325.000000 83.207 74.7146
330.000000 83.134 74.1897
335.000000 83.061 73.6906
340.000000 82.991 73.1985
345.000000 82.921 72.6790
350.000000 82.853 72.1704
355.000000 82.786 71.6850
360.000000 82.720 71.2102
365.000000 82.658 70.7509
370.000000 82.597 70.2977
375.000000 82.534 69.8649
382.000000 82.449 69.2627
387.000000 82.392 68.8264
395.000000 82.298 68.2716
400.000000 82.242 67.9838
406.000000 82.187 67.6626
412.000000 82.148 67.3520
418.000000 82.120 66.9592
425.000000 82.095 66.4286
431.000000 82.070 65.9117
437.000000 82.036 65.3640
444.000000 81.994 64.7297
450.000000 81.956 64.2111
455.000000 81.922 63.8012
462.000000 81.873 63.2568
468.000000 81.832 62.8053
475.000000 81.788 62.2819
482.000000 81.745 61.7773
487.000000 81.715 61.4254
494.000000 81.676 60.9474
500.000000 81.644 60.5548
508.000000 81.604 60.0504
515.000000 81.571 59.6162
522.000000 81.539 59.1941
530.000000 81.505 58.7216
538.000000 81.473 58.2609
545.000000 81.448 57.8705
552.000000 81.425 57.4871
560.000000 81.401 57.0535
570.000000 81.373 56.5228
580.000000 81.347 56.0146
590.000000 81.325 55.5182
600.000000 81.308 55.0485
608.000000 81.293 54.6821
615.000000 81.282 54.3647
622.000000 81.272 54.0540
630.000000 81.263 53.7092
640.000000 81.253 53.2939
650.000000 81.245 52.9007
660.000000 81.241 52.5183
670.000000 81.238 52.1559
680.000000 81.236 51.8143
690.000000 81.240 51.4941
700.000000 81.246 51.1968
710.000000 81.254 50.9191
720.000000 81.265 50.6664
730.000000 81.279 50.4300
740.000000 81.296 50.2035
750.000000 81.318 49.9915
762.000000 81.347 49.7574
775.000000 81.384 49.5152
788.000000 81.427 49.2953
800.000000 81.472 49.1102
812.000000 81.522 48.9367
825.000000 81.583 48.7581
838.000000 81.649 48.5830
850.000000 81.716 48.4230
862.000000 81.788 48.2674
875.000000 81.871 48.1035
885.000000 81.940 47.9747
900.000000 82.047 47.7675
912.000000 82.138 47.5913
925.000000 82.242 47.3945
938.000000 82.350 47.1833
950.000000 82.455 46.9752
962.000000 82.563 46.7443
975.000000 82.684 46.4683
988.000000 82.807 46.1731
1000.000000 82.923 45.8805
1015.000000 83.072 45.4717
1030.000000 83.223 45.0206
1044.000000 83.364 44.5692
1060.000000 83.526 44.0101
1075.000000 83.678 43.4384
1090.000000 83.827 42.8311
1106.000000 83.985 42.1559
1120.000000 84.122 41.5353
1138.000000 84.294 40.7011
1150.000000 84.405 40.1258
1172.000000 84.603 39.0502
1180.000000 84.673 38.6558
1206.000000 84.892 37.3571
1220.000000 85.005 36.6555
1241.000000 85.170 35.6211
1250.000000 85.239 35.1864
1265.000000 85.353 34.4744
1280.000000 85.467 33.7796
1315.000000 85.740 32.1981
1320.000000 85.781 31.9708
1340.000000 85.951 31.0360
1360.000000 86.127 30.0124
1380.000000 86.300 28.8601
1400.000000 86.456 27.6000
1430.000000 86.654 25.6550
1450.000000 86.762 24.3927
1475.000000 86.880 22.9005
1500.000000 86.986 21.5118
1525.000000 87.086 20.2107
1550.000000 87.182 18.9738
1575.000000 87.271 17.7861
1600.000000 87.350 16.6864
1625.000000 87.428 15.7664
1650.000000 87.524 14.9579
1675.000000 87.633 14.1097
1700.000000 87.742 13.2108
1725.000000 87.848 12.3041
1750.000000 87.951 11.4136
1775.000000 88.053 10.5415
1800.000000 88.155 9.6865
1825.000000 88.255 8.8477
1850.000000 88.356 8.0234
1875.000000 88.456 7.2118
1900.000000 88.557 6.4120
1925.000000 88.658 5.6229
1950.000000 88.758 4.8418
1975.000000 88.859 4.0668
2000.000000 88.959 3.2949
2030.000000 89.079 2.3719
2060.000000 89.199 1.4485
2090.000000 89.318 0.5228
2120.000000 89.435 -0.4045
2140.000000 89.513 -1.0250
2180.000000 89.667 -2.2751
2200.000000 89.743 -2.9041
2240.000000 89.892 -4.1710
2270.000000 90.001 -5.1291
2300.000000 90.108 -6.0945
2330.000000 90.212 -7.0671
2360.000000 90.314 -8.0457
2400.000000 90.443 -9.3646
2430.000000 90.537 -10.3766
2470.000000 90.656 -11.7637
2500.000000 90.740 -12.8201
2540.000000 90.846 -14.2394
2580.000000 90.943 -15.6738
2620.000000 91.029 -17.1163
2650.000000 91.087 -18.1976
2690.000000 91.153 -19.6294
2720.000000 91.195 -20.6888
2760.000000 91.241 -22.0706
2800.000000 91.279 -23.4108
2850.000000 91.316 -25.0453
2900.000000 91.342 -26.6498
2950.000000 91.352 -28.2086
3000.000000 91.347 -29.6948
3040.000000 91.335 -30.8279
3070.000000 91.321 -31.6448
3110.000000 91.298 -32.6934
3150.000000 91.270 -33.6982
3200.000000 91.226 -34.8884
3250.000000 91.172 -36.0021
3300.000000 91.107 -37.0306
3350.000000 91.031 -37.9618
3400.000000 90.946 -38.7797
3450.000000 90.851 -39.4610
3500.000000 90.751 -39.9836
3550.000000 90.649 -40.3289
3600.000000 90.551 -40.4841
3650.000000 90.465 -40.4389
3700.000000 90.403 -40.1964
3750.000000 90.371 -39.8083
3820.000000 90.385 -39.2101
3870.000000 90.431 -38.8701
3950.000000 90.545 -38.6123
4000.000000 90.627 -38.6475
4060.000000 90.727 -38.8764
4120.000000 90.819 -39.2861
4180.000000 90.898 -39.8533
4250.000000 90.967 -40.6788
4310.000000 91.002 -41.4920
4370.000000 91.010 -42.3676
4440.000000 90.983 -43.4132
4500.000000 90.926 -44.2774
4550.000000 90.858 -44.9354
4620.000000 90.736 -45.7000
4680.000000 90.619 -46.1770
4750.000000 90.487 -46.5883
4820.000000 90.362 -47.0304
4870.000000 90.260 -47.4190
4940.000000 90.082 -47.9692
5000.000000 89.894 -48.3294
5080.000000 89.610 -48.5543
5150.000000 89.340 -48.4952
5220.000000 89.057 -48.1940
5300.000000 88.726 -47.5507
5380.000000 88.393 -46.5935
5450.000000 88.105 -45.5050
5520.000000 87.822 -44.1993
5600.000000 87.512 -42.4691
5700.000000 87.154 -39.9832
5800.000000 86.844 -37.1761
5900.000000 86.586 -34.1495
6000.000000 86.373 -30.9871
6080.000000 86.230 -28.3765
6150.000000 86.125 -26.0330
6220.000000 86.039 -23.6299
6300.000000 85.967 -20.8202
6400.000000 85.920 -17.2745
6500.000000 85.915 -13.7600
6600.000000 85.943 -10.2752
