* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Feb 11, 2024 2:50:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Blon Z300 (AET07) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 95.435 -149.9176
20.600000 95.454 -150.6128
20.900000 95.473 -151.3611
21.200001 95.491 -152.1146
21.400000 95.503 -152.6214
21.799999 95.528 -153.6492
22.000000 95.541 -154.1674
22.400000 95.561 -155.1963
22.700001 95.573 -155.9440
23.000000 95.582 -156.6572
23.299999 95.588 -157.3304
23.600000 95.596 -157.9678
24.000000 95.610 -158.7854
24.299999 95.625 -159.3966
24.700001 95.648 -160.2349
25.000000 95.665 -160.8857
25.400000 95.684 -161.7687
25.799999 95.696 -162.6383
26.200001 95.703 -163.4652
26.500000 95.706 -164.0503
26.900000 95.709 -164.7892
27.200001 95.711 -165.3207
27.600000 95.712 -166.0096
28.000000 95.713 -166.6807
28.500000 95.716 -167.4991
29.000000 95.723 -168.3083
29.500000 95.731 -169.1285
30.000000 95.735 -169.9628
30.400000 95.733 -170.6265
30.700001 95.729 -171.1133
31.100000 95.721 -171.7440
31.500000 95.714 -172.3578
32.000000 95.708 -173.1155
32.500000 95.704 -173.8704
33.000000 95.699 -174.6142
33.500000 95.694 -175.3347
34.000000 95.687 -176.0287
34.500000 95.680 -176.7027
35.000000 95.672 -177.3625
35.500000 95.661 -178.0093
36.000000 95.649 -178.6436
36.500000 95.636 -179.2697
37.000000 95.623 -179.8951
37.500000 95.610 179.4789
38.200001 95.590 178.6240
38.700001 95.575 178.0475
39.500000 95.551 177.1707
40.000000 95.533 176.6197
40.599998 95.509 175.9342
41.200001 95.487 175.2343
41.799999 95.472 174.5568
42.500000 95.463 173.8390
43.099998 95.453 173.2733
43.700001 95.427 172.7115
44.400002 95.376 172.0491
45.000000 95.341 171.4786
45.500000 95.331 170.9796
46.200001 95.324 170.2805
46.799999 95.297 169.8252
47.500000 95.246 169.4196
48.200001 95.184 168.6022
48.700001 95.109 167.6180
49.400002 94.959 166.2542
50.000000 94.871 165.7513
50.799999 94.932 165.8669
51.500000 95.046 165.8035
52.200001 95.060 165.4166
53.000000 94.976 164.9510
53.799999 94.918 164.4014
54.500000 94.913 163.7841
55.200001 94.919 163.2059
56.000000 94.910 162.6639
57.000000 94.860 162.0017
58.000000 94.800 161.2684
59.000000 94.749 160.5598
60.000000 94.697 159.9315
60.799999 94.655 159.4381
61.500000 94.622 159.0009
62.200001 94.591 158.5714
63.000000 94.553 158.1136
64.000000 94.499 157.5886
65.000000 94.444 157.0211
66.000000 94.392 156.4094
67.000000 94.345 155.8461
68.000000 94.299 155.3192
69.000000 94.244 154.8045
70.000000 94.187 154.3148
71.000000 94.143 153.8176
72.000000 94.102 153.3279
73.000000 94.056 152.8906
74.000000 94.003 152.4717
75.000000 93.951 152.0670
76.199997 93.901 151.5594
77.500000 93.836 151.0119
78.800003 93.770 150.4752
80.000000 93.716 149.8826
81.199997 93.665 149.3331
82.500000 93.603 148.8532
83.800003 93.536 148.3753
85.000000 93.476 147.9045
86.199997 93.414 147.4908
87.500000 93.355 147.0722
88.500000 93.324 146.7551
90.000000 93.299 146.3489
91.199997 93.238 145.9360
92.500000 93.133 145.5096
93.800003 93.056 145.0741
95.000000 93.002 144.7079
96.199997 92.947 144.3790
97.500000 92.888 144.0078
98.800003 92.831 143.6151
100.000000 92.777 143.2830
101.500000 92.710 142.9341
103.000000 92.646 142.5696
104.400002 92.584 142.2165
106.000000 92.515 141.8295
107.500000 92.451 141.4813
109.000000 92.387 141.1372
110.599998 92.320 140.7680
112.000000 92.261 140.4602
113.800003 92.187 140.0747
115.000000 92.138 139.8254
117.199997 92.045 139.4119
118.000000 92.013 139.2637
120.599998 91.908 138.7743
122.000000 91.850 138.5641
124.099998 91.768 138.2187
125.000000 91.734 138.0440
126.500000 91.675 137.7433
128.000000 91.612 137.4009
131.500000 91.486 136.8913
132.000000 91.470 136.8407
134.000000 91.398 136.5898
136.000000 91.314 136.3182
138.000000 91.232 135.9471
140.000000 91.174 135.5104
143.000000 91.085 135.3387
145.000000 91.012 135.1478
147.500000 90.933 134.9036
150.000000 90.852 134.7274
152.500000 90.759 134.3310
155.000000 90.676 134.0360
157.500000 90.596 133.8232
160.000000 90.520 133.6520
162.500000 90.441 133.3987
165.000000 90.360 133.2168
167.500000 90.235 133.1823
170.000000 90.122 132.9562
172.500000 90.103 132.8284
175.000000 90.049 132.6498
177.500000 89.938 132.4463
180.000000 89.843 132.2380
182.500000 89.835 132.2454
185.000000 89.814 132.3036
187.500000 89.762 132.2684
190.000000 89.708 132.1675
192.500000 89.660 131.7846
195.000000 89.598 131.4120
197.500000 89.526 131.0040
200.000000 89.464 130.6528
203.000000 89.407 130.6383
206.000000 89.336 130.6747
209.000000 89.264 130.6124
212.000000 89.202 130.4571
214.000000 89.163 130.3934
218.000000 89.075 130.2581
220.000000 89.024 130.1406
224.000000 88.900 129.8914
227.000000 88.809 129.8338
230.000000 88.736 129.8289
233.000000 88.671 129.8844
236.000000 88.604 129.9117
240.000000 88.516 130.0927
243.000000 88.460 130.4962
247.000000 88.411 131.1147
250.000000 88.419 131.5962
254.000000 88.458 131.9013
258.000000 88.515 131.6642
262.000000 88.540 131.1860
265.000000 88.521 130.7061
269.000000 88.469 130.2256
272.000000 88.435 129.9004
276.000000 88.382 129.5745
280.000000 88.318 129.3439
285.000000 88.237 129.0577
290.000000 88.158 128.8493
295.000000 88.089 128.6534
300.000000 88.022 128.5109
304.000000 87.964 128.4066
307.000000 87.924 128.3294
311.000000 87.874 128.2417
315.000000 87.825 128.1550
320.000000 87.767 128.0529
325.000000 87.709 127.9618
330.000000 87.653 127.8790
335.000000 87.602 127.7993
340.000000 87.552 127.7316
345.000000 87.504 127.6490
350.000000 87.457 127.5744
355.000000 87.409 127.5098
360.000000 87.363 127.4473
365.000000 87.319 127.4024
370.000000 87.276 127.3617
375.000000 87.240 127.2797
382.000000 87.189 127.1876
387.000000 87.152 127.1461
395.000000 87.094 127.0857
400.000000 87.058 127.0489
406.000000 87.017 127.0075
412.000000 86.978 126.9611
418.000000 86.940 126.9152
425.000000 86.901 126.8600
431.000000 86.868 126.8155
437.000000 86.834 126.7723
444.000000 86.797 126.7250
450.000000 86.766 126.6914
455.000000 86.742 126.6651
462.000000 86.708 126.6312
468.000000 86.681 126.6091
475.000000 86.650 126.5851
482.000000 86.619 126.5636
487.000000 86.599 126.5518
494.000000 86.571 126.5361
500.000000 86.549 126.5219
508.000000 86.520 126.5127
515.000000 86.497 126.5024
522.000000 86.475 126.4933
530.000000 86.451 126.4869
538.000000 86.429 126.4838
545.000000 86.411 126.4783
552.000000 86.393 126.4738
560.000000 86.374 126.4694
570.000000 86.351 126.4727
580.000000 86.331 126.4782
590.000000 86.313 126.4914
600.000000 86.297 126.5056
608.000000 86.285 126.5219
615.000000 86.276 126.5405
622.000000 86.267 126.5607
630.000000 86.258 126.5872
640.000000 86.249 126.6274
650.000000 86.242 126.6743
660.000000 86.237 126.7271
670.000000 86.235 126.7793
680.000000 86.235 126.8412
690.000000 86.238 126.9061
700.000000 86.241 126.9733
710.000000 86.247 127.0421
720.000000 86.256 127.1150
730.000000 86.267 127.1913
740.000000 86.281 127.2710
750.000000 86.295 127.3525
762.000000 86.317 127.4530
775.000000 86.343 127.5615
788.000000 86.373 127.6806
800.000000 86.404 127.8070
812.000000 86.440 127.9388
825.000000 86.484 128.0737
838.000000 86.534 128.2020
850.000000 86.584 128.3141
862.000000 86.638 128.4267
875.000000 86.702 128.5376
885.000000 86.754 128.6127
900.000000 86.838 128.7098
912.000000 86.909 128.7691
925.000000 86.991 128.8154
938.000000 87.076 128.8384
950.000000 87.158 128.8370
962.000000 87.243 128.8134
975.000000 87.339 128.7595
988.000000 87.437 128.6804
1000.000000 87.529 128.5798
1015.000000 87.648 128.4138
1030.000000 87.768 128.2016
1044.000000 87.881 127.9596
1060.000000 88.011 127.6349
1075.000000 88.132 127.2900
1090.000000 88.253 126.9110
1106.000000 88.381 126.4670
1120.000000 88.492 126.0464
1138.000000 88.633 125.4708
1150.000000 88.725 125.0638
1172.000000 88.890 124.2737
1180.000000 88.948 123.9733
1206.000000 89.134 122.9584
1220.000000 89.230 122.3901
1241.000000 89.370 121.5142
1250.000000 89.428 121.1325
1265.000000 89.523 120.4880
1280.000000 89.617 119.8337
1315.000000 89.825 118.2827
1320.000000 89.854 118.0585
1340.000000 89.967 117.1613
1360.000000 90.077 116.2607
1380.000000 90.185 115.3550
1400.000000 90.290 114.4458
1430.000000 90.443 113.0734
1450.000000 90.543 112.1548
1475.000000 90.665 111.0004
1500.000000 90.784 109.8396
1525.000000 90.900 108.6683
1550.000000 91.012 107.4937
1575.000000 91.123 106.3218
1600.000000 91.231 105.1533
1625.000000 91.335 103.9796
1650.000000 91.437 102.7914
1675.000000 91.535 101.5942
1700.000000 91.631 100.3902
1725.000000 91.724 99.1820
1750.000000 91.814 97.9686
1775.000000 91.902 96.7538
1800.000000 91.987 95.5376
1825.000000 92.070 94.3168
1850.000000 92.150 93.0930
1875.000000 92.228 91.8695
1900.000000 92.302 90.6468
1925.000000 92.375 89.4176
1950.000000 92.445 88.1805
1975.000000 92.513 86.9425
2000.000000 92.577 85.7018
2030.000000 92.650 84.2094
2060.000000 92.719 82.7136
2090.000000 92.783 81.2137
2120.000000 92.842 79.7119
2140.000000 92.879 78.7096
2180.000000 92.945 76.7094
2200.000000 92.975 75.7104
2240.000000 93.028 73.7194
2270.000000 93.061 72.2355
2300.000000 93.089 70.7602
2330.000000 93.112 69.2996
2360.000000 93.131 67.8520
2400.000000 93.147 65.9448
2430.000000 93.154 64.5317
2470.000000 93.156 62.6752
2500.000000 93.153 61.3082
2540.000000 93.142 59.5189
2580.000000 93.124 57.7762
2620.000000 93.100 56.0801
2650.000000 93.079 54.8430
2690.000000 93.046 53.2372
2720.000000 93.019 52.0651
2760.000000 92.979 50.5490
2800.000000 92.935 49.0805
2850.000000 92.877 47.3151
2900.000000 92.815 45.6224
2950.000000 92.750 44.0048
3000.000000 92.683 42.4585
3040.000000 92.628 41.2770
3070.000000 92.586 40.4213
3110.000000 92.530 39.3212
3150.000000 92.473 38.2719
3200.000000 92.402 37.0299
3250.000000 92.333 35.8772
3300.000000 92.267 34.8212
3350.000000 92.209 33.8716
3400.000000 92.166 33.0047
3450.000000 92.142 32.1604
3500.000000 92.133 31.2778
3550.000000 92.130 30.3235
3600.000000 92.126 29.3185
3650.000000 92.117 28.2967
3700.000000 92.105 27.2870
3750.000000 92.090 26.3008
3820.000000 92.070 24.9594
3870.000000 92.057 24.0231
3950.000000 92.040 22.5396
4000.000000 92.032 21.6151
4060.000000 92.024 20.5023
4120.000000 92.017 19.3872
4180.000000 92.011 18.2621
4250.000000 92.003 16.9394
4310.000000 91.994 15.7927
4370.000000 91.983 14.6333
4440.000000 91.966 13.2654
4500.000000 91.946 12.0789
4550.000000 91.924 11.0830
4620.000000 91.886 9.6792
4680.000000 91.843 8.4761
4750.000000 91.780 7.0895
4820.000000 91.703 5.7516
4870.000000 91.639 4.8452
4940.000000 91.542 3.6599
5000.000000 91.454 2.7251
5080.000000 91.333 1.5765
5150.000000 91.225 0.6470
5220.000000 91.113 -0.2181
5300.000000 90.980 -1.1187
5380.000000 90.840 -1.9050
5450.000000 90.713 -2.4901
5520.000000 90.585 -2.9668
5600.000000 90.438 -3.3712
5700.000000 90.259 -3.6605
5800.000000 90.092 -3.7123
5900.000000 89.941 -3.5386
6000.000000 89.813 -3.1617
6080.000000 89.728 -2.7269
6150.000000 89.669 -2.2548
6220.000000 89.625 -1.7074
6300.000000 89.594 -0.9976
6400.000000 89.588 -0.0036
6500.000000 89.622 1.0826
6600.000000 89.700 2.2404
6700.000000 89.826 3.4402
6800.000000 90.005 4.6484
