* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Feb 11, 2024 2:48:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Blon Z300 (AET07) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 95.262 -149.9140
20.600000 95.285 -150.6406
20.900000 95.307 -151.4169
21.200001 95.326 -152.1873
21.400000 95.338 -152.6967
21.799999 95.361 -153.7051
22.000000 95.371 -154.2022
22.400000 95.390 -155.1750
22.700001 95.404 -155.8817
23.000000 95.419 -156.5693
23.299999 95.434 -157.2419
23.600000 95.450 -157.9053
24.000000 95.470 -158.7830
24.299999 95.482 -159.4354
24.700001 95.494 -160.2881
25.000000 95.500 -160.9071
25.400000 95.507 -161.7009
25.799999 95.514 -162.4693
26.200001 95.525 -163.2336
26.500000 95.533 -163.8142
26.900000 95.545 -164.5974
27.200001 95.551 -165.1816
27.600000 95.558 -165.9370
28.000000 95.563 -166.6547
28.500000 95.571 -167.5132
29.000000 95.578 -168.3697
29.500000 95.577 -169.2438
30.000000 95.565 -170.1063
30.400000 95.553 -170.7593
30.700001 95.545 -171.2229
31.100000 95.540 -171.8181
31.500000 95.542 -172.4103
32.000000 95.548 -173.1715
32.500000 95.549 -173.9459
33.000000 95.541 -174.6956
33.500000 95.528 -175.3997
34.000000 95.517 -176.0761
34.500000 95.510 -176.7556
35.000000 95.503 -177.4441
35.500000 95.495 -178.1211
36.000000 95.487 -178.7693
36.500000 95.478 -179.3937
37.000000 95.467 179.9922
37.500000 95.451 179.3854
38.200001 95.424 178.5557
38.700001 95.406 177.9696
39.500000 95.380 177.0340
40.000000 95.363 176.4733
40.599998 95.341 175.8397
41.200001 95.318 175.2152
41.799999 95.291 174.5671
42.500000 95.253 173.8141
43.099998 95.226 173.2267
43.700001 95.212 172.6974
44.400002 95.203 172.0972
45.000000 95.186 171.5589
45.500000 95.159 171.0983
46.200001 95.120 170.4515
46.799999 95.103 169.8680
47.500000 95.097 169.1558
48.200001 95.073 168.6332
48.700001 95.046 168.5010
49.400002 95.027 168.4488
50.000000 95.027 168.1142
50.799999 94.997 167.0436
51.500000 94.930 165.9971
52.200001 94.878 165.2251
53.000000 94.850 164.5645
53.799999 94.816 163.9771
54.500000 94.776 163.5033
55.200001 94.738 163.0191
56.000000 94.699 162.4486
57.000000 94.654 161.7662
58.000000 94.613 161.1190
59.000000 94.585 160.5111
60.000000 94.551 159.8301
60.799999 94.497 159.2781
61.500000 94.442 158.8464
62.200001 94.398 158.4168
63.000000 94.359 157.9008
64.000000 94.312 157.3137
65.000000 94.262 156.8066
66.000000 94.213 156.2882
67.000000 94.168 155.7257
68.000000 94.123 155.1653
69.000000 94.071 154.6852
70.000000 94.019 154.2548
71.000000 93.972 153.7674
72.000000 93.923 153.2346
73.000000 93.872 152.7292
74.000000 93.822 152.2432
75.000000 93.775 151.7747
76.199997 93.722 151.2785
77.500000 93.657 150.7776
78.800003 93.586 150.2364
80.000000 93.530 149.7111
81.199997 93.480 149.2463
82.500000 93.417 148.7630
83.800003 93.343 148.2685
85.000000 93.284 147.8061
86.199997 93.231 147.3961
87.500000 93.173 146.9609
88.500000 93.137 146.5504
90.000000 93.104 145.8329
91.199997 93.039 145.4534
92.500000 92.946 145.2679
93.800003 92.868 144.9388
95.000000 92.812 144.5818
96.199997 92.758 144.2379
97.500000 92.700 143.8779
98.800003 92.645 143.5496
100.000000 92.592 143.2515
101.500000 92.523 142.8244
103.000000 92.453 142.4092
104.400002 92.390 142.0613
106.000000 92.321 141.6738
107.500000 92.258 141.3303
109.000000 92.196 141.0003
110.599998 92.126 140.6503
112.000000 92.067 140.3524
113.800003 91.994 139.9747
115.000000 91.946 139.7249
117.199997 91.855 139.2784
118.000000 91.822 139.1203
120.599998 91.715 138.6457
122.000000 91.659 138.3935
124.099998 91.578 138.0441
125.000000 91.544 137.9021
126.500000 91.483 137.6480
128.000000 91.413 137.3116
131.500000 91.273 136.7236
132.000000 91.258 136.6695
134.000000 91.194 136.4373
136.000000 91.131 136.2582
138.000000 91.067 136.0529
140.000000 90.992 135.8468
143.000000 90.863 135.2109
145.000000 90.790 134.9828
147.500000 90.712 134.8155
150.000000 90.634 134.6403
152.500000 90.548 134.2706
155.000000 90.461 133.9663
157.500000 90.372 133.6922
160.000000 90.277 133.4157
162.500000 90.205 133.2860
165.000000 90.137 133.1083
167.500000 90.045 132.4830
170.000000 89.954 131.6264
172.500000 89.895 132.0420
175.000000 89.835 132.4813
177.500000 89.761 132.9731
180.000000 89.655 133.3875
182.500000 89.573 132.8198
185.000000 89.538 132.3630
187.500000 89.489 132.0025
190.000000 89.429 131.7929
192.500000 89.413 131.7738
195.000000 89.368 131.7354
197.500000 89.285 131.7610
200.000000 89.215 131.7348
203.000000 89.191 131.3796
206.000000 89.139 131.0193
209.000000 89.066 130.7840
212.000000 89.003 130.6354
214.000000 88.963 130.5093
218.000000 88.863 130.2010
220.000000 88.791 129.9673
224.000000 88.604 129.8961
227.000000 88.563 130.1170
230.000000 88.538 130.3849
233.000000 88.467 130.6153
236.000000 88.401 130.8467
240.000000 88.370 131.2660
243.000000 88.398 131.7123
247.000000 88.414 131.7587
250.000000 88.404 131.4194
254.000000 88.401 130.7608
258.000000 88.367 130.3058
262.000000 88.322 130.0322
265.000000 88.285 129.8010
269.000000 88.227 129.4670
272.000000 88.179 129.3647
276.000000 88.114 129.2813
280.000000 88.053 129.1137
285.000000 87.979 128.8589
290.000000 87.910 128.6780
295.000000 87.840 128.5903
300.000000 87.776 128.5015
304.000000 87.723 128.3933
307.000000 87.682 128.3147
311.000000 87.632 128.2260
315.000000 87.584 128.1636
320.000000 87.526 128.0945
325.000000 87.471 128.0184
330.000000 87.417 127.9528
335.000000 87.363 127.8727
340.000000 87.312 127.8074
345.000000 87.265 127.7537
350.000000 87.219 127.6991
355.000000 87.174 127.6429
360.000000 87.131 127.5928
365.000000 87.088 127.5731
370.000000 87.047 127.5542
375.000000 87.006 127.4898
382.000000 86.953 127.4112
387.000000 86.917 127.3420
395.000000 86.857 127.2926
400.000000 86.822 127.2698
406.000000 86.781 127.2329
412.000000 86.744 127.2047
418.000000 86.708 127.1763
425.000000 86.666 127.1459
431.000000 86.631 127.1194
437.000000 86.598 127.0845
444.000000 86.561 127.0490
450.000000 86.531 127.0273
455.000000 86.507 127.0100
462.000000 86.473 126.9862
468.000000 86.446 126.9622
475.000000 86.415 126.9360
482.000000 86.385 126.9181
487.000000 86.365 126.9109
494.000000 86.338 126.9008
500.000000 86.316 126.8910
508.000000 86.288 126.8786
515.000000 86.264 126.8691
522.000000 86.242 126.8631
530.000000 86.217 126.8633
538.000000 86.194 126.8651
545.000000 86.176 126.8638
552.000000 86.159 126.8593
560.000000 86.140 126.8608
570.000000 86.119 126.8663
580.000000 86.099 126.8744
590.000000 86.082 126.8895
600.000000 86.066 126.9099
608.000000 86.055 126.9233
615.000000 86.045 126.9415
622.000000 86.037 126.9670
630.000000 86.028 126.9986
640.000000 86.019 127.0386
650.000000 86.012 127.0891
660.000000 86.008 127.1463
670.000000 86.006 127.2069
680.000000 86.006 127.2757
690.000000 86.008 127.3528
700.000000 86.012 127.4259
710.000000 86.019 127.4997
720.000000 86.028 127.5763
730.000000 86.039 127.6569
740.000000 86.052 127.7430
750.000000 86.068 127.8312
762.000000 86.089 127.9391
775.000000 86.116 128.0625
788.000000 86.147 128.1868
800.000000 86.180 128.3052
812.000000 86.217 128.4214
825.000000 86.261 128.5430
838.000000 86.310 128.6635
850.000000 86.359 128.7739
862.000000 86.413 128.8770
875.000000 86.476 128.9830
885.000000 86.528 129.0557
900.000000 86.611 129.1433
912.000000 86.681 129.1959
925.000000 86.762 129.2305
938.000000 86.846 129.2359
950.000000 86.926 129.2141
962.000000 87.008 129.1696
975.000000 87.101 129.0910
988.000000 87.197 128.9791
1000.000000 87.286 128.8534
1015.000000 87.399 128.6641
1030.000000 87.513 128.4316
1044.000000 87.620 128.1789
1060.000000 87.742 127.8506
1075.000000 87.855 127.5182
1090.000000 87.967 127.1640
1106.000000 88.086 126.7610
1120.000000 88.188 126.3831
1138.000000 88.319 125.8666
1150.000000 88.404 125.5089
1172.000000 88.558 124.8271
1180.000000 88.613 124.5717
1206.000000 88.791 123.7131
1220.000000 88.885 123.2391
1241.000000 89.026 122.5101
1250.000000 89.087 122.1910
1265.000000 89.187 121.6492
1280.000000 89.287 121.0906
1315.000000 89.520 119.7071
1320.000000 89.553 119.5009
1340.000000 89.683 118.6558
1360.000000 89.811 117.7737
1380.000000 89.934 116.8528
1400.000000 90.052 115.9021
1430.000000 90.217 114.4335
1450.000000 90.319 113.4343
1475.000000 90.439 112.1811
1500.000000 90.552 110.9355
1525.000000 90.661 109.6997
1550.000000 90.765 108.4814
1575.000000 90.866 107.2802
1600.000000 90.963 106.0891
1625.000000 91.059 104.9055
1650.000000 91.154 103.7264
1675.000000 91.246 102.5500
1700.000000 91.337 101.3749
1725.000000 91.426 100.1968
1750.000000 91.514 99.0148
1775.000000 91.600 97.8281
1800.000000 91.685 96.6364
1825.000000 91.767 95.4398
1850.000000 91.848 94.2384
1875.000000 91.927 93.0305
1900.000000 92.003 91.8161
1925.000000 92.076 90.5956
1950.000000 92.147 89.3672
1975.000000 92.216 88.1308
2000.000000 92.281 86.8873
2030.000000 92.356 85.3855
2060.000000 92.425 83.8754
2090.000000 92.489 82.3573
2120.000000 92.549 80.8347
2140.000000 92.585 79.8170
2180.000000 92.651 77.7774
2200.000000 92.680 76.7578
2240.000000 92.730 74.7240
2270.000000 92.762 73.2081
2300.000000 92.789 71.7007
2330.000000 92.809 70.2025
2360.000000 92.825 68.7170
2400.000000 92.838 66.7631
2430.000000 92.841 65.3206
2470.000000 92.838 63.4302
2500.000000 92.831 62.0425
2540.000000 92.814 60.2329
2580.000000 92.790 58.4729
2620.000000 92.761 56.7639
2650.000000 92.735 55.5151
2690.000000 92.696 53.8981
2720.000000 92.664 52.7195
2760.000000 92.617 51.1931
2800.000000 92.568 49.7176
2850.000000 92.501 47.9474
2900.000000 92.431 46.2584
2950.000000 92.359 44.6469
3000.000000 92.286 43.1112
3040.000000 92.226 41.9345
3070.000000 92.182 41.0826
3110.000000 92.122 39.9865
3150.000000 92.063 38.9357
3200.000000 91.990 37.6836
3250.000000 91.918 36.4959
3300.000000 91.847 35.3738
3350.000000 91.779 34.3228
3400.000000 91.715 33.3525
3450.000000 91.658 32.4615
3500.000000 91.612 31.6368
3550.000000 91.582 30.8398
3600.000000 91.564 30.0220
3650.000000 91.553 29.1535
3700.000000 91.543 28.2407
3750.000000 91.530 27.3086
3820.000000 91.508 26.0021
3870.000000 91.491 25.0778
3950.000000 91.466 23.6157
4000.000000 91.452 22.7117
4060.000000 91.437 21.6266
4120.000000 91.423 20.5398
4180.000000 91.411 19.4474
4250.000000 91.396 18.1599
4310.000000 91.383 17.0423
4370.000000 91.367 15.9119
4440.000000 91.345 14.5804
4500.000000 91.320 13.4265
4550.000000 91.296 12.4580
4620.000000 91.254 11.0924
4680.000000 91.210 9.9232
4750.000000 91.148 8.5780
4820.000000 91.073 7.2643
4870.000000 91.012 6.3568
4940.000000 90.916 5.1504
5000.000000 90.826 4.1863
5080.000000 90.700 3.0046
5150.000000 90.586 2.0584
5220.000000 90.468 1.1854
5300.000000 90.329 0.2802
5380.000000 90.184 -0.5145
5450.000000 90.054 -1.1096
5520.000000 89.923 -1.6014
5600.000000 89.773 -2.0273
5700.000000 89.589 -2.3523
5800.000000 89.416 -2.4479
5900.000000 89.259 -2.3245
6000.000000 89.122 -1.9944
6080.000000 89.030 -1.5958
6150.000000 88.964 -1.1591
6220.000000 88.914 -0.6491
6300.000000 88.876 0.0109
6400.000000 88.862 0.9299
6500.000000 88.888 1.9268
6600.000000 88.955 2.9741
6700.000000 89.068 4.0358
6800.000000 89.229 5.0750
6900.000000 89.441 6.0483
