* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -38.0 dBFS with no timing reference
* Dated: Dec 30, 2024 7:58:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CCZ Warrior (S2) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 91.408 -106.0705
20.600000 91.479 -106.8085
20.900000 91.557 -107.5858
21.200001 91.639 -108.3535
21.400000 91.694 -108.8649
21.799999 91.808 -109.9000
22.000000 91.866 -110.4253
22.400000 91.976 -111.4823
22.700001 92.053 -112.2661
23.000000 92.125 -113.0287
23.299999 92.191 -113.7630
23.600000 92.255 -114.4689
24.000000 92.339 -115.3779
24.299999 92.402 -116.0480
24.700001 92.486 -116.9406
25.000000 92.548 -117.6116
25.400000 92.629 -118.5015
25.799999 92.706 -119.3725
26.200001 92.779 -120.2138
26.500000 92.832 -120.8237
26.900000 92.899 -121.6129
27.200001 92.948 -122.1914
27.600000 93.013 -122.9523
28.000000 93.079 -123.7098
28.500000 93.162 -124.6628
29.000000 93.244 -125.6237
29.500000 93.320 -126.5738
30.000000 93.386 -127.4815
30.400000 93.432 -128.1629
30.700001 93.464 -128.6489
31.100000 93.505 -129.2747
31.500000 93.546 -129.8919
32.000000 93.601 -130.6740
32.500000 93.657 -131.4738
33.000000 93.715 -132.2754
33.500000 93.772 -133.0554
34.000000 93.828 -133.8037
34.500000 93.880 -134.5302
35.000000 93.926 -135.2499
35.500000 93.963 -135.9631
36.000000 93.995 -136.6589
36.500000 94.027 -137.3367
37.000000 94.064 -138.0147
37.500000 94.104 -138.7065
38.200001 94.158 -139.6639
38.700001 94.194 -140.3002
39.500000 94.256 -141.2553
40.000000 94.292 -141.8539
40.599998 94.324 -142.5682
41.200001 94.351 -143.2461
41.799999 94.381 -143.9053
42.500000 94.422 -144.6996
43.099998 94.457 -145.3702
43.700001 94.493 -145.9892
44.400002 94.539 -146.6928
45.000000 94.569 -147.3287
45.500000 94.582 -147.8540
46.200001 94.592 -148.5194
46.799999 94.611 -149.0592
47.500000 94.642 -149.7434
48.200001 94.667 -150.4574
48.700001 94.680 -150.9337
49.400002 94.697 -151.5486
50.000000 94.712 -152.0650
50.799999 94.730 -152.7691
51.500000 94.748 -153.3971
52.200001 94.764 -154.0123
53.000000 94.779 -154.6350
53.799999 94.798 -155.1853
54.500000 94.816 -155.6938
55.200001 94.828 -156.2503
56.000000 94.838 -156.9014
57.000000 94.850 -157.6898
58.000000 94.861 -158.4034
59.000000 94.876 -159.1000
60.000000 94.888 -159.8426
60.799999 94.895 -160.3923
61.500000 94.904 -160.8233
62.200001 94.913 -161.2504
63.000000 94.918 -161.7616
64.000000 94.920 -162.4071
65.000000 94.926 -163.0466
66.000000 94.931 -163.6640
67.000000 94.934 -164.2455
68.000000 94.936 -164.8348
69.000000 94.934 -165.4072
70.000000 94.932 -165.9408
71.000000 94.932 -166.4702
72.000000 94.933 -167.0076
73.000000 94.932 -167.5327
74.000000 94.928 -168.0325
75.000000 94.923 -168.5402
76.199997 94.917 -169.1630
77.500000 94.911 -169.7927
78.800003 94.904 -170.3993
80.000000 94.897 -170.9427
81.199997 94.891 -171.4484
82.500000 94.882 -171.9694
83.800003 94.871 -172.5072
85.000000 94.861 -173.0396
86.199997 94.854 -173.5680
87.500000 94.845 -174.1060
88.500000 94.834 -174.4945
90.000000 94.815 -175.0712
91.199997 94.801 -175.5290
92.500000 94.787 -176.0271
93.800003 94.772 -176.5201
95.000000 94.757 -176.9555
96.199997 94.742 -177.3736
97.500000 94.724 -177.8056
98.800003 94.706 -178.2296
100.000000 94.690 -178.6206
101.500000 94.669 -179.0930
103.000000 94.648 -179.5738
104.400002 94.628 179.9676
106.000000 94.603 179.4901
107.500000 94.579 179.0612
109.000000 94.556 178.6317
110.599998 94.532 178.1733
112.000000 94.510 177.7604
113.800003 94.483 177.2709
115.000000 94.464 176.9690
117.199997 94.428 176.3892
118.000000 94.415 176.1772
120.599998 94.374 175.5319
122.000000 94.351 175.1854
124.099998 94.310 174.6631
125.000000 94.293 174.4533
126.500000 94.264 174.1207
128.000000 94.237 173.7841
131.500000 94.175 173.0411
132.000000 94.166 172.9388
134.000000 94.131 172.5255
136.000000 94.094 172.0972
138.000000 94.057 171.6829
140.000000 94.018 171.2972
143.000000 93.960 170.7355
145.000000 93.922 170.3727
147.500000 93.875 169.9477
150.000000 93.828 169.5225
152.500000 93.777 169.1041
155.000000 93.728 168.6921
157.500000 93.678 168.3064
160.000000 93.628 167.9324
162.500000 93.578 167.5703
165.000000 93.528 167.2154
167.500000 93.478 166.8738
170.000000 93.427 166.5452
172.500000 93.375 166.2288
175.000000 93.324 165.9280
177.500000 93.275 165.6324
180.000000 93.225 165.3342
182.500000 93.175 165.0504
185.000000 93.125 164.7983
187.500000 93.077 164.5681
190.000000 93.030 164.3355
192.500000 92.983 164.1039
195.000000 92.938 163.8723
197.500000 92.893 163.6283
200.000000 92.847 163.3735
203.000000 92.789 163.0773
206.000000 92.727 162.7928
209.000000 92.661 162.5128
212.000000 92.592 162.2557
214.000000 92.546 162.1089
218.000000 92.451 161.9225
220.000000 92.407 161.8915
224.000000 92.334 161.8865
227.000000 92.302 161.8380
230.000000 92.276 161.6754
233.000000 92.242 161.4291
236.000000 92.198 161.1735
240.000000 92.132 160.8674
243.000000 92.078 160.6547
247.000000 92.004 160.4022
250.000000 91.948 160.2437
254.000000 91.871 160.0531
258.000000 91.797 159.8573
262.000000 91.723 159.6715
265.000000 91.669 159.5507
269.000000 91.596 159.4209
272.000000 91.541 159.3385
276.000000 91.469 159.2377
280.000000 91.398 159.1455
285.000000 91.311 159.0445
290.000000 91.226 158.9513
295.000000 91.142 158.8998
300.000000 91.063 158.8671
304.000000 91.003 158.8385
307.000000 90.959 158.8110
311.000000 90.900 158.7649
315.000000 90.842 158.7141
320.000000 90.767 158.6475
325.000000 90.690 158.5955
330.000000 90.612 158.5598
335.000000 90.536 158.5327
340.000000 90.459 158.5353
345.000000 90.383 158.5533
350.000000 90.308 158.5735
355.000000 90.234 158.6017
360.000000 90.162 158.6371
365.000000 90.090 158.6866
370.000000 90.019 158.7462
375.000000 89.949 158.8034
382.000000 89.853 158.8994
387.000000 89.784 158.9879
395.000000 89.674 159.1490
400.000000 89.608 159.2505
406.000000 89.529 159.3864
412.000000 89.452 159.5322
418.000000 89.375 159.6820
425.000000 89.288 159.8623
431.000000 89.216 160.0346
437.000000 89.143 160.2151
444.000000 89.059 160.4434
450.000000 88.988 160.6462
455.000000 88.930 160.8177
462.000000 88.850 161.0621
468.000000 88.782 161.2797
475.000000 88.704 161.5497
482.000000 88.628 161.8353
487.000000 88.574 162.0461
494.000000 88.501 162.3478
500.000000 88.437 162.6143
508.000000 88.355 162.9972
515.000000 88.286 163.3519
522.000000 88.219 163.7119
530.000000 88.146 164.1419
538.000000 88.080 164.5786
545.000000 88.025 164.9560
552.000000 87.972 165.3271
560.000000 87.916 165.7523
570.000000 87.848 166.2734
580.000000 87.780 166.7747
590.000000 87.710 167.2694
600.000000 87.639 167.7809
608.000000 87.584 168.2010
615.000000 87.537 168.5825
622.000000 87.493 168.9767
630.000000 87.443 169.4337
640.000000 87.384 170.0089
650.000000 87.326 170.5862
660.000000 87.269 171.1843
670.000000 87.214 171.7978
680.000000 87.163 172.4141
690.000000 87.114 173.0408
700.000000 87.069 173.6899
710.000000 87.027 174.3485
720.000000 86.988 175.0144
730.000000 86.953 175.6893
740.000000 86.921 176.3759
750.000000 86.892 177.0686
762.000000 86.861 177.9074
775.000000 86.835 178.8248
788.000000 86.815 179.7524
800.000000 86.802 -179.3996
812.000000 86.794 -178.5443
825.000000 86.793 -177.6098
838.000000 86.797 -176.6757
850.000000 86.807 -175.8170
862.000000 86.823 -174.9647
875.000000 86.849 -174.0506
885.000000 86.872 -173.3583
900.000000 86.916 -172.3412
912.000000 86.957 -171.5441
925.000000 87.007 -170.7034
938.000000 87.063 -169.8881
950.000000 87.121 -169.1611
962.000000 87.184 -168.4649
975.000000 87.256 -167.7458
988.000000 87.333 -167.0686
1000.000000 87.407 -166.4821
1015.000000 87.506 -165.8125
1030.000000 87.607 -165.2275
1044.000000 87.702 -164.7565
1060.000000 87.807 -164.2906
1075.000000 87.900 -163.9239
1090.000000 87.984 -163.6031
1106.000000 88.062 -163.2921
1120.000000 88.123 -163.0139
1138.000000 88.192 -162.6171
1150.000000 88.235 -162.3244
1172.000000 88.317 -161.7143
1180.000000 88.349 -161.4730
1206.000000 88.465 -160.6627
1220.000000 88.535 -160.2330
1241.000000 88.648 -159.6226
1250.000000 88.698 -159.3734
1265.000000 88.784 -158.9776
1280.000000 88.873 -158.6116
1315.000000 89.085 -157.8538
1320.000000 89.115 -157.7554
1340.000000 89.239 -157.3811
1360.000000 89.363 -157.0407
1380.000000 89.488 -156.7366
1400.000000 89.615 -156.4603
1430.000000 89.806 -156.0922
1450.000000 89.934 -155.8806
1475.000000 90.097 -155.6560
1500.000000 90.262 -155.4838
1525.000000 90.428 -155.3619
1550.000000 90.596 -155.2910
1575.000000 90.765 -155.2697
1600.000000 90.936 -155.2998
1625.000000 91.106 -155.3870
1650.000000 91.277 -155.5345
1675.000000 91.448 -155.7468
1700.000000 91.618 -156.0276
1725.000000 91.786 -156.3737
1750.000000 91.951 -156.7846
1775.000000 92.112 -157.2601
1800.000000 92.269 -157.7981
1825.000000 92.421 -158.3967
1850.000000 92.567 -159.0589
1875.000000 92.706 -159.7758
1900.000000 92.838 -160.5490
1925.000000 92.962 -161.3770
1950.000000 93.077 -162.2492
1975.000000 93.182 -163.1615
2000.000000 93.278 -164.1095
2030.000000 93.379 -165.2891
2060.000000 93.465 -166.5017
2090.000000 93.536 -167.7364
2120.000000 93.591 -168.9851
2140.000000 93.618 -169.8206
2180.000000 93.653 -171.4826
2200.000000 93.660 -172.3061
2240.000000 93.656 -173.9216
2270.000000 93.636 -175.0918
2300.000000 93.604 -176.2187
2330.000000 93.559 -177.2964
2360.000000 93.504 -178.3211
2400.000000 93.416 -179.5988
2430.000000 93.340 179.5155
2470.000000 93.227 178.4371
2500.000000 93.136 177.7076
2540.000000 93.008 176.8445
2580.000000 92.873 176.0991
2620.000000 92.735 175.4722
2650.000000 92.630 175.0792
2690.000000 92.490 174.6561
2720.000000 92.386 174.4082
2760.000000 92.249 174.1642
2800.000000 92.115 174.0157
2850.000000 91.955 173.9592
2900.000000 91.805 174.0309
2950.000000 91.666 174.2196
3000.000000 91.540 174.5104
3040.000000 91.448 174.8075
3070.000000 91.385 175.0659
3110.000000 91.310 175.4536
3150.000000 91.246 175.8785
3200.000000 91.182 176.4505
3250.000000 91.137 177.0477
3300.000000 91.110 177.6512
3350.000000 91.102 178.2305
3400.000000 91.109 178.7595
3450.000000 91.128 179.2168
3500.000000 91.152 179.5900
3550.000000 91.174 179.8902
3600.000000 91.190 -179.8372
3650.000000 91.199 -179.5301
3700.000000 91.205 -179.1419
3750.000000 91.219 -178.6470
3820.000000 91.270 -177.8061
3870.000000 91.338 -177.1628
3950.000000 91.503 -176.2138
4000.000000 91.637 -175.7364
4060.000000 91.824 -175.3197
4120.000000 92.037 -175.1009
4180.000000 92.272 -175.0997
4250.000000 92.570 -175.4252
4310.000000 92.839 -176.0455
4370.000000 93.115 -177.0198
4440.000000 93.428 -178.6607
4500.000000 93.674 179.4699
4550.000000 93.852 177.5849
4620.000000 94.036 174.4678
4680.000000 94.113 171.4350
4750.000000 94.082 167.6370
4820.000000 93.905 163.8143
4870.000000 93.687 161.2595
4940.000000 93.261 158.2001
5000.000000 92.806 156.2802
5080.000000 92.129 155.0382
5150.000000 91.548 155.3345
5220.000000 91.072 156.8773
5300.000000 90.787 159.5757
5380.000000 90.834 161.7228
5450.000000 91.005 161.9442
5520.000000 91.094 160.6936
5600.000000 90.981 158.7014
5700.000000 90.636 156.8439
5800.000000 90.166 155.5459
