* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -38.0 dBFS with no timing reference
* Dated: Dec 30, 2024 8:01:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CCZ Warrior (S2) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 91.765 -107.2862
20.600000 91.843 -108.0500
20.900000 91.927 -108.8835
21.200001 92.008 -109.7238
21.400000 92.059 -110.2809
21.799999 92.159 -111.3729
22.000000 92.207 -111.9024
22.400000 92.305 -112.9245
22.700001 92.380 -113.6656
23.000000 92.455 -114.3957
23.299999 92.530 -115.1239
23.600000 92.601 -115.8534
24.000000 92.690 -116.8207
24.299999 92.752 -117.5307
24.700001 92.828 -118.4423
25.000000 92.884 -119.0978
25.400000 92.959 -119.9448
25.799999 93.034 -120.7790
26.200001 93.107 -121.6122
26.500000 93.159 -122.2342
26.900000 93.224 -123.0496
27.200001 93.271 -123.6450
27.600000 93.332 -124.4178
28.000000 93.392 -125.1756
28.500000 93.466 -126.1136
29.000000 93.534 -127.0339
29.500000 93.597 -127.9170
30.000000 93.660 -128.7631
30.400000 93.711 -129.4306
30.700001 93.749 -129.9340
31.100000 93.798 -130.6087
31.500000 93.843 -131.2781
32.000000 93.897 -132.0935
32.500000 93.949 -132.8931
33.000000 94.000 -133.7050
33.500000 94.048 -134.5385
34.000000 94.090 -135.3618
34.500000 94.130 -136.1267
35.000000 94.174 -136.8123
35.500000 94.223 -137.4444
36.000000 94.271 -138.0705
36.500000 94.308 -138.7200
37.000000 94.331 -139.3872
37.500000 94.347 -140.0495
38.200001 94.383 -140.9683
38.700001 94.428 -141.6566
39.500000 94.507 -142.8094
40.000000 94.542 -143.4634
40.599998 94.566 -144.0875
41.200001 94.590 -144.6103
41.799999 94.622 -145.2107
42.500000 94.655 -146.0925
43.099998 94.672 -146.8636
43.700001 94.689 -147.5182
44.400002 94.721 -148.1651
45.000000 94.754 -148.7344
45.500000 94.777 -149.2580
46.200001 94.802 -150.0338
46.799999 94.817 -150.6769
47.500000 94.836 -151.3536
48.200001 94.859 -151.9830
48.700001 94.875 -152.4434
49.400002 94.894 -153.1143
50.000000 94.906 -153.6808
50.799999 94.923 -154.3794
51.500000 94.934 -154.9300
52.200001 94.940 -155.4220
53.000000 94.952 -155.9773
53.799999 94.974 -156.6344
54.500000 94.992 -157.2673
55.200001 95.006 -157.8685
56.000000 95.020 -158.5044
57.000000 95.029 -159.2583
58.000000 95.037 -159.9645
59.000000 95.050 -160.6656
60.000000 95.060 -161.3730
60.799999 95.064 -161.9368
61.500000 95.066 -162.4088
62.200001 95.070 -162.8547
63.000000 95.076 -163.3557
64.000000 95.079 -163.9857
65.000000 95.080 -164.6178
66.000000 95.081 -165.2551
67.000000 95.079 -165.8660
68.000000 95.077 -166.4326
69.000000 95.078 -166.9660
70.000000 95.080 -167.4950
71.000000 95.078 -168.0334
72.000000 95.072 -168.5853
73.000000 95.065 -169.1304
74.000000 95.059 -169.6561
75.000000 95.053 -170.1638
76.199997 95.049 -170.7498
77.500000 95.044 -171.3539
78.800003 95.037 -171.9411
80.000000 95.026 -172.4985
81.199997 95.015 -173.0484
82.500000 95.002 -173.6441
83.800003 94.986 -174.2014
85.000000 94.972 -174.6909
86.199997 94.958 -175.1879
87.500000 94.943 -175.7436
88.500000 94.931 -176.1548
90.000000 94.913 -176.7326
91.199997 94.896 -177.1746
92.500000 94.877 -177.6601
93.800003 94.858 -178.1516
95.000000 94.841 -178.5834
96.199997 94.826 -178.9865
97.500000 94.808 -179.4138
98.800003 94.790 -179.8474
100.000000 94.772 179.7488
101.500000 94.749 179.2427
103.000000 94.724 178.7549
104.400002 94.700 178.3276
106.000000 94.671 177.8399
107.500000 94.644 177.3817
109.000000 94.619 176.9344
110.599998 94.593 176.4761
112.000000 94.571 176.0838
113.800003 94.540 175.5884
115.000000 94.517 175.2654
117.199997 94.476 174.7127
118.000000 94.460 174.5167
120.599998 94.412 173.8670
122.000000 94.386 173.5188
124.099998 94.344 173.0131
125.000000 94.326 172.8050
126.500000 94.297 172.4696
128.000000 94.267 172.1394
131.500000 94.203 171.3665
132.000000 94.193 171.2571
134.000000 94.152 170.8217
136.000000 94.110 170.3984
138.000000 94.066 170.0074
140.000000 94.024 169.6289
143.000000 93.962 169.0731
145.000000 93.920 168.7210
147.500000 93.867 168.2825
150.000000 93.815 167.8415
152.500000 93.762 167.4281
155.000000 93.708 167.0297
157.500000 93.657 166.6355
160.000000 93.603 166.2529
162.500000 93.548 165.8744
165.000000 93.494 165.5135
167.500000 93.438 165.1725
170.000000 93.378 164.8419
172.500000 93.317 164.5061
175.000000 93.257 164.2070
177.500000 93.196 163.9685
180.000000 93.135 163.8101
182.500000 93.081 163.6952
185.000000 93.043 163.5507
187.500000 93.015 163.3348
190.000000 92.982 163.0643
192.500000 92.940 162.7454
195.000000 92.892 162.4305
197.500000 92.841 162.1498
200.000000 92.789 161.8900
203.000000 92.724 161.5888
206.000000 92.657 161.3153
209.000000 92.589 161.0709
212.000000 92.522 160.8501
214.000000 92.477 160.7290
218.000000 92.390 160.5314
220.000000 92.351 160.4633
224.000000 92.283 160.3336
227.000000 92.240 160.1755
230.000000 92.197 159.9739
233.000000 92.148 159.7444
236.000000 92.094 159.5189
240.000000 92.016 159.2415
243.000000 91.957 159.0701
247.000000 91.879 158.8701
250.000000 91.821 158.7255
254.000000 91.744 158.5394
258.000000 91.667 158.3814
262.000000 91.589 158.2283
265.000000 91.531 158.1254
269.000000 91.452 158.0052
272.000000 91.393 157.9217
276.000000 91.316 157.8294
280.000000 91.242 157.7654
285.000000 91.152 157.7175
290.000000 91.068 157.6629
295.000000 90.987 157.6010
300.000000 90.906 157.5422
304.000000 90.840 157.4918
307.000000 90.790 157.4531
311.000000 90.724 157.4051
315.000000 90.658 157.3723
320.000000 90.575 157.3530
325.000000 90.493 157.3415
330.000000 90.411 157.3596
335.000000 90.330 157.3724
340.000000 90.249 157.3923
345.000000 90.172 157.4286
350.000000 90.094 157.4754
355.000000 90.017 157.5371
360.000000 89.942 157.6176
365.000000 89.870 157.6949
370.000000 89.797 157.7729
375.000000 89.722 157.8531
382.000000 89.621 158.0016
387.000000 89.552 158.1166
395.000000 89.441 158.3232
400.000000 89.371 158.4813
406.000000 89.289 158.6700
412.000000 89.209 158.8439
418.000000 89.133 159.0286
425.000000 89.045 159.2386
431.000000 88.970 159.4327
437.000000 88.897 159.6385
444.000000 88.816 159.8920
450.000000 88.746 160.1154
455.000000 88.685 160.3081
462.000000 88.602 160.5939
468.000000 88.535 160.8362
475.000000 88.455 161.1273
482.000000 88.379 161.4453
487.000000 88.326 161.6720
494.000000 88.251 161.9847
500.000000 88.187 162.2743
508.000000 88.105 162.6765
515.000000 88.037 163.0471
522.000000 87.968 163.4282
530.000000 87.890 163.8701
538.000000 87.815 164.3300
545.000000 87.754 164.7501
552.000000 87.697 165.1972
560.000000 87.638 165.7152
570.000000 87.569 166.3231
580.000000 87.505 166.9184
590.000000 87.443 167.4847
600.000000 87.380 168.0495
608.000000 87.328 168.5054
615.000000 87.282 168.9133
622.000000 87.236 169.3287
630.000000 87.186 169.8220
640.000000 87.127 170.4575
650.000000 87.074 171.0996
660.000000 87.026 171.7313
670.000000 86.980 172.4015
680.000000 86.932 173.1026
690.000000 86.886 173.7802
700.000000 86.844 174.4616
710.000000 86.806 175.1537
720.000000 86.772 175.8550
730.000000 86.741 176.5822
740.000000 86.715 177.3265
750.000000 86.693 178.0581
762.000000 86.670 178.9443
775.000000 86.652 179.9222
788.000000 86.639 -179.0922
800.000000 86.633 -178.1869
812.000000 86.633 -177.2805
825.000000 86.641 -176.2889
838.000000 86.658 -175.3073
850.000000 86.680 -174.4164
862.000000 86.707 -173.5268
875.000000 86.742 -172.5667
885.000000 86.774 -171.8412
900.000000 86.832 -170.7899
912.000000 86.884 -169.9818
925.000000 86.948 -169.1318
938.000000 87.019 -168.3280
950.000000 87.086 -167.6528
962.000000 87.150 -167.0500
975.000000 87.207 -166.4217
988.000000 87.254 -165.7008
1000.000000 87.305 -164.9207
1015.000000 87.400 -163.9287
1030.000000 87.519 -163.0622
1044.000000 87.637 -162.3679
1060.000000 87.773 -161.6862
1075.000000 87.898 -161.1333
1090.000000 88.021 -160.6398
1106.000000 88.148 -160.1550
1120.000000 88.257 -159.7607
1138.000000 88.393 -159.2785
1150.000000 88.482 -158.9700
1172.000000 88.649 -158.4319
1180.000000 88.710 -158.2481
1206.000000 88.912 -157.7047
1220.000000 89.022 -157.4515
1241.000000 89.189 -157.1240
1250.000000 89.260 -156.9989
1265.000000 89.378 -156.8146
1280.000000 89.495 -156.6575
1315.000000 89.766 -156.4043
1320.000000 89.804 -156.3795
1340.000000 89.956 -156.3013
1360.000000 90.106 -156.2587
1380.000000 90.253 -156.2521
1400.000000 90.399 -156.2773
1430.000000 90.616 -156.3693
1450.000000 90.760 -156.4754
1475.000000 90.937 -156.6495
1500.000000 91.111 -156.8697
1525.000000 91.283 -157.1373
1550.000000 91.453 -157.4517
1575.000000 91.621 -157.8205
1600.000000 91.786 -158.2399
1625.000000 91.948 -158.7113
1650.000000 92.106 -159.2353
1675.000000 92.261 -159.8074
1700.000000 92.411 -160.4320
1725.000000 92.558 -161.1060
1750.000000 92.699 -161.8316
1775.000000 92.834 -162.6101
1800.000000 92.963 -163.4402
1825.000000 93.085 -164.3179
1850.000000 93.199 -165.2399
1875.000000 93.305 -166.2010
1900.000000 93.403 -167.2032
1925.000000 93.490 -168.2439
1950.000000 93.567 -169.3163
1975.000000 93.634 -170.4128
2000.000000 93.690 -171.5291
2030.000000 93.742 -172.8897
2060.000000 93.778 -174.2599
2090.000000 93.798 -175.6263
2120.000000 93.802 -176.9831
2140.000000 93.795 -177.8741
2180.000000 93.763 -179.6076
2200.000000 93.736 179.5552
2240.000000 93.666 177.9431
2270.000000 93.598 176.8008
2300.000000 93.520 175.7256
2330.000000 93.433 174.7193
2360.000000 93.338 173.7861
2400.000000 93.200 172.6589
2430.000000 93.090 171.9001
2470.000000 92.938 171.0106
2500.000000 92.821 170.4334
2540.000000 92.661 169.7755
2580.000000 92.502 169.2432
2620.000000 92.344 168.8337
2650.000000 92.228 168.6020
2690.000000 92.076 168.3864
2720.000000 91.966 168.2898
2760.000000 91.826 168.2410
2800.000000 91.694 168.2771
2850.000000 91.541 168.4339
2900.000000 91.404 168.6953
2950.000000 91.283 169.0446
3000.000000 91.181 169.4590
3040.000000 91.114 169.8177
3070.000000 91.072 170.0964
3110.000000 91.028 170.4687
3150.000000 90.996 170.8220
3200.000000 90.970 171.2051
3250.000000 90.954 171.4953
3300.000000 90.938 171.6888
3350.000000 90.912 171.8264
3400.000000 90.873 171.9884
3450.000000 90.825 172.2552
3500.000000 90.780 172.6651
3550.000000 90.749 173.2091
3600.000000 90.741 173.8428
3650.000000 90.758 174.5179
3700.000000 90.802 175.1874
3750.000000 90.871 175.8184
3820.000000 91.005 176.5869
3870.000000 91.126 177.0265
3950.000000 91.363 177.4890
4000.000000 91.535 177.5878
4060.000000 91.762 177.4648
4120.000000 92.005 177.0343
4180.000000 92.255 176.2598
4250.000000 92.543 174.8962
4310.000000 92.775 173.3236
4370.000000 92.980 171.3588
4440.000000 93.169 168.5782
4500.000000 93.268 165.8147
4550.000000 93.293 163.2958
4620.000000 93.225 159.5781
4680.000000 93.059 156.3698
4750.000000 92.736 152.8471
4820.000000 92.283 149.8556
4870.000000 91.896 148.1991
4940.000000 91.299 146.6979
5000.000000 90.768 146.2085
5080.000000 90.075 146.6948
5150.000000 89.525 148.3014
5220.000000 89.126 151.1239
5300.000000 89.042 154.9220
5380.000000 89.335 156.7621
5450.000000 89.579 155.7207
5520.000000 89.570 153.3812
5600.000000 89.244 150.9978
5700.000000 88.598 149.9704
5800.000000 87.983 150.8560
5900.000000 87.467 152.5285
