* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -38.0 dBFS with no timing reference
* Dated: Dec 16, 2024 7:13:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CCZ Warrior L (non mic)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 91.938 -107.7755
20.600000 92.012 -108.5105
20.900000 92.095 -109.3000
21.200001 92.178 -110.0962
21.400000 92.233 -110.6314
21.799999 92.340 -111.7077
22.000000 92.391 -112.2431
22.400000 92.489 -113.2920
22.700001 92.558 -114.0510
23.000000 92.626 -114.7854
23.299999 92.693 -115.4991
23.600000 92.759 -116.1983
24.000000 92.844 -117.1156
24.299999 92.907 -117.7948
24.700001 92.988 -118.6893
25.000000 93.048 -119.3521
25.400000 93.127 -120.2281
25.799999 93.204 -121.0992
26.200001 93.279 -121.9662
26.500000 93.332 -122.6101
26.900000 93.398 -123.4505
27.200001 93.445 -124.0605
27.600000 93.504 -124.8405
28.000000 93.561 -125.5842
28.500000 93.633 -126.4792
29.000000 93.705 -127.3625
29.500000 93.774 -128.2511
30.000000 93.838 -129.1421
30.400000 93.887 -129.8471
30.700001 93.922 -130.3670
31.100000 93.969 -131.0471
31.500000 94.015 -131.7126
32.000000 94.072 -132.5247
32.500000 94.126 -133.3130
33.000000 94.177 -134.0771
33.500000 94.226 -134.8241
34.000000 94.272 -135.5647
34.500000 94.314 -136.3033
35.000000 94.354 -137.0343
35.500000 94.392 -137.7491
36.000000 94.430 -138.4456
36.500000 94.470 -139.1300
37.000000 94.510 -139.8094
37.500000 94.547 -140.4838
38.200001 94.592 -141.4005
38.700001 94.622 -142.0218
39.500000 94.670 -142.9685
40.000000 94.698 -143.5487
40.599998 94.728 -144.2299
41.200001 94.753 -144.8770
41.799999 94.784 -145.5144
42.500000 94.828 -146.3356
43.099998 94.861 -147.1107
43.700001 94.885 -147.8499
44.400002 94.912 -148.5646
45.000000 94.945 -149.1051
45.500000 94.974 -149.5744
46.200001 95.001 -150.2849
46.799999 95.012 -150.9035
47.500000 95.023 -151.6015
48.200001 95.044 -152.2701
48.700001 95.065 -152.7331
49.400002 95.098 -153.3815
50.000000 95.120 -153.9458
50.799999 95.131 -154.6562
51.500000 95.136 -155.2055
52.200001 95.149 -155.7441
53.000000 95.167 -156.3961
53.799999 95.179 -157.0387
54.500000 95.189 -157.5805
55.200001 95.198 -158.1304
56.000000 95.211 -158.7682
57.000000 95.229 -159.5497
58.000000 95.242 -160.2785
59.000000 95.247 -160.9404
60.000000 95.255 -161.6190
60.799999 95.263 -162.1908
61.500000 95.269 -162.6758
62.200001 95.273 -163.1357
63.000000 95.276 -163.6527
64.000000 95.276 -164.3022
65.000000 95.278 -164.9274
66.000000 95.279 -165.5109
67.000000 95.279 -166.0594
68.000000 95.279 -166.6474
69.000000 95.278 -167.2888
70.000000 95.277 -167.9003
71.000000 95.278 -168.4684
72.000000 95.275 -168.9944
73.000000 95.270 -169.4996
74.000000 95.264 -170.0221
75.000000 95.257 -170.5406
76.199997 95.247 -171.1441
77.500000 95.239 -171.7923
78.800003 95.231 -172.4057
80.000000 95.223 -172.9510
81.199997 95.214 -173.5277
82.500000 95.200 -174.1294
83.800003 95.183 -174.6672
85.000000 95.168 -175.1641
86.199997 95.154 -175.6840
87.500000 95.140 -176.2363
88.500000 95.131 -176.6491
90.000000 95.112 -177.2466
91.199997 95.093 -177.6823
92.500000 95.077 -178.1686
93.800003 95.060 -178.6692
95.000000 95.043 -179.1182
96.199997 95.027 -179.5611
97.500000 95.008 179.9586
98.800003 94.983 179.4587
100.000000 94.958 179.0099
101.500000 94.933 178.5440
103.000000 94.914 178.1100
104.400002 94.894 177.6962
106.000000 94.868 177.2058
107.500000 94.842 176.7424
109.000000 94.815 176.2909
110.599998 94.784 175.8122
112.000000 94.760 175.4152
113.800003 94.726 174.9379
115.000000 94.700 174.6128
117.199997 94.652 174.0144
118.000000 94.633 173.7784
120.599998 94.574 172.9932
122.000000 94.555 172.6867
124.099998 94.522 172.2195
125.000000 94.505 172.0079
126.500000 94.474 171.6581
128.000000 94.443 171.3127
131.500000 94.372 170.5409
132.000000 94.361 170.4321
134.000000 94.317 170.0000
136.000000 94.272 169.5939
138.000000 94.231 169.1961
140.000000 94.189 168.7892
143.000000 94.126 168.2233
145.000000 94.084 167.8436
147.500000 94.027 167.3922
150.000000 93.957 166.9951
152.500000 93.897 166.5768
155.000000 93.853 166.1011
157.500000 93.796 165.6828
160.000000 93.734 165.2859
162.500000 93.686 164.9578
165.000000 93.635 164.6156
167.500000 93.579 164.2673
170.000000 93.524 163.9456
172.500000 93.467 163.6300
175.000000 93.409 163.3059
177.500000 93.354 162.9861
180.000000 93.300 162.7040
182.500000 93.247 162.4132
185.000000 93.193 162.1570
187.500000 93.137 161.9058
190.000000 93.075 161.6195
192.500000 93.008 161.3684
195.000000 92.942 161.1429
197.500000 92.881 160.9379
200.000000 92.822 160.7307
203.000000 92.746 160.4841
206.000000 92.672 160.3287
209.000000 92.601 160.2130
212.000000 92.541 160.1747
214.000000 92.511 160.1726
218.000000 92.469 160.0476
220.000000 92.449 159.9005
224.000000 92.394 159.5270
227.000000 92.342 159.2559
230.000000 92.286 159.0136
233.000000 92.226 158.7602
236.000000 92.169 158.4999
240.000000 92.086 158.3080
243.000000 92.020 158.1603
247.000000 91.937 157.9572
250.000000 91.877 157.8272
254.000000 91.799 157.6490
258.000000 91.721 157.4957
262.000000 91.641 157.3564
265.000000 91.581 157.2610
269.000000 91.502 157.1402
272.000000 91.445 157.0606
276.000000 91.369 156.9612
280.000000 91.293 156.8888
285.000000 91.202 156.8127
290.000000 91.112 156.7484
295.000000 91.026 156.7139
300.000000 90.941 156.6722
304.000000 90.872 156.6396
307.000000 90.817 156.6114
311.000000 90.745 156.5878
315.000000 90.675 156.5711
320.000000 90.589 156.5435
325.000000 90.507 156.5553
330.000000 90.426 156.5849
335.000000 90.344 156.6434
340.000000 90.264 156.7126
345.000000 90.186 156.7694
350.000000 90.113 156.8211
355.000000 90.041 156.9100
360.000000 89.962 156.9910
365.000000 89.887 157.0657
370.000000 89.813 157.1536
375.000000 89.742 157.2665
382.000000 89.645 157.4681
387.000000 89.576 157.5756
395.000000 89.463 157.7267
400.000000 89.396 157.8768
406.000000 89.316 158.0461
412.000000 89.233 158.2006
418.000000 89.151 158.4051
425.000000 89.066 158.6705
431.000000 88.993 158.9041
437.000000 88.920 159.1342
444.000000 88.837 159.4001
450.000000 88.766 159.6258
455.000000 88.709 159.8301
462.000000 88.634 160.1339
468.000000 88.570 160.4011
475.000000 88.492 160.7159
482.000000 88.419 161.0220
487.000000 88.369 161.2405
494.000000 88.298 161.5546
500.000000 88.237 161.8348
508.000000 88.157 162.2287
515.000000 88.091 162.5839
522.000000 88.025 162.9346
530.000000 87.950 163.3570
538.000000 87.878 163.8181
545.000000 87.819 164.2545
552.000000 87.763 164.7002
560.000000 87.704 165.2040
570.000000 87.641 165.8112
580.000000 87.582 166.3806
590.000000 87.524 166.9155
600.000000 87.464 167.4454
608.000000 87.415 167.8685
615.000000 87.372 168.2473
622.000000 87.329 168.6392
630.000000 87.281 169.1006
640.000000 87.222 169.7001
650.000000 87.167 170.3026
660.000000 87.116 170.9205
670.000000 87.067 171.5412
680.000000 87.020 172.1707
690.000000 86.977 172.8204
700.000000 86.937 173.4834
710.000000 86.901 174.1492
720.000000 86.867 174.8239
730.000000 86.838 175.5055
740.000000 86.812 176.1901
750.000000 86.789 176.8776
762.000000 86.766 177.7034
775.000000 86.745 178.6129
788.000000 86.729 179.5333
800.000000 86.721 -179.6172
812.000000 86.718 -178.7715
825.000000 86.720 -177.8582
838.000000 86.726 -176.9545
850.000000 86.739 -176.1200
862.000000 86.757 -175.2735
875.000000 86.782 -174.3717
885.000000 86.805 -173.6902
900.000000 86.845 -172.6817
912.000000 86.882 -171.8896
925.000000 86.928 -171.0455
938.000000 86.979 -170.2177
950.000000 87.029 -169.4683
962.000000 87.083 -168.7280
975.000000 87.145 -167.9283
988.000000 87.212 -167.1263
1000.000000 87.280 -166.3895
1015.000000 87.377 -165.4724
1030.000000 87.491 -164.5798
1044.000000 87.612 -163.8295
1060.000000 87.763 -163.1202
1075.000000 87.904 -162.6145
1090.000000 88.038 -162.2163
1106.000000 88.170 -161.8535
1120.000000 88.279 -161.5680
1138.000000 88.414 -161.2283
1150.000000 88.503 -161.0173
1172.000000 88.663 -160.6646
1180.000000 88.720 -160.5487
1206.000000 88.901 -160.2088
1220.000000 88.998 -160.0511
1241.000000 89.140 -159.8544
1250.000000 89.200 -159.7854
1265.000000 89.299 -159.6837
1280.000000 89.396 -159.5913
1315.000000 89.616 -159.4210
1320.000000 89.647 -159.4051
1340.000000 89.769 -159.3556
1360.000000 89.888 -159.3184
1380.000000 90.005 -159.2943
1400.000000 90.121 -159.2821
1430.000000 90.291 -159.2901
1450.000000 90.406 -159.3057
1475.000000 90.549 -159.3348
1500.000000 90.694 -159.3818
1525.000000 90.841 -159.4544
1550.000000 90.990 -159.5587
1575.000000 91.143 -159.7072
1600.000000 91.298 -159.9005
1625.000000 91.455 -160.1483
1650.000000 91.613 -160.4569
1675.000000 91.772 -160.8346
1700.000000 91.931 -161.2827
1725.000000 92.087 -161.8013
1750.000000 92.241 -162.3929
1775.000000 92.389 -163.0630
1800.000000 92.532 -163.8018
1825.000000 92.669 -164.6081
1850.000000 92.797 -165.4836
1875.000000 92.917 -166.4182
1900.000000 93.026 -167.4079
1925.000000 93.124 -168.4460
1950.000000 93.212 -169.5255
1975.000000 93.287 -170.6384
2000.000000 93.349 -171.7800
2030.000000 93.407 -173.1750
2060.000000 93.446 -174.5805
2090.000000 93.468 -175.9838
2120.000000 93.472 -177.3781
2140.000000 93.464 -178.2954
2180.000000 93.426 179.9196
2200.000000 93.397 179.0592
2240.000000 93.319 177.4113
2270.000000 93.245 176.2493
2300.000000 93.160 175.1563
2330.000000 93.064 174.1373
2360.000000 92.960 173.1970
2400.000000 92.810 172.0691
2430.000000 92.691 171.3193
2470.000000 92.526 170.4486
2500.000000 92.399 169.8887
2540.000000 92.227 169.2654
2580.000000 92.055 168.7768
2620.000000 91.884 168.4141
2650.000000 91.759 168.2191
2690.000000 91.596 168.0597
2720.000000 91.477 168.0076
2760.000000 91.327 168.0208
2800.000000 91.184 168.1227
2850.000000 91.018 168.3613
2900.000000 90.868 168.7056
2950.000000 90.735 169.1401
3000.000000 90.621 169.6455
3040.000000 90.544 170.0810
3070.000000 90.494 170.4166
3110.000000 90.439 170.8645
3150.000000 90.395 171.2941
3200.000000 90.354 171.7810
3250.000000 90.319 172.1980
3300.000000 90.282 172.5526
3350.000000 90.238 172.8975
3400.000000 90.184 173.3080
3450.000000 90.131 173.8517
3500.000000 90.090 174.5395
3550.000000 90.072 175.3257
3600.000000 90.082 176.1397
3650.000000 90.116 176.9317
3700.000000 90.171 177.6798
3750.000000 90.244 178.3772
3820.000000 90.376 179.2582
3870.000000 90.493 179.8025
3950.000000 90.717 -179.5200
4000.000000 90.879 -179.2465
4060.000000 91.094 -179.1027
4120.000000 91.328 -179.1969
4180.000000 91.578 -179.5660
4250.000000 91.881 179.6024
4310.000000 92.142 178.4982
4370.000000 92.394 176.9998
4440.000000 92.658 174.7246
4500.000000 92.840 172.3240
4550.000000 92.947 170.0277
4620.000000 93.007 166.4503
4680.000000 92.958 163.1750
4750.000000 92.769 159.3174
4820.000000 92.430 155.6985
4870.000000 92.099 153.4561
4940.000000 91.534 151.0716
5000.000000 90.992 149.9204
5080.000000 90.268 149.7670
5150.000000 89.698 150.7843
5220.000000 89.240 152.7289
5300.000000 88.952 155.7973
5380.000000 89.017 158.3918
5450.000000 89.236 158.6831
5520.000000 89.343 157.0407
5600.000000 89.154 154.3580
5700.000000 88.540 152.1470
5800.000000 87.759 152.1529
5900.000000 87.019 154.3026
