* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -38.0 dBFS with no timing reference
* Dated: Dec 16, 2024 7:15:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: CCZ Warrior R (non mic)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 91.557 -108.7571
20.600000 91.628 -109.4890
20.900000 91.707 -110.2747
21.200001 91.784 -111.0669
21.400000 91.834 -111.6000
21.799999 91.932 -112.6757
22.000000 91.979 -113.2134
22.400000 92.069 -114.2730
22.700001 92.136 -115.0467
23.000000 92.202 -115.8025
23.299999 92.269 -116.5454
23.600000 92.336 -117.2806
24.000000 92.423 -118.2518
24.299999 92.486 -118.9696
24.700001 92.567 -119.9042
25.000000 92.624 -120.5846
25.400000 92.698 -121.4653
25.799999 92.768 -122.3202
26.200001 92.834 -123.1528
26.500000 92.882 -123.7643
26.900000 92.944 -124.5682
27.200001 92.992 -125.1696
27.600000 93.054 -125.9785
28.000000 93.113 -126.7932
28.500000 93.178 -127.7845
29.000000 93.235 -128.6941
29.500000 93.294 -129.5194
30.000000 93.361 -130.3334
30.400000 93.416 -131.0301
30.700001 93.455 -131.5850
31.100000 93.500 -132.3441
31.500000 93.537 -133.0841
32.000000 93.580 -133.9377
32.500000 93.627 -134.7208
33.000000 93.678 -135.4802
33.500000 93.725 -136.2413
34.000000 93.764 -136.9913
34.500000 93.797 -137.7133
35.000000 93.830 -138.4150
35.500000 93.865 -139.1161
36.000000 93.901 -139.8216
36.500000 93.937 -140.5177
37.000000 93.973 -141.1932
37.500000 94.010 -141.8546
38.200001 94.058 -142.7763
38.700001 94.085 -143.4172
39.500000 94.124 -144.3563
40.000000 94.152 -144.9084
40.599998 94.190 -145.6044
41.200001 94.222 -146.3557
41.799999 94.244 -147.1070
42.500000 94.269 -147.9259
43.099998 94.293 -148.5860
43.700001 94.315 -149.1908
44.400002 94.339 -149.7859
45.000000 94.367 -150.2689
45.500000 94.391 -150.7333
46.200001 94.412 -151.4873
46.799999 94.418 -152.1410
47.500000 94.431 -152.8671
48.200001 94.452 -153.5939
48.700001 94.466 -154.0949
49.400002 94.488 -154.7271
50.000000 94.511 -155.2377
50.799999 94.536 -155.9454
51.500000 94.543 -156.5427
52.200001 94.547 -157.0900
53.000000 94.554 -157.7226
53.799999 94.561 -158.3637
54.500000 94.573 -158.9060
55.200001 94.588 -159.4615
56.000000 94.595 -160.0970
57.000000 94.595 -160.8159
58.000000 94.606 -161.5599
59.000000 94.615 -162.3551
60.000000 94.617 -163.0564
60.799999 94.619 -163.5492
61.500000 94.623 -163.9750
62.200001 94.626 -164.4196
63.000000 94.627 -164.9429
64.000000 94.624 -165.5782
65.000000 94.620 -166.1842
66.000000 94.619 -166.7776
67.000000 94.622 -167.3678
68.000000 94.621 -167.9511
69.000000 94.614 -168.5162
70.000000 94.608 -169.0818
71.000000 94.604 -169.6499
72.000000 94.601 -170.1675
73.000000 94.597 -170.6468
74.000000 94.593 -171.1360
75.000000 94.588 -171.6431
76.199997 94.580 -172.2799
77.500000 94.562 -172.9214
78.800003 94.548 -173.5451
80.000000 94.533 -174.1136
81.199997 94.520 -174.6116
82.500000 94.508 -175.1339
83.800003 94.490 -175.6840
85.000000 94.474 -176.2023
86.199997 94.459 -176.7112
87.500000 94.439 -177.2404
88.500000 94.421 -177.6482
90.000000 94.393 -178.2371
91.199997 94.374 -178.6772
92.500000 94.355 -179.1505
93.800003 94.338 -179.5981
95.000000 94.322 179.9870
96.199997 94.302 179.5611
97.500000 94.276 179.0961
98.800003 94.246 178.6270
100.000000 94.220 178.1990
101.500000 94.199 177.6894
103.000000 94.181 177.1989
104.400002 94.161 176.7651
106.000000 94.137 176.2802
107.500000 94.110 175.8510
109.000000 94.081 175.4308
110.599998 94.050 174.9803
112.000000 94.024 174.5764
113.800003 93.994 174.0656
115.000000 93.971 173.7660
117.199997 93.923 173.2627
118.000000 93.907 173.0665
120.599998 93.853 172.3553
122.000000 93.823 172.0053
124.099998 93.777 171.5211
125.000000 93.758 171.3084
126.500000 93.728 170.9630
128.000000 93.694 170.6279
131.500000 93.621 169.8716
132.000000 93.610 169.7705
134.000000 93.563 169.3347
136.000000 93.522 168.9269
138.000000 93.478 168.5468
140.000000 93.433 168.1535
143.000000 93.365 167.6085
145.000000 93.319 167.2567
147.500000 93.264 166.8367
150.000000 93.210 166.3311
152.500000 93.154 165.8499
155.000000 93.092 165.5636
157.500000 93.032 165.2131
160.000000 92.971 164.7796
162.500000 92.912 164.4308
165.000000 92.858 164.1581
167.500000 92.802 163.8385
170.000000 92.744 163.5178
172.500000 92.687 163.2178
175.000000 92.624 162.9376
177.500000 92.561 162.6688
180.000000 92.499 162.3704
182.500000 92.434 162.0532
185.000000 92.368 161.8005
187.500000 92.310 161.5884
190.000000 92.260 161.3855
192.500000 92.200 161.1295
195.000000 92.134 160.9417
197.500000 92.072 160.8606
200.000000 92.010 160.8430
203.000000 91.944 160.7788
206.000000 91.895 160.6622
209.000000 91.861 160.5402
212.000000 91.832 160.3116
214.000000 91.809 160.1235
218.000000 91.748 159.7491
220.000000 91.711 159.5665
224.000000 91.630 159.2325
227.000000 91.566 159.0097
230.000000 91.501 158.7924
233.000000 91.434 158.5808
236.000000 91.364 158.3333
240.000000 91.278 158.1489
243.000000 91.221 158.0825
247.000000 91.143 157.9458
250.000000 91.080 157.8385
254.000000 90.995 157.7244
258.000000 90.916 157.5960
262.000000 90.840 157.5005
265.000000 90.783 157.4400
269.000000 90.709 157.3579
272.000000 90.653 157.2974
276.000000 90.579 157.2157
280.000000 90.508 157.1517
285.000000 90.420 157.0726
290.000000 90.332 157.0052
295.000000 90.235 156.9683
300.000000 90.147 156.9567
304.000000 90.085 156.9480
307.000000 90.034 156.9337
311.000000 89.963 156.9047
315.000000 89.892 156.8958
320.000000 89.806 156.9241
325.000000 89.722 156.9492
330.000000 89.644 156.9891
335.000000 89.566 157.0308
340.000000 89.481 157.0984
345.000000 89.401 157.1798
350.000000 89.325 157.2424
355.000000 89.252 157.3035
360.000000 89.179 157.4096
365.000000 89.104 157.5331
370.000000 89.032 157.6409
375.000000 88.960 157.7729
382.000000 88.853 157.9716
387.000000 88.783 158.1043
395.000000 88.673 158.3397
400.000000 88.604 158.4937
406.000000 88.523 158.6968
412.000000 88.449 158.8970
418.000000 88.376 159.0969
425.000000 88.286 159.3779
431.000000 88.213 159.6281
437.000000 88.141 159.8718
444.000000 88.059 160.1437
450.000000 87.992 160.3755
455.000000 87.938 160.5762
462.000000 87.862 160.8851
468.000000 87.797 161.1686
475.000000 87.722 161.4916
482.000000 87.646 161.7942
487.000000 87.593 162.0323
494.000000 87.521 162.3846
500.000000 87.461 162.6797
508.000000 87.382 163.0776
515.000000 87.316 163.4442
522.000000 87.250 163.8238
530.000000 87.177 164.2664
538.000000 87.105 164.7191
545.000000 87.046 165.1279
552.000000 86.987 165.5495
560.000000 86.922 166.0251
570.000000 86.846 166.6355
580.000000 86.776 167.2665
590.000000 86.711 167.8936
600.000000 86.650 168.5222
608.000000 86.604 169.0176
615.000000 86.565 169.4296
622.000000 86.526 169.8408
630.000000 86.481 170.3186
640.000000 86.425 170.9316
650.000000 86.373 171.5544
660.000000 86.322 172.1887
670.000000 86.273 172.8375
680.000000 86.226 173.5006
690.000000 86.183 174.1736
700.000000 86.142 174.8558
710.000000 86.105 175.5393
720.000000 86.071 176.2258
730.000000 86.040 176.9276
740.000000 86.012 177.6434
750.000000 85.988 178.3605
762.000000 85.963 179.2283
775.000000 85.942 -179.8319
788.000000 85.925 -178.9034
800.000000 85.916 -178.0310
812.000000 85.914 -177.1424
825.000000 85.915 -176.1815
838.000000 85.921 -175.2205
850.000000 85.934 -174.3589
862.000000 85.953 -173.5146
875.000000 85.979 -172.5931
885.000000 86.003 -171.8858
900.000000 86.048 -170.8520
912.000000 86.089 -170.0554
925.000000 86.138 -169.2186
938.000000 86.193 -168.3923
950.000000 86.250 -167.6636
962.000000 86.314 -166.9974
975.000000 86.382 -166.3824
988.000000 86.435 -165.8701
1000.000000 86.459 -165.3689
1015.000000 86.485 -164.4265
1030.000000 86.556 -163.3100
1044.000000 86.653 -162.4183
1060.000000 86.773 -161.5854
1075.000000 86.886 -160.9086
1090.000000 86.995 -160.2913
1106.000000 87.109 -159.6819
1120.000000 87.208 -159.1879
1138.000000 87.335 -158.6077
1150.000000 87.419 -158.2462
1172.000000 87.571 -157.6211
1180.000000 87.626 -157.4083
1206.000000 87.799 -156.7691
1220.000000 87.892 -156.4561
1241.000000 88.031 -156.0054
1250.000000 88.089 -155.8198
1265.000000 88.184 -155.5245
1280.000000 88.279 -155.2422
1315.000000 88.499 -154.6293
1320.000000 88.531 -154.5462
1340.000000 88.656 -154.2191
1360.000000 88.781 -153.9079
1380.000000 88.906 -153.6114
1400.000000 89.032 -153.3273
1430.000000 89.223 -152.9205
1450.000000 89.353 -152.6688
1475.000000 89.518 -152.3774
1500.000000 89.686 -152.1137
1525.000000 89.858 -151.8775
1550.000000 90.034 -151.6740
1575.000000 90.214 -151.5146
1600.000000 90.399 -151.3995
1625.000000 90.588 -151.3308
1650.000000 90.782 -151.3171
1675.000000 90.981 -151.3637
1700.000000 91.184 -151.4845
1725.000000 91.390 -151.6834
1750.000000 91.598 -151.9651
1775.000000 91.808 -152.3374
1800.000000 92.016 -152.8032
1825.000000 92.223 -153.3693
1850.000000 92.426 -154.0367
1875.000000 92.623 -154.8041
1900.000000 92.813 -155.6733
1925.000000 92.994 -156.6399
1950.000000 93.164 -157.6937
1975.000000 93.321 -158.8275
2000.000000 93.464 -160.0319
2030.000000 93.616 -161.5540
2060.000000 93.744 -163.1439
2090.000000 93.850 -164.7765
2120.000000 93.932 -166.4296
2140.000000 93.973 -167.5360
2180.000000 94.026 -169.7362
2200.000000 94.038 -170.8186
2240.000000 94.036 -172.9325
2270.000000 94.012 -174.4565
2300.000000 93.972 -175.9147
2330.000000 93.916 -177.3021
2360.000000 93.846 -178.6128
2400.000000 93.734 179.7675
2430.000000 93.640 178.6544
2470.000000 93.501 177.3091
2500.000000 93.389 176.4047
2540.000000 93.233 175.3373
2580.000000 93.072 174.4239
2620.000000 92.908 173.6589
2650.000000 92.785 173.1783
2690.000000 92.622 172.6550
2720.000000 92.502 172.3467
2760.000000 92.346 172.0420
2800.000000 92.197 171.8497
2850.000000 92.020 171.7495
2900.000000 91.857 171.7875
2950.000000 91.709 171.9469
3000.000000 91.579 172.2135
3040.000000 91.488 172.4892
3070.000000 91.428 172.7245
3110.000000 91.358 173.0695
3150.000000 91.302 173.4397
3200.000000 91.250 173.9172
3250.000000 91.217 174.3818
3300.000000 91.201 174.8044
3350.000000 91.197 175.1635
3400.000000 91.199 175.4579
3450.000000 91.201 175.7052
3500.000000 91.198 175.9557
3550.000000 91.195 176.2622
3600.000000 91.198 176.6588
3650.000000 91.217 177.1410
3700.000000 91.257 177.6784
3750.000000 91.324 178.2345
3820.000000 91.463 178.9657
3870.000000 91.597 179.4044
3950.000000 91.869 179.8512
4000.000000 92.072 179.9010
4060.000000 92.342 179.6550
4120.000000 92.630 179.0317
4180.000000 92.927 177.9967
4250.000000 93.269 176.2302
4310.000000 93.545 174.2000
4370.000000 93.787 171.6733
4440.000000 94.001 168.1136
4500.000000 94.098 164.6025
4550.000000 94.103 161.4381
4620.000000 93.971 156.8515
4680.000000 93.722 153.0117
4750.000000 93.279 148.9785
4820.000000 92.702 145.7620
4870.000000 92.235 144.0920
4940.000000 91.547 142.6870
5000.000000 90.956 142.3452
5080.000000 90.215 143.1771
5150.000000 89.697 145.1019
5220.000000 89.412 147.5664
5300.000000 89.376 149.3686
5380.000000 89.379 148.9887
5450.000000 89.205 147.7215
5520.000000 88.840 146.7555
5600.000000 88.353 147.5096
5700.000000 88.079 148.3567
5800.000000 87.568 147.8242
5900.000000 86.927 149.0901
