* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Feb 11, 2024 3:25:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Dunu Falcon U (B AET07) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 94.682 -136.6215
20.600000 94.717 -137.4422
20.900000 94.755 -138.3208
21.200001 94.794 -139.1958
21.400000 94.821 -139.7760
21.799999 94.877 -140.9267
22.000000 94.905 -141.4943
22.400000 94.964 -142.6070
22.700001 95.008 -143.4213
23.000000 95.052 -144.2234
23.299999 95.094 -145.0205
23.600000 95.132 -145.8168
24.000000 95.176 -146.8746
24.299999 95.203 -147.6549
24.700001 95.233 -148.6606
25.000000 95.254 -149.3835
25.400000 95.285 -150.3132
25.799999 95.320 -151.2255
26.200001 95.358 -152.1420
26.500000 95.385 -152.8362
26.900000 95.418 -153.7637
27.200001 95.439 -154.4529
27.600000 95.464 -155.3545
28.000000 95.486 -156.2343
28.500000 95.510 -157.3066
29.000000 95.530 -158.3482
29.500000 95.548 -159.3544
30.000000 95.564 -160.3273
30.400000 95.576 -161.0890
30.700001 95.585 -161.6539
31.100000 95.596 -162.3999
31.500000 95.606 -163.1365
32.000000 95.618 -164.0437
32.500000 95.631 -164.9397
33.000000 95.642 -165.8259
33.500000 95.650 -166.6955
34.000000 95.655 -167.5404
34.500000 95.659 -168.3625
35.000000 95.662 -169.1708
35.500000 95.663 -169.9684
36.000000 95.663 -170.7495
36.500000 95.662 -171.5111
37.000000 95.663 -172.2609
37.500000 95.663 -173.0093
38.200001 95.659 -174.0485
38.700001 95.651 -174.7646
39.500000 95.636 -175.8574
40.000000 95.627 -176.5290
40.599998 95.617 -177.3398
41.200001 95.607 -178.1453
41.799999 95.598 -178.9329
42.500000 95.587 -179.8354
43.099998 95.576 179.3997
43.700001 95.560 178.6538
44.400002 95.539 177.8176
45.000000 95.522 177.1202
45.500000 95.508 176.5463
46.200001 95.487 175.7585
46.799999 95.468 175.1027
47.500000 95.446 174.3519
48.200001 95.423 173.6055
48.700001 95.406 173.0747
49.400002 95.381 172.3398
50.000000 95.359 171.7229
50.799999 95.328 170.9257
51.500000 95.300 170.2495
52.200001 95.274 169.5842
53.000000 95.242 168.8319
53.799999 95.210 168.0947
54.500000 95.181 167.4704
55.200001 95.153 166.8651
56.000000 95.122 166.1821
57.000000 95.081 165.3283
58.000000 95.035 164.4997
59.000000 94.989 163.7088
60.000000 94.944 162.9315
60.799999 94.908 162.3116
61.500000 94.875 161.7750
62.200001 94.842 161.2483
63.000000 94.803 160.6617
64.000000 94.755 159.9465
65.000000 94.708 159.2469
66.000000 94.659 158.5748
67.000000 94.612 157.9312
68.000000 94.565 157.3189
69.000000 94.515 156.7149
70.000000 94.459 156.0828
71.000000 94.403 155.4146
72.000000 94.353 154.7968
73.000000 94.312 154.2958
74.000000 94.274 153.7806
75.000000 94.230 153.1739
76.199997 94.172 152.4353
77.500000 94.102 151.7637
78.800003 94.023 151.1595
80.000000 93.964 150.7750
81.199997 93.919 150.3842
82.500000 93.864 149.7631
83.800003 93.810 148.9757
85.000000 93.756 148.3886
86.199997 93.699 147.8723
87.500000 93.639 147.2598
88.500000 93.599 146.8224
90.000000 93.540 146.2556
91.199997 93.477 145.7578
92.500000 93.403 145.2144
93.800003 93.337 144.7037
95.000000 93.280 144.2484
96.199997 93.224 143.7962
97.500000 93.163 143.3314
98.800003 93.101 142.8793
100.000000 93.044 142.4573
101.500000 92.974 141.9662
103.000000 92.904 141.5106
104.400002 92.839 141.0774
106.000000 92.766 140.5864
107.500000 92.698 140.1359
109.000000 92.631 139.7015
110.599998 92.560 139.2546
112.000000 92.498 138.8785
113.800003 92.421 138.4141
115.000000 92.369 138.1071
117.199997 92.273 137.5490
118.000000 92.238 137.3514
120.599998 92.127 136.7142
122.000000 92.068 136.3905
124.099998 91.978 135.9561
125.000000 91.940 135.7686
126.500000 91.879 135.4237
128.000000 91.817 135.0919
131.500000 91.653 134.3917
132.000000 91.628 134.3016
134.000000 91.532 133.9934
136.000000 91.476 133.6956
138.000000 91.425 133.3423
140.000000 91.352 133.0017
143.000000 91.211 132.5550
145.000000 91.126 132.1673
147.500000 91.027 131.7903
150.000000 90.927 131.5316
152.500000 90.840 131.3102
155.000000 90.751 131.1254
157.500000 90.668 130.9099
160.000000 90.615 130.8204
162.500000 90.585 130.6446
165.000000 90.544 130.3267
167.500000 90.482 130.0949
170.000000 90.399 129.6868
172.500000 90.324 129.2281
175.000000 90.256 128.8384
177.500000 90.184 128.5010
180.000000 90.108 128.2536
182.500000 90.024 128.0187
185.000000 89.946 127.7819
187.500000 89.873 127.5936
190.000000 89.802 127.4117
192.500000 89.734 127.2488
195.000000 89.672 127.1551
197.500000 89.610 127.0637
200.000000 89.550 126.9299
203.000000 89.480 126.7079
206.000000 89.418 126.5084
209.000000 89.367 126.3686
212.000000 89.318 126.2616
214.000000 89.285 126.1567
218.000000 89.217 125.9760
220.000000 89.179 125.9126
224.000000 89.119 125.7375
227.000000 89.085 125.5387
230.000000 89.047 125.2553
233.000000 89.001 124.9189
236.000000 88.945 124.5935
240.000000 88.863 124.2199
243.000000 88.800 123.9828
247.000000 88.713 123.7106
250.000000 88.649 123.5345
254.000000 88.567 123.3317
258.000000 88.489 123.1515
262.000000 88.416 122.9968
265.000000 88.363 122.8860
269.000000 88.288 122.7341
272.000000 88.230 122.6486
276.000000 88.161 122.5323
280.000000 88.104 122.4029
285.000000 88.035 122.2589
290.000000 87.969 122.1111
295.000000 87.903 121.9455
300.000000 87.835 121.7716
304.000000 87.780 121.6351
307.000000 87.738 121.5327
311.000000 87.682 121.4116
315.000000 87.628 121.3084
320.000000 87.563 121.1965
325.000000 87.501 121.0896
330.000000 87.440 120.9862
335.000000 87.382 120.8857
340.000000 87.325 120.7964
345.000000 87.269 120.7095
350.000000 87.215 120.6237
355.000000 87.163 120.5427
360.000000 87.112 120.4700
365.000000 87.062 120.4005
370.000000 87.013 120.3326
375.000000 86.966 120.2707
382.000000 86.902 120.1912
387.000000 86.858 120.1394
395.000000 86.791 120.0653
400.000000 86.751 120.0183
406.000000 86.704 119.9622
412.000000 86.660 119.9103
418.000000 86.617 119.8637
425.000000 86.568 119.8131
431.000000 86.528 119.7713
437.000000 86.490 119.7304
444.000000 86.446 119.6867
450.000000 86.409 119.6524
455.000000 86.379 119.6260
462.000000 86.339 119.5944
468.000000 86.306 119.5710
475.000000 86.269 119.5472
482.000000 86.234 119.5245
487.000000 86.210 119.5123
494.000000 86.177 119.4966
500.000000 86.150 119.4845
508.000000 86.116 119.4751
515.000000 86.088 119.4706
522.000000 86.061 119.4678
530.000000 86.033 119.4646
538.000000 86.005 119.4627
545.000000 85.983 119.4677
552.000000 85.962 119.4751
560.000000 85.939 119.4822
570.000000 85.912 119.4951
580.000000 85.886 119.5147
590.000000 85.863 119.5416
600.000000 85.842 119.5778
608.000000 85.827 119.6132
615.000000 85.815 119.6458
622.000000 85.804 119.6810
630.000000 85.793 119.7268
640.000000 85.782 119.7891
650.000000 85.773 119.8554
660.000000 85.767 119.9313
670.000000 85.763 120.0100
680.000000 85.761 120.0907
690.000000 85.762 120.1761
700.000000 85.765 120.2667
710.000000 85.769 120.3641
720.000000 85.776 120.4643
730.000000 85.786 120.5684
740.000000 85.798 120.6769
750.000000 85.812 120.7886
762.000000 85.832 120.9292
775.000000 85.858 121.0863
788.000000 85.890 121.2510
800.000000 85.923 121.4099
812.000000 85.960 121.5704
825.000000 86.006 121.7416
838.000000 86.056 121.9099
850.000000 86.107 122.0606
862.000000 86.162 122.2006
875.000000 86.227 122.3410
885.000000 86.280 122.4418
900.000000 86.365 122.5743
912.000000 86.437 122.6624
925.000000 86.519 122.7394
938.000000 86.605 122.7988
950.000000 86.688 122.8318
962.000000 86.774 122.8424
975.000000 86.870 122.8307
988.000000 86.969 122.7908
1000.000000 87.062 122.7244
1015.000000 87.180 122.5955
1030.000000 87.300 122.4219
1044.000000 87.414 122.2243
1060.000000 87.545 121.9578
1075.000000 87.668 121.6693
1090.000000 87.792 121.3448
1106.000000 87.922 120.9578
1120.000000 88.035 120.5826
1138.000000 88.179 120.0527
1150.000000 88.273 119.6727
1172.000000 88.440 118.9197
1180.000000 88.499 118.6272
1206.000000 88.682 117.6080
1220.000000 88.773 117.0226
1241.000000 88.894 116.1209
1250.000000 88.941 115.7399
1265.000000 89.011 115.1300
1280.000000 89.076 114.5623
1315.000000 89.220 113.4232
1320.000000 89.242 113.2802
1340.000000 89.330 112.7437
1360.000000 89.427 112.2349
1380.000000 89.531 111.7207
1400.000000 89.638 111.1881
1430.000000 89.802 110.3566
1450.000000 89.911 109.7839
1475.000000 90.048 109.0553
1500.000000 90.183 108.3237
1525.000000 90.319 107.6003
1550.000000 90.456 106.8896
1575.000000 90.592 106.1844
1600.000000 90.729 105.4762
1625.000000 90.866 104.7695
1650.000000 91.006 104.0617
1675.000000 91.146 103.3467
1700.000000 91.289 102.6302
1725.000000 91.432 101.9109
1750.000000 91.576 101.1834
1775.000000 91.722 100.4496
1800.000000 91.870 99.7075
1825.000000 92.019 98.9557
1850.000000 92.169 98.1905
1875.000000 92.321 97.4091
1900.000000 92.474 96.6103
1925.000000 92.628 95.7934
1950.000000 92.783 94.9565
1975.000000 92.938 94.0981
2000.000000 93.095 93.2184
2030.000000 93.282 92.1345
2060.000000 93.470 91.0168
2090.000000 93.658 89.8647
2120.000000 93.846 88.6767
2140.000000 93.970 87.8638
2180.000000 94.218 86.1870
2200.000000 94.341 85.3235
2240.000000 94.584 83.5466
2270.000000 94.763 82.1699
2300.000000 94.939 80.7539
2330.000000 95.112 79.2982
2360.000000 95.280 77.8034
2400.000000 95.498 75.7481
2430.000000 95.656 74.1598
2470.000000 95.856 71.9817
2500.000000 95.998 70.3056
2540.000000 96.174 68.0215
2580.000000 96.335 65.6908
2620.000000 96.481 63.3266
2650.000000 96.578 61.5384
2690.000000 96.694 59.1415
2720.000000 96.770 57.3404
2760.000000 96.856 54.9468
2800.000000 96.926 52.5698
2850.000000 96.991 49.6350
2900.000000 97.031 46.7621
2950.000000 97.049 43.9651
3000.000000 97.047 41.2617
3040.000000 97.032 39.1747
3070.000000 97.014 37.6566
3110.000000 96.982 35.6996
3150.000000 96.941 33.8238
3200.000000 96.879 31.5976
3250.000000 96.809 29.5053
3300.000000 96.732 27.5496
3350.000000 96.651 25.7358
3400.000000 96.570 24.0666
3450.000000 96.495 22.5273
3500.000000 96.429 21.0702
3550.000000 96.374 19.6390
3600.000000 96.328 18.2153
3650.000000 96.285 16.8075
3700.000000 96.245 15.4255
3750.000000 96.205 14.0804
3820.000000 96.154 12.2644
3870.000000 96.122 11.0114
3950.000000 96.078 9.0643
4000.000000 96.057 7.8727
4060.000000 96.036 6.4561
4120.000000 96.020 5.0427
4180.000000 96.009 3.6239
4250.000000 95.999 1.9502
4310.000000 95.992 0.4915
4370.000000 95.985 -0.9955
4440.000000 95.973 -2.7704
4500.000000 95.957 -4.3247
4550.000000 95.937 -5.6386
4620.000000 95.899 -7.4965
4680.000000 95.854 -9.0923
4750.000000 95.789 -10.9344
4820.000000 95.710 -12.7362
4870.000000 95.647 -13.9957
4940.000000 95.551 -15.7307
5000.000000 95.459 -17.1995
5080.000000 95.318 -19.1260
5150.000000 95.175 -20.7563
5220.000000 95.010 -22.2937
5300.000000 94.797 -23.8658
5380.000000 94.557 -25.1479
5450.000000 94.329 -25.9149
5520.000000 94.123 -26.2253
5600.000000 93.981 -26.4777
5700.000000 93.810 -27.5180
5800.000000 93.546 -28.3598
5900.000000 93.275 -28.6650
6000.000000 93.031 -28.6321
6080.000000 92.857 -28.4337
6150.000000 92.720 -28.1531
6220.000000 92.600 -27.7846
6300.000000 92.486 -27.2775
6400.000000 92.380 -26.5732
6500.000000 92.316 -25.8787
6600.000000 92.286 -25.2970
6700.000000 92.270 -24.8944
