* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Feb 11, 2024 3:19:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Dunu Falcon U (B AET07) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 94.297 -131.1393
20.600000 94.349 -131.9878
20.900000 94.402 -132.8978
21.200001 94.453 -133.7961
21.400000 94.486 -134.3844
21.799999 94.550 -135.5368
22.000000 94.583 -136.1028
22.400000 94.647 -137.2213
22.700001 94.695 -138.0549
23.000000 94.741 -138.8880
23.299999 94.784 -139.7205
23.600000 94.823 -140.5479
24.000000 94.872 -141.6289
24.299999 94.905 -142.4122
24.700001 94.950 -143.4109
25.000000 94.985 -144.1283
25.400000 95.034 -145.0569
25.799999 95.085 -145.9739
26.200001 95.134 -146.8934
26.500000 95.167 -147.5852
26.900000 95.205 -148.5035
27.200001 95.230 -149.1840
27.600000 95.260 -150.0755
28.000000 95.289 -150.9485
28.500000 95.323 -152.0140
29.000000 95.355 -153.0479
29.500000 95.388 -154.0505
30.000000 95.420 -155.0345
30.400000 95.445 -155.8191
30.700001 95.462 -156.4069
31.100000 95.482 -157.1836
31.500000 95.501 -157.9420
32.000000 95.522 -158.8568
32.500000 95.546 -159.7478
33.000000 95.570 -160.6389
33.500000 95.589 -161.5359
34.000000 95.603 -162.4178
34.500000 95.612 -163.2611
35.000000 95.623 -164.0656
35.500000 95.636 -164.8530
36.000000 95.650 -165.6443
36.500000 95.660 -166.4415
37.000000 95.665 -167.2319
37.500000 95.668 -168.0047
38.200001 95.673 -169.0582
38.700001 95.678 -169.7990
39.500000 95.682 -170.9614
40.000000 95.681 -171.6616
40.599998 95.680 -172.4736
41.200001 95.679 -173.2780
41.799999 95.680 -174.0999
42.500000 95.678 -175.0667
43.099998 95.671 -175.8557
43.700001 95.663 -176.5860
44.400002 95.655 -177.3942
45.000000 95.648 -178.0862
45.500000 95.639 -178.6683
46.200001 95.625 -179.4805
46.799999 95.613 179.8297
47.500000 95.600 179.0265
48.200001 95.584 178.2305
48.700001 95.571 177.6772
49.400002 95.551 176.9319
50.000000 95.537 176.3127
50.799999 95.520 175.4941
51.500000 95.503 174.7841
52.200001 95.484 174.0923
53.000000 95.458 173.3241
53.799999 95.430 172.5724
54.500000 95.406 171.9284
55.200001 95.383 171.2908
56.000000 95.358 170.5623
57.000000 95.324 169.6658
58.000000 95.288 168.7878
59.000000 95.253 167.9208
60.000000 95.218 167.0906
60.799999 95.191 166.4647
61.500000 95.166 165.9410
62.200001 95.140 165.4213
63.000000 95.106 164.8092
64.000000 95.059 164.0346
65.000000 95.015 163.3030
66.000000 94.978 162.6048
67.000000 94.938 161.9292
68.000000 94.896 161.2859
69.000000 94.857 160.6400
70.000000 94.817 159.9845
71.000000 94.773 159.3403
72.000000 94.726 158.7189
73.000000 94.682 158.1182
74.000000 94.639 157.5272
75.000000 94.593 156.9567
76.199997 94.538 156.2913
77.500000 94.483 155.5375
78.800003 94.423 154.8341
80.000000 94.370 154.2260
81.199997 94.321 153.6364
82.500000 94.273 153.0124
83.800003 94.212 152.3609
85.000000 94.157 151.7743
86.199997 94.103 151.1932
87.500000 94.045 150.5590
88.500000 94.009 150.1032
90.000000 93.974 149.5274
91.199997 93.918 149.0012
92.500000 93.833 148.4216
93.800003 93.764 147.8559
95.000000 93.706 147.3897
96.199997 93.650 146.9412
97.500000 93.593 146.4451
98.800003 93.537 145.9729
100.000000 93.483 145.5543
101.500000 93.415 145.0271
103.000000 93.348 144.5110
104.400002 93.284 144.0317
106.000000 93.209 143.5017
107.500000 93.143 143.0274
109.000000 93.078 142.5815
110.599998 93.010 142.1325
112.000000 92.956 141.7651
113.800003 92.881 141.3516
115.000000 92.830 141.0765
117.199997 92.743 140.3981
118.000000 92.712 140.1653
120.599998 92.615 139.4805
122.000000 92.562 139.0475
124.099998 92.480 138.4673
125.000000 92.443 138.2685
126.500000 92.377 137.9440
128.000000 92.305 137.5841
131.500000 92.165 136.8718
132.000000 92.151 136.8227
134.000000 92.078 136.7555
136.000000 91.959 136.4650
138.000000 91.877 135.9986
140.000000 91.828 135.5065
143.000000 91.669 134.7130
145.000000 91.599 134.4338
147.500000 91.517 134.3499
150.000000 91.410 134.3766
152.500000 91.334 134.4989
155.000000 91.324 134.5393
157.500000 91.320 134.2432
160.000000 91.289 133.6809
162.500000 91.270 132.8977
165.000000 91.199 132.2254
167.500000 91.105 131.6599
170.000000 91.026 131.1133
172.500000 90.940 130.6897
175.000000 90.851 130.3626
177.500000 90.765 130.0457
180.000000 90.684 129.7667
182.500000 90.608 129.4962
185.000000 90.538 129.2089
187.500000 90.468 128.9651
190.000000 90.399 128.7721
192.500000 90.325 128.5655
195.000000 90.250 128.3521
197.500000 90.181 128.1950
200.000000 90.120 128.0155
203.000000 90.054 127.8069
206.000000 89.991 127.5294
209.000000 89.923 127.1830
212.000000 89.852 126.8583
214.000000 89.801 126.6862
218.000000 89.702 126.4703
220.000000 89.653 126.3745
224.000000 89.563 126.1361
227.000000 89.494 125.9087
230.000000 89.426 125.7098
233.000000 89.361 125.5621
236.000000 89.298 125.4310
240.000000 89.217 125.2350
243.000000 89.157 125.0699
247.000000 89.074 124.9327
250.000000 89.012 124.8686
254.000000 88.944 124.7736
258.000000 88.890 124.6214
262.000000 88.844 124.3849
265.000000 88.801 124.2090
269.000000 88.736 124.0353
272.000000 88.689 123.9299
276.000000 88.619 123.7471
280.000000 88.551 123.5966
285.000000 88.471 123.4662
290.000000 88.396 123.3298
295.000000 88.322 123.1789
300.000000 88.252 122.9984
304.000000 88.197 122.8616
307.000000 88.158 122.7783
311.000000 88.106 122.6674
315.000000 88.052 122.5457
320.000000 87.985 122.4078
325.000000 87.921 122.2986
330.000000 87.854 122.1542
335.000000 87.795 122.0024
340.000000 87.747 121.9143
345.000000 87.691 121.8146
350.000000 87.634 121.7144
355.000000 87.578 121.6331
360.000000 87.525 121.5702
365.000000 87.472 121.5148
370.000000 87.419 121.4790
375.000000 87.367 121.4305
382.000000 87.293 121.3299
387.000000 87.250 121.2896
395.000000 87.188 121.2521
400.000000 87.139 121.2079
406.000000 87.082 121.1506
412.000000 87.036 121.0843
418.000000 86.992 120.9952
425.000000 86.937 120.9113
431.000000 86.894 120.8715
437.000000 86.857 120.8307
444.000000 86.812 120.8000
450.000000 86.769 120.7771
455.000000 86.734 120.7328
462.000000 86.692 120.6431
468.000000 86.656 120.5840
475.000000 86.615 120.6173
482.000000 86.577 120.6428
487.000000 86.550 120.6440
494.000000 86.513 120.6414
500.000000 86.482 120.6342
508.000000 86.445 120.6189
515.000000 86.413 120.6269
522.000000 86.383 120.6563
530.000000 86.350 120.6783
538.000000 86.313 120.6628
545.000000 86.289 120.6607
552.000000 86.267 120.6729
560.000000 86.241 120.6917
570.000000 86.213 120.7000
580.000000 86.187 120.6971
590.000000 86.162 120.7465
600.000000 86.134 120.7841
608.000000 86.112 120.8277
615.000000 86.097 120.8835
622.000000 86.084 120.9398
630.000000 86.071 120.9929
640.000000 86.057 121.0813
650.000000 86.043 121.1717
660.000000 86.029 121.2560
670.000000 86.019 121.3515
680.000000 86.018 121.4650
690.000000 86.019 121.5766
700.000000 86.018 121.6768
710.000000 86.019 121.7880
720.000000 86.023 121.9111
730.000000 86.027 122.0528
740.000000 86.035 122.2013
750.000000 86.049 122.3186
762.000000 86.066 122.4845
775.000000 86.088 122.6826
788.000000 86.115 122.8913
800.000000 86.143 123.0651
812.000000 86.176 123.2393
825.000000 86.220 123.4360
838.000000 86.269 123.6338
850.000000 86.318 123.8146
862.000000 86.371 123.9870
875.000000 86.432 124.1572
885.000000 86.481 124.2801
900.000000 86.563 124.4469
912.000000 86.632 124.5626
925.000000 86.711 124.6732
938.000000 86.793 124.7603
950.000000 86.874 124.8134
962.000000 86.957 124.8496
975.000000 87.050 124.8656
988.000000 87.146 124.8518
1000.000000 87.236 124.8132
1015.000000 87.350 124.7379
1030.000000 87.466 124.6262
1044.000000 87.576 124.4868
1060.000000 87.702 124.2839
1075.000000 87.821 124.0598
1090.000000 87.939 123.8050
1106.000000 88.064 123.4955
1120.000000 88.171 123.1995
1138.000000 88.307 122.7908
1150.000000 88.396 122.5023
1172.000000 88.555 121.9446
1180.000000 88.612 121.7325
1206.000000 88.798 121.0291
1220.000000 88.899 120.6305
1241.000000 89.045 119.9719
1250.000000 89.106 119.6765
1265.000000 89.204 119.1707
1280.000000 89.298 118.6498
1315.000000 89.506 117.4305
1320.000000 89.534 117.2589
1340.000000 89.645 116.5743
1360.000000 89.748 115.8930
1380.000000 89.847 115.2278
1400.000000 89.945 114.5905
1430.000000 90.088 113.6872
1450.000000 90.182 113.1156
1475.000000 90.302 112.4222
1500.000000 90.427 111.7548
1525.000000 90.554 111.0876
1550.000000 90.685 110.4095
1575.000000 90.816 109.7251
1600.000000 90.949 109.0393
1625.000000 91.081 108.3485
1650.000000 91.214 107.6523
1675.000000 91.350 106.9533
1700.000000 91.487 106.2476
1725.000000 91.625 105.5329
1750.000000 91.765 104.8143
1775.000000 91.908 104.0862
1800.000000 92.052 103.3421
1825.000000 92.196 102.5804
1850.000000 92.342 101.8009
1875.000000 92.488 101.0078
1900.000000 92.633 100.2045
1925.000000 92.779 99.3885
1950.000000 92.926 98.5556
1975.000000 93.072 97.7047
2000.000000 93.219 96.8367
2030.000000 93.396 95.7675
2060.000000 93.573 94.6658
2090.000000 93.749 93.5266
2120.000000 93.924 92.3510
2140.000000 94.040 91.5476
2180.000000 94.270 89.8952
2200.000000 94.383 89.0467
2240.000000 94.607 87.3026
2270.000000 94.771 85.9509
2300.000000 94.932 84.5614
2330.000000 95.088 83.1371
2360.000000 95.240 81.6780
2400.000000 95.433 79.6857
2430.000000 95.570 78.1591
2470.000000 95.741 76.0875
2500.000000 95.861 74.5159
2540.000000 96.008 72.4040
2580.000000 96.139 70.2899
2620.000000 96.256 68.1945
2650.000000 96.334 66.6490
2690.000000 96.429 64.6409
2720.000000 96.497 63.1854
2760.000000 96.593 61.2884
2800.000000 96.698 59.3620
2850.000000 96.829 56.7987
2900.000000 96.934 54.0631
2950.000000 96.999 51.2741
3000.000000 97.027 48.5487
3040.000000 97.028 46.4559
3070.000000 97.020 44.9454
3110.000000 97.000 43.0109
3150.000000 96.971 41.1650
3200.000000 96.927 38.9781
3250.000000 96.874 36.9189
3300.000000 96.817 34.9822
3350.000000 96.757 33.1628
3400.000000 96.698 31.4480
3450.000000 96.640 29.8289
3500.000000 96.585 28.2924
3550.000000 96.534 26.8236
3600.000000 96.486 25.4097
3650.000000 96.441 24.0487
3700.000000 96.399 22.7324
3750.000000 96.360 21.4545
3820.000000 96.310 19.7186
3870.000000 96.279 18.5098
3950.000000 96.236 16.6080
4000.000000 96.213 15.4197
4060.000000 96.187 13.9686
4120.000000 96.156 12.4733
4180.000000 96.111 10.9472
4250.000000 96.034 9.2128
4310.000000 95.947 7.8738
4370.000000 95.857 6.7435
4440.000000 95.771 5.6568
4500.000000 95.727 4.8019
4550.000000 95.707 4.0569
4620.000000 95.694 2.8959
4680.000000 95.685 1.7853
4750.000000 95.666 0.3787
4820.000000 95.631 -1.1112
4870.000000 95.594 -2.2045
4940.000000 95.524 -3.7500
5000.000000 95.448 -5.0649
5080.000000 95.321 -6.7678
5150.000000 95.187 -8.1820
5220.000000 95.034 -9.4943
5300.000000 94.838 -10.8217
5380.000000 94.626 -11.9203
5450.000000 94.432 -12.6724
5520.000000 94.241 -13.2173
5600.000000 94.039 -13.6316
5700.000000 93.808 -14.0543
5800.000000 93.575 -14.3228
5900.000000 93.347 -14.3500
6000.000000 93.131 -14.1437
6080.000000 92.969 -13.8140
6150.000000 92.837 -13.4022
6220.000000 92.717 -12.8743
6300.000000 92.598 -12.1356
6400.000000 92.481 -11.0293
6500.000000 92.406 -9.7581
6600.000000 92.379 -8.3799
6700.000000 92.403 -6.9589
