* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -33.0 dBFS with no timing reference
* Dated: Jan 19, 2025 2:54:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FiiO FH15 (Bal 20 Ohm) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 96.872 -160.7392
20.600000 96.870 -161.3071
20.900000 96.866 -161.9090
21.200001 96.863 -162.5041
21.400000 96.863 -162.8998
21.799999 96.865 -163.6974
22.000000 96.867 -164.0996
22.400000 96.867 -164.9006
22.700001 96.863 -165.4838
23.000000 96.854 -166.0391
23.299999 96.843 -166.5612
23.600000 96.830 -167.0535
24.000000 96.815 -167.6825
24.299999 96.806 -168.1507
24.700001 96.799 -168.7876
25.000000 96.797 -169.2769
25.400000 96.795 -169.9374
25.799999 96.793 -170.5927
26.200001 96.788 -171.2273
26.500000 96.780 -171.6802
26.900000 96.762 -172.2414
27.200001 96.745 -172.6263
27.600000 96.721 -173.1013
28.000000 96.700 -173.5667
28.500000 96.683 -174.2058
29.000000 96.668 -174.9380
29.500000 96.646 -175.6840
30.000000 96.619 -176.3192
30.400000 96.603 -176.7214
30.700001 96.597 -176.9883
31.100000 96.593 -177.3499
31.500000 96.586 -177.7546
32.000000 96.563 -178.3050
32.500000 96.530 -178.8411
33.000000 96.501 -179.3445
33.500000 96.485 -179.8550
34.000000 96.468 179.6347
34.500000 96.440 179.2194
35.000000 96.407 178.9654
35.500000 96.387 178.7853
36.000000 96.379 178.4937
36.500000 96.365 177.9929
37.000000 96.335 177.3576
37.500000 96.295 176.7329
38.200001 96.254 175.9877
38.700001 96.236 175.5110
39.500000 96.196 174.8411
40.000000 96.159 174.5192
40.599998 96.117 174.1779
41.200001 96.081 173.7732
41.799999 96.042 173.2872
42.500000 95.991 172.7259
43.099998 95.949 172.2961
43.700001 95.914 171.8849
44.400002 95.874 171.4162
45.000000 95.842 171.0544
45.500000 95.820 170.7802
46.200001 95.790 170.3925
46.799999 95.756 170.0481
47.500000 95.708 169.6829
48.200001 95.668 169.3543
48.700001 95.649 169.0922
49.400002 95.623 168.6697
50.000000 95.589 168.3204
50.799999 95.533 167.9356
51.500000 95.485 167.5943
52.200001 95.436 167.2007
53.000000 95.381 166.7798
53.799999 95.337 166.4374
54.500000 95.303 166.1446
55.200001 95.265 165.8347
56.000000 95.217 165.4937
57.000000 95.161 165.1194
58.000000 95.106 164.7642
59.000000 95.042 164.3066
60.000000 94.965 163.8052
60.799999 94.913 163.5314
61.500000 94.884 163.3661
62.200001 94.856 163.1920
63.000000 94.814 162.9625
64.000000 94.755 162.6639
65.000000 94.701 162.3680
66.000000 94.648 162.0983
67.000000 94.591 161.8331
68.000000 94.531 161.5570
69.000000 94.475 161.2867
70.000000 94.421 161.0289
71.000000 94.365 160.7750
72.000000 94.309 160.5250
73.000000 94.257 160.3008
74.000000 94.208 160.0968
75.000000 94.156 159.9031
76.199997 94.092 159.6866
77.500000 94.025 159.4289
78.800003 93.960 159.1686
80.000000 93.897 158.9558
81.199997 93.833 158.7802
82.500000 93.770 158.5728
83.800003 93.714 158.3251
85.000000 93.657 158.1384
86.199997 93.593 158.0484
87.500000 93.529 157.9274
88.500000 93.481 157.7870
90.000000 93.407 157.5914
91.199997 93.348 157.4585
92.500000 93.285 157.3239
93.800003 93.223 157.2001
95.000000 93.167 157.0896
96.199997 93.112 157.0007
97.500000 93.054 156.9059
98.800003 93.000 156.7960
100.000000 92.948 156.6940
101.500000 92.881 156.5974
103.000000 92.815 156.5221
104.400002 92.757 156.4497
106.000000 92.691 156.3790
107.500000 92.629 156.3115
109.000000 92.569 156.2339
110.599998 92.507 156.1718
112.000000 92.451 156.1313
113.800003 92.376 156.0722
115.000000 92.328 156.0420
117.199997 92.244 155.9795
118.000000 92.212 155.9683
120.599998 92.085 155.8729
122.000000 92.039 155.8465
124.099998 91.990 155.9055
125.000000 91.961 155.9276
126.500000 91.910 155.9274
128.000000 91.858 155.9184
131.500000 91.737 155.9304
132.000000 91.721 155.9353
134.000000 91.654 155.9591
136.000000 91.588 155.9684
138.000000 91.524 156.0038
140.000000 91.464 156.0747
143.000000 91.370 156.1589
145.000000 91.303 156.2268
147.500000 91.221 156.3195
150.000000 91.144 156.4308
152.500000 91.072 156.5662
155.000000 91.001 156.7575
157.500000 90.940 156.9850
160.000000 90.892 157.2007
162.500000 90.848 157.3236
165.000000 90.800 157.3965
167.500000 90.748 157.4724
170.000000 90.692 157.5365
172.500000 90.637 157.6043
175.000000 90.580 157.6693
177.500000 90.526 157.7669
180.000000 90.472 157.8912
182.500000 90.417 158.0198
185.000000 90.361 158.1014
187.500000 90.307 158.2124
190.000000 90.255 158.3520
192.500000 90.205 158.5035
195.000000 90.155 158.6459
197.500000 90.104 158.7804
200.000000 90.053 158.9115
203.000000 89.993 159.0757
206.000000 89.935 159.2645
209.000000 89.874 159.4568
212.000000 89.813 159.6699
214.000000 89.775 159.8089
218.000000 89.699 160.1583
220.000000 89.663 160.4084
224.000000 89.613 160.9385
227.000000 89.594 161.2601
230.000000 89.580 161.5169
233.000000 89.569 161.6455
236.000000 89.544 161.7045
240.000000 89.464 161.8989
243.000000 89.415 162.0325
247.000000 89.387 162.0933
250.000000 89.356 162.1926
254.000000 89.309 162.3795
258.000000 89.258 162.6322
262.000000 89.208 162.9064
265.000000 89.170 163.0927
269.000000 89.120 163.3307
272.000000 89.083 163.5116
276.000000 89.036 163.7404
280.000000 88.997 163.9640
285.000000 88.946 164.3054
290.000000 88.893 164.6799
295.000000 88.845 165.0130
300.000000 88.803 165.3212
304.000000 88.772 165.5854
307.000000 88.747 165.7807
311.000000 88.714 166.0189
315.000000 88.681 166.2462
320.000000 88.640 166.5226
325.000000 88.602 166.8140
330.000000 88.564 167.1144
335.000000 88.526 167.4166
340.000000 88.488 167.7276
345.000000 88.452 168.0479
350.000000 88.415 168.3535
355.000000 88.382 168.6699
360.000000 88.351 168.9568
365.000000 88.321 169.2457
370.000000 88.292 169.5383
375.000000 88.263 169.8257
382.000000 88.223 170.2346
387.000000 88.197 170.5256
395.000000 88.154 170.9890
400.000000 88.129 171.2815
406.000000 88.100 171.6309
412.000000 88.072 171.9811
418.000000 88.044 172.3313
425.000000 88.011 172.7219
431.000000 87.986 173.0705
437.000000 87.960 173.4167
444.000000 87.931 173.8262
450.000000 87.908 174.1533
455.000000 87.887 174.4346
462.000000 87.860 174.8499
468.000000 87.841 175.1844
475.000000 87.818 175.5671
482.000000 87.793 175.9553
487.000000 87.776 176.2352
494.000000 87.754 176.6358
500.000000 87.736 176.9780
508.000000 87.711 177.4301
515.000000 87.691 177.8265
522.000000 87.671 178.2110
530.000000 87.649 178.6622
538.000000 87.633 179.1497
545.000000 87.621 179.5223
552.000000 87.607 179.8615
560.000000 87.590 -179.7111
570.000000 87.575 -179.1315
580.000000 87.560 -178.5153
590.000000 87.535 -177.8976
600.000000 87.514 -177.3776
608.000000 87.507 -176.9438
615.000000 87.499 -176.5174
622.000000 87.489 -176.1126
630.000000 87.481 -175.6564
640.000000 87.473 -175.0755
650.000000 87.467 -174.4864
660.000000 87.463 -173.9009
670.000000 87.462 -173.3245
680.000000 87.463 -172.7459
690.000000 87.466 -172.1661
700.000000 87.471 -171.5899
710.000000 87.475 -171.0114
720.000000 87.481 -170.4331
730.000000 87.490 -169.8546
740.000000 87.501 -169.2749
750.000000 87.515 -168.6930
762.000000 87.533 -167.9973
775.000000 87.555 -167.2391
788.000000 87.582 -166.4824
800.000000 87.610 -165.7903
812.000000 87.643 -165.0954
825.000000 87.682 -164.3487
838.000000 87.725 -163.6012
850.000000 87.768 -162.9193
862.000000 87.815 -162.2512
875.000000 87.872 -161.5402
885.000000 87.919 -161.0043
900.000000 87.992 -160.2213
912.000000 88.055 -159.6144
925.000000 88.128 -158.9805
938.000000 88.203 -158.3702
950.000000 88.277 -157.8314
962.000000 88.352 -157.3169
975.000000 88.437 -156.7869
988.000000 88.523 -156.2889
1000.000000 88.604 -155.8578
1015.000000 88.708 -155.3593
1030.000000 88.812 -154.9069
1044.000000 88.910 -154.5249
1060.000000 89.022 -154.1265
1075.000000 89.126 -153.7966
1090.000000 89.227 -153.5099
1106.000000 89.333 -153.2388
1120.000000 89.423 -153.0239
1138.000000 89.535 -152.7843
1150.000000 89.607 -152.6439
1172.000000 89.734 -152.4178
1180.000000 89.779 -152.3458
1206.000000 89.917 -152.1229
1220.000000 89.987 -152.0042
1241.000000 90.086 -151.8306
1250.000000 90.127 -151.7558
1265.000000 90.193 -151.6250
1280.000000 90.257 -151.4800
1315.000000 90.402 -151.0857
1320.000000 90.422 -151.0226
1340.000000 90.505 -150.7447
1360.000000 90.590 -150.4289
1380.000000 90.680 -150.0851
1400.000000 90.775 -149.7107
1430.000000 90.937 -149.1192
1450.000000 91.059 -148.7237
1475.000000 91.230 -148.2642
1500.000000 91.420 -147.8894
1525.000000 91.630 -147.6454
1550.000000 91.851 -147.5973
1575.000000 92.077 -147.7531
1600.000000 92.297 -148.1120
1625.000000 92.499 -148.6540
1650.000000 92.677 -149.3535
1675.000000 92.832 -150.1475
1700.000000 92.962 -150.9723
1725.000000 93.068 -151.7845
1750.000000 93.154 -152.5534
1775.000000 93.226 -153.2560
1800.000000 93.288 -153.8744
1825.000000 93.345 -154.4153
1850.000000 93.401 -154.8925
1875.000000 93.461 -155.3173
1900.000000 93.525 -155.7068
1925.000000 93.596 -156.0804
1950.000000 93.673 -156.4568
1975.000000 93.757 -156.8582
2000.000000 93.846 -157.3021
2030.000000 93.959 -157.9141
2060.000000 94.073 -158.6321
2090.000000 94.185 -159.4688
2120.000000 94.289 -160.4259
2140.000000 94.352 -161.1319
2180.000000 94.457 -162.6964
2200.000000 94.496 -163.5412
2240.000000 94.543 -165.3214
2270.000000 94.548 -166.7012
2300.000000 94.525 -168.0860
2330.000000 94.476 -169.4401
2360.000000 94.401 -170.7296
2400.000000 94.265 -172.3051
2430.000000 94.141 -173.3531
2470.000000 93.954 -174.5448
2500.000000 93.802 -175.2767
2540.000000 93.591 -176.0321
2580.000000 93.375 -176.5424
2620.000000 93.162 -176.8166
2650.000000 93.007 -176.8760
2690.000000 92.810 -176.7790
2720.000000 92.672 -176.5887
2760.000000 92.502 -176.1994
2800.000000 92.351 -175.6713
2850.000000 92.190 -174.8512
2900.000000 92.063 -173.8921
2950.000000 91.972 -172.8367
3000.000000 91.918 -171.7280
3040.000000 91.900 -170.8293
3070.000000 91.903 -170.1606
3110.000000 91.926 -169.2934
3150.000000 91.972 -168.4766
3200.000000 92.058 -167.5484
3250.000000 92.177 -166.7637
3300.000000 92.324 -166.1662
3350.000000 92.493 -165.7970
3400.000000 92.680 -165.6967
3450.000000 92.876 -165.8926
3500.000000 93.071 -166.4157
3550.000000 93.253 -167.2764
3600.000000 93.411 -168.4670
3650.000000 93.530 -169.9608
3700.000000 93.596 -171.7046
3750.000000 93.599 -173.6145
3820.000000 93.482 -176.3457
3870.000000 93.307 -178.1577
3950.000000 92.883 179.5850
4000.000000 92.550 178.7852
4060.000000 92.117 178.5902
4120.000000 91.680 179.3084
4180.000000 91.286 -178.9760
4250.000000 90.969 -175.7722
4310.000000 90.901 -172.3470
4370.000000 91.066 -168.9112
4440.000000 91.538 -165.8361
4500.000000 92.108 -164.6720
4550.000000 92.627 -164.9848
4620.000000 93.298 -167.4027
4680.000000 93.721 -171.0418
4750.000000 93.944 -176.4474
4820.000000 93.838 177.8134
4870.000000 93.576 174.0164
4940.000000 93.007 169.6265
5000.000000 92.397 166.9457
5080.000000 91.511 164.9592
5150.000000 90.735 164.5473
5220.000000 90.003 165.1407
5300.000000 89.249 166.7753
5380.000000 88.595 169.1694
5450.000000 88.112 171.7202
5520.000000 87.712 174.5729
5600.000000 87.360 178.0666
5700.000000 87.075 -177.4426
5800.000000 86.958 -173.1387
5900.000000 86.984 -169.4093
