* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Jan 21, 2025 8:29:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FiiO FH15 (Bal Dunu S&S) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 98.340 -162.1181
20.600000 98.339 -162.6631
20.900000 98.335 -163.2467
21.200001 98.330 -163.8311
21.400000 98.327 -164.2223
21.799999 98.321 -165.0100
22.000000 98.317 -165.4044
22.400000 98.310 -166.1844
22.700001 98.304 -166.7536
23.000000 98.298 -167.3054
23.299999 98.293 -167.8398
23.600000 98.287 -168.3598
24.000000 98.280 -169.0361
24.299999 98.275 -169.5320
24.700001 98.266 -170.1761
25.000000 98.259 -170.6442
25.400000 98.248 -171.2476
25.799999 98.237 -171.8321
26.200001 98.225 -172.4063
26.500000 98.215 -172.8346
26.900000 98.200 -173.4040
27.200001 98.188 -173.8285
27.600000 98.171 -174.3866
28.000000 98.154 -174.9307
28.500000 98.134 -175.5854
29.000000 98.115 -176.2100
29.500000 98.096 -176.8101
30.000000 98.078 -177.3988
30.400000 98.062 -177.8702
30.700001 98.049 -178.2256
31.100000 98.029 -178.6989
31.500000 98.009 -179.1655
32.000000 97.982 -179.7302
32.500000 97.957 179.7272
33.000000 97.934 179.2006
33.500000 97.912 178.6842
34.000000 97.888 178.1779
34.500000 97.863 177.6840
35.000000 97.835 177.2031
35.500000 97.807 176.7330
36.000000 97.778 176.2726
36.500000 97.750 175.8228
37.000000 97.723 175.3845
37.500000 97.698 174.9576
38.200001 97.664 174.3799
38.700001 97.638 173.9840
39.500000 97.595 173.3757
40.000000 97.565 173.0029
40.599998 97.527 172.5623
41.200001 97.489 172.1347
41.799999 97.457 171.7054
42.500000 97.423 171.1606
43.099998 97.387 170.6673
43.700001 97.342 170.2141
44.400002 97.291 169.7762
45.000000 97.258 169.4258
45.500000 97.233 169.1151
46.200001 97.194 168.6699
46.799999 97.158 168.3148
47.500000 97.116 167.9221
48.200001 97.074 167.5270
48.700001 97.044 167.2485
49.400002 97.005 166.8624
50.000000 96.973 166.5194
50.799999 96.926 166.0667
51.500000 96.882 165.7218
52.200001 96.840 165.4072
53.000000 96.791 165.0325
53.799999 96.739 164.6631
54.500000 96.694 164.3645
55.200001 96.653 164.0682
56.000000 96.605 163.7231
57.000000 96.543 163.3019
58.000000 96.484 162.8790
59.000000 96.426 162.4704
60.000000 96.369 162.1122
60.799999 96.325 161.8273
61.500000 96.286 161.5635
62.200001 96.246 161.3078
63.000000 96.200 161.0418
64.000000 96.143 160.7316
65.000000 96.084 160.4267
66.000000 96.024 160.1122
67.000000 95.966 159.8241
68.000000 95.912 159.5767
69.000000 95.859 159.3126
70.000000 95.804 159.0267
71.000000 95.744 158.7604
72.000000 95.686 158.5359
73.000000 95.631 158.3279
74.000000 95.579 158.0955
75.000000 95.524 157.8467
76.199997 95.456 157.5696
77.500000 95.384 157.2885
78.800003 95.316 157.0269
80.000000 95.258 156.8161
81.199997 95.201 156.5846
82.500000 95.134 156.3290
83.800003 95.066 156.1187
85.000000 95.005 155.9212
86.199997 94.943 155.7382
87.500000 94.877 155.5964
88.500000 94.828 155.4748
90.000000 94.754 155.2360
91.199997 94.698 155.0648
92.500000 94.644 154.9207
93.800003 94.586 154.7901
95.000000 94.531 154.6681
96.199997 94.475 154.5443
97.500000 94.416 154.4075
98.800003 94.357 154.2635
100.000000 94.300 154.1651
101.500000 94.224 154.0083
103.000000 94.151 153.8159
104.400002 94.097 153.7602
106.000000 94.040 153.7308
107.500000 93.979 153.6300
109.000000 93.918 153.5315
110.599998 93.852 153.4260
112.000000 93.794 153.3269
113.800003 93.722 153.2561
115.000000 93.674 153.2055
117.199997 93.588 153.1178
118.000000 93.557 153.0939
120.599998 93.455 152.9927
122.000000 93.403 152.9444
124.099998 93.331 152.9105
125.000000 93.298 152.8738
126.500000 93.239 152.8431
128.000000 93.187 152.8306
131.500000 93.067 152.7881
132.000000 93.050 152.7926
134.000000 92.982 152.8048
136.000000 92.915 152.8086
138.000000 92.845 152.8458
140.000000 92.774 152.8942
143.000000 92.673 152.8679
145.000000 92.605 152.9293
147.500000 92.538 152.9951
150.000000 92.452 152.9808
152.500000 92.357 153.2060
155.000000 92.287 153.6060
157.500000 92.251 153.9394
160.000000 92.216 154.2281
162.500000 92.211 154.1224
165.000000 92.203 153.9802
167.500000 92.133 153.8066
170.000000 92.071 153.7179
172.500000 92.019 153.7627
175.000000 91.966 153.7180
177.500000 91.909 153.7382
180.000000 91.846 153.8189
182.500000 91.787 153.8983
185.000000 91.724 153.9373
187.500000 91.662 154.0433
190.000000 91.614 154.1425
192.500000 91.569 154.2285
195.000000 91.524 154.3256
197.500000 91.474 154.4221
200.000000 91.420 154.5097
203.000000 91.371 154.5805
206.000000 91.323 154.5812
209.000000 91.262 154.6840
212.000000 91.197 154.7247
214.000000 91.159 154.7571
218.000000 91.093 154.9109
220.000000 91.054 154.9944
224.000000 90.990 155.1272
227.000000 90.947 155.2785
230.000000 90.890 155.4447
233.000000 90.835 155.5867
236.000000 90.791 155.7540
240.000000 90.738 155.9221
243.000000 90.695 156.0427
247.000000 90.642 156.0595
250.000000 90.606 156.1230
254.000000 90.581 156.4650
258.000000 90.547 156.7432
262.000000 90.471 156.8406
265.000000 90.411 156.8569
269.000000 90.357 156.9527
272.000000 90.317 157.1325
276.000000 90.261 157.3964
280.000000 90.222 157.5553
285.000000 90.171 157.7958
290.000000 90.096 158.0867
295.000000 90.027 158.2865
300.000000 89.991 158.3959
304.000000 89.970 158.5635
307.000000 89.941 158.7345
311.000000 89.897 158.8957
315.000000 89.862 159.0328
320.000000 89.813 159.2211
325.000000 89.765 159.4294
330.000000 89.726 159.6461
335.000000 89.684 159.7944
340.000000 89.643 159.9746
345.000000 89.599 160.1559
350.000000 89.551 160.3290
355.000000 89.505 160.5671
360.000000 89.463 160.7986
365.000000 89.429 161.0064
370.000000 89.395 161.2401
375.000000 89.355 161.4677
382.000000 89.297 161.7239
387.000000 89.260 161.9426
395.000000 89.202 162.2288
400.000000 89.165 162.4151
406.000000 89.130 162.6889
412.000000 89.095 162.9467
418.000000 89.057 163.1641
425.000000 89.014 163.4182
431.000000 88.977 163.6834
437.000000 88.940 163.9343
444.000000 88.896 164.2294
450.000000 88.862 164.4843
455.000000 88.833 164.6935
462.000000 88.792 164.9854
468.000000 88.760 165.2392
475.000000 88.728 165.5367
482.000000 88.693 165.7972
487.000000 88.668 165.9868
494.000000 88.633 166.2704
500.000000 88.604 166.5227
508.000000 88.567 166.8594
515.000000 88.535 167.1530
522.000000 88.503 167.4406
530.000000 88.468 167.7689
538.000000 88.434 168.0964
545.000000 88.405 168.3701
552.000000 88.381 168.6315
560.000000 88.350 168.9873
570.000000 88.309 169.4367
580.000000 88.273 169.8684
590.000000 88.237 170.3012
600.000000 88.202 170.7374
608.000000 88.176 171.0879
615.000000 88.155 171.3912
622.000000 88.135 171.6954
630.000000 88.113 172.0579
640.000000 88.086 172.5142
650.000000 88.059 172.9701
660.000000 88.034 173.4331
670.000000 88.011 173.8953
680.000000 87.990 174.3699
690.000000 87.972 174.8486
700.000000 87.954 175.3280
710.000000 87.938 175.8103
720.000000 87.926 176.3049
730.000000 87.916 176.7960
740.000000 87.907 177.2885
750.000000 87.900 177.7917
762.000000 87.896 178.4044
775.000000 87.895 179.0637
788.000000 87.899 179.7228
800.000000 87.902 -179.6568
812.000000 87.915 -179.0132
825.000000 87.936 -178.3722
838.000000 87.959 -177.7344
850.000000 87.981 -177.1233
862.000000 88.005 -176.5022
875.000000 88.035 -175.8572
885.000000 88.064 -175.3866
900.000000 88.114 -174.6722
912.000000 88.157 -174.1190
925.000000 88.209 -173.5437
938.000000 88.266 -172.9799
950.000000 88.321 -172.4732
962.000000 88.380 -171.9942
975.000000 88.447 -171.5042
988.000000 88.515 -171.0445
1000.000000 88.580 -170.6503
1015.000000 88.664 -170.1934
1030.000000 88.752 -169.7704
1044.000000 88.835 -169.4105
1060.000000 88.928 -169.0446
1075.000000 89.016 -168.7422
1090.000000 89.103 -168.4748
1106.000000 89.195 -168.2307
1120.000000 89.273 -168.0440
1138.000000 89.373 -167.8297
1150.000000 89.437 -167.7031
1172.000000 89.551 -167.5103
1180.000000 89.590 -167.4490
1206.000000 89.713 -167.2678
1220.000000 89.776 -167.1743
1241.000000 89.868 -167.0415
1250.000000 89.906 -166.9879
1265.000000 89.966 -166.8934
1280.000000 90.025 -166.7893
1315.000000 90.159 -166.4765
1320.000000 90.178 -166.4255
1340.000000 90.257 -166.2046
1360.000000 90.339 -165.9508
1380.000000 90.425 -165.6688
1400.000000 90.516 -165.3578
1430.000000 90.673 -164.8549
1450.000000 90.792 -164.5242
1475.000000 90.962 -164.1442
1500.000000 91.152 -163.8365
1525.000000 91.362 -163.6566
1550.000000 91.587 -163.6525
1575.000000 91.818 -163.8552
1600.000000 92.047 -164.2775
1625.000000 92.265 -164.9145
1650.000000 92.462 -165.7314
1675.000000 92.633 -166.6685
1700.000000 92.775 -167.6644
1725.000000 92.891 -168.6673
1750.000000 92.985 -169.6303
1775.000000 93.060 -170.5197
1800.000000 93.124 -171.3202
1825.000000 93.182 -172.0231
1850.000000 93.239 -172.6363
1875.000000 93.300 -173.1779
1900.000000 93.368 -173.6641
1925.000000 93.445 -174.1180
1950.000000 93.532 -174.5661
1975.000000 93.630 -175.0322
2000.000000 93.739 -175.5370
2030.000000 93.881 -176.2268
2060.000000 94.034 -177.0416
2090.000000 94.191 -178.0022
2120.000000 94.349 -179.1330
2140.000000 94.450 -179.9869
2180.000000 94.637 178.0701
2200.000000 94.719 176.9872
2240.000000 94.849 174.6270
2270.000000 94.914 172.7251
2300.000000 94.945 170.7511
2330.000000 94.942 168.7445
2360.000000 94.904 166.7482
2400.000000 94.802 164.1793
2430.000000 94.690 162.3657
2470.000000 94.500 160.1639
2500.000000 94.335 158.6960
2540.000000 94.093 157.0002
2580.000000 93.837 155.6110
2620.000000 93.574 154.5231
2650.000000 93.377 153.8939
2690.000000 93.122 153.2849
2720.000000 92.939 152.9852
2760.000000 92.709 152.7729
2800.000000 92.497 152.7444
2850.000000 92.264 152.9152
2900.000000 92.067 153.2652
2950.000000 91.908 153.7433
3000.000000 91.786 154.2974
3040.000000 91.716 154.7661
3070.000000 91.679 155.1177
3110.000000 91.651 155.5677
3150.000000 91.646 155.9755
3200.000000 91.667 156.3983
3250.000000 91.718 156.6903
3300.000000 91.795 156.8134
3350.000000 91.892 156.7358
3400.000000 92.007 156.4205
3450.000000 92.131 155.8258
3500.000000 92.254 154.9103
3550.000000 92.362 153.6441
3600.000000 92.437 152.0421
3650.000000 92.461 150.1688
3700.000000 92.421 148.1199
3750.000000 92.308 146.0242
3820.000000 92.019 143.2928
3870.000000 91.725 141.7068
3950.000000 91.150 140.1566
4000.000000 90.747 139.9168
4060.000000 90.251 140.5753
4120.000000 89.800 142.4439
4180.000000 89.482 145.4823
4250.000000 89.399 149.9554
4310.000000 89.621 153.7440
4370.000000 90.088 156.6628
4440.000000 90.843 158.2384
4500.000000 91.565 157.7433
4550.000000 92.153 156.0037
4620.000000 92.858 151.6782
4680.000000 93.268 146.5243
4750.000000 93.438 139.5074
4820.000000 93.248 132.3477
4870.000000 92.913 127.6653
4940.000000 92.232 122.2043
5000.000000 91.526 118.7392
5080.000000 90.514 115.8512
5150.000000 89.636 114.7370
5220.000000 88.805 114.6801
5300.000000 87.941 115.6213
5380.000000 87.182 117.3677
5450.000000 86.608 119.3811
5520.000000 86.118 121.7154
5600.000000 85.662 124.6460
5700.000000 85.246 128.4914
5800.000000 84.997 132.2252
5900.000000 84.893 135.4926
6000.000000 84.886 137.9437
6080.000000 84.897 139.1964
6150.000000 84.876 139.8461
6220.000000 84.799 140.2545
6300.000000 84.634 140.7440
