* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Jan 19, 2025 2:47:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FiiO FH15 (Balanced) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 98.550 -162.7923
20.600000 98.548 -163.3262
20.900000 98.544 -163.8962
21.200001 98.538 -164.4649
21.400000 98.535 -164.8440
21.799999 98.528 -165.6021
22.000000 98.524 -165.9789
22.400000 98.518 -166.7203
22.700001 98.513 -167.2615
23.000000 98.509 -167.7893
23.299999 98.505 -168.3061
23.600000 98.501 -168.8146
24.000000 98.496 -169.4821
24.299999 98.492 -169.9733
24.700001 98.484 -170.6112
25.000000 98.477 -171.0745
25.400000 98.466 -171.6733
25.799999 98.455 -172.2563
26.200001 98.441 -172.8293
26.500000 98.429 -173.2536
26.900000 98.412 -173.8096
27.200001 98.398 -174.2176
27.600000 98.382 -174.7497
28.000000 98.367 -175.2728
28.500000 98.352 -175.9211
29.000000 98.335 -176.5588
29.500000 98.315 -177.1686
30.000000 98.291 -177.7410
30.400000 98.273 -178.1809
30.700001 98.259 -178.5095
31.100000 98.241 -178.9537
31.500000 98.222 -179.4052
32.000000 98.196 -179.9649
32.500000 98.170 179.4993
33.000000 98.145 178.9907
33.500000 98.121 178.4982
34.000000 98.096 178.0141
34.500000 98.068 177.5409
35.000000 98.040 177.0803
35.500000 98.013 176.6247
36.000000 97.987 176.1666
36.500000 97.962 175.7125
37.000000 97.936 175.2770
37.500000 97.910 174.8651
38.200001 97.873 174.3047
38.700001 97.843 173.9034
39.500000 97.787 173.2856
40.000000 97.755 172.9259
40.599998 97.724 172.4990
41.200001 97.699 172.0550
41.799999 97.670 171.6120
42.500000 97.629 171.1440
43.099998 97.589 170.7843
43.700001 97.551 170.4240
44.400002 97.508 169.9600
45.000000 97.472 169.5254
45.500000 97.443 169.1595
46.200001 97.403 168.6827
46.799999 97.370 168.3218
47.500000 97.331 167.9473
48.200001 97.290 167.6137
48.700001 97.261 167.3920
49.400002 97.221 167.0698
50.000000 97.186 166.7569
50.799999 97.134 166.3128
51.500000 97.087 165.9442
52.200001 97.045 165.5939
53.000000 96.999 165.2007
53.799999 96.951 164.8293
54.500000 96.907 164.5275
55.200001 96.863 164.2391
56.000000 96.816 163.9035
57.000000 96.761 163.4658
58.000000 96.708 163.0999
59.000000 96.664 162.7681
60.000000 96.605 162.3686
60.799999 96.546 162.0653
61.500000 96.498 161.8201
62.200001 96.455 161.5702
63.000000 96.408 161.2941
64.000000 96.349 160.9955
65.000000 96.294 160.7133
66.000000 96.239 160.4200
67.000000 96.182 160.1266
68.000000 96.122 159.8412
69.000000 96.065 159.5556
70.000000 96.011 159.2785
71.000000 95.957 159.0320
72.000000 95.902 158.8004
73.000000 95.846 158.5622
74.000000 95.791 158.3263
75.000000 95.736 158.1048
76.199997 95.672 157.8621
77.500000 95.603 157.5872
78.800003 95.530 157.3523
80.000000 95.466 157.1620
81.199997 95.404 156.9549
82.500000 95.339 156.7204
83.800003 95.275 156.5077
85.000000 95.215 156.3312
86.199997 95.155 156.1538
87.500000 95.091 155.9703
88.500000 95.042 155.8366
90.000000 94.967 155.6507
91.199997 94.908 155.5059
92.500000 94.847 155.3542
93.800003 94.787 155.2220
95.000000 94.731 155.1013
96.199997 94.676 154.9838
97.500000 94.619 154.8787
98.800003 94.559 154.7840
100.000000 94.502 154.6745
101.500000 94.435 154.5292
103.000000 94.370 154.4237
104.400002 94.308 154.3285
106.000000 94.242 154.2103
107.500000 94.180 154.1118
109.000000 94.117 154.0320
110.599998 94.052 153.9596
112.000000 93.994 153.8989
113.800003 93.919 153.8180
115.000000 93.872 153.7649
117.199997 93.784 153.6751
118.000000 93.754 153.6376
120.599998 93.662 153.5461
122.000000 93.607 153.5450
124.099998 93.527 153.5363
125.000000 93.493 153.5269
126.500000 93.439 153.5026
128.000000 93.385 153.4764
131.500000 93.261 153.4460
132.000000 93.244 153.4464
134.000000 93.177 153.4470
136.000000 93.112 153.4483
138.000000 93.044 153.4580
140.000000 92.977 153.4759
143.000000 92.880 153.4991
145.000000 92.818 153.5352
147.500000 92.741 153.5614
150.000000 92.662 153.6024
152.500000 92.578 153.6953
155.000000 92.500 153.8247
157.500000 92.426 153.9617
160.000000 92.350 154.1043
162.500000 92.280 154.3085
165.000000 92.226 154.5221
167.500000 92.182 154.6880
170.000000 92.137 154.7960
172.500000 92.087 154.8492
175.000000 92.033 154.8820
177.500000 91.983 154.9424
180.000000 91.933 155.0121
182.500000 91.882 155.0640
185.000000 91.830 155.1241
187.500000 91.779 155.2057
190.000000 91.726 155.2831
192.500000 91.672 155.3585
195.000000 91.625 155.4487
197.500000 91.577 155.5537
200.000000 91.524 155.6578
203.000000 91.462 155.7718
206.000000 91.407 155.8972
209.000000 91.353 156.0238
212.000000 91.295 156.1651
214.000000 91.257 156.2689
218.000000 91.178 156.4460
220.000000 91.138 156.5334
224.000000 91.063 156.7410
227.000000 91.010 156.9052
230.000000 90.958 157.0892
233.000000 90.909 157.2812
236.000000 90.867 157.4690
240.000000 90.808 157.8020
243.000000 90.767 158.0481
247.000000 90.728 158.2398
250.000000 90.698 158.3442
254.000000 90.650 158.4772
258.000000 90.595 158.6166
262.000000 90.542 158.7873
265.000000 90.501 158.9213
269.000000 90.447 159.1006
272.000000 90.405 159.2440
276.000000 90.352 159.4392
280.000000 90.303 159.6348
285.000000 90.243 159.8889
290.000000 90.182 160.1667
295.000000 90.122 160.4385
300.000000 90.066 160.7011
304.000000 90.024 160.9269
307.000000 89.990 161.1006
311.000000 89.945 161.3325
315.000000 89.904 161.5643
320.000000 89.858 161.8379
325.000000 89.814 162.1060
330.000000 89.772 162.3643
335.000000 89.729 162.6112
340.000000 89.683 162.8608
345.000000 89.635 163.1151
350.000000 89.590 163.3588
355.000000 89.548 163.6002
360.000000 89.508 163.8615
365.000000 89.466 164.1254
370.000000 89.425 164.3835
375.000000 89.385 164.6298
382.000000 89.332 164.9761
387.000000 89.295 165.2307
395.000000 89.231 165.6615
400.000000 89.193 165.9245
406.000000 89.154 166.2095
412.000000 89.116 166.5117
418.000000 89.075 166.8294
425.000000 89.025 167.1940
431.000000 88.984 167.5012
437.000000 88.945 167.8123
444.000000 88.901 168.1730
450.000000 88.865 168.4866
455.000000 88.835 168.7521
462.000000 88.794 169.1154
468.000000 88.760 169.4304
475.000000 88.719 169.7998
482.000000 88.680 170.1737
487.000000 88.653 170.4415
494.000000 88.616 170.8050
500.000000 88.585 171.1226
508.000000 88.544 171.5548
515.000000 88.508 171.9302
522.000000 88.475 172.3083
530.000000 88.438 172.7391
538.000000 88.402 173.1718
545.000000 88.372 173.5511
552.000000 88.343 173.9403
560.000000 88.312 174.3930
570.000000 88.273 174.9479
580.000000 88.236 175.4977
590.000000 88.201 176.0474
600.000000 88.167 176.6063
608.000000 88.141 177.0687
615.000000 88.120 177.4692
622.000000 88.100 177.8663
630.000000 88.078 178.3176
640.000000 88.051 178.8778
650.000000 88.026 179.4480
660.000000 88.003 -179.9787
670.000000 87.981 -179.4085
680.000000 87.960 -178.8331
690.000000 87.940 -178.2517
700.000000 87.922 -177.6633
710.000000 87.907 -177.0689
720.000000 87.894 -176.4744
730.000000 87.883 -175.8803
740.000000 87.873 -175.2746
750.000000 87.867 -174.6642
762.000000 87.862 -173.9235
775.000000 87.859 -173.1180
788.000000 87.860 -172.3265
800.000000 87.865 -171.5877
812.000000 87.875 -170.8469
825.000000 87.890 -170.0480
838.000000 87.909 -169.2543
850.000000 87.931 -168.5268
862.000000 87.957 -167.8046
875.000000 87.992 -167.0271
885.000000 88.021 -166.4411
900.000000 88.070 -165.5728
912.000000 88.112 -164.8942
925.000000 88.162 -164.1860
938.000000 88.215 -163.5032
950.000000 88.268 -162.8934
962.000000 88.325 -162.3045
975.000000 88.389 -161.6864
988.000000 88.456 -161.1001
1000.000000 88.519 -160.5933
1015.000000 88.600 -159.9970
1030.000000 88.682 -159.4402
1044.000000 88.759 -158.9553
1060.000000 88.848 -158.4397
1075.000000 88.931 -157.9970
1090.000000 89.012 -157.5951
1106.000000 89.097 -157.2022
1120.000000 89.169 -156.8792
1138.000000 89.257 -156.4892
1150.000000 89.313 -156.2430
1172.000000 89.412 -155.8216
1180.000000 89.447 -155.6741
1206.000000 89.554 -155.2017
1220.000000 89.608 -154.9522
1241.000000 89.685 -154.5791
1250.000000 89.717 -154.4144
1265.000000 89.769 -154.1315
1280.000000 89.819 -153.8349
1315.000000 89.933 -153.0722
1320.000000 89.949 -152.9562
1340.000000 90.016 -152.4665
1360.000000 90.086 -151.9350
1380.000000 90.162 -151.3659
1400.000000 90.248 -150.7629
1430.000000 90.396 -149.8266
1450.000000 90.512 -149.2054
1475.000000 90.678 -148.4685
1500.000000 90.868 -147.8275
1525.000000 91.078 -147.3382
1550.000000 91.301 -147.0403
1575.000000 91.529 -146.9676
1600.000000 91.751 -147.1265
1625.000000 91.957 -147.4948
1650.000000 92.139 -148.0249
1675.000000 92.292 -148.6500
1700.000000 92.417 -149.3083
1725.000000 92.517 -149.9469
1750.000000 92.596 -150.5247
1775.000000 92.659 -151.0193
1800.000000 92.713 -151.4143
1825.000000 92.763 -151.7088
1850.000000 92.815 -151.9156
1875.000000 92.873 -152.0491
1900.000000 92.938 -152.1334
1925.000000 93.014 -152.1903
1950.000000 93.101 -152.2406
1975.000000 93.200 -152.3093
2000.000000 93.309 -152.4209
2030.000000 93.454 -152.6393
2060.000000 93.609 -152.9847
2090.000000 93.771 -153.4821
2120.000000 93.934 -154.1486
2140.000000 94.039 -154.6925
2180.000000 94.237 -156.0171
2200.000000 94.325 -156.7934
2240.000000 94.471 -158.5504
2270.000000 94.548 -160.0144
2300.000000 94.593 -161.5615
2330.000000 94.604 -163.1502
2360.000000 94.580 -164.7358
2400.000000 94.496 -166.7710
2430.000000 94.398 -168.1907
2470.000000 94.228 -169.8889
2500.000000 94.076 -170.9889
2540.000000 93.850 -172.1996
2580.000000 93.606 -173.1090
2620.000000 93.356 -173.7196
2650.000000 93.168 -173.9904
2690.000000 92.923 -174.1190
2720.000000 92.748 -174.0552
2760.000000 92.526 -173.7830
2800.000000 92.323 -173.3234
2850.000000 92.099 -172.5323
2900.000000 91.910 -171.5493
2950.000000 91.760 -170.4294
3000.000000 91.648 -169.2227
3040.000000 91.587 -168.2244
3070.000000 91.557 -167.4704
3110.000000 91.537 -166.4761
3150.000000 91.541 -165.5143
3200.000000 91.578 -164.3896
3250.000000 91.647 -163.3891
3300.000000 91.745 -162.5551
3350.000000 91.868 -161.9260
3400.000000 92.008 -161.5399
3450.000000 92.159 -161.4330
3500.000000 92.311 -161.6251
3550.000000 92.452 -162.1269
3600.000000 92.572 -162.9337
3650.000000 92.656 -164.0155
3700.000000 92.693 -165.3195
3750.000000 92.672 -166.7678
3820.000000 92.531 -168.8311
3870.000000 92.347 -170.1582
3950.000000 91.921 -171.6446
4000.000000 91.594 -171.9795
4060.000000 91.174 -171.6404
4120.000000 90.757 -170.4048
4180.000000 90.389 -168.1780
4250.000000 90.116 -164.3975
4310.000000 90.095 -160.5194
4370.000000 90.316 -156.6995
4440.000000 90.863 -153.2957
4500.000000 91.500 -151.9684
4550.000000 92.074 -152.2362
4620.000000 92.813 -154.7361
4680.000000 93.279 -158.5682
4750.000000 93.526 -164.2878
4820.000000 93.412 -170.3447
4870.000000 93.126 -174.3158
4940.000000 92.509 -178.8290
5000.000000 91.850 178.5037
5080.000000 90.900 176.6807
5150.000000 90.075 176.5077
5220.000000 89.302 177.3932
5300.000000 88.508 179.3953
5380.000000 87.824 -177.8190
5450.000000 87.319 -174.9187
5520.000000 86.902 -171.7122
5600.000000 86.533 -167.8219
5700.000000 86.235 -162.8574
5800.000000 86.107 -158.1031
5900.000000 86.122 -153.9303
