* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Jan 19, 2025 3:57:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: FiiO FH15 (Balanced) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 98.001 -161.9449
20.600000 97.998 -162.5184
20.900000 97.992 -163.1335
21.200001 97.986 -163.7486
21.400000 97.982 -164.1590
21.799999 97.977 -164.9810
22.000000 97.975 -165.3900
22.400000 97.970 -166.1942
22.700001 97.965 -166.7773
23.000000 97.960 -167.3397
23.299999 97.955 -167.8830
23.600000 97.949 -168.4115
24.000000 97.939 -169.1019
24.299999 97.932 -169.6126
24.700001 97.920 -170.2838
25.000000 97.911 -170.7769
25.400000 97.899 -171.4174
25.799999 97.888 -172.0390
26.200001 97.877 -172.6462
26.500000 97.867 -173.0948
26.900000 97.853 -173.6842
27.200001 97.841 -174.1183
27.600000 97.822 -174.6834
28.000000 97.802 -175.2321
28.500000 97.777 -175.8991
29.000000 97.755 -176.5530
29.500000 97.733 -177.1974
30.000000 97.711 -177.8287
30.400000 97.692 -178.3210
30.700001 97.678 -178.6821
31.100000 97.658 -179.1531
31.500000 97.637 -179.6136
32.000000 97.610 179.8239
32.500000 97.582 179.2758
33.000000 97.554 178.7419
33.500000 97.526 178.2199
34.000000 97.499 177.7058
34.500000 97.472 177.1966
35.000000 97.444 176.6934
35.500000 97.414 176.2005
36.000000 97.383 175.7224
36.500000 97.352 175.2608
37.000000 97.321 174.8135
37.500000 97.292 174.3745
38.200001 97.254 173.7653
38.700001 97.226 173.3379
39.500000 97.178 172.6940
40.000000 97.147 172.3193
40.599998 97.111 171.8773
41.200001 97.075 171.4254
41.799999 97.035 170.9723
42.500000 96.987 170.4675
43.099998 96.947 170.0555
43.700001 96.907 169.6533
44.400002 96.861 169.1996
45.000000 96.824 168.8256
45.500000 96.794 168.5149
46.200001 96.753 168.0715
46.799999 96.715 167.6964
47.500000 96.669 167.2837
48.200001 96.624 166.8884
48.700001 96.591 166.6076
49.400002 96.544 166.2223
50.000000 96.504 165.9067
50.799999 96.456 165.4939
51.500000 96.415 165.1273
52.200001 96.372 164.7715
53.000000 96.321 164.3987
53.799999 96.270 164.0488
54.500000 96.225 163.7466
55.200001 96.180 163.4426
56.000000 96.129 163.0923
57.000000 96.065 162.6674
58.000000 96.001 162.2558
59.000000 95.932 161.8571
60.000000 95.865 161.5079
60.799999 95.820 161.2228
61.500000 95.782 160.9512
62.200001 95.741 160.6911
63.000000 95.695 160.4282
64.000000 95.638 160.1144
65.000000 95.577 159.8068
66.000000 95.514 159.5237
67.000000 95.454 159.2485
68.000000 95.397 158.9693
69.000000 95.340 158.6981
70.000000 95.280 158.4504
71.000000 95.223 158.1979
72.000000 95.166 157.9269
73.000000 95.108 157.6780
74.000000 95.051 157.4687
75.000000 94.995 157.2721
76.199997 94.926 157.0187
77.500000 94.855 156.7393
78.800003 94.785 156.4791
80.000000 94.718 156.2745
81.199997 94.654 156.0748
82.500000 94.585 155.8505
83.800003 94.518 155.6411
85.000000 94.456 155.4677
86.199997 94.395 155.2997
87.500000 94.330 155.1281
88.500000 94.280 155.0043
90.000000 94.205 154.8240
91.199997 94.148 154.6802
92.500000 94.086 154.5314
93.800003 94.023 154.3994
95.000000 93.963 154.2755
96.199997 93.903 154.1607
97.500000 93.842 154.0703
98.800003 93.785 153.9829
100.000000 93.734 153.8674
101.500000 93.668 153.7101
103.000000 93.602 153.6096
104.400002 93.541 153.5593
106.000000 93.471 153.4448
107.500000 93.402 153.3409
109.000000 93.337 153.2999
110.599998 93.278 153.2515
112.000000 93.224 153.1721
113.800003 93.144 153.0707
115.000000 93.092 153.0385
117.199997 93.007 153.0429
118.000000 92.978 153.0260
120.599998 92.884 152.8996
122.000000 92.828 152.8378
124.099998 92.747 152.7928
125.000000 92.714 152.7901
126.500000 92.662 152.7990
128.000000 92.612 152.8062
131.500000 92.485 152.7150
132.000000 92.468 152.6979
134.000000 92.400 152.6446
136.000000 92.330 152.6336
138.000000 92.260 152.7031
140.000000 92.193 152.7809
143.000000 92.086 152.9093
145.000000 92.012 152.9536
147.500000 91.937 153.0070
150.000000 91.866 153.1734
152.500000 91.804 153.2480
155.000000 91.766 153.3747
157.500000 91.723 153.5062
160.000000 91.669 153.5684
162.500000 91.602 153.6560
165.000000 91.529 153.6622
167.500000 91.470 153.6114
170.000000 91.420 153.6672
172.500000 91.360 153.7911
175.000000 91.295 153.8701
177.500000 91.235 153.9195
180.000000 91.179 154.0112
182.500000 91.124 154.1084
185.000000 91.069 154.1932
187.500000 91.015 154.2895
190.000000 90.962 154.3878
192.500000 90.909 154.4694
195.000000 90.857 154.5595
197.500000 90.807 154.6642
200.000000 90.757 154.7859
203.000000 90.696 154.9388
206.000000 90.635 155.0935
209.000000 90.575 155.2538
212.000000 90.519 155.4212
214.000000 90.482 155.5435
218.000000 90.412 155.8261
220.000000 90.381 155.9817
224.000000 90.328 156.3027
227.000000 90.295 156.4949
230.000000 90.266 156.6537
233.000000 90.238 156.7786
236.000000 90.204 156.8652
240.000000 90.156 156.9546
243.000000 90.117 157.0401
247.000000 90.063 157.1791
250.000000 90.023 157.2832
254.000000 89.968 157.4219
258.000000 89.915 157.5762
262.000000 89.863 157.7423
265.000000 89.824 157.8686
269.000000 89.771 158.0517
272.000000 89.734 158.1914
276.000000 89.688 158.3659
280.000000 89.641 158.5300
285.000000 89.583 158.7369
290.000000 89.525 158.9672
295.000000 89.470 159.1987
300.000000 89.413 159.4383
304.000000 89.369 159.6490
307.000000 89.338 159.8096
311.000000 89.296 160.0229
315.000000 89.255 160.2188
320.000000 89.210 160.5110
325.000000 89.177 160.8267
330.000000 89.147 161.0739
335.000000 89.114 161.2654
340.000000 89.078 161.4541
345.000000 89.039 161.6461
350.000000 89.000 161.8369
355.000000 88.960 162.0378
360.000000 88.921 162.2504
365.000000 88.882 162.4589
370.000000 88.844 162.6667
375.000000 88.808 162.8734
382.000000 88.760 163.1628
387.000000 88.726 163.3705
395.000000 88.670 163.7048
400.000000 88.637 163.9095
406.000000 88.599 164.1600
412.000000 88.562 164.4176
418.000000 88.526 164.6799
425.000000 88.483 164.9790
431.000000 88.448 165.2277
437.000000 88.414 165.4680
444.000000 88.375 165.7607
450.000000 88.341 166.0184
455.000000 88.314 166.2256
462.000000 88.278 166.5098
468.000000 88.247 166.7625
475.000000 88.211 167.0591
482.000000 88.177 167.3534
487.000000 88.153 167.5571
494.000000 88.119 167.8446
500.000000 88.090 168.0900
508.000000 88.052 168.4197
515.000000 88.019 168.7103
522.000000 87.986 169.0075
530.000000 87.950 169.3518
538.000000 87.913 169.6967
545.000000 87.882 169.9970
552.000000 87.852 170.3004
560.000000 87.817 170.6574
570.000000 87.776 171.1160
580.000000 87.737 171.5811
590.000000 87.699 172.0555
600.000000 87.663 172.5481
608.000000 87.636 172.9499
615.000000 87.613 173.2992
622.000000 87.592 173.6490
630.000000 87.571 174.0515
640.000000 87.546 174.5576
650.000000 87.523 175.0773
660.000000 87.502 175.6029
670.000000 87.484 176.1218
680.000000 87.467 176.6407
690.000000 87.454 177.1623
700.000000 87.442 177.6768
710.000000 87.433 178.1949
720.000000 87.426 178.7155
730.000000 87.421 179.2354
740.000000 87.417 179.7606
750.000000 87.416 -179.7147
762.000000 87.417 -179.0917
775.000000 87.421 -178.4150
788.000000 87.430 -177.7362
800.000000 87.442 -177.1123
812.000000 87.457 -176.4912
825.000000 87.478 -175.8221
838.000000 87.505 -175.1609
850.000000 87.533 -174.5606
862.000000 87.564 -173.9631
875.000000 87.601 -173.3208
885.000000 87.632 -172.8381
900.000000 87.686 -172.1351
912.000000 87.735 -171.5899
925.000000 87.790 -171.0243
938.000000 87.848 -170.4832
950.000000 87.904 -170.0082
962.000000 87.962 -169.5521
975.000000 88.028 -169.0892
988.000000 88.096 -168.6573
1000.000000 88.161 -168.2791
1015.000000 88.244 -167.8416
1030.000000 88.327 -167.4494
1044.000000 88.404 -167.1205
1060.000000 88.492 -166.7868
1075.000000 88.573 -166.5136
1090.000000 88.651 -166.2734
1106.000000 88.733 -166.0476
1120.000000 88.801 -165.8703
1138.000000 88.885 -165.6638
1150.000000 88.939 -165.5383
1172.000000 89.032 -165.3278
1180.000000 89.064 -165.2563
1206.000000 89.160 -165.0276
1220.000000 89.208 -164.8950
1241.000000 89.276 -164.6791
1250.000000 89.304 -164.5771
1265.000000 89.349 -164.3900
1280.000000 89.393 -164.1824
1315.000000 89.498 -163.5904
1320.000000 89.513 -163.4927
1340.000000 89.580 -163.0641
1360.000000 89.655 -162.5848
1380.000000 89.742 -162.0728
1400.000000 89.844 -161.5393
1430.000000 90.031 -160.7527
1450.000000 90.179 -160.2888
1475.000000 90.388 -159.8488
1500.000000 90.617 -159.6355
1525.000000 90.855 -159.6964
1550.000000 91.085 -160.0467
1575.000000 91.293 -160.6458
1600.000000 91.467 -161.4216
1625.000000 91.604 -162.2783
1650.000000 91.705 -163.1289
1675.000000 91.775 -163.9031
1700.000000 91.822 -164.5554
1725.000000 91.856 -165.0616
1750.000000 91.883 -165.4147
1775.000000 91.910 -165.6230
1800.000000 91.945 -165.7058
1825.000000 91.991 -165.6886
1850.000000 92.051 -165.5979
1875.000000 92.128 -165.4578
1900.000000 92.222 -165.2954
1925.000000 92.335 -165.1346
1950.000000 92.465 -165.0043
1975.000000 92.613 -164.9256
2000.000000 92.778 -164.9202
2030.000000 92.995 -165.0442
2060.000000 93.229 -165.3408
2090.000000 93.475 -165.8398
2120.000000 93.728 -166.5648
2140.000000 93.898 -167.1825
2180.000000 94.228 -168.7511
2200.000000 94.385 -169.7008
2240.000000 94.673 -171.9181
2270.000000 94.855 -173.8376
2300.000000 95.002 -175.9320
2330.000000 95.108 -178.1597
2360.000000 95.170 179.5309
2400.000000 95.183 176.4192
2430.000000 95.142 174.1325
2470.000000 95.025 171.2460
2500.000000 94.898 169.2474
2540.000000 94.686 166.8644
2580.000000 94.439 164.8344
2620.000000 94.170 163.1718
2650.000000 93.963 162.1591
2690.000000 93.686 161.1055
2720.000000 93.483 160.5180
2760.000000 93.222 159.9759
2800.000000 92.978 159.6723
2850.000000 92.702 159.5743
2900.000000 92.462 159.7202
2950.000000 92.259 160.0518
3000.000000 92.095 160.5093
3040.000000 91.992 160.9344
3070.000000 91.931 161.2704
3110.000000 91.870 161.7225
3150.000000 91.832 162.1545
3200.000000 91.816 162.6338
3250.000000 91.831 163.0136
3300.000000 91.873 163.2551
3350.000000 91.938 163.3212
3400.000000 92.020 163.1717
3450.000000 92.111 162.7781
3500.000000 92.203 162.1343
3550.000000 92.286 161.2190
3600.000000 92.348 160.0296
3650.000000 92.379 158.5971
3700.000000 92.365 156.9617
3750.000000 92.295 155.1946
3820.000000 92.087 152.6859
3870.000000 91.851 151.0380
3950.000000 91.325 149.0926
4000.000000 90.920 148.5886
4060.000000 90.399 149.0070
4120.000000 89.909 150.7061
4180.000000 89.538 153.6183
4250.000000 89.364 158.0054
4310.000000 89.481 161.8826
4370.000000 89.830 165.1548
4440.000000 90.452 167.5346
4500.000000 91.086 168.0279
4550.000000 91.627 167.2830
4620.000000 92.316 164.5358
4680.000000 92.771 160.8052
4750.000000 93.070 155.3489
4820.000000 93.076 149.3979
4870.000000 92.903 145.2710
4940.000000 92.452 140.1744
5000.000000 91.922 136.7146
5080.000000 91.101 133.5796
5150.000000 90.354 132.1786
5220.000000 89.630 131.8469
5300.000000 88.866 132.5173
5380.000000 88.196 134.0418
5450.000000 87.694 135.8913
5520.000000 87.274 138.0845
5600.000000 86.895 140.8660
5700.000000 86.574 144.5236
5800.000000 86.418 148.0926
5900.000000 86.405 151.2067
6000.000000 86.491 153.5394
6080.000000 86.579 154.7100
6150.000000 86.628 155.2758
6220.000000 86.626 155.5959
6300.000000 86.543 155.9784
