* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Jan 19, 2025 2:42:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FiiO FH15 (Bass) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 98.341 -163.0698
20.600000 98.340 -163.6209
20.900000 98.336 -164.2113
21.200001 98.332 -164.8022
21.400000 98.328 -165.1969
21.799999 98.321 -165.9875
22.000000 98.317 -166.3811
22.400000 98.308 -167.1561
22.700001 98.302 -167.7215
23.000000 98.295 -168.2723
23.299999 98.289 -168.8111
23.600000 98.284 -169.3418
24.000000 98.276 -170.0419
24.299999 98.270 -170.5612
24.700001 98.261 -171.2394
25.000000 98.252 -171.7321
25.400000 98.240 -172.3629
25.799999 98.227 -172.9663
26.200001 98.214 -173.5509
26.500000 98.204 -173.9826
26.900000 98.189 -174.5530
27.200001 98.176 -174.9769
27.600000 98.158 -175.5344
28.000000 98.140 -176.0813
28.500000 98.118 -176.7501
29.000000 98.095 -177.4034
29.500000 98.072 -178.0387
30.000000 98.048 -178.6529
30.400000 98.029 -179.1318
30.700001 98.016 -179.4871
31.100000 97.998 -179.9587
31.500000 97.980 179.5725
32.000000 97.955 178.9993
32.500000 97.930 178.4517
33.000000 97.903 177.9315
33.500000 97.877 177.4276
34.000000 97.850 176.9283
34.500000 97.822 176.4300
35.000000 97.794 175.9353
35.500000 97.767 175.4461
36.000000 97.741 174.9621
36.500000 97.714 174.4874
37.000000 97.683 174.0319
37.500000 97.650 173.6039
38.200001 97.605 173.0381
38.700001 97.576 172.6328
39.500000 97.529 171.9563
40.000000 97.498 171.5326
40.599998 97.460 171.0491
41.200001 97.423 170.5959
41.799999 97.389 170.1576
42.500000 97.353 169.6454
43.099998 97.323 169.2041
43.700001 97.291 168.7766
44.400002 97.248 168.3254
45.000000 97.210 167.9755
45.500000 97.180 167.6803
46.200001 97.137 167.2253
46.799999 97.097 166.8156
47.500000 97.050 166.3671
48.200001 97.004 165.9644
48.700001 96.969 165.7010
49.400002 96.918 165.3662
50.000000 96.877 165.0871
50.799999 96.830 164.6509
51.500000 96.790 164.2195
52.200001 96.748 163.8303
53.000000 96.701 163.4637
53.799999 96.653 163.1064
54.500000 96.605 162.7792
55.200001 96.557 162.4601
56.000000 96.507 162.1196
57.000000 96.449 161.7071
58.000000 96.381 161.2534
59.000000 96.303 160.8071
60.000000 96.240 160.4211
60.799999 96.201 160.1248
61.500000 96.167 159.8765
62.200001 96.129 159.6406
63.000000 96.082 159.3704
64.000000 96.020 159.0278
65.000000 95.959 158.6928
66.000000 95.897 158.3674
67.000000 95.836 158.0536
68.000000 95.778 157.7593
69.000000 95.723 157.4867
70.000000 95.667 157.2082
71.000000 95.608 156.9283
72.000000 95.548 156.6678
73.000000 95.488 156.4294
74.000000 95.432 156.1930
75.000000 95.377 155.9482
76.199997 95.313 155.6807
77.500000 95.242 155.4015
78.800003 95.167 155.1165
80.000000 95.100 154.8597
81.199997 95.037 154.6388
82.500000 94.973 154.4055
83.800003 94.906 154.1700
85.000000 94.846 153.9739
86.199997 94.785 153.7809
87.500000 94.717 153.5815
88.500000 94.665 153.4307
90.000000 94.589 153.1939
91.199997 94.531 153.0174
92.500000 94.470 152.8604
93.800003 94.406 152.7167
95.000000 94.347 152.5757
96.199997 94.290 152.4271
97.500000 94.227 152.2875
98.800003 94.167 152.1777
100.000000 94.117 152.0485
101.500000 94.048 151.8950
103.000000 93.977 151.7843
104.400002 93.915 151.6702
106.000000 93.843 151.5258
107.500000 93.776 151.4063
109.000000 93.712 151.2963
110.599998 93.642 151.1834
112.000000 93.584 151.1021
113.800003 93.512 151.0038
115.000000 93.462 150.9399
117.199997 93.372 150.8444
118.000000 93.339 150.8181
120.599998 93.241 150.7183
122.000000 93.187 150.6426
124.099998 93.106 150.5587
125.000000 93.073 150.5323
126.500000 93.020 150.4827
128.000000 92.965 150.4215
131.500000 92.835 150.3425
132.000000 92.817 150.3340
134.000000 92.748 150.2994
136.000000 92.678 150.2709
138.000000 92.607 150.2382
140.000000 92.536 150.2148
143.000000 92.432 150.2271
145.000000 92.365 150.2511
147.500000 92.285 150.2956
150.000000 92.206 150.3976
152.500000 92.120 150.4404
155.000000 92.039 150.5458
157.500000 91.973 150.7350
160.000000 91.915 150.8587
162.500000 91.861 150.9395
165.000000 91.812 150.9584
167.500000 91.761 150.9579
170.000000 91.707 150.9937
172.500000 91.648 151.0522
175.000000 91.589 151.0826
177.500000 91.528 151.0770
180.000000 91.469 151.0671
182.500000 91.413 151.0809
185.000000 91.359 151.1467
187.500000 91.298 151.2235
190.000000 91.240 151.2657
192.500000 91.184 151.3625
195.000000 91.126 151.5236
197.500000 91.072 151.6570
200.000000 91.034 151.7469
203.000000 90.996 151.9086
206.000000 90.950 151.9579
209.000000 90.901 151.9982
212.000000 90.844 152.0272
214.000000 90.808 152.0312
218.000000 90.734 152.1021
220.000000 90.697 152.1543
224.000000 90.626 152.2536
227.000000 90.571 152.3301
230.000000 90.516 152.4189
233.000000 90.466 152.4886
236.000000 90.418 152.4886
240.000000 90.348 152.6214
243.000000 90.300 152.8132
247.000000 90.238 153.0090
250.000000 90.191 153.1271
254.000000 90.130 153.2673
258.000000 90.071 153.4214
262.000000 90.011 153.5889
265.000000 89.969 153.7112
269.000000 89.916 153.8845
272.000000 89.877 154.0211
276.000000 89.829 154.1881
280.000000 89.785 154.3388
285.000000 89.731 154.5095
290.000000 89.676 154.6819
295.000000 89.621 154.8248
300.000000 89.564 154.9988
304.000000 89.520 155.1447
307.000000 89.487 155.2411
311.000000 89.442 155.3591
315.000000 89.398 155.4929
320.000000 89.344 155.6826
325.000000 89.292 155.8535
330.000000 89.242 156.0360
335.000000 89.193 156.2168
340.000000 89.143 156.3902
345.000000 89.095 156.5605
350.000000 89.048 156.7395
355.000000 89.003 156.9264
360.000000 88.958 157.1011
365.000000 88.914 157.2773
370.000000 88.872 157.4627
375.000000 88.830 157.6336
382.000000 88.772 157.8701
387.000000 88.731 158.0560
395.000000 88.665 158.3285
400.000000 88.624 158.4987
406.000000 88.577 158.7283
412.000000 88.532 158.9566
418.000000 88.488 159.1774
425.000000 88.440 159.4311
431.000000 88.398 159.6408
437.000000 88.356 159.8498
444.000000 88.308 160.1074
450.000000 88.267 160.3257
455.000000 88.233 160.5120
462.000000 88.186 160.7714
468.000000 88.147 160.9950
475.000000 88.103 161.2663
482.000000 88.060 161.5392
487.000000 88.030 161.7280
494.000000 87.990 161.9935
500.000000 87.958 162.2294
508.000000 87.915 162.5432
515.000000 87.878 162.8178
522.000000 87.843 163.0944
530.000000 87.805 163.4084
538.000000 87.768 163.7134
545.000000 87.735 163.9730
552.000000 87.703 164.2320
560.000000 87.669 164.5338
570.000000 87.629 164.9089
580.000000 87.589 165.2827
590.000000 87.548 165.6565
600.000000 87.507 166.0292
608.000000 87.476 166.3256
615.000000 87.449 166.5830
622.000000 87.421 166.8452
630.000000 87.390 167.1636
640.000000 87.354 167.5654
650.000000 87.318 167.9557
660.000000 87.284 168.3629
670.000000 87.253 168.7955
680.000000 87.223 169.2151
690.000000 87.194 169.6355
700.000000 87.166 170.0711
710.000000 87.140 170.5055
720.000000 87.118 170.9426
730.000000 87.096 171.3824
740.000000 87.077 171.8314
750.000000 87.059 172.2859
762.000000 87.041 172.8376
775.000000 87.026 173.4489
788.000000 87.015 174.0617
800.000000 87.008 174.6324
812.000000 87.004 175.2023
825.000000 87.004 175.8150
838.000000 87.011 176.4262
850.000000 87.021 176.9976
862.000000 87.034 177.5623
875.000000 87.053 178.1635
885.000000 87.071 178.6134
900.000000 87.103 179.2727
912.000000 87.132 179.7937
925.000000 87.168 -179.6528
938.000000 87.207 -179.1237
950.000000 87.248 -178.6628
962.000000 87.291 -178.2251
975.000000 87.340 -177.7765
988.000000 87.392 -177.3523
1000.000000 87.442 -176.9857
1015.000000 87.506 -176.5558
1030.000000 87.572 -176.1585
1044.000000 87.633 -175.8273
1060.000000 87.704 -175.4832
1075.000000 87.770 -175.1972
1090.000000 87.836 -174.9487
1106.000000 87.903 -174.7169
1120.000000 87.960 -174.5404
1138.000000 88.030 -174.3416
1150.000000 88.073 -174.2196
1172.000000 88.148 -174.0086
1180.000000 88.173 -173.9372
1206.000000 88.251 -173.7086
1220.000000 88.289 -173.5766
1241.000000 88.344 -173.3670
1250.000000 88.366 -173.2700
1265.000000 88.401 -173.0967
1280.000000 88.435 -172.9060
1315.000000 88.514 -172.3622
1320.000000 88.525 -172.2727
1340.000000 88.575 -171.8860
1360.000000 88.629 -171.4547
1380.000000 88.691 -170.9750
1400.000000 88.764 -170.4548
1430.000000 88.899 -169.6413
1450.000000 89.008 -169.0946
1475.000000 89.169 -168.4429
1500.000000 89.358 -167.8908
1525.000000 89.573 -167.4966
1550.000000 89.804 -167.3106
1575.000000 90.044 -167.3799
1600.000000 90.281 -167.7060
1625.000000 90.503 -168.2685
1650.000000 90.702 -169.0181
1675.000000 90.872 -169.8897
1700.000000 91.012 -170.8163
1725.000000 91.124 -171.7394
1750.000000 91.214 -172.6171
1775.000000 91.287 -173.4174
1800.000000 91.348 -174.1223
1825.000000 91.405 -174.7349
1850.000000 91.462 -175.2612
1875.000000 91.523 -175.7195
1900.000000 91.592 -176.1299
1925.000000 91.670 -176.5143
1950.000000 91.757 -176.8922
1975.000000 91.855 -177.2875
2000.000000 91.963 -177.7227
2030.000000 92.104 -178.3301
2060.000000 92.255 -179.0560
2090.000000 92.411 -179.9191
2120.000000 92.569 179.0591
2140.000000 92.672 178.2834
2180.000000 92.864 176.5082
2200.000000 92.950 175.5114
2240.000000 93.096 173.3215
2270.000000 93.176 171.5352
2300.000000 93.226 169.6591
2330.000000 93.245 167.7314
2360.000000 93.231 165.7879
2400.000000 93.164 163.2408
2430.000000 93.079 161.4107
2470.000000 92.926 159.1238
2500.000000 92.786 157.5490
2540.000000 92.573 155.6658
2580.000000 92.339 154.0436
2620.000000 92.092 152.6854
2650.000000 91.902 151.8373
2690.000000 91.648 150.9224
2720.000000 91.461 150.3870
2760.000000 91.218 149.8532
2800.000000 90.988 149.5014
2850.000000 90.719 149.2761
2900.000000 90.474 149.2523
2950.000000 90.257 149.3846
3000.000000 90.067 149.6295
3040.000000 89.936 149.8796
3070.000000 89.849 150.0870
3110.000000 89.749 150.3764
3150.000000 89.665 150.6648
3200.000000 89.581 151.0021
3250.000000 89.519 151.2865
3300.000000 89.476 151.4935
3350.000000 89.448 151.6000
3400.000000 89.432 151.5812
3450.000000 89.422 151.4191
3500.000000 89.412 151.1064
3550.000000 89.396 150.6384
3600.000000 89.364 150.0168
3650.000000 89.310 149.2579
3700.000000 89.224 148.3975
3750.000000 89.098 147.4921
3820.000000 88.843 146.3117
3870.000000 88.599 145.6896
3950.000000 88.118 145.4472
4000.000000 87.786 145.9578
4060.000000 87.397 147.3557
4120.000000 87.058 149.6575
4180.000000 86.825 152.8513
4250.000000 86.775 157.4035
4310.000000 86.979 161.4595
4370.000000 87.420 164.9530
4440.000000 88.162 167.4762
4500.000000 88.892 167.8887
4550.000000 89.491 166.9576
4620.000000 90.221 163.9494
4680.000000 90.679 160.1781
4750.000000 90.976 155.0025
4820.000000 91.013 149.6491
4870.000000 90.898 146.0419
4940.000000 90.582 141.6033
5000.000000 90.208 138.5043
5080.000000 89.629 135.4370
5150.000000 89.095 133.6781
5220.000000 88.564 132.6488
5300.000000 87.985 132.2049
5380.000000 87.444 132.4025
5450.000000 87.007 133.0286
5520.000000 86.613 134.0357
5600.000000 86.228 135.5873
5700.000000 85.867 137.9124
5800.000000 85.645 140.2516
5900.000000 85.528 142.1799
6000.000000 85.443 143.5219
6080.000000 85.349 144.3031
6150.000000 85.229 144.9875
6220.000000 85.078 145.8777
6300.000000 84.892 147.3481
6400.000000 84.701 149.9705
