* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Jan 19, 2025 2:44:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FiiO FH15 (Bass) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 97.874 -163.5186
20.600000 97.869 -164.0931
20.900000 97.860 -164.7082
21.200001 97.849 -165.3214
21.400000 97.842 -165.7292
21.799999 97.829 -166.5441
22.000000 97.823 -166.9501
22.400000 97.814 -167.7518
22.700001 97.808 -168.3372
23.000000 97.802 -168.9030
23.299999 97.795 -169.4467
23.600000 97.787 -169.9698
24.000000 97.774 -170.6444
24.299999 97.763 -171.1438
24.700001 97.745 -171.8171
25.000000 97.731 -172.3343
25.400000 97.712 -173.0395
25.799999 97.695 -173.7489
26.200001 97.684 -174.4399
26.500000 97.680 -174.9333
26.900000 97.680 -175.5464
27.200001 97.681 -175.9691
27.600000 97.678 -176.4829
28.000000 97.667 -176.9458
28.500000 97.636 -177.4788
29.000000 97.590 -178.0170
29.500000 97.540 -178.6293
30.000000 97.495 -179.3447
30.400000 97.464 -179.9642
30.700001 97.445 179.5738
31.100000 97.425 178.9982
31.500000 97.412 178.4929
32.000000 97.399 177.9545
32.500000 97.385 177.4740
33.000000 97.361 177.0006
33.500000 97.327 176.5080
34.000000 97.288 175.9919
34.500000 97.252 175.4571
35.000000 97.221 174.9141
35.500000 97.194 174.3783
36.000000 97.167 173.8658
36.500000 97.139 173.3882
37.000000 97.109 172.9513
37.500000 97.078 172.5549
38.200001 97.033 172.0443
38.700001 96.997 171.6786
39.500000 96.933 171.0401
40.000000 96.892 170.6057
40.599998 96.849 170.0657
41.200001 96.816 169.5319
41.799999 96.784 169.0448
42.500000 96.738 168.5769
43.099998 96.692 168.2351
43.700001 96.645 167.8805
44.400002 96.593 167.4075
45.000000 96.553 166.9849
45.500000 96.523 166.6499
46.200001 96.481 166.2090
46.799999 96.441 165.8398
47.500000 96.389 165.4167
48.200001 96.343 165.0079
48.700001 96.316 164.7163
49.400002 96.279 164.3003
50.000000 96.241 163.9525
50.799999 96.178 163.5409
51.500000 96.125 163.2225
52.200001 96.080 162.9039
53.000000 96.030 162.5247
53.799999 95.974 162.1606
54.500000 95.922 161.8586
55.200001 95.874 161.5431
56.000000 95.822 161.1696
57.000000 95.754 160.7527
58.000000 95.687 160.3085
59.000000 95.610 159.8012
60.000000 95.540 159.4412
60.799999 95.500 159.2352
61.500000 95.463 159.0396
62.200001 95.418 158.8288
63.000000 95.364 158.5803
64.000000 95.300 158.2467
65.000000 95.239 157.9045
66.000000 95.176 157.5887
67.000000 95.113 157.3072
68.000000 95.054 157.0489
69.000000 94.993 156.7994
70.000000 94.931 156.5377
71.000000 94.870 156.2658
72.000000 94.812 156.0153
73.000000 94.753 155.7971
74.000000 94.694 155.5853
75.000000 94.633 155.3648
76.199997 94.562 155.1084
77.500000 94.490 154.8528
78.800003 94.419 154.6143
80.000000 94.352 154.4220
81.199997 94.285 154.2062
82.500000 94.211 153.9653
83.800003 94.139 153.7648
85.000000 94.075 153.6016
86.199997 94.010 153.4389
87.500000 93.943 153.2512
88.500000 93.892 153.1143
90.000000 93.816 152.9285
91.199997 93.754 152.7869
92.500000 93.689 152.6377
93.800003 93.626 152.5031
95.000000 93.569 152.3997
96.199997 93.513 152.2931
97.500000 93.448 152.1576
98.800003 93.382 152.0175
100.000000 93.328 151.9073
101.500000 93.261 151.8088
103.000000 93.191 151.7220
104.400002 93.127 151.6331
106.000000 93.057 151.5293
107.500000 92.993 151.4337
109.000000 92.928 151.3520
110.599998 92.859 151.2826
112.000000 92.800 151.2344
113.800003 92.726 151.1632
115.000000 92.677 151.1191
117.199997 92.590 151.0544
118.000000 92.560 151.0344
120.599998 92.459 150.9601
122.000000 92.402 150.9184
124.099998 92.319 150.8632
125.000000 92.285 150.8453
126.500000 92.230 150.8295
128.000000 92.174 150.8285
131.500000 92.049 150.8138
132.000000 92.032 150.8087
134.000000 91.960 150.7893
136.000000 91.890 150.7931
138.000000 91.822 150.8094
140.000000 91.756 150.8226
143.000000 91.655 150.8431
145.000000 91.589 150.8522
147.500000 91.510 150.8992
150.000000 91.430 151.0221
152.500000 91.351 151.0576
155.000000 91.276 151.1024
157.500000 91.196 151.2274
160.000000 91.112 151.3401
162.500000 91.031 151.5381
165.000000 90.963 151.8439
167.500000 90.915 152.2062
170.000000 90.894 152.5226
172.500000 90.888 152.6370
175.000000 90.868 152.5843
177.500000 90.828 152.4906
180.000000 90.778 152.3790
182.500000 90.721 152.2874
185.000000 90.661 152.2718
187.500000 90.599 152.2993
190.000000 90.542 152.3354
192.500000 90.488 152.3984
195.000000 90.435 152.4919
197.500000 90.379 152.5808
200.000000 90.321 152.6570
203.000000 90.259 152.7761
206.000000 90.201 152.8940
209.000000 90.144 153.0175
212.000000 90.085 153.1596
214.000000 90.046 153.2529
218.000000 89.976 153.3964
220.000000 89.942 153.4826
224.000000 89.874 153.6915
227.000000 89.824 153.8536
230.000000 89.777 154.0174
233.000000 89.732 154.1614
236.000000 89.685 154.2606
240.000000 89.642 154.4092
243.000000 89.616 154.5223
247.000000 89.566 154.6375
250.000000 89.524 154.7318
254.000000 89.467 154.8516
258.000000 89.411 154.9931
262.000000 89.354 155.1452
265.000000 89.312 155.2617
269.000000 89.258 155.4242
272.000000 89.218 155.5457
276.000000 89.165 155.7178
280.000000 89.113 155.8994
285.000000 89.052 156.1362
290.000000 88.993 156.3865
295.000000 88.939 156.6400
300.000000 88.893 156.8963
304.000000 88.861 157.0882
307.000000 88.836 157.2117
311.000000 88.803 157.3508
315.000000 88.770 157.4845
320.000000 88.729 157.6543
325.000000 88.684 157.8220
330.000000 88.637 157.9977
335.000000 88.591 158.1771
340.000000 88.548 158.3627
345.000000 88.506 158.5429
350.000000 88.463 158.7078
355.000000 88.421 158.8687
360.000000 88.380 159.0491
365.000000 88.339 159.2448
370.000000 88.300 159.4349
375.000000 88.262 159.6190
382.000000 88.208 159.8771
387.000000 88.170 160.0529
395.000000 88.112 160.3449
400.000000 88.078 160.5221
406.000000 88.039 160.7504
412.000000 87.999 160.9698
418.000000 87.958 161.1858
425.000000 87.911 161.4327
431.000000 87.873 161.6430
437.000000 87.836 161.8671
444.000000 87.795 162.1245
450.000000 87.759 162.3275
455.000000 87.728 162.4980
462.000000 87.686 162.7419
468.000000 87.650 162.9477
475.000000 87.610 163.1895
482.000000 87.571 163.4307
487.000000 87.544 163.6067
494.000000 87.506 163.8519
500.000000 87.474 164.0621
508.000000 87.431 164.3475
515.000000 87.393 164.6026
522.000000 87.355 164.8599
530.000000 87.314 165.1552
538.000000 87.273 165.4524
545.000000 87.238 165.7202
552.000000 87.204 165.9994
560.000000 87.168 166.3195
570.000000 87.121 166.7182
580.000000 87.077 167.1360
590.000000 87.034 167.5544
600.000000 86.994 167.9739
608.000000 86.964 168.3073
615.000000 86.939 168.6005
622.000000 86.914 168.8961
630.000000 86.885 169.2464
640.000000 86.853 169.7005
650.000000 86.824 170.1517
660.000000 86.798 170.5919
670.000000 86.772 171.0237
680.000000 86.747 171.4594
690.000000 86.724 171.8987
700.000000 86.703 172.3459
710.000000 86.684 172.7960
720.000000 86.666 173.2412
730.000000 86.649 173.6900
740.000000 86.634 174.1464
750.000000 86.622 174.6107
762.000000 86.611 175.1693
775.000000 86.603 175.7796
788.000000 86.596 176.3923
800.000000 86.594 176.9553
812.000000 86.595 177.5145
825.000000 86.600 178.1246
838.000000 86.610 178.7348
850.000000 86.623 179.2900
862.000000 86.640 179.8327
875.000000 86.662 -179.5786
885.000000 86.681 -179.1274
900.000000 86.715 -178.4684
912.000000 86.747 -177.9634
925.000000 86.785 -177.4342
938.000000 86.827 -176.9283
950.000000 86.868 -176.4791
962.000000 86.912 -176.0463
975.000000 86.961 -175.5995
988.000000 87.011 -175.1820
1000.000000 87.060 -174.8260
1015.000000 87.121 -174.4115
1030.000000 87.185 -174.0358
1044.000000 87.246 -173.7127
1060.000000 87.314 -173.3740
1075.000000 87.376 -173.0856
1090.000000 87.436 -172.8305
1106.000000 87.498 -172.5888
1120.000000 87.550 -172.3950
1138.000000 87.613 -172.1678
1150.000000 87.652 -172.0261
1172.000000 87.720 -171.7829
1180.000000 87.742 -171.6934
1206.000000 87.811 -171.3848
1220.000000 87.844 -171.2028
1241.000000 87.891 -170.9070
1250.000000 87.910 -170.7709
1265.000000 87.942 -170.5241
1280.000000 87.972 -170.2502
1315.000000 88.048 -169.4836
1320.000000 88.059 -169.3586
1340.000000 88.112 -168.8206
1360.000000 88.174 -168.2207
1380.000000 88.251 -167.5754
1400.000000 88.344 -166.9073
1430.000000 88.524 -165.9186
1450.000000 88.670 -165.3146
1475.000000 88.882 -164.6970
1500.000000 89.119 -164.3145
1525.000000 89.368 -164.2286
1550.000000 89.615 -164.4537
1575.000000 89.843 -164.9545
1600.000000 90.040 -165.6745
1625.000000 90.200 -166.5212
1650.000000 90.322 -167.3981
1675.000000 90.411 -168.2168
1700.000000 90.475 -168.9276
1725.000000 90.524 -169.5147
1750.000000 90.563 -169.9649
1775.000000 90.601 -170.2779
1800.000000 90.645 -170.4634
1825.000000 90.698 -170.5552
1850.000000 90.762 -170.5811
1875.000000 90.842 -170.5606
1900.000000 90.937 -170.5164
1925.000000 91.049 -170.4759
1950.000000 91.178 -170.4662
1975.000000 91.322 -170.5108
2000.000000 91.481 -170.6320
2030.000000 91.688 -170.9025
2060.000000 91.909 -171.3263
2090.000000 92.141 -171.9379
2120.000000 92.378 -172.7644
2140.000000 92.536 -173.4375
2180.000000 92.845 -175.0822
2200.000000 92.991 -176.0534
2240.000000 93.259 -178.2831
2270.000000 93.429 179.8054
2300.000000 93.568 177.7261
2330.000000 93.671 175.5259
2360.000000 93.735 173.2455
2400.000000 93.758 170.1517
2430.000000 93.727 167.8467
2470.000000 93.630 164.8861
2500.000000 93.518 162.8020
2540.000000 93.328 160.2490
2580.000000 93.098 157.9875
2620.000000 92.841 156.0360
2650.000000 92.639 154.7792
2690.000000 92.363 153.3716
2720.000000 92.156 152.5038
2760.000000 91.885 151.5745
2800.000000 91.622 150.8727
2850.000000 91.311 150.2703
2900.000000 91.027 149.9206
2950.000000 90.771 149.7542
3000.000000 90.542 149.7224
3040.000000 90.379 149.7750
3070.000000 90.268 149.8434
3110.000000 90.135 149.9530
3150.000000 90.018 150.0701
3200.000000 89.891 150.1996
3250.000000 89.786 150.2867
3300.000000 89.696 150.3080
3350.000000 89.618 150.2423
3400.000000 89.548 150.0646
3450.000000 89.479 149.7568
3500.000000 89.407 149.3197
3550.000000 89.322 148.7543
3600.000000 89.217 148.0699
3650.000000 89.083 147.2942
3700.000000 88.913 146.4802
3750.000000 88.699 145.6963
3820.000000 88.315 144.8311
3870.000000 87.979 144.5366
3950.000000 87.349 145.0316
4000.000000 86.928 146.2007
4060.000000 86.448 148.6947
4120.000000 86.074 152.3968
4180.000000 85.892 157.0309
4250.000000 86.001 162.8094
4310.000000 86.369 167.2457
4370.000000 86.931 170.5758
4440.000000 87.727 172.6723
4500.000000 88.438 172.9031
4550.000000 89.003 172.0724
4620.000000 89.696 169.5795
4680.000000 90.159 166.4626
4750.000000 90.515 162.0823
4820.000000 90.661 157.3767
4870.000000 90.641 154.0678
4940.000000 90.464 149.7908
5000.000000 90.202 146.6206
5080.000000 89.745 143.2538
5150.000000 89.293 141.1448
5220.000000 88.825 139.7618
5300.000000 88.301 138.9402
5380.000000 87.805 138.7773
5450.000000 87.405 139.0883
5520.000000 87.044 139.7631
5600.000000 86.686 140.8946
5700.000000 86.335 142.6791
5800.000000 86.099 144.5845
5900.000000 85.965 146.2542
6000.000000 85.878 147.4378
6080.000000 85.795 148.0599
6150.000000 85.689 148.5226
6220.000000 85.546 149.1108
6300.000000 85.355 150.1768
6400.000000 85.131 152.3131
