* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Jan 19, 2025 2:37:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FiiO FH15 (No Filter) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 98.630 -163.8025
20.600000 98.628 -164.3257
20.900000 98.623 -164.8882
21.200001 98.618 -165.4552
21.400000 98.615 -165.8366
21.799999 98.609 -166.6065
22.000000 98.606 -166.9918
22.400000 98.599 -167.7512
22.700001 98.593 -168.3032
23.000000 98.585 -168.8366
23.299999 98.578 -169.3523
23.600000 98.571 -169.8532
24.000000 98.561 -170.5039
24.299999 98.553 -170.9817
24.700001 98.543 -171.6069
25.000000 98.536 -172.0671
25.400000 98.526 -172.6696
25.799999 98.515 -173.2592
26.200001 98.502 -173.8346
26.500000 98.491 -174.2563
26.900000 98.475 -174.8062
27.200001 98.463 -175.2120
27.600000 98.447 -175.7489
28.000000 98.432 -176.2840
28.500000 98.412 -176.9451
29.000000 98.391 -177.5826
29.500000 98.370 -178.1892
30.000000 98.349 -178.7765
30.400000 98.331 -179.2445
30.700001 98.317 -179.5966
31.100000 98.296 179.9370
31.500000 98.273 179.4828
32.000000 98.244 178.9417
32.500000 98.216 178.4276
33.000000 98.190 177.9306
33.500000 98.164 177.4452
34.000000 98.136 176.9725
34.500000 98.107 176.5110
35.000000 98.081 176.0536
35.500000 98.055 175.5950
36.000000 98.031 175.1389
36.500000 98.006 174.6948
37.000000 97.981 174.2701
37.500000 97.954 173.8655
38.200001 97.915 173.3230
38.700001 97.886 172.9421
39.500000 97.840 172.3281
40.000000 97.810 171.9438
40.599998 97.774 171.4955
41.200001 97.738 171.0684
41.799999 97.703 170.6542
42.500000 97.663 170.1687
43.099998 97.627 169.7472
43.700001 97.589 169.3310
44.400002 97.544 168.8705
45.000000 97.507 168.5065
45.500000 97.478 168.2210
46.200001 97.437 167.8296
46.799999 97.400 167.4901
47.500000 97.354 167.0903
48.200001 97.310 166.6814
48.700001 97.279 166.3747
49.400002 97.235 165.9377
50.000000 97.195 165.5944
50.799999 97.141 165.2180
51.500000 97.100 164.9281
52.200001 97.060 164.6283
53.000000 97.013 164.2700
53.799999 96.964 163.9116
54.500000 96.923 163.6008
55.200001 96.883 163.2956
56.000000 96.834 162.9681
57.000000 96.770 162.5853
58.000000 96.701 162.1545
59.000000 96.627 161.7135
60.000000 96.569 161.3689
60.799999 96.534 161.1163
61.500000 96.500 160.8892
62.200001 96.459 160.6697
63.000000 96.411 160.4228
64.000000 96.352 160.0987
65.000000 96.294 159.7792
66.000000 96.235 159.4827
67.000000 96.177 159.2029
68.000000 96.121 158.9289
69.000000 96.064 158.6577
70.000000 96.008 158.3863
71.000000 95.950 158.1269
72.000000 95.893 157.8998
73.000000 95.838 157.6823
74.000000 95.781 157.4572
75.000000 95.726 157.2393
76.199997 95.661 156.9901
77.500000 95.592 156.7266
78.800003 95.520 156.4804
80.000000 95.456 156.2817
81.199997 95.396 156.0701
82.500000 95.330 155.8456
83.800003 95.263 155.6486
85.000000 95.201 155.4662
86.199997 95.140 155.2845
87.500000 95.074 155.1020
88.500000 95.023 154.9763
90.000000 94.951 154.7899
91.199997 94.895 154.6407
92.500000 94.832 154.4944
93.800003 94.769 154.3513
95.000000 94.711 154.2254
96.199997 94.655 154.1008
97.500000 94.596 153.9551
98.800003 94.538 153.7953
100.000000 94.482 153.6783
101.500000 94.416 153.6006
103.000000 94.354 153.5255
104.400002 94.295 153.4391
106.000000 94.225 153.3418
107.500000 94.160 153.2585
109.000000 94.096 153.1831
110.599998 94.029 153.1030
112.000000 93.973 153.0412
113.800003 93.903 152.9707
115.000000 93.856 152.9202
117.199997 93.770 152.8175
118.000000 93.740 152.7838
120.599998 93.644 152.7086
122.000000 93.589 152.6893
124.099998 93.509 152.6612
125.000000 93.475 152.6488
126.500000 93.420 152.6279
128.000000 93.367 152.6053
131.500000 93.243 152.5750
132.000000 93.226 152.5726
134.000000 93.158 152.5673
136.000000 93.091 152.5653
138.000000 93.025 152.5649
140.000000 92.960 152.5797
143.000000 92.862 152.6121
145.000000 92.796 152.6337
147.500000 92.715 152.6918
150.000000 92.636 152.7895
152.500000 92.557 152.8365
155.000000 92.480 152.9438
157.500000 92.415 153.0962
160.000000 92.346 153.2850
162.500000 92.286 153.4820
165.000000 92.237 153.6439
167.500000 92.196 153.7459
170.000000 92.154 153.7941
172.500000 92.105 153.7840
175.000000 92.053 153.7888
177.500000 91.996 153.8229
180.000000 91.937 153.8546
182.500000 91.879 153.9166
185.000000 91.824 153.9883
187.500000 91.770 154.0613
190.000000 91.717 154.1445
192.500000 91.664 154.2279
195.000000 91.613 154.3148
197.500000 91.560 154.4026
200.000000 91.506 154.4976
203.000000 91.445 154.6437
206.000000 91.388 154.7648
209.000000 91.334 154.8886
212.000000 91.276 155.0244
214.000000 91.237 155.1213
218.000000 91.160 155.3374
220.000000 91.122 155.4295
224.000000 91.053 155.6802
227.000000 91.009 155.9426
230.000000 90.972 156.2045
233.000000 90.946 156.3838
236.000000 90.930 156.4476
240.000000 90.877 156.5920
243.000000 90.829 156.6678
247.000000 90.773 156.7683
250.000000 90.731 156.8643
254.000000 90.673 157.0228
258.000000 90.618 157.1886
262.000000 90.563 157.3749
265.000000 90.522 157.5031
269.000000 90.468 157.6725
272.000000 90.429 157.7994
276.000000 90.378 157.9802
280.000000 90.329 158.1769
285.000000 90.270 158.4088
290.000000 90.214 158.6452
295.000000 90.160 158.8607
300.000000 90.104 159.0956
304.000000 90.061 159.2921
307.000000 90.030 159.4396
311.000000 89.988 159.6319
315.000000 89.946 159.8324
320.000000 89.897 160.0726
325.000000 89.846 160.3188
330.000000 89.802 160.6281
335.000000 89.767 160.8562
340.000000 89.728 161.0542
345.000000 89.686 161.2589
350.000000 89.639 161.4781
355.000000 89.596 161.7122
360.000000 89.558 161.9314
365.000000 89.520 162.1427
370.000000 89.482 162.3644
375.000000 89.445 162.5981
382.000000 89.395 162.9334
387.000000 89.359 163.1645
395.000000 89.300 163.5394
400.000000 89.265 163.7670
406.000000 89.224 164.0041
412.000000 89.185 164.2664
418.000000 89.145 164.5555
425.000000 89.100 164.8728
431.000000 89.063 165.1360
437.000000 89.026 165.4061
444.000000 88.984 165.7239
450.000000 88.949 166.0081
455.000000 88.920 166.2449
462.000000 88.882 166.5699
468.000000 88.850 166.8462
475.000000 88.813 167.1665
482.000000 88.776 167.4904
487.000000 88.751 167.7239
494.000000 88.717 168.0495
500.000000 88.688 168.3258
508.000000 88.649 168.6976
515.000000 88.617 169.0199
522.000000 88.585 169.3478
530.000000 88.550 169.7310
538.000000 88.516 170.1140
545.000000 88.488 170.4532
552.000000 88.461 170.7956
560.000000 88.431 171.1853
570.000000 88.395 171.6821
580.000000 88.363 172.1824
590.000000 88.332 172.6680
600.000000 88.301 173.1590
608.000000 88.276 173.5530
615.000000 88.256 173.8968
622.000000 88.238 174.2477
630.000000 88.218 174.6515
640.000000 88.193 175.1564
650.000000 88.171 175.6703
660.000000 88.151 176.1843
670.000000 88.133 176.6998
680.000000 88.117 177.2137
690.000000 88.102 177.7311
700.000000 88.089 178.2531
710.000000 88.078 178.7809
720.000000 88.067 179.3078
730.000000 88.060 179.8411
740.000000 88.056 -179.6208
750.000000 88.053 -179.0811
762.000000 88.052 -178.4211
775.000000 88.056 -177.6978
788.000000 88.064 -176.9812
800.000000 88.075 -176.3127
812.000000 88.092 -175.6501
825.000000 88.114 -174.9334
838.000000 88.141 -174.2121
850.000000 88.171 -173.5610
862.000000 88.203 -172.9223
875.000000 88.244 -172.2415
885.000000 88.279 -171.7268
900.000000 88.336 -170.9734
912.000000 88.385 -170.3888
925.000000 88.444 -169.7724
938.000000 88.507 -169.1805
950.000000 88.569 -168.6572
962.000000 88.634 -168.1581
975.000000 88.708 -167.6492
988.000000 88.782 -167.1739
1000.000000 88.852 -166.7566
1015.000000 88.943 -166.2735
1030.000000 89.036 -165.8367
1044.000000 89.123 -165.4632
1060.000000 89.222 -165.0862
1075.000000 89.314 -164.7717
1090.000000 89.407 -164.4885
1106.000000 89.502 -164.2266
1120.000000 89.584 -164.0248
1138.000000 89.686 -163.7983
1150.000000 89.751 -163.6616
1172.000000 89.867 -163.4361
1180.000000 89.908 -163.3626
1206.000000 90.036 -163.1414
1220.000000 90.102 -163.0231
1241.000000 90.197 -162.8486
1250.000000 90.237 -162.7747
1265.000000 90.301 -162.6477
1280.000000 90.363 -162.5108
1315.000000 90.508 -162.1554
1320.000000 90.529 -162.0985
1340.000000 90.612 -161.8455
1360.000000 90.699 -161.5679
1380.000000 90.791 -161.2664
1400.000000 90.890 -160.9467
1430.000000 91.057 -160.4606
1450.000000 91.182 -160.1436
1475.000000 91.355 -159.7856
1500.000000 91.548 -159.5188
1525.000000 91.757 -159.3960
1550.000000 91.977 -159.4569
1575.000000 92.200 -159.7264
1600.000000 92.416 -160.2089
1625.000000 92.616 -160.8784
1650.000000 92.793 -161.6914
1675.000000 92.943 -162.5958
1700.000000 93.064 -163.5339
1725.000000 93.159 -164.4535
1750.000000 93.234 -165.3093
1775.000000 93.294 -166.0765
1800.000000 93.344 -166.7465
1825.000000 93.391 -167.3151
1850.000000 93.439 -167.7931
1875.000000 93.492 -168.1991
1900.000000 93.553 -168.5515
1925.000000 93.624 -168.8710
1950.000000 93.707 -169.1809
1975.000000 93.801 -169.5081
2000.000000 93.907 -169.8794
2030.000000 94.047 -170.4120
2060.000000 94.198 -171.0708
2090.000000 94.355 -171.8853
2120.000000 94.513 -172.8765
2140.000000 94.616 -173.6401
2180.000000 94.806 -175.4139
2200.000000 94.889 -176.4198
2240.000000 95.022 -178.6428
2270.000000 95.086 179.5338
2300.000000 95.114 177.6237
2330.000000 95.105 175.6777
2360.000000 95.057 173.7495
2400.000000 94.936 171.2876
2430.000000 94.807 169.5728
2470.000000 94.594 167.5278
2500.000000 94.410 166.1944
2540.000000 94.140 164.7031
2580.000000 93.854 163.5485
2620.000000 93.561 162.7330
2650.000000 93.343 162.3331
2690.000000 93.059 162.0594
2720.000000 92.855 162.0331
2760.000000 92.598 162.2055
2800.000000 92.361 162.5909
2850.000000 92.098 163.3237
2900.000000 91.872 164.2894
2950.000000 91.687 165.4444
3000.000000 91.543 166.7484
3040.000000 91.458 167.8766
3070.000000 91.415 168.7673
3110.000000 91.385 169.9941
3150.000000 91.388 171.2311
3200.000000 91.440 172.7392
3250.000000 91.546 174.1113
3300.000000 91.697 175.2684
3350.000000 91.881 176.1714
3400.000000 92.089 176.8056
3450.000000 92.313 177.1534
3500.000000 92.548 177.1948
3550.000000 92.784 176.9199
3600.000000 93.010 176.3221
3650.000000 93.213 175.4136
3700.000000 93.379 174.2406
3750.000000 93.497 172.8894
3820.000000 93.569 170.9044
3870.000000 93.556 169.6005
3950.000000 93.460 168.0368
4000.000000 93.380 167.4095
4060.000000 93.273 166.9918
4120.000000 93.164 167.0386
4180.000000 93.081 167.6440
4250.000000 93.071 169.0715
4310.000000 93.198 170.7499
4370.000000 93.493 172.4723
4440.000000 94.061 173.8722
4500.000000 94.710 174.0017
4550.000000 95.325 173.0633
4620.000000 96.216 169.8218
4680.000000 96.909 165.0974
4750.000000 97.490 157.5090
4820.000000 97.683 148.4258
4870.000000 97.536 141.6995
4940.000000 96.948 132.9947
5000.000000 96.167 126.9230
5080.000000 94.909 121.3665
5150.000000 93.756 118.7977
5220.000000 92.654 117.9766
5300.000000 91.513 118.6459
5380.000000 90.525 120.5477
5450.000000 89.790 122.9291
5520.000000 89.174 125.7867
5600.000000 88.611 129.4658
5700.000000 88.117 134.4213
5800.000000 87.857 139.4264
5900.000000 87.825 144.0696
6000.000000 87.992 147.8103
6080.000000 88.216 149.7955
6150.000000 88.422 150.6828
6220.000000 88.585 150.8699
6300.000000 88.671 150.5677
