* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Jan 19, 2025 2:39:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FiiO FH15 (No Filter) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 97.982 -163.0398
20.600000 97.980 -163.6066
20.900000 97.973 -164.2149
21.200001 97.966 -164.8239
21.400000 97.961 -165.2303
21.799999 97.952 -166.0437
22.000000 97.948 -166.4482
22.400000 97.939 -167.2432
22.700001 97.932 -167.8203
23.000000 97.925 -168.3780
23.299999 97.918 -168.9173
23.600000 97.911 -169.4418
24.000000 97.900 -170.1251
24.299999 97.891 -170.6287
24.700001 97.878 -171.2892
25.000000 97.867 -171.7752
25.400000 97.852 -172.4095
25.799999 97.837 -173.0293
26.200001 97.821 -173.6374
26.500000 97.809 -174.0863
26.900000 97.791 -174.6727
27.200001 97.777 -175.1013
27.600000 97.758 -175.6559
28.000000 97.740 -176.1951
28.500000 97.719 -176.8594
29.000000 97.698 -177.5220
29.500000 97.674 -178.1749
30.000000 97.645 -178.7999
30.400000 97.622 -179.2746
30.700001 97.605 -179.6193
31.100000 97.584 179.9288
31.500000 97.563 179.4794
32.000000 97.536 178.9222
32.500000 97.506 178.3799
33.000000 97.475 177.8581
33.500000 97.445 177.3494
34.000000 97.415 176.8425
34.500000 97.385 176.3349
35.000000 97.355 175.8346
35.500000 97.325 175.3510
36.000000 97.295 174.8871
36.500000 97.265 174.4392
37.000000 97.235 174.0036
37.500000 97.203 173.5796
38.200001 97.159 173.0056
38.700001 97.128 172.6031
39.500000 97.080 171.9591
40.000000 97.048 171.5620
40.599998 97.007 171.1042
41.200001 96.966 170.6678
41.799999 96.927 170.2416
42.500000 96.883 169.7496
43.099998 96.848 169.3347
43.700001 96.811 168.9277
44.400002 96.765 168.4702
45.000000 96.722 168.0991
45.500000 96.688 167.7977
46.200001 96.641 167.3705
46.799999 96.601 167.0079
47.500000 96.553 166.6150
48.200001 96.507 166.2368
48.700001 96.472 165.9562
49.400002 96.419 165.5637
50.000000 96.375 165.2571
50.799999 96.325 164.8787
51.500000 96.286 164.5352
52.200001 96.244 164.1889
53.000000 96.192 163.8210
53.799999 96.141 163.4685
54.500000 96.096 163.1639
55.200001 96.050 162.8697
56.000000 95.996 162.5347
57.000000 95.928 162.1154
58.000000 95.866 161.7482
59.000000 95.816 161.3945
60.000000 95.756 161.0107
60.799999 95.696 160.7271
61.500000 95.645 160.5036
62.200001 95.599 160.2838
63.000000 95.550 160.0264
64.000000 95.490 159.7148
65.000000 95.430 159.4321
66.000000 95.372 159.1408
67.000000 95.310 158.8481
68.000000 95.246 158.5918
69.000000 95.184 158.3355
70.000000 95.122 158.0871
71.000000 95.066 157.8524
72.000000 95.010 157.6116
73.000000 94.952 157.4066
74.000000 94.897 157.2172
75.000000 94.841 156.9988
76.199997 94.769 156.7656
77.500000 94.697 156.5202
78.800003 94.622 156.2714
80.000000 94.556 156.0913
81.199997 94.495 155.8937
82.500000 94.425 155.6963
83.800003 94.357 155.5411
85.000000 94.296 155.3673
86.199997 94.232 155.1978
87.500000 94.164 155.0679
88.500000 94.115 154.9653
90.000000 94.042 154.7701
91.199997 93.981 154.6335
92.500000 93.915 154.5198
93.800003 93.854 154.4024
95.000000 93.799 154.2816
96.199997 93.741 154.1808
97.500000 93.678 154.1212
98.800003 93.619 154.0699
100.000000 93.562 153.9901
101.500000 93.496 153.8492
103.000000 93.433 153.7184
104.400002 93.372 153.6466
106.000000 93.302 153.5739
107.500000 93.237 153.5096
109.000000 93.172 153.4419
110.599998 93.105 153.3811
112.000000 93.046 153.3473
113.800003 92.972 153.3060
115.000000 92.925 153.2735
117.199997 92.837 153.2025
118.000000 92.804 153.1721
120.599998 92.705 153.1469
122.000000 92.653 153.1653
124.099998 92.578 153.1846
125.000000 92.546 153.1861
126.500000 92.491 153.1761
128.000000 92.437 153.1682
131.500000 92.314 153.1947
132.000000 92.297 153.1989
134.000000 92.227 153.2148
136.000000 92.159 153.2466
138.000000 92.093 153.2859
140.000000 92.025 153.3335
143.000000 91.924 153.4636
145.000000 91.856 153.5676
147.500000 91.771 153.7255
150.000000 91.700 153.9165
152.500000 91.641 154.1876
155.000000 91.601 154.4527
157.500000 91.569 154.6082
160.000000 91.526 154.5801
162.500000 91.470 154.4538
165.000000 91.412 154.4190
167.500000 91.352 154.4494
170.000000 91.291 154.5016
172.500000 91.230 154.5609
175.000000 91.170 154.6425
177.500000 91.112 154.7406
180.000000 91.055 154.8341
182.500000 90.998 154.9407
185.000000 90.941 155.0403
187.500000 90.883 155.1425
190.000000 90.829 155.2505
192.500000 90.779 155.3574
195.000000 90.732 155.4748
197.500000 90.686 155.6313
200.000000 90.639 155.7894
203.000000 90.582 155.9326
206.000000 90.522 156.0787
209.000000 90.463 156.2536
212.000000 90.410 156.4311
214.000000 90.377 156.5506
218.000000 90.311 156.7889
220.000000 90.281 156.9081
224.000000 90.223 157.1713
227.000000 90.183 157.3434
230.000000 90.147 157.5270
233.000000 90.112 157.6685
236.000000 90.080 157.8097
240.000000 90.030 157.9402
243.000000 89.985 158.0725
247.000000 89.925 158.2282
250.000000 89.884 158.3854
254.000000 89.837 158.5745
258.000000 89.783 158.7556
262.000000 89.732 158.9690
265.000000 89.697 159.1167
269.000000 89.647 159.3124
272.000000 89.611 159.4532
276.000000 89.564 159.6371
280.000000 89.515 159.8471
285.000000 89.456 160.1411
290.000000 89.403 160.4388
295.000000 89.354 160.7235
300.000000 89.309 161.0049
304.000000 89.274 161.2081
307.000000 89.248 161.3641
311.000000 89.213 161.5790
315.000000 89.177 161.7807
320.000000 89.134 162.0099
325.000000 89.092 162.2606
330.000000 89.053 162.5014
335.000000 89.014 162.7262
340.000000 88.972 162.9614
345.000000 88.930 163.2109
350.000000 88.896 163.4658
355.000000 88.857 163.7062
360.000000 88.819 163.9702
365.000000 88.787 164.2282
370.000000 88.757 164.4343
375.000000 88.720 164.6406
382.000000 88.673 164.9687
387.000000 88.640 165.1950
395.000000 88.591 165.5966
400.000000 88.558 165.7660
406.000000 88.513 166.0483
412.000000 88.489 166.2294
418.000000 88.456 166.5937
425.000000 88.413 166.9518
431.000000 88.373 167.2373
437.000000 88.343 167.5610
444.000000 88.317 167.7874
450.000000 88.278 168.0220
455.000000 88.244 168.2838
462.000000 88.208 168.6370
468.000000 88.179 168.9046
475.000000 88.143 169.2193
482.000000 88.106 169.5327
487.000000 88.080 169.7469
494.000000 88.046 170.0513
500.000000 88.018 170.3217
508.000000 87.977 170.6895
515.000000 87.941 171.0117
522.000000 87.910 171.3584
530.000000 87.873 171.7664
538.000000 87.836 172.1624
545.000000 87.806 172.5239
552.000000 87.778 172.8642
560.000000 87.751 173.3200
570.000000 87.715 173.8666
580.000000 87.669 174.4258
590.000000 87.647 175.0494
600.000000 87.616 175.5734
608.000000 87.601 175.9820
615.000000 87.582 176.2756
622.000000 87.553 176.6884
630.000000 87.539 177.3732
640.000000 87.547 177.9352
650.000000 87.525 178.3522
660.000000 87.496 178.9000
670.000000 87.488 179.4189
680.000000 87.490 179.9236
690.000000 87.484 -179.5728
700.000000 87.480 -179.0768
710.000000 87.484 -178.5353
720.000000 87.484 -177.9475
730.000000 87.478 -177.3771
740.000000 87.474 -176.8284
750.000000 87.475 -176.2770
762.000000 87.482 -175.6133
775.000000 87.497 -174.9135
788.000000 87.514 -174.1984
800.000000 87.533 -173.5320
812.000000 87.552 -172.8782
825.000000 87.579 -172.1682
838.000000 87.614 -171.4685
850.000000 87.647 -170.8283
862.000000 87.684 -170.1995
875.000000 87.729 -169.5258
885.000000 87.768 -169.0198
900.000000 87.832 -168.2787
912.000000 87.885 -167.7036
925.000000 87.946 -167.1071
938.000000 88.011 -166.5415
950.000000 88.074 -166.0377
962.000000 88.141 -165.5511
975.000000 88.215 -165.0531
988.000000 88.290 -164.5949
1000.000000 88.362 -164.2005
1015.000000 88.453 -163.7339
1030.000000 88.544 -163.3034
1044.000000 88.630 -162.9359
1060.000000 88.727 -162.5713
1075.000000 88.818 -162.2724
1090.000000 88.906 -162.0021
1106.000000 88.997 -161.7410
1120.000000 89.075 -161.5355
1138.000000 89.173 -161.3052
1150.000000 89.236 -161.1664
1172.000000 89.346 -160.9288
1180.000000 89.384 -160.8481
1206.000000 89.502 -160.6015
1220.000000 89.563 -160.4626
1241.000000 89.650 -160.2459
1250.000000 89.685 -160.1470
1265.000000 89.744 -159.9739
1280.000000 89.801 -159.7870
1315.000000 89.935 -159.2717
1320.000000 89.954 -159.1882
1340.000000 90.035 -158.8299
1360.000000 90.123 -158.4305
1380.000000 90.221 -158.0011
1400.000000 90.331 -157.5548
1430.000000 90.525 -156.9162
1450.000000 90.673 -156.5536
1475.000000 90.880 -156.2246
1500.000000 91.105 -156.0936
1525.000000 91.335 -156.2082
1550.000000 91.559 -156.5811
1575.000000 91.761 -157.1954
1600.000000 91.932 -157.9801
1625.000000 92.067 -158.8451
1650.000000 92.165 -159.7079
1675.000000 92.233 -160.4973
1700.000000 92.279 -161.1644
1725.000000 92.309 -161.6854
1750.000000 92.332 -162.0548
1775.000000 92.355 -162.2780
1800.000000 92.385 -162.3665
1825.000000 92.425 -162.3444
1850.000000 92.479 -162.2388
1875.000000 92.551 -162.0784
1900.000000 92.640 -161.8907
1925.000000 92.748 -161.7033
1950.000000 92.875 -161.5418
1975.000000 93.020 -161.4306
2000.000000 93.183 -161.3922
2030.000000 93.398 -161.4751
2060.000000 93.631 -161.7343
2090.000000 93.878 -162.2028
2120.000000 94.132 -162.9047
2140.000000 94.302 -163.5117
2180.000000 94.636 -165.0752
2200.000000 94.794 -166.0334
2240.000000 95.081 -168.2899
2270.000000 95.260 -170.2550
2300.000000 95.400 -172.4115
2330.000000 95.495 -174.7082
2360.000000 95.542 -177.0864
2400.000000 95.527 179.7236
2430.000000 95.460 177.3998
2470.000000 95.302 174.4973
2500.000000 95.141 172.5238
2540.000000 94.881 170.2242
2580.000000 94.586 168.3367
2620.000000 94.271 166.8711
2650.000000 94.029 166.0397
2690.000000 93.709 165.2606
2720.000000 93.476 164.9027
2760.000000 93.178 164.6937
2800.000000 92.899 164.7567
2850.000000 92.582 165.1623
2900.000000 92.305 165.8780
2950.000000 92.072 166.8524
3000.000000 91.890 168.0313
3040.000000 91.785 169.0706
3070.000000 91.729 169.8697
3110.000000 91.686 170.9185
3150.000000 91.672 171.9094
3200.000000 91.688 173.0457
3250.000000 91.734 174.0695
3300.000000 91.810 174.9772
3350.000000 91.913 175.7513
3400.000000 92.039 176.3581
3450.000000 92.186 176.7587
3500.000000 92.346 176.9260
3550.000000 92.511 176.8419
3600.000000 92.673 176.4995
3650.000000 92.821 175.9070
3700.000000 92.945 175.0914
3750.000000 93.034 174.1006
3820.000000 93.089 172.5504
3870.000000 93.072 171.4409
3950.000000 92.944 169.9575
4000.000000 92.807 169.4014
4060.000000 92.610 169.3314
4120.000000 92.421 170.0717
4180.000000 92.302 171.6385
4250.000000 92.333 174.2188
4310.000000 92.551 176.5903
4370.000000 92.947 178.5899
4440.000000 93.596 179.9161
4500.000000 94.265 179.8736
4550.000000 94.866 178.8531
4620.000000 95.710 175.7402
4680.000000 96.361 171.4182
4750.000000 96.919 164.5746
4820.000000 97.138 156.3781
4870.000000 97.045 150.2692
4940.000000 96.575 142.2560
5000.000000 95.917 136.5321
5080.000000 94.826 131.0815
5150.000000 93.800 128.3526
5220.000000 92.802 127.2461
5300.000000 91.755 127.5296
5380.000000 90.840 129.0295
5450.000000 90.155 131.0610
5520.000000 89.578 133.5784
5600.000000 89.051 136.8862
5700.000000 88.593 141.4070
5800.000000 88.363 146.0084
5900.000000 88.357 150.2399
6000.000000 88.544 153.5399
6080.000000 88.779 155.1536
6150.000000 88.989 155.7025
6220.000000 89.150 155.5303
