* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Jan 19, 2025 2:21:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FiiO FH15 (Treble) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 98.389 -161.9405
20.600000 98.390 -162.4814
20.900000 98.388 -163.0649
21.200001 98.385 -163.6542
21.400000 98.383 -164.0502
21.799999 98.378 -164.8453
22.000000 98.375 -165.2399
22.400000 98.368 -166.0112
22.700001 98.362 -166.5685
23.000000 98.357 -167.1080
23.299999 98.351 -167.6339
23.600000 98.346 -168.1514
24.000000 98.339 -168.8327
24.299999 98.332 -169.3360
24.700001 98.323 -169.9913
25.000000 98.316 -170.4677
25.400000 98.307 -171.0834
25.799999 98.299 -171.6812
26.200001 98.289 -172.2658
26.500000 98.280 -172.6954
26.900000 98.265 -173.2539
27.200001 98.253 -173.6618
27.600000 98.236 -174.1959
28.000000 98.221 -174.7299
28.500000 98.203 -175.4098
29.000000 98.183 -176.0943
29.500000 98.160 -176.7504
30.000000 98.137 -177.3545
30.400000 98.120 -177.8072
30.700001 98.109 -178.1403
31.100000 98.093 -178.5876
31.500000 98.076 -179.0422
32.000000 98.051 -179.6089
32.500000 98.023 179.8446
33.000000 97.997 179.3225
33.500000 97.973 178.8139
34.000000 97.951 178.3102
34.500000 97.930 177.8126
35.000000 97.906 177.3257
35.500000 97.882 176.8522
36.000000 97.855 176.3947
36.500000 97.828 175.9550
37.000000 97.800 175.5295
37.500000 97.772 175.1092
38.200001 97.731 174.5232
38.700001 97.701 174.1137
39.500000 97.657 173.4707
40.000000 97.632 173.0619
40.599998 97.599 172.5720
41.200001 97.561 172.1171
41.799999 97.524 171.7067
42.500000 97.486 171.2366
43.099998 97.452 170.8123
43.700001 97.416 170.3843
44.400002 97.372 169.9093
45.000000 97.336 169.5260
45.500000 97.306 169.2224
46.200001 97.265 168.8203
46.799999 97.232 168.4825
47.500000 97.195 168.0712
48.200001 97.154 167.6416
48.700001 97.121 167.3389
49.400002 97.073 166.9421
50.000000 97.033 166.6312
50.799999 96.987 166.2342
51.500000 96.950 165.8825
52.200001 96.912 165.5359
53.000000 96.866 165.1586
53.799999 96.819 164.7857
54.500000 96.776 164.4662
55.200001 96.733 164.1632
56.000000 96.685 163.8184
57.000000 96.626 163.3842
58.000000 96.573 162.9732
59.000000 96.524 162.5414
60.000000 96.460 162.1437
60.799999 96.406 161.8860
61.500000 96.363 161.6610
62.200001 96.322 161.4185
63.000000 96.276 161.1425
64.000000 96.221 160.8185
65.000000 96.165 160.5019
66.000000 96.108 160.1979
67.000000 96.052 159.9060
68.000000 95.995 159.6086
69.000000 95.934 159.3202
70.000000 95.874 159.0541
71.000000 95.817 158.7919
72.000000 95.762 158.5367
73.000000 95.708 158.3015
74.000000 95.656 158.0754
75.000000 95.605 157.8484
76.199997 95.542 157.5872
77.500000 95.473 157.3176
78.800003 95.404 157.0827
80.000000 95.343 156.8650
81.199997 95.279 156.6255
82.500000 95.212 156.3667
83.800003 95.147 156.1315
85.000000 95.086 155.9357
86.199997 95.025 155.7455
87.500000 94.960 155.5506
88.500000 94.912 155.4145
90.000000 94.840 155.2147
91.199997 94.781 155.0654
92.500000 94.719 154.9153
93.800003 94.660 154.7665
95.000000 94.606 154.6335
96.199997 94.554 154.5192
97.500000 94.497 154.4183
98.800003 94.440 154.3239
100.000000 94.386 154.2033
101.500000 94.315 154.0331
103.000000 94.246 153.8959
104.400002 94.184 153.7760
106.000000 94.116 153.6362
107.500000 94.052 153.5230
109.000000 93.989 153.4255
110.599998 93.924 153.3448
112.000000 93.868 153.2807
113.800003 93.795 153.1904
115.000000 93.748 153.1275
117.199997 93.668 153.0403
118.000000 93.641 153.0174
120.599998 93.547 152.9147
122.000000 93.486 152.8766
124.099998 93.404 152.8362
125.000000 93.371 152.8137
126.500000 93.316 152.7720
128.000000 93.263 152.7361
131.500000 93.141 152.6694
132.000000 93.124 152.6625
134.000000 93.053 152.6462
136.000000 92.984 152.6490
138.000000 92.917 152.6500
140.000000 92.852 152.6418
143.000000 92.754 152.6386
145.000000 92.691 152.6666
147.500000 92.609 152.7112
150.000000 92.522 152.7731
152.500000 92.443 152.8168
155.000000 92.370 152.9122
157.500000 92.301 153.0217
160.000000 92.243 153.1766
162.500000 92.178 153.2716
165.000000 92.109 153.4100
167.500000 92.044 153.5964
170.000000 91.991 153.8047
172.500000 91.951 153.9410
175.000000 91.917 154.0110
177.500000 91.879 154.0398
180.000000 91.839 154.0094
182.500000 91.793 154.0028
185.000000 91.740 154.0123
187.500000 91.682 154.0198
190.000000 91.621 154.0518
192.500000 91.564 154.1026
195.000000 91.510 154.1676
197.500000 91.455 154.2620
200.000000 91.405 154.3657
203.000000 91.347 154.4746
206.000000 91.281 154.5678
209.000000 91.224 154.6717
212.000000 91.164 154.8130
214.000000 91.121 154.9072
218.000000 91.043 155.0919
220.000000 91.008 155.1976
224.000000 90.947 155.4808
227.000000 90.910 155.7316
230.000000 90.878 155.8965
233.000000 90.850 155.9953
236.000000 90.826 156.0260
240.000000 90.762 156.0326
243.000000 90.698 156.1345
247.000000 90.628 156.3405
250.000000 90.585 156.4643
254.000000 90.523 156.5957
258.000000 90.464 156.7434
262.000000 90.410 156.9304
265.000000 90.372 157.0882
269.000000 90.321 157.2792
272.000000 90.282 157.4080
276.000000 90.229 157.6002
280.000000 90.176 157.8035
285.000000 90.115 158.0679
290.000000 90.056 158.3133
295.000000 90.000 158.5672
300.000000 89.945 158.8385
304.000000 89.903 159.0682
307.000000 89.872 159.2154
311.000000 89.834 159.4050
315.000000 89.805 159.6077
320.000000 89.765 159.8750
325.000000 89.716 160.0924
330.000000 89.672 160.2865
335.000000 89.630 160.5165
340.000000 89.585 160.7503
345.000000 89.538 160.9701
350.000000 89.494 161.1772
355.000000 89.454 161.3777
360.000000 89.416 161.5854
365.000000 89.378 161.7950
370.000000 89.338 162.0005
375.000000 89.299 162.2120
382.000000 89.247 162.5355
387.000000 89.214 162.7653
395.000000 89.157 163.0948
400.000000 89.120 163.3073
406.000000 89.077 163.5698
412.000000 89.037 163.8442
418.000000 88.997 164.1179
425.000000 88.951 164.4294
431.000000 88.914 164.7083
437.000000 88.878 164.9716
444.000000 88.837 165.2491
450.000000 88.802 165.5119
455.000000 88.774 165.7443
462.000000 88.739 166.0798
468.000000 88.705 166.3612
475.000000 88.663 166.6641
482.000000 88.623 166.9789
487.000000 88.596 167.2116
494.000000 88.560 167.5346
500.000000 88.531 167.8011
508.000000 88.497 168.1522
515.000000 88.466 168.4877
522.000000 88.433 168.8209
530.000000 88.399 169.1924
538.000000 88.365 169.5676
545.000000 88.334 169.9057
552.000000 88.305 170.2441
560.000000 88.274 170.6271
570.000000 88.237 171.1055
580.000000 88.201 171.5853
590.000000 88.166 172.0868
600.000000 88.135 172.5558
608.000000 88.106 172.9488
615.000000 88.081 173.3299
622.000000 88.061 173.7179
630.000000 88.043 174.1732
640.000000 88.023 174.6996
650.000000 87.996 175.2127
660.000000 87.967 175.6964
670.000000 87.948 176.1525
680.000000 87.942 176.6733
690.000000 87.930 177.2454
700.000000 87.916 177.7684
710.000000 87.906 178.3004
720.000000 87.898 178.8311
730.000000 87.892 179.3734
740.000000 87.889 179.9190
750.000000 87.888 -179.5309
762.000000 87.891 -178.8717
775.000000 87.898 -178.1576
788.000000 87.910 -177.4400
800.000000 87.924 -176.7815
812.000000 87.941 -176.1268
825.000000 87.966 -175.4248
838.000000 87.995 -174.7355
850.000000 88.028 -174.1009
862.000000 88.064 -173.4703
875.000000 88.106 -172.7952
885.000000 88.142 -172.2906
900.000000 88.201 -171.5605
912.000000 88.253 -170.9898
925.000000 88.314 -170.3871
938.000000 88.378 -169.8171
950.000000 88.440 -169.3183
962.000000 88.505 -168.8419
975.000000 88.578 -168.3511
988.000000 88.654 -167.8890
1000.000000 88.726 -167.4888
1015.000000 88.817 -167.0293
1030.000000 88.910 -166.6188
1044.000000 88.998 -166.2714
1060.000000 89.097 -165.9177
1075.000000 89.189 -165.6270
1090.000000 89.281 -165.3714
1106.000000 89.377 -165.1337
1120.000000 89.459 -164.9555
1138.000000 89.561 -164.7633
1150.000000 89.627 -164.6476
1172.000000 89.742 -164.4573
1180.000000 89.782 -164.3966
1206.000000 89.908 -164.2167
1220.000000 89.972 -164.1261
1241.000000 90.064 -163.9982
1250.000000 90.102 -163.9402
1265.000000 90.163 -163.8320
1280.000000 90.223 -163.7121
1315.000000 90.362 -163.3954
1320.000000 90.381 -163.3442
1340.000000 90.461 -163.1194
1360.000000 90.543 -162.8624
1380.000000 90.631 -162.5757
1400.000000 90.725 -162.2645
1430.000000 90.884 -161.7716
1450.000000 91.004 -161.4450
1475.000000 91.172 -161.0777
1500.000000 91.362 -160.8011
1525.000000 91.568 -160.6691
1550.000000 91.786 -160.7161
1575.000000 92.008 -160.9682
1600.000000 92.222 -161.4350
1625.000000 92.420 -162.0910
1650.000000 92.595 -162.8988
1675.000000 92.743 -163.7930
1700.000000 92.862 -164.7130
1725.000000 92.956 -165.6053
1750.000000 93.030 -166.4330
1775.000000 93.089 -167.1695
1800.000000 93.141 -167.8026
1825.000000 93.188 -168.3367
1850.000000 93.238 -168.7814
1875.000000 93.293 -169.1492
1900.000000 93.358 -169.4650
1925.000000 93.433 -169.7500
1950.000000 93.520 -170.0273
1975.000000 93.619 -170.3255
2000.000000 93.730 -170.6684
2030.000000 93.877 -171.1656
2060.000000 94.035 -171.7895
2090.000000 94.200 -172.5728
2120.000000 94.367 -173.5332
2140.000000 94.476 -174.2771
2180.000000 94.679 -176.0193
2200.000000 94.769 -177.0131
2240.000000 94.916 -179.2117
2270.000000 94.991 178.9882
2300.000000 95.031 177.1002
2330.000000 95.034 175.1761
2360.000000 94.999 173.2666
2400.000000 94.898 170.8222
2430.000000 94.784 169.1139
2470.000000 94.591 167.0663
2500.000000 94.422 165.7336
2540.000000 94.173 164.2490
2580.000000 93.909 163.1094
2620.000000 93.641 162.3083
2650.000000 93.443 161.9164
2690.000000 93.190 161.6443
2720.000000 93.010 161.6079
2760.000000 92.788 161.7602
2800.000000 92.588 162.1107
2850.000000 92.375 162.7746
2900.000000 92.203 163.6382
2950.000000 92.075 164.6514
3000.000000 91.993 165.7681
3040.000000 91.960 166.7004
3070.000000 91.954 167.4068
3110.000000 91.972 168.3430
3150.000000 92.020 169.2493
3200.000000 92.121 170.3013
3250.000000 92.265 171.2214
3300.000000 92.450 171.9608
3350.000000 92.672 172.4658
3400.000000 92.927 172.6793
3450.000000 93.207 172.5493
3500.000000 93.502 172.0228
3550.000000 93.799 171.0624
3600.000000 94.082 169.6482
3650.000000 94.333 167.7903
3700.000000 94.535 165.5386
3750.000000 94.671 162.9750
3820.000000 94.728 159.0908
3870.000000 94.664 156.3094
3950.000000 94.390 152.2814
4000.000000 94.128 150.2245
4060.000000 93.742 148.3833
4120.000000 93.299 147.4391
4180.000000 92.848 147.6541
4250.000000 92.423 149.4879
4310.000000 92.255 152.1433
4370.000000 92.347 155.1493
4440.000000 92.800 157.9705
4500.000000 93.422 158.9041
4550.000000 94.029 158.2186
4620.000000 94.864 154.7568
4680.000000 95.417 149.6142
4750.000000 95.713 141.8503
4820.000000 95.546 133.5240
4870.000000 95.160 128.0403
4940.000000 94.342 121.8012
5000.000000 93.492 118.0806
5080.000000 92.300 115.3626
5150.000000 91.298 114.7239
5220.000000 90.384 115.3069
5300.000000 89.468 117.0538
5380.000000 88.694 119.6097
5450.000000 88.132 122.3089
5520.000000 87.677 125.3057
5600.000000 87.284 128.9507
5700.000000 86.984 133.5818
5800.000000 86.889 137.9507
5900.000000 86.976 141.6156
6000.000000 87.185 144.1143
6080.000000 87.369 145.0931
6150.000000 87.483 145.2889
6220.000000 87.517 145.1224
6300.000000 87.444 144.9484
