* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Jan 19, 2025 2:25:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FiiO FH15 (Treble) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 97.877 -162.4463
20.600000 97.874 -163.0318
20.900000 97.869 -163.6541
21.200001 97.862 -164.2675
21.400000 97.858 -164.6714
21.799999 97.851 -165.4702
22.000000 97.848 -165.8651
22.400000 97.842 -166.6429
22.700001 97.838 -167.2127
23.000000 97.832 -167.7694
23.299999 97.825 -168.3135
23.600000 97.817 -168.8472
24.000000 97.806 -169.5464
24.299999 97.797 -170.0632
24.700001 97.785 -170.7411
25.000000 97.775 -171.2390
25.400000 97.762 -171.8848
25.799999 97.748 -172.5072
26.200001 97.733 -173.1059
26.500000 97.722 -173.5415
26.900000 97.707 -174.1092
27.200001 97.696 -174.5296
27.600000 97.681 -175.0887
28.000000 97.665 -175.6484
28.500000 97.642 -176.3412
29.000000 97.615 -177.0079
29.500000 97.587 -177.6368
30.000000 97.560 -178.2375
30.400000 97.538 -178.7122
30.700001 97.522 -179.0698
31.100000 97.499 -179.5470
31.500000 97.476 179.9822
32.000000 97.448 179.4136
32.500000 97.422 178.8688
33.000000 97.399 178.3399
33.500000 97.374 177.8220
34.000000 97.347 177.3154
34.500000 97.318 176.8187
35.000000 97.286 176.3271
35.500000 97.253 175.8393
36.000000 97.219 175.3612
36.500000 97.186 174.8983
37.000000 97.156 174.4496
37.500000 97.127 174.0119
38.200001 97.087 173.4188
38.700001 97.057 173.0104
39.500000 97.008 172.3682
40.000000 96.976 171.9678
40.599998 96.937 171.4961
41.200001 96.898 171.0453
41.799999 96.863 170.6191
42.500000 96.823 170.1500
43.099998 96.789 169.7569
43.700001 96.752 169.3480
44.400002 96.700 168.8541
45.000000 96.650 168.4598
45.500000 96.611 168.1702
46.200001 96.567 167.7878
46.799999 96.534 167.4335
47.500000 96.492 166.9920
48.200001 96.446 166.5722
48.700001 96.416 166.2922
49.400002 96.379 165.9025
50.000000 96.345 165.5659
50.799999 96.288 165.1594
51.500000 96.233 164.8593
52.200001 96.183 164.5577
53.000000 96.131 164.1609
53.799999 96.081 163.7520
54.500000 96.038 163.4221
55.200001 95.994 163.1152
56.000000 95.943 162.7881
57.000000 95.878 162.4049
58.000000 95.809 162.0603
59.000000 95.741 161.7655
60.000000 95.685 161.3893
60.799999 95.638 161.0323
61.500000 95.596 160.7465
62.200001 95.553 160.4959
63.000000 95.502 160.2377
64.000000 95.439 159.9491
65.000000 95.381 159.6609
66.000000 95.321 159.3582
67.000000 95.259 159.0823
68.000000 95.200 158.8255
69.000000 95.142 158.5583
70.000000 95.081 158.2880
71.000000 95.019 158.0393
72.000000 94.960 157.8229
73.000000 94.904 157.6143
74.000000 94.846 157.3976
75.000000 94.788 157.1833
76.199997 94.722 156.9267
77.500000 94.648 156.6834
78.800003 94.575 156.4911
80.000000 94.512 156.3105
81.199997 94.451 156.0990
82.500000 94.379 155.8616
83.800003 94.311 155.6446
85.000000 94.250 155.4710
86.199997 94.190 155.3126
87.500000 94.122 155.1316
88.500000 94.069 155.0036
90.000000 93.988 154.8401
91.199997 93.928 154.7071
92.500000 93.865 154.5747
93.800003 93.805 154.4626
95.000000 93.751 154.3625
96.199997 93.697 154.2665
97.500000 93.634 154.1381
98.800003 93.572 154.0059
100.000000 93.519 153.9341
101.500000 93.453 153.8606
103.000000 93.383 153.7791
104.400002 93.318 153.7021
106.000000 93.248 153.6042
107.500000 93.185 153.5265
109.000000 93.121 153.4560
110.599998 93.053 153.3846
112.000000 92.996 153.3293
113.800003 92.923 153.2725
115.000000 92.878 153.2460
117.199997 92.797 153.2097
118.000000 92.768 153.2125
120.599998 92.665 153.2147
122.000000 92.606 153.1635
124.099998 92.525 153.1050
125.000000 92.492 153.0842
126.500000 92.437 153.0578
128.000000 92.381 153.0497
131.500000 92.258 153.0797
132.000000 92.241 153.0863
134.000000 92.170 153.1158
136.000000 92.097 153.1500
138.000000 92.028 153.1796
140.000000 91.959 153.2365
143.000000 91.854 153.3709
145.000000 91.786 153.4585
147.500000 91.708 153.5889
150.000000 91.645 153.7585
152.500000 91.579 153.9369
155.000000 91.516 154.0605
157.500000 91.462 154.3073
160.000000 91.425 154.4859
162.500000 91.391 154.5279
165.000000 91.340 154.5601
167.500000 91.287 154.5703
170.000000 91.234 154.5573
172.500000 91.175 154.5403
175.000000 91.114 154.5721
177.500000 91.055 154.6532
180.000000 90.997 154.7449
182.500000 90.939 154.8269
185.000000 90.883 154.9151
187.500000 90.828 155.0498
190.000000 90.774 155.1967
192.500000 90.721 155.3069
195.000000 90.668 155.3951
197.500000 90.614 155.4778
200.000000 90.560 155.5981
203.000000 90.503 155.7705
206.000000 90.449 155.9386
209.000000 90.394 156.1284
212.000000 90.340 156.3406
214.000000 90.305 156.4712
218.000000 90.237 156.6946
220.000000 90.204 156.8176
224.000000 90.143 157.0478
227.000000 90.103 157.2251
230.000000 90.068 157.4171
233.000000 90.035 157.6021
236.000000 90.001 157.7449
240.000000 89.958 157.9002
243.000000 89.921 158.0183
247.000000 89.865 158.1619
250.000000 89.821 158.2736
254.000000 89.765 158.4283
258.000000 89.713 158.6045
262.000000 89.663 158.8004
265.000000 89.626 158.9495
269.000000 89.578 159.1429
272.000000 89.543 159.2910
276.000000 89.496 159.5014
280.000000 89.449 159.7127
285.000000 89.395 159.9681
290.000000 89.340 160.2187
295.000000 89.285 160.4671
300.000000 89.233 160.7210
304.000000 89.193 160.9248
307.000000 89.163 161.0829
311.000000 89.122 161.2941
315.000000 89.084 161.5027
320.000000 89.039 161.7939
325.000000 89.000 162.0922
330.000000 88.965 162.3715
335.000000 88.930 162.6257
340.000000 88.894 162.8498
345.000000 88.855 163.0541
350.000000 88.817 163.2709
355.000000 88.778 163.5071
360.000000 88.741 163.7379
365.000000 88.706 163.9712
370.000000 88.670 164.2158
375.000000 88.635 164.4671
382.000000 88.590 164.8027
387.000000 88.557 165.0288
395.000000 88.505 165.3941
400.000000 88.476 165.6520
406.000000 88.439 165.9409
412.000000 88.403 166.2081
418.000000 88.369 166.4794
425.000000 88.330 166.8063
431.000000 88.298 167.0796
437.000000 88.265 167.3554
444.000000 88.228 167.6786
450.000000 88.198 167.9515
455.000000 88.173 168.1840
462.000000 88.137 168.5057
468.000000 88.108 168.7816
475.000000 88.074 169.1155
482.000000 88.041 169.4451
487.000000 88.019 169.6731
494.000000 87.988 169.9930
500.000000 87.962 170.2607
508.000000 87.926 170.6207
515.000000 87.896 170.9420
522.000000 87.867 171.2672
530.000000 87.833 171.6415
538.000000 87.800 172.0226
545.000000 87.773 172.3608
552.000000 87.745 172.7071
560.000000 87.714 173.1041
570.000000 87.678 173.6059
580.000000 87.645 174.1170
590.000000 87.614 174.6309
600.000000 87.583 175.1394
608.000000 87.561 175.5628
615.000000 87.543 175.9427
622.000000 87.526 176.3171
630.000000 87.509 176.7420
640.000000 87.488 177.2849
650.000000 87.468 177.8409
660.000000 87.453 178.3894
670.000000 87.439 178.9401
680.000000 87.427 179.4926
690.000000 87.420 -179.9488
700.000000 87.416 -179.3953
710.000000 87.413 -178.8457
720.000000 87.412 -178.2942
730.000000 87.412 -177.7465
740.000000 87.416 -177.2012
750.000000 87.422 -176.6540
762.000000 87.430 -175.9989
775.000000 87.443 -175.2854
788.000000 87.462 -174.5674
800.000000 87.482 -173.9160
812.000000 87.505 -173.2734
825.000000 87.535 -172.5763
838.000000 87.570 -171.8857
850.000000 87.607 -171.2633
862.000000 87.646 -170.6552
875.000000 87.692 -169.9976
885.000000 87.730 -169.4997
900.000000 87.793 -168.7806
912.000000 87.847 -168.2261
925.000000 87.910 -167.6500
938.000000 87.978 -167.0913
950.000000 88.043 -166.5994
962.000000 88.109 -166.1362
975.000000 88.184 -165.6623
988.000000 88.260 -165.2162
1000.000000 88.332 -164.8323
1015.000000 88.422 -164.3982
1030.000000 88.514 -164.0047
1044.000000 88.600 -163.6696
1060.000000 88.697 -163.3352
1075.000000 88.786 -163.0586
1090.000000 88.876 -162.8120
1106.000000 88.968 -162.5846
1120.000000 89.045 -162.4128
1138.000000 89.141 -162.2160
1150.000000 89.202 -162.1027
1172.000000 89.308 -161.9109
1180.000000 89.344 -161.8450
1206.000000 89.457 -161.6430
1220.000000 89.515 -161.5336
1241.000000 89.597 -161.3556
1250.000000 89.631 -161.2714
1265.000000 89.685 -161.1185
1280.000000 89.738 -160.9482
1315.000000 89.862 -160.4723
1320.000000 89.880 -160.3941
1340.000000 89.955 -160.0505
1360.000000 90.036 -159.6570
1380.000000 90.127 -159.2305
1400.000000 90.231 -158.7890
1430.000000 90.416 -158.1420
1450.000000 90.560 -157.7665
1475.000000 90.762 -157.4199
1500.000000 90.980 -157.2722
1525.000000 91.205 -157.3834
1550.000000 91.422 -157.7541
1575.000000 91.617 -158.3545
1600.000000 91.780 -159.1112
1625.000000 91.908 -159.9335
1650.000000 92.001 -160.7463
1675.000000 92.064 -161.4785
1700.000000 92.106 -162.0842
1725.000000 92.134 -162.5409
1750.000000 92.158 -162.8452
1775.000000 92.183 -163.0044
1800.000000 92.215 -163.0327
1825.000000 92.258 -162.9560
1850.000000 92.316 -162.8000
1875.000000 92.392 -162.5907
1900.000000 92.487 -162.3551
1925.000000 92.601 -162.1231
1950.000000 92.734 -161.9193
1975.000000 92.886 -161.7637
2000.000000 93.055 -161.6862
2030.000000 93.279 -161.7344
2060.000000 93.522 -161.9640
2090.000000 93.779 -162.3994
2120.000000 94.043 -163.0733
2140.000000 94.220 -163.6687
2180.000000 94.567 -165.2145
2200.000000 94.731 -166.1630
2240.000000 95.029 -168.3987
2270.000000 95.217 -170.3437
2300.000000 95.365 -172.4777
2330.000000 95.469 -174.7490
2360.000000 95.526 -177.0943
2400.000000 95.525 179.7673
2430.000000 95.470 177.4837
2470.000000 95.332 174.6382
2500.000000 95.187 172.7073
2540.000000 94.951 170.4583
2580.000000 94.683 168.6134
2620.000000 94.398 167.1784
2650.000000 94.180 166.3617
2690.000000 93.895 165.5897
2720.000000 93.688 165.2280
2760.000000 93.428 165.0018
2800.000000 93.190 165.0274
2850.000000 92.927 165.3542
2900.000000 92.707 165.9378
2950.000000 92.533 166.7088
3000.000000 92.405 167.6117
3040.000000 92.336 168.3962
3070.000000 92.304 169.0001
3110.000000 92.287 169.8062
3150.000000 92.299 170.5945
3200.000000 92.353 171.5195
3250.000000 92.448 172.3310
3300.000000 92.582 172.9807
3350.000000 92.752 173.4211
3400.000000 92.952 173.6050
3450.000000 93.175 173.4843
3500.000000 93.412 173.0121
3550.000000 93.653 172.1559
3600.000000 93.884 170.8965
3650.000000 94.091 169.2320
3700.000000 94.256 167.1805
3750.000000 94.364 164.7962
3820.000000 94.389 161.0612
3870.000000 94.295 158.2810
3950.000000 93.927 154.1384
4000.000000 93.562 152.1149
4060.000000 93.018 150.7191
4120.000000 92.431 150.8149
4180.000000 91.911 152.5217
4250.000000 91.543 156.1285
4310.000000 91.517 159.8042
4370.000000 91.767 163.1370
4440.000000 92.337 165.6845
4500.000000 92.972 166.2336
4550.000000 93.535 165.3811
4620.000000 94.265 162.1836
4680.000000 94.739 157.8071
4750.000000 95.014 151.3991
4820.000000 94.934 144.5117
4870.000000 94.669 139.8551
4940.000000 94.063 134.2986
5000.000000 93.397 130.7264
5080.000000 92.415 127.7760
5150.000000 91.551 126.7368
5220.000000 90.738 126.8762
5300.000000 89.908 128.1505
5380.000000 89.203 130.2961
5450.000000 88.693 132.6750
5520.000000 88.285 135.3683
5600.000000 87.944 138.6756
5700.000000 87.704 142.8750
5800.000000 87.664 146.7889
5900.000000 87.802 149.9699
6000.000000 88.058 151.9404
6080.000000 88.273 152.4318
6150.000000 88.410 152.1405
6220.000000 88.454 151.4341
