* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -38.0 dBFS with no timing reference
* Dated: Dec 14, 2024 1:38:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Fiio JD10 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 95.061 -129.7114
20.600000 95.100 -130.5227
20.900000 95.141 -131.3940
21.200001 95.180 -132.2652
21.400000 95.205 -132.8438
21.799999 95.251 -133.9883
22.000000 95.274 -134.5490
22.400000 95.319 -135.6398
22.700001 95.357 -136.4347
23.000000 95.397 -137.2206
23.299999 95.438 -138.0081
23.600000 95.478 -138.8006
24.000000 95.523 -139.8511
24.299999 95.548 -140.6136
24.700001 95.574 -141.5679
25.000000 95.590 -142.2319
25.400000 95.612 -143.0671
25.799999 95.638 -143.8812
26.200001 95.665 -144.7016
26.500000 95.685 -145.3203
26.900000 95.711 -146.1336
27.200001 95.732 -146.7256
27.600000 95.764 -147.4938
28.000000 95.799 -148.2572
28.500000 95.839 -149.2290
29.000000 95.865 -150.1988
29.500000 95.874 -151.1118
30.000000 95.878 -151.9569
30.400000 95.886 -152.6242
30.700001 95.894 -153.1456
31.100000 95.904 -153.8789
31.500000 95.909 -154.6369
32.000000 95.909 -155.5595
32.500000 95.908 -156.4122
33.000000 95.914 -157.2129
33.500000 95.926 -158.0067
34.000000 95.936 -158.8061
34.500000 95.941 -159.5878
35.000000 95.941 -160.3289
35.500000 95.939 -161.0273
36.000000 95.935 -161.6912
36.500000 95.930 -162.3298
37.000000 95.926 -162.9599
37.500000 95.925 -163.6046
38.200001 95.925 -164.5471
38.700001 95.925 -165.2274
39.500000 95.924 -166.2753
40.000000 95.923 -166.8903
40.599998 95.920 -167.5780
41.200001 95.920 -168.2274
41.799999 95.924 -168.8928
42.500000 95.919 -169.7180
43.099998 95.901 -170.3985
43.700001 95.881 -171.0020
44.400002 95.863 -171.6640
45.000000 95.849 -172.2514
45.500000 95.834 -172.7426
46.200001 95.813 -173.4087
46.799999 95.799 -173.9921
47.500000 95.778 -174.7154
48.200001 95.746 -175.4317
48.700001 95.723 -175.9147
49.400002 95.697 -176.5637
50.000000 95.682 -177.1029
50.799999 95.669 -177.7809
51.500000 95.661 -178.3428
52.200001 95.643 -178.8893
53.000000 95.604 -179.4686
53.799999 95.559 -179.9912
54.500000 95.530 179.5342
55.200001 95.509 178.9942
56.000000 95.483 178.3607
57.000000 95.448 177.6716
58.000000 95.416 177.0034
59.000000 95.377 176.3092
60.000000 95.337 175.6639
60.799999 95.304 175.1730
61.500000 95.276 174.7556
62.200001 95.252 174.3258
63.000000 95.229 173.7804
64.000000 95.184 173.0890
65.000000 95.122 172.5502
66.000000 95.068 172.0719
67.000000 95.028 171.5138
68.000000 94.996 170.9221
69.000000 94.956 170.3521
70.000000 94.905 169.8576
71.000000 94.864 169.3889
72.000000 94.832 168.8771
73.000000 94.793 168.3853
74.000000 94.746 167.9756
75.000000 94.698 167.5760
76.199997 94.638 167.0312
77.500000 94.582 166.4776
78.800003 94.532 165.9387
80.000000 94.467 165.4330
81.199997 94.405 164.9702
82.500000 94.348 164.4576
83.800003 94.277 163.9356
85.000000 94.221 163.4113
86.199997 94.178 162.9750
87.500000 94.130 162.6853
88.500000 94.084 162.4449
90.000000 94.014 162.0087
91.199997 93.966 161.6493
92.500000 93.910 161.2085
93.800003 93.845 160.7289
95.000000 93.784 160.3477
96.199997 93.729 160.0301
97.500000 93.673 159.6960
98.800003 93.615 159.3514
100.000000 93.559 159.0280
101.500000 93.490 158.6419
103.000000 93.422 158.2701
104.400002 93.360 157.9167
106.000000 93.292 157.5519
107.500000 93.223 157.2701
109.000000 93.151 156.9897
110.599998 93.079 156.6343
112.000000 93.019 156.3019
113.800003 92.945 155.9915
115.000000 92.895 155.8138
117.199997 92.801 155.4669
118.000000 92.766 155.3217
120.599998 92.648 154.8497
122.000000 92.591 154.6580
124.099998 92.505 154.3442
125.000000 92.467 154.2079
126.500000 92.404 154.0019
128.000000 92.340 153.8044
131.500000 92.197 153.3502
132.000000 92.178 153.2958
134.000000 92.101 153.0701
136.000000 92.020 152.8536
138.000000 91.942 152.6591
140.000000 91.865 152.4552
143.000000 91.749 152.1573
145.000000 91.671 151.9988
147.500000 91.575 151.7775
150.000000 91.479 151.5999
152.500000 91.388 151.4509
155.000000 91.294 151.2417
157.500000 91.202 151.0869
160.000000 91.115 150.9564
162.500000 91.026 150.8420
165.000000 90.938 150.7118
167.500000 90.847 150.5814
170.000000 90.759 150.4712
172.500000 90.674 150.3752
175.000000 90.589 150.2973
177.500000 90.502 150.2390
180.000000 90.415 150.2043
182.500000 90.332 150.1659
185.000000 90.255 150.1140
187.500000 90.179 150.0712
190.000000 90.105 150.0465
192.500000 90.037 150.0807
195.000000 89.963 150.1107
197.500000 89.871 150.0552
200.000000 89.780 149.9992
203.000000 89.692 149.9932
206.000000 89.605 150.0137
209.000000 89.515 150.1152
212.000000 89.430 150.2252
214.000000 89.376 150.2977
218.000000 89.270 150.4658
220.000000 89.219 150.4919
224.000000 89.117 150.4905
227.000000 89.043 150.4858
230.000000 88.965 150.5494
233.000000 88.884 150.6331
236.000000 88.802 150.7159
240.000000 88.691 150.8190
243.000000 88.618 150.9236
247.000000 88.517 151.0944
250.000000 88.439 151.2241
254.000000 88.338 151.3852
258.000000 88.240 151.6042
262.000000 88.139 151.8563
265.000000 88.064 152.0762
269.000000 87.976 152.3892
272.000000 87.923 152.6094
276.000000 87.862 152.9048
280.000000 87.793 153.1553
285.000000 87.718 153.3542
290.000000 87.638 153.5103
295.000000 87.541 153.7038
300.000000 87.437 153.9329
304.000000 87.358 154.1633
307.000000 87.301 154.3609
311.000000 87.227 154.5858
315.000000 87.153 154.7799
320.000000 87.061 155.0615
325.000000 86.972 155.3810
330.000000 86.884 155.6812
335.000000 86.797 155.9665
340.000000 86.713 156.3273
345.000000 86.627 156.7146
350.000000 86.543 157.0976
355.000000 86.465 157.4259
360.000000 86.389 157.7163
365.000000 86.310 158.0828
370.000000 86.232 158.4705
375.000000 86.159 158.8471
382.000000 86.063 159.3619
387.000000 85.991 159.7470
395.000000 85.869 160.4323
400.000000 85.799 160.8414
406.000000 85.724 161.2791
412.000000 85.652 161.7453
418.000000 85.579 162.2111
425.000000 85.496 162.7416
431.000000 85.427 163.2532
437.000000 85.356 163.7730
444.000000 85.270 164.3842
450.000000 85.203 164.9092
455.000000 85.151 165.3556
462.000000 85.078 165.9852
468.000000 85.013 166.5121
475.000000 84.935 167.1260
482.000000 84.858 167.7936
487.000000 84.810 168.2638
494.000000 84.748 168.8624
500.000000 84.692 169.3952
508.000000 84.616 170.1872
515.000000 84.549 170.8984
522.000000 84.484 171.6214
530.000000 84.413 172.4370
538.000000 84.349 173.2952
545.000000 84.297 174.0252
552.000000 84.246 174.7234
560.000000 84.190 175.5874
570.000000 84.130 176.7703
580.000000 84.071 177.9487
590.000000 84.016 179.1120
600.000000 83.975 -179.6894
608.000000 83.952 -178.7098
615.000000 83.935 -177.8650
622.000000 83.923 -176.9944
630.000000 83.913 -175.9737
640.000000 83.915 -174.7241
650.000000 83.931 -173.5533
660.000000 83.957 -172.3869
670.000000 83.993 -171.2324
680.000000 84.034 -170.1600
690.000000 84.080 -169.1304
700.000000 84.131 -168.1826
710.000000 84.184 -167.3013
720.000000 84.239 -166.4581
730.000000 84.293 -165.6673
740.000000 84.345 -164.9043
750.000000 84.395 -164.1778
762.000000 84.452 -163.3471
775.000000 84.512 -162.4707
788.000000 84.571 -161.6295
800.000000 84.623 -160.8888
812.000000 84.668 -160.1537
825.000000 84.711 -159.3277
838.000000 84.757 -158.4832
850.000000 84.796 -157.7029
862.000000 84.833 -156.8846
875.000000 84.877 -155.9394
885.000000 84.919 -155.1873
900.000000 84.995 -154.0533
912.000000 85.065 -153.1825
925.000000 85.145 -152.2776
938.000000 85.228 -151.3891
950.000000 85.310 -150.5854
962.000000 85.395 -149.8070
975.000000 85.490 -148.9940
988.000000 85.587 -148.2183
1000.000000 85.680 -147.5414
1015.000000 85.800 -146.7306
1030.000000 85.922 -145.9557
1044.000000 86.038 -145.2800
1060.000000 86.170 -144.5446
1075.000000 86.295 -143.8833
1090.000000 86.421 -143.2658
1106.000000 86.556 -142.6565
1120.000000 86.672 -142.1471
1138.000000 86.820 -141.5212
1150.000000 86.919 -141.1299
1172.000000 87.098 -140.4607
1180.000000 87.163 -140.2310
1206.000000 87.370 -139.5308
1220.000000 87.479 -139.1729
1241.000000 87.641 -138.6588
1250.000000 87.709 -138.4427
1265.000000 87.822 -138.0917
1280.000000 87.935 -137.7518
1315.000000 88.192 -136.9912
1320.000000 88.229 -136.8859
1340.000000 88.374 -136.4742
1360.000000 88.520 -136.0706
1380.000000 88.666 -135.6732
1400.000000 88.813 -135.2883
1430.000000 89.033 -134.7432
1450.000000 89.182 -134.3934
1475.000000 89.369 -133.9648
1500.000000 89.559 -133.5587
1525.000000 89.753 -133.1817
1550.000000 89.949 -132.8261
1575.000000 90.148 -132.4935
1600.000000 90.353 -132.1948
1625.000000 90.561 -131.9323
1650.000000 90.773 -131.7080
1675.000000 90.989 -131.5301
1700.000000 91.209 -131.4023
1725.000000 91.433 -131.3230
1750.000000 91.661 -131.3008
1775.000000 91.891 -131.3386
1800.000000 92.124 -131.4432
1825.000000 92.359 -131.6136
1850.000000 92.596 -131.8498
1875.000000 92.833 -132.1604
1900.000000 93.070 -132.5492
1925.000000 93.307 -133.0186
1950.000000 93.542 -133.5746
1975.000000 93.775 -134.2156
2000.000000 94.005 -134.9442
2030.000000 94.274 -135.9389
2060.000000 94.534 -137.0659
2090.000000 94.784 -138.3221
2120.000000 95.019 -139.7033
2140.000000 95.167 -140.6917
2180.000000 95.438 -142.8133
2200.000000 95.559 -143.9406
2240.000000 95.771 -146.3060
2270.000000 95.900 -148.1540
2300.000000 96.003 -150.0420
2330.000000 96.078 -151.9448
2360.000000 96.125 -153.8406
2400.000000 96.144 -156.3141
2430.000000 96.126 -158.0931
2470.000000 96.062 -160.3084
2500.000000 95.988 -161.8093
2540.000000 95.864 -163.5342
2580.000000 95.730 -164.8975
2620.000000 95.613 -165.9386
2650.000000 95.549 -166.6118
2690.000000 95.487 -167.5512
2720.000000 95.443 -168.3444
2760.000000 95.368 -169.4700
2800.000000 95.265 -170.5477
2850.000000 95.110 -171.6854
2900.000000 94.944 -172.5434
2950.000000 94.782 -173.1420
3000.000000 94.630 -173.5284
3040.000000 94.520 -173.7091
3070.000000 94.444 -173.7791
3110.000000 94.353 -173.7997
3150.000000 94.275 -173.7498
3200.000000 94.194 -173.6043
3250.000000 94.133 -173.3796
3300.000000 94.093 -173.0674
3350.000000 94.082 -172.6959
3400.000000 94.101 -172.3590
3450.000000 94.140 -172.0743
3500.000000 94.198 -171.8198
3550.000000 94.278 -171.6046
3600.000000 94.379 -171.4534
3650.000000 94.501 -171.3903
3700.000000 94.645 -171.4379
3750.000000 94.808 -171.6248
3820.000000 95.067 -172.1738
3870.000000 95.270 -172.8100
3950.000000 95.615 -174.3443
4000.000000 95.834 -175.6744
4060.000000 96.083 -177.6779
4120.000000 96.300 179.8901
4180.000000 96.470 177.0907
4250.000000 96.602 173.4661
4310.000000 96.654 170.1113
4370.000000 96.644 166.5429
4440.000000 96.539 162.1509
4500.000000 96.350 158.3086
4550.000000 96.119 155.1753
4620.000000 95.688 151.0924
4680.000000 95.235 148.0166
4750.000000 94.635 145.0298
4820.000000 93.986 142.7257
4870.000000 93.506 141.4928
4940.000000 92.827 140.3176
5000.000000 92.250 139.7825
5080.000000 91.501 139.6780
5150.000000 90.876 140.0941
5220.000000 90.288 140.9022
5300.000000 89.664 142.1990
5380.000000 89.092 143.8071
5450.000000 88.631 145.4177
5520.000000 88.205 147.1897
5600.000000 87.761 149.3785
5700.000000 87.268 152.3069
5800.000000 86.840 155.3886
