* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -38.0 dBFS with no timing reference
* Dated: Dec 14, 2024 1:40:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Fiio JD10 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 94.408 -128.1640
20.600000 94.446 -128.9849
20.900000 94.486 -129.8561
21.200001 94.528 -130.7181
21.400000 94.556 -131.2905
21.799999 94.616 -132.4385
22.000000 94.647 -133.0133
22.400000 94.705 -134.1490
22.700001 94.745 -134.9687
23.000000 94.780 -135.7450
23.299999 94.813 -136.4736
23.600000 94.846 -137.1622
24.000000 94.890 -138.0500
24.299999 94.925 -138.7196
24.700001 94.972 -139.6437
25.000000 95.006 -140.3634
25.400000 95.048 -141.3458
25.799999 95.085 -142.3311
26.200001 95.116 -143.2941
26.500000 95.133 -143.9870
26.900000 95.148 -144.8519
27.200001 95.154 -145.4468
27.600000 95.159 -146.1715
28.000000 95.169 -146.8533
28.500000 95.195 -147.7411
29.000000 95.229 -148.7499
29.500000 95.259 -149.8516
30.000000 95.278 -150.9289
30.400000 95.292 -151.7145
30.700001 95.304 -152.2592
31.100000 95.322 -152.9504
31.500000 95.339 -153.6255
32.000000 95.352 -154.4496
32.500000 95.360 -155.2297
33.000000 95.370 -155.9729
33.500000 95.384 -156.7225
34.000000 95.397 -157.4979
34.500000 95.402 -158.2689
35.000000 95.400 -159.0074
35.500000 95.398 -159.7362
36.000000 95.397 -160.4969
36.500000 95.390 -161.2802
37.000000 95.380 -162.0222
37.500000 95.373 -162.6730
38.200001 95.382 -163.4799
38.700001 95.395 -164.0694
39.500000 95.394 -165.0853
40.000000 95.377 -165.7150
40.599998 95.352 -166.4213
41.200001 95.339 -167.0894
41.799999 95.344 -167.7642
42.500000 95.358 -168.5903
43.099998 95.361 -169.3008
43.700001 95.350 -169.9618
44.400002 95.328 -170.6575
45.000000 95.309 -171.2392
45.500000 95.293 -171.7384
46.200001 95.266 -172.4291
46.799999 95.245 -172.9803
47.500000 95.230 -173.6212
48.200001 95.218 -174.3313
48.700001 95.204 -174.8547
49.400002 95.179 -175.5158
50.000000 95.158 -175.9904
50.799999 95.140 -176.5985
51.500000 95.125 -177.2160
52.200001 95.101 -177.9071
53.000000 95.066 -178.6383
53.799999 95.034 -179.2112
54.500000 95.008 -179.6687
55.200001 94.968 179.8360
56.000000 94.916 179.2564
57.000000 94.881 178.5210
58.000000 94.865 177.7926
59.000000 94.835 177.2039
60.000000 94.800 176.5961
60.799999 94.774 176.0039
61.500000 94.755 175.4589
62.200001 94.731 174.9648
63.000000 94.695 174.5171
64.000000 94.648 174.0442
65.000000 94.605 173.4992
66.000000 94.562 172.8994
67.000000 94.514 172.3229
68.000000 94.462 171.8025
69.000000 94.417 171.3332
70.000000 94.382 170.8392
71.000000 94.348 170.2978
72.000000 94.311 169.7432
73.000000 94.270 169.2159
74.000000 94.224 168.7596
75.000000 94.175 168.3550
76.199997 94.113 167.8974
77.500000 94.051 167.3693
78.800003 94.006 166.7603
80.000000 93.960 166.2912
81.199997 93.904 165.8901
82.500000 93.836 165.4084
83.800003 93.778 164.9263
85.000000 93.712 164.4743
86.199997 93.645 164.0478
87.500000 93.596 163.5464
88.500000 93.560 163.1549
90.000000 93.492 162.5972
91.199997 93.436 162.2002
92.500000 93.374 161.8710
93.800003 93.310 161.5470
95.000000 93.249 161.1898
96.199997 93.195 160.8538
97.500000 93.146 160.5280
98.800003 93.088 160.2216
100.000000 93.028 159.9534
101.500000 92.957 159.6199
103.000000 92.891 159.2540
104.400002 92.830 158.9021
106.000000 92.768 158.5215
107.500000 92.703 158.1763
109.000000 92.632 157.8607
110.599998 92.562 157.5427
112.000000 92.505 157.2723
113.800003 92.426 156.9308
115.000000 92.372 156.7137
117.199997 92.283 156.3154
118.000000 92.252 156.1791
120.599998 92.145 155.7706
122.000000 92.077 155.5802
124.099998 91.985 155.2807
125.000000 91.947 155.1505
126.500000 91.882 154.9550
128.000000 91.822 154.7771
131.500000 91.682 154.3718
132.000000 91.661 154.3155
134.000000 91.581 154.0779
136.000000 91.500 153.8459
138.000000 91.420 153.6514
140.000000 91.343 153.4650
143.000000 91.226 153.1797
145.000000 91.149 153.0261
147.500000 91.051 152.8595
150.000000 90.955 152.6819
152.500000 90.864 152.4912
155.000000 90.774 152.3202
157.500000 90.680 152.1488
160.000000 90.584 152.0431
162.500000 90.488 151.9914
165.000000 90.398 151.9266
167.500000 90.308 151.8386
170.000000 90.217 151.7908
172.500000 90.129 151.7831
175.000000 90.046 151.7462
177.500000 89.969 151.6788
180.000000 89.894 151.6457
182.500000 89.820 151.6573
185.000000 89.744 151.6531
187.500000 89.672 151.6537
190.000000 89.599 151.6552
192.500000 89.516 151.7075
195.000000 89.440 151.7874
197.500000 89.382 151.7568
200.000000 89.331 151.7280
203.000000 89.268 151.7452
206.000000 89.187 151.6805
209.000000 89.097 151.6597
212.000000 89.018 151.7025
214.000000 88.963 151.7139
218.000000 88.845 151.7816
220.000000 88.788 151.8326
224.000000 88.671 151.8582
227.000000 88.586 151.9034
230.000000 88.510 151.9965
233.000000 88.440 152.0720
236.000000 88.370 152.1416
240.000000 88.276 152.2645
243.000000 88.200 152.4075
247.000000 88.098 152.6165
250.000000 88.023 152.7703
254.000000 87.925 153.0154
258.000000 87.833 153.2031
262.000000 87.738 153.3752
265.000000 87.672 153.5117
269.000000 87.591 153.7520
272.000000 87.531 153.9804
276.000000 87.448 154.2646
280.000000 87.371 154.5008
285.000000 87.294 154.6867
290.000000 87.207 154.9222
295.000000 87.105 155.2592
300.000000 87.005 155.4504
304.000000 86.931 155.6967
307.000000 86.883 155.9083
311.000000 86.820 156.1754
315.000000 86.745 156.4448
320.000000 86.649 156.7783
325.000000 86.563 157.0892
330.000000 86.479 157.4487
335.000000 86.396 157.8123
340.000000 86.316 158.1920
345.000000 86.236 158.5352
350.000000 86.157 158.8408
355.000000 86.080 159.2001
360.000000 86.004 159.5746
365.000000 85.936 159.9706
370.000000 85.868 160.3606
375.000000 85.799 160.7401
382.000000 85.704 161.2894
387.000000 85.637 161.7350
395.000000 85.532 162.3722
400.000000 85.465 162.7524
406.000000 85.387 163.2113
412.000000 85.314 163.7079
418.000000 85.244 164.2134
425.000000 85.158 164.8552
431.000000 85.089 165.3357
437.000000 85.030 165.8361
444.000000 84.957 166.4339
450.000000 84.892 166.9647
455.000000 84.840 167.3810
462.000000 84.771 167.9831
468.000000 84.711 168.5177
475.000000 84.641 169.1489
482.000000 84.574 169.7794
487.000000 84.527 170.2346
494.000000 84.461 170.9263
500.000000 84.409 171.5424
508.000000 84.344 172.3630
515.000000 84.278 173.0783
522.000000 84.221 173.8179
530.000000 84.165 174.6028
538.000000 84.102 175.4272
545.000000 84.049 176.1807
552.000000 84.000 176.9319
560.000000 83.947 177.7460
570.000000 83.882 178.8754
580.000000 83.826 -179.9032
590.000000 83.778 -178.6552
600.000000 83.749 -177.3848
608.000000 83.730 -176.3942
615.000000 83.721 -175.4901
622.000000 83.721 -174.5841
630.000000 83.731 -173.5738
640.000000 83.755 -172.3250
650.000000 83.793 -171.1520
660.000000 83.839 -170.0166
670.000000 83.890 -168.9561
680.000000 83.949 -168.0026
690.000000 84.004 -167.1448
700.000000 84.059 -166.3649
710.000000 84.110 -165.6374
720.000000 84.158 -164.9378
730.000000 84.204 -164.2707
740.000000 84.245 -163.6216
750.000000 84.281 -162.9743
762.000000 84.320 -162.2128
775.000000 84.358 -161.3831
788.000000 84.391 -160.5228
800.000000 84.420 -159.7267
812.000000 84.450 -158.9242
825.000000 84.482 -158.0315
838.000000 84.512 -157.1389
850.000000 84.534 -156.3110
862.000000 84.549 -155.4312
875.000000 84.561 -154.3743
885.000000 84.569 -153.4711
900.000000 84.585 -151.8735
912.000000 84.624 -150.2968
925.000000 84.738 -148.3427
938.000000 84.958 -146.5586
950.000000 85.212 -145.5315
962.000000 85.445 -145.1009
975.000000 85.637 -144.9505
988.000000 85.775 -144.8082
1000.000000 85.877 -144.5878
1015.000000 85.992 -144.1916
1030.000000 86.102 -143.7093
1044.000000 86.205 -143.2344
1060.000000 86.326 -142.6818
1075.000000 86.441 -142.1607
1090.000000 86.558 -141.6531
1106.000000 86.684 -141.1280
1120.000000 86.794 -140.6828
1138.000000 86.937 -140.1444
1150.000000 87.032 -139.8069
1172.000000 87.205 -139.2144
1180.000000 87.267 -139.0072
1206.000000 87.469 -138.3662
1220.000000 87.576 -138.0448
1241.000000 87.735 -137.5853
1250.000000 87.802 -137.3950
1265.000000 87.914 -137.0861
1280.000000 88.024 -136.7868
1315.000000 88.278 -136.1186
1320.000000 88.314 -136.0263
1340.000000 88.459 -135.6642
1360.000000 88.604 -135.3073
1380.000000 88.749 -134.9645
1400.000000 88.894 -134.6326
1430.000000 89.113 -134.1514
1450.000000 89.260 -133.8412
1475.000000 89.446 -133.4675
1500.000000 89.635 -133.1194
1525.000000 89.825 -132.7987
1550.000000 90.019 -132.4992
1575.000000 90.216 -132.2257
1600.000000 90.417 -131.9852
1625.000000 90.622 -131.7811
1650.000000 90.831 -131.6208
1675.000000 91.042 -131.5077
1700.000000 91.256 -131.4463
1725.000000 91.473 -131.4344
1750.000000 91.692 -131.4748
1775.000000 91.914 -131.5724
1800.000000 92.138 -131.7309
1825.000000 92.364 -131.9518
1850.000000 92.591 -132.2378
1875.000000 92.818 -132.5970
1900.000000 93.043 -133.0327
1925.000000 93.268 -133.5443
1950.000000 93.490 -134.1335
1975.000000 93.708 -134.8062
2000.000000 93.923 -135.5645
2030.000000 94.174 -136.5808
2060.000000 94.414 -137.7161
2090.000000 94.643 -138.9696
2120.000000 94.857 -140.3326
2140.000000 94.990 -141.2987
2180.000000 95.231 -143.3560
2200.000000 95.337 -144.4386
2240.000000 95.521 -146.6887
2270.000000 95.629 -148.4306
2300.000000 95.713 -150.1944
2330.000000 95.771 -151.9588
2360.000000 95.803 -153.6978
2400.000000 95.805 -155.9290
2430.000000 95.779 -157.4993
2470.000000 95.713 -159.3942
2500.000000 95.647 -160.6300
2540.000000 95.553 -162.0088
2580.000000 95.474 -163.1493
2620.000000 95.419 -164.2261
2650.000000 95.385 -165.0830
2690.000000 95.328 -166.3055
2720.000000 95.268 -167.2246
2760.000000 95.167 -168.3610
2800.000000 95.048 -169.3443
2850.000000 94.887 -170.3300
2900.000000 94.725 -171.0507
2950.000000 94.569 -171.5408
3000.000000 94.425 -171.8304
3040.000000 94.322 -171.9381
3070.000000 94.252 -171.9574
3110.000000 94.169 -171.9130
3150.000000 94.100 -171.8013
3200.000000 94.033 -171.5794
3250.000000 93.987 -171.2881
3300.000000 93.965 -170.9533
3350.000000 93.964 -170.5916
3400.000000 93.987 -170.2280
3450.000000 94.032 -169.8782
3500.000000 94.100 -169.5594
3550.000000 94.192 -169.2872
3600.000000 94.306 -169.0817
3650.000000 94.443 -168.9691
3700.000000 94.604 -168.9766
3750.000000 94.785 -169.1337
3820.000000 95.071 -169.6666
3870.000000 95.293 -170.3104
3950.000000 95.666 -171.8912
4000.000000 95.898 -173.2598
4060.000000 96.162 -175.3015
4120.000000 96.394 -177.7486
4180.000000 96.587 179.4628
4250.000000 96.758 175.8243
4310.000000 96.853 172.3486
4370.000000 96.880 168.5247
4440.000000 96.795 163.7297
4500.000000 96.602 159.5370
4550.000000 96.355 156.1492
4620.000000 95.891 151.7930
4680.000000 95.404 148.5658
4750.000000 94.764 145.4882
4820.000000 94.077 143.1713
4870.000000 93.573 141.9733
4940.000000 92.864 140.8985
5000.000000 92.269 140.4839
5080.000000 91.508 140.5521
5150.000000 90.882 141.0909
5220.000000 90.296 141.9857
5300.000000 89.676 143.3578
5380.000000 89.109 145.0262
5450.000000 88.653 146.6854
5520.000000 88.233 148.4971
5600.000000 87.797 150.7175
5700.000000 87.312 153.6575
5800.000000 86.886 156.7232
