* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Jan 20, 2025 1:35:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Final E500 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 87.025 -94.6251
20.600000 87.112 -95.3046
20.900000 87.205 -96.0051
21.200001 87.299 -96.6712
21.400000 87.363 -97.1032
21.799999 87.499 -97.9764
22.000000 87.569 -98.4331
22.400000 87.703 -99.3997
22.700001 87.792 -100.1521
23.000000 87.867 -100.8909
23.299999 87.930 -101.5801
23.600000 87.988 -102.2000
24.000000 88.071 -102.9364
24.299999 88.147 -103.4682
24.700001 88.266 -104.2334
25.000000 88.364 -104.8812
25.400000 88.495 -105.8289
25.799999 88.617 -106.7994
26.200001 88.727 -107.7065
26.500000 88.805 -108.3182
26.900000 88.903 -109.0476
27.200001 88.973 -109.5484
27.600000 89.056 -110.1799
28.000000 89.129 -110.7861
28.500000 89.210 -111.5312
29.000000 89.292 -112.3116
29.500000 89.377 -113.1766
30.000000 89.465 -114.1052
30.400000 89.535 -114.8368
30.700001 89.591 -115.3534
31.100000 89.670 -115.9974
31.500000 89.753 -116.6143
32.000000 89.851 -117.3882
32.500000 89.929 -118.1561
33.000000 89.984 -118.8650
33.500000 90.035 -119.5043
34.000000 90.097 -120.1494
34.500000 90.171 -120.8871
35.000000 90.242 -121.7126
35.500000 90.303 -122.5245
36.000000 90.359 -123.2217
36.500000 90.420 -123.7948
37.000000 90.494 -124.3229
37.500000 90.572 -124.8937
38.200001 90.665 -125.7863
38.700001 90.714 -126.4131
39.500000 90.780 -127.2940
40.000000 90.828 -127.8306
40.599998 90.894 -128.5753
41.200001 90.957 -129.4356
41.799999 91.013 -130.2969
42.500000 91.080 -131.1660
43.099998 91.140 -131.7938
43.700001 91.190 -132.3486
44.400002 91.231 -132.9113
45.000000 91.261 -133.3475
45.500000 91.294 -133.7245
46.200001 91.353 -134.3230
46.799999 91.411 -134.8917
47.500000 91.469 -135.5763
48.200001 91.507 -136.2457
48.700001 91.522 -136.7048
49.400002 91.538 -137.3309
50.000000 91.560 -137.8610
50.799999 91.614 -138.5400
51.500000 91.677 -139.1042
52.200001 91.732 -139.6645
53.000000 91.761 -140.2872
53.799999 91.768 -140.8625
54.500000 91.786 -141.3671
55.200001 91.834 -141.9547
56.000000 91.901 -142.7494
57.000000 91.948 -143.6109
58.000000 91.976 -144.0773
59.000000 92.013 -144.6146
60.000000 92.024 -145.2753
60.799999 92.037 -145.7137
61.500000 92.063 -146.1089
62.200001 92.090 -146.5625
63.000000 92.113 -147.0873
64.000000 92.146 -147.6702
65.000000 92.196 -148.2794
66.000000 92.233 -148.9480
67.000000 92.250 -149.5331
68.000000 92.259 -150.0559
69.000000 92.262 -150.5514
70.000000 92.273 -151.0368
71.000000 92.296 -151.5718
72.000000 92.328 -152.1389
73.000000 92.354 -152.6769
74.000000 92.366 -153.1276
75.000000 92.374 -153.5774
76.199997 92.379 -154.1721
77.500000 92.396 -154.7072
78.800003 92.422 -155.2285
80.000000 92.433 -155.7206
81.199997 92.443 -156.2267
82.500000 92.458 -156.8469
83.800003 92.480 -157.4413
85.000000 92.497 -157.9158
86.199997 92.497 -158.2939
87.500000 92.499 -158.7130
88.500000 92.511 -159.0864
90.000000 92.534 -159.6587
91.199997 92.532 -160.0913
92.500000 92.524 -160.5173
93.800003 92.527 -160.9230
95.000000 92.531 -161.2884
96.199997 92.535 -161.6656
97.500000 92.544 -162.1007
98.800003 92.552 -162.5305
100.000000 92.553 -162.8984
101.500000 92.548 -163.3194
103.000000 92.546 -163.7342
104.400002 92.551 -164.1314
106.000000 92.559 -164.5756
107.500000 92.559 -164.9823
109.000000 92.554 -165.3611
110.599998 92.549 -165.7463
112.000000 92.547 -166.0844
113.800003 92.547 -166.5108
115.000000 92.544 -166.7956
117.199997 92.534 -167.3161
118.000000 92.529 -167.5218
120.599998 92.516 -168.1584
122.000000 92.520 -168.3929
124.099998 92.524 -168.8015
125.000000 92.522 -168.9961
126.500000 92.517 -169.2865
128.000000 92.511 -169.5513
131.500000 92.495 -170.2146
132.000000 92.493 -170.3036
134.000000 92.485 -170.6484
136.000000 92.463 -171.0099
138.000000 92.443 -171.3320
140.000000 92.436 -171.6353
143.000000 92.429 -172.1265
145.000000 92.413 -172.4364
147.500000 92.399 -172.7663
150.000000 92.395 -173.1926
152.500000 92.373 -173.5607
155.000000 92.360 -173.8753
157.500000 92.355 -174.2109
160.000000 92.348 -174.5140
162.500000 92.337 -174.8059
165.000000 92.316 -175.0970
167.500000 92.288 -175.4227
170.000000 92.266 -175.7433
172.500000 92.248 -176.0673
175.000000 92.230 -176.3075
177.500000 92.223 -176.5507
180.000000 92.216 -176.8239
182.500000 92.189 -177.1098
185.000000 92.163 -177.3092
187.500000 92.146 -177.5124
190.000000 92.138 -177.6860
192.500000 92.135 -177.7992
195.000000 92.116 -178.0581
197.500000 92.088 -178.4033
200.000000 92.063 -178.7556
203.000000 92.042 -178.9816
206.000000 92.024 -179.0810
209.000000 92.007 -179.2526
212.000000 91.987 -179.4929
214.000000 91.974 -179.6922
218.000000 91.945 179.9853
220.000000 91.929 179.8585
224.000000 91.904 179.5846
227.000000 91.879 179.3851
230.000000 91.853 179.2469
233.000000 91.830 179.0999
236.000000 91.805 178.9279
240.000000 91.768 178.6508
243.000000 91.751 178.5311
247.000000 91.729 178.3665
250.000000 91.713 178.2397
254.000000 91.691 178.0796
258.000000 91.663 177.9203
262.000000 91.639 177.7683
265.000000 91.623 177.5928
269.000000 91.596 177.3634
272.000000 91.577 177.2339
276.000000 91.555 177.0510
280.000000 91.532 176.8859
285.000000 91.489 176.7330
290.000000 91.439 176.5620
295.000000 91.403 176.3946
300.000000 91.363 176.2753
304.000000 91.330 176.1897
307.000000 91.307 176.1378
311.000000 91.278 176.1418
315.000000 91.256 176.1832
320.000000 91.239 176.1464
325.000000 91.223 176.0458
330.000000 91.201 175.9122
335.000000 91.174 175.7686
340.000000 91.147 175.6201
345.000000 91.114 175.4377
350.000000 91.080 175.2977
355.000000 91.048 175.1908
360.000000 91.023 175.0815
365.000000 90.993 174.9863
370.000000 90.958 174.8748
375.000000 90.919 174.7722
382.000000 90.865 174.7375
387.000000 90.828 174.7704
395.000000 90.788 174.8103
400.000000 90.765 174.7729
406.000000 90.733 174.7011
412.000000 90.703 174.6505
418.000000 90.668 174.6177
425.000000 90.628 174.5470
431.000000 90.590 174.5178
437.000000 90.557 174.5518
444.000000 90.518 174.5479
450.000000 90.483 174.5422
455.000000 90.452 174.5576
462.000000 90.413 174.5567
468.000000 90.379 174.5479
475.000000 90.343 174.5787
482.000000 90.305 174.6327
487.000000 90.274 174.6806
494.000000 90.231 174.7401
500.000000 90.195 174.7751
508.000000 90.151 174.7978
515.000000 90.116 174.8351
522.000000 90.080 174.9036
530.000000 90.035 175.0018
538.000000 89.991 175.0955
545.000000 89.955 175.1869
552.000000 89.919 175.3085
560.000000 89.877 175.4420
570.000000 89.830 175.5988
580.000000 89.783 175.7842
590.000000 89.733 175.9729
600.000000 89.685 176.1564
608.000000 89.648 176.3247
615.000000 89.617 176.4848
622.000000 89.584 176.6388
630.000000 89.549 176.8100
640.000000 89.507 177.0362
650.000000 89.464 177.2777
660.000000 89.422 177.5529
670.000000 89.381 177.8366
680.000000 89.341 178.1141
690.000000 89.298 178.3851
700.000000 89.253 178.6855
710.000000 89.203 179.0400
720.000000 89.157 179.4678
730.000000 89.125 179.9423
740.000000 89.102 -179.5833
750.000000 89.082 -179.1194
762.000000 89.066 -178.5774
775.000000 89.055 -178.0112
788.000000 89.049 -177.4485
800.000000 89.046 -176.9598
812.000000 89.050 -176.4841
825.000000 89.061 -176.0074
838.000000 89.075 -175.6443
850.000000 89.077 -175.4779
862.000000 89.030 -175.4011
875.000000 88.919 -174.8278
885.000000 88.866 -173.8043
900.000000 88.914 -172.2936
912.000000 88.994 -171.4993
925.000000 89.075 -170.8679
938.000000 89.149 -170.3207
950.000000 89.215 -169.8570
962.000000 89.281 -169.4419
975.000000 89.353 -169.0377
988.000000 89.426 -168.6643
1000.000000 89.496 -168.3471
1015.000000 89.586 -168.0066
1030.000000 89.677 -167.7159
1044.000000 89.763 -167.4944
1060.000000 89.864 -167.3179
1075.000000 89.958 -167.2247
1090.000000 90.051 -167.1988
1106.000000 90.145 -167.2430
1120.000000 90.223 -167.3460
1138.000000 90.316 -167.5598
1150.000000 90.370 -167.7582
1172.000000 90.452 -168.2389
1180.000000 90.476 -168.4451
1206.000000 90.515 -169.1757
1220.000000 90.507 -169.5793
1241.000000 90.452 -170.0864
1250.000000 90.413 -170.2220
1265.000000 90.335 -170.2628
1280.000000 90.254 -170.0283
1315.000000 90.152 -168.6374
1320.000000 90.153 -168.3947
1340.000000 90.193 -167.4622
1360.000000 90.276 -166.7233
1380.000000 90.380 -166.2278
1400.000000 90.486 -165.9409
1430.000000 90.630 -165.7820
1450.000000 90.713 -165.7757
1475.000000 90.803 -165.8303
1500.000000 90.880 -165.9085
1525.000000 90.948 -165.9926
1550.000000 91.007 -166.0723
1575.000000 91.061 -166.1442
1600.000000 91.112 -166.2049
1625.000000 91.160 -166.2505
1650.000000 91.206 -166.2858
1675.000000 91.251 -166.3154
1700.000000 91.294 -166.3393
1725.000000 91.338 -166.3571
1750.000000 91.383 -166.3705
1775.000000 91.428 -166.3783
1800.000000 91.474 -166.3863
1825.000000 91.520 -166.3947
1850.000000 91.567 -166.4030
1875.000000 91.614 -166.4193
1900.000000 91.663 -166.4420
1925.000000 91.712 -166.4716
1950.000000 91.762 -166.5077
1975.000000 91.812 -166.5493
2000.000000 91.864 -166.6016
2030.000000 91.927 -166.6792
2060.000000 91.991 -166.7750
2090.000000 92.056 -166.8902
2120.000000 92.121 -167.0290
2140.000000 92.164 -167.1352
2180.000000 92.250 -167.3780
2200.000000 92.292 -167.5143
2240.000000 92.375 -167.8151
2270.000000 92.435 -168.0641
2300.000000 92.494 -168.3356
2330.000000 92.552 -168.6286
2360.000000 92.608 -168.9421
2400.000000 92.678 -169.3878
2430.000000 92.728 -169.7400
2470.000000 92.791 -170.2365
2500.000000 92.835 -170.6295
2540.000000 92.890 -171.1788
2580.000000 92.938 -171.7529
2620.000000 92.979 -172.3399
2650.000000 93.005 -172.7835
2690.000000 93.037 -173.3803
2720.000000 93.058 -173.8381
2760.000000 93.082 -174.4633
2800.000000 93.102 -175.1013
2850.000000 93.120 -175.9294
2900.000000 93.129 -176.8181
2950.000000 93.120 -177.7771
3000.000000 93.083 -178.7502
3040.000000 93.033 -179.4712
3070.000000 92.987 -179.9569
3110.000000 92.919 179.4736
3150.000000 92.845 178.9880
3200.000000 92.747 178.4972
3250.000000 92.647 178.1568
3300.000000 92.550 177.9840
3350.000000 92.472 177.9733
3400.000000 92.426 178.0387
3450.000000 92.412 178.0173
3500.000000 92.412 177.8012
3550.000000 92.408 177.3922
3600.000000 92.383 176.8403
3650.000000 92.331 176.2518
3700.000000 92.254 175.7201
3750.000000 92.161 175.2878
3820.000000 92.018 174.8618
3870.000000 91.914 174.6715
3950.000000 91.747 174.5267
4000.000000 91.646 174.5208
4060.000000 91.526 174.6005
4120.000000 91.412 174.7727
4180.000000 91.306 175.0207
4250.000000 91.194 175.3658
4310.000000 91.106 175.6928
4370.000000 91.021 176.0538
4440.000000 90.927 176.5360
4500.000000 90.854 177.0046
4550.000000 90.800 177.4279
4620.000000 90.734 178.0624
4680.000000 90.689 178.6332
4750.000000 90.648 179.3194
4820.000000 90.621 -179.9747
4870.000000 90.610 -179.4660
4940.000000 90.606 -178.7609
5000.000000 90.615 -178.1763
5080.000000 90.640 -177.4403
5150.000000 90.670 -176.8376
5220.000000 90.709 -176.2604
5300.000000 90.767 -175.6358
5380.000000 90.839 -175.0693
5450.000000 90.913 -174.6376
