* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Jan 20, 2025 1:37:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Final E500 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.340 -98.3367
20.600000 86.432 -98.9412
20.900000 86.538 -99.6001
21.200001 86.647 -100.2841
21.400000 86.719 -100.7573
21.799999 86.857 -101.7389
22.000000 86.920 -102.2383
22.400000 87.031 -103.2240
22.700001 87.103 -103.9314
23.000000 87.168 -104.6027
23.299999 87.231 -105.2436
23.600000 87.295 -105.8712
24.000000 87.388 -106.7272
24.299999 87.464 -107.4062
24.700001 87.566 -108.3614
25.000000 87.640 -109.0874
25.400000 87.731 -110.0016
25.799999 87.817 -110.7940
26.200001 87.907 -111.4628
26.500000 87.979 -111.9273
26.900000 88.080 -112.5795
27.200001 88.153 -113.1288
27.600000 88.235 -113.9305
28.000000 88.299 -114.7352
28.500000 88.370 -115.6169
29.000000 88.458 -116.3475
29.500000 88.572 -117.0691
30.000000 88.687 -117.8976
30.400000 88.757 -118.6096
30.700001 88.794 -119.1254
31.100000 88.829 -119.7447
31.500000 88.861 -120.2818
32.000000 88.914 -120.9093
32.500000 88.986 -121.5949
33.000000 89.067 -122.3932
33.500000 89.142 -123.2701
34.000000 89.202 -124.1311
34.500000 89.251 -124.8756
35.000000 89.305 -125.4729
35.500000 89.378 -126.0089
36.000000 89.465 -126.6204
36.500000 89.544 -127.3573
37.000000 89.594 -128.1297
37.500000 89.620 -128.8039
38.200001 89.659 -129.5365
38.700001 89.708 -130.0321
39.500000 89.810 -130.9377
40.000000 89.874 -131.5211
40.599998 89.942 -132.1679
41.200001 89.997 -132.7554
41.799999 90.038 -133.3054
42.500000 90.084 -133.9621
43.099998 90.136 -134.6382
43.700001 90.191 -135.4362
44.400002 90.237 -136.3124
45.000000 90.265 -136.8094
45.500000 90.293 -137.0577
46.200001 90.343 -137.4036
46.799999 90.375 -137.8717
47.500000 90.389 -138.5807
48.200001 90.407 -139.3358
48.700001 90.436 -139.8837
49.400002 90.487 -140.6265
50.000000 90.526 -141.1481
50.799999 90.568 -141.6193
51.500000 90.597 -141.9741
52.200001 90.614 -142.4051
53.000000 90.632 -142.9470
53.799999 90.675 -143.5689
54.500000 90.718 -144.2803
55.200001 90.731 -145.0199
56.000000 90.726 -145.5993
57.000000 90.772 -146.0697
58.000000 90.841 -146.7301
59.000000 90.882 -147.3939
60.000000 90.926 -148.0481
60.799999 90.960 -148.6273
61.500000 90.982 -149.1077
62.200001 90.996 -149.5310
63.000000 91.003 -149.9486
64.000000 91.023 -150.4898
65.000000 91.056 -151.1625
66.000000 91.083 -151.7877
67.000000 91.104 -152.2791
68.000000 91.118 -152.7831
69.000000 91.120 -153.3185
70.000000 91.118 -153.7724
71.000000 91.130 -154.2161
72.000000 91.151 -154.7432
73.000000 91.171 -155.2606
74.000000 91.187 -155.6957
75.000000 91.203 -156.1016
76.199997 91.225 -156.6219
77.500000 91.247 -157.1777
78.800003 91.244 -157.7163
80.000000 91.243 -158.2109
81.199997 91.263 -158.7334
82.500000 91.279 -159.3165
83.800003 91.273 -159.8632
85.000000 91.276 -160.3085
86.199997 91.297 -160.7619
87.500000 91.313 -161.2558
88.500000 91.315 -161.5283
90.000000 91.324 -161.9013
91.199997 91.329 -162.3166
92.500000 91.332 -162.8165
93.800003 91.333 -163.2886
95.000000 91.334 -163.6479
96.199997 91.335 -163.9988
97.500000 91.330 -164.3793
98.800003 91.328 -164.7412
100.000000 91.330 -165.0858
101.500000 91.332 -165.4980
103.000000 91.328 -165.9294
104.400002 91.317 -166.3535
106.000000 91.308 -166.7846
107.500000 91.306 -167.1234
109.000000 91.304 -167.4976
110.599998 91.304 -167.8888
112.000000 91.306 -168.2173
113.800003 91.305 -168.6445
115.000000 91.299 -168.9144
117.199997 91.289 -169.3804
118.000000 91.290 -169.5289
120.599998 91.288 -169.9944
122.000000 91.275 -170.3433
124.099998 91.260 -170.8163
125.000000 91.255 -171.0019
126.500000 91.246 -171.3090
128.000000 91.235 -171.6214
131.500000 91.213 -172.1991
132.000000 91.211 -172.2774
134.000000 91.207 -172.6332
136.000000 91.199 -173.0086
138.000000 91.178 -173.3532
140.000000 91.155 -173.6412
143.000000 91.141 -174.0887
145.000000 91.132 -174.3615
147.500000 91.115 -174.7547
150.000000 91.101 -175.1418
152.500000 91.082 -175.5208
155.000000 91.053 -175.8804
157.500000 91.017 -176.2536
160.000000 91.006 -176.5990
162.500000 90.994 -176.8031
165.000000 90.970 -177.0391
167.500000 90.950 -177.3386
170.000000 90.930 -177.6082
172.500000 90.922 -177.8362
175.000000 90.921 -178.1312
177.500000 90.916 -178.4095
180.000000 90.895 -178.7126
182.500000 90.862 -178.9682
185.000000 90.840 -179.1283
187.500000 90.826 -179.3226
190.000000 90.802 -179.6037
192.500000 90.774 -179.9054
195.000000 90.756 179.9519
197.500000 90.748 179.7850
200.000000 90.735 179.6019
203.000000 90.696 179.3271
206.000000 90.656 179.0624
209.000000 90.630 178.8981
212.000000 90.609 178.6823
214.000000 90.594 178.5546
218.000000 90.561 178.3040
220.000000 90.534 178.2421
224.000000 90.491 178.1097
227.000000 90.473 177.8705
230.000000 90.452 177.6600
233.000000 90.426 177.4375
236.000000 90.393 177.3004
240.000000 90.351 177.1420
243.000000 90.344 176.9539
247.000000 90.328 176.6895
250.000000 90.300 176.5575
254.000000 90.260 176.3914
258.000000 90.228 176.2506
262.000000 90.199 176.0897
265.000000 90.172 175.9644
269.000000 90.140 175.7763
272.000000 90.115 175.6365
276.000000 90.076 175.4719
280.000000 90.033 175.3757
285.000000 89.984 175.3147
290.000000 89.941 175.2713
295.000000 89.916 175.2338
300.000000 89.887 174.9884
304.000000 89.859 174.8983
307.000000 89.839 174.8312
311.000000 89.810 174.6986
315.000000 89.777 174.5930
320.000000 89.724 174.5107
325.000000 89.677 174.4948
330.000000 89.647 174.5771
335.000000 89.629 174.6317
340.000000 89.614 174.5546
345.000000 89.588 174.4580
350.000000 89.555 174.3535
355.000000 89.520 174.2280
360.000000 89.485 174.1430
365.000000 89.451 174.0556
370.000000 89.415 173.9573
375.000000 89.376 173.8878
382.000000 89.325 173.8447
387.000000 89.292 173.8337
395.000000 89.234 173.8827
400.000000 89.194 173.9260
406.000000 89.155 173.9374
412.000000 89.120 173.9460
418.000000 89.077 173.9276
425.000000 89.036 173.9456
431.000000 89.000 173.9433
437.000000 88.960 173.9393
444.000000 88.918 174.0086
450.000000 88.879 174.0778
455.000000 88.844 174.0933
462.000000 88.797 174.1245
468.000000 88.761 174.1523
475.000000 88.722 174.2112
482.000000 88.681 174.3042
487.000000 88.649 174.4104
494.000000 88.605 174.5410
500.000000 88.567 174.6386
508.000000 88.518 174.7463
515.000000 88.476 174.8641
522.000000 88.436 175.0036
530.000000 88.392 175.1814
538.000000 88.349 175.3380
545.000000 88.311 175.4737
552.000000 88.273 175.6274
560.000000 88.229 175.8331
570.000000 88.178 176.0866
580.000000 88.129 176.3523
590.000000 88.082 176.6483
600.000000 88.038 176.9367
608.000000 87.999 177.1487
615.000000 87.965 177.3453
622.000000 87.934 177.5656
630.000000 87.900 177.8289
640.000000 87.861 178.1588
650.000000 87.821 178.4791
660.000000 87.781 178.8118
670.000000 87.747 179.1617
680.000000 87.714 179.5057
690.000000 87.675 179.8532
700.000000 87.633 -179.7625
710.000000 87.590 -179.3362
720.000000 87.554 -178.8487
730.000000 87.529 -178.3501
740.000000 87.511 -177.8509
750.000000 87.495 -177.3460
762.000000 87.479 -176.7533
775.000000 87.468 -176.1216
788.000000 87.461 -175.5032
800.000000 87.457 -174.9430
812.000000 87.456 -174.3672
825.000000 87.460 -173.7277
838.000000 87.468 -173.0515
850.000000 87.480 -172.4163
862.000000 87.499 -171.7849
875.000000 87.529 -171.0831
885.000000 87.561 -170.5473
900.000000 87.624 -169.7812
912.000000 87.684 -169.2197
925.000000 87.758 -168.6836
938.000000 87.835 -168.2291
950.000000 87.909 -167.8706
962.000000 87.980 -167.5595
975.000000 88.055 -167.2564
988.000000 88.131 -166.9905
1000.000000 88.202 -166.7760
1015.000000 88.292 -166.5950
1030.000000 88.377 -166.4700
1044.000000 88.454 -166.3938
1060.000000 88.538 -166.3837
1075.000000 88.610 -166.4435
1090.000000 88.675 -166.5462
1106.000000 88.736 -166.6848
1120.000000 88.781 -166.8347
1138.000000 88.827 -167.0433
1150.000000 88.851 -167.1823
1172.000000 88.877 -167.4311
1180.000000 88.882 -167.5182
1206.000000 88.883 -167.7453
1220.000000 88.876 -167.8176
1241.000000 88.856 -167.8618
1250.000000 88.846 -167.8488
1265.000000 88.830 -167.7856
1280.000000 88.812 -167.6784
1315.000000 88.778 -167.2626
1320.000000 88.774 -167.1876
1340.000000 88.762 -166.8585
1360.000000 88.756 -166.4936
1380.000000 88.758 -166.1056
1400.000000 88.766 -165.7021
1430.000000 88.789 -165.0716
1450.000000 88.811 -164.6530
1475.000000 88.847 -164.1391
1500.000000 88.890 -163.6421
1525.000000 88.938 -163.1618
1550.000000 88.990 -162.6913
1575.000000 89.047 -162.2498
1600.000000 89.108 -161.8246
1625.000000 89.172 -161.4199
1650.000000 89.239 -161.0332
1675.000000 89.307 -160.6647
1700.000000 89.378 -160.3104
1725.000000 89.453 -159.9679
1750.000000 89.528 -159.6472
1775.000000 89.606 -159.3472
1800.000000 89.686 -159.0630
1825.000000 89.768 -158.8012
1850.000000 89.852 -158.5584
1875.000000 89.938 -158.3296
1900.000000 90.025 -158.1199
1925.000000 90.114 -157.9286
1950.000000 90.205 -157.7592
1975.000000 90.297 -157.6113
2000.000000 90.391 -157.4813
2030.000000 90.504 -157.3559
2060.000000 90.620 -157.2633
2090.000000 90.736 -157.2054
2120.000000 90.854 -157.1837
2140.000000 90.933 -157.1891
2180.000000 91.092 -157.2473
2200.000000 91.172 -157.2985
2240.000000 91.332 -157.4528
2270.000000 91.452 -157.6180
2300.000000 91.571 -157.8202
2330.000000 91.689 -158.0571
2360.000000 91.805 -158.3362
2400.000000 91.958 -158.7723
2430.000000 92.071 -159.1423
2470.000000 92.217 -159.6948
2500.000000 92.322 -160.1553
2540.000000 92.457 -160.8269
2580.000000 92.586 -161.5646
2620.000000 92.706 -162.3647
2650.000000 92.790 -163.0008
2690.000000 92.894 -163.8929
2720.000000 92.965 -164.5939
2760.000000 93.050 -165.5656
2800.000000 93.123 -166.5743
2850.000000 93.196 -167.8714
2900.000000 93.249 -169.1916
2950.000000 93.282 -170.5250
3000.000000 93.292 -171.8537
3040.000000 93.285 -172.8961
3070.000000 93.270 -173.6553
3110.000000 93.240 -174.6249
3150.000000 93.197 -175.5333
3200.000000 93.133 -176.5552
3250.000000 93.063 -177.4380
3300.000000 92.998 -178.2099
3350.000000 92.943 -178.9440
3400.000000 92.893 -179.7211
3450.000000 92.835 179.4442
3500.000000 92.763 178.5904
3550.000000 92.673 177.7675
3600.000000 92.569 177.0109
3650.000000 92.454 176.3416
3700.000000 92.330 175.7701
3750.000000 92.202 175.2965
3820.000000 92.020 174.7946
3870.000000 91.890 174.5447
3950.000000 91.686 174.3093
4000.000000 91.563 174.2569
4060.000000 91.419 174.2861
4120.000000 91.282 174.4051
4180.000000 91.155 174.6007
4250.000000 91.017 174.9139
4310.000000 90.911 175.2443
4370.000000 90.816 175.6059
4440.000000 90.716 176.0282
4500.000000 90.631 176.4099
4550.000000 90.562 176.7903
4620.000000 90.484 177.4215
4680.000000 90.436 177.9325
4750.000000 90.384 178.4919
4820.000000 90.337 179.0878
4870.000000 90.311 179.5341
4940.000000 90.286 -179.8275
5000.000000 90.276 -179.2844
5080.000000 90.275 -178.5985
5150.000000 90.284 -178.0332
5220.000000 90.300 -177.4994
5300.000000 90.327 -176.9263
5380.000000 90.362 -176.3931
