* Measurement data measured by REW V5.30
* Source: EXCL: Q5K Mic (Qudelix-5K USB DAC/MIC 48KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Feb 25, 2024 3:01:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hisen Mega5EST (AET07) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.672 -152.2214
20.600000 86.702 -153.1180
20.900000 86.732 -154.0841
21.200001 86.759 -155.0472
21.400000 86.778 -155.6844
21.799999 86.815 -156.9457
22.000000 86.834 -157.5684
22.400000 86.874 -158.7932
22.700001 86.902 -159.6895
23.000000 86.929 -160.5619
23.299999 86.953 -161.4066
23.600000 86.973 -162.2209
24.000000 86.996 -163.2608
24.299999 87.012 -164.0143
24.700001 87.035 -165.0066
25.000000 87.053 -165.7600
25.400000 87.078 -166.7961
25.799999 87.101 -167.8669
26.200001 87.118 -168.9430
26.500000 87.126 -169.7268
26.900000 87.136 -170.7140
27.200001 87.144 -171.4090
27.600000 87.160 -172.2997
28.000000 87.182 -173.1964
28.500000 87.209 -174.3870
29.000000 87.224 -175.6568
29.500000 87.225 -176.9332
30.000000 87.221 -178.1348
30.400000 87.223 -179.0224
30.700001 87.230 -179.6527
31.100000 87.246 179.5373
31.500000 87.262 178.7489
32.000000 87.273 177.7931
32.500000 87.270 176.8829
33.000000 87.255 176.0172
33.500000 87.239 175.1588
34.000000 87.231 174.2448
34.500000 87.233 173.2270
35.000000 87.236 172.1167
35.500000 87.232 170.9939
36.000000 87.221 169.9556
36.500000 87.208 169.0404
37.000000 87.200 168.2024
37.500000 87.196 167.3669
38.200001 87.185 166.1637
38.700001 87.176 165.3235
39.500000 87.172 164.0181
40.000000 87.170 163.1756
40.599998 87.151 162.1457
41.200001 87.117 161.1590
41.799999 87.085 160.2142
42.500000 87.064 159.1037
43.099998 87.053 158.1909
43.700001 87.046 157.3806
44.400002 87.043 156.4688
45.000000 87.027 155.5793
45.500000 86.992 154.7704
46.200001 86.931 153.6560
46.799999 86.899 152.7473
47.500000 86.891 151.6768
48.200001 86.884 150.6182
48.700001 86.869 149.9283
49.400002 86.834 149.0770
50.000000 86.801 148.4017
50.799999 86.767 147.4556
51.500000 86.742 146.5309
52.200001 86.708 145.5766
53.000000 86.660 144.5766
53.799999 86.618 143.6479
54.500000 86.586 142.8036
55.200001 86.556 141.9372
56.000000 86.529 140.9612
57.000000 86.504 139.7162
58.000000 86.459 138.4703
59.000000 86.396 137.3101
60.000000 86.335 136.1929
60.799999 86.290 135.2982
61.500000 86.253 134.4959
62.200001 86.216 133.6572
63.000000 86.174 132.6570
64.000000 86.114 131.4669
65.000000 86.056 130.4808
66.000000 86.010 129.5306
67.000000 85.960 128.5073
68.000000 85.910 127.5219
69.000000 85.858 126.5463
70.000000 85.792 125.5665
71.000000 85.727 124.5656
72.000000 85.667 123.5561
73.000000 85.612 122.6484
74.000000 85.561 121.7997
75.000000 85.506 120.9056
76.199997 85.436 119.7671
77.500000 85.362 118.5953
78.800003 85.290 117.4847
80.000000 85.216 116.4402
81.199997 85.147 115.3887
82.500000 85.076 114.3112
83.800003 85.005 113.2898
85.000000 84.937 112.3181
86.199997 84.866 111.3439
87.500000 84.793 110.3218
88.500000 84.743 109.5256
90.000000 84.662 108.3626
91.199997 84.594 107.5144
92.500000 84.523 106.5498
93.800003 84.443 105.5808
95.000000 84.366 104.7525
96.199997 84.295 103.9463
97.500000 84.224 103.0417
98.800003 84.152 102.1458
100.000000 84.085 101.3711
101.500000 84.003 100.4303
103.000000 83.923 99.4768
104.400002 83.850 98.5793
106.000000 83.767 97.5967
107.500000 83.688 96.6951
109.000000 83.598 95.8042
110.599998 83.501 94.8806
112.000000 83.431 94.0661
113.800003 83.348 93.0186
115.000000 83.288 92.3194
117.199997 83.166 91.0728
118.000000 83.121 90.6239
120.599998 82.987 89.2167
122.000000 82.922 88.5874
124.099998 82.831 87.6206
125.000000 82.792 87.1714
126.500000 82.724 86.3599
128.000000 82.659 85.5532
131.500000 82.494 83.8742
132.000000 82.468 83.6354
134.000000 82.364 82.7195
136.000000 82.278 81.8810
138.000000 82.189 81.0238
140.000000 82.097 80.1594
143.000000 81.980 78.9951
145.000000 81.913 78.2040
147.500000 81.817 77.2070
150.000000 81.715 76.2182
152.500000 81.614 75.3004
155.000000 81.518 74.3964
157.500000 81.425 73.5084
160.000000 81.343 72.6541
162.500000 81.266 71.8108
165.000000 81.190 70.9108
167.500000 81.116 70.0176
170.000000 81.042 69.2163
172.500000 80.961 68.4525
175.000000 80.882 67.6586
177.500000 80.812 66.9244
180.000000 80.732 66.2893
182.500000 80.640 65.5660
185.000000 80.554 64.9056
187.500000 80.462 64.3055
190.000000 80.406 63.5857
192.500000 80.386 63.0182
195.000000 80.387 62.3726
197.500000 80.390 61.7389
200.000000 80.358 61.1224
203.000000 80.296 60.2210
206.000000 80.238 59.2792
209.000000 80.189 58.4493
212.000000 80.136 57.6433
214.000000 80.101 57.1012
218.000000 80.037 56.0473
220.000000 80.006 55.5567
224.000000 79.948 54.5896
227.000000 79.906 53.8464
230.000000 79.863 53.1113
233.000000 79.822 52.4220
236.000000 79.781 51.7461
240.000000 79.729 50.8889
243.000000 79.696 50.3086
247.000000 79.664 49.5916
250.000000 79.654 48.9822
254.000000 79.643 48.0549
258.000000 79.620 47.0782
262.000000 79.594 46.1378
265.000000 79.573 45.4744
269.000000 79.550 44.6098
272.000000 79.534 43.9719
276.000000 79.518 43.1060
280.000000 79.500 42.2482
285.000000 79.483 41.1951
290.000000 79.463 40.1109
295.000000 79.442 39.1257
300.000000 79.429 38.0823
304.000000 79.419 37.2522
307.000000 79.407 36.6091
311.000000 79.391 35.8774
315.000000 79.391 35.1270
320.000000 79.384 34.0862
325.000000 79.379 33.1404
330.000000 79.378 32.1407
335.000000 79.370 31.1532
340.000000 79.360 30.2062
345.000000 79.352 29.3025
350.000000 79.347 28.3912
355.000000 79.346 27.4502
360.000000 79.345 26.5157
365.000000 79.345 25.5940
370.000000 79.344 24.7046
375.000000 79.343 23.8195
382.000000 79.339 22.5680
387.000000 79.337 21.6821
395.000000 79.334 20.2437
400.000000 79.333 19.3843
406.000000 79.333 18.3678
412.000000 79.333 17.3524
418.000000 79.332 16.3436
425.000000 79.328 15.1746
431.000000 79.326 14.1876
437.000000 79.326 13.2134
444.000000 79.327 12.1017
450.000000 79.326 11.1606
455.000000 79.323 10.3853
462.000000 79.318 9.2969
468.000000 79.315 8.3793
475.000000 79.311 7.3336
482.000000 79.305 6.2913
487.000000 79.300 5.5618
494.000000 79.292 4.5581
500.000000 79.286 3.7106
508.000000 79.277 2.6030
515.000000 79.268 1.6597
522.000000 79.259 0.7437
530.000000 79.252 -0.2638
538.000000 79.246 -1.2660
545.000000 79.242 -2.1277
552.000000 79.241 -2.9822
560.000000 79.237 -3.9506
570.000000 79.232 -5.1545
580.000000 79.227 -6.3321
590.000000 79.218 -7.4838
600.000000 79.208 -8.6209
608.000000 79.198 -9.5090
615.000000 79.189 -10.2715
622.000000 79.180 -11.0117
630.000000 79.171 -11.8320
640.000000 79.158 -12.8318
650.000000 79.147 -13.8011
660.000000 79.135 -14.7446
670.000000 79.122 -15.6613
680.000000 79.110 -16.5455
690.000000 79.098 -17.4088
700.000000 79.087 -18.2440
710.000000 79.078 -19.0515
720.000000 79.070 -19.8278
730.000000 79.063 -20.5875
740.000000 79.055 -21.3306
750.000000 79.049 -22.0494
762.000000 79.044 -22.8792
775.000000 79.040 -23.7486
788.000000 79.036 -24.5853
800.000000 79.036 -25.3212
812.000000 79.037 -26.0438
825.000000 79.040 -26.7958
838.000000 79.042 -27.5060
850.000000 79.047 -28.1362
862.000000 79.056 -28.7409
875.000000 79.066 -29.3479
885.000000 79.076 -29.7725
900.000000 79.097 -30.3419
912.000000 79.119 -30.7394
925.000000 79.155 -31.1294
938.000000 79.205 -31.5074
950.000000 79.264 -31.8524
962.000000 79.334 -32.2197
975.000000 79.420 -32.6710
988.000000 79.514 -33.2003
1000.000000 79.603 -33.7532
1015.000000 79.717 -34.5228
1030.000000 79.828 -35.3682
1044.000000 79.927 -36.2053
1060.000000 80.035 -37.2018
1075.000000 80.131 -38.1678
1090.000000 80.223 -39.1608
1106.000000 80.316 -40.2360
1120.000000 80.394 -41.1933
1138.000000 80.489 -42.4334
1150.000000 80.548 -43.2682
1172.000000 80.649 -44.8137
1180.000000 80.683 -45.3752
1206.000000 80.787 -47.1979
1220.000000 80.838 -48.1697
1241.000000 80.906 -49.6106
1250.000000 80.933 -50.2233
1265.000000 80.975 -51.2360
1280.000000 81.015 -52.2335
1315.000000 81.095 -54.4972
1320.000000 81.106 -54.8132
1340.000000 81.144 -56.0587
1360.000000 81.178 -57.2708
1380.000000 81.210 -58.4498
1400.000000 81.239 -59.5927
1430.000000 81.280 -61.2493
1450.000000 81.305 -62.3153
1475.000000 81.335 -63.6010
1500.000000 81.364 -64.8383
1525.000000 81.393 -66.0237
1550.000000 81.422 -67.1635
1575.000000 81.453 -68.2628
1600.000000 81.484 -69.3235
1625.000000 81.517 -70.3477
1650.000000 81.552 -71.3356
1675.000000 81.590 -72.2921
1700.000000 81.631 -73.2153
1725.000000 81.675 -74.1106
1750.000000 81.722 -74.9834
1775.000000 81.772 -75.8351
1800.000000 81.826 -76.6728
1825.000000 81.883 -77.5012
1850.000000 81.944 -78.3192
1875.000000 82.007 -79.1261
1900.000000 82.072 -79.9261
1925.000000 82.142 -80.7206
1950.000000 82.214 -81.5074
1975.000000 82.290 -82.2924
2000.000000 82.368 -83.0765
2030.000000 82.465 -84.0111
2060.000000 82.566 -84.9470
2090.000000 82.673 -85.8854
2120.000000 82.785 -86.8351
2140.000000 82.861 -87.4745
2180.000000 83.019 -88.7723
2200.000000 83.100 -89.4337
2240.000000 83.267 -90.7877
2270.000000 83.396 -91.8307
2300.000000 83.527 -92.8960
2330.000000 83.662 -93.9878
2360.000000 83.799 -95.1082
2400.000000 83.984 -96.6547
2430.000000 84.125 -97.8549
2470.000000 84.314 -99.5148
2500.000000 84.457 -100.8077
2540.000000 84.647 -102.5960
2580.000000 84.835 -104.4647
2620.000000 85.020 -106.4130
2650.000000 85.155 -107.9252
2690.000000 85.330 -110.0084
2720.000000 85.457 -111.6196
2760.000000 85.620 -113.8312
2800.000000 85.772 -116.1190
2850.000000 85.947 -119.0822
2900.000000 86.100 -122.1483
2950.000000 86.227 -125.2959
3000.000000 86.325 -128.4955
3040.000000 86.382 -131.0685
3070.000000 86.411 -132.9926
3110.000000 86.435 -135.5377
3150.000000 86.440 -138.0474
3200.000000 86.424 -141.1161
3250.000000 86.385 -144.0933
3300.000000 86.326 -146.9731
3350.000000 86.250 -149.7589
3400.000000 86.157 -152.4384
3450.000000 86.051 -154.9875
3500.000000 85.937 -157.3892
3550.000000 85.818 -159.6505
3600.000000 85.700 -161.7863
3650.000000 85.585 -163.8174
3700.000000 85.475 -165.7674
3750.000000 85.370 -167.6596
3820.000000 85.228 -170.2493
3870.000000 85.127 -172.0677
3950.000000 84.962 -174.9156
4000.000000 84.857 -176.6488
4060.000000 84.731 -178.6880
4120.000000 84.602 179.3142
4180.000000 84.473 177.3533
4250.000000 84.319 175.0966
4310.000000 84.183 173.1704
4370.000000 84.038 171.2547
4440.000000 83.856 169.0450
4500.000000 83.684 167.1900
4550.000000 83.529 165.6913
4620.000000 83.294 163.6994
4680.000000 83.078 162.1185
4750.000000 82.814 160.4446
4820.000000 82.541 158.9739
4870.000000 82.344 158.0532
4940.000000 82.069 156.9518
5000.000000 81.839 156.1890
5080.000000 81.540 155.4099
5150.000000 81.288 154.9099
5220.000000 81.048 154.5634
5300.000000 80.796 154.3376
5380.000000 80.570 154.2437
5450.000000 80.392 154.2343
5520.000000 80.231 154.2743
5600.000000 80.064 154.3661
5700.000000 79.878 154.5490
5800.000000 79.714 154.8273
5900.000000 79.573 155.2078
