* Measurement data measured by REW V5.30
* Source: EXCL: Q5K Mic (Qudelix-5K USB DAC/MIC 48KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Feb 25, 2024 3:03:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hisen Mega5EST (AET07) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.840 -153.2780
20.600000 86.869 -154.1567
20.900000 86.897 -155.0892
21.200001 86.925 -156.0083
21.400000 86.944 -156.6161
21.799999 86.984 -157.8359
22.000000 87.004 -158.4523
22.400000 87.042 -159.6985
22.700001 87.066 -160.6373
23.000000 87.087 -161.5701
23.299999 87.106 -162.4895
23.600000 87.123 -163.3912
24.000000 87.146 -164.5596
24.299999 87.162 -165.4039
24.700001 87.183 -166.4720
25.000000 87.200 -167.2222
25.400000 87.224 -168.1598
25.799999 87.253 -169.0585
26.200001 87.284 -169.9708
26.500000 87.304 -170.6886
26.900000 87.321 -171.6942
27.200001 87.327 -172.4689
27.600000 87.327 -173.4946
28.000000 87.327 -174.4867
28.500000 87.336 -175.6807
29.000000 87.355 -176.8496
29.500000 87.371 -177.9880
30.000000 87.377 -179.0563
30.400000 87.378 -179.8557
30.700001 87.379 179.5574
31.100000 87.384 178.7546
31.500000 87.390 177.8995
32.000000 87.397 176.7664
32.500000 87.399 175.6333
33.000000 87.401 174.5769
33.500000 87.404 173.6186
34.000000 87.406 172.7302
34.500000 87.401 171.8682
35.000000 87.390 170.9921
35.500000 87.375 170.0687
36.000000 87.361 169.0892
36.500000 87.347 168.0874
37.000000 87.334 167.1241
37.500000 87.325 166.2429
38.200001 87.316 165.1236
38.700001 87.308 164.3444
39.500000 87.282 163.0668
40.000000 87.263 162.2487
40.599998 87.250 161.2309
41.200001 87.240 160.1663
41.799999 87.221 159.1256
42.500000 87.188 158.0689
43.099998 87.169 157.2522
43.700001 87.161 156.3597
44.400002 87.137 155.1754
45.000000 87.096 154.1951
45.500000 87.061 153.4832
46.200001 87.034 152.5744
46.799999 87.027 151.7552
47.500000 87.021 150.7236
48.200001 87.008 149.6795
48.700001 86.993 148.9572
49.400002 86.962 148.0041
50.000000 86.930 147.2382
50.799999 86.887 146.2088
51.500000 86.848 145.2567
52.200001 86.807 144.3162
53.000000 86.773 143.2922
53.799999 86.748 142.2460
54.500000 86.713 141.3195
55.200001 86.663 140.4671
56.000000 86.606 139.5872
57.000000 86.557 138.4439
58.000000 86.514 137.2149
59.000000 86.467 136.1370
60.000000 86.428 135.1234
60.799999 86.389 134.1896
61.500000 86.342 133.3540
62.200001 86.298 132.5802
63.000000 86.259 131.7266
64.000000 86.209 130.6312
65.000000 86.150 129.5923
66.000000 86.100 128.5678
67.000000 86.046 127.5002
68.000000 85.987 126.4900
69.000000 85.933 125.5348
70.000000 85.875 124.5889
71.000000 85.813 123.6593
72.000000 85.754 122.7176
73.000000 85.696 121.7593
74.000000 85.634 120.8075
75.000000 85.573 119.8858
76.199997 85.509 118.8251
77.500000 85.439 117.6961
78.800003 85.361 116.5510
80.000000 85.291 115.4957
81.199997 85.220 114.5012
82.500000 85.145 113.4559
83.800003 85.074 112.4047
85.000000 85.004 111.4711
86.199997 84.929 110.5653
87.500000 84.856 109.5899
88.500000 84.801 108.8551
90.000000 84.711 107.7631
91.199997 84.638 106.8578
92.500000 84.557 105.8894
93.800003 84.480 104.9434
95.000000 84.415 104.0684
96.199997 84.351 103.2363
97.500000 84.278 102.3878
98.800003 84.203 101.5585
100.000000 84.134 100.8210
101.500000 84.047 99.8653
103.000000 83.964 98.9011
104.400002 83.892 98.0500
106.000000 83.806 97.0744
107.500000 83.721 96.1833
109.000000 83.638 95.3427
110.599998 83.551 94.4226
112.000000 83.475 93.6185
113.800003 83.382 92.6052
115.000000 83.319 91.9597
117.199997 83.203 90.8183
118.000000 83.159 90.4190
120.599998 83.022 89.1443
122.000000 82.960 88.4022
124.099998 82.865 87.3545
125.000000 82.820 86.9251
126.500000 82.744 86.2198
128.000000 82.668 85.5187
131.500000 82.502 83.9022
132.000000 82.480 83.6765
134.000000 82.389 82.8046
136.000000 82.299 81.9557
138.000000 82.215 81.1237
140.000000 82.130 80.3361
143.000000 82.006 79.1929
145.000000 81.926 78.3927
147.500000 81.826 77.4010
150.000000 81.726 76.4758
152.500000 81.630 75.5351
155.000000 81.537 74.6335
157.500000 81.443 73.7729
160.000000 81.350 72.9440
162.500000 81.261 72.1454
165.000000 81.173 71.3707
167.500000 81.090 70.6433
170.000000 81.014 69.9612
172.500000 80.948 69.2909
175.000000 80.893 68.6290
177.500000 80.842 67.9129
180.000000 80.790 67.1439
182.500000 80.736 66.3629
185.000000 80.679 65.6064
187.500000 80.620 64.8602
190.000000 80.561 64.1325
192.500000 80.504 63.4456
195.000000 80.450 62.7781
197.500000 80.399 62.0947
200.000000 80.347 61.4231
203.000000 80.287 60.6494
206.000000 80.232 59.8625
209.000000 80.178 59.1014
212.000000 80.124 58.3842
214.000000 80.090 57.9014
218.000000 80.027 56.9424
220.000000 79.996 56.4722
224.000000 79.937 55.5518
227.000000 79.897 54.8626
230.000000 79.857 54.1851
233.000000 79.820 53.5103
236.000000 79.788 52.8520
240.000000 79.745 52.0104
243.000000 79.713 51.3914
247.000000 79.676 50.5838
250.000000 79.655 49.9876
254.000000 79.632 49.1407
258.000000 79.608 48.3123
262.000000 79.591 47.4443
265.000000 79.578 46.7861
269.000000 79.557 45.9504
272.000000 79.541 45.3420
276.000000 79.522 44.4921
280.000000 79.505 43.6457
285.000000 79.484 42.6538
290.000000 79.462 41.6656
295.000000 79.444 40.6997
300.000000 79.431 39.7383
304.000000 79.421 38.9364
307.000000 79.413 38.3457
311.000000 79.404 37.5607
315.000000 79.395 36.7837
320.000000 79.386 35.8373
325.000000 79.379 34.9098
330.000000 79.375 33.9982
335.000000 79.371 33.0818
340.000000 79.365 32.1672
345.000000 79.361 31.2526
350.000000 79.360 30.3478
355.000000 79.360 29.4366
360.000000 79.359 28.5507
365.000000 79.357 27.6735
370.000000 79.356 26.8054
375.000000 79.356 25.9432
382.000000 79.356 24.7402
387.000000 79.357 23.8932
395.000000 79.360 22.5518
400.000000 79.362 21.7194
406.000000 79.365 20.7318
412.000000 79.367 19.7548
418.000000 79.368 18.7766
425.000000 79.368 17.6450
431.000000 79.368 16.6926
437.000000 79.368 15.7512
444.000000 79.365 14.6740
450.000000 79.364 13.7634
455.000000 79.363 13.0153
462.000000 79.361 11.9799
468.000000 79.360 11.1050
475.000000 79.358 10.0938
482.000000 79.355 9.1022
487.000000 79.353 8.4071
494.000000 79.350 7.4376
500.000000 79.347 6.6125
508.000000 79.343 5.5465
515.000000 79.338 4.6359
522.000000 79.332 3.7358
530.000000 79.326 2.7345
538.000000 79.320 1.7557
545.000000 79.313 0.9160
552.000000 79.306 0.0967
560.000000 79.299 -0.8115
570.000000 79.286 -1.9315
580.000000 79.275 -3.0245
590.000000 79.266 -4.0808
600.000000 79.257 -5.1144
608.000000 79.250 -5.9227
615.000000 79.244 -6.6086
622.000000 79.238 -7.2839
630.000000 79.230 -8.0491
640.000000 79.221 -8.9817
650.000000 79.211 -9.8818
660.000000 79.200 -10.7550
670.000000 79.189 -11.6223
680.000000 79.179 -12.4498
690.000000 79.169 -13.2489
700.000000 79.158 -14.0225
710.000000 79.149 -14.7553
720.000000 79.141 -15.4605
730.000000 79.133 -16.1669
740.000000 79.127 -16.8429
750.000000 79.122 -17.4792
762.000000 79.119 -18.2349
775.000000 79.116 -19.0223
788.000000 79.112 -19.7786
800.000000 79.110 -20.4603
812.000000 79.112 -21.1017
825.000000 79.117 -21.7345
838.000000 79.120 -22.3418
850.000000 79.126 -22.8810
862.000000 79.137 -23.3823
875.000000 79.155 -23.8586
885.000000 79.174 -24.1876
900.000000 79.212 -24.6246
912.000000 79.254 -24.9617
925.000000 79.311 -25.3350
938.000000 79.380 -25.7188
950.000000 79.454 -26.1117
962.000000 79.534 -26.5504
975.000000 79.624 -27.0752
988.000000 79.716 -27.6500
1000.000000 79.801 -28.2303
1015.000000 79.907 -29.0110
1030.000000 80.012 -29.8237
1044.000000 80.108 -30.6206
1060.000000 80.212 -31.5720
1075.000000 80.307 -32.4916
1090.000000 80.398 -33.4308
1106.000000 80.492 -34.4531
1120.000000 80.571 -35.3678
1138.000000 80.666 -36.5604
1150.000000 80.726 -37.3561
1172.000000 80.831 -38.8204
1180.000000 80.866 -39.3549
1206.000000 80.973 -41.0957
1220.000000 81.025 -42.0336
1241.000000 81.098 -43.4204
1250.000000 81.127 -44.0063
1265.000000 81.173 -44.9789
1280.000000 81.215 -45.9438
1315.000000 81.299 -48.1426
1320.000000 81.310 -48.4485
1340.000000 81.351 -49.6520
1360.000000 81.389 -50.8210
1380.000000 81.424 -51.9597
1400.000000 81.456 -53.0699
1430.000000 81.501 -54.6708
1450.000000 81.528 -55.6936
1475.000000 81.562 -56.9228
1500.000000 81.595 -58.1047
1525.000000 81.628 -59.2403
1550.000000 81.662 -60.3375
1575.000000 81.697 -61.3831
1600.000000 81.734 -62.3810
1625.000000 81.773 -63.3530
1650.000000 81.814 -64.2977
1675.000000 81.858 -65.2070
1700.000000 81.904 -66.0934
1725.000000 81.952 -66.9611
1750.000000 82.004 -67.8109
1775.000000 82.059 -68.6422
1800.000000 82.117 -69.4556
1825.000000 82.178 -70.2536
1850.000000 82.242 -71.0359
1875.000000 82.310 -71.8038
1900.000000 82.381 -72.5634
1925.000000 82.455 -73.3175
1950.000000 82.533 -74.0677
1975.000000 82.613 -74.8148
2000.000000 82.697 -75.5586
2030.000000 82.801 -76.4463
2060.000000 82.910 -77.3341
2090.000000 83.024 -78.2261
2120.000000 83.142 -79.1279
2140.000000 83.223 -79.7356
2180.000000 83.392 -80.9693
2200.000000 83.480 -81.6025
2240.000000 83.660 -82.9063
2270.000000 83.798 -83.9152
2300.000000 83.940 -84.9504
2330.000000 84.085 -86.0137
2360.000000 84.232 -87.1121
2400.000000 84.433 -88.6343
2430.000000 84.586 -89.8191
2470.000000 84.792 -91.4652
2500.000000 84.948 -92.7549
2540.000000 85.157 -94.5498
2580.000000 85.364 -96.4396
2620.000000 85.566 -98.4247
2650.000000 85.714 -99.9705
2690.000000 85.905 -102.1030
2720.000000 86.045 -103.7598
2760.000000 86.222 -106.0485
2800.000000 86.388 -108.4288
2850.000000 86.578 -111.5261
2900.000000 86.741 -114.7465
2950.000000 86.877 -118.0607
3000.000000 86.981 -121.4412
3040.000000 87.041 -124.1725
3070.000000 87.071 -126.2245
3110.000000 87.092 -128.9521
3150.000000 87.091 -131.6527
3200.000000 87.061 -134.9570
3250.000000 87.001 -138.1570
3300.000000 86.915 -141.2280
3350.000000 86.808 -144.1484
3400.000000 86.683 -146.9053
3450.000000 86.545 -149.4825
3500.000000 86.401 -151.8698
3550.000000 86.258 -154.0789
3600.000000 86.123 -156.1509
3650.000000 85.998 -158.1434
3700.000000 85.879 -160.0958
3750.000000 85.761 -162.0261
3820.000000 85.591 -164.6815
3870.000000 85.464 -166.5126
3950.000000 85.256 -169.3008
4000.000000 85.127 -170.9631
4060.000000 84.977 -172.9015
4120.000000 84.830 -174.8050
4180.000000 84.684 -176.6855
4250.000000 84.511 -178.8640
4310.000000 84.358 179.2740
4370.000000 84.197 177.4199
4440.000000 83.994 175.2838
4500.000000 83.804 173.5070
4550.000000 83.635 172.0846
4620.000000 83.380 170.2130
4680.000000 83.150 168.7451
4750.000000 82.871 167.2187
4820.000000 82.587 165.9100
4870.000000 82.385 165.1057
4940.000000 82.108 164.1461
5000.000000 81.877 163.4666
5080.000000 81.580 162.7580
5150.000000 81.335 162.3193
5220.000000 81.108 162.0366
5300.000000 80.878 161.8638
5380.000000 80.680 161.7856
5450.000000 80.532 161.7405
5520.000000 80.401 161.6852
5600.000000 80.266 161.6010
5700.000000 80.110 161.4897
5800.000000 79.966 161.4169
5900.000000 79.831 161.4382
