* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -32.0 dBFS with no timing reference
* Dated: Jan 13, 2025 8:40:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Intime Sora Light L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 103.727 -179.5120
20.600000 103.733 -179.9733
20.900000 103.747 179.5165
21.200001 103.767 178.9800
21.400000 103.782 178.6069
21.799999 103.815 177.8385
22.000000 103.835 177.4583
22.400000 103.883 176.7568
22.700001 103.933 176.3274
23.000000 103.996 176.0200
23.299999 104.067 175.8633
23.600000 104.139 175.8768
24.000000 104.212 176.1680
24.299999 104.233 176.5695
24.700001 104.194 177.2577
25.000000 104.107 177.7817
25.400000 103.916 178.2731
25.799999 103.657 178.2557
26.200001 103.372 177.4878
26.500000 103.177 176.3738
26.900000 102.997 174.3188
27.200001 102.949 172.5857
27.600000 103.008 170.4673
28.000000 103.168 168.9889
28.500000 103.406 168.3181
29.000000 103.561 168.7234
29.500000 103.563 169.5852
30.000000 103.413 170.1954
30.400000 103.229 170.1323
30.700001 103.088 169.6837
31.100000 102.937 168.6343
31.500000 102.863 167.3321
32.000000 102.882 165.8987
32.500000 102.967 165.1116
33.000000 103.032 164.9851
33.500000 103.020 165.1740
34.000000 102.926 165.2476
34.500000 102.793 164.9103
35.000000 102.682 164.1307
35.500000 102.626 163.1427
36.000000 102.618 162.2908
36.500000 102.621 161.8020
37.000000 102.603 161.6475
37.500000 102.553 161.5831
38.200001 102.448 161.1652
38.700001 102.370 160.5700
39.500000 102.283 159.5728
40.000000 102.255 159.1540
40.599998 102.221 158.8385
41.200001 102.161 158.5748
41.799999 102.082 158.2562
42.500000 102.006 157.7618
43.099998 101.963 157.2631
43.700001 101.922 156.8006
44.400002 101.855 156.3988
45.000000 101.788 156.0983
45.500000 101.730 155.8011
46.200001 101.650 155.3278
46.799999 101.587 154.9619
47.500000 101.525 154.5957
48.200001 101.466 154.1932
48.700001 101.417 153.8729
49.400002 101.342 153.4477
50.000000 101.282 153.1401
50.799999 101.212 152.7701
51.500000 101.153 152.4366
52.200001 101.091 152.0759
53.000000 101.017 151.6492
53.799999 100.940 151.2787
54.500000 100.877 151.0209
55.200001 100.818 150.7783
56.000000 100.748 150.4913
57.000000 100.653 150.1548
58.000000 100.567 149.8370
59.000000 100.496 149.4528
60.000000 100.410 149.0347
60.799999 100.325 148.8098
61.500000 100.258 148.6740
62.200001 100.202 148.4984
63.000000 100.139 148.2260
64.000000 100.050 147.8758
65.000000 99.953 147.5379
66.000000 99.857 147.2664
67.000000 99.779 147.1412
68.000000 99.718 146.9478
69.000000 99.634 146.6217
70.000000 99.536 146.3301
71.000000 99.446 146.0436
72.000000 99.364 145.8000
73.000000 99.296 145.5724
74.000000 99.221 145.3555
75.000000 99.137 145.2640
76.199997 99.034 145.2451
77.500000 98.936 145.1591
78.800003 98.853 144.9051
80.000000 98.775 144.6983
81.199997 98.689 144.5461
82.500000 98.592 144.4440
83.800003 98.504 144.3005
85.000000 98.421 144.0862
86.199997 98.336 143.8986
87.500000 98.236 143.7478
88.500000 98.154 143.7424
90.000000 98.062 143.7773
91.199997 97.991 143.5969
92.500000 97.898 143.3000
93.800003 97.811 143.1729
95.000000 97.741 143.1548
96.199997 97.660 143.1147
97.500000 97.581 143.0670
98.800003 97.511 143.0650
100.000000 97.443 143.0959
101.500000 97.352 143.0392
103.000000 97.258 142.8812
104.400002 97.173 142.7954
106.000000 97.094 142.8006
107.500000 97.024 142.7761
109.000000 96.929 142.7006
110.599998 96.815 142.6634
112.000000 96.732 142.7157
113.800003 96.639 142.8442
115.000000 96.580 142.8889
117.199997 96.494 142.8679
118.000000 96.457 142.7883
120.599998 96.331 142.7100
122.000000 96.254 142.8824
124.099998 96.135 142.9912
125.000000 96.091 143.0328
126.500000 96.026 143.1403
128.000000 95.963 143.2652
131.500000 95.783 143.1503
132.000000 95.759 143.1230
134.000000 95.673 143.1540
136.000000 95.595 143.3741
138.000000 95.533 143.4909
140.000000 95.456 143.4811
143.000000 95.323 143.8400
145.000000 95.230 143.9568
147.500000 95.121 143.9970
150.000000 95.034 143.9683
152.500000 94.935 144.2377
155.000000 94.872 144.6553
157.500000 94.801 144.8545
160.000000 94.705 144.8691
162.500000 94.610 144.8505
165.000000 94.523 145.0247
167.500000 94.426 145.3610
170.000000 94.342 145.5690
172.500000 94.251 145.7017
175.000000 94.169 145.9264
177.500000 94.115 146.1270
180.000000 94.065 146.3973
182.500000 93.996 146.6866
185.000000 93.921 146.8572
187.500000 93.846 146.9500
190.000000 93.762 147.1210
192.500000 93.666 147.3920
195.000000 93.585 147.6726
197.500000 93.541 147.8886
200.000000 93.513 148.1687
203.000000 93.463 148.4871
206.000000 93.396 148.5548
209.000000 93.317 148.6901
212.000000 93.221 149.0012
214.000000 93.148 149.3315
218.000000 93.014 149.8643
220.000000 92.966 150.0123
224.000000 92.874 150.4673
227.000000 92.823 151.0911
230.000000 92.796 151.7347
233.000000 92.793 152.1750
236.000000 92.788 152.3819
240.000000 92.734 152.3991
243.000000 92.659 152.4903
247.000000 92.566 152.6204
250.000000 92.521 152.8958
254.000000 92.449 153.3137
258.000000 92.383 153.8144
262.000000 92.341 154.3064
265.000000 92.313 154.6356
269.000000 92.263 154.9802
272.000000 92.207 155.2652
276.000000 92.135 155.5323
280.000000 92.090 155.4584
285.000000 92.034 155.4667
290.000000 91.930 155.9565
295.000000 91.851 156.4588
300.000000 91.807 157.0283
304.000000 91.772 157.4742
307.000000 91.744 157.8513
311.000000 91.700 158.4352
315.000000 91.655 158.8989
320.000000 91.607 159.3965
325.000000 91.555 159.6911
330.000000 91.527 159.8570
335.000000 91.513 159.9608
340.000000 91.447 160.2870
345.000000 91.380 160.7504
350.000000 91.347 161.0367
355.000000 91.310 161.2864
360.000000 91.257 161.6879
365.000000 91.211 162.2460
370.000000 91.170 162.9797
375.000000 91.125 163.6331
382.000000 91.074 164.3889
387.000000 91.061 164.8386
395.000000 91.034 165.6574
400.000000 90.999 165.9651
406.000000 90.962 166.0583
412.000000 90.966 166.3285
418.000000 90.948 166.6096
425.000000 90.941 167.0196
431.000000 90.930 167.0964
437.000000 90.876 167.2726
444.000000 90.804 167.7469
450.000000 90.750 168.2131
455.000000 90.714 168.6595
462.000000 90.686 169.4751
468.000000 90.683 170.2960
475.000000 90.670 171.2536
482.000000 90.634 171.9189
487.000000 90.612 172.2012
494.000000 90.602 172.5772
500.000000 90.592 172.9357
508.000000 90.559 173.3188
515.000000 90.556 173.4855
522.000000 90.544 173.8807
530.000000 90.528 174.3005
538.000000 90.533 174.7454
545.000000 90.542 175.0325
552.000000 90.546 175.2975
560.000000 90.544 175.5573
570.000000 90.523 176.0293
580.000000 90.509 176.4994
590.000000 90.518 176.8859
600.000000 90.524 177.2238
608.000000 90.515 177.6234
615.000000 90.495 177.8350
622.000000 90.442 178.1216
630.000000 90.373 178.7802
640.000000 90.355 -179.8562
650.000000 90.393 -178.3844
660.000000 90.420 -177.1328
670.000000 90.420 -176.0272
680.000000 90.386 -175.3408
690.000000 90.383 -175.0812
700.000000 90.414 -174.6240
710.000000 90.438 -174.0462
720.000000 90.470 -173.5821
730.000000 90.504 -173.2244
740.000000 90.540 -172.8159
750.000000 90.575 -172.3911
762.000000 90.617 -171.9465
775.000000 90.655 -171.3890
788.000000 90.710 -170.8140
800.000000 90.770 -170.3589
812.000000 90.836 -169.8785
825.000000 90.903 -169.3809
838.000000 90.965 -168.9988
850.000000 91.023 -168.6964
862.000000 91.092 -168.3721
875.000000 91.175 -168.1023
885.000000 91.238 -167.9556
900.000000 91.318 -167.8074
912.000000 91.356 -167.7424
925.000000 91.384 -167.7080
938.000000 91.405 -167.5711
950.000000 91.426 -167.3603
962.000000 91.452 -167.0867
975.000000 91.490 -166.7437
988.000000 91.534 -166.3788
1000.000000 91.581 -166.0973
1015.000000 91.665 -165.7089
1030.000000 91.737 -165.5920
1044.000000 91.751 -165.0962
1060.000000 91.819 -164.0604
1075.000000 91.893 -162.8489
1090.000000 91.973 -161.2164
1106.000000 92.085 -159.9129
1120.000000 92.207 -159.2821
1138.000000 92.321 -158.5560
1150.000000 92.363 -158.4588
1172.000000 92.483 -158.6850
1180.000000 92.528 -158.7065
1206.000000 92.653 -158.9087
1220.000000 92.720 -159.0700
1241.000000 92.810 -159.2894
1250.000000 92.846 -159.3739
1265.000000 92.904 -159.5000
1280.000000 92.963 -159.6465
1315.000000 93.071 -160.0370
1320.000000 93.083 -160.0960
1340.000000 93.132 -160.3507
1360.000000 93.180 -160.5349
1380.000000 93.220 -160.6252
1400.000000 93.257 -160.7015
1430.000000 93.319 -160.7618
1450.000000 93.356 -160.7731
1475.000000 93.401 -160.7294
1500.000000 93.450 -160.6725
1525.000000 93.513 -160.6299
1550.000000 93.564 -160.5907
1575.000000 93.615 -160.5389
1600.000000 93.673 -160.5069
1625.000000 93.722 -160.4866
1650.000000 93.769 -160.4665
1675.000000 93.829 -160.3743
1700.000000 93.903 -160.2483
1725.000000 93.981 -160.1314
1750.000000 94.041 -160.0902
1775.000000 94.093 -160.0691
1800.000000 94.160 -160.0456
1825.000000 94.232 -160.0084
1850.000000 94.298 -159.9129
1875.000000 94.361 -159.9101
1900.000000 94.435 -159.9177
1925.000000 94.496 -159.9491
1950.000000 94.542 -160.0474
1975.000000 94.584 -160.1790
2000.000000 94.638 -160.3068
2030.000000 94.718 -160.4818
2060.000000 94.798 -160.5173
2090.000000 94.887 -160.6714
2120.000000 94.960 -160.8880
2140.000000 94.984 -160.9711
2180.000000 95.066 -161.1294
2200.000000 95.130 -161.1748
2240.000000 95.252 -161.2027
2270.000000 95.317 -161.2693
2300.000000 95.386 -161.3459
2330.000000 95.457 -161.4955
2360.000000 95.528 -161.5032
2400.000000 95.610 -161.4673
2430.000000 95.654 -161.5424
2470.000000 95.692 -161.2068
2500.000000 95.761 -160.6107
2540.000000 95.927 -159.1585
2580.000000 96.216 -157.8276
2620.000000 96.426 -157.6355
2650.000000 96.531 -157.5266
2690.000000 96.731 -157.7310
2720.000000 96.880 -157.7350
2760.000000 97.087 -158.0388
2800.000000 97.258 -158.4958
2850.000000 97.463 -158.9340
2900.000000 97.673 -160.3303
2950.000000 97.840 -162.6042
3000.000000 98.075 -163.9986
3040.000000 98.143 -165.0383
3070.000000 98.137 -166.2013
3110.000000 98.169 -167.6561
3150.000000 98.295 -168.3966
3200.000000 98.420 -169.2742
3250.000000 98.488 -170.4878
3300.000000 98.495 -171.5542
3350.000000 98.551 -172.1803
3400.000000 98.512 -172.8203
3450.000000 98.450 -173.2166
3500.000000 98.380 -173.6543
3550.000000 98.331 -174.2678
3600.000000 98.288 -175.1601
3650.000000 98.247 -176.2707
3700.000000 98.198 -177.2247
3750.000000 98.150 -178.0331
3820.000000 98.082 -179.2136
3870.000000 98.032 179.9359
3950.000000 97.969 178.6252
4000.000000 97.945 177.7879
4060.000000 97.901 176.8362
4120.000000 97.860 175.8285
4180.000000 97.826 174.7126
4250.000000 97.744 173.4205
4310.000000 97.677 172.2456
4370.000000 97.611 171.0310
4440.000000 97.521 169.6056
4500.000000 97.427 168.3776
4550.000000 97.331 167.3537
4620.000000 97.187 165.9200
4680.000000 97.052 164.6724
4750.000000 96.873 163.2592
4820.000000 96.665 161.8979
4870.000000 96.498 160.9682
4940.000000 96.247 159.7960
5000.000000 96.019 158.9064
5080.000000 95.694 157.8602
5150.000000 95.390 157.1419
5220.000000 95.072 156.6261
5300.000000 94.699 156.2840
5380.000000 94.315 156.2451
5450.000000 93.978 156.4330
5520.000000 93.643 156.8294
5600.000000 93.266 157.5759
5700.000000 92.817 158.9406
5800.000000 92.405 160.7127
5900.000000 92.021 162.8061
6000.000000 91.665 165.3709
6080.000000 91.408 167.8599
6150.000000 91.220 170.4244
6220.000000 91.094 173.4496
