* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -32.0 dBFS with no timing reference
* Dated: Jan 13, 2025 8:38:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Intime Sora Light R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 104.990 -178.9604
20.600000 105.099 -179.3546
20.900000 105.236 -179.6088
21.200001 105.385 -179.6131
21.400000 105.484 -179.4525
21.799999 105.654 -178.7260
22.000000 105.714 -178.1764
22.400000 105.753 -176.8037
22.700001 105.698 -175.6657
23.000000 105.561 -174.5962
23.299999 105.345 -173.7715
23.600000 105.063 -173.3817
24.000000 104.630 -173.8457
24.299999 104.315 -175.0660
24.700001 104.004 -177.7638
25.000000 103.908 179.7361
25.400000 103.987 176.5278
25.799999 104.244 174.2401
26.200001 104.560 173.2653
26.500000 104.767 173.3313
26.900000 104.943 174.1487
27.200001 104.979 175.0215
27.600000 104.899 176.1016
28.000000 104.705 176.6710
28.500000 104.398 176.2371
29.000000 104.160 174.5844
29.500000 104.093 172.4493
30.000000 104.181 170.7952
30.400000 104.293 170.1688
30.700001 104.362 170.0810
31.100000 104.400 170.2729
31.500000 104.367 170.5266
32.000000 104.245 170.5073
32.500000 104.095 169.8854
33.000000 103.988 168.8022
33.500000 103.956 167.6811
34.000000 103.978 166.9024
34.500000 104.004 166.5599
35.000000 103.990 166.4642
35.500000 103.927 166.3260
36.000000 103.837 165.9475
36.500000 103.755 165.3276
37.000000 103.703 164.6286
37.500000 103.681 164.0391
38.200001 103.663 163.5128
38.700001 103.631 163.2384
39.500000 103.535 162.6838
40.000000 103.472 162.2333
40.599998 103.418 161.6766
41.200001 103.387 161.1823
41.799999 103.355 160.7551
42.500000 103.289 160.2804
43.099998 103.218 159.8436
43.700001 103.151 159.3711
44.400002 103.088 158.8299
45.000000 103.040 158.4312
45.500000 102.999 158.1430
46.200001 102.936 157.7423
46.799999 102.880 157.3611
47.500000 102.815 156.8974
48.200001 102.753 156.4650
48.700001 102.709 156.1805
49.400002 102.645 155.8026
50.000000 102.589 155.4883
50.799999 102.518 155.0761
51.500000 102.457 154.7235
52.200001 102.394 154.3917
53.000000 102.323 154.0340
53.799999 102.259 153.6533
54.500000 102.204 153.2843
55.200001 102.143 152.9233
56.000000 102.070 152.5697
57.000000 101.982 152.1789
58.000000 101.893 151.7892
59.000000 101.808 151.4077
60.000000 101.730 151.0103
60.799999 101.666 150.7071
61.500000 101.609 150.4592
62.200001 101.548 150.2091
63.000000 101.476 149.9241
64.000000 101.388 149.5900
65.000000 101.305 149.2662
66.000000 101.227 148.9611
67.000000 101.152 148.6728
68.000000 101.073 148.3986
69.000000 100.988 148.1603
70.000000 100.911 147.9200
71.000000 100.836 147.6651
72.000000 100.759 147.4414
73.000000 100.685 147.2195
74.000000 100.610 146.9913
75.000000 100.534 146.7862
76.199997 100.441 146.5680
77.500000 100.349 146.3259
78.800003 100.257 146.0415
80.000000 100.165 145.8569
81.199997 100.075 145.7222
82.500000 99.984 145.5509
83.800003 99.897 145.3398
85.000000 99.819 145.1693
86.199997 99.742 145.0123
87.500000 99.652 144.8472
88.500000 99.581 144.7167
90.000000 99.478 144.5562
91.199997 99.401 144.4571
92.500000 99.317 144.3185
93.800003 99.236 144.1711
95.000000 99.164 144.0566
96.199997 99.090 143.9703
97.500000 99.007 143.8753
98.800003 98.922 143.7915
100.000000 98.848 143.7342
101.500000 98.762 143.6632
103.000000 98.680 143.6183
104.400002 98.598 143.5780
106.000000 98.504 143.5017
107.500000 98.421 143.4182
109.000000 98.336 143.3689
110.599998 98.242 143.3082
112.000000 98.162 143.2726
113.800003 98.068 143.2771
115.000000 98.008 143.2851
117.199997 97.897 143.2314
118.000000 97.858 143.2261
120.599998 97.730 143.2426
122.000000 97.656 143.2936
124.099998 97.554 143.3675
125.000000 97.511 143.3890
126.500000 97.439 143.4173
128.000000 97.370 143.4516
131.500000 97.211 143.5192
132.000000 97.190 143.5216
134.000000 97.105 143.5417
136.000000 97.016 143.5994
138.000000 96.928 143.6562
140.000000 96.845 143.7279
143.000000 96.722 143.8076
145.000000 96.641 143.8915
147.500000 96.542 144.0197
150.000000 96.444 144.1467
152.500000 96.349 144.2411
155.000000 96.255 144.3907
157.500000 96.157 144.5717
160.000000 96.064 144.7809
162.500000 95.976 144.9463
165.000000 95.887 145.0956
167.500000 95.797 145.2629
170.000000 95.713 145.4432
172.500000 95.629 145.6663
175.000000 95.548 145.8940
177.500000 95.476 146.0598
180.000000 95.403 146.2211
182.500000 95.332 146.4003
185.000000 95.263 146.5958
187.500000 95.191 146.7921
190.000000 95.121 146.9690
192.500000 95.057 147.1301
195.000000 94.992 147.2880
197.500000 94.921 147.4733
200.000000 94.854 147.6428
203.000000 94.777 147.8578
206.000000 94.698 148.1000
209.000000 94.624 148.3517
212.000000 94.551 148.5980
214.000000 94.501 148.7610
218.000000 94.407 149.1403
220.000000 94.361 149.3437
224.000000 94.270 149.7338
227.000000 94.200 149.9860
230.000000 94.129 150.2471
233.000000 94.062 150.5283
236.000000 94.000 150.8127
240.000000 93.915 151.1912
243.000000 93.844 151.5532
247.000000 93.751 152.1259
250.000000 93.686 152.6149
254.000000 93.625 153.3342
258.000000 93.610 154.0199
262.000000 93.608 154.4111
265.000000 93.594 154.5109
269.000000 93.556 154.6058
272.000000 93.516 154.6965
276.000000 93.457 154.9056
280.000000 93.396 155.1567
285.000000 93.325 155.4917
290.000000 93.251 155.9054
295.000000 93.183 156.3751
300.000000 93.119 156.6976
304.000000 93.067 157.0024
307.000000 93.032 157.2710
311.000000 92.989 157.6106
315.000000 92.942 157.9603
320.000000 92.884 158.4147
325.000000 92.835 158.8116
330.000000 92.787 159.1692
335.000000 92.728 159.5716
340.000000 92.671 160.0378
345.000000 92.632 160.5177
350.000000 92.605 160.9079
355.000000 92.576 161.2279
360.000000 92.535 161.5754
365.000000 92.494 161.9342
370.000000 92.454 162.3621
375.000000 92.411 162.8180
382.000000 92.356 163.3698
387.000000 92.325 163.7811
395.000000 92.269 164.4515
400.000000 92.239 164.8372
406.000000 92.207 165.3785
412.000000 92.183 165.9293
418.000000 92.162 166.4172
425.000000 92.133 166.8921
431.000000 92.109 167.3100
437.000000 92.087 167.6910
444.000000 92.060 168.0905
450.000000 92.031 168.4984
455.000000 92.008 168.8560
462.000000 91.982 169.3898
468.000000 91.961 169.8354
475.000000 91.939 170.3521
482.000000 91.915 170.8414
487.000000 91.897 171.1784
494.000000 91.876 171.6464
500.000000 91.862 172.0363
508.000000 91.840 172.5807
515.000000 91.820 173.0645
522.000000 91.803 173.5178
530.000000 91.788 174.0358
538.000000 91.778 174.5325
545.000000 91.769 174.9708
552.000000 91.760 175.4306
560.000000 91.750 175.9514
570.000000 91.739 176.5920
580.000000 91.734 177.2240
590.000000 91.729 177.8460
600.000000 91.722 178.4357
608.000000 91.721 178.9080
615.000000 91.723 179.2981
622.000000 91.725 179.6925
630.000000 91.727 -179.8344
640.000000 91.727 -179.2374
650.000000 91.733 -178.6626
660.000000 91.740 -178.0930
670.000000 91.750 -177.5627
680.000000 91.759 -177.0376
690.000000 91.767 -176.5049
700.000000 91.780 -175.9725
710.000000 91.795 -175.4083
720.000000 91.808 -174.8805
730.000000 91.824 -174.3866
740.000000 91.843 -173.8781
750.000000 91.867 -173.3531
762.000000 91.897 -172.8260
775.000000 91.920 -172.2269
788.000000 91.948 -171.6246
800.000000 91.972 -171.1023
812.000000 91.977 -170.4950
825.000000 91.983 -169.7259
838.000000 92.025 -168.7659
850.000000 92.102 -167.8977
862.000000 92.186 -167.2608
875.000000 92.268 -166.7722
885.000000 92.320 -166.4674
900.000000 92.401 -165.9877
912.000000 92.460 -165.4893
925.000000 92.541 -164.9061
938.000000 92.617 -164.4566
950.000000 92.683 -164.0147
962.000000 92.767 -163.6039
975.000000 92.896 -163.2597
988.000000 93.046 -163.1563
1000.000000 93.150 -163.0821
1015.000000 93.237 -162.9005
1030.000000 93.347 -162.7569
1044.000000 93.469 -162.6065
1060.000000 93.600 -162.4512
1075.000000 93.680 -162.1572
1090.000000 93.769 -161.9343
1106.000000 93.876 -161.7844
1120.000000 93.964 -161.7529
1138.000000 94.051 -161.7735
1150.000000 94.108 -161.9124
1172.000000 94.219 -162.0722
1180.000000 94.253 -162.1991
1206.000000 94.330 -162.2613
1220.000000 94.383 -162.1868
1241.000000 94.476 -162.3107
1250.000000 94.519 -162.4491
1265.000000 94.600 -162.5860
1280.000000 94.662 -162.5181
1315.000000 94.757 -162.5350
1320.000000 94.770 -162.5510
1340.000000 94.819 -162.6861
1360.000000 94.867 -162.8780
1380.000000 94.918 -163.0025
1400.000000 94.969 -163.0717
1430.000000 95.029 -163.2054
1450.000000 95.070 -163.3078
1475.000000 95.116 -163.4193
1500.000000 95.157 -163.4803
1525.000000 95.203 -163.4721
1550.000000 95.245 -163.4521
1575.000000 95.279 -163.4726
1600.000000 95.321 -163.4261
1625.000000 95.365 -163.4059
1650.000000 95.404 -163.3846
1675.000000 95.442 -163.4216
1700.000000 95.488 -163.4129
1725.000000 95.533 -163.4349
1750.000000 95.577 -163.4317
1775.000000 95.620 -163.4170
1800.000000 95.663 -163.3607
1825.000000 95.708 -163.2837
1850.000000 95.755 -163.1980
1875.000000 95.801 -163.1314
1900.000000 95.851 -163.0981
1925.000000 95.901 -163.0583
1950.000000 95.950 -162.9861
1975.000000 96.000 -162.9065
2000.000000 96.052 -162.8450
2030.000000 96.116 -162.8147
2060.000000 96.184 -162.8045
2090.000000 96.254 -162.7715
2120.000000 96.323 -162.7619
2140.000000 96.369 -162.7552
2180.000000 96.467 -162.7365
2200.000000 96.518 -162.7274
2240.000000 96.620 -162.7498
2270.000000 96.698 -162.7952
2300.000000 96.778 -162.8735
2330.000000 96.857 -162.9544
2360.000000 96.934 -163.0300
2400.000000 97.043 -163.1379
2430.000000 97.126 -163.2601
2470.000000 97.238 -163.4676
2500.000000 97.322 -163.6478
2540.000000 97.435 -163.9249
2580.000000 97.549 -164.2379
2620.000000 97.661 -164.5988
2650.000000 97.744 -164.9010
2690.000000 97.854 -165.3385
2720.000000 97.936 -165.6855
2760.000000 98.041 -166.1835
2800.000000 98.146 -166.7245
2850.000000 98.269 -167.4456
2900.000000 98.387 -168.2142
2950.000000 98.505 -169.0150
3000.000000 98.604 -169.9645
3040.000000 98.679 -170.6906
3070.000000 98.745 -171.2163
3110.000000 98.823 -171.9366
3150.000000 98.886 -172.7468
3200.000000 98.963 -173.7749
3250.000000 99.021 -174.8511
3300.000000 99.066 -175.9947
3350.000000 99.109 -177.1113
3400.000000 99.142 -178.2177
3450.000000 99.163 -179.3208
3500.000000 99.179 179.5784
3550.000000 99.187 178.4800
3600.000000 99.187 177.3959
3650.000000 99.181 176.3257
3700.000000 99.168 175.2704
3750.000000 99.148 174.2554
3820.000000 99.112 172.8909
3870.000000 99.081 171.9257
3950.000000 99.023 170.3971
4000.000000 98.985 169.4298
4060.000000 98.933 168.2658
4120.000000 98.875 167.0869
4180.000000 98.812 165.8911
4250.000000 98.732 164.5001
4310.000000 98.659 163.3179
4370.000000 98.580 162.1285
4440.000000 98.471 160.6885
4500.000000 98.365 159.4187
4550.000000 98.266 158.3418
4620.000000 98.106 156.8301
4680.000000 97.951 155.5490
4750.000000 97.748 154.0971
4820.000000 97.518 152.7260
4870.000000 97.337 151.7837
4940.000000 97.065 150.5539
5000.000000 96.816 149.6197
5080.000000 96.456 148.5585
5150.000000 96.122 147.8113
5220.000000 95.782 147.2543
5300.000000 95.380 146.8737
5380.000000 94.955 146.7697
5450.000000 94.572 146.9131
5520.000000 94.189 147.4014
5600.000000 93.773 148.4653
5700.000000 93.351 150.2484
5800.000000 93.006 151.7063
5900.000000 92.625 153.0947
6000.000000 92.222 154.8809
6080.000000 91.916 156.6516
6150.000000 91.670 158.4187
6220.000000 91.442 160.3459
