* Measurement data measured by REW V5.30
* Source: EXCL: Microphone (Qudelix-5K USB DAC/MIC 44.1KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Mar 12, 2024 10:07:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: JBL 230NC L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 88.747 149.8458
20.600000 88.803 147.5601
20.900000 88.867 145.0479
21.200001 88.931 142.5672
21.400000 88.976 140.9250
21.799999 89.071 137.6188
22.000000 89.118 135.9415
22.400000 89.205 132.5447
22.700001 89.259 129.9922
23.000000 89.304 127.4722
23.299999 89.344 125.0082
23.600000 89.383 122.6047
24.000000 89.437 119.4680
24.299999 89.479 117.1362
24.700001 89.529 114.0233
25.000000 89.557 111.6860
25.400000 89.576 108.5940
25.799999 89.577 105.5707
26.200001 89.566 102.6391
26.500000 89.557 100.4943
26.900000 89.547 97.6784
27.200001 89.543 95.5804
27.600000 89.538 92.7884
28.000000 89.529 90.0080
28.500000 89.511 86.5788
29.000000 89.483 83.2320
29.500000 89.446 79.9776
30.000000 89.403 76.8144
30.400000 89.363 74.3520
30.700001 89.332 72.5477
31.100000 89.288 70.1996
31.500000 89.245 67.9127
32.000000 89.193 65.1235
32.500000 89.144 62.3916
33.000000 89.097 59.7101
33.500000 89.053 57.0872
34.000000 89.015 54.5316
34.500000 88.986 52.0365
35.000000 88.967 49.5776
35.500000 88.956 47.1277
36.000000 88.949 44.6723
36.500000 88.944 42.2131
37.000000 88.942 39.7571
37.500000 88.943 37.3044
38.200001 88.952 33.8520
38.700001 88.962 31.3527
39.500000 88.974 27.2904
40.000000 88.975 24.7322
40.599998 88.972 21.6662
41.200001 88.966 18.6073
41.799999 88.955 15.5445
42.500000 88.935 11.9614
43.099998 88.911 8.8943
43.700001 88.881 5.8472
44.400002 88.841 2.3319
45.000000 88.801 -0.6418
45.500000 88.766 -3.0947
46.200001 88.711 -6.5017
46.799999 88.659 -9.4030
47.500000 88.592 -12.7584
48.200001 88.522 -16.0710
48.700001 88.471 -18.4095
49.400002 88.399 -21.6428
50.000000 88.337 -24.3693
50.799999 88.251 -27.9370
51.500000 88.173 -31.0098
52.200001 88.093 -34.0478
53.000000 88.000 -37.4721
53.799999 87.909 -40.8387
54.500000 87.831 -43.7364
55.200001 87.752 -46.5920
56.000000 87.661 -49.8156
57.000000 87.550 -53.8029
58.000000 87.444 -57.7369
59.000000 87.342 -61.6002
60.000000 87.242 -65.3924
60.799999 87.164 -68.4030
61.500000 87.098 -71.0345
62.200001 87.035 -73.6551
63.000000 86.965 -76.6205
64.000000 86.882 -80.2817
65.000000 86.799 -83.9061
66.000000 86.717 -87.5082
67.000000 86.637 -91.0869
68.000000 86.561 -94.6408
69.000000 86.488 -98.1826
70.000000 86.417 -101.7163
71.000000 86.347 -105.2305
72.000000 86.278 -108.7147
73.000000 86.211 -112.1725
74.000000 86.148 -115.6118
75.000000 86.086 -119.0447
76.199997 86.012 -123.1652
77.500000 85.930 -127.6344
78.800003 85.849 -132.0686
80.000000 85.776 -136.1199
81.199997 85.703 -140.1516
82.500000 85.624 -144.5200
83.800003 85.547 -148.8725
85.000000 85.477 -152.8629
86.199997 85.408 -156.8511
87.500000 85.331 -161.1532
88.500000 85.268 -164.4395
90.000000 85.167 -169.3468
91.199997 85.095 -173.2530
92.500000 85.024 -177.4750
93.800003 84.949 178.3300
95.000000 84.877 174.4663
96.199997 84.805 170.6304
97.500000 84.727 166.5118
98.800003 84.644 162.3997
100.000000 84.568 158.6143
101.500000 84.474 153.9171
103.000000 84.380 149.2211
104.400002 84.291 144.8559
106.000000 84.192 139.9546
107.500000 84.101 135.3987
109.000000 84.009 130.8551
110.599998 83.908 126.0312
112.000000 83.818 121.8331
113.800003 83.706 116.4489
115.000000 83.632 112.8918
117.199997 83.498 106.4171
118.000000 83.451 104.0740
120.599998 83.295 96.5329
122.000000 83.202 92.4693
124.099998 83.067 86.4644
125.000000 83.010 83.9131
126.500000 82.920 79.6500
128.000000 82.831 75.3911
131.500000 82.618 65.5306
132.000000 82.592 64.1432
134.000000 82.490 58.6053
136.000000 82.380 53.0735
138.000000 82.260 47.5692
140.000000 82.148 42.1263
143.000000 81.974 34.0261
145.000000 81.860 28.6641
147.500000 81.728 22.0268
150.000000 81.584 15.3208
152.500000 81.436 8.6993
155.000000 81.299 2.1428
157.500000 81.156 -4.3162
160.000000 81.023 -10.6251
162.500000 80.891 -16.8522
165.000000 80.776 -23.0947
167.500000 80.683 -29.2958
170.000000 80.585 -35.6484
172.500000 80.473 -42.0002
175.000000 80.356 -48.2690
177.500000 80.233 -54.5103
180.000000 80.114 -60.6711
182.500000 79.999 -66.7428
185.000000 79.881 -72.8412
187.500000 79.759 -78.8796
190.000000 79.638 -84.8816
192.500000 79.523 -90.8392
195.000000 79.409 -96.7168
197.500000 79.288 -102.4869
200.000000 79.182 -108.2982
203.000000 79.060 -115.1760
206.000000 78.933 -122.0050
209.000000 78.819 -128.7625
212.000000 78.719 -135.4575
214.000000 78.663 -139.9303
218.000000 78.570 -148.7656
220.000000 78.520 -153.1938
224.000000 78.412 -162.1922
227.000000 78.329 -168.8610
230.000000 78.248 -175.4911
233.000000 78.165 177.8917
236.000000 78.088 171.2473
240.000000 77.986 162.3896
243.000000 77.908 156.0922
247.000000 77.822 147.7433
250.000000 77.763 141.5544
254.000000 77.693 133.2946
258.000000 77.636 124.8196
262.000000 77.599 116.3233
265.000000 77.583 109.8771
269.000000 77.548 101.5710
272.000000 77.495 95.4142
276.000000 77.428 86.9352
280.000000 77.382 78.3824
285.000000 77.337 67.9359
290.000000 77.313 57.7036
295.000000 77.304 47.3990
300.000000 77.295 36.9171
304.000000 77.274 28.8516
307.000000 77.257 22.7919
311.000000 77.251 14.6324
315.000000 77.240 6.4269
320.000000 77.221 -3.8257
325.000000 77.211 -14.0219
330.000000 77.205 -24.1548
335.000000 77.199 -34.2615
340.000000 77.193 -44.3761
345.000000 77.191 -54.4520
350.000000 77.188 -64.4854
355.000000 77.188 -74.4847
360.000000 77.192 -84.4720
365.000000 77.194 -94.4003
370.000000 77.191 -104.3134
375.000000 77.187 -114.2288
382.000000 77.187 -128.0776
387.000000 77.191 -137.9502
395.000000 77.196 -153.6841
400.000000 77.196 -163.4709
406.000000 77.194 -175.1731
412.000000 77.189 173.1776
418.000000 77.183 161.5663
425.000000 77.175 148.0621
431.000000 77.167 136.5494
437.000000 77.159 125.0985
444.000000 77.149 111.8081
450.000000 77.140 100.4561
455.000000 77.133 91.0273
462.000000 77.123 77.8861
468.000000 77.113 66.6687
475.000000 77.105 53.6344
482.000000 77.095 40.6531
487.000000 77.086 31.4194
494.000000 77.072 18.5598
500.000000 77.059 7.5938
508.000000 77.042 -6.9771
515.000000 77.025 -19.6602
522.000000 77.007 -32.2791
530.000000 76.987 -46.6299
538.000000 76.968 -60.8994
545.000000 76.952 -73.3145
552.000000 76.936 -85.6637
560.000000 76.919 -99.7026
570.000000 76.898 -117.1584
580.000000 76.875 -134.5067
590.000000 76.851 -151.7318
600.000000 76.828 -168.8302
608.000000 76.811 177.5704
615.000000 76.796 165.7305
622.000000 76.782 153.9435
630.000000 76.767 140.5396
640.000000 76.749 123.8809
650.000000 76.734 107.3285
660.000000 76.720 90.8784
670.000000 76.707 74.5226
680.000000 76.697 58.2671
690.000000 76.690 42.1158
700.000000 76.683 26.0643
710.000000 76.677 10.1052
720.000000 76.673 -5.7478
730.000000 76.670 -21.5132
740.000000 76.670 -37.2010
750.000000 76.673 -52.7981
762.000000 76.680 -71.3906
775.000000 76.691 -91.4067
788.000000 76.707 -111.2778
800.000000 76.727 -129.5035
812.000000 76.751 -147.6097
825.000000 76.782 -167.1034
838.000000 76.816 173.5431
850.000000 76.850 155.7716
862.000000 76.889 138.1030
875.000000 76.937 119.0703
885.000000 76.977 104.5054
900.000000 77.042 82.7677
912.000000 77.100 65.4752
925.000000 77.168 46.8345
938.000000 77.240 28.2793
950.000000 77.313 11.2312
962.000000 77.389 -5.7413
975.000000 77.475 -24.0536
988.000000 77.563 -42.3013
1000.000000 77.647 -59.0818
1015.000000 77.753 -79.9600
1030.000000 77.862 -100.7490
1044.000000 77.965 -120.0747
1060.000000 78.085 -142.0801
1075.000000 78.198 -162.6265
1090.000000 78.311 176.9160
1106.000000 78.429 155.1726
1120.000000 78.531 136.2222
1138.000000 78.658 111.9761
1150.000000 78.739 95.8743
1172.000000 78.878 66.4854
1180.000000 78.927 55.8428
1206.000000 79.071 21.4509
1220.000000 79.139 3.0552
1241.000000 79.229 -24.3494
1250.000000 79.264 -36.0229
1265.000000 79.316 -55.3857
1280.000000 79.364 -74.6335
1315.000000 79.464 -119.0332
1320.000000 79.477 -125.3191
1340.000000 79.526 -150.3354
1360.000000 79.573 -175.1394
1380.000000 79.618 160.2852
1400.000000 79.662 135.9353
1430.000000 79.730 99.8059
1450.000000 79.778 75.9758
1475.000000 79.844 46.4631
1500.000000 79.915 17.2207
1525.000000 79.991 -11.7622
1550.000000 80.072 -40.4895
1575.000000 80.158 -68.9751
1600.000000 80.248 -97.2097
1625.000000 80.341 -125.2163
1650.000000 80.438 -152.9902
1675.000000 80.536 179.4587
1700.000000 80.635 152.1143
1725.000000 80.737 124.9751
1750.000000 80.843 98.0503
1775.000000 80.950 71.3418
1800.000000 81.059 44.8403
1825.000000 81.170 18.5430
1850.000000 81.284 -7.5579
1875.000000 81.402 -33.4678
1900.000000 81.524 -59.1919
1925.000000 81.648 -84.7302
1950.000000 81.775 -110.0791
1975.000000 81.904 -135.2444
2000.000000 82.035 -160.2407
2030.000000 82.196 169.9812
2060.000000 82.359 140.4421
2090.000000 82.524 111.1348
2120.000000 82.692 82.0566
2140.000000 82.805 62.7954
2180.000000 83.034 24.5522
2200.000000 83.150 5.5649
2240.000000 83.386 -32.1455
2270.000000 83.565 -60.1990
2300.000000 83.744 -88.0632
2330.000000 83.925 -115.7412
2360.000000 84.104 -143.2407
2400.000000 84.341 -179.6365
2430.000000 84.516 153.2725
2470.000000 84.744 117.4136
2500.000000 84.909 90.7017
2540.000000 85.122 55.3452
2580.000000 85.323 20.3054
2620.000000 85.510 -14.4272
2650.000000 85.640 -40.2876
2690.000000 85.798 -74.5220
2720.000000 85.905 -100.0085
2760.000000 86.028 -133.7244
2800.000000 86.127 -167.1221
2850.000000 86.215 151.5913
2900.000000 86.261 110.8401
2950.000000 86.264 70.6628
3000.000000 86.229 31.1084
3040.000000 86.183 -0.0830
3070.000000 86.140 -23.2217
3110.000000 86.068 -53.7344
3150.000000 85.980 -83.8574
3200.000000 85.852 -120.9492
3250.000000 85.706 -157.4043
3300.000000 85.547 166.7666
3350.000000 85.379 131.5625
3400.000000 85.205 96.9722
3450.000000 85.027 62.9873
3500.000000 84.846 29.5879
3550.000000 84.665 -3.2407
3600.000000 84.485 -35.5142
3650.000000 84.311 -67.2466
3700.000000 84.142 -98.4551
3750.000000 83.980 -129.1543
3820.000000 83.767 -171.3159
3870.000000 83.626 159.1357
3950.000000 83.420 112.7988
4000.000000 83.303 84.3984
4060.000000 83.172 50.8623
4120.000000 83.052 17.8960
4180.000000 82.937 -14.5059
4250.000000 82.809 -51.6060
4310.000000 82.702 -82.8086
4370.000000 82.603 -113.4722
4440.000000 82.497 -148.6016
4500.000000 82.413 -178.1807
4550.000000 82.344 157.5435
4620.000000 82.249 124.1250
4680.000000 82.167 96.0073
4750.000000 82.070 63.8174
4820.000000 81.971 32.2729
4870.000000 81.899 10.1313
4940.000000 81.795 -20.3086
5000.000000 81.703 -45.8838
5080.000000 81.579 -79.2544
5150.000000 81.470 -107.7646
5220.000000 81.360 -135.6348
5300.000000 81.235 -166.7231
5380.000000 81.110 162.9941
5450.000000 81.002 137.1514
5520.000000 80.893 111.9131
5600.000000 80.768 83.8159
5700.000000 80.612 49.7988
5800.000000 80.464 16.9844
5900.000000 80.328 -14.6484
