* Measurement data measured by REW V5.30
* Source: EXCL: Microphone (Qudelix-5K USB DAC/MIC 44.1KHz), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Mar 12, 2024 10:11:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: JBL 230NC R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.149 149.4748
20.600000 86.211 147.1697
20.900000 86.279 144.6147
21.200001 86.347 142.0763
21.400000 86.392 140.3973
21.799999 86.479 137.0516
22.000000 86.519 135.3812
22.400000 86.592 132.0537
22.700001 86.638 129.5836
23.000000 86.679 127.1465
23.299999 86.717 124.7458
23.600000 86.752 122.3787
24.000000 86.799 119.2657
24.299999 86.832 116.9592
24.700001 86.873 113.9204
25.000000 86.900 111.6685
25.400000 86.931 108.6946
25.799999 86.955 105.7368
26.200001 86.971 102.7798
26.500000 86.975 100.5629
26.900000 86.972 97.6245
27.200001 86.963 95.4490
27.600000 86.948 92.6031
28.000000 86.931 89.8237
28.500000 86.909 86.4267
29.000000 86.882 83.0953
29.500000 86.844 79.8309
30.000000 86.795 76.6487
30.400000 86.750 74.1683
30.700001 86.715 72.3471
31.100000 86.667 69.9735
31.500000 86.619 67.6680
32.000000 86.562 64.8881
32.500000 86.511 62.2134
33.000000 86.469 59.6174
33.500000 86.433 57.0721
34.000000 86.402 54.5599
34.500000 86.375 52.0697
35.000000 86.352 49.5930
35.500000 86.334 47.1281
36.000000 86.320 44.6793
36.500000 86.316 42.2448
37.000000 86.321 39.8062
37.500000 86.332 37.3406
38.200001 86.345 33.8341
38.700001 86.348 31.3075
39.500000 86.344 27.2524
40.000000 86.341 24.7072
40.599998 86.337 21.6449
41.200001 86.331 18.5916
41.799999 86.320 15.5606
42.500000 86.300 12.0458
43.099998 86.276 9.0363
43.700001 86.248 6.0244
44.400002 86.211 2.5240
45.000000 86.176 -0.4454
45.500000 86.144 -2.8933
46.200001 86.091 -6.2868
46.799999 86.038 -9.1703
47.500000 85.968 -12.5067
48.200001 85.895 -15.8131
48.700001 85.841 -18.1509
49.400002 85.767 -21.3750
50.000000 85.705 -24.0883
50.799999 85.624 -27.6497
51.500000 85.549 -30.7162
52.200001 85.469 -33.7212
53.000000 85.378 -37.0889
53.799999 85.288 -40.4187
54.500000 85.210 -43.3024
55.200001 85.134 -46.1460
56.000000 85.050 -49.3501
57.000000 84.944 -53.3045
58.000000 84.837 -57.2126
59.000000 84.733 -61.0639
60.000000 84.639 -64.8483
60.799999 84.567 -67.8532
61.500000 84.502 -70.4720
62.200001 84.437 -73.0727
63.000000 84.366 -76.0228
64.000000 84.281 -79.6670
65.000000 84.200 -83.2435
66.000000 84.124 -86.8142
67.000000 84.051 -90.4088
68.000000 83.979 -93.9698
69.000000 83.912 -97.4854
70.000000 83.846 -100.9769
71.000000 83.781 -104.4461
72.000000 83.716 -107.8929
73.000000 83.653 -111.3458
74.000000 83.589 -114.8034
75.000000 83.529 -118.2345
76.199997 83.458 -122.3377
77.500000 83.379 -126.7881
78.800003 83.303 -131.2207
80.000000 83.238 -135.2600
81.199997 83.175 -139.2719
82.500000 83.104 -143.6188
83.800003 83.033 -147.9451
85.000000 82.968 -151.9207
86.199997 82.900 -155.8745
87.500000 82.827 -160.1271
88.500000 82.773 -163.3926
90.000000 82.690 -168.2740
91.199997 82.620 -172.1948
92.500000 82.544 -176.4547
93.800003 82.470 179.3101
95.000000 82.401 175.4486
96.199997 82.332 171.6230
97.500000 82.253 167.4978
98.800003 82.178 163.3957
100.000000 82.114 159.6185
101.500000 82.030 154.9138
103.000000 81.941 150.2323
104.400002 81.859 145.9040
106.000000 81.767 141.0101
107.500000 81.678 136.4399
109.000000 81.589 131.8616
110.599998 81.495 127.0003
112.000000 81.414 122.7827
113.800003 81.304 117.4043
115.000000 81.231 113.8337
117.199997 81.102 107.2934
118.000000 81.056 104.9376
120.599998 80.910 97.3255
122.000000 80.831 93.2511
124.099998 80.709 87.2292
125.000000 80.655 84.6604
126.500000 80.567 80.3644
128.000000 80.483 76.0993
131.500000 80.278 66.0864
132.000000 80.248 64.6761
134.000000 80.137 59.1255
136.000000 80.034 53.6120
138.000000 79.927 48.1678
140.000000 79.814 42.7480
143.000000 79.652 34.6068
145.000000 79.548 29.1784
147.500000 79.417 22.4536
150.000000 79.289 15.7168
152.500000 79.150 9.0406
155.000000 79.015 2.4275
157.500000 78.874 -4.1349
160.000000 78.732 -10.5788
162.500000 78.592 -16.9757
165.000000 78.442 -23.4180
167.500000 78.304 -29.8347
170.000000 78.161 -36.0450
172.500000 78.032 -42.0342
175.000000 77.921 -48.0161
177.500000 77.781 -54.3028
180.000000 77.627 -60.6050
182.500000 77.445 -66.3625
185.000000 77.219 -71.7050
187.500000 77.064 -76.9085
190.000000 76.972 -82.3627
192.500000 76.861 -87.8491
195.000000 76.742 -93.0083
197.500000 76.693 -97.9556
200.000000 76.687 -102.5471
203.000000 76.743 -108.3738
206.000000 76.920 -114.9970
209.000000 77.093 -122.4727
212.000000 77.166 -130.3706
214.000000 77.160 -135.5790
218.000000 77.074 -145.7427
220.000000 77.015 -150.7075
224.000000 76.890 -160.3502
227.000000 76.792 -167.3405
230.000000 76.693 -174.1958
233.000000 76.601 178.9752
236.000000 76.520 172.1865
240.000000 76.427 163.1958
243.000000 76.357 156.5787
247.000000 76.266 147.8508
250.000000 76.207 141.3323
254.000000 76.134 132.6608
258.000000 76.070 124.0211
262.000000 76.015 115.4404
265.000000 75.977 109.0493
269.000000 75.928 100.5508
272.000000 75.897 94.1667
276.000000 75.861 85.6831
280.000000 75.828 77.2478
285.000000 75.795 66.7437
290.000000 75.768 56.2563
295.000000 75.744 45.7902
300.000000 75.723 35.3606
304.000000 75.712 27.0443
307.000000 75.705 20.8287
311.000000 75.697 12.5537
315.000000 75.689 4.2842
320.000000 75.683 -6.0435
325.000000 75.682 -16.3373
330.000000 75.687 -26.6043
335.000000 75.692 -36.8588
340.000000 75.698 -47.0898
345.000000 75.703 -57.2965
350.000000 75.710 -67.4661
355.000000 75.718 -77.6036
360.000000 75.725 -87.7177
365.000000 75.732 -97.8039
370.000000 75.739 -107.8616
375.000000 75.745 -117.9009
382.000000 75.752 -131.9253
387.000000 75.759 -141.9006
395.000000 75.770 -157.7771
400.000000 75.777 -167.6708
406.000000 75.783 -179.5137
412.000000 75.790 168.6843
418.000000 75.797 156.9346
425.000000 75.803 143.2772
431.000000 75.805 131.6199
437.000000 75.808 120.0040
444.000000 75.810 106.5292
450.000000 75.812 95.0374
455.000000 75.812 85.4883
462.000000 75.810 72.1785
468.000000 75.807 60.8066
475.000000 75.805 47.6033
482.000000 75.801 34.4612
487.000000 75.799 25.1044
494.000000 75.795 12.0569
500.000000 75.792 0.9165
508.000000 75.785 -13.8573
515.000000 75.779 -26.7197
522.000000 75.773 -39.5138
530.000000 75.765 -54.0626
538.000000 75.756 -68.5311
545.000000 75.747 -81.1315
552.000000 75.737 -93.6802
560.000000 75.725 -107.9426
570.000000 75.710 -125.6498
580.000000 75.693 -143.2505
590.000000 75.677 -160.7471
600.000000 75.662 -178.1135
608.000000 75.650 168.0662
615.000000 75.641 156.0303
622.000000 75.630 144.0452
630.000000 75.618 130.4121
640.000000 75.603 113.4860
650.000000 75.590 96.6715
660.000000 75.578 79.9528
670.000000 75.566 63.3307
680.000000 75.554 46.8398
690.000000 75.542 30.4547
700.000000 75.535 14.1636
710.000000 75.528 -2.0295
720.000000 75.523 -18.1262
730.000000 75.519 -34.1245
740.000000 75.517 -50.0344
750.000000 75.518 -65.8606
762.000000 75.523 -84.7219
775.000000 75.531 -105.0065
788.000000 75.545 -125.1542
800.000000 75.561 -143.6156
812.000000 75.581 -161.9508
825.000000 75.607 178.3030
838.000000 75.638 158.6888
850.000000 75.671 140.6963
862.000000 75.710 122.8143
875.000000 75.754 103.5598
885.000000 75.791 88.8198
900.000000 75.853 66.8276
912.000000 75.910 49.3275
925.000000 75.977 30.4669
938.000000 76.048 11.6998
950.000000 76.118 -5.5427
962.000000 76.192 -22.7091
975.000000 76.278 -41.2247
988.000000 76.367 -59.6622
1000.000000 76.451 -76.6165
1015.000000 76.560 -97.7471
1030.000000 76.672 -118.7729
1044.000000 76.779 -138.3091
1060.000000 76.901 -160.5330
1075.000000 77.014 178.7227
1090.000000 77.125 158.0579
1106.000000 77.245 136.1055
1120.000000 77.349 116.9800
1138.000000 77.480 92.5198
1150.000000 77.566 76.2834
1172.000000 77.718 46.6570
1180.000000 77.771 35.9292
1206.000000 77.940 1.2378
1220.000000 78.028 -17.3257
1241.000000 78.153 -45.0005
1250.000000 78.204 -56.8003
1265.000000 78.286 -76.3877
1280.000000 78.366 -95.8708
1315.000000 78.539 -140.9067
1320.000000 78.562 -147.2913
1340.000000 78.652 -172.7158
1360.000000 78.739 162.0405
1380.000000 78.822 136.9871
1400.000000 78.901 112.1248
1430.000000 79.011 75.1875
1450.000000 79.081 50.7998
1475.000000 79.168 20.5876
1500.000000 79.255 -9.3250
1525.000000 79.342 -38.9492
1550.000000 79.431 -68.2839
1575.000000 79.523 -97.3472
1600.000000 79.620 -126.1472
1625.000000 79.721 -154.6958
1650.000000 79.825 177.0007
1675.000000 79.932 148.9326
1700.000000 80.043 121.0889
1725.000000 80.157 93.4690
1750.000000 80.275 66.0703
1775.000000 80.396 38.8860
1800.000000 80.522 11.9253
1825.000000 80.652 -14.8125
1850.000000 80.784 -41.3394
1875.000000 80.920 -67.6797
1900.000000 81.060 -93.8384
1925.000000 81.203 -119.8071
1950.000000 81.348 -145.5933
1975.000000 81.496 -171.1956
2000.000000 81.646 163.3828
2030.000000 81.830 133.0840
2060.000000 82.018 103.0034
2090.000000 82.210 73.1594
2120.000000 82.403 43.5618
2140.000000 82.533 23.9607
2180.000000 82.798 -14.9626
2200.000000 82.933 -34.3052
2240.000000 83.212 -72.7639
2270.000000 83.426 -101.3926
2300.000000 83.640 -129.8149
2330.000000 83.855 -158.0479
2360.000000 84.071 173.8833
2400.000000 84.358 136.6965
2430.000000 84.571 108.9827
2470.000000 84.852 72.2764
2500.000000 85.057 44.9224
2540.000000 85.320 8.6704
2580.000000 85.571 -27.3328
2620.000000 85.807 -63.0818
2650.000000 85.972 -89.7302
2690.000000 86.171 -125.0518
2720.000000 86.304 -151.3704
2760.000000 86.460 173.7996
2800.000000 86.586 139.2842
2850.000000 86.701 96.5830
2900.000000 86.765 54.3816
2950.000000 86.779 12.7290
3000.000000 86.745 -28.3174
3040.000000 86.685 -60.6914
3070.000000 86.622 -84.6914
3110.000000 86.519 -116.3057
3150.000000 86.397 -147.4692
3200.000000 86.225 174.2080
3250.000000 86.039 136.5503
3300.000000 85.845 99.5303
3350.000000 85.638 63.1367
3400.000000 85.420 27.3774
3450.000000 85.194 -7.7451
3500.000000 84.965 -42.2402
3550.000000 84.735 -76.1128
3600.000000 84.508 -109.3882
3650.000000 84.286 -142.0908
3700.000000 84.074 -174.2368
3750.000000 83.872 154.1597
3820.000000 83.608 110.7915
3870.000000 83.434 80.3931
3950.000000 83.181 32.7051
4000.000000 83.037 3.4697
4060.000000 82.878 -31.0566
4120.000000 82.732 -65.0005
4180.000000 82.600 -98.3848
4250.000000 82.460 -136.6572
4310.000000 82.347 -168.8970
4370.000000 82.238 159.3877
4440.000000 82.117 123.0425
4500.000000 82.017 92.4429
4550.000000 81.937 67.3257
4620.000000 81.827 32.7383
4680.000000 81.735 3.6250
4750.000000 81.626 -29.7354
4820.000000 81.516 -62.4448
4870.000000 81.437 -85.4238
4940.000000 81.324 -117.0454
5000.000000 81.227 -143.6450
5080.000000 81.096 -178.3896
5150.000000 80.979 151.8882
5220.000000 80.860 122.8071
5300.000000 80.722 90.3545
5380.000000 80.583 58.7427
5450.000000 80.465 31.7563
5520.000000 80.351 5.3779
5600.000000 80.228 -24.0483
5700.000000 80.080 -59.7896
5800.000000 79.936 -94.4038
5900.000000 79.787 -127.8828
