* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -30.0 dBFS with no timing reference
* Dated: Feb 2, 2025 12:05:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KBEar KW1 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 96.756 -115.9084
20.600000 96.819 -116.6795
20.900000 96.888 -117.5008
21.200001 96.955 -118.3122
21.400000 97.000 -118.8474
21.799999 97.090 -119.9084
22.000000 97.135 -120.4350
22.400000 97.224 -121.4788
22.700001 97.289 -122.2500
23.000000 97.351 -123.0084
23.299999 97.410 -123.7531
23.600000 97.467 -124.4851
24.000000 97.540 -125.4440
24.299999 97.592 -126.1514
24.700001 97.658 -127.0766
25.000000 97.706 -127.7539
25.400000 97.770 -128.6327
25.799999 97.834 -129.4885
26.200001 97.898 -130.3342
26.500000 97.945 -130.9698
26.900000 98.004 -131.8221
27.200001 98.045 -132.4604
27.600000 98.093 -133.2974
28.000000 98.138 -134.1059
28.500000 98.193 -135.0753
29.000000 98.250 -136.0202
29.500000 98.308 -136.9619
30.000000 98.361 -137.8952
30.400000 98.400 -138.6207
30.700001 98.428 -139.1475
31.100000 98.464 -139.8302
31.500000 98.501 -140.5010
32.000000 98.546 -141.3396
32.500000 98.587 -142.1811
33.000000 98.625 -143.0119
33.500000 98.662 -143.8195
34.000000 98.701 -144.6052
34.500000 98.740 -145.3775
35.000000 98.779 -146.1402
35.500000 98.816 -146.8893
36.000000 98.848 -147.6199
36.500000 98.875 -148.3312
37.000000 98.899 -149.0250
37.500000 98.919 -149.7047
38.200001 98.947 -150.6432
38.700001 98.968 -151.3109
39.500000 99.003 -152.3652
40.000000 99.024 -153.0013
40.599998 99.046 -153.7367
41.200001 99.066 -154.4529
41.799999 99.083 -155.1638
42.500000 99.104 -156.0084
43.099998 99.124 -156.7630
43.700001 99.141 -157.5306
44.400002 99.153 -158.3723
45.000000 99.160 -159.0126
45.500000 99.167 -159.5148
46.200001 99.180 -160.2386
46.799999 99.188 -160.8917
47.500000 99.192 -161.6465
48.200001 99.197 -162.3597
48.700001 99.202 -162.8460
49.400002 99.212 -163.5058
50.000000 99.220 -164.0628
50.799999 99.229 -164.8092
51.500000 99.231 -165.4603
52.200001 99.231 -166.0985
53.000000 99.231 -166.8256
53.799999 99.230 -167.5565
54.500000 99.227 -168.1726
55.200001 99.224 -168.7525
56.000000 99.221 -169.3960
57.000000 99.216 -170.2114
58.000000 99.207 -171.0037
59.000000 99.199 -171.7484
60.000000 99.189 -172.5059
60.799999 99.177 -173.1178
61.500000 99.167 -173.6402
62.200001 99.159 -174.1606
63.000000 99.148 -174.7503
64.000000 99.128 -175.4327
65.000000 99.113 -176.0766
66.000000 99.099 -176.7226
67.000000 99.082 -177.3629
68.000000 99.060 -178.0211
69.000000 99.037 -178.6776
70.000000 99.017 -179.2948
71.000000 98.997 -179.8681
72.000000 98.976 179.5650
73.000000 98.954 178.9711
74.000000 98.931 178.3835
75.000000 98.906 177.8262
76.199997 98.875 177.1800
77.500000 98.841 176.4916
78.800003 98.806 175.8203
80.000000 98.774 175.2015
81.199997 98.741 174.6046
82.500000 98.706 173.9883
83.800003 98.668 173.3854
85.000000 98.633 172.8426
86.199997 98.601 172.3046
87.500000 98.563 171.7194
88.500000 98.530 171.2868
90.000000 98.484 170.6845
91.199997 98.450 170.2076
92.500000 98.412 169.6746
93.800003 98.374 169.1469
95.000000 98.340 168.6763
96.199997 98.302 168.2283
97.500000 98.258 167.7597
98.800003 98.217 167.2880
100.000000 98.179 166.8661
101.500000 98.130 166.3584
103.000000 98.082 165.8529
104.400002 98.035 165.3899
106.000000 97.983 164.8701
107.500000 97.935 164.4012
109.000000 97.886 163.9477
110.599998 97.834 163.4779
112.000000 97.788 163.0707
113.800003 97.730 162.5723
115.000000 97.691 162.2464
117.199997 97.617 161.6521
118.000000 97.591 161.4353
120.599998 97.506 160.7501
122.000000 97.458 160.4272
124.099998 97.386 159.9292
125.000000 97.355 159.7149
126.500000 97.305 159.3725
128.000000 97.255 159.0396
131.500000 97.137 158.2893
132.000000 97.120 158.1867
134.000000 97.057 157.7776
136.000000 96.992 157.3717
138.000000 96.927 156.9863
140.000000 96.862 156.6147
143.000000 96.767 156.0716
145.000000 96.702 155.7112
147.500000 96.617 155.2935
150.000000 96.535 154.9011
152.500000 96.455 154.4976
155.000000 96.379 154.1174
157.500000 96.303 153.7601
160.000000 96.223 153.4249
162.500000 96.144 153.0963
165.000000 96.066 152.7673
167.500000 95.989 152.4459
170.000000 95.911 152.1523
172.500000 95.835 151.8718
175.000000 95.758 151.5996
177.500000 95.683 151.3351
180.000000 95.606 151.0945
182.500000 95.530 150.8737
185.000000 95.457 150.6461
187.500000 95.384 150.3973
190.000000 95.313 150.1628
192.500000 95.242 149.9447
195.000000 95.173 149.7181
197.500000 95.101 149.5215
200.000000 95.027 149.3776
203.000000 94.941 149.2013
206.000000 94.852 148.9810
209.000000 94.765 148.7911
212.000000 94.678 148.6553
214.000000 94.621 148.5562
218.000000 94.509 148.3572
220.000000 94.453 148.2761
224.000000 94.343 148.1505
227.000000 94.267 148.0827
230.000000 94.199 148.0387
233.000000 94.132 147.9856
236.000000 94.067 147.9209
240.000000 93.980 147.8181
243.000000 93.906 147.6782
247.000000 93.805 147.5028
250.000000 93.731 147.3942
254.000000 93.632 147.2791
258.000000 93.534 147.2223
262.000000 93.441 147.2018
265.000000 93.372 147.1637
269.000000 93.281 147.1392
272.000000 93.214 147.1446
276.000000 93.130 147.1619
280.000000 93.046 147.1904
285.000000 92.954 147.2241
290.000000 92.865 147.2192
295.000000 92.770 147.1921
300.000000 92.671 147.1689
304.000000 92.591 147.1282
307.000000 92.533 147.1279
311.000000 92.461 147.1780
315.000000 92.391 147.1881
320.000000 92.304 147.1362
325.000000 92.209 147.1312
330.000000 92.109 147.1427
335.000000 92.006 147.1829
340.000000 91.907 147.2722
345.000000 91.819 147.3901
350.000000 91.733 147.5037
355.000000 91.647 147.5814
360.000000 91.561 147.6708
365.000000 91.481 147.7785
370.000000 91.400 147.8842
375.000000 91.315 148.0093
382.000000 91.199 148.1859
387.000000 91.118 148.3314
395.000000 90.991 148.5756
400.000000 90.915 148.7142
406.000000 90.825 148.9191
412.000000 90.732 149.1474
418.000000 90.640 149.3510
425.000000 90.537 149.5958
431.000000 90.454 149.8129
437.000000 90.372 150.0460
444.000000 90.275 150.3401
450.000000 90.194 150.5895
455.000000 90.125 150.8041
462.000000 90.033 151.1149
468.000000 89.955 151.3883
475.000000 89.864 151.7374
482.000000 89.780 152.0687
487.000000 89.722 152.3079
494.000000 89.645 152.6779
500.000000 89.581 152.9788
508.000000 89.496 153.3378
515.000000 89.423 153.6619
522.000000 89.351 154.0028
530.000000 89.268 154.3983
538.000000 89.183 154.7881
545.000000 89.110 155.1532
552.000000 89.040 155.5304
560.000000 88.961 155.9589
570.000000 88.867 156.5040
580.000000 88.776 157.0537
590.000000 88.686 157.6140
600.000000 88.600 158.1908
608.000000 88.535 158.6665
615.000000 88.481 159.0887
622.000000 88.427 159.5163
630.000000 88.365 160.0049
640.000000 88.291 160.6097
650.000000 88.219 161.2248
660.000000 88.151 161.8688
670.000000 88.087 162.5004
680.000000 88.026 163.1458
690.000000 87.970 163.7886
700.000000 87.914 164.4403
710.000000 87.860 165.0829
720.000000 87.809 165.7106
730.000000 87.758 166.3524
740.000000 87.709 167.0012
750.000000 87.659 167.6771
762.000000 87.603 168.5604
775.000000 87.555 169.5625
788.000000 87.521 170.5436
800.000000 87.498 171.4268
812.000000 87.479 172.2971
825.000000 87.464 173.2130
838.000000 87.458 174.1229
850.000000 87.455 174.9678
862.000000 87.456 175.7864
875.000000 87.462 176.6617
885.000000 87.472 177.3339
900.000000 87.492 178.3244
912.000000 87.514 179.0899
925.000000 87.544 179.8914
938.000000 87.580 -179.3267
950.000000 87.616 -178.6219
962.000000 87.656 -177.9528
975.000000 87.704 -177.2593
988.000000 87.754 -176.6018
1000.000000 87.803 -176.0241
1015.000000 87.868 -175.3371
1030.000000 87.937 -174.7007
1044.000000 88.002 -174.1536
1060.000000 88.077 -173.5744
1075.000000 88.147 -173.0862
1090.000000 88.218 -172.6393
1106.000000 88.291 -172.2039
1120.000000 88.353 -171.8571
1138.000000 88.431 -171.4626
1150.000000 88.482 -171.2243
1172.000000 88.570 -170.8241
1180.000000 88.600 -170.6892
1206.000000 88.693 -170.3063
1220.000000 88.740 -170.1268
1241.000000 88.806 -169.8677
1250.000000 88.832 -169.7623
1265.000000 88.874 -169.5863
1280.000000 88.913 -169.4068
1315.000000 88.997 -169.0059
1320.000000 89.008 -168.9509
1340.000000 89.049 -168.7273
1360.000000 89.087 -168.4925
1380.000000 89.124 -168.2585
1400.000000 89.160 -168.0209
1430.000000 89.209 -167.6341
1450.000000 89.240 -167.3779
1475.000000 89.281 -167.0449
1500.000000 89.321 -166.6929
1525.000000 89.360 -166.3280
1550.000000 89.400 -165.9665
1575.000000 89.443 -165.5965
1600.000000 89.487 -165.2192
1625.000000 89.532 -164.8235
1650.000000 89.580 -164.4286
1675.000000 89.626 -164.0369
1700.000000 89.674 -163.6455
1725.000000 89.724 -163.2491
1750.000000 89.775 -162.8501
1775.000000 89.830 -162.4498
1800.000000 89.887 -162.0561
1825.000000 89.945 -161.6640
1850.000000 90.006 -161.2690
1875.000000 90.069 -160.8719
1900.000000 90.133 -160.4727
1925.000000 90.200 -160.0842
1950.000000 90.268 -159.7021
1975.000000 90.338 -159.3180
2000.000000 90.412 -158.9301
2030.000000 90.504 -158.4682
2060.000000 90.600 -158.0066
2090.000000 90.701 -157.5449
2120.000000 90.808 -157.0808
2140.000000 90.883 -156.7712
2180.000000 91.042 -156.1518
2200.000000 91.127 -155.8465
2240.000000 91.311 -155.2526
2270.000000 91.461 -154.8324
2300.000000 91.625 -154.4440
2330.000000 91.804 -154.1066
2360.000000 91.999 -153.8510
2400.000000 92.280 -153.6953
2430.000000 92.504 -153.7576
2470.000000 92.809 -154.1421
2500.000000 93.033 -154.6657
2540.000000 93.310 -155.6702
2580.000000 93.547 -156.9529
2620.000000 93.735 -158.3828
2650.000000 93.844 -159.4902
2690.000000 93.952 -160.9323
2720.000000 94.010 -161.9502
2760.000000 94.065 -163.1966
2800.000000 94.103 -164.3131
2850.000000 94.141 -165.5517
2900.000000 94.173 -166.6680
2950.000000 94.200 -167.7068
3000.000000 94.224 -168.6865
3040.000000 94.240 -169.4406
3070.000000 94.252 -169.9910
3110.000000 94.262 -170.6991
3150.000000 94.268 -171.3793
3200.000000 94.273 -172.1859
3250.000000 94.276 -172.9387
3300.000000 94.278 -173.6389
3350.000000 94.281 -174.2920
3400.000000 94.288 -174.9181
3450.000000 94.301 -175.5412
3500.000000 94.318 -176.1804
3550.000000 94.334 -176.8532
3600.000000 94.348 -177.5554
3650.000000 94.357 -178.2776
3700.000000 94.360 -179.0140
3750.000000 94.358 -179.7592
3820.000000 94.343 179.2075
3870.000000 94.326 178.5046
3950.000000 94.295 177.4419
4000.000000 94.275 176.7921
4060.000000 94.251 176.0109
4120.000000 94.223 175.2143
4180.000000 94.188 174.4129
4250.000000 94.139 173.5193
4310.000000 94.098 172.7908
4370.000000 94.059 172.0225
4440.000000 93.998 171.0668
4500.000000 93.930 170.2748
4550.000000 93.866 169.6603
4620.000000 93.768 168.8854
4680.000000 93.680 168.3035
4750.000000 93.579 167.7232
4820.000000 93.486 167.2187
4870.000000 93.426 166.8721
4940.000000 93.346 166.3833
5000.000000 93.280 165.9499
5080.000000 93.189 165.3471
5150.000000 93.105 164.8169
5220.000000 93.017 164.3001
5300.000000 92.909 163.7344
5380.000000 92.796 163.2153
5450.000000 92.695 162.7999
5520.000000 92.592 162.4186
5600.000000 92.473 162.0321
5700.000000 92.324 161.6227
5800.000000 92.173 161.2848
5900.000000 92.024 161.0383
6000.000000 91.878 160.8815
6080.000000 91.767 160.8236
