* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -30.0 dBFS with no timing reference
* Dated: Feb 2, 2025 12:07:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KBEar KW1 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 96.688 -115.5695
20.600000 96.754 -116.3227
20.900000 96.827 -117.1302
21.200001 96.899 -117.9408
21.400000 96.947 -118.4834
21.799999 97.038 -119.5706
22.000000 97.082 -120.1103
22.400000 97.166 -121.1675
22.700001 97.226 -121.9342
23.000000 97.285 -122.6793
23.299999 97.344 -123.4097
23.600000 97.403 -124.1335
24.000000 97.480 -125.0970
24.299999 97.536 -125.8176
24.700001 97.608 -126.7656
25.000000 97.659 -127.4591
25.400000 97.726 -128.3542
25.799999 97.790 -129.2185
26.200001 97.852 -130.0607
26.500000 97.897 -130.6828
26.900000 97.951 -131.5033
27.200001 97.990 -132.1129
27.600000 98.039 -132.9194
28.000000 98.086 -133.7212
28.500000 98.146 -134.7201
29.000000 98.207 -135.7119
29.500000 98.265 -136.6833
30.000000 98.321 -137.6203
30.400000 98.363 -138.3419
30.700001 98.393 -138.8694
31.100000 98.431 -139.5609
31.500000 98.468 -140.2465
32.000000 98.513 -141.1005
32.500000 98.554 -141.9441
33.000000 98.595 -142.7621
33.500000 98.636 -143.5487
34.000000 98.676 -144.3152
34.500000 98.714 -145.0778
35.000000 98.745 -145.8396
35.500000 98.770 -146.5908
36.000000 98.794 -147.3267
36.500000 98.821 -148.0591
37.000000 98.851 -148.8033
37.500000 98.879 -149.5542
38.200001 98.913 -150.5607
38.700001 98.934 -151.2169
39.500000 98.971 -152.1982
40.000000 98.993 -152.8144
40.599998 99.013 -153.5649
41.200001 99.029 -154.3002
41.799999 99.048 -155.0181
42.500000 99.075 -155.8769
43.099998 99.095 -156.6364
43.700001 99.107 -157.3699
44.400002 99.114 -158.1455
45.000000 99.120 -158.7650
45.500000 99.128 -159.2816
46.200001 99.138 -160.0268
46.799999 99.147 -160.6767
47.500000 99.159 -161.4264
48.200001 99.171 -162.1477
48.700001 99.178 -162.6407
49.400002 99.186 -163.3086
50.000000 99.189 -163.8747
50.799999 99.189 -164.6316
51.500000 99.190 -165.2923
52.200001 99.192 -165.9464
53.000000 99.196 -166.6826
53.799999 99.197 -167.4027
54.500000 99.194 -168.0149
55.200001 99.188 -168.6124
56.000000 99.184 -169.2859
57.000000 99.185 -170.1073
58.000000 99.187 -170.9061
59.000000 99.178 -171.7076
60.000000 99.158 -172.4769
60.799999 99.145 -173.0579
61.500000 99.138 -173.5610
62.200001 99.130 -174.0600
63.000000 99.117 -174.6144
64.000000 99.097 -175.2960
65.000000 99.077 -175.9784
66.000000 99.061 -176.6529
67.000000 99.046 -177.3189
68.000000 99.030 -177.9568
69.000000 99.013 -178.5902
70.000000 98.989 -179.2209
71.000000 98.966 -179.8202
72.000000 98.945 179.5786
73.000000 98.922 178.9804
74.000000 98.895 178.4195
75.000000 98.870 177.8802
76.199997 98.840 177.2393
77.500000 98.808 176.5522
78.800003 98.774 175.8788
80.000000 98.744 175.2584
81.199997 98.715 174.6566
82.500000 98.684 174.0376
83.800003 98.647 173.4190
85.000000 98.608 172.8610
86.199997 98.571 172.3139
87.500000 98.532 171.7382
88.500000 98.503 171.3113
90.000000 98.461 170.7008
91.199997 98.427 170.2151
92.500000 98.386 169.6959
93.800003 98.343 169.1910
95.000000 98.305 168.7032
96.199997 98.268 168.2096
97.500000 98.229 167.7102
98.800003 98.189 167.2542
100.000000 98.151 166.8473
101.500000 98.105 166.3387
103.000000 98.057 165.8333
104.400002 98.010 165.3700
106.000000 97.958 164.8587
107.500000 97.908 164.3845
109.000000 97.858 163.9178
110.599998 97.805 163.4391
112.000000 97.759 163.0289
113.800003 97.699 162.5110
115.000000 97.659 162.1818
117.199997 97.585 161.6000
118.000000 97.557 161.3906
120.599998 97.469 160.7251
122.000000 97.424 160.3699
124.099998 97.358 159.8537
125.000000 97.329 159.6402
126.500000 97.280 159.2909
128.000000 97.230 158.9492
131.500000 97.116 158.2104
132.000000 97.099 158.1054
134.000000 97.033 157.6761
136.000000 96.967 157.2691
138.000000 96.901 156.8841
140.000000 96.835 156.5048
143.000000 96.735 155.9617
145.000000 96.670 155.6141
147.500000 96.589 155.2004
150.000000 96.510 154.7808
152.500000 96.431 154.3781
155.000000 96.349 154.0096
157.500000 96.270 153.6577
160.000000 96.192 153.2966
162.500000 96.114 152.9338
165.000000 96.033 152.6018
167.500000 95.956 152.2828
170.000000 95.880 151.9920
172.500000 95.804 151.7334
175.000000 95.727 151.4572
177.500000 95.650 151.1785
180.000000 95.577 150.9255
182.500000 95.502 150.6939
185.000000 95.425 150.4664
187.500000 95.348 150.2339
190.000000 95.275 150.0157
192.500000 95.202 149.8210
195.000000 95.131 149.6485
197.500000 95.059 149.4608
200.000000 94.984 149.2508
203.000000 94.893 149.0610
206.000000 94.807 148.8784
209.000000 94.722 148.6826
212.000000 94.636 148.5351
214.000000 94.579 148.4572
218.000000 94.468 148.3405
220.000000 94.421 148.2876
224.000000 94.330 148.1700
227.000000 94.260 148.0399
230.000000 94.194 147.9120
233.000000 94.125 147.7686
236.000000 94.049 147.6303
240.000000 93.943 147.4732
243.000000 93.873 147.3439
247.000000 93.780 147.2020
250.000000 93.707 147.1218
254.000000 93.609 147.0232
258.000000 93.511 146.9405
262.000000 93.415 146.8987
265.000000 93.342 146.8813
269.000000 93.247 146.8678
272.000000 93.179 146.8754
276.000000 93.092 146.9355
280.000000 93.011 147.0159
285.000000 92.927 147.0261
290.000000 92.848 146.9894
295.000000 92.761 146.9348
300.000000 92.663 146.8205
304.000000 92.581 146.7137
307.000000 92.519 146.6707
311.000000 92.437 146.6526
315.000000 92.355 146.6554
320.000000 92.252 146.6765
325.000000 92.151 146.7287
330.000000 92.054 146.8125
335.000000 91.962 146.9138
340.000000 91.872 146.9780
345.000000 91.784 147.0125
350.000000 91.697 147.0867
355.000000 91.608 147.1975
360.000000 91.517 147.3072
365.000000 91.432 147.4150
370.000000 91.351 147.5474
375.000000 91.271 147.6706
382.000000 91.157 147.8531
387.000000 91.075 147.9759
395.000000 90.949 148.1783
400.000000 90.871 148.3255
406.000000 90.778 148.5171
412.000000 90.687 148.7104
418.000000 90.600 148.9391
425.000000 90.500 149.2099
431.000000 90.413 149.4272
437.000000 90.327 149.6318
444.000000 90.231 149.9190
450.000000 90.148 150.1807
455.000000 90.080 150.3783
462.000000 89.985 150.6503
468.000000 89.909 150.9203
475.000000 89.823 151.2908
482.000000 89.740 151.6456
487.000000 89.683 151.8875
494.000000 89.603 152.2224
500.000000 89.537 152.5074
508.000000 89.451 152.8918
515.000000 89.374 153.2138
522.000000 89.299 153.5352
530.000000 89.215 153.9189
538.000000 89.134 154.3188
545.000000 89.063 154.6790
552.000000 88.991 155.0373
560.000000 88.912 155.4493
570.000000 88.818 155.9936
580.000000 88.727 156.5490
590.000000 88.637 157.1104
600.000000 88.552 157.6898
608.000000 88.484 158.1389
615.000000 88.425 158.5388
622.000000 88.369 158.9571
630.000000 88.310 159.4465
640.000000 88.238 160.0622
650.000000 88.164 160.6918
660.000000 88.094 161.3227
670.000000 88.029 161.9431
680.000000 87.967 162.5715
690.000000 87.906 163.2097
700.000000 87.849 163.8543
710.000000 87.796 164.5078
720.000000 87.745 165.1425
730.000000 87.694 165.7801
740.000000 87.645 166.4381
750.000000 87.600 167.1318
762.000000 87.550 167.9811
775.000000 87.504 168.9278
788.000000 87.468 169.8845
800.000000 87.441 170.7536
812.000000 87.419 171.6034
825.000000 87.403 172.5304
838.000000 87.394 173.4398
850.000000 87.389 174.2719
862.000000 87.390 175.0993
875.000000 87.397 175.9832
885.000000 87.407 176.6429
900.000000 87.428 177.6075
912.000000 87.448 178.3741
925.000000 87.477 179.1841
938.000000 87.512 179.9654
950.000000 87.547 -179.3417
962.000000 87.586 -178.6808
975.000000 87.631 -177.9895
988.000000 87.680 -177.3260
1000.000000 87.729 -176.7490
1015.000000 87.794 -176.0767
1030.000000 87.862 -175.4419
1044.000000 87.926 -174.8907
1060.000000 88.000 -174.3161
1075.000000 88.070 -173.8277
1090.000000 88.140 -173.3798
1106.000000 88.213 -172.9473
1120.000000 88.275 -172.6100
1138.000000 88.353 -172.2136
1150.000000 88.402 -171.9751
1172.000000 88.488 -171.5786
1180.000000 88.518 -171.4470
1206.000000 88.610 -171.0652
1220.000000 88.656 -170.8665
1241.000000 88.722 -170.5875
1250.000000 88.748 -170.4755
1265.000000 88.789 -170.2939
1280.000000 88.827 -170.1189
1315.000000 88.910 -169.7124
1320.000000 88.921 -169.6525
1340.000000 88.964 -169.4162
1360.000000 89.005 -169.1809
1380.000000 89.043 -168.9365
1400.000000 89.079 -168.6892
1430.000000 89.131 -168.2952
1450.000000 89.165 -168.0218
1475.000000 89.208 -167.6738
1500.000000 89.251 -167.3179
1525.000000 89.293 -166.9470
1550.000000 89.336 -166.5679
1575.000000 89.380 -166.1825
1600.000000 89.426 -165.7862
1625.000000 89.475 -165.3790
1650.000000 89.526 -164.9697
1675.000000 89.578 -164.5592
1700.000000 89.633 -164.1436
1725.000000 89.690 -163.7197
1750.000000 89.750 -163.2934
1775.000000 89.813 -162.8682
1800.000000 89.880 -162.4452
1825.000000 89.950 -162.0217
1850.000000 90.023 -161.5992
1875.000000 90.099 -161.1810
1900.000000 90.180 -160.7678
1925.000000 90.265 -160.3604
1950.000000 90.355 -159.9607
1975.000000 90.449 -159.5699
2000.000000 90.549 -159.1927
2030.000000 90.676 -158.7609
2060.000000 90.811 -158.3627
2090.000000 90.954 -158.0043
2120.000000 91.107 -157.6974
2140.000000 91.213 -157.5247
2180.000000 91.434 -157.2749
2200.000000 91.549 -157.2084
2240.000000 91.785 -157.2052
2270.000000 91.965 -157.3231
2300.000000 92.143 -157.5512
2330.000000 92.317 -157.8878
2360.000000 92.484 -158.3305
2400.000000 92.691 -159.0584
2430.000000 92.833 -159.6901
2470.000000 93.002 -160.6163
2500.000000 93.114 -161.3474
2540.000000 93.243 -162.3426
2580.000000 93.352 -163.3359
2620.000000 93.443 -164.3051
2650.000000 93.501 -165.0095
2690.000000 93.570 -165.9082
2720.000000 93.617 -166.5529
2760.000000 93.674 -167.3863
2800.000000 93.728 -168.2021
2850.000000 93.789 -169.2096
2900.000000 93.841 -170.2081
2950.000000 93.885 -171.1972
3000.000000 93.920 -172.1722
3040.000000 93.942 -172.9408
3070.000000 93.955 -173.5114
3110.000000 93.967 -174.2587
3150.000000 93.973 -174.9834
3200.000000 93.974 -175.8606
3250.000000 93.967 -176.6905
3300.000000 93.954 -177.4554
3350.000000 93.939 -178.1441
3400.000000 93.929 -178.7681
3450.000000 93.925 -179.3638
3500.000000 93.928 -179.9611
3550.000000 93.936 179.4113
3600.000000 93.944 178.7452
3650.000000 93.951 178.0384
3700.000000 93.953 177.2872
3750.000000 93.946 176.5026
3820.000000 93.918 175.4169
3870.000000 93.890 174.6848
3950.000000 93.843 173.5710
4000.000000 93.810 172.8846
4060.000000 93.767 172.0580
4120.000000 93.716 171.2437
4180.000000 93.660 170.4698
4250.000000 93.595 169.6163
4310.000000 93.540 168.8524
4370.000000 93.474 168.0600
4440.000000 93.384 167.1727
4500.000000 93.297 166.4623
4550.000000 93.220 165.9070
4620.000000 93.104 165.2039
4680.000000 93.001 164.6911
4750.000000 92.885 164.1924
4820.000000 92.778 163.7548
4870.000000 92.706 163.4555
4940.000000 92.609 163.0377
5000.000000 92.528 162.6765
5080.000000 92.419 162.1936
5150.000000 92.321 161.7812
5220.000000 92.221 161.3834
5300.000000 92.103 160.9530
5380.000000 91.982 160.5585
5450.000000 91.874 160.2474
5520.000000 91.765 159.9722
5600.000000 91.639 159.7042
5700.000000 91.480 159.4480
5800.000000 91.323 159.2912
5900.000000 91.172 159.2362
6000.000000 91.030 159.2706
6080.000000 90.924 159.3455
6150.000000 90.837 159.4465
