* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -32.0 dBFS with no timing reference
* Dated: Jan 27, 2025 7:47:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KC Relentless (1 Ohm) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 90.166 -123.5832
20.600000 90.213 -124.3795
20.900000 90.262 -125.2318
21.200001 90.310 -126.0764
21.400000 90.342 -126.6341
21.799999 90.409 -127.7382
22.000000 90.443 -128.2837
22.400000 90.513 -129.3542
22.700001 90.565 -130.1331
23.000000 90.618 -130.8898
23.299999 90.670 -131.6283
23.600000 90.721 -132.3569
24.000000 90.787 -133.3283
24.299999 90.833 -134.0627
24.700001 90.888 -135.0444
25.000000 90.926 -135.7712
25.400000 90.973 -136.7079
25.799999 91.019 -137.5954
26.200001 91.068 -138.4379
26.500000 91.107 -139.0513
26.900000 91.159 -139.8616
27.200001 91.196 -140.4711
27.600000 91.241 -141.2873
28.000000 91.278 -142.1008
28.500000 91.316 -143.1003
29.000000 91.349 -144.0741
29.500000 91.383 -145.0265
30.000000 91.421 -145.9637
30.400000 91.454 -146.7050
30.700001 91.479 -147.2573
31.100000 91.513 -147.9893
31.500000 91.543 -148.7142
32.000000 91.574 -149.5977
32.500000 91.596 -150.4369
33.000000 91.615 -151.2258
33.500000 91.637 -151.9862
34.000000 91.661 -152.7478
34.500000 91.687 -153.5156
35.000000 91.711 -154.2646
35.500000 91.735 -154.9744
36.000000 91.763 -155.6577
36.500000 91.791 -156.3479
37.000000 91.815 -157.0582
37.500000 91.831 -157.7688
38.200001 91.848 -158.7237
38.700001 91.863 -159.3884
39.500000 91.889 -160.4715
40.000000 91.901 -161.1570
40.599998 91.911 -161.9733
41.200001 91.917 -162.7824
41.799999 91.918 -163.5615
42.500000 91.918 -164.3747
43.099998 91.925 -164.9998
43.700001 91.937 -165.6223
44.400002 91.947 -166.3742
45.000000 91.952 -167.0175
45.500000 91.961 -167.5613
46.200001 91.974 -168.3617
46.799999 91.976 -169.0360
47.500000 91.971 -169.7178
48.200001 91.969 -170.3469
48.700001 91.969 -170.8438
49.400002 91.957 -171.6034
50.000000 91.940 -172.2284
50.799999 91.931 -172.9663
51.500000 91.939 -173.5886
52.200001 91.949 -174.2343
53.000000 91.950 -174.9836
53.799999 91.940 -175.6982
54.500000 91.932 -176.2737
55.200001 91.930 -176.8518
56.000000 91.923 -177.5699
57.000000 91.898 -178.4727
58.000000 91.889 -179.4546
59.000000 91.876 179.4639
60.000000 91.850 178.7672
60.799999 91.845 178.4341
61.500000 91.841 178.0738
62.200001 91.826 177.6107
63.000000 91.806 177.0058
64.000000 91.786 176.2097
65.000000 91.764 175.4783
66.000000 91.738 174.8134
67.000000 91.713 174.1351
68.000000 91.689 173.4572
69.000000 91.666 172.8249
70.000000 91.645 172.1931
71.000000 91.621 171.5530
72.000000 91.599 170.9345
73.000000 91.576 170.3240
74.000000 91.552 169.7421
75.000000 91.529 169.1672
76.199997 91.493 168.4778
77.500000 91.456 167.7598
78.800003 91.425 167.0159
80.000000 91.395 166.3783
81.199997 91.359 165.7494
82.500000 91.315 165.0427
83.800003 91.278 164.3591
85.000000 91.246 163.7887
86.199997 91.211 163.2310
87.500000 91.170 162.6044
88.500000 91.141 162.1395
90.000000 91.102 161.4687
91.199997 91.066 160.9137
92.500000 91.023 160.3073
93.800003 90.979 159.7530
95.000000 90.943 159.2561
96.199997 90.905 158.7132
97.500000 90.859 158.1234
98.800003 90.814 157.6110
100.000000 90.783 157.1481
101.500000 90.744 156.5335
103.000000 90.700 155.9473
104.400002 90.652 155.4102
106.000000 90.597 154.8185
107.500000 90.550 154.2812
109.000000 90.506 153.7247
110.599998 90.457 153.1507
112.000000 90.414 152.6763
113.800003 90.360 152.0587
115.000000 90.323 151.6519
117.199997 90.250 150.9368
118.000000 90.220 150.6837
120.599998 90.135 149.8776
122.000000 90.096 149.4393
124.099998 90.034 148.8011
125.000000 90.008 148.5281
126.500000 89.962 148.0792
128.000000 89.914 147.6425
131.500000 89.805 146.6440
132.000000 89.790 146.5092
134.000000 89.732 145.9623
136.000000 89.672 145.4240
138.000000 89.612 144.9083
140.000000 89.549 144.4070
143.000000 89.453 143.6930
145.000000 89.392 143.1829
147.500000 89.322 142.5954
150.000000 89.256 142.0902
152.500000 89.178 141.4881
155.000000 89.089 140.8907
157.500000 89.000 140.2990
160.000000 88.936 139.7744
162.500000 88.879 139.2492
165.000000 88.809 138.7352
167.500000 88.738 138.2300
170.000000 88.664 137.7813
172.500000 88.591 137.3299
175.000000 88.523 136.8579
177.500000 88.456 136.4072
180.000000 88.387 135.9348
182.500000 88.318 135.4803
185.000000 88.253 135.0231
187.500000 88.190 134.5903
190.000000 88.122 134.1714
192.500000 88.062 133.7629
195.000000 87.997 133.3452
197.500000 87.923 132.9569
200.000000 87.851 132.5936
203.000000 87.765 132.1512
206.000000 87.683 131.7144
209.000000 87.603 131.3290
212.000000 87.519 130.9352
214.000000 87.463 130.6606
218.000000 87.370 130.1623
220.000000 87.331 129.9279
224.000000 87.231 129.4448
227.000000 87.144 129.1041
230.000000 87.062 128.7855
233.000000 86.983 128.4634
236.000000 86.914 128.1353
240.000000 86.824 127.7667
243.000000 86.736 127.5812
247.000000 86.631 127.4399
250.000000 86.581 127.3558
254.000000 86.524 127.2256
258.000000 86.496 127.0449
262.000000 86.482 126.7701
265.000000 86.469 126.3502
269.000000 86.439 125.6106
272.000000 86.397 124.9956
276.000000 86.312 124.4120
280.000000 86.218 123.9990
285.000000 86.112 123.4920
290.000000 86.011 122.9854
295.000000 85.913 122.4806
300.000000 85.821 122.0329
304.000000 85.750 121.6868
307.000000 85.697 121.4316
311.000000 85.625 121.1147
315.000000 85.557 120.7953
320.000000 85.472 120.3828
325.000000 85.380 119.9902
330.000000 85.295 119.6418
335.000000 85.217 119.3012
340.000000 85.138 118.9634
345.000000 85.055 118.6626
350.000000 84.971 118.3602
355.000000 84.896 118.1072
360.000000 84.826 117.8477
365.000000 84.751 117.4919
370.000000 84.673 117.1589
375.000000 84.598 116.8610
382.000000 84.499 116.4579
387.000000 84.431 116.2046
395.000000 84.324 115.8910
400.000000 84.253 115.6909
406.000000 84.171 115.3730
412.000000 84.099 115.1236
418.000000 84.030 114.8428
425.000000 83.946 114.5281
431.000000 83.875 114.2897
437.000000 83.807 114.0681
444.000000 83.730 113.8063
450.000000 83.668 113.5915
455.000000 83.613 113.4183
462.000000 83.538 113.1952
468.000000 83.475 113.0010
475.000000 83.401 112.7842
482.000000 83.330 112.5896
487.000000 83.281 112.4720
494.000000 83.215 112.3182
500.000000 83.165 112.1598
508.000000 83.090 111.9520
515.000000 83.019 111.8087
522.000000 82.955 111.6892
530.000000 82.886 111.5861
538.000000 82.814 111.5394
545.000000 82.747 111.4933
552.000000 82.683 111.4998
560.000000 82.636 111.5805
570.000000 82.623 111.7901
580.000000 82.615 111.7736
590.000000 82.591 111.5605
600.000000 82.554 111.2998
608.000000 82.514 111.0889
615.000000 82.478 110.9466
622.000000 82.444 110.8986
630.000000 82.413 110.9055
640.000000 82.383 110.9026
650.000000 82.349 110.8608
660.000000 82.317 110.8177
670.000000 82.284 110.7415
680.000000 82.254 110.7122
690.000000 82.229 110.7355
700.000000 82.208 110.7989
710.000000 82.191 110.8618
720.000000 82.175 110.9280
730.000000 82.161 111.0320
740.000000 82.154 111.1707
750.000000 82.154 111.3282
762.000000 82.161 111.5135
775.000000 82.175 111.6953
788.000000 82.198 111.9301
800.000000 82.229 112.1498
812.000000 82.267 112.3585
825.000000 82.319 112.5998
838.000000 82.380 112.8305
850.000000 82.443 113.0291
862.000000 82.513 113.2044
875.000000 82.598 113.3562
885.000000 82.669 113.4383
900.000000 82.781 113.5138
912.000000 82.874 113.5738
925.000000 82.980 113.5972
938.000000 83.086 113.5734
950.000000 83.187 113.5325
962.000000 83.290 113.4606
975.000000 83.405 113.3464
988.000000 83.521 113.2014
1000.000000 83.630 113.0453
1015.000000 83.768 112.8212
1030.000000 83.906 112.5591
1044.000000 84.034 112.2749
1060.000000 84.182 111.9059
1075.000000 84.321 111.5155
1090.000000 84.459 111.1019
1106.000000 84.605 110.6331
1120.000000 84.730 110.1909
1138.000000 84.889 109.5801
1150.000000 84.993 109.1625
1172.000000 85.179 108.3638
1180.000000 85.245 108.0678
1206.000000 85.454 107.0766
1220.000000 85.563 106.5321
1241.000000 85.723 105.7008
1250.000000 85.789 105.3354
1265.000000 85.899 104.7227
1280.000000 86.007 104.1172
1315.000000 86.251 102.7128
1320.000000 86.285 102.5135
1340.000000 86.419 101.7173
1360.000000 86.552 100.9153
1380.000000 86.683 100.1198
1400.000000 86.813 99.3336
1430.000000 87.005 98.1613
1450.000000 87.132 97.3854
1475.000000 87.291 96.4162
1500.000000 87.452 95.4365
1525.000000 87.611 94.4635
1550.000000 87.772 93.4873
1575.000000 87.934 92.4978
1600.000000 88.095 91.4880
1625.000000 88.257 90.4594
1650.000000 88.419 89.4115
1675.000000 88.581 88.3403
1700.000000 88.743 87.2443
1725.000000 88.905 86.1178
1750.000000 89.065 84.9569
1775.000000 89.223 83.7679
1800.000000 89.378 82.5461
1825.000000 89.531 81.2838
1850.000000 89.679 79.9828
1875.000000 89.824 78.6475
1900.000000 89.963 77.2766
1925.000000 90.097 75.8721
1950.000000 90.226 74.4332
1975.000000 90.347 72.9622
2000.000000 90.461 71.4639
2030.000000 90.587 69.6335
2060.000000 90.700 67.7746
2090.000000 90.800 65.8976
2120.000000 90.887 64.0068
2140.000000 90.937 62.7432
2180.000000 91.017 60.2239
2200.000000 91.048 58.9724
2240.000000 91.091 56.5006
2270.000000 91.109 54.6866
2300.000000 91.113 52.9172
2330.000000 91.106 51.1963
2360.000000 91.088 49.5280
2400.000000 91.051 47.3929
2430.000000 91.013 45.8627
2470.000000 90.951 43.9193
2500.000000 90.898 42.5400
2540.000000 90.818 40.8065
2580.000000 90.732 39.1921
2620.000000 90.642 37.6987
2650.000000 90.572 36.6573
2690.000000 90.478 35.3661
2720.000000 90.407 34.4684
2760.000000 90.313 33.3682
2800.000000 90.223 32.3759
2850.000000 90.115 31.2762
2900.000000 90.016 30.3234
2950.000000 89.930 29.4915
3000.000000 89.857 28.7644
3040.000000 89.809 28.2428
3070.000000 89.779 27.8787
3110.000000 89.749 27.4189
3150.000000 89.726 26.9822
3200.000000 89.710 26.4584
3250.000000 89.705 25.9517
3300.000000 89.710 25.4583
3350.000000 89.725 24.9719
3400.000000 89.751 24.4968
3450.000000 89.789 24.0276
3500.000000 89.840 23.5486
3550.000000 89.909 23.0320
3600.000000 89.995 22.4275
3650.000000 90.090 21.6843
3700.000000 90.188 20.7816
3750.000000 90.279 19.7346
3820.000000 90.387 18.0822
3870.000000 90.449 16.8008
3950.000000 90.519 14.6028
4000.000000 90.540 13.1450
4060.000000 90.540 11.3278
4120.000000 90.508 9.4675
4180.000000 90.442 7.6027
4250.000000 90.318 5.4812
4310.000000 90.171 3.7661
4370.000000 89.989 2.2055
4440.000000 89.737 0.6496
4500.000000 89.495 -0.4019
4550.000000 89.279 -1.0524
4620.000000 88.968 -1.5822
4680.000000 88.704 -1.6533
4750.000000 88.416 -1.2611
4820.000000 88.178 -0.3706
4870.000000 88.058 0.4753
4940.000000 87.961 1.7291
5000.000000 87.934 2.7827
5080.000000 87.979 4.1594
5150.000000 88.112 5.1743
5220.000000 88.330 5.6987
5300.000000 88.638 5.3245
5380.000000 88.921 3.7286
5450.000000 89.071 1.4687
5520.000000 89.079 -1.2352
5600.000000 88.901 -4.3019
5700.000000 88.449 -7.2874
5800.000000 87.858 -8.8353
5900.000000 87.248 -8.9390
6000.000000 86.698 -7.8824
6080.000000 86.328 -6.4254
6150.000000 86.062 -4.8336
6220.000000 85.851 -3.0336
6300.000000 85.676 -0.8051
6400.000000 85.552 2.1327
