* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -28.0 dBFS with no timing reference
* Dated: Feb 5, 2025 10:38:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: KC Relentless (4.2 Cable) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 94.357 -125.8150
20.600000 94.409 -126.6074
20.900000 94.466 -127.4523
21.200001 94.522 -128.2857
21.400000 94.559 -128.8320
21.799999 94.631 -129.9010
22.000000 94.665 -130.4228
22.400000 94.731 -131.4427
22.700001 94.776 -132.1927
23.000000 94.818 -132.9389
23.299999 94.856 -133.6904
23.600000 94.891 -134.4539
24.000000 94.935 -135.4934
24.299999 94.967 -136.2838
24.700001 95.012 -137.3355
25.000000 95.049 -138.1089
25.400000 95.103 -139.1009
25.799999 95.160 -140.0344
26.200001 95.217 -140.9054
26.500000 95.258 -141.5227
26.900000 95.305 -142.3126
27.200001 95.336 -142.8923
27.600000 95.369 -143.6647
28.000000 95.395 -144.4478
28.500000 95.424 -145.4444
29.000000 95.454 -146.4494
29.500000 95.490 -147.4460
30.000000 95.532 -148.4188
30.400000 95.565 -149.1719
30.700001 95.588 -149.7198
31.100000 95.616 -150.4288
31.500000 95.639 -151.1185
32.000000 95.664 -151.9650
32.500000 95.686 -152.8036
33.000000 95.707 -153.6366
33.500000 95.730 -154.4626
34.000000 95.754 -155.2792
34.500000 95.775 -156.0807
35.000000 95.793 -156.8575
35.500000 95.808 -157.6031
36.000000 95.823 -158.3238
36.500000 95.838 -159.0360
37.000000 95.855 -159.7540
37.500000 95.871 -160.4801
38.200001 95.888 -161.4897
38.700001 95.897 -162.1890
39.500000 95.908 -163.2634
40.000000 95.915 -163.9183
40.599998 95.924 -164.6963
41.200001 95.931 -165.4598
41.799999 95.938 -166.2007
42.500000 95.944 -167.0403
43.099998 95.946 -167.7438
43.700001 95.947 -168.4314
44.400002 95.949 -169.2258
45.000000 95.952 -169.9176
45.500000 95.954 -170.4975
46.200001 95.953 -171.2843
46.799999 95.951 -171.9269
47.500000 95.948 -172.6630
48.200001 95.944 -173.3943
48.700001 95.941 -173.9077
49.400002 95.940 -174.6203
50.000000 95.938 -175.2325
50.799999 95.928 -176.0187
51.500000 95.914 -176.6560
52.200001 95.902 -177.2840
53.000000 95.891 -178.0289
53.799999 95.880 -178.7695
54.500000 95.870 -179.3911
55.200001 95.860 -179.9980
56.000000 95.845 179.3112
57.000000 95.825 178.4604
58.000000 95.814 177.6575
59.000000 95.809 176.8328
60.000000 95.782 175.9881
60.799999 95.752 175.3850
61.500000 95.734 174.8790
62.200001 95.720 174.3501
63.000000 95.701 173.7413
64.000000 95.674 173.0120
65.000000 95.648 172.2910
66.000000 95.622 171.5954
67.000000 95.597 170.9189
68.000000 95.568 170.2380
69.000000 95.538 169.5634
70.000000 95.511 168.9168
71.000000 95.485 168.3017
72.000000 95.457 167.6796
73.000000 95.427 167.0373
74.000000 95.396 166.4073
75.000000 95.366 165.8041
76.199997 95.329 165.1023
77.500000 95.288 164.3564
78.800003 95.248 163.6213
80.000000 95.211 162.9501
81.199997 95.173 162.2968
82.500000 95.130 161.6177
83.800003 95.086 160.9554
85.000000 95.047 160.3464
86.199997 95.007 159.7368
87.500000 94.964 159.0861
88.500000 94.930 158.6053
90.000000 94.882 157.9053
91.199997 94.842 157.3470
92.500000 94.797 156.7520
93.800003 94.753 156.1685
95.000000 94.713 155.6328
96.199997 94.672 155.1117
97.500000 94.628 154.5646
98.800003 94.582 154.0202
100.000000 94.539 153.5270
101.500000 94.487 152.9195
103.000000 94.436 152.3098
104.400002 94.388 151.7477
106.000000 94.333 151.1445
107.500000 94.280 150.6088
109.000000 94.229 150.0665
110.599998 94.174 149.4827
112.000000 94.124 148.9744
113.800003 94.061 148.3379
115.000000 94.021 147.9241
117.199997 93.948 147.1803
118.000000 93.922 146.9032
120.599998 93.830 146.0049
122.000000 93.781 145.5955
124.099998 93.709 144.9783
125.000000 93.678 144.7095
126.500000 93.629 144.2655
128.000000 93.579 143.8188
131.500000 93.461 142.8011
132.000000 93.445 142.6589
134.000000 93.378 142.0993
136.000000 93.310 141.5486
138.000000 93.242 141.0090
140.000000 93.174 140.4956
143.000000 93.075 139.7389
145.000000 93.009 139.2462
147.500000 92.930 138.6359
150.000000 92.858 138.0743
152.500000 92.775 137.4956
155.000000 92.688 136.9181
157.500000 92.601 136.4077
160.000000 92.517 135.9464
162.500000 92.441 135.3780
165.000000 92.366 134.8301
167.500000 92.291 134.3393
170.000000 92.215 133.8758
172.500000 92.140 133.4206
175.000000 92.069 132.9588
177.500000 92.000 132.4908
180.000000 91.938 132.0465
182.500000 91.872 131.6068
185.000000 91.798 131.2412
187.500000 91.732 130.8447
190.000000 91.668 130.3824
192.500000 91.601 129.9142
195.000000 91.537 129.4794
197.500000 91.474 129.0380
200.000000 91.409 128.5674
203.000000 91.326 128.0960
206.000000 91.243 127.6576
209.000000 91.162 127.1915
212.000000 91.081 126.7325
214.000000 91.029 126.4382
218.000000 90.925 125.8807
220.000000 90.874 125.6112
224.000000 90.773 125.0996
227.000000 90.698 124.7152
230.000000 90.622 124.3189
233.000000 90.547 123.9299
236.000000 90.473 123.5681
240.000000 90.385 123.0474
243.000000 90.314 122.7041
247.000000 90.218 122.2637
250.000000 90.150 121.9395
254.000000 90.061 121.5130
258.000000 89.973 121.0757
262.000000 89.885 120.6458
265.000000 89.820 120.3265
269.000000 89.732 119.9185
272.000000 89.669 119.6163
276.000000 89.587 119.2237
280.000000 89.505 118.8383
285.000000 89.401 118.3623
290.000000 89.299 117.8957
295.000000 89.199 117.4248
300.000000 89.100 116.9689
304.000000 89.020 116.6441
307.000000 88.961 116.4072
311.000000 88.884 116.0908
315.000000 88.807 115.7790
320.000000 88.711 115.4070
325.000000 88.619 115.0426
330.000000 88.529 114.6909
335.000000 88.440 114.3586
340.000000 88.355 114.0496
345.000000 88.273 113.7464
350.000000 88.193 113.4544
355.000000 88.115 113.1732
360.000000 88.034 112.8672
365.000000 87.954 112.5580
370.000000 87.877 112.2536
375.000000 87.804 111.9619
382.000000 87.704 111.5923
387.000000 87.632 111.3354
395.000000 87.515 110.9138
400.000000 87.443 110.6347
406.000000 87.359 110.3871
412.000000 87.277 110.1616
418.000000 87.196 109.9160
425.000000 87.106 109.6537
431.000000 87.031 109.4575
437.000000 86.958 109.2777
444.000000 86.881 109.1072
450.000000 86.822 108.9719
455.000000 86.777 108.8554
462.000000 86.722 108.6701
468.000000 86.680 108.4738
475.000000 86.630 108.1892
482.000000 86.578 107.8719
487.000000 86.539 107.6387
494.000000 86.480 107.3033
500.000000 86.426 107.0356
508.000000 86.352 106.7109
515.000000 86.286 106.4420
522.000000 86.220 106.1971
530.000000 86.147 105.9321
538.000000 86.078 105.6919
545.000000 86.019 105.5059
552.000000 85.961 105.3437
560.000000 85.897 105.1644
570.000000 85.819 104.9586
580.000000 85.745 104.7964
590.000000 85.674 104.6399
600.000000 85.607 104.4804
608.000000 85.558 104.3760
615.000000 85.517 104.3156
622.000000 85.479 104.2596
630.000000 85.436 104.1917
640.000000 85.385 104.1200
650.000000 85.337 104.0628
660.000000 85.293 104.0258
670.000000 85.251 104.0064
680.000000 85.212 103.9993
690.000000 85.180 104.0044
700.000000 85.152 104.0239
710.000000 85.125 104.0732
720.000000 85.102 104.1356
730.000000 85.085 104.2233
740.000000 85.072 104.3214
750.000000 85.064 104.4319
762.000000 85.059 104.5740
775.000000 85.064 104.7350
788.000000 85.077 104.9113
800.000000 85.098 105.0816
812.000000 85.126 105.2520
825.000000 85.167 105.4360
838.000000 85.217 105.6127
850.000000 85.269 105.7463
862.000000 85.328 105.8541
875.000000 85.400 105.9583
885.000000 85.460 106.0264
900.000000 85.555 106.0864
912.000000 85.636 106.0933
925.000000 85.728 106.0751
938.000000 85.824 106.0195
950.000000 85.916 105.9291
962.000000 86.009 105.8189
975.000000 86.111 105.6711
988.000000 86.216 105.4954
1000.000000 86.315 105.3173
1015.000000 86.439 105.0591
1030.000000 86.565 104.7466
1044.000000 86.684 104.4176
1060.000000 86.819 104.0098
1075.000000 86.945 103.5942
1090.000000 87.070 103.1456
1106.000000 87.202 102.6366
1120.000000 87.316 102.1667
1138.000000 87.460 101.5339
1150.000000 87.554 101.0900
1172.000000 87.724 100.2454
1180.000000 87.784 99.9287
1206.000000 87.974 98.8747
1220.000000 88.073 98.2955
1241.000000 88.216 97.4202
1250.000000 88.276 97.0410
1265.000000 88.376 96.4054
1280.000000 88.473 95.7736
1315.000000 88.693 94.2946
1320.000000 88.723 94.0837
1340.000000 88.844 93.2439
1360.000000 88.964 92.4073
1380.000000 89.082 91.5741
1400.000000 89.200 90.7437
1430.000000 89.373 89.5106
1450.000000 89.489 88.6875
1475.000000 89.633 87.6553
1500.000000 89.778 86.6264
1525.000000 89.924 85.5984
1550.000000 90.070 84.5596
1575.000000 90.216 83.5053
1600.000000 90.362 82.4362
1625.000000 90.509 81.3510
1650.000000 90.657 80.2408
1675.000000 90.804 79.1054
1700.000000 90.951 77.9436
1725.000000 91.096 76.7528
1750.000000 91.240 75.5333
1775.000000 91.383 74.2807
1800.000000 91.523 72.9897
1825.000000 91.659 71.6611
1850.000000 91.791 70.2972
1875.000000 91.920 68.8976
1900.000000 92.043 67.4647
1925.000000 92.160 65.9998
1950.000000 92.270 64.5009
1975.000000 92.373 62.9734
2000.000000 92.469 61.4221
2030.000000 92.574 59.5324
2060.000000 92.665 57.6171
2090.000000 92.744 55.6843
2120.000000 92.809 53.7451
2140.000000 92.844 52.4511
2180.000000 92.897 49.8709
2200.000000 92.914 48.5915
2240.000000 92.930 46.0660
2270.000000 92.926 44.2111
2300.000000 92.910 42.3974
2330.000000 92.883 40.6351
2360.000000 92.845 38.9315
2400.000000 92.779 36.7552
2430.000000 92.721 35.1962
2470.000000 92.632 33.2185
2500.000000 92.558 31.8160
2540.000000 92.452 30.0590
2580.000000 92.340 28.4308
2620.000000 92.224 26.9252
2650.000000 92.136 25.8740
2690.000000 92.018 24.5734
2720.000000 91.930 23.6727
2760.000000 91.814 22.5675
2800.000000 91.702 21.5622
2850.000000 91.568 20.4424
2900.000000 91.443 19.4625
2950.000000 91.331 18.6072
3000.000000 91.234 17.8558
3040.000000 91.166 17.3110
3070.000000 91.121 16.9275
3110.000000 91.069 16.4435
3150.000000 91.025 15.9889
3200.000000 90.982 15.4442
3250.000000 90.950 14.9216
3300.000000 90.928 14.4219
3350.000000 90.919 13.9473
3400.000000 90.924 13.4895
3450.000000 90.947 13.0231
3500.000000 90.988 12.5034
3550.000000 91.046 11.8771
3600.000000 91.111 11.1104
3650.000000 91.175 10.2009
3700.000000 91.233 9.1731
3750.000000 91.281 8.0546
3820.000000 91.333 6.3610
3870.000000 91.357 5.0687
3950.000000 91.366 2.8613
4000.000000 91.351 1.4057
4060.000000 91.307 -0.3923
4120.000000 91.230 -2.2246
4180.000000 91.118 -4.0483
4250.000000 90.942 -6.0966
4310.000000 90.751 -7.7245
4370.000000 90.528 -9.1788
4440.000000 90.231 -10.5956
4500.000000 89.953 -11.5187
4550.000000 89.710 -12.0586
4620.000000 89.365 -12.4390
4680.000000 89.074 -12.3956
4750.000000 88.756 -11.8932
4820.000000 88.484 -10.9164
4870.000000 88.335 -9.9985
4940.000000 88.196 -8.5773
5000.000000 88.142 -7.3130
5080.000000 88.170 -5.6647
5150.000000 88.302 -4.5075
5220.000000 88.518 -3.9619
5300.000000 88.808 -4.4161
5380.000000 89.055 -6.1187
5450.000000 89.157 -8.4245
5520.000000 89.111 -11.0872
5600.000000 88.870 -13.9995
5700.000000 88.349 -16.6724
5800.000000 87.708 -17.8442
5900.000000 87.064 -17.5786
6000.000000 86.490 -16.1877
6080.000000 86.105 -14.4839
6150.000000 85.828 -12.6950
6220.000000 85.606 -10.7150
6300.000000 85.417 -8.2980
6400.000000 85.277 -5.1451
6500.000000 85.238 -1.9494
