* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -30.0 dBFS with no timing reference
* Dated: Jan 30, 2025 1:06:00 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Relentless (4.9 Ohm Cab) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 93.500 -127.7987
20.600000 93.551 -128.5981
20.900000 93.606 -129.4617
21.200001 93.659 -130.3282
21.400000 93.694 -130.9045
21.799999 93.760 -132.0487
22.000000 93.793 -132.6137
22.400000 93.857 -133.7240
22.700001 93.904 -134.5396
23.000000 93.950 -135.3435
23.299999 93.995 -136.1387
23.600000 94.037 -136.9262
24.000000 94.088 -137.9610
24.299999 94.123 -138.7203
24.700001 94.166 -139.7028
25.000000 94.198 -140.4158
25.400000 94.241 -141.3390
25.799999 94.284 -142.2416
26.200001 94.327 -143.1353
26.500000 94.358 -143.8033
26.900000 94.396 -144.6894
27.200001 94.421 -145.3460
27.600000 94.451 -146.2041
28.000000 94.480 -147.0393
28.500000 94.515 -148.0600
29.000000 94.552 -149.0737
29.500000 94.588 -150.0885
30.000000 94.621 -151.0880
30.400000 94.646 -151.8613
30.700001 94.665 -152.4235
31.100000 94.690 -153.1551
31.500000 94.715 -153.8757
32.000000 94.741 -154.7668
32.500000 94.760 -155.6330
33.000000 94.774 -156.4574
33.500000 94.789 -157.2474
34.000000 94.805 -158.0333
34.500000 94.822 -158.8364
35.000000 94.836 -159.6526
35.500000 94.849 -160.4675
36.000000 94.864 -161.2770
36.500000 94.878 -162.0801
37.000000 94.890 -162.8616
37.500000 94.898 -163.5977
38.200001 94.907 -164.5514
38.700001 94.914 -165.2192
39.500000 94.922 -166.3264
40.000000 94.928 -167.0301
40.599998 94.938 -167.8630
41.200001 94.947 -168.6661
41.799999 94.946 -169.4043
42.500000 94.934 -170.1638
43.099998 94.926 -170.8063
43.700001 94.919 -171.5264
44.400002 94.910 -172.4307
45.000000 94.907 -173.1690
45.500000 94.911 -173.7492
46.200001 94.917 -174.5579
46.799999 94.912 -175.2460
47.500000 94.897 -175.9994
48.200001 94.886 -176.7271
48.700001 94.881 -177.2608
49.400002 94.873 -178.0114
50.000000 94.863 -178.6310
50.799999 94.850 -179.4418
51.500000 94.835 179.8482
52.200001 94.818 179.1664
53.000000 94.803 178.4154
53.799999 94.786 177.6535
54.500000 94.766 177.0007
55.200001 94.746 176.3860
56.000000 94.728 175.6901
57.000000 94.705 174.7875
58.000000 94.680 173.8886
59.000000 94.655 173.0145
60.000000 94.622 172.2220
60.799999 94.594 171.6241
61.500000 94.571 171.0809
62.200001 94.548 170.5223
63.000000 94.526 169.8940
64.000000 94.503 169.1453
65.000000 94.478 168.4111
66.000000 94.445 167.6748
67.000000 94.406 166.9817
68.000000 94.372 166.3147
69.000000 94.337 165.6312
70.000000 94.300 164.9583
71.000000 94.265 164.2943
72.000000 94.229 163.6300
73.000000 94.195 162.9962
74.000000 94.164 162.3711
75.000000 94.130 161.7452
76.199997 94.083 161.0229
77.500000 94.031 160.2471
78.800003 93.983 159.4838
80.000000 93.940 158.7869
81.199997 93.893 158.1069
82.500000 93.841 157.4095
83.800003 93.791 156.7590
85.000000 93.745 156.1422
86.199997 93.699 155.4885
87.500000 93.649 154.7740
88.500000 93.609 154.2653
90.000000 93.549 153.5731
91.199997 93.500 153.0240
92.500000 93.452 152.4346
93.800003 93.406 151.8375
95.000000 93.357 151.2941
96.199997 93.308 150.7512
97.500000 93.257 150.1695
98.800003 93.204 149.6199
100.000000 93.153 149.1286
101.500000 93.093 148.5043
103.000000 93.035 147.8865
104.400002 92.980 147.3279
106.000000 92.917 146.6871
107.500000 92.855 146.1070
109.000000 92.791 145.5518
110.599998 92.726 144.9543
112.000000 92.673 144.4509
113.800003 92.605 143.8301
115.000000 92.559 143.4234
117.199997 92.475 142.6882
118.000000 92.444 142.4289
120.599998 92.343 141.6010
122.000000 92.286 141.1379
124.099998 92.206 140.4723
125.000000 92.172 140.2033
126.500000 92.114 139.7539
128.000000 92.056 139.2876
131.500000 91.921 138.2202
132.000000 91.903 138.0776
134.000000 91.828 137.5148
136.000000 91.754 136.9591
138.000000 91.679 136.4253
140.000000 91.604 135.9151
143.000000 91.487 135.1305
145.000000 91.408 134.6146
147.500000 91.313 134.0231
150.000000 91.224 133.4731
152.500000 91.141 132.9599
155.000000 91.046 132.3580
157.500000 90.953 131.8227
160.000000 90.875 131.3500
162.500000 90.795 130.8851
165.000000 90.722 130.4705
167.500000 90.651 130.0045
170.000000 90.579 129.4862
172.500000 90.509 128.9541
175.000000 90.431 128.4346
177.500000 90.351 127.9307
180.000000 90.267 127.4404
182.500000 90.183 126.9393
185.000000 90.106 126.4624
187.500000 90.030 126.0255
190.000000 89.953 125.5933
192.500000 89.873 125.1750
195.000000 89.792 124.7322
197.500000 89.721 124.3057
200.000000 89.652 123.8891
203.000000 89.561 123.4003
206.000000 89.467 122.9756
209.000000 89.383 122.5598
212.000000 89.304 122.1492
214.000000 89.249 121.8598
218.000000 89.136 121.3588
220.000000 89.078 121.1086
224.000000 88.967 120.6021
227.000000 88.881 120.2155
230.000000 88.797 119.8328
233.000000 88.719 119.4747
236.000000 88.634 119.1636
240.000000 88.513 118.7359
243.000000 88.451 118.3308
247.000000 88.373 117.8674
250.000000 88.309 117.5223
254.000000 88.218 117.0768
258.000000 88.119 116.6478
262.000000 88.024 116.2375
265.000000 87.954 115.9386
269.000000 87.862 115.5225
272.000000 87.793 115.2113
276.000000 87.703 114.8216
280.000000 87.616 114.4435
285.000000 87.505 113.9844
290.000000 87.396 113.5464
295.000000 87.288 113.1368
300.000000 87.181 112.7514
304.000000 87.098 112.4183
307.000000 87.039 112.1494
311.000000 86.961 111.8189
315.000000 86.884 111.5098
320.000000 86.787 111.1357
325.000000 86.692 110.7875
330.000000 86.602 110.4501
335.000000 86.512 110.1161
340.000000 86.420 109.7606
345.000000 86.330 109.4224
350.000000 86.243 109.1019
355.000000 86.157 108.8324
360.000000 86.071 108.5868
365.000000 85.994 108.2632
370.000000 85.921 107.9458
375.000000 85.844 107.6455
382.000000 85.734 107.2408
387.000000 85.659 106.9867
395.000000 85.540 106.5868
400.000000 85.469 106.3383
406.000000 85.386 106.0544
412.000000 85.302 105.7647
418.000000 85.220 105.4448
425.000000 85.124 105.1216
431.000000 85.046 104.8680
437.000000 84.972 104.6341
444.000000 84.887 104.3818
450.000000 84.815 104.1478
455.000000 84.754 103.9523
462.000000 84.670 103.7049
468.000000 84.602 103.5199
475.000000 84.527 103.3203
482.000000 84.455 103.1118
487.000000 84.403 102.9397
494.000000 84.332 102.7130
500.000000 84.272 102.5417
508.000000 84.193 102.3004
515.000000 84.126 102.1068
522.000000 84.062 101.9417
530.000000 83.992 101.7765
538.000000 83.926 101.6347
545.000000 83.870 101.4875
552.000000 83.815 101.3250
560.000000 83.755 101.1648
570.000000 83.683 101.0322
580.000000 83.611 100.8608
590.000000 83.547 100.6683
600.000000 83.487 100.5346
608.000000 83.440 100.4662
615.000000 83.400 100.3889
622.000000 83.362 100.3142
630.000000 83.321 100.2597
640.000000 83.269 100.1934
650.000000 83.220 100.1255
660.000000 83.178 100.0740
670.000000 83.140 100.0471
680.000000 83.105 100.0232
690.000000 83.070 100.0076
700.000000 83.038 100.0352
710.000000 83.015 100.0727
720.000000 82.996 100.1317
730.000000 82.978 100.1846
740.000000 82.961 100.2574
750.000000 82.949 100.3436
762.000000 82.943 100.4625
775.000000 82.948 100.5941
788.000000 82.962 100.7495
800.000000 82.978 100.9058
812.000000 83.002 101.0637
825.000000 83.037 101.2344
838.000000 83.082 101.3729
850.000000 83.131 101.5022
862.000000 83.186 101.6184
875.000000 83.256 101.7275
885.000000 83.312 101.7975
900.000000 83.405 101.8438
912.000000 83.487 101.8468
925.000000 83.577 101.8307
938.000000 83.669 101.7839
950.000000 83.758 101.7087
962.000000 83.851 101.6068
975.000000 83.955 101.4707
988.000000 84.062 101.2913
1000.000000 84.159 101.0972
1015.000000 84.283 100.8346
1030.000000 84.409 100.5288
1044.000000 84.527 100.1963
1060.000000 84.662 99.7906
1075.000000 84.789 99.3714
1090.000000 84.915 98.9128
1106.000000 85.048 98.3896
1120.000000 85.163 97.9069
1138.000000 85.310 97.2438
1150.000000 85.404 96.7928
1172.000000 85.572 95.9356
1180.000000 85.632 95.6131
1206.000000 85.823 94.5247
1220.000000 85.923 93.9243
1241.000000 86.066 93.0192
1250.000000 86.127 92.6305
1265.000000 86.226 91.9785
1280.000000 86.325 91.3195
1315.000000 86.543 89.7816
1320.000000 86.574 89.5636
1340.000000 86.695 88.6913
1360.000000 86.814 87.8119
1380.000000 86.933 86.9340
1400.000000 87.049 86.0648
1430.000000 87.222 84.7725
1450.000000 87.336 83.9063
1475.000000 87.477 82.8242
1500.000000 87.619 81.7437
1525.000000 87.761 80.6581
1550.000000 87.904 79.5596
1575.000000 88.046 78.4525
1600.000000 88.189 77.3243
1625.000000 88.332 76.1725
1650.000000 88.475 74.9958
1675.000000 88.617 73.7894
1700.000000 88.758 72.5576
1725.000000 88.897 71.2977
1750.000000 89.035 70.0055
1775.000000 89.169 68.6783
1800.000000 89.299 67.3140
1825.000000 89.425 65.9102
1850.000000 89.547 64.4750
1875.000000 89.663 63.0082
1900.000000 89.772 61.5103
1925.000000 89.876 59.9813
1950.000000 89.973 58.4246
1975.000000 90.062 56.8439
2000.000000 90.143 55.2402
2030.000000 90.228 53.2912
2060.000000 90.300 51.3251
2090.000000 90.358 49.3489
2120.000000 90.401 47.3694
2140.000000 90.422 46.0526
2180.000000 90.444 43.4442
2200.000000 90.445 42.1584
2240.000000 90.430 39.6352
2270.000000 90.403 37.7941
2300.000000 90.364 36.0044
2330.000000 90.314 34.2736
2360.000000 90.255 32.6031
2400.000000 90.161 30.4800
2430.000000 90.081 28.9695
2470.000000 89.966 27.0709
2500.000000 89.874 25.7380
2540.000000 89.745 24.0771
2580.000000 89.611 22.5501
2620.000000 89.474 21.1492
2650.000000 89.372 20.1803
2690.000000 89.235 18.9954
2720.000000 89.134 18.1841
2760.000000 89.002 17.2008
2800.000000 88.874 16.3251
2850.000000 88.723 15.3694
2900.000000 88.584 14.5575
2950.000000 88.457 13.8723
3000.000000 88.345 13.3059
3040.000000 88.268 12.9322
3070.000000 88.217 12.6945
3110.000000 88.163 12.4265
3150.000000 88.125 12.2037
3200.000000 88.106 11.9355
3250.000000 88.115 11.5848
3300.000000 88.142 11.0905
3350.000000 88.171 10.4597
3400.000000 88.196 9.7469
3450.000000 88.218 8.9980
3500.000000 88.239 8.2288
3550.000000 88.262 7.4362
3600.000000 88.286 6.6108
3650.000000 88.311 5.7292
3700.000000 88.337 4.7812
3750.000000 88.361 3.7662
3820.000000 88.386 2.2205
3870.000000 88.395 1.0271
3950.000000 88.385 -1.0295
4000.000000 88.358 -2.4030
4060.000000 88.300 -4.1177
4120.000000 88.209 -5.8659
4180.000000 88.083 -7.6017
4250.000000 87.890 -9.5488
4310.000000 87.686 -11.0964
4370.000000 87.446 -12.4871
4440.000000 87.121 -13.8336
4500.000000 86.809 -14.6661
4550.000000 86.532 -15.0685
4620.000000 86.135 -15.0847
4680.000000 85.810 -14.5519
4750.000000 85.485 -13.3269
4820.000000 85.253 -11.5999
4870.000000 85.160 -10.1901
4940.000000 85.144 -8.2292
5000.000000 85.224 -6.7913
5080.000000 85.442 -5.4611
5150.000000 85.715 -5.0835
5220.000000 86.018 -5.7034
5300.000000 86.310 -7.7498
5380.000000 86.438 -10.9254
5450.000000 86.359 -14.0898
5520.000000 86.102 -17.0562
5600.000000 85.636 -19.6797
5700.000000 84.916 -21.3939
5800.000000 84.174 -21.4379
5900.000000 83.503 -20.1704
6000.000000 82.942 -18.0022
6080.000000 82.578 -15.8425
6150.000000 82.322 -13.7510
6220.000000 82.121 -11.5297
6300.000000 81.954 -8.8930
6400.000000 81.838 -5.5392
6500.000000 81.818 -2.2134
