* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -30.0 dBFS with no timing reference
* Dated: Jan 30, 2025 1:09:07 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Relentless (4.9 Ohm Cab) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 93.662 -128.1453
20.600000 93.711 -128.9662
20.900000 93.762 -129.8441
21.200001 93.813 -130.7144
21.400000 93.847 -131.2902
21.799999 93.917 -132.4355
22.000000 93.951 -133.0051
22.400000 94.017 -134.1322
22.700001 94.062 -134.9584
23.000000 94.104 -135.7614
23.299999 94.144 -136.5388
23.600000 94.181 -137.2928
24.000000 94.230 -138.2729
24.299999 94.268 -138.9986
24.700001 94.318 -139.9629
25.000000 94.355 -140.6839
25.400000 94.401 -141.6336
25.799999 94.443 -142.5562
26.200001 94.481 -143.4407
26.500000 94.508 -144.0790
26.900000 94.543 -144.9058
27.200001 94.570 -145.5171
27.600000 94.605 -146.3329
28.000000 94.640 -147.1553
28.500000 94.680 -148.1859
29.000000 94.716 -149.1998
29.500000 94.749 -150.1806
30.000000 94.778 -151.1261
30.400000 94.800 -151.8612
30.700001 94.816 -152.4028
31.100000 94.836 -153.1157
31.500000 94.857 -153.8227
32.000000 94.883 -154.7049
32.500000 94.908 -155.5868
33.000000 94.930 -156.4593
33.500000 94.947 -157.3075
34.000000 94.960 -158.1207
34.500000 94.969 -158.8975
35.000000 94.980 -159.6463
35.500000 94.993 -160.3849
36.000000 95.011 -161.1361
36.500000 95.028 -161.9113
37.000000 95.042 -162.6963
37.500000 95.051 -163.4583
38.200001 95.060 -164.4521
38.700001 95.069 -165.1301
39.500000 95.084 -166.2238
40.000000 95.089 -166.9134
40.599998 95.089 -167.7225
41.200001 95.086 -168.4953
41.799999 95.081 -169.2243
42.500000 95.077 -170.0225
43.099998 95.077 -170.6926
43.700001 95.076 -171.3820
44.400002 95.069 -172.2052
45.000000 95.059 -172.8963
45.500000 95.054 -173.4573
46.200001 95.051 -174.2400
46.799999 95.050 -174.9170
47.500000 95.045 -175.6925
48.200001 95.035 -176.4309
48.700001 95.028 -176.9456
49.400002 95.020 -177.6843
50.000000 95.013 -178.3474
50.799999 95.000 -179.2275
51.500000 94.987 -179.9439
52.200001 94.977 179.3886
53.000000 94.964 178.6618
53.799999 94.950 177.9615
54.500000 94.939 177.3504
55.200001 94.927 176.7331
56.000000 94.909 176.0365
57.000000 94.879 175.1904
58.000000 94.847 174.3640
59.000000 94.823 173.5280
60.000000 94.800 172.6952
60.799999 94.779 172.0580
61.500000 94.757 171.5002
62.200001 94.733 170.9422
63.000000 94.707 170.3342
64.000000 94.685 169.6022
65.000000 94.658 168.8628
66.000000 94.620 168.1580
67.000000 94.584 167.4833
68.000000 94.555 166.7980
69.000000 94.523 166.1088
70.000000 94.486 165.4430
71.000000 94.451 164.7919
72.000000 94.423 164.1348
73.000000 94.390 163.4781
74.000000 94.349 162.8526
75.000000 94.310 162.2603
76.199997 94.272 161.5407
77.500000 94.226 160.7740
78.800003 94.177 160.0417
80.000000 94.135 159.3686
81.199997 94.092 158.7104
82.500000 94.043 158.0106
83.800003 93.994 157.3144
85.000000 93.951 156.6973
86.199997 93.908 156.0792
87.500000 93.856 155.4160
88.500000 93.817 154.9276
90.000000 93.756 154.2018
91.199997 93.705 153.6372
92.500000 93.653 153.0297
93.800003 93.605 152.4431
95.000000 93.562 151.9200
96.199997 93.517 151.4084
97.500000 93.465 150.8458
98.800003 93.415 150.2844
100.000000 93.370 149.7764
101.500000 93.312 149.1581
103.000000 93.254 148.5530
104.400002 93.200 147.9904
106.000000 93.138 147.3547
107.500000 93.079 146.7698
109.000000 93.021 146.2220
110.599998 92.962 145.6458
112.000000 92.909 145.1474
113.800003 92.839 144.5120
115.000000 92.792 144.0937
117.199997 92.705 143.3371
118.000000 92.676 143.0537
120.599998 92.583 142.1412
122.000000 92.527 141.7163
124.099998 92.444 141.0844
125.000000 92.408 140.8154
126.500000 92.350 140.3764
128.000000 92.294 139.9464
131.500000 92.159 138.9265
132.000000 92.140 138.7820
134.000000 92.065 138.2203
136.000000 91.992 137.6907
138.000000 91.918 137.1490
140.000000 91.848 136.6344
143.000000 91.735 135.9602
145.000000 91.656 135.4623
147.500000 91.566 134.8473
150.000000 91.478 134.3073
152.500000 91.397 133.7814
155.000000 91.322 133.2345
157.500000 91.240 132.7107
160.000000 91.157 132.2068
162.500000 91.085 131.6373
165.000000 91.008 131.1519
167.500000 90.924 130.6787
170.000000 90.851 130.1605
172.500000 90.781 129.6785
175.000000 90.705 129.1879
177.500000 90.628 128.6719
180.000000 90.552 128.1607
182.500000 90.481 127.6826
185.000000 90.407 127.2108
187.500000 90.327 126.7249
190.000000 90.247 126.2415
192.500000 90.170 125.8271
195.000000 90.098 125.4431
197.500000 90.023 125.0089
200.000000 89.945 124.5494
203.000000 89.852 124.0519
206.000000 89.762 123.6288
209.000000 89.677 123.1833
212.000000 89.593 122.7537
214.000000 89.533 122.4734
218.000000 89.416 121.8419
220.000000 89.362 121.5401
224.000000 89.251 121.0516
227.000000 89.166 120.6721
230.000000 89.087 120.3106
233.000000 89.011 119.9551
236.000000 88.928 119.5417
240.000000 88.811 118.9515
243.000000 88.741 118.6862
247.000000 88.648 118.3676
250.000000 88.574 118.0366
254.000000 88.480 117.5957
258.000000 88.388 117.1821
262.000000 88.296 116.7896
265.000000 88.229 116.4716
269.000000 88.143 116.0305
272.000000 88.076 115.7130
276.000000 87.984 115.2836
280.000000 87.895 114.8944
285.000000 87.784 114.4557
290.000000 87.672 113.9902
295.000000 87.561 113.5360
300.000000 87.455 113.1248
304.000000 87.375 112.7892
307.000000 87.315 112.5237
311.000000 87.232 112.1826
315.000000 87.151 111.8723
320.000000 87.050 111.4977
325.000000 86.952 111.1308
330.000000 86.860 110.7863
335.000000 86.765 110.4449
340.000000 86.672 110.1014
345.000000 86.581 109.7886
350.000000 86.490 109.4522
355.000000 86.399 109.1144
360.000000 86.305 108.8213
365.000000 86.219 108.5708
370.000000 86.140 108.2855
375.000000 86.064 107.9793
382.000000 85.955 107.5914
387.000000 85.877 107.3186
395.000000 85.757 106.8912
400.000000 85.682 106.6538
406.000000 85.588 106.3741
412.000000 85.497 106.1108
418.000000 85.413 105.8546
425.000000 85.313 105.5240
431.000000 85.228 105.2735
437.000000 85.144 105.0367
444.000000 85.047 104.7748
450.000000 84.969 104.5646
455.000000 84.905 104.4024
462.000000 84.812 104.1736
468.000000 84.733 103.9507
475.000000 84.645 103.7099
482.000000 84.557 103.5495
487.000000 84.498 103.4473
494.000000 84.421 103.2791
500.000000 84.351 103.1434
508.000000 84.261 103.0170
515.000000 84.186 102.9221
522.000000 84.111 102.8322
530.000000 84.028 102.7511
538.000000 83.949 102.6606
545.000000 83.879 102.6208
552.000000 83.811 102.6287
560.000000 83.738 102.6727
570.000000 83.654 102.7230
580.000000 83.572 102.7468
590.000000 83.503 102.8424
600.000000 83.443 103.0214
608.000000 83.395 103.1761
615.000000 83.360 103.3047
622.000000 83.329 103.4386
630.000000 83.300 103.6059
640.000000 83.278 103.8647
650.000000 83.267 104.1239
660.000000 83.270 104.3776
670.000000 83.287 104.5919
680.000000 83.312 104.7623
690.000000 83.343 104.8779
700.000000 83.385 104.9369
710.000000 83.428 104.9214
720.000000 83.469 104.8399
730.000000 83.511 104.7410
740.000000 83.551 104.5956
750.000000 83.588 104.4027
762.000000 83.628 104.1671
775.000000 83.665 103.9138
788.000000 83.701 103.6530
800.000000 83.733 103.4310
812.000000 83.761 103.2369
825.000000 83.792 103.0470
838.000000 83.827 102.8786
850.000000 83.863 102.7283
862.000000 83.900 102.6055
875.000000 83.945 102.4987
885.000000 83.985 102.4277
900.000000 84.052 102.3232
912.000000 84.109 102.2336
925.000000 84.175 102.1231
938.000000 84.247 101.9992
950.000000 84.318 101.8898
962.000000 84.393 101.7686
975.000000 84.478 101.5995
988.000000 84.567 101.4099
1000.000000 84.653 101.2162
1015.000000 84.764 100.9392
1030.000000 84.878 100.6429
1044.000000 84.987 100.3344
1060.000000 85.113 99.9415
1075.000000 85.232 99.5346
1090.000000 85.352 99.0856
1106.000000 85.478 98.5663
1120.000000 85.589 98.0843
1138.000000 85.731 97.4251
1150.000000 85.823 96.9676
1172.000000 85.989 96.0977
1180.000000 86.048 95.7695
1206.000000 86.236 94.6744
1220.000000 86.333 94.0715
1241.000000 86.474 93.1456
1250.000000 86.533 92.7442
1265.000000 86.631 92.0695
1280.000000 86.727 91.3916
1315.000000 86.944 89.8049
1320.000000 86.974 89.5784
1340.000000 87.093 88.6725
1360.000000 87.210 87.7669
1380.000000 87.326 86.8654
1400.000000 87.438 85.9657
1430.000000 87.605 84.6123
1450.000000 87.715 83.7096
1475.000000 87.851 82.5818
1500.000000 87.988 81.4521
1525.000000 88.124 80.3199
1550.000000 88.260 79.1754
1575.000000 88.395 78.0159
1600.000000 88.531 76.8380
1625.000000 88.666 75.6383
1650.000000 88.800 74.4200
1675.000000 88.933 73.1796
1700.000000 89.064 71.9060
1725.000000 89.191 70.6061
1750.000000 89.317 69.2832
1775.000000 89.439 67.9307
1800.000000 89.558 66.5439
1825.000000 89.673 65.1255
1850.000000 89.783 63.6770
1875.000000 89.887 62.1988
1900.000000 89.984 60.6931
1925.000000 90.074 59.1619
1950.000000 90.157 57.6087
1975.000000 90.232 56.0392
2000.000000 90.299 54.4539
2030.000000 90.368 52.5404
2060.000000 90.423 50.6163
2090.000000 90.466 48.6919
2120.000000 90.495 46.7759
2140.000000 90.507 45.5086
2180.000000 90.513 43.0089
2200.000000 90.508 41.7789
2240.000000 90.482 39.3690
2270.000000 90.449 37.6181
2300.000000 90.406 35.9197
2330.000000 90.353 34.2816
2360.000000 90.291 32.7067
2400.000000 90.197 30.7109
2430.000000 90.120 29.2990
2470.000000 90.011 27.5269
2500.000000 89.926 26.2770
2540.000000 89.809 24.7045
2580.000000 89.689 23.2407
2620.000000 89.567 21.8837
2650.000000 89.475 20.9358
2690.000000 89.353 19.7634
2720.000000 89.264 18.9506
2760.000000 89.148 17.9466
2800.000000 89.036 17.0229
2850.000000 88.901 15.9746
2900.000000 88.776 15.0407
2950.000000 88.660 14.2100
3000.000000 88.555 13.4761
3040.000000 88.480 12.9455
3070.000000 88.429 12.5723
3110.000000 88.368 12.1066
3150.000000 88.313 11.6799
3200.000000 88.256 11.2065
3250.000000 88.218 10.7931
3300.000000 88.205 10.3899
3350.000000 88.216 9.9128
3400.000000 88.242 9.2955
3450.000000 88.271 8.5333
3500.000000 88.293 7.6596
3550.000000 88.307 6.7208
3600.000000 88.315 5.7396
3650.000000 88.317 4.7162
3700.000000 88.312 3.6471
3750.000000 88.300 2.5308
3820.000000 88.268 0.8914
3870.000000 88.231 -0.3333
3950.000000 88.139 -2.3615
4000.000000 88.059 -3.6504
4060.000000 87.935 -5.1780
4120.000000 87.780 -6.6532
4180.000000 87.594 -8.0327
4250.000000 87.341 -9.4620
4310.000000 87.096 -10.4840
4370.000000 86.831 -11.2657
4440.000000 86.504 -11.8280
4500.000000 86.217 -11.9672
4550.000000 85.981 -11.8201
4620.000000 85.668 -11.1826
4680.000000 85.436 -10.2252
4750.000000 85.238 -8.7041
4820.000000 85.146 -6.9216
4870.000000 85.157 -5.6393
4940.000000 85.284 -4.1154
5000.000000 85.481 -3.3599
5080.000000 85.804 -3.4648
5150.000000 86.075 -4.6978
5220.000000 86.262 -6.9216
5300.000000 86.289 -10.2506
5380.000000 86.080 -13.6941
5450.000000 85.726 -16.2233
5520.000000 85.264 -17.9768
5600.000000 84.674 -18.9202
5700.000000 83.941 -18.6451
5800.000000 83.289 -17.1334
5900.000000 82.751 -14.7963
6000.000000 82.329 -11.9425
6080.000000 82.074 -9.4296
6150.000000 81.908 -7.1371
6220.000000 81.790 -4.8011
6300.000000 81.712 -2.1130
6400.000000 81.698 1.2373
6500.000000 81.770 4.5023
