* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -29.5 dBFS with no timing reference
* Dated: Jan 27, 2025 7:53:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KC Relentless (7.5 Ohm) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 90.881 -124.3569
20.600000 90.936 -125.1159
20.900000 91.000 -125.9126
21.200001 91.066 -126.7103
21.400000 91.111 -127.2530
21.799999 91.197 -128.3763
22.000000 91.235 -128.9514
22.400000 91.300 -130.0943
22.700001 91.342 -130.9170
23.000000 91.382 -131.6976
23.299999 91.426 -132.4441
23.600000 91.475 -133.1768
24.000000 91.547 -134.1672
24.299999 91.600 -134.9279
24.700001 91.662 -135.9414
25.000000 91.700 -136.6711
25.400000 91.742 -137.5721
25.799999 91.780 -138.3982
26.200001 91.821 -139.1991
26.500000 91.852 -139.8162
26.900000 91.892 -140.6766
27.200001 91.919 -141.3374
27.600000 91.953 -142.2034
28.000000 91.989 -143.0262
28.500000 92.043 -144.0095
29.000000 92.100 -145.0029
29.500000 92.143 -146.0231
30.000000 92.163 -147.0043
30.400000 92.170 -147.7143
30.700001 92.177 -148.2029
31.100000 92.197 -148.8282
31.500000 92.230 -149.4698
32.000000 92.281 -150.3358
32.500000 92.329 -151.2454
33.000000 92.366 -152.1294
33.500000 92.394 -152.9483
34.000000 92.420 -153.7201
34.500000 92.444 -154.4888
35.000000 92.466 -155.2814
35.500000 92.484 -156.0913
36.000000 92.499 -156.8917
36.500000 92.513 -157.6588
37.000000 92.528 -158.3873
37.500000 92.545 -159.0861
38.200001 92.567 -160.0295
38.700001 92.582 -160.6805
39.500000 92.607 -161.7091
40.000000 92.624 -162.3730
40.599998 92.640 -163.2016
41.200001 92.652 -164.0438
41.799999 92.660 -164.8749
42.500000 92.664 -165.7961
43.099998 92.665 -166.5032
43.700001 92.669 -167.1285
44.400002 92.683 -167.8329
45.000000 92.696 -168.4822
45.500000 92.702 -169.0523
46.200001 92.702 -169.8530
46.799999 92.702 -170.5260
47.500000 92.701 -171.2852
48.200001 92.699 -171.9916
48.700001 92.698 -172.4685
49.400002 92.692 -173.1342
50.000000 92.682 -173.7234
50.799999 92.667 -174.5291
51.500000 92.663 -175.2463
52.200001 92.668 -175.9670
53.000000 92.673 -176.7556
53.799999 92.667 -177.4712
54.500000 92.656 -178.0690
55.200001 92.647 -178.6937
56.000000 92.640 -179.4211
57.000000 92.631 179.7363
58.000000 92.595 178.9659
59.000000 92.543 178.2746
60.000000 92.534 177.4544
60.799999 92.544 176.6559
61.500000 92.543 176.0233
62.200001 92.533 175.5062
63.000000 92.516 174.9498
64.000000 92.492 174.1924
65.000000 92.474 173.4374
66.000000 92.450 172.7203
67.000000 92.409 172.0736
68.000000 92.382 171.4151
69.000000 92.371 170.6328
70.000000 92.353 169.9105
71.000000 92.335 169.2884
72.000000 92.312 168.6492
73.000000 92.286 168.0154
74.000000 92.260 167.3884
75.000000 92.231 166.7524
76.199997 92.195 166.0030
77.500000 92.159 165.2325
78.800003 92.123 164.4780
80.000000 92.092 163.7955
81.199997 92.062 163.1201
82.500000 92.021 162.4164
83.800003 91.978 161.7284
85.000000 91.942 161.0847
86.199997 91.906 160.4373
87.500000 91.863 159.7669
88.500000 91.833 159.2748
90.000000 91.791 158.5443
91.199997 91.754 157.9609
92.500000 91.711 157.3409
93.800003 91.671 156.7433
95.000000 91.636 156.1988
96.199997 91.599 155.6459
97.500000 91.555 155.0458
98.800003 91.508 154.4516
100.000000 91.464 153.9448
101.500000 91.418 153.3270
103.000000 91.372 152.6869
104.400002 91.330 152.0908
106.000000 91.282 151.4146
107.500000 91.233 150.8324
109.000000 91.185 150.2580
110.599998 91.133 149.6340
112.000000 91.087 149.1044
113.800003 91.029 148.4390
115.000000 90.991 148.0088
117.199997 90.923 147.2221
118.000000 90.899 146.9185
120.599998 90.819 145.9753
122.000000 90.771 145.5330
124.099998 90.701 144.8481
125.000000 90.671 144.5515
126.500000 90.622 144.0703
128.000000 90.573 143.6035
131.500000 90.458 142.5006
132.000000 90.442 142.3450
134.000000 90.377 141.7361
136.000000 90.314 141.1554
138.000000 90.254 140.5830
140.000000 90.193 140.0153
143.000000 90.095 139.2267
145.000000 90.033 138.6401
147.500000 89.950 137.9568
150.000000 89.870 137.3741
152.500000 89.798 136.7081
155.000000 89.723 136.0389
157.500000 89.649 135.4606
160.000000 89.572 134.9154
162.500000 89.494 134.2491
165.000000 89.419 133.6192
167.500000 89.346 133.0455
170.000000 89.274 132.4850
172.500000 89.197 131.9225
175.000000 89.121 131.3866
177.500000 89.048 130.8847
180.000000 88.976 130.3736
182.500000 88.903 129.8365
185.000000 88.832 129.3407
187.500000 88.759 128.8570
190.000000 88.681 128.3908
192.500000 88.606 127.9455
195.000000 88.536 127.4893
197.500000 88.471 127.0255
200.000000 88.404 126.5849
203.000000 88.322 126.0362
206.000000 88.241 125.4958
209.000000 88.161 124.9931
212.000000 88.081 124.5178
214.000000 88.024 124.2023
218.000000 87.906 123.5924
220.000000 87.848 123.2769
224.000000 87.745 122.6372
227.000000 87.665 122.2013
230.000000 87.583 121.7762
233.000000 87.507 121.3332
236.000000 87.443 120.8089
240.000000 87.348 120.2450
243.000000 87.240 120.1523
247.000000 87.114 120.0480
250.000000 87.045 119.8907
254.000000 86.989 119.6960
258.000000 86.966 119.3997
262.000000 86.947 118.8229
265.000000 86.917 118.2893
269.000000 86.852 117.5701
272.000000 86.793 117.0675
276.000000 86.708 116.4535
280.000000 86.620 115.8947
285.000000 86.519 115.2251
290.000000 86.421 114.5701
295.000000 86.324 113.9450
300.000000 86.220 113.3058
304.000000 86.131 112.8136
307.000000 86.066 112.4827
311.000000 85.981 112.0508
315.000000 85.898 111.6292
320.000000 85.799 111.1304
325.000000 85.702 110.6162
330.000000 85.607 110.1403
335.000000 85.511 109.6672
340.000000 85.418 109.2079
345.000000 85.327 108.7750
350.000000 85.237 108.3376
355.000000 85.147 107.9189
360.000000 85.062 107.5372
365.000000 84.976 107.1333
370.000000 84.891 106.7354
375.000000 84.808 106.3476
382.000000 84.694 105.8328
387.000000 84.612 105.4692
395.000000 84.481 104.8774
400.000000 84.403 104.5237
406.000000 84.315 104.1360
412.000000 84.225 103.7578
418.000000 84.136 103.3716
425.000000 84.035 102.9513
431.000000 83.949 102.6035
437.000000 83.866 102.2509
444.000000 83.771 101.8516
450.000000 83.691 101.5165
455.000000 83.624 101.2412
462.000000 83.530 100.8913
468.000000 83.453 100.6060
475.000000 83.366 100.2708
482.000000 83.278 99.9515
487.000000 83.216 99.7288
494.000000 83.131 99.4167
500.000000 83.059 99.1601
508.000000 82.963 98.8427
515.000000 82.879 98.5710
522.000000 82.797 98.3258
530.000000 82.703 98.0948
538.000000 82.608 97.9200
545.000000 82.527 97.7750
552.000000 82.454 97.6995
560.000000 82.384 97.6968
570.000000 82.322 97.6574
580.000000 82.282 97.4575
590.000000 82.244 97.1583
600.000000 82.187 96.7667
608.000000 82.125 96.4620
615.000000 82.066 96.2626
622.000000 82.010 96.1210
630.000000 81.954 95.9950
640.000000 81.897 95.8328
650.000000 81.843 95.6438
660.000000 81.787 95.4640
670.000000 81.729 95.3117
680.000000 81.673 95.1936
690.000000 81.621 95.0946
700.000000 81.572 95.0133
710.000000 81.530 94.9643
720.000000 81.489 94.9393
730.000000 81.450 94.9350
740.000000 81.416 94.9598
750.000000 81.389 95.0113
762.000000 81.365 95.0857
775.000000 81.346 95.1798
788.000000 81.336 95.2987
800.000000 81.337 95.4308
812.000000 81.345 95.5467
825.000000 81.361 95.6512
838.000000 81.387 95.7654
850.000000 81.423 95.8583
862.000000 81.467 95.9283
875.000000 81.520 95.9843
885.000000 81.564 96.0084
900.000000 81.637 95.9947
912.000000 81.702 95.9507
925.000000 81.776 95.8737
938.000000 81.851 95.7650
950.000000 81.923 95.6477
962.000000 81.999 95.5094
975.000000 82.084 95.3219
988.000000 82.171 95.1048
1000.000000 82.253 94.8825
1015.000000 82.355 94.5658
1030.000000 82.460 94.2127
1044.000000 82.558 93.8573
1060.000000 82.670 93.4143
1075.000000 82.774 92.9611
1090.000000 82.882 92.4846
1106.000000 82.994 91.9500
1120.000000 83.089 91.4514
1138.000000 83.208 90.7759
1150.000000 83.288 90.3057
1172.000000 83.429 89.4262
1180.000000 83.479 89.0999
1206.000000 83.635 88.0157
1220.000000 83.717 87.4206
1241.000000 83.837 86.5167
1250.000000 83.886 86.1240
1265.000000 83.968 85.4680
1280.000000 84.047 84.8195
1315.000000 84.226 83.3131
1320.000000 84.251 83.0995
1340.000000 84.349 82.2453
1360.000000 84.445 81.3935
1380.000000 84.539 80.5513
1400.000000 84.633 79.7118
1430.000000 84.775 78.4810
1450.000000 84.870 77.6619
1475.000000 84.987 76.6342
1500.000000 85.106 75.6101
1525.000000 85.225 74.5804
1550.000000 85.346 73.5522
1575.000000 85.468 72.5181
1600.000000 85.591 71.4595
1625.000000 85.714 70.3846
1650.000000 85.839 69.3030
1675.000000 85.964 68.1884
1700.000000 86.089 67.0496
1725.000000 86.214 65.8835
1750.000000 86.337 64.6836
1775.000000 86.460 63.4498
1800.000000 86.580 62.1843
1825.000000 86.698 60.8884
1850.000000 86.813 59.5509
1875.000000 86.923 58.1723
1900.000000 87.030 56.7671
1925.000000 87.131 55.3256
1950.000000 87.225 53.8483
1975.000000 87.312 52.3423
2000.000000 87.393 50.8099
2030.000000 87.480 48.9377
2060.000000 87.554 47.0350
2090.000000 87.615 45.1161
2120.000000 87.662 43.1839
2140.000000 87.685 41.8915
2180.000000 87.712 39.3136
2200.000000 87.716 38.0385
2240.000000 87.708 35.5287
2270.000000 87.684 33.6812
2300.000000 87.649 31.8768
2330.000000 87.603 30.1270
2360.000000 87.547 28.4363
2400.000000 87.456 26.2745
2430.000000 87.378 24.7301
2470.000000 87.265 22.7723
2500.000000 87.173 21.3805
2540.000000 87.042 19.6339
2580.000000 86.906 18.0188
2620.000000 86.765 16.5258
2650.000000 86.657 15.4781
2690.000000 86.514 14.1949
2720.000000 86.407 13.3105
2760.000000 86.266 12.2249
2800.000000 86.126 11.2480
2850.000000 85.960 10.1829
2900.000000 85.804 9.2575
2950.000000 85.659 8.4582
3000.000000 85.530 7.7734
3040.000000 85.438 7.2875
3070.000000 85.374 6.9490
3110.000000 85.299 6.5310
3150.000000 85.234 6.1444
3200.000000 85.163 5.6816
3250.000000 85.103 5.2285
3300.000000 85.056 4.7922
3350.000000 85.019 4.3763
3400.000000 84.993 3.9754
3450.000000 84.979 3.5750
3500.000000 84.980 3.1693
3550.000000 84.998 2.7367
3600.000000 85.032 2.2183
3650.000000 85.079 1.5609
3700.000000 85.129 0.7549
3750.000000 85.173 -0.1880
3820.000000 85.215 -1.7031
3870.000000 85.230 -2.8835
3950.000000 85.227 -4.9109
4000.000000 85.203 -6.2631
4060.000000 85.150 -7.9468
4120.000000 85.065 -9.6643
4180.000000 84.947 -11.3749
4250.000000 84.764 -13.3192
4310.000000 84.567 -14.8833
4370.000000 84.336 -16.2881
4440.000000 84.028 -17.6613
4500.000000 83.737 -18.5607
4550.000000 83.481 -19.0791
4620.000000 83.117 -19.4130
4680.000000 82.805 -19.3152
4750.000000 82.461 -18.7294
4820.000000 82.169 -17.6378
4870.000000 82.011 -16.6409
4940.000000 81.863 -15.1666
5000.000000 81.792 -13.9134
5080.000000 81.781 -12.2495
5150.000000 81.866 -10.9556
5220.000000 82.042 -10.1344
5300.000000 82.312 -10.1700
5380.000000 82.568 -11.4565
5450.000000 82.701 -13.4979
5520.000000 82.693 -16.0438
5600.000000 82.489 -18.9974
5700.000000 81.993 -21.8636
5800.000000 81.348 -23.2547
5900.000000 80.675 -23.1726
6000.000000 80.061 -21.8639
6080.000000 79.644 -20.1757
6150.000000 79.335 -18.3812
6220.000000 79.084 -16.3773
6300.000000 78.865 -13.9028
