* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -33.0 dBFS with no timing reference
* Dated: Jan 27, 2025 7:26:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KC Relentless L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 90.096 -124.1561
20.600000 90.150 -124.9339
20.900000 90.207 -125.7862
21.200001 90.263 -126.6539
21.400000 90.298 -127.2354
21.799999 90.365 -128.3869
22.000000 90.398 -128.9476
22.400000 90.463 -130.0217
22.700001 90.514 -130.7844
23.000000 90.567 -131.5189
23.299999 90.621 -132.2386
23.600000 90.674 -132.9561
24.000000 90.741 -133.9210
24.299999 90.785 -134.6499
24.700001 90.835 -135.6162
25.000000 90.867 -136.3263
25.400000 90.906 -137.2435
25.799999 90.946 -138.1282
26.200001 90.989 -138.9949
26.500000 91.024 -139.6449
26.900000 91.071 -140.5209
27.200001 91.105 -141.1817
27.600000 91.145 -142.0474
28.000000 91.179 -142.8653
28.500000 91.220 -143.7931
29.000000 91.267 -144.6502
29.500000 91.321 -145.5249
30.000000 91.370 -146.4708
30.400000 91.398 -147.2562
30.700001 91.414 -147.8342
31.100000 91.434 -148.5673
31.500000 91.457 -149.2623
32.000000 91.497 -150.1274
32.500000 91.539 -151.0324
33.000000 91.567 -151.9475
33.500000 91.581 -152.7937
34.000000 91.590 -153.5360
34.500000 91.606 -154.2233
35.000000 91.630 -154.9348
35.500000 91.655 -155.7006
36.000000 91.674 -156.4869
36.500000 91.686 -157.2427
37.000000 91.697 -157.9471
37.500000 91.710 -158.6152
38.200001 91.735 -159.5399
38.700001 91.755 -160.2095
39.500000 91.782 -161.2736
40.000000 91.793 -161.9111
40.599998 91.800 -162.6462
41.200001 91.804 -163.3830
41.799999 91.806 -164.1585
42.500000 91.806 -165.0860
43.099998 91.808 -165.8173
43.700001 91.820 -166.4528
44.400002 91.847 -167.1553
45.000000 91.866 -167.8163
45.500000 91.869 -168.4108
46.200001 91.855 -169.2381
46.799999 91.842 -169.9034
47.500000 91.839 -170.6453
48.200001 91.843 -171.3655
48.700001 91.845 -171.8577
49.400002 91.843 -172.5170
50.000000 91.837 -173.0751
50.799999 91.824 -173.8302
51.500000 91.813 -174.4895
52.200001 91.804 -175.1401
53.000000 91.797 -175.8869
53.799999 91.787 -176.6306
54.500000 91.775 -177.2538
55.200001 91.764 -177.8524
56.000000 91.755 -178.5306
57.000000 91.744 -179.3640
58.000000 91.729 179.8404
59.000000 91.711 179.0610
60.000000 91.689 178.2801
60.799999 91.673 177.6493
61.500000 91.660 177.1002
62.200001 91.647 176.5703
63.000000 91.631 175.9963
64.000000 91.611 175.2921
65.000000 91.590 174.5608
66.000000 91.567 173.8276
67.000000 91.542 173.1496
68.000000 91.518 172.5112
69.000000 91.493 171.8625
70.000000 91.466 171.2191
71.000000 91.439 170.5856
72.000000 91.410 169.9585
73.000000 91.383 169.3372
74.000000 91.355 168.7289
75.000000 91.328 168.1677
76.199997 91.295 167.5042
77.500000 91.253 166.7520
78.800003 91.217 166.0215
80.000000 91.184 165.3775
81.199997 91.145 164.7634
82.500000 91.106 164.0960
83.800003 91.067 163.4170
85.000000 91.028 162.8215
86.199997 90.990 162.2431
87.500000 90.950 161.6211
88.500000 90.920 161.1477
90.000000 90.874 160.4431
91.199997 90.836 159.9036
92.500000 90.795 159.3253
93.800003 90.753 158.7543
95.000000 90.713 158.2350
96.199997 90.673 157.7184
97.500000 90.629 157.1786
98.800003 90.586 156.6581
100.000000 90.545 156.1784
101.500000 90.496 155.6026
103.000000 90.449 155.0429
104.400002 90.402 154.5250
106.000000 90.347 153.9109
107.500000 90.298 153.3542
109.000000 90.248 152.8227
110.599998 90.195 152.2549
112.000000 90.149 151.7676
113.800003 90.091 151.1639
115.000000 90.053 150.7753
117.199997 89.979 150.0615
118.000000 89.951 149.7999
120.599998 89.858 148.9811
122.000000 89.814 148.5649
124.099998 89.746 147.9499
125.000000 89.716 147.6929
126.500000 89.667 147.2638
128.000000 89.618 146.8260
131.500000 89.507 145.8373
132.000000 89.490 145.7075
134.000000 89.424 145.1962
136.000000 89.360 144.6773
138.000000 89.299 144.1584
140.000000 89.235 143.6573
143.000000 89.137 142.9332
145.000000 89.074 142.4619
147.500000 88.994 141.8763
150.000000 88.918 141.3116
152.500000 88.839 140.7752
155.000000 88.758 140.2279
157.500000 88.680 139.7146
160.000000 88.606 139.2220
162.500000 88.530 138.7478
165.000000 88.457 138.3372
167.500000 88.386 137.9085
170.000000 88.318 137.4541
172.500000 88.252 136.9923
175.000000 88.187 136.5231
177.500000 88.120 136.0580
180.000000 88.047 135.5794
182.500000 87.977 135.1436
185.000000 87.910 134.7377
187.500000 87.842 134.3440
190.000000 87.771 133.9527
192.500000 87.701 133.5559
195.000000 87.634 133.1651
197.500000 87.568 132.7855
200.000000 87.501 132.4168
203.000000 87.420 131.9878
206.000000 87.341 131.5758
209.000000 87.264 131.1712
212.000000 87.189 130.7825
214.000000 87.138 130.5266
218.000000 87.037 130.0214
220.000000 86.985 129.7771
224.000000 86.883 129.2941
227.000000 86.811 128.9360
230.000000 86.741 128.5941
233.000000 86.670 128.2759
236.000000 86.598 127.9634
240.000000 86.504 127.5351
243.000000 86.436 127.2514
247.000000 86.345 126.8802
250.000000 86.277 126.5990
254.000000 86.186 126.2239
258.000000 86.098 125.8474
262.000000 86.015 125.5167
265.000000 85.953 125.2794
269.000000 85.871 124.9803
272.000000 85.810 124.7591
276.000000 85.730 124.4703
280.000000 85.654 124.2054
285.000000 85.567 123.8912
290.000000 85.486 123.5671
295.000000 85.411 123.2017
300.000000 85.337 122.8407
304.000000 85.273 122.5269
307.000000 85.225 122.2799
311.000000 85.161 121.9454
315.000000 85.095 121.6270
320.000000 85.012 121.2373
325.000000 84.929 120.8500
330.000000 84.846 120.4965
335.000000 84.763 120.1900
340.000000 84.679 119.8908
345.000000 84.596 119.5885
350.000000 84.518 119.2948
355.000000 84.442 119.0225
360.000000 84.367 118.7577
365.000000 84.293 118.4974
370.000000 84.222 118.2461
375.000000 84.151 118.0114
382.000000 84.055 117.6974
387.000000 83.988 117.4768
395.000000 83.883 117.1287
400.000000 83.819 116.9258
406.000000 83.744 116.6964
412.000000 83.671 116.4868
418.000000 83.598 116.2931
425.000000 83.512 116.0456
431.000000 83.441 115.8353
437.000000 83.373 115.6303
444.000000 83.295 115.4079
450.000000 83.230 115.2422
455.000000 83.177 115.1128
462.000000 83.105 114.9452
468.000000 83.044 114.8120
475.000000 82.973 114.6691
482.000000 82.907 114.5369
487.000000 82.863 114.4503
494.000000 82.802 114.3317
500.000000 82.750 114.2513
508.000000 82.686 114.1454
515.000000 82.633 114.0518
522.000000 82.582 113.9622
530.000000 82.524 113.8589
538.000000 82.465 113.7802
545.000000 82.419 113.7155
552.000000 82.376 113.6469
560.000000 82.327 113.5836
570.000000 82.267 113.5282
580.000000 82.215 113.4838
590.000000 82.167 113.4305
600.000000 82.120 113.3972
608.000000 82.081 113.4034
615.000000 82.046 113.4188
622.000000 82.014 113.4404
630.000000 81.981 113.4800
640.000000 81.947 113.5533
650.000000 81.918 113.6359
660.000000 81.893 113.7297
670.000000 81.873 113.8300
680.000000 81.859 113.9285
690.000000 81.849 114.0291
700.000000 81.841 114.1320
710.000000 81.835 114.2383
720.000000 81.833 114.3482
730.000000 81.834 114.4889
740.000000 81.837 114.6497
750.000000 81.846 114.8134
762.000000 81.860 115.0148
775.000000 81.882 115.2488
788.000000 81.913 115.5042
800.000000 81.950 115.7477
812.000000 81.997 116.0020
825.000000 82.054 116.2676
838.000000 82.118 116.5261
850.000000 82.186 116.7648
862.000000 82.263 116.9677
875.000000 82.354 117.1555
885.000000 82.427 117.2823
900.000000 82.543 117.4431
912.000000 82.642 117.5422
925.000000 82.753 117.6060
938.000000 82.867 117.6280
950.000000 82.974 117.6320
962.000000 83.084 117.6099
975.000000 83.206 117.5409
988.000000 83.330 117.4454
1000.000000 83.446 117.3292
1015.000000 83.592 117.1406
1030.000000 83.739 116.9176
1044.000000 83.878 116.6771
1060.000000 84.036 116.3604
1075.000000 84.182 116.0271
1090.000000 84.327 115.6549
1106.000000 84.480 115.2161
1120.000000 84.613 114.8073
1138.000000 84.783 114.2502
1150.000000 84.893 113.8580
1172.000000 85.090 113.1108
1180.000000 85.160 112.8312
1206.000000 85.383 111.8967
1220.000000 85.501 111.3814
1241.000000 85.671 110.5958
1250.000000 85.743 110.2531
1265.000000 85.861 109.6759
1280.000000 85.976 109.0987
1315.000000 86.239 107.7551
1320.000000 86.275 107.5622
1340.000000 86.420 106.7945
1360.000000 86.562 106.0350
1380.000000 86.704 105.2731
1400.000000 86.843 104.5117
1430.000000 87.050 103.3818
1450.000000 87.187 102.6362
1475.000000 87.359 101.6965
1500.000000 87.531 100.7539
1525.000000 87.702 99.8064
1550.000000 87.873 98.8481
1575.000000 88.045 97.8779
1600.000000 88.218 96.8974
1625.000000 88.390 95.8989
1650.000000 88.562 94.8755
1675.000000 88.734 93.8300
1700.000000 88.906 92.7531
1725.000000 89.076 91.6456
1750.000000 89.244 90.5089
1775.000000 89.410 89.3395
1800.000000 89.574 88.1317
1825.000000 89.734 86.8893
1850.000000 89.891 85.6117
1875.000000 90.043 84.2951
1900.000000 90.191 82.9445
1925.000000 90.332 81.5600
1950.000000 90.467 80.1411
1975.000000 90.594 78.6950
2000.000000 90.713 77.2230
2030.000000 90.845 75.4267
2060.000000 90.965 73.6016
2090.000000 91.071 71.7560
2120.000000 91.164 69.9008
2140.000000 91.217 68.6646
2180.000000 91.305 66.2068
2200.000000 91.340 64.9877
2240.000000 91.391 62.5825
2270.000000 91.413 60.8175
2300.000000 91.424 59.0957
2330.000000 91.424 57.4264
2360.000000 91.414 55.8127
2400.000000 91.386 53.7515
2430.000000 91.356 52.2759
2470.000000 91.304 50.4074
2500.000000 91.258 49.0850
2540.000000 91.190 47.4289
2580.000000 91.116 45.8954
2620.000000 91.038 44.4764
2650.000000 90.978 43.4904
2690.000000 90.896 42.2764
2720.000000 90.836 41.4373
2760.000000 90.756 40.4130
2800.000000 90.679 39.4926
2850.000000 90.589 38.4797
2900.000000 90.509 37.6070
2950.000000 90.442 36.8578
3000.000000 90.389 36.2077
3040.000000 90.358 35.7382
3070.000000 90.341 35.4097
3110.000000 90.326 34.9959
3150.000000 90.319 34.6023
3200.000000 90.321 34.1320
3250.000000 90.334 33.6750
3300.000000 90.358 33.2314
3350.000000 90.392 32.7988
3400.000000 90.436 32.3744
3450.000000 90.493 31.9576
3500.000000 90.565 31.5280
3550.000000 90.655 31.0475
3600.000000 90.760 30.4605
3650.000000 90.874 29.7262
3700.000000 90.987 28.8387
3750.000000 91.092 27.8163
3820.000000 91.220 26.2175
3870.000000 91.297 24.9788
3950.000000 91.390 22.8486
4000.000000 91.426 21.4361
4060.000000 91.443 19.6873
4120.000000 91.429 17.9040
4180.000000 91.381 16.1233
4250.000000 91.279 14.1102
4310.000000 91.154 12.4969
4370.000000 90.995 11.0433
4440.000000 90.773 9.6176
4500.000000 90.560 8.6823
4550.000000 90.371 8.1339
4620.000000 90.102 7.7449
4680.000000 89.878 7.7763
4750.000000 89.641 8.2555
4820.000000 89.459 9.1951
4870.000000 89.379 10.0594
4940.000000 89.345 11.3212
5000.000000 89.377 12.3401
5080.000000 89.506 13.5530
5150.000000 89.711 14.2911
5220.000000 89.987 14.4050
5300.000000 90.334 13.4410
5380.000000 90.614 11.2393
5450.000000 90.730 8.5601
5520.000000 90.686 5.6254
5600.000000 90.447 2.5426
5700.000000 89.942 -0.1934
5800.000000 89.338 -1.3698
5900.000000 88.748 -1.1224
6000.000000 88.238 0.2025
6080.000000 87.907 1.8105
6150.000000 87.676 3.4905
6220.000000 87.500 5.3458
6300.000000 87.363 7.6099
6400.000000 87.286 10.5585
6500.000000 87.307 13.5416
6600.000000 87.422 16.4730
