* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -33.0 dBFS with no timing reference
* Dated: Jan 27, 2025 7:57:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KC Relentless R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 90.446 -124.7580
20.600000 90.496 -125.5704
20.900000 90.546 -126.4536
21.200001 90.593 -127.3354
21.400000 90.624 -127.9138
21.799999 90.688 -129.0351
22.000000 90.722 -129.5755
22.400000 90.795 -130.6223
22.700001 90.853 -131.3917
23.000000 90.910 -132.1603
23.299999 90.963 -132.9321
23.600000 91.010 -133.7019
24.000000 91.064 -134.7037
24.299999 91.101 -135.4223
24.700001 91.151 -136.3305
25.000000 91.192 -136.9812
25.400000 91.250 -137.8246
25.799999 91.309 -138.6525
26.200001 91.363 -139.4692
26.500000 91.398 -140.0784
26.900000 91.437 -140.9000
27.200001 91.461 -141.5345
27.600000 91.486 -142.4101
28.000000 91.504 -143.3002
28.500000 91.525 -144.3730
29.000000 91.560 -145.3581
29.500000 91.615 -146.2920
30.000000 91.680 -147.2509
30.400000 91.724 -148.0537
30.700001 91.748 -148.6626
31.100000 91.768 -149.4556
31.500000 91.779 -150.2028
32.000000 91.791 -151.0565
32.500000 91.811 -151.8194
33.000000 91.839 -152.4984
33.500000 91.877 -153.1299
34.000000 91.919 -153.7828
34.500000 91.953 -154.5092
35.000000 91.972 -155.2963
35.500000 91.981 -156.0869
36.000000 91.990 -156.8421
36.500000 92.005 -157.5662
37.000000 92.019 -158.2716
37.500000 92.027 -158.9469
38.200001 92.027 -159.8150
38.700001 92.030 -160.4133
39.500000 92.055 -161.4699
40.000000 92.074 -162.2069
40.599998 92.087 -163.0756
41.200001 92.092 -163.8190
41.799999 92.105 -164.4463
42.500000 92.132 -165.2133
43.099998 92.146 -165.9787
43.700001 92.138 -166.7340
44.400002 92.119 -167.4685
45.000000 92.119 -168.0709
45.500000 92.128 -168.6595
46.200001 92.132 -169.5805
46.799999 92.126 -170.2951
47.500000 92.127 -170.9608
48.200001 92.138 -171.5777
48.700001 92.139 -172.0477
49.400002 92.128 -172.7311
50.000000 92.118 -173.3243
50.799999 92.112 -174.1387
51.500000 92.107 -174.8255
52.200001 92.100 -175.4207
53.000000 92.098 -176.0579
53.799999 92.094 -176.7696
54.500000 92.083 -177.4178
55.200001 92.069 -178.0217
56.000000 92.056 -178.6756
57.000000 92.040 -179.4994
58.000000 92.024 179.6757
59.000000 92.009 178.8879
60.000000 91.991 178.1582
60.799999 91.970 177.5897
61.500000 91.951 177.1006
62.200001 91.938 176.6000
63.000000 91.930 175.9754
64.000000 91.912 175.1855
65.000000 91.886 174.5002
66.000000 91.861 173.8426
67.000000 91.832 173.1604
68.000000 91.800 172.4819
69.000000 91.771 171.8425
70.000000 91.751 171.2168
71.000000 91.728 170.5716
72.000000 91.700 169.9606
73.000000 91.674 169.3719
74.000000 91.649 168.7750
75.000000 91.622 168.1931
76.199997 91.590 167.4938
77.500000 91.553 166.7359
78.800003 91.513 166.0315
80.000000 91.477 165.4108
81.199997 91.441 164.7891
82.500000 91.402 164.1083
83.800003 91.362 163.4566
85.000000 91.324 162.8936
86.199997 91.287 162.3243
87.500000 91.243 161.6974
88.500000 91.211 161.2238
90.000000 91.165 160.5192
91.199997 91.128 159.9707
92.500000 91.085 159.3881
93.800003 91.040 158.8257
95.000000 91.001 158.3249
96.199997 90.962 157.8246
97.500000 90.922 157.2859
98.800003 90.881 156.7641
100.000000 90.843 156.2973
101.500000 90.795 155.7131
103.000000 90.744 155.1293
104.400002 90.697 154.6009
106.000000 90.644 154.0139
107.500000 90.594 153.4775
109.000000 90.544 152.9557
110.599998 90.491 152.4043
112.000000 90.445 151.9218
113.800003 90.388 151.3181
115.000000 90.349 150.9187
117.199997 90.277 150.2082
118.000000 90.250 149.9645
120.599998 90.161 149.1701
122.000000 90.113 148.7310
124.099998 90.044 148.1194
125.000000 90.013 147.8562
126.500000 89.962 147.4009
128.000000 89.914 146.9570
131.500000 89.797 146.0201
132.000000 89.781 145.8862
134.000000 89.717 145.3430
136.000000 89.652 144.8102
138.000000 89.588 144.3063
140.000000 89.522 143.8152
143.000000 89.423 143.0784
145.000000 89.357 142.6129
147.500000 89.270 142.0433
150.000000 89.181 141.4990
152.500000 89.093 140.9806
155.000000 89.003 140.4918
157.500000 88.908 140.0867
160.000000 88.817 139.8100
162.500000 88.750 139.6651
165.000000 88.720 139.4678
167.500000 88.704 139.0285
170.000000 88.679 138.3746
172.500000 88.626 137.7010
175.000000 88.551 137.1013
177.500000 88.473 136.5666
180.000000 88.406 136.0451
182.500000 88.335 135.5436
185.000000 88.260 135.0854
187.500000 88.186 134.6518
190.000000 88.114 134.2287
192.500000 88.043 133.8300
195.000000 87.972 133.4417
197.500000 87.903 133.0536
200.000000 87.835 132.6924
203.000000 87.755 132.2850
206.000000 87.674 131.8664
209.000000 87.593 131.4565
212.000000 87.513 131.0720
214.000000 87.461 130.8192
218.000000 87.360 130.3226
220.000000 87.311 130.0822
224.000000 87.216 129.6137
227.000000 87.144 129.2590
230.000000 87.072 128.9122
233.000000 87.002 128.5823
236.000000 86.932 128.2611
240.000000 86.837 127.8211
243.000000 86.771 127.5124
247.000000 86.684 127.1227
250.000000 86.620 126.8304
254.000000 86.537 126.4301
258.000000 86.455 126.0294
262.000000 86.371 125.6449
265.000000 86.307 125.3618
269.000000 86.224 124.9871
272.000000 86.162 124.7048
276.000000 86.080 124.3412
280.000000 85.998 123.9933
285.000000 85.896 123.5666
290.000000 85.797 123.1621
295.000000 85.698 122.7760
300.000000 85.599 122.4142
304.000000 85.526 122.1216
307.000000 85.472 121.8974
311.000000 85.397 121.6042
315.000000 85.324 121.3341
320.000000 85.232 121.0247
325.000000 85.142 120.7057
330.000000 85.055 120.4061
335.000000 84.969 120.1424
340.000000 84.886 119.8765
345.000000 84.804 119.6036
350.000000 84.723 119.3494
355.000000 84.642 119.1118
360.000000 84.563 118.8732
365.000000 84.486 118.6544
370.000000 84.410 118.4446
375.000000 84.337 118.2314
382.000000 84.241 117.9304
387.000000 84.172 117.7144
395.000000 84.065 117.3828
400.000000 83.998 117.1906
406.000000 83.918 116.9638
412.000000 83.836 116.7522
418.000000 83.756 116.5424
425.000000 83.668 116.3006
431.000000 83.594 116.1106
437.000000 83.521 115.9407
444.000000 83.438 115.7635
450.000000 83.368 115.6211
455.000000 83.309 115.5013
462.000000 83.227 115.3549
468.000000 83.159 115.2401
475.000000 83.082 115.1042
482.000000 83.006 114.9709
487.000000 82.952 114.8943
494.000000 82.877 114.8081
500.000000 82.816 114.7486
508.000000 82.736 114.6906
515.000000 82.667 114.6484
522.000000 82.600 114.6273
530.000000 82.526 114.6328
538.000000 82.452 114.6495
545.000000 82.389 114.6725
552.000000 82.331 114.7308
560.000000 82.266 114.8418
570.000000 82.192 115.0023
580.000000 82.124 115.2318
590.000000 82.060 115.4984
600.000000 82.006 115.8123
608.000000 81.975 116.0812
615.000000 81.955 116.3359
622.000000 81.941 116.6062
630.000000 81.931 116.9199
640.000000 81.930 117.3063
650.000000 81.940 117.6821
660.000000 81.962 118.0350
670.000000 81.998 118.3405
680.000000 82.043 118.5938
690.000000 82.095 118.7990
700.000000 82.152 118.9267
710.000000 82.213 118.9990
720.000000 82.276 119.0190
730.000000 82.335 118.9662
740.000000 82.391 118.8693
750.000000 82.443 118.7509
762.000000 82.500 118.5759
775.000000 82.558 118.3851
788.000000 82.611 118.2222
800.000000 82.655 118.0853
812.000000 82.698 117.9531
825.000000 82.747 117.8487
838.000000 82.800 117.7777
850.000000 82.850 117.7143
862.000000 82.901 117.6602
875.000000 82.961 117.6354
885.000000 83.010 117.6356
900.000000 83.093 117.6299
912.000000 83.164 117.6248
925.000000 83.246 117.6181
938.000000 83.333 117.5948
950.000000 83.418 117.5627
962.000000 83.507 117.5212
975.000000 83.608 117.4584
988.000000 83.714 117.3732
1000.000000 83.815 117.2730
1015.000000 83.944 117.1229
1030.000000 84.078 116.9212
1044.000000 84.206 116.6973
1060.000000 84.353 116.4120
1075.000000 84.491 116.0999
1090.000000 84.628 115.7501
1106.000000 84.776 115.3399
1120.000000 84.904 114.9528
1138.000000 85.066 114.4091
1150.000000 85.174 114.0271
1172.000000 85.368 113.2849
1180.000000 85.437 113.0024
1206.000000 85.655 112.0525
1220.000000 85.770 111.5246
1241.000000 85.938 110.7212
1250.000000 86.008 110.3712
1265.000000 86.122 109.7831
1280.000000 86.234 109.1923
1315.000000 86.489 107.8037
1320.000000 86.524 107.6060
1340.000000 86.665 106.8139
1360.000000 86.802 106.0167
1380.000000 86.937 105.2281
1400.000000 87.072 104.4460
1430.000000 87.272 103.2757
1450.000000 87.403 102.4919
1475.000000 87.567 101.5145
1500.000000 87.730 100.5375
1525.000000 87.891 99.5546
1550.000000 88.053 98.5659
1575.000000 88.215 97.5645
1600.000000 88.377 96.5483
1625.000000 88.539 95.5160
1650.000000 88.700 94.4654
1675.000000 88.860 93.3929
1700.000000 89.018 92.2997
1725.000000 89.175 91.1808
1750.000000 89.330 90.0332
1775.000000 89.484 88.8558
1800.000000 89.634 87.6471
1825.000000 89.780 86.4104
1850.000000 89.923 85.1427
1875.000000 90.061 83.8423
1900.000000 90.193 82.5126
1925.000000 90.320 81.1621
1950.000000 90.440 79.7884
1975.000000 90.554 78.3835
2000.000000 90.660 76.9576
2030.000000 90.778 75.2341
2060.000000 90.885 73.4932
2090.000000 90.979 71.7362
2120.000000 91.060 69.9763
2140.000000 91.108 68.8058
2180.000000 91.185 66.4803
2200.000000 91.216 65.3333
2240.000000 91.261 63.0707
2270.000000 91.281 61.4096
2300.000000 91.291 59.7975
2330.000000 91.291 58.2356
2360.000000 91.282 56.7204
2400.000000 91.257 54.7880
2430.000000 91.232 53.4124
2470.000000 91.189 51.6727
2500.000000 91.152 50.4345
2540.000000 91.097 48.8753
2580.000000 91.037 47.4208
2620.000000 90.975 46.0680
2650.000000 90.928 45.1181
2690.000000 90.864 43.9326
2720.000000 90.816 43.1001
2760.000000 90.753 42.0699
2800.000000 90.692 41.1332
2850.000000 90.619 40.0732
2900.000000 90.555 39.1371
2950.000000 90.503 38.3144
3000.000000 90.462 37.5636
3040.000000 90.438 37.0027
3070.000000 90.425 36.6035
3110.000000 90.413 36.0913
3150.000000 90.407 35.5963
3200.000000 90.406 35.0070
3250.000000 90.415 34.4530
3300.000000 90.433 33.9216
3350.000000 90.460 33.4121
3400.000000 90.502 32.9249
3450.000000 90.560 32.4196
3500.000000 90.635 31.8462
3550.000000 90.722 31.1648
3600.000000 90.813 30.3491
3650.000000 90.897 29.3978
3700.000000 90.972 28.3469
3750.000000 91.037 27.2228
3820.000000 91.108 25.5421
3870.000000 91.143 24.2865
3950.000000 91.167 22.1865
4000.000000 91.159 20.8301
4060.000000 91.124 19.1909
4120.000000 91.059 17.5764
4180.000000 90.962 16.0236
4250.000000 90.806 14.3431
4310.000000 90.641 13.0807
4370.000000 90.451 12.0398
4440.000000 90.208 11.1466
4500.000000 89.989 10.6848
4550.000000 89.807 10.5314
4620.000000 89.562 10.6730
4680.000000 89.370 11.1246
4750.000000 89.184 12.0415
4820.000000 89.063 13.3662
4870.000000 89.036 14.4911
4940.000000 89.101 16.0626
5000.000000 89.246 17.1519
5080.000000 89.536 17.9613
5150.000000 89.847 17.8301
5220.000000 90.157 16.7352
5300.000000 90.422 14.3621
5380.000000 90.508 11.2178
5450.000000 90.409 8.3679
5520.000000 90.163 5.8898
5600.000000 89.757 3.8807
5700.000000 89.169 2.8059
5800.000000 88.601 3.1495
5900.000000 88.115 4.5497
6000.000000 87.738 6.6544
6080.000000 87.517 8.6596
6150.000000 87.380 10.5610
6220.000000 87.294 12.5515
6300.000000 87.256 14.8837
6400.000000 87.292 17.8074
6500.000000 87.419 20.6642
6600.000000 87.632 23.3948
