* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Jan 23, 2025 7:43:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ DQ6S L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 95.437 -156.6405
20.600000 95.433 -157.3409
20.900000 95.428 -158.0857
21.200001 95.423 -158.8317
21.400000 95.421 -159.3335
21.799999 95.417 -160.3516
22.000000 95.414 -160.8635
22.400000 95.402 -161.8712
22.700001 95.389 -162.5950
23.000000 95.375 -163.2811
23.299999 95.362 -163.9299
23.600000 95.352 -164.5502
24.000000 95.344 -165.3562
24.299999 95.340 -165.9600
24.700001 95.335 -166.7734
25.000000 95.328 -167.3847
25.400000 95.313 -168.1842
25.799999 95.289 -168.9479
26.200001 95.262 -169.6724
26.500000 95.240 -170.1992
26.900000 95.213 -170.8976
27.200001 95.194 -171.4257
27.600000 95.169 -172.1308
28.000000 95.146 -172.8143
28.500000 95.119 -173.6017
29.000000 95.097 -174.3079
29.500000 95.073 -174.9660
30.000000 95.038 -175.6013
30.400000 94.999 -176.0887
30.700001 94.966 -176.4400
31.100000 94.924 -176.9053
31.500000 94.891 -177.4061
32.000000 94.864 -178.1443
32.500000 94.839 -178.9983
33.000000 94.807 -179.8486
33.500000 94.773 179.4426
34.000000 94.748 178.8975
34.500000 94.740 178.4080
35.000000 94.732 177.8588
35.500000 94.705 177.2479
36.000000 94.654 176.6677
36.500000 94.596 176.1884
37.000000 94.547 175.7798
37.500000 94.514 175.3502
38.200001 94.473 174.6327
38.700001 94.435 174.0948
39.500000 94.369 173.3180
40.000000 94.333 172.8576
40.599998 94.293 172.2624
41.200001 94.247 171.6229
41.799999 94.193 170.9966
42.500000 94.130 170.3325
43.099998 94.081 169.8301
43.700001 94.036 169.4065
44.400002 93.994 169.0022
45.000000 93.964 168.6490
45.500000 93.933 168.2993
46.200001 93.869 167.7709
46.799999 93.808 167.3806
47.500000 93.758 166.9963
48.200001 93.728 166.5594
48.700001 93.702 166.2182
49.400002 93.650 165.8267
50.000000 93.611 165.5974
50.799999 93.582 165.2293
51.500000 93.545 164.7828
52.200001 93.473 164.4420
53.000000 93.387 164.2726
53.799999 93.324 163.9982
54.500000 93.272 163.5474
55.200001 93.218 163.0654
56.000000 93.171 162.5704
57.000000 93.107 161.9844
58.000000 93.020 161.5579
59.000000 92.947 161.2373
60.000000 92.879 160.8291
60.799999 92.812 160.5081
61.500000 92.757 160.2861
62.200001 92.712 160.0728
63.000000 92.663 159.7984
64.000000 92.596 159.4756
65.000000 92.539 159.1188
66.000000 92.478 158.7069
67.000000 92.414 158.4243
68.000000 92.359 158.1560
69.000000 92.297 157.7892
70.000000 92.228 157.4655
71.000000 92.163 157.2382
72.000000 92.099 157.0573
73.000000 92.033 156.8962
74.000000 91.967 156.7099
75.000000 91.899 156.4783
76.199997 91.818 156.1787
77.500000 91.743 155.8672
78.800003 91.677 155.5521
80.000000 91.615 155.2983
81.199997 91.548 155.1083
82.500000 91.464 154.8984
83.800003 91.379 154.6158
85.000000 91.315 154.3615
86.199997 91.250 154.1981
87.500000 91.175 154.0846
88.500000 91.125 153.9390
90.000000 91.050 153.6275
91.199997 90.978 153.4686
92.500000 90.903 153.3967
93.800003 90.839 153.3120
95.000000 90.775 153.1515
96.199997 90.709 152.9939
97.500000 90.647 152.8658
98.800003 90.585 152.7693
100.000000 90.529 152.6563
101.500000 90.456 152.4886
103.000000 90.381 152.3568
104.400002 90.312 152.2330
106.000000 90.237 152.1224
107.500000 90.167 152.0498
109.000000 90.098 151.9851
110.599998 90.026 151.9104
112.000000 89.961 151.8357
113.800003 89.877 151.7530
115.000000 89.823 151.6923
117.199997 89.727 151.6136
118.000000 89.696 151.5857
120.599998 89.596 151.4850
122.000000 89.532 151.4833
124.099998 89.440 151.4666
125.000000 89.403 151.4509
126.500000 89.343 151.4275
128.000000 89.285 151.4310
131.500000 89.149 151.4937
132.000000 89.130 151.4943
134.000000 89.056 151.5007
136.000000 88.982 151.5119
138.000000 88.911 151.5657
140.000000 88.838 151.5863
143.000000 88.727 151.5910
145.000000 88.659 151.5931
147.500000 88.573 151.6740
150.000000 88.499 151.7805
152.500000 88.428 151.8171
155.000000 88.348 151.8063
157.500000 88.269 151.8019
160.000000 88.184 151.8569
162.500000 88.105 152.0500
165.000000 88.025 152.1990
167.500000 87.956 152.2531
170.000000 87.891 152.3166
172.500000 87.821 152.4225
175.000000 87.747 152.5334
177.500000 87.674 152.6467
180.000000 87.605 152.7859
182.500000 87.543 152.9656
185.000000 87.478 153.1364
187.500000 87.415 153.2558
190.000000 87.351 153.3663
192.500000 87.289 153.5055
195.000000 87.228 153.7102
197.500000 87.166 153.8385
200.000000 87.108 153.9273
203.000000 87.038 154.1252
206.000000 86.973 154.3759
209.000000 86.913 154.5887
212.000000 86.849 154.7908
214.000000 86.800 154.9294
218.000000 86.719 155.1880
220.000000 86.683 155.3124
224.000000 86.606 155.6178
227.000000 86.545 155.8309
230.000000 86.487 156.0079
233.000000 86.430 156.1711
236.000000 86.378 156.3296
240.000000 86.316 156.5557
243.000000 86.256 156.8744
247.000000 86.182 157.2361
250.000000 86.134 157.4269
254.000000 86.068 157.6664
258.000000 86.003 157.9648
262.000000 85.942 158.2386
265.000000 85.899 158.4547
269.000000 85.842 158.7985
272.000000 85.800 159.0370
276.000000 85.747 159.3342
280.000000 85.693 159.6364
285.000000 85.623 159.9888
290.000000 85.556 160.3707
295.000000 85.495 160.7787
300.000000 85.435 161.1860
304.000000 85.389 161.5006
307.000000 85.358 161.7347
311.000000 85.318 162.0453
315.000000 85.274 162.3372
320.000000 85.218 162.7643
325.000000 85.165 163.1823
330.000000 85.116 163.5471
335.000000 85.067 163.9330
340.000000 85.023 164.3375
345.000000 84.979 164.7472
350.000000 84.934 165.1248
355.000000 84.891 165.4964
360.000000 84.851 165.8860
365.000000 84.820 166.2587
370.000000 84.785 166.6224
375.000000 84.747 166.9803
382.000000 84.694 167.5298
387.000000 84.662 167.9385
395.000000 84.609 168.5136
400.000000 84.577 168.8707
406.000000 84.543 169.3172
412.000000 84.511 169.7648
418.000000 84.482 170.2283
425.000000 84.447 170.7476
431.000000 84.412 171.1981
437.000000 84.381 171.6194
444.000000 84.353 172.1184
450.000000 84.327 172.5558
455.000000 84.306 172.9118
462.000000 84.282 173.4100
468.000000 84.260 173.8377
475.000000 84.232 174.3221
482.000000 84.212 174.8281
487.000000 84.199 175.1916
494.000000 84.181 175.6906
500.000000 84.164 176.0863
508.000000 84.140 176.6339
515.000000 84.123 177.1028
522.000000 84.108 177.5490
530.000000 84.094 178.0721
538.000000 84.080 178.6168
545.000000 84.069 179.1010
552.000000 84.060 179.5647
560.000000 84.051 -179.9281
570.000000 84.037 -179.2861
580.000000 84.024 -178.6317
590.000000 84.014 -177.9701
600.000000 84.006 -177.3248
608.000000 84.005 -176.8259
615.000000 84.003 -176.4123
622.000000 84.001 -175.9824
630.000000 84.001 -175.4706
640.000000 84.001 -174.8380
650.000000 84.003 -174.2062
660.000000 84.008 -173.5952
670.000000 84.015 -172.9794
680.000000 84.023 -172.3535
690.000000 84.031 -171.7343
700.000000 84.043 -171.1360
710.000000 84.056 -170.5238
720.000000 84.070 -169.9159
730.000000 84.089 -169.3187
740.000000 84.110 -168.7081
750.000000 84.131 -168.1244
762.000000 84.159 -167.4392
775.000000 84.192 -166.6857
788.000000 84.231 -165.9359
800.000000 84.272 -165.2432
812.000000 84.313 -164.5654
825.000000 84.359 -163.8567
838.000000 84.411 -163.1328
850.000000 84.466 -162.4735
862.000000 84.524 -161.8650
875.000000 84.586 -161.2269
885.000000 84.637 -160.7513
900.000000 84.718 -160.0659
912.000000 84.783 -159.5576
925.000000 84.851 -159.0334
938.000000 84.916 -158.5123
950.000000 84.973 -158.0303
962.000000 85.031 -157.5089
975.000000 85.104 -156.8929
988.000000 85.193 -156.2993
1000.000000 85.284 -155.8352
1015.000000 85.400 -155.3564
1030.000000 85.513 -154.9538
1044.000000 85.615 -154.6254
1060.000000 85.730 -154.2982
1075.000000 85.835 -154.0351
1090.000000 85.938 -153.8140
1106.000000 86.046 -153.6009
1120.000000 86.137 -153.4355
1138.000000 86.250 -153.2669
1150.000000 86.326 -153.1738
1172.000000 86.469 -153.0991
1180.000000 86.518 -153.1308
1206.000000 86.644 -153.2649
1220.000000 86.702 -153.3014
1241.000000 86.783 -153.3261
1250.000000 86.816 -153.3325
1265.000000 86.869 -153.3498
1280.000000 86.919 -153.3692
1315.000000 87.015 -153.3845
1320.000000 87.028 -153.3849
1340.000000 87.074 -153.3712
1360.000000 87.114 -153.3160
1380.000000 87.150 -153.2152
1400.000000 87.181 -153.0710
1430.000000 87.226 -152.7619
1450.000000 87.259 -152.4761
1475.000000 87.304 -152.0372
1500.000000 87.363 -151.5266
1525.000000 87.440 -150.9568
1550.000000 87.540 -150.3819
1575.000000 87.664 -149.8755
1600.000000 87.811 -149.5600
1625.000000 87.956 -149.5279
1650.000000 88.069 -149.7552
1675.000000 88.126 -150.0255
1700.000000 88.140 -150.0676
1725.000000 88.144 -149.7403
1750.000000 88.171 -149.0872
1775.000000 88.242 -148.2505
1800.000000 88.360 -147.3833
1825.000000 88.519 -146.6004
1850.000000 88.710 -145.9795
1875.000000 88.923 -145.5532
1900.000000 89.150 -145.3380
1925.000000 89.382 -145.3406
1950.000000 89.612 -145.5467
1975.000000 89.835 -145.9332
2000.000000 90.047 -146.4828
2030.000000 90.282 -147.3385
2060.000000 90.492 -148.3695
2090.000000 90.673 -149.5293
2120.000000 90.823 -150.7775
2140.000000 90.906 -151.6338
2180.000000 91.032 -153.3352
2200.000000 91.078 -154.1499
2240.000000 91.151 -155.6628
2270.000000 91.200 -156.7163
2300.000000 91.251 -157.7855
2330.000000 91.297 -158.9535
2360.000000 91.322 -160.2308
2400.000000 91.307 -161.9729
2430.000000 91.260 -163.1990
2470.000000 91.164 -164.6345
2500.000000 91.076 -165.5364
2540.000000 90.952 -166.5123
2580.000000 90.833 -167.3024
2620.000000 90.720 -168.0101
2650.000000 90.633 -168.5120
2690.000000 90.509 -169.1150
2720.000000 90.409 -169.4953
2760.000000 90.271 -169.8887
2800.000000 90.132 -170.1527
2850.000000 89.962 -170.3132
2900.000000 89.798 -170.3057
2950.000000 89.645 -170.1525
3000.000000 89.502 -169.8694
3040.000000 89.397 -169.5590
3070.000000 89.324 -169.2808
3110.000000 89.237 -168.8615
3150.000000 89.162 -168.4067
3200.000000 89.082 -167.8167
3250.000000 89.016 -167.2216
3300.000000 88.961 -166.6142
3350.000000 88.915 -165.9939
3400.000000 88.878 -165.3640
3450.000000 88.851 -164.7289
3500.000000 88.834 -164.1055
3550.000000 88.827 -163.5025
3600.000000 88.826 -162.9312
3650.000000 88.831 -162.4010
3700.000000 88.839 -161.9182
3750.000000 88.847 -161.4829
3820.000000 88.852 -160.9571
3870.000000 88.846 -160.6354
3950.000000 88.798 -160.1390
4000.000000 88.736 -159.7340
4060.000000 88.632 -158.9711
4120.000000 88.518 -157.7290
4180.000000 88.436 -155.9303
4250.000000 88.435 -153.2868
4310.000000 88.544 -150.8404
4370.000000 88.753 -148.5129
4440.000000 89.099 -146.2117
4500.000000 89.459 -144.7229
4550.000000 89.786 -143.8489
4620.000000 90.262 -143.1761
4680.000000 90.675 -143.0778
4750.000000 91.149 -143.4790
4820.000000 91.603 -144.4040
4870.000000 91.909 -145.3671
4940.000000 92.302 -147.1157
5000.000000 92.598 -148.9569
5080.000000 92.918 -151.8305
5150.000000 93.116 -154.6411
5220.000000 93.229 -157.6083
5300.000000 93.251 -161.0264
5380.000000 93.164 -164.2994
5450.000000 93.009 -166.9238
5520.000000 92.791 -169.2491
5600.000000 92.480 -171.4873
5700.000000 92.015 -173.6321
5800.000000 91.466 -175.0307
