* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Jan 23, 2025 7:45:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ DQ6S R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 96.478 -158.2810
20.600000 96.473 -158.9637
20.900000 96.467 -159.6851
21.200001 96.462 -160.3969
21.400000 96.460 -160.8685
21.799999 96.456 -161.8103
22.000000 96.455 -162.2798
22.400000 96.448 -163.2084
22.700001 96.441 -163.8885
23.000000 96.431 -164.5510
23.299999 96.419 -165.1965
23.600000 96.406 -165.8275
24.000000 96.388 -166.6499
24.299999 96.375 -167.2525
24.700001 96.358 -168.0340
25.000000 96.347 -168.6020
25.400000 96.335 -169.3364
25.799999 96.323 -170.0493
26.200001 96.308 -170.7440
26.500000 96.295 -171.2524
26.900000 96.272 -171.9117
27.200001 96.253 -172.3935
27.600000 96.226 -173.0268
28.000000 96.199 -173.6618
28.500000 96.167 -174.4676
29.000000 96.135 -175.2719
29.500000 96.106 -176.0452
30.000000 96.081 -176.7737
30.400000 96.063 -177.3290
30.700001 96.049 -177.7321
31.100000 96.027 -178.2501
31.500000 96.002 -178.7419
32.000000 95.968 -179.3259
32.500000 95.935 -179.9060
33.000000 95.902 179.4850
33.500000 95.865 178.8531
34.000000 95.824 178.2385
34.500000 95.785 177.6668
35.000000 95.751 177.1194
35.500000 95.723 176.5590
36.000000 95.693 175.9745
36.500000 95.659 175.3925
37.000000 95.623 174.8496
37.500000 95.588 174.3669
38.200001 95.539 173.7877
38.700001 95.504 173.4121
39.500000 95.443 172.7879
40.000000 95.401 172.3590
40.599998 95.354 171.8256
41.200001 95.316 171.2915
41.799999 95.285 170.7536
42.500000 95.239 170.1530
43.099998 95.186 169.7159
43.700001 95.134 169.3286
44.400002 95.085 168.8302
45.000000 95.046 168.3562
45.500000 95.012 167.9896
46.200001 94.967 167.5591
46.799999 94.931 167.2028
47.500000 94.881 166.7426
48.200001 94.824 166.2803
48.700001 94.789 165.9674
49.400002 94.745 165.5341
50.000000 94.705 165.1682
50.799999 94.646 164.7281
51.500000 94.599 164.3677
52.200001 94.559 163.9731
53.000000 94.512 163.4868
53.799999 94.456 163.0282
54.500000 94.401 162.6655
55.200001 94.346 162.3225
56.000000 94.284 161.9564
57.000000 94.216 161.5350
58.000000 94.156 161.0709
59.000000 94.093 160.5798
60.000000 94.031 160.1693
60.799999 93.981 159.8808
61.500000 93.933 159.6254
62.200001 93.881 159.3581
63.000000 93.823 159.0439
64.000000 93.751 158.6744
65.000000 93.681 158.3490
66.000000 93.612 158.0459
67.000000 93.550 157.7234
68.000000 93.489 157.3717
69.000000 93.427 157.0514
70.000000 93.373 156.7290
71.000000 93.317 156.3929
72.000000 93.256 156.1235
73.000000 93.191 155.8964
74.000000 93.125 155.6418
75.000000 93.060 155.3436
76.199997 92.986 155.0013
77.500000 92.913 154.7012
78.800003 92.837 154.4394
80.000000 92.765 154.1933
81.199997 92.696 153.9548
82.500000 92.622 153.7193
83.800003 92.548 153.5093
85.000000 92.484 153.2821
86.199997 92.416 153.0337
87.500000 92.339 152.7725
88.500000 92.281 152.5838
90.000000 92.199 152.3553
91.199997 92.132 152.1891
92.500000 92.060 152.0270
93.800003 91.992 151.8547
95.000000 91.927 151.6947
96.199997 91.863 151.5529
97.500000 91.798 151.4242
98.800003 91.733 151.2814
100.000000 91.672 151.1414
101.500000 91.597 151.0009
103.000000 91.523 150.8688
104.400002 91.453 150.7216
106.000000 91.370 150.5636
107.500000 91.295 150.4355
109.000000 91.223 150.3286
110.599998 91.147 150.2192
112.000000 91.081 150.1199
113.800003 90.997 150.0029
115.000000 90.941 149.9419
117.199997 90.841 149.8610
118.000000 90.807 149.8596
120.599998 90.693 149.8330
122.000000 90.625 149.7255
124.099998 90.527 149.6099
125.000000 90.486 149.5663
126.500000 90.420 149.5254
128.000000 90.357 149.5466
131.500000 90.210 149.6317
132.000000 90.192 149.6387
134.000000 90.125 149.6783
136.000000 90.068 149.7089
138.000000 90.008 149.7115
140.000000 89.936 149.6955
143.000000 89.815 149.5917
145.000000 89.743 149.5350
147.500000 89.652 149.5227
150.000000 89.558 149.5306
152.500000 89.467 149.5471
155.000000 89.383 149.5705
157.500000 89.306 149.6324
160.000000 89.228 149.6966
162.500000 89.139 149.7878
165.000000 89.054 149.8641
167.500000 88.973 149.9023
170.000000 88.893 149.9964
172.500000 88.815 150.1193
175.000000 88.740 150.2334
177.500000 88.666 150.3702
180.000000 88.592 150.5087
182.500000 88.517 150.6000
185.000000 88.448 150.7053
187.500000 88.382 150.8334
190.000000 88.311 150.9700
192.500000 88.244 151.1284
195.000000 88.183 151.2986
197.500000 88.122 151.4786
200.000000 88.054 151.6503
203.000000 87.977 151.8429
206.000000 87.904 152.0302
209.000000 87.837 152.2309
212.000000 87.778 152.3722
214.000000 87.740 152.4500
218.000000 87.661 152.7070
220.000000 87.621 152.8428
224.000000 87.528 153.0882
227.000000 87.456 153.3127
230.000000 87.392 153.5194
233.000000 87.333 153.7276
236.000000 87.272 154.0126
240.000000 87.190 154.4539
243.000000 87.138 154.6126
247.000000 87.069 154.8135
250.000000 87.018 155.0032
254.000000 86.953 155.2748
258.000000 86.884 155.5419
262.000000 86.816 155.8058
265.000000 86.768 156.0208
269.000000 86.707 156.3278
272.000000 86.663 156.5529
276.000000 86.604 156.8626
280.000000 86.543 157.1679
285.000000 86.465 157.5279
290.000000 86.390 157.9100
295.000000 86.323 158.2958
300.000000 86.259 158.7211
304.000000 86.204 159.0638
307.000000 86.166 159.2943
311.000000 86.118 159.5942
315.000000 86.070 159.9005
320.000000 86.015 160.2614
325.000000 85.964 160.6406
330.000000 85.906 161.0306
335.000000 85.851 161.4154
340.000000 85.799 161.8391
345.000000 85.743 162.2404
350.000000 85.695 162.6234
355.000000 85.653 163.0159
360.000000 85.611 163.4111
365.000000 85.568 163.8105
370.000000 85.527 164.1896
375.000000 85.487 164.5450
382.000000 85.431 165.0882
387.000000 85.391 165.4723
395.000000 85.331 166.0833
400.000000 85.300 166.4833
406.000000 85.258 166.9377
412.000000 85.217 167.3756
418.000000 85.181 167.8039
425.000000 85.144 168.3380
431.000000 85.112 168.8163
437.000000 85.083 169.2996
444.000000 85.045 169.7996
450.000000 85.012 170.2404
455.000000 84.988 170.6204
462.000000 84.957 171.1383
468.000000 84.932 171.5621
475.000000 84.905 172.0542
482.000000 84.881 172.5847
487.000000 84.864 172.9467
494.000000 84.839 173.4328
500.000000 84.819 173.8438
508.000000 84.797 174.4048
515.000000 84.779 174.8906
522.000000 84.760 175.3632
530.000000 84.741 175.8990
538.000000 84.723 176.4471
545.000000 84.708 176.9198
552.000000 84.696 177.3777
560.000000 84.683 177.9060
570.000000 84.668 178.5502
580.000000 84.655 179.2129
590.000000 84.644 179.9009
600.000000 84.633 -179.4783
608.000000 84.625 -179.0013
615.000000 84.617 -178.5557
622.000000 84.610 -178.1056
630.000000 84.609 -177.6060
640.000000 84.606 -176.9757
650.000000 84.605 -176.3489
660.000000 84.604 -175.7275
670.000000 84.607 -175.1124
680.000000 84.614 -174.4997
690.000000 84.621 -173.8974
700.000000 84.628 -173.2891
710.000000 84.639 -172.6797
720.000000 84.653 -172.0963
730.000000 84.668 -171.5179
740.000000 84.683 -170.9392
750.000000 84.699 -170.3590
762.000000 84.720 -169.6960
775.000000 84.745 -168.9925
788.000000 84.769 -168.3040
800.000000 84.784 -167.6629
812.000000 84.795 -166.9501
825.000000 84.823 -166.0220
838.000000 84.881 -165.1107
850.000000 84.945 -164.4225
862.000000 85.007 -163.8209
875.000000 85.070 -163.1957
885.000000 85.117 -162.7319
900.000000 85.189 -162.0397
912.000000 85.249 -161.4948
925.000000 85.315 -160.9294
938.000000 85.381 -160.3766
950.000000 85.447 -159.8707
962.000000 85.516 -159.3797
975.000000 85.591 -158.8885
988.000000 85.667 -158.4283
1000.000000 85.743 -158.0194
1015.000000 85.844 -157.5944
1030.000000 85.935 -157.2966
1044.000000 86.010 -157.0223
1060.000000 86.091 -156.6741
1075.000000 86.169 -156.3652
1090.000000 86.246 -156.0757
1106.000000 86.324 -155.7841
1120.000000 86.389 -155.5574
1138.000000 86.468 -155.2911
1150.000000 86.519 -155.1159
1172.000000 86.608 -154.7984
1180.000000 86.638 -154.6811
1206.000000 86.732 -154.2899
1220.000000 86.784 -154.0915
1241.000000 86.853 -153.8234
1250.000000 86.877 -153.6983
1265.000000 86.911 -153.4499
1280.000000 86.946 -153.1489
1315.000000 87.035 -152.3141
1320.000000 87.049 -152.1824
1340.000000 87.107 -151.6274
1360.000000 87.173 -151.0303
1380.000000 87.248 -150.3881
1400.000000 87.335 -149.7225
1430.000000 87.486 -148.7211
1450.000000 87.603 -148.0799
1475.000000 87.767 -147.3317
1500.000000 87.945 -146.6765
1525.000000 88.135 -146.1237
1550.000000 88.330 -145.6660
1575.000000 88.531 -145.2877
1600.000000 88.739 -144.9867
1625.000000 88.953 -144.7701
1650.000000 89.173 -144.6565
1675.000000 89.399 -144.6526
1700.000000 89.629 -144.7706
1725.000000 89.860 -145.0197
1750.000000 90.088 -145.4058
1775.000000 90.311 -145.9228
1800.000000 90.526 -146.5707
1825.000000 90.732 -147.3463
1850.000000 90.927 -148.2355
1875.000000 91.107 -149.2301
1900.000000 91.271 -150.3248
1925.000000 91.416 -151.5042
1950.000000 91.542 -152.7437
1975.000000 91.648 -154.0314
2000.000000 91.735 -155.3505
2030.000000 91.811 -156.9545
2060.000000 91.856 -158.5565
2090.000000 91.873 -160.1256
2120.000000 91.861 -161.6307
2140.000000 91.839 -162.5817
2180.000000 91.763 -164.3076
2200.000000 91.714 -165.0618
2240.000000 91.607 -166.3225
2270.000000 91.537 -167.0839
2300.000000 91.483 -167.7896
2330.000000 91.439 -168.5546
2360.000000 91.387 -169.4180
2400.000000 91.288 -170.6161
2430.000000 91.186 -171.4447
2470.000000 91.027 -172.3473
2500.000000 90.901 -172.8400
2540.000000 90.742 -173.2950
2580.000000 90.599 -173.6293
2620.000000 90.468 -173.9279
2650.000000 90.371 -174.1524
2690.000000 90.236 -174.4312
2720.000000 90.130 -174.5958
2760.000000 89.986 -174.7285
2800.000000 89.841 -174.7675
2850.000000 89.662 -174.6928
2900.000000 89.489 -174.4890
2950.000000 89.322 -174.1716
3000.000000 89.162 -173.7505
3040.000000 89.038 -173.3455
3070.000000 88.948 -173.0017
3110.000000 88.835 -172.4887
3150.000000 88.730 -171.9173
3200.000000 88.609 -171.1437
3250.000000 88.498 -170.3166
3300.000000 88.398 -169.4318
3350.000000 88.307 -168.4921
3400.000000 88.227 -167.5000
3450.000000 88.159 -166.4598
3500.000000 88.103 -165.3796
3550.000000 88.061 -164.2673
3600.000000 88.032 -163.1276
3650.000000 88.016 -161.9757
3700.000000 88.014 -160.8245
3750.000000 88.023 -159.6808
3820.000000 88.056 -158.1122
3870.000000 88.089 -157.0357
3950.000000 88.145 -155.3642
4000.000000 88.176 -154.2908
4060.000000 88.212 -152.8773
4120.000000 88.262 -151.2283
4180.000000 88.355 -149.3497
4250.000000 88.541 -147.0629
4310.000000 88.771 -145.2251
4370.000000 89.050 -143.6441
4440.000000 89.418 -142.1932
4500.000000 89.752 -141.2655
4550.000000 90.041 -140.6922
4620.000000 90.456 -140.1898
4680.000000 90.820 -140.0419
4750.000000 91.251 -140.2138
4820.000000 91.680 -140.7827
4870.000000 91.982 -141.4357
4940.000000 92.389 -142.7061
5000.000000 92.715 -144.1415
5080.000000 93.102 -146.5402
5150.000000 93.380 -149.0300
5220.000000 93.586 -151.8112
5300.000000 93.720 -155.2367
5380.000000 93.739 -158.7461
5450.000000 93.659 -161.7571
5520.000000 93.488 -164.6169
5600.000000 93.180 -167.5720
5700.000000 92.594 -170.4832
5800.000000 91.748 -171.1203
5900.000000 91.060 -167.0579
