* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -30.0 dBFS with no timing reference
* Dated: Jan 13, 2025 8:31:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ Ling Long L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 100.665 161.7773
20.600000 100.612 161.2287
20.900000 100.549 160.6421
21.200001 100.484 160.0587
21.400000 100.441 159.6719
21.799999 100.357 158.9049
22.000000 100.315 158.5274
22.400000 100.233 157.7924
22.700001 100.171 157.2633
23.000000 100.110 156.7535
23.299999 100.048 156.2601
23.600000 99.986 155.7790
24.000000 99.903 155.1516
24.299999 99.839 154.6907
24.700001 99.755 154.0910
25.000000 99.692 153.6540
25.400000 99.610 153.0886
25.799999 99.531 152.5403
26.200001 99.453 152.0064
26.500000 99.395 151.6153
26.900000 99.317 151.1079
27.200001 99.258 150.7390
27.600000 99.179 150.2626
28.000000 99.099 149.8018
28.500000 99.000 149.2451
29.000000 98.901 148.7103
29.500000 98.805 148.1986
30.000000 98.711 147.7068
30.400000 98.637 147.3232
30.700001 98.581 147.0399
31.100000 98.507 146.6689
31.500000 98.433 146.3085
32.000000 98.340 145.8761
32.500000 98.249 145.4631
33.000000 98.158 145.0659
33.500000 98.068 144.6829
34.000000 97.980 144.3133
34.500000 97.892 143.9539
35.000000 97.806 143.6001
35.500000 97.721 143.2513
36.000000 97.635 142.9140
36.500000 97.548 142.5955
37.000000 97.463 142.2962
37.500000 97.379 142.0100
38.200001 97.263 141.6223
38.700001 97.180 141.3557
39.500000 97.048 140.9518
40.000000 96.968 140.7101
40.599998 96.874 140.4259
41.200001 96.782 140.1497
41.799999 96.691 139.8848
42.500000 96.586 139.5890
43.099998 96.497 139.3435
43.700001 96.407 139.1073
44.400002 96.303 138.8530
45.000000 96.216 138.6558
45.500000 96.144 138.5002
46.200001 96.046 138.2842
46.799999 95.961 138.1014
47.500000 95.861 137.9030
48.200001 95.763 137.7231
48.700001 95.696 137.5985
49.400002 95.603 137.4231
50.000000 95.524 137.2740
50.799999 95.420 137.0843
51.500000 95.331 136.9295
52.200001 95.242 136.7867
53.000000 95.140 136.6398
53.799999 95.039 136.5049
54.500000 94.953 136.3874
55.200001 94.870 136.2716
56.000000 94.776 136.1559
57.000000 94.660 136.0335
58.000000 94.546 135.9052
59.000000 94.436 135.7644
60.000000 94.326 135.6420
60.799999 94.235 135.5935
61.500000 94.156 135.5743
62.200001 94.082 135.5390
63.000000 93.998 135.4680
64.000000 93.893 135.3792
65.000000 93.790 135.3069
66.000000 93.688 135.2550
67.000000 93.590 135.2485
68.000000 93.494 135.2671
69.000000 93.397 135.2554
70.000000 93.300 135.1891
71.000000 93.207 135.1298
72.000000 93.119 135.1135
73.000000 93.030 135.1188
74.000000 92.940 135.1312
75.000000 92.851 135.1378
76.199997 92.746 135.1575
77.500000 92.638 135.2016
78.800003 92.531 135.2465
80.000000 92.433 135.2903
81.199997 92.339 135.3346
82.500000 92.238 135.3881
83.800003 92.140 135.4482
85.000000 92.050 135.5126
86.199997 91.959 135.5804
87.500000 91.860 135.6489
88.500000 91.786 135.7151
90.000000 91.678 135.8182
91.199997 91.591 135.8885
92.500000 91.498 135.9690
93.800003 91.412 136.0862
95.000000 91.340 136.1892
96.199997 91.265 136.2763
97.500000 91.181 136.3830
98.800003 91.099 136.4940
100.000000 91.024 136.5986
101.500000 90.932 136.7492
103.000000 90.842 136.8940
104.400002 90.759 137.0236
106.000000 90.668 137.1703
107.500000 90.586 137.3097
109.000000 90.504 137.4579
110.599998 90.417 137.6297
112.000000 90.342 137.7731
113.800003 90.245 137.9529
115.000000 90.183 138.0904
117.199997 90.074 138.3077
118.000000 90.037 138.3762
120.599998 89.919 138.6405
122.000000 89.847 138.8183
124.099998 89.744 139.0794
125.000000 89.704 139.1918
126.500000 89.636 139.3701
128.000000 89.569 139.5337
131.500000 89.416 139.9251
132.000000 89.394 139.9818
134.000000 89.310 140.2119
136.000000 89.228 140.4449
138.000000 89.148 140.6823
140.000000 89.070 140.9205
143.000000 88.957 141.2759
145.000000 88.879 141.5097
147.500000 88.786 141.8165
150.000000 88.697 142.1257
152.500000 88.613 142.4235
155.000000 88.529 142.7339
157.500000 88.446 143.0482
160.000000 88.365 143.3425
162.500000 88.286 143.6275
165.000000 88.206 143.9278
167.500000 88.132 144.2392
170.000000 88.060 144.5462
172.500000 87.987 144.8525
175.000000 87.915 145.1531
177.500000 87.841 145.4572
180.000000 87.767 145.7618
182.500000 87.704 146.0682
185.000000 87.643 146.3542
187.500000 87.577 146.6291
190.000000 87.515 146.9535
192.500000 87.456 147.2860
195.000000 87.394 147.5957
197.500000 87.329 147.9022
200.000000 87.270 148.2082
203.000000 87.212 148.6444
206.000000 87.155 149.0544
209.000000 87.094 149.4361
212.000000 87.040 149.7709
214.000000 87.008 149.9750
218.000000 86.932 150.3575
220.000000 86.889 150.5428
224.000000 86.804 150.9567
227.000000 86.748 151.3023
230.000000 86.700 151.6414
233.000000 86.653 151.9792
236.000000 86.596 152.3298
240.000000 86.509 152.7958
243.000000 86.461 153.1221
247.000000 86.411 153.5140
250.000000 86.359 153.8435
254.000000 86.282 154.2861
258.000000 86.207 154.8558
262.000000 86.137 155.4311
265.000000 86.101 155.9050
269.000000 86.072 156.5750
272.000000 86.069 156.9710
276.000000 86.071 157.4016
280.000000 86.054 157.6526
285.000000 86.001 157.9160
290.000000 85.932 158.2446
295.000000 85.864 158.6604
300.000000 85.796 159.1260
304.000000 85.747 159.5427
307.000000 85.716 159.8743
311.000000 85.681 160.3025
315.000000 85.650 160.6796
320.000000 85.610 161.1142
325.000000 85.568 161.5215
330.000000 85.521 161.9391
335.000000 85.476 162.3768
340.000000 85.431 162.8351
345.000000 85.387 163.2980
350.000000 85.344 163.7517
355.000000 85.300 164.2420
360.000000 85.260 164.7257
365.000000 85.227 165.1204
370.000000 85.194 165.5331
375.000000 85.162 165.9843
382.000000 85.115 166.6301
387.000000 85.083 167.0405
395.000000 85.034 167.7105
400.000000 85.004 168.1548
406.000000 84.970 168.6761
412.000000 84.936 169.1812
418.000000 84.906 169.6847
425.000000 84.869 170.2477
431.000000 84.838 170.7417
437.000000 84.810 171.2303
444.000000 84.779 171.7874
450.000000 84.752 172.2645
455.000000 84.732 172.6591
462.000000 84.706 173.2344
468.000000 84.680 173.7524
475.000000 84.649 174.3288
482.000000 84.623 174.9022
487.000000 84.605 175.2919
494.000000 84.579 175.8406
500.000000 84.560 176.3168
508.000000 84.539 176.9526
515.000000 84.519 177.5111
522.000000 84.499 178.0640
530.000000 84.478 178.6905
538.000000 84.458 179.3012
545.000000 84.443 179.8561
552.000000 84.429 -179.5877
560.000000 84.415 -178.9583
570.000000 84.398 -178.1644
580.000000 84.382 -177.3879
590.000000 84.369 -176.6194
600.000000 84.358 -175.8394
608.000000 84.352 -175.2212
615.000000 84.347 -174.6851
622.000000 84.342 -174.1501
630.000000 84.336 -173.5423
640.000000 84.331 -172.7649
650.000000 84.331 -171.9790
660.000000 84.331 -171.2111
670.000000 84.333 -170.4485
680.000000 84.335 -169.6915
690.000000 84.339 -168.9308
700.000000 84.343 -168.1557
710.000000 84.347 -167.3719
720.000000 84.349 -166.5781
730.000000 84.343 -165.7643
740.000000 84.332 -164.8743
750.000000 84.319 -163.7978
762.000000 84.354 -162.0919
775.000000 84.532 -160.3972
788.000000 84.718 -159.8352
800.000000 84.797 -159.5251
812.000000 84.841 -158.9605
825.000000 84.893 -158.1637
838.000000 84.958 -157.3114
850.000000 85.031 -156.5087
862.000000 85.115 -155.7228
875.000000 85.219 -154.9221
885.000000 85.309 -154.3708
900.000000 85.459 -153.7231
912.000000 85.586 -153.4426
925.000000 85.705 -153.5482
938.000000 85.739 -154.0701
950.000000 85.641 -154.3959
962.000000 85.473 -153.7287
975.000000 85.373 -151.8537
988.000000 85.431 -149.7990
1000.000000 85.567 -148.3094
1015.000000 85.767 -146.9800
1030.000000 85.965 -146.0298
1044.000000 86.140 -145.3406
1060.000000 86.330 -144.6852
1075.000000 86.499 -144.1675
1090.000000 86.662 -143.7251
1106.000000 86.828 -143.3295
1120.000000 86.969 -143.0282
1138.000000 87.143 -142.6892
1150.000000 87.256 -142.4997
1172.000000 87.454 -142.2120
1180.000000 87.523 -142.1231
1206.000000 87.738 -141.8672
1220.000000 87.848 -141.7536
1241.000000 88.006 -141.6070
1250.000000 88.072 -141.5477
1265.000000 88.178 -141.4558
1280.000000 88.281 -141.3766
1315.000000 88.508 -141.2041
1320.000000 88.539 -141.1788
1340.000000 88.662 -141.0778
1360.000000 88.783 -140.9808
1380.000000 88.900 -140.8799
1400.000000 89.014 -140.7689
1430.000000 89.182 -140.5942
1450.000000 89.294 -140.4797
1475.000000 89.432 -140.3402
1500.000000 89.570 -140.1965
1525.000000 89.708 -140.0487
1550.000000 89.848 -139.9032
1575.000000 89.988 -139.7598
1600.000000 90.128 -139.6235
1625.000000 90.271 -139.4971
1650.000000 90.416 -139.3811
1675.000000 90.563 -139.2775
1700.000000 90.711 -139.1911
1725.000000 90.861 -139.1279
1750.000000 91.013 -139.0852
1775.000000 91.167 -139.0637
1800.000000 91.323 -139.0658
1825.000000 91.482 -139.0944
1850.000000 91.642 -139.1552
1875.000000 91.804 -139.2421
1900.000000 91.967 -139.3598
1925.000000 92.131 -139.5170
1950.000000 92.296 -139.7100
1975.000000 92.462 -139.9360
2000.000000 92.629 -140.2050
2030.000000 92.829 -140.5858
2060.000000 93.030 -141.0283
2090.000000 93.231 -141.5311
2120.000000 93.430 -142.1005
2140.000000 93.562 -142.5231
2180.000000 93.822 -143.4711
2200.000000 93.949 -143.9924
2240.000000 94.197 -145.1297
2270.000000 94.376 -146.0765
2300.000000 94.548 -147.1003
2330.000000 94.711 -148.1885
2360.000000 94.864 -149.3409
2400.000000 95.050 -150.9778
2430.000000 95.176 -152.2695
2470.000000 95.324 -154.0551
2500.000000 95.418 -155.4329
2540.000000 95.522 -157.3147
2580.000000 95.597 -159.2280
2620.000000 95.646 -161.1416
2650.000000 95.665 -162.5593
2690.000000 95.667 -164.4086
2720.000000 95.652 -165.7543
2760.000000 95.611 -167.4739
2800.000000 95.549 -169.0838
2850.000000 95.447 -170.9041
2900.000000 95.326 -172.4653
2950.000000 95.207 -173.7515
3000.000000 95.107 -174.8575
3040.000000 95.043 -175.7264
3070.000000 95.000 -176.4142
3110.000000 94.938 -177.3859
3150.000000 94.865 -178.3787
3200.000000 94.754 -179.5800
3250.000000 94.627 179.3011
3300.000000 94.486 178.2933
3350.000000 94.337 177.4136
3400.000000 94.183 176.6669
3450.000000 94.028 176.0511
3500.000000 93.877 175.5568
3550.000000 93.731 175.1652
3600.000000 93.591 174.8631
3650.000000 93.460 174.6475
3700.000000 93.340 174.5049
3750.000000 93.233 174.3947
3820.000000 93.094 174.2004
3870.000000 92.993 174.1176
3950.000000 92.860 174.0784
4000.000000 92.786 174.0126
4060.000000 92.700 173.9235
4120.000000 92.618 173.8347
4180.000000 92.540 173.7391
4250.000000 92.451 173.6116
4310.000000 92.375 173.4823
4370.000000 92.296 173.3378
4440.000000 92.197 173.1800
4500.000000 92.105 173.0950
4550.000000 92.026 173.0825
4620.000000 91.919 173.1653
4680.000000 91.838 173.3108
4750.000000 91.760 173.5154
4820.000000 91.697 173.6980
4870.000000 91.659 173.7970
4940.000000 91.610 173.8906
5000.000000 91.569 173.9314
5080.000000 91.512 173.9390
5150.000000 91.459 173.9364
5220.000000 91.407 173.9319
5300.000000 91.343 173.9105
5380.000000 91.274 173.8862
5450.000000 91.210 173.8840
5520.000000 91.141 173.9149
5600.000000 91.058 174.0087
5700.000000 90.951 174.2381
5800.000000 90.851 174.6239
5900.000000 90.769 175.1626
6000.000000 90.713 175.7833
6080.000000 90.688 176.2950
6150.000000 90.678 176.7421
6220.000000 90.678 177.1828
