* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -30.0 dBFS with no timing reference
* Dated: Jan 13, 2025 8:33:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ Ling Long R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 99.169 177.3280
20.600000 99.142 176.7203
20.900000 99.108 176.0689
21.200001 99.074 175.4183
21.400000 99.052 174.9851
21.799999 99.008 174.1216
22.000000 98.987 173.6943
22.400000 98.943 172.8598
22.700001 98.910 172.2583
23.000000 98.877 171.6795
23.299999 98.842 171.1207
23.600000 98.808 170.5764
24.000000 98.760 169.8639
24.299999 98.724 169.3351
24.700001 98.674 168.6365
25.000000 98.636 168.1197
25.400000 98.585 167.4443
25.799999 98.534 166.7876
26.200001 98.482 166.1508
26.500000 98.443 165.6864
26.900000 98.390 165.0839
27.200001 98.350 164.6438
27.600000 98.295 164.0706
28.000000 98.240 163.5100
28.500000 98.172 162.8230
29.000000 98.106 162.1506
29.500000 98.039 161.4963
30.000000 97.973 160.8643
30.400000 97.918 160.3757
30.700001 97.877 160.0185
31.100000 97.822 159.5530
31.500000 97.767 159.0981
32.000000 97.698 158.5413
32.500000 97.630 157.9958
33.000000 97.562 157.4625
33.500000 97.495 156.9462
34.000000 97.426 156.4516
34.500000 97.358 155.9774
35.000000 97.291 155.5154
35.500000 97.224 155.0574
36.000000 97.157 154.6026
36.500000 97.089 154.1595
37.000000 97.021 153.7373
37.500000 96.954 153.3381
38.200001 96.862 152.8065
38.700001 96.797 152.4366
39.500000 96.690 151.8586
40.000000 96.623 151.5086
40.599998 96.545 151.0993
41.200001 96.469 150.6986
41.799999 96.394 150.3089
42.500000 96.305 149.8802
43.099998 96.228 149.5373
43.700001 96.152 149.2050
44.400002 96.064 148.8166
45.000000 95.989 148.4877
45.500000 95.928 148.2240
46.200001 95.843 147.8715
46.799999 95.771 147.5792
47.500000 95.687 147.2492
48.200001 95.603 146.9322
48.700001 95.544 146.7096
49.400002 95.462 146.4012
50.000000 95.391 146.1466
50.799999 95.298 145.8289
51.500000 95.218 145.5656
52.200001 95.139 145.3092
53.000000 95.050 145.0249
53.799999 94.960 144.7670
54.500000 94.884 144.5715
55.200001 94.810 144.3791
56.000000 94.723 144.1356
57.000000 94.612 143.8321
58.000000 94.507 143.5770
59.000000 94.407 143.4032
60.000000 94.311 143.2424
60.799999 94.231 143.0346
61.500000 94.155 142.8270
62.200001 94.082 142.6404
63.000000 94.003 142.4569
64.000000 93.908 142.2639
65.000000 93.812 142.0951
66.000000 93.717 141.9287
67.000000 93.624 141.7841
68.000000 93.532 141.6538
69.000000 93.441 141.5204
70.000000 93.353 141.3835
71.000000 93.264 141.2724
72.000000 93.177 141.1925
73.000000 93.092 141.1014
74.000000 93.008 140.9911
75.000000 92.924 140.8895
76.199997 92.826 140.7854
77.500000 92.721 140.6879
78.800003 92.617 140.6174
80.000000 92.524 140.5599
81.199997 92.432 140.4984
82.500000 92.333 140.4465
83.800003 92.236 140.4111
85.000000 92.148 140.4017
86.199997 92.061 140.3925
87.500000 91.968 140.3596
88.500000 91.898 140.3327
90.000000 91.797 140.2989
91.199997 91.717 140.2845
92.500000 91.632 140.2960
93.800003 91.545 140.3138
95.000000 91.465 140.3277
96.199997 91.388 140.3442
97.500000 91.305 140.3729
98.800003 91.224 140.4094
100.000000 91.151 140.4470
101.500000 91.063 140.5056
103.000000 90.975 140.5640
104.400002 90.892 140.6091
106.000000 90.801 140.6798
107.500000 90.716 140.7535
109.000000 90.632 140.8123
110.599998 90.547 140.8802
112.000000 90.472 140.9508
113.800003 90.376 141.0652
115.000000 90.313 141.1337
117.199997 90.200 141.2678
118.000000 90.157 141.3193
120.599998 90.022 141.4925
122.000000 89.962 141.5935
124.099998 89.870 141.7427
125.000000 89.829 141.8076
126.500000 89.761 141.9238
128.000000 89.694 142.0341
131.500000 89.541 142.3064
132.000000 89.519 142.3515
134.000000 89.435 142.5293
136.000000 89.352 142.6984
138.000000 89.272 142.8512
140.000000 89.193 143.0063
143.000000 89.075 143.2531
145.000000 88.999 143.4228
147.500000 88.908 143.6443
150.000000 88.815 143.8780
152.500000 88.724 144.1126
155.000000 88.638 144.3430
157.500000 88.555 144.5815
160.000000 88.475 144.8254
162.500000 88.394 145.0743
165.000000 88.314 145.3109
167.500000 88.233 145.5572
170.000000 88.155 145.8095
172.500000 88.081 146.0496
175.000000 88.008 146.2886
177.500000 87.933 146.5557
180.000000 87.860 146.8183
182.500000 87.792 147.0312
185.000000 87.723 147.2298
187.500000 87.657 147.4739
190.000000 87.598 147.7682
192.500000 87.538 148.0597
195.000000 87.476 148.3370
197.500000 87.417 148.6397
200.000000 87.361 148.9313
203.000000 87.294 149.2328
206.000000 87.226 149.5513
209.000000 87.167 149.8651
212.000000 87.115 150.1962
214.000000 87.079 150.3848
218.000000 86.999 150.6806
220.000000 86.956 150.8428
224.000000 86.874 151.2268
227.000000 86.815 151.5372
230.000000 86.756 151.8336
233.000000 86.699 152.1093
236.000000 86.645 152.3966
240.000000 86.576 152.8187
243.000000 86.518 153.0941
247.000000 86.437 153.4465
250.000000 86.383 153.7801
254.000000 86.317 154.2336
258.000000 86.250 154.6681
262.000000 86.185 155.1313
265.000000 86.140 155.4874
269.000000 86.089 156.0078
272.000000 86.061 156.3942
276.000000 86.040 156.8595
280.000000 86.025 157.2001
285.000000 85.987 157.4777
290.000000 85.931 157.7510
295.000000 85.868 158.0840
300.000000 85.806 158.4792
304.000000 85.748 158.8218
307.000000 85.708 159.0883
311.000000 85.662 159.4444
315.000000 85.619 159.7815
320.000000 85.568 160.1908
325.000000 85.516 160.6046
330.000000 85.468 161.0018
335.000000 85.421 161.4028
340.000000 85.372 161.8352
345.000000 85.324 162.2531
350.000000 85.280 162.6525
355.000000 85.240 163.0876
360.000000 85.204 163.5267
365.000000 85.157 163.9188
370.000000 85.111 164.3236
375.000000 85.069 164.7451
382.000000 85.018 165.3135
387.000000 84.985 165.7195
395.000000 84.928 166.3546
400.000000 84.895 166.7476
406.000000 84.854 167.2406
412.000000 84.819 167.7401
418.000000 84.784 168.2393
425.000000 84.742 168.7777
431.000000 84.709 169.2176
437.000000 84.676 169.6734
444.000000 84.639 170.2069
450.000000 84.608 170.6460
455.000000 84.581 171.0124
462.000000 84.545 171.5402
468.000000 84.516 172.0024
475.000000 84.485 172.5452
482.000000 84.455 173.0862
487.000000 84.433 173.4748
494.000000 84.401 173.9985
500.000000 84.376 174.4447
508.000000 84.346 175.0582
515.000000 84.321 175.5885
522.000000 84.298 176.1073
530.000000 84.271 176.7068
538.000000 84.244 177.3289
545.000000 84.224 177.8489
552.000000 84.207 178.3605
560.000000 84.186 178.9553
570.000000 84.162 179.7036
580.000000 84.138 -179.5581
590.000000 84.115 -178.8117
600.000000 84.095 -178.0444
608.000000 84.083 -177.4588
615.000000 84.073 -176.9435
622.000000 84.063 -176.4200
630.000000 84.054 -175.8190
640.000000 84.044 -175.0657
650.000000 84.035 -174.3202
660.000000 84.027 -173.5885
670.000000 84.025 -172.8432
680.000000 84.025 -172.0887
690.000000 84.027 -171.3446
700.000000 84.030 -170.6017
710.000000 84.033 -169.8536
720.000000 84.037 -169.1045
730.000000 84.045 -168.3604
740.000000 84.055 -167.6139
750.000000 84.066 -166.8574
762.000000 84.081 -165.9517
775.000000 84.103 -164.9449
788.000000 84.132 -163.9247
800.000000 84.164 -162.9782
812.000000 84.202 -162.0456
825.000000 84.248 -161.0508
838.000000 84.301 -160.0752
850.000000 84.357 -159.1618
862.000000 84.416 -158.2556
875.000000 84.485 -157.3125
885.000000 84.542 -156.5933
900.000000 84.630 -155.5059
912.000000 84.705 -154.6188
925.000000 84.798 -153.6160
938.000000 84.919 -152.6345
950.000000 85.048 -151.9089
962.000000 85.168 -151.3715
975.000000 85.283 -150.8517
988.000000 85.389 -150.3110
1000.000000 85.486 -149.8021
1015.000000 85.610 -149.1536
1030.000000 85.740 -148.5208
1044.000000 85.867 -147.9885
1060.000000 86.014 -147.4514
1075.000000 86.151 -147.0169
1090.000000 86.287 -146.6372
1106.000000 86.429 -146.2737
1120.000000 86.550 -145.9992
1138.000000 86.702 -145.7010
1150.000000 86.800 -145.5250
1172.000000 86.974 -145.2516
1180.000000 87.034 -145.1671
1206.000000 87.224 -144.9486
1220.000000 87.323 -144.8463
1241.000000 87.464 -144.7042
1250.000000 87.522 -144.6490
1265.000000 87.617 -144.5663
1280.000000 87.707 -144.4924
1315.000000 87.908 -144.3184
1320.000000 87.936 -144.2940
1340.000000 88.046 -144.2031
1360.000000 88.152 -144.1111
1380.000000 88.255 -144.0095
1400.000000 88.358 -143.9062
1430.000000 88.509 -143.7507
1450.000000 88.607 -143.6378
1475.000000 88.729 -143.4861
1500.000000 88.851 -143.3329
1525.000000 88.974 -143.1815
1550.000000 89.097 -143.0284
1575.000000 89.222 -142.8848
1600.000000 89.349 -142.7493
1625.000000 89.477 -142.6201
1650.000000 89.606 -142.4979
1675.000000 89.737 -142.3904
1700.000000 89.870 -142.2980
1725.000000 90.005 -142.2265
1750.000000 90.142 -142.1735
1775.000000 90.280 -142.1398
1800.000000 90.421 -142.1309
1825.000000 90.562 -142.1533
1850.000000 90.705 -142.2021
1875.000000 90.849 -142.2729
1900.000000 90.994 -142.3746
1925.000000 91.140 -142.5124
1950.000000 91.286 -142.6858
1975.000000 91.434 -142.8916
2000.000000 91.581 -143.1362
2030.000000 91.757 -143.4843
2060.000000 91.931 -143.8811
2090.000000 92.104 -144.3247
2120.000000 92.276 -144.8244
2140.000000 92.389 -145.1943
2180.000000 92.611 -146.0117
2200.000000 92.720 -146.4596
2240.000000 92.931 -147.4381
2270.000000 93.083 -148.2420
2300.000000 93.228 -149.1005
2330.000000 93.366 -150.0142
2360.000000 93.495 -150.9810
2400.000000 93.655 -152.3367
2430.000000 93.764 -153.4015
2470.000000 93.893 -154.8898
2500.000000 93.976 -156.0458
2540.000000 94.068 -157.6187
2580.000000 94.138 -159.2170
2620.000000 94.184 -160.8153
2650.000000 94.205 -162.0030
2690.000000 94.213 -163.5581
2720.000000 94.206 -164.6931
2760.000000 94.180 -166.1526
2800.000000 94.135 -167.5315
2850.000000 94.054 -169.0933
2900.000000 93.959 -170.4233
2950.000000 93.871 -171.5396
3000.000000 93.799 -172.5679
3040.000000 93.748 -173.4078
3070.000000 93.710 -174.0606
3110.000000 93.653 -174.9584
3150.000000 93.584 -175.8683
3200.000000 93.481 -176.9698
3250.000000 93.360 -177.9868
3300.000000 93.226 -178.8994
3350.000000 93.080 -179.6882
3400.000000 92.928 179.6623
3450.000000 92.776 179.1561
3500.000000 92.626 178.7825
3550.000000 92.483 178.5246
3600.000000 92.352 178.3429
3650.000000 92.229 178.1963
3700.000000 92.107 178.0614
3750.000000 91.982 178.0283
3820.000000 91.832 178.1472
3870.000000 91.741 178.2199
3950.000000 91.600 178.3241
4000.000000 91.516 178.4246
4060.000000 91.421 178.5759
4120.000000 91.332 178.7473
4180.000000 91.250 178.9391
4250.000000 91.161 179.1583
4310.000000 91.086 179.3366
4370.000000 91.011 179.5271
4440.000000 90.920 179.7975
4500.000000 90.840 -179.8936
4550.000000 90.777 -179.5624
4620.000000 90.705 -178.9978
4680.000000 90.661 -178.4717
4750.000000 90.631 -177.8699
4820.000000 90.617 -177.3088
4870.000000 90.615 -176.9415
4940.000000 90.620 -176.4813
5000.000000 90.628 -176.1245
5080.000000 90.646 -175.6808
5150.000000 90.670 -175.3351
5220.000000 90.698 -175.0520
5300.000000 90.732 -174.7898
5380.000000 90.767 -174.5709
5450.000000 90.795 -174.4103
5520.000000 90.822 -174.2654
5600.000000 90.852 -174.0836
5700.000000 90.896 -173.8164
5800.000000 90.955 -173.5474
5900.000000 91.032 -173.3220
6000.000000 91.121 -173.1843
6080.000000 91.195 -173.1440
6150.000000 91.263 -173.1382
