* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -18.0 dBFS with no timing reference
* Dated: Sep 14, 2024 1:33:29 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ Merga AET07 50 Ohm
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 90.328 8.5523
20.600000 90.324 7.8833
20.900000 90.317 7.1555
21.200001 90.311 6.4242
21.400000 90.307 5.9392
21.799999 90.302 4.9839
22.000000 90.300 4.5171
22.400000 90.299 3.6094
22.700001 90.299 2.9494
23.000000 90.297 2.3023
23.299999 90.293 1.6636
23.600000 90.286 1.0306
24.000000 90.271 0.1958
24.299999 90.257 -0.4209
24.700001 90.237 -1.2272
25.000000 90.222 -1.8198
25.400000 90.204 -2.5954
25.799999 90.188 -3.3561
26.200001 90.174 -4.1013
26.500000 90.163 -4.6492
26.900000 90.148 -5.3657
27.200001 90.137 -5.8949
27.600000 90.122 -6.5933
28.000000 90.105 -7.2840
28.500000 90.081 -8.1294
29.000000 90.054 -8.9468
29.500000 90.028 -9.7466
30.000000 90.003 -10.5561
30.400000 89.982 -11.2199
30.700001 89.964 -11.7204
31.100000 89.936 -12.3716
31.500000 89.907 -12.9824
32.000000 89.872 -13.6776
32.500000 89.845 -14.3290
33.000000 89.825 -14.9958
33.500000 89.802 -15.7143
34.000000 89.772 -16.4686
34.500000 89.735 -17.2091
35.000000 89.698 -17.8970
35.500000 89.668 -18.5347
36.000000 89.644 -19.1571
36.500000 89.620 -19.7933
37.000000 89.588 -20.4406
37.500000 89.548 -21.0756
38.200001 89.489 -21.9288
38.700001 89.453 -22.5370
39.500000 89.404 -23.5259
40.000000 89.372 -24.1115
40.599998 89.333 -24.7429
41.200001 89.296 -25.3310
41.799999 89.261 -25.9447
42.500000 89.216 -26.7242
43.099998 89.173 -27.4090
43.700001 89.128 -28.0683
44.400002 89.077 -28.7915
45.000000 89.035 -29.3917
45.500000 88.999 -29.8953
46.200001 88.944 -30.6045
46.799999 88.894 -31.1870
47.500000 88.841 -31.8183
48.200001 88.795 -32.4414
48.700001 88.762 -32.9060
49.400002 88.710 -33.5689
50.000000 88.660 -34.1187
50.799999 88.598 -34.8176
51.500000 88.548 -35.4159
52.200001 88.501 -36.0103
53.000000 88.447 -36.6875
53.799999 88.391 -37.3507
54.500000 88.340 -37.9038
55.200001 88.291 -38.4435
56.000000 88.234 -39.0669
57.000000 88.159 -39.8406
58.000000 88.087 -40.5885
59.000000 88.021 -41.3197
60.000000 87.954 -42.0402
60.799999 87.897 -42.6021
61.500000 87.848 -43.0820
62.200001 87.802 -43.5764
63.000000 87.748 -44.1772
64.000000 87.673 -44.9208
65.000000 87.602 -45.5920
66.000000 87.540 -46.2224
67.000000 87.480 -46.8423
68.000000 87.415 -47.4405
69.000000 87.344 -48.0464
70.000000 87.264 -48.6542
71.000000 87.186 -49.1898
72.000000 87.123 -49.7277
73.000000 87.059 -50.3421
74.000000 86.985 -50.9464
75.000000 86.915 -51.4964
76.199997 86.844 -52.1546
77.500000 86.762 -52.8587
78.800003 86.673 -53.5125
80.000000 86.592 -54.1308
81.199997 86.513 -54.7645
82.500000 86.435 -55.4139
83.800003 86.360 -56.0400
85.000000 86.285 -56.5980
86.199997 86.206 -57.1688
87.500000 86.123 -57.8074
88.500000 86.063 -58.2757
90.000000 85.978 -58.9456
91.199997 85.906 -59.4688
92.500000 85.824 -60.0110
93.800003 85.743 -60.5437
95.000000 85.673 -61.0208
96.199997 85.605 -61.4997
97.500000 85.529 -62.0197
98.800003 85.456 -62.5502
100.000000 85.389 -63.0405
101.500000 85.311 -63.6312
103.000000 85.230 -64.2286
104.400002 85.148 -64.7578
106.000000 85.057 -65.3225
107.500000 84.976 -65.8440
109.000000 84.896 -66.3696
110.599998 84.807 -66.9000
112.000000 84.729 -67.3252
113.800003 84.643 -67.9540
115.000000 84.588 -68.3878
117.199997 84.484 -69.1351
118.000000 84.448 -69.3519
120.599998 84.327 -69.9895
122.000000 84.245 -70.5384
124.099998 84.138 -71.2886
125.000000 84.096 -71.5458
126.500000 84.028 -71.9635
128.000000 83.960 -72.4125
131.500000 83.808 -73.3947
132.000000 83.787 -73.5556
134.000000 83.699 -74.1371
136.000000 83.602 -74.5801
138.000000 83.502 -75.0656
140.000000 83.409 -75.5687
143.000000 83.284 -76.3649
145.000000 83.206 -76.8400
147.500000 83.113 -77.4019
150.000000 83.020 -77.9369
152.500000 82.929 -78.4811
155.000000 82.841 -79.0528
157.500000 82.754 -79.6392
160.000000 82.673 -80.2038
162.500000 82.589 -80.7882
165.000000 82.495 -81.4518
167.500000 82.407 -81.9502
170.000000 82.331 -82.4363
172.500000 82.250 -82.9255
175.000000 82.167 -83.4064
177.500000 82.087 -83.9221
180.000000 82.006 -84.4392
182.500000 81.927 -84.9221
185.000000 81.848 -85.3761
187.500000 81.770 -85.8163
190.000000 81.698 -86.2569
192.500000 81.631 -86.7244
195.000000 81.564 -87.1614
197.500000 81.494 -87.5811
200.000000 81.422 -88.0089
203.000000 81.336 -88.5105
206.000000 81.252 -88.9990
209.000000 81.173 -89.4983
212.000000 81.104 -89.9140
214.000000 81.059 -90.2041
218.000000 80.965 -90.8007
220.000000 80.917 -91.0976
224.000000 80.829 -91.6758
227.000000 80.770 -92.0646
230.000000 80.711 -92.4511
233.000000 80.651 -92.8444
236.000000 80.592 -93.2669
240.000000 80.517 -93.8341
243.000000 80.464 -94.3220
247.000000 80.391 -94.9747
250.000000 80.335 -95.4386
254.000000 80.260 -96.0014
258.000000 80.184 -96.5458
262.000000 80.119 -97.0421
265.000000 80.066 -97.3713
269.000000 79.979 -97.8581
272.000000 79.917 -98.2051
276.000000 79.841 -98.6671
280.000000 79.778 -99.1126
285.000000 79.704 -99.6438
290.000000 79.629 -100.1886
295.000000 79.556 -100.7010
300.000000 79.482 -101.2060
304.000000 79.424 -101.6214
307.000000 79.384 -101.9442
311.000000 79.334 -102.3511
315.000000 79.283 -102.7242
320.000000 79.216 -103.1629
325.000000 79.152 -103.5855
330.000000 79.092 -103.9955
335.000000 79.036 -104.4036
340.000000 78.982 -104.8306
345.000000 78.932 -105.2425
350.000000 78.881 -105.6328
355.000000 78.829 -106.0312
360.000000 78.782 -106.4039
365.000000 78.732 -106.7514
370.000000 78.680 -107.0969
375.000000 78.636 -107.4397
382.000000 78.582 -107.8916
387.000000 78.541 -108.2128
395.000000 78.482 -108.7292
400.000000 78.445 -109.0216
406.000000 78.397 -109.3643
412.000000 78.356 -109.6934
418.000000 78.316 -110.0281
425.000000 78.274 -110.3959
431.000000 78.238 -110.6941
437.000000 78.202 -110.9925
444.000000 78.165 -111.3345
450.000000 78.135 -111.6187
455.000000 78.109 -111.8322
462.000000 78.077 -112.0920
468.000000 78.052 -112.3115
475.000000 78.022 -112.5759
482.000000 77.994 -112.8346
487.000000 77.976 -113.0211
494.000000 77.950 -113.2710
500.000000 77.930 -113.4739
508.000000 77.905 -113.7415
515.000000 77.883 -113.9573
522.000000 77.863 -114.1664
530.000000 77.846 -114.3767
538.000000 77.828 -114.5825
545.000000 77.811 -114.7454
552.000000 77.796 -114.8778
560.000000 77.780 -115.0348
570.000000 77.764 -115.2442
580.000000 77.753 -115.4357
590.000000 77.744 -115.6063
600.000000 77.737 -115.7495
608.000000 77.733 -115.8467
615.000000 77.732 -115.9447
622.000000 77.733 -116.0374
630.000000 77.733 -116.1252
640.000000 77.731 -116.1907
650.000000 77.735 -116.2392
660.000000 77.746 -116.2789
670.000000 77.761 -116.3234
680.000000 77.775 -116.3590
690.000000 77.790 -116.4120
700.000000 77.809 -116.4429
710.000000 77.829 -116.4623
720.000000 77.852 -116.4514
730.000000 77.882 -116.4332
740.000000 77.917 -116.4133
750.000000 77.956 -116.3941
762.000000 78.012 -116.3902
775.000000 78.087 -116.4952
788.000000 78.154 -116.9247
800.000000 78.148 -117.3944
812.000000 78.113 -117.4164
825.000000 78.103 -117.1157
838.000000 78.137 -116.6869
850.000000 78.205 -116.3869
862.000000 78.279 -116.2548
875.000000 78.350 -116.1692
885.000000 78.399 -116.0764
900.000000 78.479 -115.9112
912.000000 78.554 -115.7401
925.000000 78.650 -115.5663
938.000000 78.758 -115.4875
950.000000 78.860 -115.5014
962.000000 78.962 -115.5657
975.000000 79.067 -115.6719
988.000000 79.166 -115.8219
1000.000000 79.256 -115.9906
1015.000000 79.366 -116.1888
1030.000000 79.476 -116.4231
1044.000000 79.578 -116.6856
1060.000000 79.689 -117.0010
1075.000000 79.788 -117.3200
1090.000000 79.887 -117.6535
1106.000000 79.989 -118.0334
1120.000000 80.073 -118.3806
1138.000000 80.176 -118.8540
1150.000000 80.240 -119.1931
1172.000000 80.350 -119.8166
1180.000000 80.389 -120.0403
1206.000000 80.504 -120.7734
1220.000000 80.559 -121.1665
1241.000000 80.630 -121.7250
1250.000000 80.658 -121.9468
1265.000000 80.703 -122.3055
1280.000000 80.746 -122.6483
1315.000000 80.837 -123.3812
1320.000000 80.849 -123.4769
1340.000000 80.892 -123.8350
1360.000000 80.931 -124.1594
1380.000000 80.971 -124.4443
1400.000000 81.011 -124.6857
1430.000000 81.069 -124.9872
1450.000000 81.109 -125.1449
1475.000000 81.163 -125.2919
1500.000000 81.218 -125.4000
1525.000000 81.276 -125.4692
1550.000000 81.340 -125.5079
1575.000000 81.408 -125.5083
1600.000000 81.482 -125.4900
1625.000000 81.562 -125.4626
1650.000000 81.645 -125.4217
1675.000000 81.734 -125.3715
1700.000000 81.824 -125.3124
1725.000000 81.920 -125.2526
1750.000000 82.021 -125.1948
1775.000000 82.127 -125.1545
1800.000000 82.239 -125.1241
1825.000000 82.355 -125.0984
1850.000000 82.475 -125.0921
1875.000000 82.599 -125.1146
1900.000000 82.726 -125.1493
1925.000000 82.857 -125.2059
1950.000000 82.991 -125.2897
1975.000000 83.128 -125.3985
2000.000000 83.268 -125.5375
2030.000000 83.438 -125.7432
2060.000000 83.611 -125.9933
2090.000000 83.787 -126.2923
2120.000000 83.964 -126.6385
2140.000000 84.082 -126.8994
2180.000000 84.320 -127.4828
2200.000000 84.439 -127.8051
2240.000000 84.679 -128.5211
2270.000000 84.859 -129.1253
2300.000000 85.038 -129.7941
2330.000000 85.214 -130.5210
2360.000000 85.386 -131.3100
2400.000000 85.610 -132.4731
2430.000000 85.772 -133.4182
2470.000000 85.981 -134.7619
2500.000000 86.129 -135.8378
2540.000000 86.315 -137.3656
2580.000000 86.484 -138.9830
2620.000000 86.634 -140.6737
2650.000000 86.734 -141.9802
2690.000000 86.849 -143.7605
2720.000000 86.921 -145.1134
2760.000000 87.000 -146.9336
2800.000000 87.057 -148.7636
2850.000000 87.101 -151.0391
2900.000000 87.113 -153.2804
2950.000000 87.096 -155.4476
3000.000000 87.051 -157.5267
3040.000000 86.998 -159.1149
3070.000000 86.949 -160.2559
3110.000000 86.873 -161.7056
3150.000000 86.786 -163.0689
3200.000000 86.665 -164.6528
3250.000000 86.532 -166.1017
3300.000000 86.391 -167.4167
3350.000000 86.243 -168.6061
3400.000000 86.091 -169.6678
3450.000000 85.936 -170.6045
3500.000000 85.778 -171.4195
3550.000000 85.618 -172.1140
3600.000000 85.461 -172.6791
3650.000000 85.310 -173.1093
3700.000000 85.170 -173.4191
3750.000000 85.046 -173.6468
3820.000000 84.896 -173.9160
3870.000000 84.801 -174.1073
3950.000000 84.662 -174.4178
4000.000000 84.581 -174.6215
4060.000000 84.486 -174.8764
4120.000000 84.389 -175.1303
4180.000000 84.289 -175.3736
4250.000000 84.168 -175.6063
4310.000000 84.062 -175.7263
4370.000000 83.959 -175.7542
4440.000000 83.848 -175.6851
4500.000000 83.766 -175.5666
4550.000000 83.707 -175.4458
4620.000000 83.638 -175.2718
4680.000000 83.592 -175.1226
4750.000000 83.551 -174.9819
4820.000000 83.517 -174.9014
4870.000000 83.496 -174.8769
4940.000000 83.468 -174.8789
