* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -25.0 dBFS with no timing reference
* Dated: Sep 14, 2024 8:55:46 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ Merga (AET07) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.001 9.3220
20.600000 86.001 8.6604
20.900000 86.000 7.9461
21.200001 85.997 7.2335
21.400000 85.994 6.7646
21.799999 85.986 5.8535
22.000000 85.981 5.4160
22.400000 85.969 4.5807
22.700001 85.959 3.9832
23.000000 85.949 3.3998
23.299999 85.938 2.8196
23.600000 85.927 2.2338
24.000000 85.914 1.4361
24.299999 85.905 0.8243
24.700001 85.896 -0.0047
25.000000 85.891 -0.6298
25.400000 85.884 -1.4525
25.799999 85.874 -2.2415
26.200001 85.860 -2.9772
26.500000 85.847 -3.4906
26.900000 85.828 -4.1356
27.200001 85.815 -4.6057
27.600000 85.800 -5.2401
28.000000 85.786 -5.9007
28.500000 85.768 -6.7599
29.000000 85.746 -7.6200
29.500000 85.717 -8.4355
30.000000 85.680 -9.1791
30.400000 85.646 -9.7236
30.700001 85.620 -10.1147
31.100000 85.591 -10.6403
31.500000 85.569 -11.2055
32.000000 85.550 -11.9967
32.500000 85.532 -12.8420
33.000000 85.509 -13.6351
33.500000 85.483 -14.2981
34.000000 85.460 -14.8634
34.500000 85.438 -15.4408
35.000000 85.405 -16.1019
35.500000 85.359 -16.8125
36.000000 85.310 -17.4867
36.500000 85.273 -18.0845
37.000000 85.254 -18.6401
37.500000 85.239 -19.2049
38.200001 85.199 -20.0210
38.700001 85.154 -20.5934
39.500000 85.087 -21.5240
40.000000 85.059 -22.1629
40.599998 85.027 -22.9519
41.200001 84.981 -23.6293
41.799999 84.926 -24.1136
42.500000 84.869 -24.5924
43.099998 84.829 -25.1591
43.700001 84.784 -25.9077
44.400002 84.718 -26.7993
45.000000 84.662 -27.4258
45.500000 84.623 -27.8558
46.200001 84.580 -28.4005
46.799999 84.555 -28.8601
47.500000 84.542 -29.4182
48.200001 84.533 -30.0237
48.700001 84.510 -30.4761
49.400002 84.437 -31.0861
50.000000 84.344 -31.5405
50.799999 84.232 -32.0693
51.500000 84.189 -32.6030
52.200001 84.182 -33.2881
53.000000 84.159 -34.0782
53.799999 84.102 -34.6648
54.500000 84.044 -35.0875
55.200001 83.992 -35.5657
56.000000 83.939 -36.1497
57.000000 83.878 -36.8125
58.000000 83.793 -37.4542
59.000000 83.694 -38.0138
60.000000 83.640 -38.6726
60.799999 83.606 -39.3721
61.500000 83.567 -39.9296
62.200001 83.536 -40.3967
63.000000 83.502 -40.9235
64.000000 83.434 -41.5457
65.000000 83.352 -42.1919
66.000000 83.259 -42.9422
67.000000 83.183 -43.4219
68.000000 83.144 -43.7513
69.000000 83.082 -44.2558
70.000000 82.987 -44.8774
71.000000 82.903 -45.5098
72.000000 82.841 -46.0666
73.000000 82.790 -46.6274
74.000000 82.727 -47.2524
75.000000 82.654 -47.7936
76.199997 82.575 -48.2989
77.500000 82.498 -48.8585
78.800003 82.424 -49.5167
80.000000 82.351 -50.1218
81.199997 82.274 -50.6547
82.500000 82.182 -51.1744
83.800003 82.095 -51.6884
85.000000 82.033 -52.2118
86.199997 81.972 -52.7526
87.500000 81.889 -53.3296
88.500000 81.828 -53.7566
90.000000 81.746 -54.3131
91.199997 81.676 -54.7361
92.500000 81.602 -55.2574
93.800003 81.541 -55.7793
95.000000 81.477 -56.2232
96.199997 81.403 -56.6700
97.500000 81.323 -57.1446
98.800003 81.248 -57.5255
100.000000 81.177 -57.8372
101.500000 81.083 -58.2769
103.000000 81.006 -58.7666
104.400002 80.940 -59.2987
106.000000 80.866 -59.8302
107.500000 80.798 -60.3122
109.000000 80.722 -60.7995
110.599998 80.650 -61.2197
112.000000 80.589 -61.6231
113.800003 80.494 -62.2508
115.000000 80.428 -62.6322
117.199997 80.320 -63.3531
118.000000 80.291 -63.6910
120.599998 80.189 -64.5803
122.000000 80.106 -64.7088
124.099998 80.001 -65.0915
125.000000 79.963 -65.2974
126.500000 79.897 -65.6232
128.000000 79.825 -65.9819
131.500000 79.655 -66.8588
132.000000 79.634 -66.9865
134.000000 79.550 -67.5089
136.000000 79.463 -67.9592
138.000000 79.376 -68.3838
140.000000 79.302 -68.7825
143.000000 79.191 -69.3773
145.000000 79.117 -69.7935
147.500000 79.017 -70.2326
150.000000 78.929 -70.7239
152.500000 78.854 -71.3432
155.000000 78.770 -71.6492
157.500000 78.674 -71.9124
160.000000 78.584 -72.1761
162.500000 78.490 -72.4675
165.000000 78.426 -73.2298
167.500000 78.358 -73.9057
170.000000 78.281 -74.2482
172.500000 78.223 -74.5343
175.000000 78.153 -74.8927
177.500000 78.073 -75.2552
180.000000 77.989 -75.6117
182.500000 77.930 -76.0381
185.000000 77.885 -76.4759
187.500000 77.820 -76.9117
190.000000 77.755 -77.2852
192.500000 77.693 -77.5462
195.000000 77.613 -77.7197
197.500000 77.549 -78.0728
200.000000 77.487 -78.5467
203.000000 77.379 -78.7247
206.000000 77.317 -79.1524
209.000000 77.288 -79.6775
212.000000 77.227 -80.0149
214.000000 77.182 -80.2269
218.000000 77.094 -80.7133
220.000000 77.054 -80.9322
224.000000 76.979 -81.3252
227.000000 76.924 -81.5581
230.000000 76.874 -81.8268
233.000000 76.832 -82.0855
236.000000 76.820 -82.2899
240.000000 76.752 -82.6456
243.000000 76.647 -82.8641
247.000000 76.593 -83.4358
250.000000 76.581 -83.8730
254.000000 76.528 -84.3127
258.000000 76.458 -84.7081
262.000000 76.399 -85.0747
265.000000 76.363 -85.3365
269.000000 76.312 -85.7169
272.000000 76.271 -86.0261
276.000000 76.220 -86.3783
280.000000 76.178 -86.6757
285.000000 76.117 -87.0342
290.000000 76.054 -87.4255
295.000000 75.988 -87.9119
300.000000 75.926 -88.3077
304.000000 75.884 -88.5562
307.000000 75.859 -88.7050
311.000000 75.830 -88.8946
315.000000 75.800 -89.1602
320.000000 75.762 -89.4444
325.000000 75.719 -89.7175
330.000000 75.683 -89.9962
335.000000 75.656 -90.2276
340.000000 75.626 -90.4707
345.000000 75.590 -90.7751
350.000000 75.556 -91.0586
355.000000 75.533 -91.2700
360.000000 75.508 -91.4979
365.000000 75.484 -91.7208
370.000000 75.463 -91.9896
375.000000 75.436 -92.2551
382.000000 75.405 -92.5145
387.000000 75.392 -92.6921
395.000000 75.364 -93.0264
400.000000 75.343 -93.2218
406.000000 75.333 -93.3734
412.000000 75.333 -93.5488
418.000000 75.327 -93.7582
425.000000 75.313 -93.9838
431.000000 75.302 -94.1786
437.000000 75.288 -94.4064
444.000000 75.287 -94.6426
450.000000 75.285 -94.7996
455.000000 75.282 -94.9113
462.000000 75.281 -95.0604
468.000000 75.278 -95.2204
475.000000 75.279 -95.3894
482.000000 75.286 -95.5083
487.000000 75.292 -95.5865
494.000000 75.300 -95.6958
500.000000 75.310 -95.8163
508.000000 75.326 -95.9928
515.000000 75.341 -96.1241
522.000000 75.356 -96.2010
530.000000 75.370 -96.2860
538.000000 75.382 -96.3976
545.000000 75.394 -96.4799
552.000000 75.412 -96.5396
560.000000 75.437 -96.6224
570.000000 75.474 -96.7316
580.000000 75.508 -96.8126
590.000000 75.541 -96.8830
600.000000 75.577 -96.9196
608.000000 75.609 -96.9636
615.000000 75.639 -97.0214
622.000000 75.672 -97.0506
630.000000 75.709 -97.0428
640.000000 75.755 -97.0610
650.000000 75.805 -97.0925
660.000000 75.858 -97.0875
670.000000 75.912 -97.0706
680.000000 75.967 -97.0653
690.000000 76.024 -97.0550
700.000000 76.083 -97.0269
710.000000 76.144 -96.9773
720.000000 76.210 -96.9329
730.000000 76.279 -96.8969
740.000000 76.351 -96.8712
750.000000 76.427 -96.8421
762.000000 76.530 -96.8072
775.000000 76.656 -96.8757
788.000000 76.772 -97.2787
800.000000 76.816 -97.7241
812.000000 76.831 -97.7839
825.000000 76.869 -97.5451
838.000000 76.949 -97.1388
850.000000 77.058 -96.8643
862.000000 77.170 -96.7357
875.000000 77.281 -96.6523
885.000000 77.366 -96.5778
900.000000 77.499 -96.4246
912.000000 77.616 -96.2844
925.000000 77.757 -96.1666
938.000000 77.906 -96.1466
950.000000 78.043 -96.2025
962.000000 78.179 -96.2971
975.000000 78.324 -96.4627
988.000000 78.463 -96.6679
1000.000000 78.588 -96.8796
1015.000000 78.742 -97.1653
1030.000000 78.894 -97.4604
1044.000000 79.033 -97.7710
1060.000000 79.188 -98.1751
1075.000000 79.331 -98.5742
1090.000000 79.469 -98.9926
1106.000000 79.610 -99.4704
1120.000000 79.729 -99.9114
1138.000000 79.875 -100.4974
1150.000000 79.967 -100.8990
1172.000000 80.129 -101.6453
1180.000000 80.184 -101.9221
1206.000000 80.351 -102.8113
1220.000000 80.435 -103.2865
1241.000000 80.551 -103.9796
1250.000000 80.599 -104.2743
1265.000000 80.675 -104.7571
1280.000000 80.748 -105.2024
1315.000000 80.902 -106.1644
1320.000000 80.923 -106.2930
1340.000000 81.002 -106.7803
1360.000000 81.077 -107.2310
1380.000000 81.151 -107.6417
1400.000000 81.223 -108.0230
1430.000000 81.330 -108.5220
1450.000000 81.401 -108.8051
1475.000000 81.493 -109.1227
1500.000000 81.585 -109.3904
1525.000000 81.679 -109.6145
1550.000000 81.775 -109.8172
1575.000000 81.876 -109.9953
1600.000000 81.980 -110.1536
1625.000000 82.087 -110.2948
1650.000000 82.200 -110.4286
1675.000000 82.315 -110.5497
1700.000000 82.434 -110.6580
1725.000000 82.558 -110.7684
1750.000000 82.686 -110.8973
1775.000000 82.816 -111.0314
1800.000000 82.951 -111.1623
1825.000000 83.088 -111.3051
1850.000000 83.229 -111.4667
1875.000000 83.374 -111.6445
1900.000000 83.522 -111.8430
1925.000000 83.670 -112.0668
1950.000000 83.821 -112.3145
1975.000000 83.975 -112.5832
2000.000000 84.130 -112.8747
2030.000000 84.321 -113.2587
2060.000000 84.514 -113.6891
2090.000000 84.706 -114.1699
2120.000000 84.898 -114.7052
2140.000000 85.027 -115.0897
2180.000000 85.285 -115.9250
2200.000000 85.412 -116.3794
2240.000000 85.665 -117.3483
2270.000000 85.852 -118.1360
2300.000000 86.035 -118.9842
2330.000000 86.215 -119.8854
2360.000000 86.392 -120.8350
2400.000000 86.619 -122.1841
2430.000000 86.782 -123.2571
2470.000000 86.991 -124.7651
2500.000000 87.138 -125.9478
2540.000000 87.322 -127.5955
2580.000000 87.489 -129.3168
2620.000000 87.639 -131.0937
2650.000000 87.739 -132.4594
2690.000000 87.855 -134.3148
2720.000000 87.929 -135.7212
2760.000000 88.010 -137.6113
2800.000000 88.071 -139.5024
2850.000000 88.119 -141.8337
2900.000000 88.137 -144.1009
2950.000000 88.128 -146.2918
3000.000000 88.094 -148.3889
3040.000000 88.051 -149.9866
3070.000000 88.011 -151.1380
3110.000000 87.947 -152.6055
3150.000000 87.874 -153.9912
3200.000000 87.771 -155.6075
3250.000000 87.657 -157.0919
3300.000000 87.535 -158.4520
3350.000000 87.407 -159.6898
3400.000000 87.275 -160.8107
3450.000000 87.139 -161.8186
3500.000000 87.002 -162.7113
3550.000000 86.863 -163.4732
3600.000000 86.725 -164.1049
3650.000000 86.593 -164.6150
3700.000000 86.474 -165.0156
3750.000000 86.368 -165.3390
3820.000000 86.242 -165.7457
3870.000000 86.164 -166.0329
3950.000000 86.051 -166.4954
4000.000000 85.987 -166.7958
4060.000000 85.911 -167.1768
4120.000000 85.831 -167.5636
4180.000000 85.747 -167.9268
4250.000000 85.643 -168.2855
4310.000000 85.555 -168.5181
4370.000000 85.469 -168.6768
4440.000000 85.378 -168.7740
4500.000000 85.308 -168.7972
4550.000000 85.260 -168.7934
4620.000000 85.204 -168.7774
4680.000000 85.166 -168.7631
4750.000000 85.134 -168.7655
4820.000000 85.112 -168.8157
4870.000000 85.101 -168.8832
4940.000000 85.087 -169.0214
