* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -25.0 dBFS with no timing reference
* Dated: Sep 14, 2024 8:54:06 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ Merga (AET07) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 86.214 11.0078
20.600000 86.214 10.3480
20.900000 86.212 9.6453
21.200001 86.208 8.9475
21.400000 86.206 8.4841
21.799999 86.202 7.5630
22.000000 86.201 7.1100
22.400000 86.196 6.2360
22.700001 86.192 5.6178
23.000000 86.189 5.0309
23.299999 86.186 4.4648
23.600000 86.183 3.9041
24.000000 86.179 3.1410
24.299999 86.173 2.5480
24.700001 86.161 1.7327
25.000000 86.149 1.1124
25.400000 86.132 0.2925
25.799999 86.114 -0.4978
26.200001 86.097 -1.2403
26.500000 86.088 -1.7620
26.900000 86.079 -2.4211
27.200001 86.075 -2.9040
27.600000 86.071 -3.5577
28.000000 86.064 -4.2334
28.500000 86.043 -5.0786
29.000000 86.013 -5.8619
29.500000 85.987 -6.5718
30.000000 85.970 -7.2783
30.400000 85.954 -7.8815
30.700001 85.934 -8.3464
31.100000 85.895 -8.9402
31.500000 85.850 -9.4597
32.000000 85.802 -10.0084
32.500000 85.782 -10.5542
33.000000 85.781 -11.2129
33.500000 85.782 -11.9781
34.000000 85.771 -12.7510
34.500000 85.751 -13.4629
35.000000 85.729 -14.1343
35.500000 85.701 -14.8186
36.000000 85.667 -15.5290
36.500000 85.629 -16.2328
37.000000 85.597 -16.8915
37.500000 85.573 -17.4856
38.200001 85.553 -18.2099
38.700001 85.540 -18.6862
39.500000 85.504 -19.5227
40.000000 85.463 -20.1450
40.599998 85.397 -20.9341
41.200001 85.330 -21.6367
41.799999 85.286 -22.1874
42.500000 85.268 -22.7376
43.099998 85.254 -23.2344
43.700001 85.221 -23.7455
44.400002 85.173 -24.3312
45.000000 85.147 -24.9151
45.500000 85.131 -25.5127
46.200001 85.095 -26.4007
46.799999 85.043 -27.0201
47.500000 84.977 -27.5328
48.200001 84.916 -28.0097
48.700001 84.877 -28.4308
49.400002 84.827 -29.1937
50.000000 84.784 -29.9815
50.799999 84.712 -30.9520
51.500000 84.655 -31.4702
52.200001 84.632 -31.7786
53.000000 84.620 -32.2312
53.799999 84.576 -32.8291
54.500000 84.517 -33.3587
55.200001 84.458 -33.8984
56.000000 84.389 -34.5168
57.000000 84.313 -35.2094
58.000000 84.263 -36.0286
59.000000 84.197 -37.0021
60.000000 84.123 -37.6534
60.799999 84.086 -37.9827
61.500000 84.058 -38.3097
62.200001 84.024 -38.6883
63.000000 83.981 -39.1724
64.000000 83.917 -39.8706
65.000000 83.835 -40.5517
66.000000 83.759 -41.1473
67.000000 83.700 -41.6736
68.000000 83.643 -42.2397
69.000000 83.560 -42.8551
70.000000 83.481 -43.3237
71.000000 83.442 -43.7891
72.000000 83.396 -44.3768
73.000000 83.321 -44.9114
74.000000 83.255 -45.4143
75.000000 83.201 -46.0304
76.199997 83.127 -46.7987
77.500000 83.041 -47.4554
78.800003 82.959 -48.0292
80.000000 82.875 -48.6185
81.199997 82.797 -49.2150
82.500000 82.730 -49.8135
83.800003 82.664 -50.3589
85.000000 82.594 -50.8416
86.199997 82.526 -51.3610
87.500000 82.453 -52.0126
88.500000 82.397 -52.4807
90.000000 82.311 -53.0900
91.199997 82.232 -53.5525
92.500000 82.149 -54.0516
93.800003 82.080 -54.5256
95.000000 82.022 -55.0133
96.199997 81.962 -55.5525
97.500000 81.891 -56.0694
98.800003 81.815 -56.5029
100.000000 81.741 -56.9024
101.500000 81.660 -57.4030
103.000000 81.590 -57.8783
104.400002 81.520 -58.4294
106.000000 81.430 -59.0541
107.500000 81.355 -59.5988
109.000000 81.286 -60.1046
110.599998 81.228 -60.6065
112.000000 81.168 -61.0447
113.800003 81.061 -61.5150
115.000000 80.993 -61.8247
117.199997 80.886 -62.3745
118.000000 80.838 -62.5063
120.599998 80.690 -63.0684
122.000000 80.646 -63.6796
124.099998 80.563 -64.2733
125.000000 80.522 -64.5039
126.500000 80.457 -64.9668
128.000000 80.392 -65.4298
131.500000 80.251 -66.2699
132.000000 80.231 -66.3903
134.000000 80.146 -66.8895
136.000000 80.053 -67.3706
138.000000 79.970 -67.7631
140.000000 79.887 -68.1569
143.000000 79.765 -68.7937
145.000000 79.692 -69.1901
147.500000 79.600 -69.7007
150.000000 79.498 -70.2060
152.500000 79.380 -70.7253
155.000000 79.306 -71.1420
157.500000 79.251 -71.5163
160.000000 79.183 -71.9765
162.500000 79.115 -72.5975
165.000000 79.046 -73.0311
167.500000 78.959 -73.3753
170.000000 78.887 -73.8145
172.500000 78.827 -74.3886
175.000000 78.757 -74.9240
177.500000 78.677 -75.3333
180.000000 78.612 -75.7193
182.500000 78.551 -76.1436
185.000000 78.463 -76.5030
187.500000 78.384 -76.8916
190.000000 78.317 -77.3694
192.500000 78.242 -77.7970
195.000000 78.168 -77.9863
197.500000 78.093 -78.2615
200.000000 78.002 -78.7366
203.000000 77.876 -79.1830
206.000000 77.819 -79.4485
209.000000 77.791 -79.8084
212.000000 77.746 -80.1971
214.000000 77.710 -80.4506
218.000000 77.612 -80.9217
220.000000 77.558 -81.1302
224.000000 77.490 -81.6663
227.000000 77.455 -82.0138
230.000000 77.402 -82.2883
233.000000 77.337 -82.6103
236.000000 77.270 -82.8700
240.000000 77.201 -83.5145
243.000000 77.138 -84.1034
247.000000 77.063 -84.5114
250.000000 77.023 -84.6892
254.000000 76.976 -85.0319
258.000000 76.921 -85.4265
262.000000 76.854 -85.8266
265.000000 76.807 -86.1089
269.000000 76.748 -86.4734
272.000000 76.701 -86.7446
276.000000 76.639 -87.1111
280.000000 76.584 -87.4626
285.000000 76.521 -87.8650
290.000000 76.453 -88.2723
295.000000 76.382 -88.5932
300.000000 76.329 -88.9027
304.000000 76.287 -89.1333
307.000000 76.254 -89.3395
311.000000 76.214 -89.7130
315.000000 76.176 -90.0310
320.000000 76.128 -90.3651
325.000000 76.078 -90.7013
330.000000 76.035 -91.0487
335.000000 76.002 -91.3650
340.000000 75.972 -91.6259
345.000000 75.937 -91.8315
350.000000 75.903 -92.0783
355.000000 75.873 -92.3039
360.000000 75.837 -92.5574
365.000000 75.802 -92.8542
370.000000 75.777 -93.1264
375.000000 75.749 -93.4341
382.000000 75.713 -93.7682
387.000000 75.686 -93.9586
395.000000 75.652 -94.2662
400.000000 75.636 -94.4809
406.000000 75.618 -94.7038
412.000000 75.588 -94.9131
418.000000 75.564 -95.1172
425.000000 75.556 -95.3614
431.000000 75.552 -95.5403
437.000000 75.543 -95.7210
444.000000 75.530 -95.9760
450.000000 75.520 -96.1726
455.000000 75.515 -96.3241
462.000000 75.510 -96.5232
468.000000 75.507 -96.6447
475.000000 75.509 -96.7851
482.000000 75.507 -96.9431
487.000000 75.508 -97.0664
494.000000 75.510 -97.2357
500.000000 75.509 -97.3415
508.000000 75.518 -97.4656
515.000000 75.529 -97.5906
522.000000 75.539 -97.7381
530.000000 75.550 -97.9041
538.000000 75.560 -98.0299
545.000000 75.573 -98.1111
552.000000 75.586 -98.1968
560.000000 75.607 -98.2742
570.000000 75.638 -98.4084
580.000000 75.665 -98.5108
590.000000 75.692 -98.6198
600.000000 75.724 -98.7190
608.000000 75.749 -98.7706
615.000000 75.776 -98.8199
622.000000 75.805 -98.8784
630.000000 75.839 -98.9347
640.000000 75.881 -98.9771
650.000000 75.925 -99.0307
660.000000 75.970 -99.0925
670.000000 76.021 -99.1591
680.000000 76.073 -99.1848
690.000000 76.123 -99.1904
700.000000 76.176 -99.2033
710.000000 76.231 -99.2347
720.000000 76.286 -99.2452
730.000000 76.345 -99.2547
740.000000 76.401 -99.2740
750.000000 76.456 -99.2754
762.000000 76.527 -99.2529
775.000000 76.605 -99.1955
788.000000 76.692 -99.0559
800.000000 76.793 -98.9775
812.000000 76.889 -99.0095
825.000000 76.982 -98.9552
838.000000 77.093 -98.8298
850.000000 77.213 -98.8111
862.000000 77.330 -98.8998
875.000000 77.453 -99.0100
885.000000 77.549 -99.1205
900.000000 77.685 -99.3175
912.000000 77.784 -99.4830
925.000000 77.889 -99.6271
938.000000 78.000 -99.7149
950.000000 78.108 -99.7921
962.000000 78.223 -99.9098
975.000000 78.350 -100.0745
988.000000 78.476 -100.2682
1000.000000 78.592 -100.4974
1015.000000 78.737 -100.8305
1030.000000 78.879 -101.1770
1044.000000 79.009 -101.5357
1060.000000 79.153 -101.9852
1075.000000 79.286 -102.4466
1090.000000 79.414 -102.9223
1106.000000 79.545 -103.4456
1120.000000 79.655 -103.9262
1138.000000 79.788 -104.5658
1150.000000 79.872 -105.0047
1172.000000 80.018 -105.8272
1180.000000 80.068 -106.1320
1206.000000 80.220 -107.1231
1220.000000 80.294 -107.6271
1241.000000 80.396 -108.3699
1250.000000 80.438 -108.6827
1265.000000 80.504 -109.1941
1280.000000 80.566 -109.6912
1315.000000 80.694 -110.7505
1320.000000 80.712 -110.8916
1340.000000 80.779 -111.4413
1360.000000 80.842 -111.9590
1380.000000 80.902 -112.4266
1400.000000 80.961 -112.8508
1430.000000 81.047 -113.4263
1450.000000 81.104 -113.7775
1475.000000 81.175 -114.1618
1500.000000 81.248 -114.4910
1525.000000 81.324 -114.7832
1550.000000 81.403 -115.0535
1575.000000 81.484 -115.3014
1600.000000 81.567 -115.5151
1625.000000 81.653 -115.7067
1650.000000 81.746 -115.8966
1675.000000 81.841 -116.0801
1700.000000 81.940 -116.2550
1725.000000 82.040 -116.4172
1750.000000 82.144 -116.5755
1775.000000 82.250 -116.7412
1800.000000 82.358 -116.9225
1825.000000 82.469 -117.1037
1850.000000 82.584 -117.2936
1875.000000 82.701 -117.4936
1900.000000 82.820 -117.7108
1925.000000 82.941 -117.9443
1950.000000 83.062 -118.1940
1975.000000 83.186 -118.4578
2000.000000 83.311 -118.7442
2030.000000 83.462 -119.1224
2060.000000 83.614 -119.5224
2090.000000 83.765 -119.9501
2120.000000 83.918 -120.4139
2140.000000 84.019 -120.7408
2180.000000 84.220 -121.4363
2200.000000 84.319 -121.8052
2240.000000 84.515 -122.5863
2270.000000 84.661 -123.2037
2300.000000 84.805 -123.8539
2330.000000 84.946 -124.5386
2360.000000 85.086 -125.2575
2400.000000 85.267 -126.2653
2430.000000 85.398 -127.0566
2470.000000 85.565 -128.1548
2500.000000 85.686 -129.0059
2540.000000 85.838 -130.1753
2580.000000 85.981 -131.3908
2620.000000 86.116 -132.6410
2650.000000 86.210 -133.5945
2690.000000 86.327 -134.8871
2720.000000 86.408 -135.8689
2760.000000 86.507 -137.1920
2800.000000 86.597 -138.5258
2850.000000 86.694 -140.2026
2900.000000 86.773 -141.8889
2950.000000 86.836 -143.5653
3000.000000 86.885 -145.2168
3040.000000 86.913 -146.5196
3070.000000 86.927 -147.4812
3110.000000 86.940 -148.7415
3150.000000 86.945 -149.9823
3200.000000 86.940 -151.5010
3250.000000 86.923 -152.9796
3300.000000 86.896 -154.4119
3350.000000 86.858 -155.7876
3400.000000 86.810 -157.1078
3450.000000 86.751 -158.3701
3500.000000 86.684 -159.5667
3550.000000 86.611 -160.6951
3600.000000 86.532 -161.7615
3650.000000 86.446 -162.7566
3700.000000 86.356 -163.6712
3750.000000 86.264 -164.5095
3820.000000 86.132 -165.5613
3870.000000 86.039 -166.2340
3950.000000 85.894 -167.1993
4000.000000 85.806 -167.7409
4060.000000 85.705 -168.3484
4120.000000 85.607 -168.9220
4180.000000 85.508 -169.4785
4250.000000 85.388 -170.1070
4310.000000 85.276 -170.6001
4370.000000 85.155 -171.0045
4440.000000 85.007 -171.3094
4500.000000 84.885 -171.3989
4550.000000 84.794 -171.3634
4620.000000 84.687 -171.2137
4680.000000 84.617 -171.0317
4750.000000 84.561 -170.8156
4820.000000 84.528 -170.6587
4870.000000 84.511 -170.6028
4940.000000 84.495 -170.5927
