* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Jan 23, 2025 7:54:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kbear Robin L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 93.993 -131.1926
20.600000 94.027 -131.9507
20.900000 94.063 -132.7650
21.200001 94.098 -133.5771
21.400000 94.121 -134.1155
21.799999 94.169 -135.1831
22.000000 94.193 -135.7100
22.400000 94.241 -136.7450
22.700001 94.277 -137.5033
23.000000 94.311 -138.2475
23.299999 94.342 -138.9795
23.600000 94.370 -139.6999
24.000000 94.401 -140.6389
24.299999 94.422 -141.3230
24.700001 94.448 -142.2046
25.000000 94.469 -142.8445
25.400000 94.497 -143.6767
25.799999 94.528 -144.4930
26.200001 94.557 -145.2961
26.500000 94.577 -145.8879
26.900000 94.600 -146.6607
27.200001 94.616 -147.2291
27.600000 94.636 -147.9764
28.000000 94.653 -148.7142
28.500000 94.673 -149.6160
29.000000 94.694 -150.4817
29.500000 94.718 -151.3168
30.000000 94.746 -152.1488
30.400000 94.766 -152.8228
30.700001 94.777 -153.3273
31.100000 94.786 -153.9840
31.500000 94.792 -154.6114
32.000000 94.800 -155.3625
32.500000 94.812 -156.1048
33.000000 94.824 -156.8442
33.500000 94.835 -157.5511
34.000000 94.848 -158.2076
34.500000 94.867 -158.8448
35.000000 94.885 -159.5106
35.500000 94.890 -160.2076
36.000000 94.881 -160.8884
36.500000 94.865 -161.5153
37.000000 94.856 -162.1049
37.500000 94.857 -162.7040
38.200001 94.863 -163.5788
38.700001 94.863 -164.1801
39.500000 94.857 -165.0443
40.000000 94.852 -165.5682
40.599998 94.842 -166.2371
41.200001 94.826 -166.9276
41.799999 94.812 -167.5677
42.500000 94.814 -168.2185
43.099998 94.830 -168.7608
43.700001 94.842 -169.3487
44.400002 94.834 -170.0680
45.000000 94.813 -170.6578
45.500000 94.798 -171.1253
46.200001 94.790 -171.7731
46.799999 94.790 -172.3243
47.500000 94.788 -172.9275
48.200001 94.778 -173.4812
48.700001 94.767 -173.8710
49.400002 94.747 -174.4399
50.000000 94.731 -174.9428
50.799999 94.714 -175.5842
51.500000 94.705 -176.1016
52.200001 94.694 -176.6171
53.000000 94.668 -177.2307
53.799999 94.634 -177.8212
54.500000 94.613 -178.3024
55.200001 94.604 -178.7880
56.000000 94.592 -179.3582
57.000000 94.563 179.9561
58.000000 94.533 179.2830
59.000000 94.509 178.6213
60.000000 94.488 178.0128
60.799999 94.466 177.5528
61.500000 94.443 177.1577
62.200001 94.420 176.7556
63.000000 94.395 176.2823
64.000000 94.363 175.6996
65.000000 94.332 175.1313
66.000000 94.301 174.5513
67.000000 94.269 173.9890
68.000000 94.234 173.4762
69.000000 94.197 172.9951
70.000000 94.161 172.5095
71.000000 94.125 171.9954
72.000000 94.089 171.4891
73.000000 94.055 171.0266
74.000000 94.022 170.5870
75.000000 93.989 170.1542
76.199997 93.950 169.6181
77.500000 93.901 169.0521
78.800003 93.855 168.5248
80.000000 93.813 168.0338
81.199997 93.769 167.5542
82.500000 93.722 167.0403
83.800003 93.675 166.5380
85.000000 93.630 166.0901
86.199997 93.583 165.6505
87.500000 93.530 165.1967
88.500000 93.493 164.8671
90.000000 93.440 164.3853
91.199997 93.396 163.9909
92.500000 93.344 163.5630
93.800003 93.294 163.1558
95.000000 93.249 162.7991
96.199997 93.204 162.4597
97.500000 93.156 162.0760
98.800003 93.107 161.6726
100.000000 93.061 161.3178
101.500000 93.004 160.9238
103.000000 92.944 160.5403
104.400002 92.888 160.1841
106.000000 92.824 159.7895
107.500000 92.765 159.4183
109.000000 92.707 159.0466
110.599998 92.648 158.6874
112.000000 92.597 158.3898
113.800003 92.529 158.0003
115.000000 92.482 157.7454
117.199997 92.396 157.2920
118.000000 92.364 157.1406
120.599998 92.263 156.6751
122.000000 92.211 156.3999
124.099998 92.133 156.0150
125.000000 92.099 155.8584
126.500000 92.043 155.6003
128.000000 91.986 155.3510
131.500000 91.853 154.8001
132.000000 91.834 154.7246
134.000000 91.756 154.4447
136.000000 91.677 154.1731
138.000000 91.599 153.9259
140.000000 91.521 153.7275
143.000000 91.411 153.4388
145.000000 91.342 153.2565
147.500000 91.259 153.0527
150.000000 91.180 152.8428
152.500000 91.104 152.6440
155.000000 91.027 152.4437
157.500000 90.952 152.2371
160.000000 90.878 152.0186
162.500000 90.805 151.7805
165.000000 90.731 151.5363
167.500000 90.656 151.3080
170.000000 90.579 151.0954
172.500000 90.499 150.8848
175.000000 90.420 150.6934
177.500000 90.341 150.5205
180.000000 90.260 150.3703
182.500000 90.177 150.2339
185.000000 90.097 150.0906
187.500000 90.018 149.9599
190.000000 89.941 149.8405
192.500000 89.864 149.7426
195.000000 89.789 149.6604
197.500000 89.715 149.5755
200.000000 89.639 149.4924
203.000000 89.551 149.4138
206.000000 89.464 149.3406
209.000000 89.378 149.2773
212.000000 89.294 149.2367
214.000000 89.239 149.2123
218.000000 89.127 149.1682
220.000000 89.072 149.1462
224.000000 88.962 149.1204
227.000000 88.882 149.1023
230.000000 88.802 149.0900
233.000000 88.722 149.0897
236.000000 88.642 149.1044
240.000000 88.539 149.1513
243.000000 88.463 149.1746
247.000000 88.362 149.2146
250.000000 88.289 149.2669
254.000000 88.191 149.3553
258.000000 88.094 149.4551
262.000000 88.001 149.5603
265.000000 87.932 149.6432
269.000000 87.843 149.7465
272.000000 87.778 149.8293
276.000000 87.694 149.9344
280.000000 87.609 150.0513
285.000000 87.503 150.1803
290.000000 87.397 150.3316
295.000000 87.291 150.5109
300.000000 87.189 150.7193
304.000000 87.107 150.8629
307.000000 87.047 150.9761
311.000000 86.966 151.1470
315.000000 86.888 151.3271
320.000000 86.793 151.5472
325.000000 86.698 151.7784
330.000000 86.604 152.0186
335.000000 86.513 152.2820
340.000000 86.423 152.5533
345.000000 86.335 152.8247
350.000000 86.250 153.1042
355.000000 86.166 153.3781
360.000000 86.081 153.6534
365.000000 85.998 153.9502
370.000000 85.919 154.2596
375.000000 85.844 154.5718
382.000000 85.739 155.0061
387.000000 85.663 155.3321
395.000000 85.548 155.8587
400.000000 85.479 156.1744
406.000000 85.397 156.5578
412.000000 85.317 156.9708
418.000000 85.239 157.3882
425.000000 85.150 157.8516
431.000000 85.073 158.2468
437.000000 84.996 158.6696
444.000000 84.911 159.1621
450.000000 84.840 159.5731
455.000000 84.782 159.9188
462.000000 84.702 160.4275
468.000000 84.634 160.8602
475.000000 84.559 161.3747
482.000000 84.485 161.8934
487.000000 84.431 162.2683
494.000000 84.360 162.8019
500.000000 84.301 163.2546
508.000000 84.223 163.8595
515.000000 84.155 164.4030
522.000000 84.090 164.9548
530.000000 84.021 165.5832
538.000000 83.953 166.2237
545.000000 83.894 166.7860
552.000000 83.837 167.3469
560.000000 83.775 167.9908
570.000000 83.699 168.7998
580.000000 83.626 169.6268
590.000000 83.559 170.4484
600.000000 83.495 171.2789
608.000000 83.444 171.9532
615.000000 83.401 172.5406
622.000000 83.359 173.1352
630.000000 83.313 173.8228
640.000000 83.259 174.6808
650.000000 83.211 175.5462
660.000000 83.167 176.4039
670.000000 83.122 177.2756
680.000000 83.082 178.1600
690.000000 83.047 179.0450
700.000000 83.013 179.9190
710.000000 82.982 -179.2069
720.000000 82.953 -178.3330
730.000000 82.929 -177.4426
740.000000 82.908 -176.5490
750.000000 82.889 -175.6493
762.000000 82.871 -174.5600
775.000000 82.858 -173.3872
788.000000 82.851 -172.2261
800.000000 82.845 -171.1462
812.000000 82.845 -170.0652
825.000000 82.853 -168.9099
838.000000 82.867 -167.7583
850.000000 82.883 -166.6865
862.000000 82.903 -165.6321
875.000000 82.928 -164.5128
885.000000 82.950 -163.6528
900.000000 82.986 -162.3528
912.000000 83.014 -161.2882
925.000000 83.051 -160.0598
938.000000 83.107 -158.7218
950.000000 83.193 -157.4954
962.000000 83.304 -156.4691
975.000000 83.422 -155.6123
988.000000 83.517 -154.8601
1000.000000 83.590 -154.1583
1015.000000 83.679 -153.2508
1030.000000 83.770 -152.3273
1044.000000 83.858 -151.4679
1060.000000 83.963 -150.5068
1075.000000 84.064 -149.6175
1090.000000 84.169 -148.7445
1106.000000 84.285 -147.8438
1120.000000 84.389 -147.0824
1138.000000 84.529 -146.1553
1150.000000 84.623 -145.5662
1172.000000 84.797 -144.5502
1180.000000 84.860 -144.2007
1206.000000 85.064 -143.1280
1220.000000 85.173 -142.5882
1241.000000 85.334 -141.8124
1250.000000 85.402 -141.4884
1265.000000 85.515 -140.9515
1280.000000 85.628 -140.4179
1315.000000 85.889 -139.2111
1320.000000 85.927 -139.0411
1340.000000 86.078 -138.3698
1360.000000 86.231 -137.7122
1380.000000 86.388 -137.0653
1400.000000 86.548 -136.4423
1430.000000 86.795 -135.5414
1450.000000 86.964 -134.9689
1475.000000 87.181 -134.2981
1500.000000 87.404 -133.6778
1525.000000 87.631 -133.1151
1550.000000 87.864 -132.6107
1575.000000 88.100 -132.1652
1600.000000 88.340 -131.7864
1625.000000 88.583 -131.4788
1650.000000 88.827 -131.2362
1675.000000 89.072 -131.0584
1700.000000 89.319 -130.9479
1725.000000 89.566 -130.9036
1750.000000 89.814 -130.9276
1775.000000 90.063 -131.0215
1800.000000 90.311 -131.1826
1825.000000 90.559 -131.4122
1850.000000 90.807 -131.7133
1875.000000 91.054 -132.0890
1900.000000 91.301 -132.5436
1925.000000 91.545 -133.0786
1950.000000 91.786 -133.6945
1975.000000 92.024 -134.3953
2000.000000 92.257 -135.1848
2030.000000 92.530 -136.2462
2060.000000 92.793 -137.4335
2090.000000 93.043 -138.7498
2120.000000 93.279 -140.1933
2140.000000 93.426 -141.2214
2180.000000 93.696 -143.4187
2200.000000 93.816 -144.5825
2240.000000 94.025 -147.0158
2270.000000 94.152 -148.9121
2300.000000 94.252 -150.8452
2330.000000 94.325 -152.7944
2360.000000 94.371 -154.7375
2400.000000 94.391 -157.2758
2430.000000 94.377 -159.1152
2470.000000 94.323 -161.4492
2500.000000 94.259 -163.0917
2540.000000 94.146 -165.1154
2580.000000 94.009 -166.9375
2620.000000 93.853 -168.5451
2650.000000 93.728 -169.6107
2690.000000 93.552 -170.8506
2720.000000 93.418 -171.6496
2760.000000 93.237 -172.5498
2800.000000 93.058 -173.2748
2850.000000 92.840 -173.9563
2900.000000 92.633 -174.4185
2950.000000 92.441 -174.6917
3000.000000 92.263 -174.8070
3040.000000 92.133 -174.8078
3070.000000 92.043 -174.7634
3110.000000 91.931 -174.6576
3150.000000 91.830 -174.5094
3200.000000 91.715 -174.2808
3250.000000 91.609 -174.0181
3300.000000 91.507 -173.7165
3350.000000 91.402 -173.3368
3400.000000 91.295 -172.7964
3450.000000 91.194 -172.0041
3500.000000 91.121 -170.9101
3550.000000 91.102 -169.5786
3600.000000 91.152 -168.1752
3650.000000 91.268 -166.8794
3700.000000 91.437 -165.8165
3750.000000 91.644 -165.0397
3820.000000 91.973 -164.4305
3870.000000 92.226 -164.3190
3950.000000 92.654 -164.6929
4000.000000 92.933 -165.2954
4060.000000 93.273 -166.4475
4120.000000 93.605 -168.1274
4180.000000 93.912 -170.3924
4250.000000 94.203 -173.8020
4310.000000 94.358 -177.3388
4370.000000 94.388 178.6992
4440.000000 94.224 173.8846
4500.000000 93.896 170.0169
4550.000000 93.494 167.3187
4620.000000 92.777 164.9196
4680.000000 92.105 164.6136
4750.000000 91.439 166.5211
4820.000000 91.127 170.0234
4870.000000 91.178 172.3638
4940.000000 91.518 173.9185
5000.000000 91.866 173.2001
5080.000000 92.149 169.9490
5150.000000 92.114 166.1380
5220.000000 91.821 162.5115
5300.000000 91.268 159.3784
5380.000000 90.598 157.5858
5450.000000 89.986 157.0376
5520.000000 89.385 157.3239
5600.000000 88.748 158.6027
5700.000000 88.111 161.1090
5800.000000 87.593 163.7686
5900.000000 87.159 166.7960
