* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -40.0 dBFS with no timing reference
* Dated: Jan 23, 2025 7:56:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kbear Robin R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 94.229 -131.9052
20.600000 94.261 -132.6696
20.900000 94.296 -133.4862
21.200001 94.331 -134.2963
21.400000 94.356 -134.8328
21.799999 94.406 -135.9019
22.000000 94.432 -136.4343
22.400000 94.481 -137.4880
22.700001 94.514 -138.2598
23.000000 94.544 -139.0089
23.299999 94.571 -139.7326
23.600000 94.596 -140.4332
24.000000 94.629 -141.3414
24.299999 94.653 -142.0110
24.700001 94.684 -142.8944
25.000000 94.706 -143.5488
25.400000 94.734 -144.4041
25.799999 94.759 -145.2343
26.200001 94.783 -146.0394
26.500000 94.800 -146.6296
26.900000 94.821 -147.4008
27.200001 94.835 -147.9668
27.600000 94.852 -148.7026
28.000000 94.869 -149.4185
28.500000 94.892 -150.3006
29.000000 94.916 -151.1908
29.500000 94.937 -152.0909
30.000000 94.953 -152.9758
30.400000 94.965 -153.6568
30.700001 94.975 -154.1516
31.100000 94.989 -154.7961
31.500000 95.002 -155.4267
32.000000 95.011 -156.1830
32.500000 95.012 -156.8804
33.000000 95.011 -157.5267
33.500000 95.013 -158.1780
34.000000 95.018 -158.8889
34.500000 95.019 -159.6525
35.000000 95.018 -160.4030
35.500000 95.020 -161.0842
36.000000 95.033 -161.7007
36.500000 95.051 -162.3004
37.000000 95.066 -162.9137
37.500000 95.070 -163.5268
38.200001 95.061 -164.3354
38.700001 95.055 -164.8852
39.500000 95.054 -165.7817
40.000000 95.055 -166.3441
40.599998 95.057 -166.9806
41.200001 95.062 -167.5879
41.799999 95.065 -168.2249
42.500000 95.052 -169.0218
43.099998 95.024 -169.6897
43.700001 94.994 -170.3098
44.400002 94.971 -171.0021
45.000000 94.961 -171.5805
45.500000 94.959 -172.0361
46.200001 94.961 -172.6284
46.799999 94.963 -173.1197
47.500000 94.960 -173.7011
48.200001 94.949 -174.3078
48.700001 94.937 -174.7639
49.400002 94.911 -175.4044
50.000000 94.884 -175.9008
50.799999 94.859 -176.4701
51.500000 94.849 -176.9641
52.200001 94.839 -177.4997
53.000000 94.818 -178.1025
53.799999 94.792 -178.6452
54.500000 94.774 -179.1025
55.200001 94.759 -179.5875
56.000000 94.740 179.8293
57.000000 94.713 179.1276
58.000000 94.684 178.4720
59.000000 94.653 177.8400
60.000000 94.624 177.2015
60.799999 94.597 176.6752
61.500000 94.569 176.2401
62.200001 94.544 175.8403
63.000000 94.521 175.3928
64.000000 94.491 174.8270
65.000000 94.458 174.2839
66.000000 94.422 173.7383
67.000000 94.384 173.2084
68.000000 94.351 172.6960
69.000000 94.315 172.1776
70.000000 94.276 171.6846
71.000000 94.242 171.1974
72.000000 94.208 170.7164
73.000000 94.173 170.2631
74.000000 94.137 169.8178
75.000000 94.100 169.3644
76.199997 94.057 168.8303
77.500000 94.009 168.2836
78.800003 93.960 167.7380
80.000000 93.917 167.2290
81.199997 93.869 166.7473
82.500000 93.816 166.2796
83.800003 93.767 165.8174
85.000000 93.721 165.3770
86.199997 93.673 164.9310
87.500000 93.620 164.4802
88.500000 93.581 164.1375
90.000000 93.520 163.6242
91.199997 93.474 163.2479
92.500000 93.425 162.8412
93.800003 93.371 162.4141
95.000000 93.321 162.0616
96.199997 93.274 161.7490
97.500000 93.226 161.3878
98.800003 93.179 160.9860
100.000000 93.129 160.6299
101.500000 93.063 160.2661
103.000000 93.007 159.9166
104.400002 92.955 159.5612
106.000000 92.889 159.1544
107.500000 92.825 158.7817
109.000000 92.761 158.4436
110.599998 92.702 158.1242
112.000000 92.655 157.8506
113.800003 92.591 157.4328
115.000000 92.542 157.1414
117.199997 92.447 156.6823
118.000000 92.410 156.5403
120.599998 92.301 156.1073
122.000000 92.249 155.8700
124.099998 92.171 155.5184
125.000000 92.138 155.3646
126.500000 92.081 155.1093
128.000000 92.023 154.8533
131.500000 91.878 154.3264
132.000000 91.857 154.2560
134.000000 91.774 153.9875
136.000000 91.700 153.7236
138.000000 91.631 153.4740
140.000000 91.566 153.2744
143.000000 91.454 153.0832
145.000000 91.381 153.0246
147.500000 91.296 152.7369
150.000000 91.206 152.3875
152.500000 91.141 152.0895
155.000000 91.075 151.8928
157.500000 90.989 151.9130
160.000000 90.901 151.7385
162.500000 90.817 151.3971
165.000000 90.723 151.1956
167.500000 90.635 150.9725
170.000000 90.568 150.7677
172.500000 90.492 150.6339
175.000000 90.406 150.4204
177.500000 90.326 150.2426
180.000000 90.248 150.1042
182.500000 90.169 150.0085
185.000000 90.086 149.9213
187.500000 90.006 149.8228
190.000000 89.929 149.7405
192.500000 89.852 149.6623
195.000000 89.776 149.5796
197.500000 89.700 149.5244
200.000000 89.625 149.4784
203.000000 89.536 149.4289
206.000000 89.449 149.3671
209.000000 89.363 149.3162
212.000000 89.278 149.2839
214.000000 89.222 149.2776
218.000000 89.110 149.2640
220.000000 89.054 149.2555
224.000000 88.944 149.2677
227.000000 88.862 149.2887
230.000000 88.782 149.3086
233.000000 88.702 149.3341
236.000000 88.622 149.3676
240.000000 88.518 149.4253
243.000000 88.444 149.4769
247.000000 88.344 149.5627
250.000000 88.269 149.6382
254.000000 88.172 149.7391
258.000000 88.077 149.8628
262.000000 87.984 150.0048
265.000000 87.917 150.1074
269.000000 87.830 150.2451
272.000000 87.764 150.3458
276.000000 87.679 150.4783
280.000000 87.596 150.6233
285.000000 87.493 150.8106
290.000000 87.390 150.9890
295.000000 87.287 151.1935
300.000000 87.185 151.4037
304.000000 87.107 151.5741
307.000000 87.050 151.7150
311.000000 86.973 151.9048
315.000000 86.897 152.0891
320.000000 86.804 152.3328
325.000000 86.710 152.5805
330.000000 86.619 152.8371
335.000000 86.531 153.1101
340.000000 86.444 153.3966
345.000000 86.359 153.6839
350.000000 86.275 153.9715
355.000000 86.192 154.2676
360.000000 86.110 154.5760
365.000000 86.030 154.8879
370.000000 85.953 155.2056
375.000000 85.876 155.5322
382.000000 85.769 155.9959
387.000000 85.696 156.3290
395.000000 85.582 156.8802
400.000000 85.512 157.2261
406.000000 85.430 157.6363
412.000000 85.347 158.0682
418.000000 85.264 158.5191
425.000000 85.176 159.0496
431.000000 85.102 159.5032
437.000000 85.029 159.9658
444.000000 84.946 160.5305
450.000000 84.878 161.0204
455.000000 84.823 161.4359
462.000000 84.751 162.0269
468.000000 84.694 162.5363
475.000000 84.631 163.1197
482.000000 84.575 163.7023
487.000000 84.537 164.1059
494.000000 84.485 164.6425
500.000000 84.440 165.0843
508.000000 84.378 165.6524
515.000000 84.322 166.1411
522.000000 84.268 166.6444
530.000000 84.206 167.2349
538.000000 84.142 167.8319
545.000000 84.089 168.3514
552.000000 84.037 168.8758
560.000000 83.979 169.4866
570.000000 83.909 170.2675
580.000000 83.841 171.0582
590.000000 83.775 171.8686
600.000000 83.713 172.7051
608.000000 83.665 173.3527
615.000000 83.626 173.9221
622.000000 83.589 174.5004
630.000000 83.547 175.1779
640.000000 83.498 176.0331
650.000000 83.453 176.8877
660.000000 83.411 177.7345
670.000000 83.373 178.5740
680.000000 83.338 179.4339
690.000000 83.305 -179.6957
700.000000 83.274 -178.8320
710.000000 83.249 -177.9579
720.000000 83.228 -177.0756
730.000000 83.207 -176.2015
740.000000 83.188 -175.3325
750.000000 83.173 -174.4570
762.000000 83.162 -173.4023
775.000000 83.155 -172.2460
788.000000 83.152 -171.0959
800.000000 83.155 -170.0466
812.000000 83.163 -168.9885
825.000000 83.178 -167.8425
838.000000 83.199 -166.7283
850.000000 83.224 -165.6952
862.000000 83.254 -164.6675
875.000000 83.291 -163.5725
885.000000 83.323 -162.7378
900.000000 83.377 -161.5027
912.000000 83.425 -160.5486
925.000000 83.482 -159.5352
938.000000 83.543 -158.5422
950.000000 83.601 -157.6580
962.000000 83.662 -156.7833
975.000000 83.727 -155.8301
988.000000 83.795 -154.8582
1000.000000 83.868 -153.9714
1015.000000 83.970 -152.9204
1030.000000 84.078 -151.9261
1044.000000 84.181 -151.0381
1060.000000 84.303 -150.0694
1075.000000 84.422 -149.2231
1090.000000 84.544 -148.4427
1106.000000 84.674 -147.6769
1120.000000 84.787 -147.0592
1138.000000 84.931 -146.3224
1150.000000 85.023 -145.8618
1172.000000 85.188 -145.0585
1180.000000 85.246 -144.7771
1206.000000 85.431 -143.9020
1220.000000 85.528 -143.4453
1241.000000 85.672 -142.7766
1250.000000 85.733 -142.4901
1265.000000 85.833 -142.0190
1280.000000 85.932 -141.5604
1315.000000 86.161 -140.5175
1320.000000 86.194 -140.3689
1340.000000 86.327 -139.7760
1360.000000 86.461 -139.1919
1380.000000 86.595 -138.6228
1400.000000 86.730 -138.0587
1430.000000 86.936 -137.2234
1450.000000 87.076 -136.6783
1475.000000 87.256 -136.0119
1500.000000 87.440 -135.3650
1525.000000 87.627 -134.7464
1550.000000 87.820 -134.1572
1575.000000 88.019 -133.5924
1600.000000 88.223 -133.0620
1625.000000 88.432 -132.5705
1650.000000 88.645 -132.1245
1675.000000 88.864 -131.7166
1700.000000 89.089 -131.3633
1725.000000 89.319 -131.0668
1750.000000 89.553 -130.8257
1775.000000 89.791 -130.6503
1800.000000 90.034 -130.5433
1825.000000 90.280 -130.5048
1850.000000 90.529 -130.5408
1875.000000 90.781 -130.6551
1900.000000 91.034 -130.8552
1925.000000 91.289 -131.1427
1950.000000 91.543 -131.5209
1975.000000 91.797 -131.9898
2000.000000 92.048 -132.5536
2030.000000 92.346 -133.3676
2060.000000 92.637 -134.3325
2090.000000 92.919 -135.4335
2120.000000 93.189 -136.6750
2140.000000 93.361 -137.5852
2180.000000 93.682 -139.5879
2200.000000 93.830 -140.6681
2240.000000 94.096 -142.9799
2270.000000 94.267 -144.8282
2300.000000 94.411 -146.7454
2330.000000 94.527 -148.7069
2360.000000 94.615 -150.6929
2400.000000 94.687 -153.3425
2430.000000 94.708 -155.2993
2470.000000 94.695 -157.8161
2500.000000 94.659 -159.6140
2540.000000 94.576 -161.8680
2580.000000 94.461 -163.9269
2620.000000 94.322 -165.7718
2650.000000 94.204 -167.0140
2690.000000 94.034 -168.4812
2720.000000 93.900 -169.4388
2760.000000 93.717 -170.5361
2800.000000 93.532 -171.4373
2850.000000 93.303 -172.3151
2900.000000 93.081 -172.9361
2950.000000 92.872 -173.3358
3000.000000 92.676 -173.5517
3040.000000 92.531 -173.6088
3070.000000 92.430 -173.5921
3110.000000 92.306 -173.5063
3150.000000 92.192 -173.3615
3200.000000 92.066 -173.1154
3250.000000 91.955 -172.8251
3300.000000 91.854 -172.5188
3350.000000 91.759 -172.2024
3400.000000 91.659 -171.8608
3450.000000 91.543 -171.4197
3500.000000 91.410 -170.6992
3550.000000 91.288 -169.4808
3600.000000 91.232 -167.7397
3650.000000 91.287 -165.8056
3700.000000 91.447 -164.1139
3750.000000 91.671 -162.8721
3820.000000 92.027 -161.8263
3870.000000 92.294 -161.4613
3950.000000 92.738 -161.4071
4000.000000 93.028 -161.6901
4060.000000 93.388 -162.3900
4120.000000 93.755 -163.5571
4180.000000 94.120 -165.2535
4250.000000 94.517 -167.9858
4310.000000 94.805 -171.0129
4370.000000 95.008 -174.6647
4440.000000 95.092 -179.5466
4500.000000 94.998 176.0254
4550.000000 94.789 172.4094
4620.000000 94.299 167.9144
4680.000000 93.727 165.0172
4750.000000 92.958 163.1812
4820.000000 92.186 163.1714
4870.000000 91.697 164.1967
4940.000000 91.180 166.7363
5000.000000 90.945 169.5040
5080.000000 90.975 172.9985
5150.000000 91.275 174.6163
5220.000000 91.644 174.0303
5300.000000 91.876 171.1014
5380.000000 91.768 167.3414
5450.000000 91.429 164.4953
5520.000000 90.948 162.5442
5600.000000 90.312 161.6193
5700.000000 89.563 162.4457
5800.000000 88.984 163.9780
