* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -38.0 dBFS with no timing reference
* Dated: Sep 30, 2024 11:30:58 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kinera Wyvern Black L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 93.618 -163.5168
20.600000 93.615 -164.1061
20.900000 93.609 -164.7427
21.200001 93.601 -165.3869
21.400000 93.597 -165.8204
21.799999 93.587 -166.6921
22.000000 93.582 -167.1248
22.400000 93.572 -167.9692
22.700001 93.565 -168.5767
23.000000 93.557 -169.1621
23.299999 93.549 -169.7308
23.600000 93.540 -170.2903
24.000000 93.526 -171.0314
24.299999 93.513 -171.5846
24.700001 93.492 -172.3128
25.000000 93.475 -172.8458
25.400000 93.453 -173.5334
25.799999 93.433 -174.1964
26.200001 93.416 -174.8430
26.500000 93.403 -175.3224
26.900000 93.387 -175.9570
27.200001 93.372 -176.4287
27.600000 93.352 -177.0478
28.000000 93.329 -177.6517
28.500000 93.301 -178.3832
29.000000 93.273 -179.0914
29.500000 93.246 -179.7790
30.000000 93.217 179.5551
30.400000 93.192 179.0395
30.700001 93.172 178.6623
31.100000 93.144 178.1697
31.500000 93.114 177.6857
32.000000 93.078 177.0892
32.500000 93.042 176.5015
33.000000 93.007 175.9250
33.500000 92.973 175.3621
34.000000 92.938 174.8159
34.500000 92.903 174.2878
35.000000 92.867 173.7738
35.500000 92.831 173.2646
36.000000 92.795 172.7536
36.500000 92.757 172.2463
37.000000 92.718 171.7567
37.500000 92.678 171.2936
38.200001 92.624 170.6766
38.700001 92.585 170.2401
39.500000 92.521 169.5460
40.000000 92.481 169.1286
40.599998 92.436 168.6492
41.200001 92.395 168.1801
41.799999 92.355 167.7101
42.500000 92.302 167.1705
43.099998 92.252 166.7367
43.700001 92.202 166.3336
44.400002 92.147 165.8763
45.000000 92.100 165.4744
45.500000 92.060 165.1349
46.200001 92.002 164.6697
46.799999 91.953 164.2859
47.500000 91.898 163.8558
48.200001 91.844 163.4505
48.700001 91.807 163.1765
49.400002 91.753 162.8048
50.000000 91.707 162.4870
50.799999 91.643 162.0575
51.500000 91.586 161.6823
52.200001 91.529 161.3265
53.000000 91.467 160.9507
53.799999 91.406 160.5789
54.500000 91.352 160.2516
55.200001 91.296 159.9445
56.000000 91.237 159.6164
57.000000 91.166 159.2006
58.000000 91.090 158.7881
59.000000 91.011 158.4052
60.000000 90.934 158.0521
60.799999 90.874 157.7900
61.500000 90.822 157.5670
62.200001 90.771 157.3396
63.000000 90.714 157.0726
64.000000 90.642 156.7487
65.000000 90.569 156.4609
66.000000 90.496 156.1991
67.000000 90.425 155.9374
68.000000 90.356 155.6762
69.000000 90.289 155.4125
70.000000 90.219 155.1525
71.000000 90.148 154.9178
72.000000 90.077 154.7065
73.000000 90.008 154.5095
74.000000 89.941 154.3110
75.000000 89.874 154.1074
76.199997 89.795 153.8794
77.500000 89.711 153.6491
78.800003 89.626 153.4286
80.000000 89.549 153.2436
81.199997 89.477 153.0696
82.500000 89.398 152.8886
83.800003 89.316 152.7360
85.000000 89.240 152.6048
86.199997 89.166 152.4755
87.500000 89.088 152.3492
88.500000 89.031 152.2583
90.000000 88.948 152.1269
91.199997 88.880 152.0193
92.500000 88.804 151.9103
93.800003 88.730 151.8107
95.000000 88.662 151.7223
96.199997 88.597 151.6495
97.500000 88.530 151.5780
98.800003 88.461 151.5026
100.000000 88.395 151.4325
101.500000 88.313 151.3763
103.000000 88.235 151.3511
104.400002 88.165 151.3154
106.000000 88.087 151.2737
107.500000 88.012 151.2476
109.000000 87.937 151.2433
110.599998 87.859 151.2446
112.000000 87.795 151.2367
113.800003 87.712 151.2333
115.000000 87.656 151.2298
117.199997 87.555 151.2370
118.000000 87.520 151.2416
120.599998 87.403 151.2729
122.000000 87.341 151.3171
124.099998 87.251 151.3935
125.000000 87.214 151.4279
126.500000 87.154 151.4758
128.000000 87.093 151.5204
131.500000 86.951 151.6204
132.000000 86.932 151.6373
134.000000 86.856 151.7111
136.000000 86.782 151.7973
138.000000 86.708 151.9001
140.000000 86.632 152.0099
143.000000 86.522 152.1522
145.000000 86.452 152.2491
147.500000 86.362 152.4193
150.000000 86.277 152.6034
152.500000 86.197 152.7663
155.000000 86.115 152.9472
157.500000 86.036 153.1206
160.000000 85.961 153.2909
162.500000 85.884 153.4757
165.000000 85.807 153.6763
167.500000 85.731 153.8771
170.000000 85.657 154.0523
172.500000 85.585 154.2646
175.000000 85.512 154.5095
177.500000 85.438 154.7605
180.000000 85.366 155.0049
182.500000 85.300 155.2499
185.000000 85.236 155.5336
187.500000 85.170 155.8571
190.000000 85.109 156.2200
192.500000 85.056 156.6315
195.000000 85.014 157.0492
197.500000 84.986 157.4217
200.000000 84.968 157.7026
203.000000 84.948 157.8904
206.000000 84.916 157.9739
209.000000 84.868 158.0356
212.000000 84.812 158.1389
214.000000 84.773 158.2419
218.000000 84.693 158.5045
220.000000 84.652 158.6403
224.000000 84.573 158.9264
227.000000 84.517 159.1754
230.000000 84.463 159.4367
233.000000 84.410 159.6946
236.000000 84.359 159.9522
240.000000 84.290 160.3105
243.000000 84.241 160.5924
247.000000 84.180 160.9677
250.000000 84.136 161.2344
254.000000 84.078 161.5860
258.000000 84.020 161.9461
262.000000 83.967 162.3294
265.000000 83.927 162.6193
269.000000 83.874 162.9921
272.000000 83.837 163.2675
276.000000 83.789 163.6317
280.000000 83.742 164.0035
285.000000 83.688 164.4772
290.000000 83.634 164.9312
295.000000 83.579 165.3692
300.000000 83.525 165.8069
304.000000 83.487 166.1613
307.000000 83.459 166.4260
311.000000 83.421 166.7809
315.000000 83.386 167.1481
320.000000 83.343 167.5917
325.000000 83.301 168.0267
330.000000 83.260 168.4835
335.000000 83.218 168.9320
340.000000 83.176 169.3865
345.000000 83.139 169.8399
350.000000 83.106 170.2843
355.000000 83.075 170.7423
360.000000 83.045 171.2172
365.000000 83.017 171.6648
370.000000 82.992 172.0937
375.000000 82.969 172.5139
382.000000 82.936 173.0703
387.000000 82.910 173.4633
395.000000 82.870 174.1028
400.000000 82.845 174.4982
406.000000 82.815 174.9608
412.000000 82.787 175.4465
418.000000 82.762 175.9424
425.000000 82.733 176.4980
431.000000 82.706 176.9827
437.000000 82.681 177.4788
444.000000 82.656 178.0441
450.000000 82.635 178.5140
455.000000 82.617 178.9080
462.000000 82.591 179.4867
468.000000 82.570 179.9915
475.000000 82.550 -179.4185
482.000000 82.534 -178.8044
487.000000 82.524 -178.3485
494.000000 82.512 -177.7064
500.000000 82.510 -177.1707
508.000000 82.517 -176.4917
515.000000 82.527 -175.9501
522.000000 82.539 -175.4552
530.000000 82.547 -174.9472
538.000000 82.546 -174.4640
545.000000 82.542 -174.0094
552.000000 82.536 -173.5470
560.000000 82.527 -173.0166
570.000000 82.519 -172.3380
580.000000 82.513 -171.6533
590.000000 82.505 -170.9480
600.000000 82.501 -170.2365
608.000000 82.500 -169.6682
615.000000 82.500 -169.1635
622.000000 82.500 -168.6587
630.000000 82.502 -168.0804
640.000000 82.507 -167.3563
650.000000 82.515 -166.6274
660.000000 82.524 -165.9005
670.000000 82.534 -165.1752
680.000000 82.546 -164.4465
690.000000 82.560 -163.7121
700.000000 82.576 -162.9748
710.000000 82.594 -162.2441
720.000000 82.614 -161.5027
730.000000 82.637 -160.7533
740.000000 82.661 -159.9958
750.000000 82.688 -159.2360
762.000000 82.723 -158.3278
775.000000 82.766 -157.3468
788.000000 82.816 -156.3450
800.000000 82.864 -155.4038
812.000000 82.916 -154.4567
825.000000 82.979 -153.4375
838.000000 83.051 -152.4077
850.000000 83.124 -151.4524
862.000000 83.205 -150.4912
875.000000 83.304 -149.4508
885.000000 83.388 -148.6685
900.000000 83.525 -147.5302
912.000000 83.647 -146.6588
925.000000 83.793 -145.7985
938.000000 83.947 -145.0385
950.000000 84.092 -144.4237
962.000000 84.237 -143.8884
975.000000 84.392 -143.3917
988.000000 84.542 -142.9736
1000.000000 84.674 -142.6399
1015.000000 84.833 -142.2702
1030.000000 84.987 -141.9436
1044.000000 85.125 -141.6689
1060.000000 85.278 -141.3767
1075.000000 85.417 -141.1255
1090.000000 85.553 -140.8876
1106.000000 85.695 -140.6548
1120.000000 85.818 -140.4785
1138.000000 85.972 -140.2689
1150.000000 86.073 -140.1409
1172.000000 86.255 -139.9364
1180.000000 86.319 -139.8715
1206.000000 86.524 -139.6897
1220.000000 86.631 -139.6038
1241.000000 86.788 -139.4851
1250.000000 86.853 -139.4430
1265.000000 86.958 -139.3797
1280.000000 87.062 -139.3103
1315.000000 87.303 -139.1030
1320.000000 87.338 -139.0732
1340.000000 87.478 -138.9669
1360.000000 87.619 -138.8784
1380.000000 87.757 -138.8030
1400.000000 87.894 -138.7404
1430.000000 88.099 -138.6632
1450.000000 88.236 -138.6269
1475.000000 88.406 -138.5933
1500.000000 88.577 -138.5751
1525.000000 88.749 -138.5779
1550.000000 88.923 -138.6036
1575.000000 89.098 -138.6549
1600.000000 89.274 -138.7302
1625.000000 89.451 -138.8339
1650.000000 89.630 -138.9662
1675.000000 89.809 -139.1370
1700.000000 89.989 -139.3481
1725.000000 90.168 -139.5935
1750.000000 90.348 -139.8827
1775.000000 90.529 -140.2125
1800.000000 90.709 -140.5858
1825.000000 90.888 -141.0029
1850.000000 91.065 -141.4676
1875.000000 91.240 -141.9796
1900.000000 91.414 -142.5420
1925.000000 91.584 -143.1546
1950.000000 91.752 -143.8108
1975.000000 91.915 -144.5149
2000.000000 92.073 -145.2667
2030.000000 92.257 -146.2270
2060.000000 92.432 -147.2496
2090.000000 92.599 -148.3317
2120.000000 92.755 -149.4625
2140.000000 92.853 -150.2456
2180.000000 93.035 -151.8710
2200.000000 93.117 -152.7060
2240.000000 93.266 -154.4128
2270.000000 93.363 -155.7147
2300.000000 93.447 -157.0261
2330.000000 93.519 -158.3392
2360.000000 93.577 -159.6480
2400.000000 93.637 -161.3714
2430.000000 93.669 -162.6373
2470.000000 93.694 -164.2778
2500.000000 93.702 -165.4661
2540.000000 93.700 -166.9903
2580.000000 93.685 -168.4379
2620.000000 93.658 -169.7974
2650.000000 93.632 -170.7589
2690.000000 93.590 -171.9625
2720.000000 93.556 -172.8087
2760.000000 93.507 -173.8615
2800.000000 93.455 -174.8283
2850.000000 93.390 -175.9253
2900.000000 93.328 -176.9100
2950.000000 93.269 -177.7932
3000.000000 93.216 -178.5889
3040.000000 93.179 -179.1722
3070.000000 93.156 -179.5821
3110.000000 93.130 179.9029
3150.000000 93.110 179.4143
3200.000000 93.094 178.8309
3250.000000 93.090 178.2668
3300.000000 93.097 177.7043
3350.000000 93.115 177.1273
3400.000000 93.145 176.5248
3450.000000 93.184 175.8855
3500.000000 93.233 175.1941
3550.000000 93.291 174.4370
3600.000000 93.356 173.6084
3650.000000 93.430 172.6934
3700.000000 93.510 171.6746
3750.000000 93.598 170.5305
3820.000000 93.726 168.6591
3870.000000 93.812 167.0963
3950.000000 93.924 164.1963
4000.000000 93.968 162.1527
4060.000000 93.985 159.5007
4120.000000 93.956 156.6766
4180.000000 93.875 153.7347
4250.000000 93.710 150.2417
4310.000000 93.505 147.2768
4370.000000 93.243 144.4164
4440.000000 92.871 141.3016
4500.000000 92.503 138.8844
4550.000000 92.166 137.0807
4620.000000 91.660 134.9100
4680.000000 91.202 133.3925
4750.000000 90.652 132.0263
4820.000000 90.094 131.0884
4870.000000 89.696 130.6711
4940.000000 89.150 130.4152
5000.000000 88.695 130.4636
5080.000000 88.114 130.8528
5150.000000 87.630 131.4523
5220.000000 87.168 132.2623
5300.000000 86.666 133.4238
5380.000000 86.194 134.8311
5450.000000 85.808 136.2630
5520.000000 85.454 137.8718
5600.000000 85.096 139.8207
5700.000000 84.699 142.2232
5800.000000 84.327 144.7534
5900.000000 83.997 147.5132
6000.000000 83.719 150.4415
6080.000000 83.537 152.8570
