* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -38.0 dBFS with no timing reference
* Dated: Sep 30, 2024 11:31:49 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kinera Wyvern Black R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 92.112 -147.9414
20.600000 92.125 -148.6610
20.900000 92.134 -149.4425
21.200001 92.140 -150.2293
21.400000 92.143 -150.7535
21.799999 92.152 -151.7943
22.000000 92.158 -152.3071
22.400000 92.172 -153.3073
22.700001 92.184 -154.0293
23.000000 92.196 -154.7249
23.299999 92.207 -155.3964
23.600000 92.215 -156.0496
24.000000 92.223 -156.9058
24.299999 92.226 -157.5460
24.700001 92.228 -158.4038
25.000000 92.228 -159.0480
25.400000 92.225 -159.8967
25.799999 92.221 -160.7179
26.200001 92.217 -161.5018
26.500000 92.214 -162.0667
26.900000 92.209 -162.7979
27.200001 92.205 -163.3362
27.600000 92.197 -164.0462
28.000000 92.189 -164.7491
28.500000 92.179 -165.6209
29.000000 92.171 -166.4911
29.500000 92.160 -167.3509
30.000000 92.143 -168.1646
30.400000 92.127 -168.7607
30.700001 92.115 -169.1791
31.100000 92.104 -169.7225
31.500000 92.097 -170.2831
32.000000 92.087 -171.0300
32.500000 92.070 -171.7912
33.000000 92.046 -172.5052
33.500000 92.023 -173.1602
34.000000 92.003 -173.7959
34.500000 91.980 -174.4384
35.000000 91.951 -175.0667
35.500000 91.922 -175.6573
36.000000 91.898 -176.2287
36.500000 91.878 -176.8171
37.000000 91.854 -177.4203
37.500000 91.821 -177.9954
38.200001 91.773 -178.7142
38.700001 91.743 -179.2102
39.500000 91.702 179.9396
40.000000 91.674 179.3949
40.599998 91.640 178.7743
41.200001 91.608 178.1995
41.799999 91.577 177.6627
42.500000 91.540 177.0718
43.099998 91.507 176.5689
43.700001 91.473 176.0431
44.400002 91.428 175.4113
45.000000 91.386 174.8922
45.500000 91.352 174.4901
46.200001 91.308 173.9610
46.799999 91.272 173.5159
47.500000 91.227 172.9971
48.200001 91.179 172.4951
48.700001 91.145 172.1558
49.400002 91.099 171.7048
50.000000 91.061 171.3260
50.799999 91.011 170.8065
51.500000 90.966 170.3372
52.200001 90.919 169.8788
53.000000 90.869 169.3857
53.799999 90.822 168.9055
54.500000 90.776 168.4930
55.200001 90.726 168.1061
56.000000 90.669 167.6898
57.000000 90.603 167.1730
58.000000 90.540 166.6749
59.000000 90.473 166.2089
60.000000 90.405 165.7525
60.799999 90.354 165.3816
61.500000 90.311 165.0533
62.200001 90.267 164.7407
63.000000 90.214 164.4214
64.000000 90.150 164.0472
65.000000 90.084 163.6678
66.000000 90.020 163.2763
67.000000 89.953 162.8084
68.000000 89.877 162.3871
69.000000 89.814 162.1285
70.000000 89.764 161.8891
71.000000 89.708 161.6082
72.000000 89.647 161.3112
73.000000 89.586 161.0220
74.000000 89.524 160.7624
75.000000 89.463 160.5091
76.199997 89.392 160.1878
77.500000 89.314 159.8520
78.800003 89.235 159.5601
80.000000 89.166 159.3008
81.199997 89.099 159.0548
82.500000 89.024 158.7977
83.800003 88.950 158.5477
85.000000 88.884 158.3229
86.199997 88.817 158.1099
87.500000 88.741 157.8938
88.500000 88.684 157.7376
90.000000 88.605 157.5073
91.199997 88.541 157.3527
92.500000 88.466 157.2028
93.800003 88.391 157.0326
95.000000 88.329 156.8732
96.199997 88.269 156.7319
97.500000 88.204 156.5962
98.800003 88.139 156.4683
100.000000 88.079 156.3535
101.500000 88.005 156.2068
103.000000 87.932 156.0836
104.400002 87.865 155.9840
106.000000 87.787 155.8817
107.500000 87.716 155.7952
109.000000 87.648 155.7079
110.599998 87.573 155.6339
112.000000 87.507 155.5839
113.800003 87.427 155.5182
115.000000 87.376 155.4668
117.199997 87.281 155.3764
118.000000 87.246 155.3582
120.599998 87.136 155.3140
122.000000 87.075 155.2857
124.099998 86.987 155.2571
125.000000 86.951 155.2540
126.500000 86.890 155.2510
128.000000 86.830 155.2476
131.500000 86.694 155.2539
132.000000 86.675 155.2542
134.000000 86.599 155.2733
136.000000 86.522 155.3184
138.000000 86.448 155.3578
140.000000 86.374 155.3971
143.000000 86.271 155.4704
145.000000 86.204 155.5392
147.500000 86.119 155.6318
150.000000 86.034 155.7190
152.500000 85.952 155.8231
155.000000 85.870 155.9381
157.500000 85.789 156.0490
160.000000 85.710 156.1768
162.500000 85.630 156.3236
165.000000 85.551 156.5038
167.500000 85.473 156.7253
170.000000 85.402 156.9403
172.500000 85.333 157.1637
175.000000 85.269 157.4177
177.500000 85.214 157.6943
180.000000 85.164 157.9526
182.500000 85.114 158.0971
185.000000 85.070 158.2446
187.500000 85.026 158.4124
190.000000 84.977 158.5867
192.500000 84.926 158.7482
195.000000 84.876 158.9066
197.500000 84.828 159.0594
200.000000 84.783 159.2101
203.000000 84.726 159.3847
206.000000 84.664 159.5803
209.000000 84.606 159.7708
212.000000 84.548 159.9445
214.000000 84.509 160.0693
218.000000 84.432 160.3561
220.000000 84.396 160.5000
224.000000 84.325 160.7890
227.000000 84.271 161.0022
230.000000 84.217 161.2178
233.000000 84.165 161.4401
236.000000 84.116 161.6797
240.000000 84.052 162.0115
243.000000 84.007 162.2532
247.000000 83.946 162.5681
250.000000 83.900 162.8014
254.000000 83.843 163.1292
258.000000 83.789 163.4481
262.000000 83.734 163.7764
265.000000 83.693 164.0298
269.000000 83.639 164.3712
272.000000 83.602 164.6241
276.000000 83.554 164.9634
280.000000 83.507 165.2949
285.000000 83.447 165.7201
290.000000 83.387 166.1414
295.000000 83.332 166.5479
300.000000 83.280 166.9475
304.000000 83.238 167.2680
307.000000 83.209 167.5306
311.000000 83.171 167.8930
315.000000 83.133 168.2342
320.000000 83.087 168.6724
325.000000 83.045 169.1188
330.000000 83.006 169.5624
335.000000 82.967 169.9784
340.000000 82.931 170.3728
345.000000 82.896 170.7940
350.000000 82.861 171.2038
355.000000 82.829 171.6153
360.000000 82.798 172.0176
365.000000 82.766 172.3974
370.000000 82.733 172.7895
375.000000 82.703 173.1976
382.000000 82.663 173.7696
387.000000 82.635 174.1780
395.000000 82.597 174.7980
400.000000 82.573 175.1755
406.000000 82.545 175.6407
412.000000 82.518 176.0973
418.000000 82.493 176.5463
425.000000 82.463 177.0796
431.000000 82.438 177.5364
437.000000 82.412 178.0005
444.000000 82.385 178.5513
450.000000 82.365 179.0103
455.000000 82.348 179.3950
462.000000 82.324 179.9160
468.000000 82.304 -179.6403
475.000000 82.282 -179.1166
482.000000 82.263 -178.5894
487.000000 82.250 -178.2163
494.000000 82.230 -177.6966
500.000000 82.213 -177.2509
508.000000 82.195 -176.6381
515.000000 82.182 -176.0989
522.000000 82.168 -175.5686
530.000000 82.154 -174.9419
538.000000 82.142 -174.3181
545.000000 82.131 -173.7883
552.000000 82.123 -173.2569
560.000000 82.116 -172.6320
570.000000 82.110 -171.8531
580.000000 82.110 -171.0896
590.000000 82.112 -170.3456
600.000000 82.116 -169.6194
608.000000 82.121 -169.0419
615.000000 82.124 -168.5549
622.000000 82.127 -168.0744
630.000000 82.129 -167.5100
640.000000 82.132 -166.7951
650.000000 82.139 -166.0766
660.000000 82.147 -165.3702
670.000000 82.155 -164.6624
680.000000 82.164 -163.9316
690.000000 82.174 -163.1844
700.000000 82.187 -162.4337
710.000000 82.201 -161.6725
720.000000 82.219 -160.9089
730.000000 82.239 -160.1511
740.000000 82.262 -159.3989
750.000000 82.287 -158.6388
762.000000 82.320 -157.7020
775.000000 82.357 -156.6755
788.000000 82.399 -155.6335
800.000000 82.447 -154.6558
812.000000 82.499 -153.6851
825.000000 82.560 -152.6159
838.000000 82.632 -151.5219
850.000000 82.709 -150.5132
862.000000 82.791 -149.5043
875.000000 82.891 -148.4086
885.000000 82.978 -147.5689
900.000000 83.122 -146.3567
912.000000 83.251 -145.4406
925.000000 83.404 -144.5213
938.000000 83.569 -143.6998
950.000000 83.726 -143.0469
962.000000 83.884 -142.5009
975.000000 84.053 -142.0229
988.000000 84.217 -141.6393
1000.000000 84.362 -141.3421
1015.000000 84.533 -141.0440
1030.000000 84.694 -140.8073
1044.000000 84.837 -140.6088
1060.000000 84.992 -140.3969
1075.000000 85.132 -140.2176
1090.000000 85.267 -140.0511
1106.000000 85.406 -139.8817
1120.000000 85.525 -139.7475
1138.000000 85.675 -139.5903
1150.000000 85.774 -139.4900
1172.000000 85.951 -139.3274
1180.000000 86.014 -139.2779
1206.000000 86.217 -139.1510
1220.000000 86.323 -139.1080
1241.000000 86.482 -139.0892
1250.000000 86.548 -139.1057
1265.000000 86.654 -139.1793
1280.000000 86.744 -139.3026
1315.000000 86.880 -139.2682
1320.000000 86.900 -139.1779
1340.000000 87.009 -138.7403
1360.000000 87.150 -138.4039
1380.000000 87.298 -138.2100
1400.000000 87.442 -138.0942
1430.000000 87.651 -137.9786
1450.000000 87.788 -137.9164
1475.000000 87.957 -137.8562
1500.000000 88.124 -137.8154
1525.000000 88.291 -137.7944
1550.000000 88.459 -137.7897
1575.000000 88.627 -137.8023
1600.000000 88.796 -137.8390
1625.000000 88.967 -137.8995
1650.000000 89.140 -137.9958
1675.000000 89.312 -138.1217
1700.000000 89.485 -138.2774
1725.000000 89.658 -138.4670
1750.000000 89.832 -138.6920
1775.000000 90.007 -138.9580
1800.000000 90.181 -139.2654
1825.000000 90.354 -139.6136
1850.000000 90.526 -140.0031
1875.000000 90.697 -140.4338
1900.000000 90.866 -140.9082
1925.000000 91.033 -141.4267
1950.000000 91.197 -141.9895
1975.000000 91.359 -142.5996
2000.000000 91.517 -143.2565
2030.000000 91.701 -144.1021
2060.000000 91.878 -145.0047
2090.000000 92.048 -145.9635
2120.000000 92.209 -146.9791
2140.000000 92.311 -147.6852
2180.000000 92.502 -149.1557
2200.000000 92.590 -149.9159
2240.000000 92.753 -151.4822
2270.000000 92.861 -152.6879
2300.000000 92.958 -153.9106
2330.000000 93.043 -155.1450
2360.000000 93.116 -156.3839
2400.000000 93.196 -158.0299
2430.000000 93.243 -159.2524
2470.000000 93.289 -160.8522
2500.000000 93.312 -162.0232
2540.000000 93.329 -163.5377
2580.000000 93.331 -164.9883
2620.000000 93.320 -166.3644
2650.000000 93.306 -167.3464
2690.000000 93.278 -168.5915
2720.000000 93.252 -169.4740
2760.000000 93.212 -170.5756
2800.000000 93.168 -171.5959
2850.000000 93.109 -172.7672
2900.000000 93.051 -173.8237
2950.000000 92.993 -174.7795
3000.000000 92.938 -175.6457
3040.000000 92.898 -176.2785
3070.000000 92.871 -176.7235
3110.000000 92.838 -177.2818
3150.000000 92.810 -177.8065
3200.000000 92.782 -178.4274
3250.000000 92.762 -179.0167
3300.000000 92.752 -179.5878
3350.000000 92.751 179.8502
3400.000000 92.758 179.2888
3450.000000 92.775 178.7203
3500.000000 92.801 178.1345
3550.000000 92.838 177.5206
3600.000000 92.888 176.8617
3650.000000 92.951 176.1249
3700.000000 93.024 175.2721
3750.000000 93.104 174.2688
3820.000000 93.215 172.5956
3870.000000 93.286 171.2133
3950.000000 93.374 168.7055
4000.000000 93.409 166.9670
4060.000000 93.425 164.7241
4120.000000 93.407 162.3316
4180.000000 93.350 159.8206
4250.000000 93.228 156.7997
4310.000000 93.072 154.1896
4370.000000 92.868 151.6218
4440.000000 92.570 148.7542
4500.000000 92.266 146.4658
4550.000000 91.983 144.7139
4620.000000 91.548 142.5416
4680.000000 91.145 140.9715
4750.000000 90.651 139.5063
4820.000000 90.143 138.4476
4870.000000 89.779 137.9313
4940.000000 89.274 137.5175
5000.000000 88.852 137.4124
5080.000000 88.306 137.5840
5150.000000 87.844 137.9867
5220.000000 87.399 138.6024
5300.000000 86.908 139.5572
5380.000000 86.436 140.7864
5450.000000 86.042 142.1472
5520.000000 85.685 143.8656
5600.000000 85.372 145.9889
5700.000000 85.042 148.0494
5800.000000 84.677 150.1763
5900.000000 84.340 152.7130
