* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at -35.0 dBFS with no timing reference
* Dated: Nov 15, 2024 6:13:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kinera Wyvern Abyss L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 94.435 -145.1674
20.600000 94.451 -145.9274
20.900000 94.469 -146.7510
21.200001 94.489 -147.5806
21.400000 94.503 -148.1338
21.799999 94.532 -149.2283
22.000000 94.545 -149.7613
22.400000 94.570 -150.7814
22.700001 94.586 -151.5031
23.000000 94.601 -152.1977
23.299999 94.613 -152.8839
23.600000 94.622 -153.5806
24.000000 94.627 -154.5412
24.299999 94.622 -155.2749
24.700001 94.609 -156.2276
25.000000 94.598 -156.8893
25.400000 94.590 -157.6757
25.799999 94.600 -158.3739
26.200001 94.628 -159.0518
26.500000 94.654 -159.5908
26.900000 94.684 -160.3792
27.200001 94.695 -161.0146
27.600000 94.687 -161.8777
28.000000 94.659 -162.7027
28.500000 94.614 -163.6267
29.000000 94.578 -164.4469
29.500000 94.563 -165.2310
30.000000 94.562 -166.0308
30.400000 94.564 -166.6847
30.700001 94.563 -167.1747
31.100000 94.556 -167.8162
31.500000 94.544 -168.4367
32.000000 94.523 -169.1835
32.500000 94.502 -169.9089
33.000000 94.482 -170.6245
33.500000 94.465 -171.3366
34.000000 94.450 -172.0453
34.500000 94.433 -172.7456
35.000000 94.413 -173.4269
35.500000 94.391 -174.0750
36.000000 94.368 -174.6798
36.500000 94.349 -175.2481
37.000000 94.333 -175.8030
37.500000 94.317 -176.3683
38.200001 94.284 -177.1782
38.700001 94.251 -177.7403
39.500000 94.197 -178.5790
40.000000 94.171 -179.0921
40.599998 94.145 -179.7312
41.200001 94.118 179.6192
41.799999 94.086 179.0083
42.500000 94.047 178.3660
43.099998 94.017 177.8306
43.700001 93.987 177.2720
44.400002 93.946 176.6183
45.000000 93.908 176.1029
45.500000 93.877 175.7067
46.200001 93.837 175.1649
46.799999 93.798 174.6946
47.500000 93.748 174.1523
48.200001 93.698 173.6137
48.700001 93.663 173.2188
49.400002 93.614 172.6676
50.000000 93.572 172.2346
50.799999 93.524 171.7172
51.500000 93.491 171.2576
52.200001 93.457 170.7726
53.000000 93.414 170.2391
53.799999 93.371 169.7377
54.500000 93.327 169.3106
55.200001 93.277 168.9193
56.000000 93.223 168.5173
57.000000 93.168 167.9750
58.000000 93.107 167.3889
59.000000 93.035 166.8845
60.000000 92.968 166.4026
60.799999 92.919 165.9711
61.500000 92.877 165.5868
62.200001 92.834 165.2350
63.000000 92.784 164.8854
64.000000 92.719 164.4862
65.000000 92.655 164.0684
66.000000 92.593 163.6382
67.000000 92.533 163.2360
68.000000 92.470 162.8318
69.000000 92.400 162.4439
70.000000 92.334 162.1266
71.000000 92.279 161.8232
72.000000 92.224 161.4855
73.000000 92.165 161.1383
74.000000 92.106 160.7896
75.000000 92.044 160.4332
76.199997 91.959 160.0647
77.500000 91.870 159.8192
78.800003 91.803 159.6111
80.000000 91.753 159.2949
81.199997 91.691 158.8676
82.500000 91.606 158.4701
83.800003 91.524 158.1783
85.000000 91.447 157.9364
86.199997 91.373 157.7583
87.500000 91.308 157.5791
88.500000 91.263 157.3781
90.000000 91.177 157.0497
91.199997 91.103 156.8500
92.500000 91.035 156.6502
93.800003 90.970 156.4379
95.000000 90.905 156.2369
96.199997 90.837 156.0751
97.500000 90.767 155.9275
98.800003 90.700 155.7680
100.000000 90.637 155.6273
101.500000 90.560 155.4785
103.000000 90.488 155.3199
104.400002 90.422 155.1766
106.000000 90.348 155.0434
107.500000 90.282 154.9411
109.000000 90.216 154.8355
110.599998 90.139 154.7076
112.000000 90.069 154.6044
113.800003 89.982 154.4739
115.000000 89.927 154.3860
117.199997 89.829 154.2375
118.000000 89.794 154.1943
120.599998 89.682 154.0814
122.000000 89.621 154.0347
124.099998 89.529 153.9798
125.000000 89.490 153.9623
126.500000 89.426 153.9236
128.000000 89.362 153.8846
131.500000 89.221 153.8363
132.000000 89.202 153.8304
134.000000 89.125 153.8117
136.000000 89.047 153.7898
138.000000 88.970 153.7930
140.000000 88.894 153.8120
143.000000 88.779 153.8482
145.000000 88.706 153.8891
147.500000 88.619 153.9322
150.000000 88.530 153.9814
152.500000 88.444 154.0432
155.000000 88.359 154.1160
157.500000 88.279 154.1767
160.000000 88.199 154.2531
162.500000 88.120 154.3333
165.000000 88.040 154.4548
167.500000 87.963 154.5845
170.000000 87.889 154.7094
172.500000 87.817 154.8147
175.000000 87.741 154.9021
177.500000 87.663 155.0502
180.000000 87.588 155.2073
182.500000 87.512 155.3509
185.000000 87.436 155.5206
187.500000 87.371 155.7117
190.000000 87.315 155.8482
192.500000 87.254 155.9709
195.000000 87.189 156.1969
197.500000 87.121 156.4867
200.000000 87.047 156.7592
203.000000 86.964 156.9342
206.000000 86.914 157.1626
209.000000 86.843 157.5574
212.000000 86.766 157.8972
214.000000 86.710 158.2000
218.000000 86.645 159.0525
220.000000 86.647 159.5217
224.000000 86.677 160.2159
227.000000 86.713 160.0220
230.000000 86.667 159.7601
233.000000 86.564 159.7464
236.000000 86.494 159.5933
240.000000 86.429 159.5776
243.000000 86.378 159.9214
247.000000 86.299 160.1405
250.000000 86.247 160.3043
254.000000 86.168 160.6102
258.000000 86.093 160.9250
262.000000 86.028 161.2050
265.000000 85.984 161.4432
269.000000 85.923 161.7650
272.000000 85.879 162.0130
276.000000 85.821 162.3148
280.000000 85.765 162.6396
285.000000 85.699 163.0563
290.000000 85.636 163.4577
295.000000 85.573 163.8469
300.000000 85.514 164.2649
304.000000 85.469 164.5872
307.000000 85.436 164.8244
311.000000 85.390 165.1584
315.000000 85.346 165.5123
320.000000 85.294 165.9406
325.000000 85.243 166.3385
330.000000 85.195 166.7430
335.000000 85.148 167.1844
340.000000 85.099 167.6033
345.000000 85.053 167.9905
350.000000 85.016 168.3862
355.000000 84.980 168.8408
360.000000 84.939 169.2721
365.000000 84.899 169.6340
370.000000 84.863 170.0300
375.000000 84.835 170.3592
382.000000 84.777 171.0547
387.000000 84.714 171.4719
395.000000 84.646 172.2228
400.000000 84.588 172.4767
406.000000 84.522 172.6544
412.000000 84.506 173.0887
418.000000 84.523 173.6349
425.000000 84.514 174.3411
431.000000 84.486 174.8583
437.000000 84.448 175.3945
444.000000 84.400 175.8884
450.000000 84.371 176.3423
455.000000 84.370 176.7989
462.000000 84.355 177.2351
468.000000 84.285 177.7231
475.000000 84.237 178.6639
482.000000 84.206 179.5156
487.000000 84.203 -179.8419
494.000000 84.239 -179.2075
500.000000 84.276 -178.9100
508.000000 84.255 -178.5710
515.000000 84.181 -178.1332
522.000000 84.131 -177.7100
530.000000 84.106 -177.1613
538.000000 84.088 -176.5165
545.000000 84.074 -175.9667
552.000000 84.059 -175.3840
560.000000 84.045 -174.7049
570.000000 84.038 -173.9302
580.000000 84.022 -173.0796
590.000000 84.022 -172.2058
600.000000 84.016 -171.4120
608.000000 84.020 -170.7799
615.000000 84.019 -170.2644
622.000000 84.015 -169.6984
630.000000 84.012 -169.0513
640.000000 84.015 -168.2516
650.000000 84.021 -167.4158
660.000000 84.029 -166.5909
670.000000 84.038 -165.7362
680.000000 84.052 -164.8574
690.000000 84.072 -163.9669
700.000000 84.092 -163.0829
710.000000 84.123 -162.1722
720.000000 84.160 -161.2784
730.000000 84.204 -160.3965
740.000000 84.257 -159.4918
750.000000 84.313 -158.5933
762.000000 84.386 -157.5593
775.000000 84.479 -156.4843
788.000000 84.580 -155.4899
800.000000 84.685 -154.6215
812.000000 84.790 -153.8147
825.000000 84.908 -153.0074
838.000000 85.018 -152.2290
850.000000 85.116 -151.6056
862.000000 85.234 -151.0454
875.000000 85.348 -150.4921
885.000000 85.428 -150.0846
900.000000 85.550 -149.4731
912.000000 85.647 -148.9983
925.000000 85.751 -148.4878
938.000000 85.856 -147.9857
950.000000 85.952 -147.5349
962.000000 86.048 -147.0933
975.000000 86.152 -146.6313
988.000000 86.257 -146.1858
1000.000000 86.354 -145.7819
1015.000000 86.478 -145.2914
1030.000000 86.607 -144.8597
1044.000000 86.728 -144.4871
1060.000000 86.864 -144.0818
1075.000000 86.991 -143.7333
1090.000000 87.120 -143.4145
1106.000000 87.256 -143.1060
1120.000000 87.374 -142.8671
1138.000000 87.523 -142.5917
1150.000000 87.622 -142.4317
1172.000000 87.805 -142.2119
1180.000000 87.870 -142.1571
1206.000000 88.064 -142.0817
1220.000000 88.152 -142.0441
1241.000000 88.275 -141.8108
1250.000000 88.336 -141.6687
1265.000000 88.446 -141.4814
1280.000000 88.557 -141.3737
1315.000000 88.796 -141.1937
1320.000000 88.830 -141.1669
1340.000000 88.963 -141.0617
1360.000000 89.095 -140.9631
1380.000000 89.228 -140.8734
1400.000000 89.360 -140.7957
1430.000000 89.557 -140.6978
1450.000000 89.688 -140.6617
1475.000000 89.854 -140.6150
1500.000000 90.017 -140.5595
1525.000000 90.181 -140.5403
1550.000000 90.348 -140.5426
1575.000000 90.515 -140.5738
1600.000000 90.683 -140.6357
1625.000000 90.850 -140.7330
1650.000000 91.021 -140.8441
1675.000000 91.194 -140.9848
1700.000000 91.366 -141.1662
1725.000000 91.538 -141.3858
1750.000000 91.710 -141.6390
1775.000000 91.882 -141.9276
1800.000000 92.056 -142.2571
1825.000000 92.228 -142.6354
1850.000000 92.399 -143.0561
1875.000000 92.568 -143.5196
1900.000000 92.736 -144.0283
1925.000000 92.902 -144.5829
1950.000000 93.065 -145.1830
1975.000000 93.225 -145.8307
2000.000000 93.380 -146.5242
2030.000000 93.562 -147.4149
2060.000000 93.736 -148.3698
2090.000000 93.902 -149.3837
2120.000000 94.059 -150.4471
2140.000000 94.160 -151.1845
2180.000000 94.346 -152.7281
2200.000000 94.431 -153.5273
2240.000000 94.588 -155.1639
2270.000000 94.692 -156.4174
2300.000000 94.784 -157.6896
2330.000000 94.865 -158.9750
2360.000000 94.934 -160.2657
2400.000000 95.007 -161.9833
2430.000000 95.049 -163.2611
2470.000000 95.089 -164.9376
2500.000000 95.106 -166.1686
2540.000000 95.114 -167.7639
2580.000000 95.108 -169.2968
2620.000000 95.088 -170.7578
2650.000000 95.065 -171.8013
2690.000000 95.026 -173.1219
2720.000000 94.992 -174.0594
2760.000000 94.942 -175.2393
2800.000000 94.888 -176.3411
2850.000000 94.816 -177.6154
2900.000000 94.741 -178.7797
2950.000000 94.667 -179.8432
3000.000000 94.596 179.1799
3040.000000 94.542 178.4533
3070.000000 94.503 177.9376
3110.000000 94.455 177.2823
3150.000000 94.411 176.6593
3200.000000 94.362 175.9118
3250.000000 94.319 175.1871
3300.000000 94.284 174.4801
3350.000000 94.255 173.7776
3400.000000 94.232 173.0722
3450.000000 94.216 172.3570
3500.000000 94.206 171.6264
3550.000000 94.204 170.8652
3600.000000 94.210 170.0484
3650.000000 94.223 169.1537
3700.000000 94.238 168.1589
3750.000000 94.250 167.0552
3820.000000 94.257 165.3387
3870.000000 94.251 163.9951
3950.000000 94.214 161.6652
4000.000000 94.170 160.1143
4060.000000 94.093 158.1692
4120.000000 93.985 156.1660
4180.000000 93.845 154.1472
4250.000000 93.638 151.7994
4310.000000 93.422 149.8391
4370.000000 93.172 147.9731
4440.000000 92.840 145.9741
4500.000000 92.525 144.4593
4550.000000 92.246 143.3591
4620.000000 91.840 142.0709
4680.000000 91.484 141.1890
4750.000000 91.064 140.3865
4820.000000 90.639 139.8032
4870.000000 90.334 139.5239
4940.000000 89.905 139.3331
5000.000000 89.537 139.3618
5080.000000 89.053 139.6658
5150.000000 88.638 140.1662
5220.000000 88.232 140.8760
5300.000000 87.778 141.9514
5380.000000 87.334 143.3897
5450.000000 86.968 145.1271
5520.000000 86.684 147.3149
5600.000000 86.495 149.6127
5700.000000 86.320 151.5538
5800.000000 86.069 153.0369
5900.000000 85.778 155.0397
6000.000000 85.532 157.4524
6080.000000 85.379 159.5046
6150.000000 85.274 161.3380
