* Measurement data measured by REW V5.30
* Source: Input device not selected, no input selected, L, volume: 0.000
* Format: 256k Log Swept Sine, 1 sweep at -35.0 dBFS with no timing reference
* Dated: Nov 15, 2024 6:11:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kinera Wyvern Abyss R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 94.313 -149.9170
20.600000 94.327 -150.6545
20.900000 94.338 -151.4490
21.200001 94.347 -152.2369
21.400000 94.352 -152.7534
21.799999 94.363 -153.7606
22.000000 94.368 -154.2503
22.400000 94.381 -155.2043
22.700001 94.391 -155.9018
23.000000 94.400 -156.5877
23.299999 94.407 -157.2638
23.600000 94.412 -157.9315
24.000000 94.416 -158.8120
24.299999 94.417 -159.4690
24.700001 94.415 -160.3443
25.000000 94.410 -160.9962
25.400000 94.396 -161.8391
25.799999 94.377 -162.6207
26.200001 94.355 -163.3188
26.500000 94.343 -163.7936
26.900000 94.335 -164.3968
27.200001 94.334 -164.8578
27.600000 94.338 -165.5172
28.000000 94.339 -166.2323
28.500000 94.331 -167.1628
29.000000 94.315 -168.0746
29.500000 94.298 -168.9462
30.000000 94.282 -169.7889
30.400000 94.268 -170.4427
30.700001 94.256 -170.9145
31.100000 94.240 -171.5133
31.500000 94.224 -172.0839
32.000000 94.205 -172.7860
32.500000 94.183 -173.4955
33.000000 94.153 -174.1902
33.500000 94.120 -174.8307
34.000000 94.094 -175.4199
34.500000 94.078 -176.0099
35.000000 94.065 -176.6409
35.500000 94.045 -177.2895
36.000000 94.015 -177.8958
36.500000 93.982 -178.4349
37.000000 93.952 -178.9446
37.500000 93.927 -179.4815
38.200001 93.887 179.7069
38.700001 93.854 179.1382
39.500000 93.804 178.3209
40.000000 93.775 177.8539
40.599998 93.740 177.3101
41.200001 93.703 176.7671
41.799999 93.664 176.2096
42.500000 93.618 175.5460
43.099998 93.579 175.0009
43.700001 93.543 174.4973
44.400002 93.502 173.9436
45.000000 93.464 173.4795
45.500000 93.431 173.0971
46.200001 93.383 172.5627
46.799999 93.344 172.1037
47.500000 93.299 171.5774
48.200001 93.253 171.0601
48.700001 93.218 170.6925
49.400002 93.163 170.2034
50.000000 93.117 169.8278
50.799999 93.068 169.3428
51.500000 93.028 168.8836
52.200001 92.981 168.4286
53.000000 92.924 167.9596
53.799999 92.875 167.4979
54.500000 92.831 167.0889
55.200001 92.785 166.7100
56.000000 92.732 166.3088
57.000000 92.663 165.7924
58.000000 92.590 165.2741
59.000000 92.522 164.8167
60.000000 92.459 164.3963
60.799999 92.409 164.0521
61.500000 92.363 163.7453
62.200001 92.317 163.4432
63.000000 92.264 163.1111
64.000000 92.199 162.7150
65.000000 92.133 162.3358
66.000000 92.066 161.9657
67.000000 91.999 161.6006
68.000000 91.934 161.2650
69.000000 91.873 160.9534
70.000000 91.808 160.6513
71.000000 91.742 160.3509
72.000000 91.678 160.0377
73.000000 91.613 159.7414
74.000000 91.551 159.4831
75.000000 91.490 159.2295
76.199997 91.415 158.9197
77.500000 91.335 158.6035
78.800003 91.258 158.3049
80.000000 91.187 158.0534
81.199997 91.116 157.8062
82.500000 91.039 157.5541
83.800003 90.962 157.3192
85.000000 90.892 157.1064
86.199997 90.823 156.8962
87.500000 90.749 156.6905
88.500000 90.694 156.5377
90.000000 90.610 156.3100
91.199997 90.543 156.1438
92.500000 90.474 155.9663
93.800003 90.405 155.7936
95.000000 90.341 155.6545
96.199997 90.277 155.5275
97.500000 90.208 155.3999
98.800003 90.139 155.2964
100.000000 90.078 155.2079
101.500000 90.004 155.1082
103.000000 89.931 155.0032
104.400002 89.860 154.8865
106.000000 89.782 154.7666
107.500000 89.713 154.6704
109.000000 89.639 154.5780
110.599998 89.563 154.4948
112.000000 89.499 154.4265
113.800003 89.418 154.3396
115.000000 89.364 154.2916
117.199997 89.265 154.2369
118.000000 89.230 154.2254
120.599998 89.121 154.1897
122.000000 89.061 154.1552
124.099998 88.971 154.1223
125.000000 88.933 154.1130
126.500000 88.870 154.1050
128.000000 88.808 154.1101
131.500000 88.672 154.1288
132.000000 88.652 154.1335
134.000000 88.575 154.1567
136.000000 88.500 154.1901
138.000000 88.425 154.2237
140.000000 88.350 154.2589
143.000000 88.244 154.3288
145.000000 88.171 154.3884
147.500000 88.089 154.5215
150.000000 88.010 154.5627
152.500000 87.913 154.6080
155.000000 87.822 154.8412
157.500000 87.753 155.0612
160.000000 87.679 155.1878
162.500000 87.594 155.2577
165.000000 87.520 155.3209
167.500000 87.450 155.4550
170.000000 87.376 155.5739
172.500000 87.304 155.7087
175.000000 87.234 155.9110
177.500000 87.163 156.0866
180.000000 87.089 156.2812
182.500000 87.014 156.5356
185.000000 86.952 156.8220
187.500000 86.897 157.0215
190.000000 86.834 157.2389
192.500000 86.778 157.5471
195.000000 86.739 157.8412
197.500000 86.702 158.0450
200.000000 86.658 158.1838
203.000000 86.598 158.3701
206.000000 86.534 158.5776
209.000000 86.471 158.8051
212.000000 86.410 159.0775
214.000000 86.372 159.3002
218.000000 86.306 159.7065
220.000000 86.281 159.8954
224.000000 86.236 160.2299
227.000000 86.200 160.4240
230.000000 86.156 160.5472
233.000000 86.102 160.6419
236.000000 86.050 160.8638
240.000000 85.981 161.1935
243.000000 85.933 161.4241
247.000000 85.873 161.7215
250.000000 85.830 161.9580
254.000000 85.774 162.2708
258.000000 85.717 162.5673
262.000000 85.660 162.8567
265.000000 85.620 163.0881
269.000000 85.565 163.3941
272.000000 85.525 163.6283
276.000000 85.474 163.9616
280.000000 85.423 164.2955
285.000000 85.360 164.7107
290.000000 85.303 165.1263
295.000000 85.245 165.5572
300.000000 85.193 165.9142
304.000000 85.151 166.2449
307.000000 85.121 166.5338
311.000000 85.083 166.8967
315.000000 85.043 167.2267
320.000000 84.998 167.6457
325.000000 84.957 168.0656
330.000000 84.916 168.4628
335.000000 84.871 168.8802
340.000000 84.828 169.2996
345.000000 84.791 169.7074
350.000000 84.756 170.1044
355.000000 84.716 170.5033
360.000000 84.677 170.9058
365.000000 84.649 171.3424
370.000000 84.621 171.7552
375.000000 84.590 172.1407
382.000000 84.547 172.7015
387.000000 84.517 173.1092
395.000000 84.473 173.7416
400.000000 84.450 174.1458
406.000000 84.423 174.6278
412.000000 84.395 175.0891
418.000000 84.367 175.5208
425.000000 84.333 176.0424
431.000000 84.310 176.5020
437.000000 84.289 177.0142
444.000000 84.260 177.5344
450.000000 84.239 177.9772
455.000000 84.221 178.3582
462.000000 84.196 178.8947
468.000000 84.176 179.3554
475.000000 84.154 179.8888
482.000000 84.133 -179.5802
487.000000 84.120 -179.2022
494.000000 84.103 -178.6806
500.000000 84.088 -178.2258
508.000000 84.068 -177.6151
515.000000 84.053 -177.0710
522.000000 84.040 -176.5185
530.000000 84.034 -175.8435
538.000000 84.042 -175.2213
545.000000 84.038 -174.7840
552.000000 84.024 -174.2858
560.000000 84.020 -173.6224
570.000000 84.004 -172.8553
580.000000 83.995 -172.1735
590.000000 83.989 -171.4725
600.000000 83.990 -170.7783
608.000000 83.994 -170.2162
615.000000 83.998 -169.7222
622.000000 84.002 -169.2274
630.000000 84.005 -168.6679
640.000000 84.010 -167.9789
650.000000 84.017 -167.2766
660.000000 84.024 -166.5585
670.000000 84.032 -165.8458
680.000000 84.043 -165.1456
690.000000 84.056 -164.4321
700.000000 84.070 -163.7069
710.000000 84.091 -162.9723
720.000000 84.108 -162.2720
730.000000 84.125 -161.5629
740.000000 84.146 -160.8290
750.000000 84.171 -160.0919
762.000000 84.203 -159.2127
775.000000 84.243 -158.2611
788.000000 84.286 -157.3057
800.000000 84.330 -156.4109
812.000000 84.381 -155.5163
825.000000 84.439 -154.5553
838.000000 84.500 -153.5924
850.000000 84.560 -152.6911
862.000000 84.625 -151.8065
875.000000 84.704 -150.8401
885.000000 84.768 -150.0921
900.000000 84.870 -148.9695
912.000000 84.960 -148.0867
925.000000 85.067 -147.1483
938.000000 85.184 -146.2039
950.000000 85.302 -145.3327
962.000000 85.430 -144.4944
975.000000 85.580 -143.6547
988.000000 85.741 -142.8961
1000.000000 85.899 -142.2943
1015.000000 86.102 -141.6712
1030.000000 86.306 -141.1962
1044.000000 86.491 -140.8849
1060.000000 86.691 -140.6508
1075.000000 86.866 -140.5136
1090.000000 87.029 -140.4240
1106.000000 87.192 -140.3626
1120.000000 87.327 -140.3217
1138.000000 87.493 -140.2755
1150.000000 87.602 -140.2533
1172.000000 87.796 -140.2470
1180.000000 87.866 -140.2576
1206.000000 88.095 -140.3752
1220.000000 88.219 -140.5327
1241.000000 88.396 -141.0136
1250.000000 88.460 -141.3477
1265.000000 88.521 -142.0580
1280.000000 88.499 -142.7088
1315.000000 88.355 -141.6914
1320.000000 88.366 -141.3389
1340.000000 88.494 -140.1011
1360.000000 88.680 -139.3778
1380.000000 88.865 -139.0092
1400.000000 89.036 -138.8031
1430.000000 89.273 -138.6163
1450.000000 89.422 -138.5261
1475.000000 89.604 -138.4377
1500.000000 89.782 -138.3727
1525.000000 89.959 -138.3237
1550.000000 90.134 -138.2913
1575.000000 90.310 -138.2863
1600.000000 90.487 -138.3075
1625.000000 90.664 -138.3533
1650.000000 90.842 -138.4258
1675.000000 91.021 -138.5252
1700.000000 91.200 -138.6616
1725.000000 91.380 -138.8317
1750.000000 91.561 -139.0329
1775.000000 91.742 -139.2755
1800.000000 91.924 -139.5601
1825.000000 92.106 -139.8861
1850.000000 92.287 -140.2558
1875.000000 92.467 -140.6705
1900.000000 92.647 -141.1281
1925.000000 92.825 -141.6313
1950.000000 93.001 -142.1861
1975.000000 93.174 -142.7882
2000.000000 93.344 -143.4362
2030.000000 93.544 -144.2793
2060.000000 93.738 -145.1940
2090.000000 93.924 -146.1739
2120.000000 94.103 -147.2204
2140.000000 94.217 -147.9534
2180.000000 94.433 -149.4927
2200.000000 94.534 -150.2973
2240.000000 94.720 -151.9628
2270.000000 94.846 -153.2488
2300.000000 94.962 -154.5627
2330.000000 95.065 -155.9051
2360.000000 95.155 -157.2661
2400.000000 95.254 -159.0948
2430.000000 95.313 -160.4640
2470.000000 95.374 -162.2649
2500.000000 95.406 -163.5907
2540.000000 95.433 -165.3254
2580.000000 95.441 -167.0094
2620.000000 95.433 -168.6202
2650.000000 95.418 -169.7779
2690.000000 95.388 -171.2525
2720.000000 95.358 -172.3048
2760.000000 95.311 -173.6333
2800.000000 95.257 -174.8767
2850.000000 95.183 -176.3029
2900.000000 95.106 -177.6084
2950.000000 95.027 -178.7982
3000.000000 94.949 -179.8857
3040.000000 94.889 179.3083
3070.000000 94.846 178.7402
3110.000000 94.792 178.0260
3150.000000 94.741 177.3525
3200.000000 94.683 176.5538
3250.000000 94.632 175.7988
3300.000000 94.590 175.0720
3350.000000 94.553 174.3580
3400.000000 94.525 173.6588
3450.000000 94.504 172.9672
3500.000000 94.490 172.2709
3550.000000 94.487 171.5637
3600.000000 94.494 170.8196
3650.000000 94.513 170.0039
3700.000000 94.541 169.0889
3750.000000 94.571 168.0467
3820.000000 94.606 166.3605
3870.000000 94.621 165.0196
3950.000000 94.619 162.6702
4000.000000 94.599 161.0822
4060.000000 94.552 159.0790
4120.000000 94.476 156.9849
4180.000000 94.367 154.8242
4250.000000 94.197 152.2736
4310.000000 94.009 150.0970
4370.000000 93.783 147.9714
4440.000000 93.472 145.6305
4500.000000 93.168 143.7947
4550.000000 92.891 142.4096
4620.000000 92.475 140.7225
4680.000000 92.101 139.5402
4750.000000 91.652 138.4634
4820.000000 91.199 137.6792
4870.000000 90.875 137.2825
4940.000000 90.425 136.9431
5000.000000 90.042 136.8414
5080.000000 89.537 136.9701
5150.000000 89.106 137.3258
5220.000000 88.686 137.8892
5300.000000 88.223 138.7702
5380.000000 87.782 139.8918
5450.000000 87.413 141.0566
5520.000000 87.058 142.3868
5600.000000 86.671 144.1581
5700.000000 86.243 146.9482
5800.000000 85.977 150.0211
5900.000000 85.789 152.1965
6000.000000 85.537 154.2766
6080.000000 85.340 156.2510
6150.000000 85.192 158.1265
