* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -35.0 dBFS with no timing reference
* Dated: Oct 7, 2024 11:04:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi Ears Cadenza L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 93.666 -151.9489
20.600000 93.671 -152.6359
20.900000 93.676 -153.3528
21.200001 93.682 -154.0563
21.400000 93.686 -154.5239
21.799999 93.696 -155.4688
22.000000 93.700 -155.9464
22.400000 93.704 -156.9004
22.700001 93.702 -157.6017
23.000000 93.698 -158.2825
23.299999 93.693 -158.9428
23.600000 93.689 -159.5889
24.000000 93.685 -160.4426
24.299999 93.684 -161.0831
24.700001 93.680 -161.9326
25.000000 93.677 -162.5553
25.400000 93.669 -163.3490
25.799999 93.661 -164.0934
26.200001 93.654 -164.7985
26.500000 93.648 -165.3153
26.900000 93.641 -166.0050
27.200001 93.634 -166.5276
27.600000 93.621 -167.2269
28.000000 93.605 -167.9156
28.500000 93.584 -168.7424
29.000000 93.566 -169.5282
29.500000 93.552 -170.2891
30.000000 93.538 -171.0414
30.400000 93.523 -171.6381
30.700001 93.510 -172.0788
31.100000 93.489 -172.6508
31.500000 93.467 -173.2003
32.000000 93.440 -173.8577
32.500000 93.416 -174.4978
33.000000 93.395 -175.1396
33.500000 93.374 -175.7890
34.000000 93.349 -176.4345
34.500000 93.322 -177.0596
35.000000 93.294 -177.6573
35.500000 93.265 -178.2317
36.000000 93.237 -178.7891
36.500000 93.208 -179.3331
37.000000 93.179 -179.8669
37.500000 93.152 179.6075
38.200001 93.115 178.8947
38.700001 93.089 178.4121
39.500000 93.047 177.6663
40.000000 93.016 177.1980
40.599998 92.969 176.6501
41.200001 92.919 176.1474
41.799999 92.882 175.6610
42.500000 92.853 175.0205
43.099998 92.825 174.4158
43.700001 92.785 173.8567
44.400002 92.734 173.3302
45.000000 92.697 172.9274
45.500000 92.669 172.5702
46.200001 92.629 172.0218
46.799999 92.592 171.5479
47.500000 92.550 171.0439
48.200001 92.512 170.5927
48.700001 92.484 170.2795
49.400002 92.434 169.8427
50.000000 92.379 169.4910
50.799999 92.310 169.0582
51.500000 92.270 168.6443
52.200001 92.244 168.1542
53.000000 92.207 167.5829
53.799999 92.151 167.1203
54.500000 92.095 166.7903
55.200001 92.044 166.4354
56.000000 91.993 165.9795
57.000000 91.937 165.4464
58.000000 91.862 164.9793
59.000000 91.765 164.6518
60.000000 91.706 164.2918
60.799999 91.675 163.8318
61.500000 91.637 163.4495
62.200001 91.597 163.1496
63.000000 91.556 162.8109
64.000000 91.497 162.3687
65.000000 91.435 162.0347
66.000000 91.374 161.7273
67.000000 91.313 161.3470
68.000000 91.262 160.9303
69.000000 91.212 160.5144
70.000000 91.139 160.1843
71.000000 91.060 159.9778
72.000000 90.997 159.7689
73.000000 90.944 159.5004
74.000000 90.887 159.1947
75.000000 90.827 158.9062
76.199997 90.758 158.6082
77.500000 90.676 158.3027
78.800003 90.592 157.9995
80.000000 90.523 157.7144
81.199997 90.457 157.4707
82.500000 90.387 157.2036
83.800003 90.321 156.9601
85.000000 90.259 156.7329
86.199997 90.186 156.4953
87.500000 90.109 156.2448
88.500000 90.055 156.0689
90.000000 89.972 155.8386
91.199997 89.907 155.6773
92.500000 89.839 155.4929
93.800003 89.768 155.2992
95.000000 89.704 155.1091
96.199997 89.644 154.9168
97.500000 89.578 154.7314
98.800003 89.508 154.5898
100.000000 89.451 154.4770
101.500000 89.390 154.3306
103.000000 89.313 154.2008
104.400002 89.234 154.1002
106.000000 89.156 153.9586
107.500000 89.090 153.8254
109.000000 89.023 153.7235
110.599998 88.949 153.6418
112.000000 88.885 153.5797
113.800003 88.802 153.5128
115.000000 88.748 153.4627
117.199997 88.653 153.3607
118.000000 88.617 153.3282
120.599998 88.505 153.2388
122.000000 88.449 153.1875
124.099998 88.365 153.0999
125.000000 88.330 153.0806
126.500000 88.270 153.0764
128.000000 88.210 153.0696
131.500000 88.070 153.0054
132.000000 88.050 153.0057
134.000000 87.972 153.0224
136.000000 87.901 153.0212
138.000000 87.830 153.0220
140.000000 87.755 153.0464
143.000000 87.640 153.0908
145.000000 87.565 153.1132
147.500000 87.479 153.1512
150.000000 87.400 153.1926
152.500000 87.316 153.1603
155.000000 87.232 153.2594
157.500000 87.148 153.4120
160.000000 87.063 153.4449
162.500000 86.976 153.4028
165.000000 86.910 153.5887
167.500000 86.844 153.8059
170.000000 86.774 153.9546
172.500000 86.712 154.1059
175.000000 86.647 154.3065
177.500000 86.576 154.4485
180.000000 86.504 154.4342
182.500000 86.434 154.4896
185.000000 86.374 154.6613
187.500000 86.313 154.8542
190.000000 86.249 155.0026
192.500000 86.186 155.1359
195.000000 86.119 155.2965
197.500000 86.051 155.4981
200.000000 85.984 155.6715
203.000000 85.911 155.8793
206.000000 85.856 156.1398
209.000000 85.790 156.4368
212.000000 85.729 156.8065
214.000000 85.694 157.0687
218.000000 85.641 157.5410
220.000000 85.617 157.6733
224.000000 85.563 157.8183
227.000000 85.515 157.9202
230.000000 85.458 158.0676
233.000000 85.399 158.2647
236.000000 85.340 158.5170
240.000000 85.256 158.8969
243.000000 85.197 159.2008
247.000000 85.149 159.5069
250.000000 85.123 159.7004
254.000000 85.083 159.9548
258.000000 85.036 160.2230
262.000000 84.979 160.4418
265.000000 84.935 160.6145
269.000000 84.882 160.8730
272.000000 84.846 161.0674
276.000000 84.796 161.3274
280.000000 84.743 161.5578
285.000000 84.675 161.8784
290.000000 84.614 162.2616
295.000000 84.561 162.5625
300.000000 84.498 162.9062
304.000000 84.446 163.2553
307.000000 84.412 163.5197
311.000000 84.368 163.8450
315.000000 84.325 164.1382
320.000000 84.276 164.5408
325.000000 84.230 164.9233
330.000000 84.178 165.2491
335.000000 84.132 165.5974
340.000000 84.089 165.9570
345.000000 84.045 166.3459
350.000000 84.007 166.7191
355.000000 83.968 167.0934
360.000000 83.926 167.4500
365.000000 83.885 167.8271
370.000000 83.846 168.1935
375.000000 83.811 168.5426
382.000000 83.764 169.0537
387.000000 83.731 169.4156
395.000000 83.682 169.9835
400.000000 83.651 170.3240
406.000000 83.614 170.7695
412.000000 83.576 171.1943
418.000000 83.539 171.5981
425.000000 83.501 172.0989
431.000000 83.470 172.5229
437.000000 83.437 172.9516
444.000000 83.402 173.4550
450.000000 83.376 173.8769
455.000000 83.354 174.2223
462.000000 83.325 174.7201
468.000000 83.301 175.1617
475.000000 83.273 175.6613
482.000000 83.242 176.1493
487.000000 83.222 176.4979
494.000000 83.197 177.0020
500.000000 83.179 177.4557
508.000000 83.158 178.0574
515.000000 83.145 178.5726
522.000000 83.135 179.0649
530.000000 83.127 179.5746
538.000000 83.120 -179.9477
545.000000 83.109 -179.5365
552.000000 83.093 -179.1233
560.000000 83.074 -178.6415
570.000000 83.052 -178.0407
580.000000 83.030 -177.4227
590.000000 83.006 -176.7875
600.000000 82.985 -176.1502
608.000000 82.971 -175.6382
615.000000 82.959 -175.1736
622.000000 82.949 -174.7110
630.000000 82.937 -174.1897
640.000000 82.924 -173.5213
650.000000 82.913 -172.8432
660.000000 82.901 -172.1865
670.000000 82.889 -171.5015
680.000000 82.879 -170.8011
690.000000 82.871 -170.0983
700.000000 82.862 -169.3688
710.000000 82.857 -168.5988
720.000000 82.858 -167.7958
730.000000 82.869 -166.9724
740.000000 82.890 -166.1762
750.000000 82.910 -165.4715
762.000000 82.919 -164.5950
775.000000 82.933 -163.3373
788.000000 83.007 -161.9290
800.000000 83.126 -160.9379
812.000000 83.239 -160.3608
825.000000 83.322 -159.9036
838.000000 83.375 -159.3738
850.000000 83.415 -158.7928
862.000000 83.456 -158.1446
875.000000 83.507 -157.3921
885.000000 83.550 -156.8079
900.000000 83.620 -155.9313
912.000000 83.681 -155.2231
925.000000 83.755 -154.4562
938.000000 83.836 -153.6884
950.000000 83.914 -152.9978
962.000000 83.998 -152.3262
975.000000 84.094 -151.6134
988.000000 84.195 -150.9177
1000.000000 84.295 -150.3052
1015.000000 84.428 -149.5902
1030.000000 84.570 -148.9405
1044.000000 84.709 -148.4019
1060.000000 84.872 -147.8858
1075.000000 85.025 -147.4982
1090.000000 85.176 -147.2057
1106.000000 85.331 -146.9966
1120.000000 85.460 -146.8780
1138.000000 85.615 -146.7897
1150.000000 85.711 -146.7616
1172.000000 85.874 -146.7430
1180.000000 85.929 -146.7407
1206.000000 86.097 -146.7381
1220.000000 86.181 -146.7413
1241.000000 86.302 -146.7419
1250.000000 86.352 -146.7396
1265.000000 86.431 -146.7329
1280.000000 86.508 -146.7235
1315.000000 86.680 -146.6964
1320.000000 86.703 -146.6909
1340.000000 86.797 -146.6612
1360.000000 86.886 -146.6310
1380.000000 86.974 -146.6011
1400.000000 87.060 -146.5568
1430.000000 87.187 -146.4736
1450.000000 87.270 -146.4205
1475.000000 87.373 -146.3454
1500.000000 87.474 -146.2685
1525.000000 87.576 -146.1854
1550.000000 87.678 -146.1009
1575.000000 87.779 -146.0192
1600.000000 87.881 -145.9359
1625.000000 87.984 -145.8570
1650.000000 88.087 -145.7788
1675.000000 88.191 -145.7039
1700.000000 88.296 -145.6380
1725.000000 88.402 -145.5866
1750.000000 88.508 -145.5426
1775.000000 88.616 -145.5075
1800.000000 88.725 -145.4843
1825.000000 88.835 -145.4741
1850.000000 88.946 -145.4783
1875.000000 89.057 -145.5007
1900.000000 89.168 -145.5424
1925.000000 89.281 -145.5961
1950.000000 89.393 -145.6642
1975.000000 89.507 -145.7545
2000.000000 89.620 -145.8649
2030.000000 89.757 -146.0193
2060.000000 89.895 -146.2005
2090.000000 90.033 -146.4129
2120.000000 90.170 -146.6622
2140.000000 90.261 -146.8453
2180.000000 90.442 -147.2478
2200.000000 90.532 -147.4712
2240.000000 90.711 -147.9595
2270.000000 90.844 -148.3635
2300.000000 90.976 -148.8001
2330.000000 91.106 -149.2729
2360.000000 91.234 -149.7817
2400.000000 91.400 -150.5149
2430.000000 91.522 -151.1088
2470.000000 91.680 -151.9606
2500.000000 91.793 -152.6385
2540.000000 91.938 -153.5882
2580.000000 92.074 -154.5948
2620.000000 92.201 -155.6569
2650.000000 92.290 -156.4868
2690.000000 92.400 -157.6289
2720.000000 92.474 -158.5101
2760.000000 92.563 -159.7134
2800.000000 92.640 -160.9425
2850.000000 92.717 -162.5032
2900.000000 92.776 -164.0724
2950.000000 92.815 -165.6348
3000.000000 92.836 -167.1769
3040.000000 92.840 -168.3887
3070.000000 92.836 -169.2797
3110.000000 92.821 -170.4382
3150.000000 92.797 -171.5599
3200.000000 92.754 -172.8960
3250.000000 92.700 -174.1400
3300.000000 92.640 -175.2822
3350.000000 92.580 -176.3246
3400.000000 92.526 -177.3012
3450.000000 92.479 -178.2749
3500.000000 92.434 -179.2944
3550.000000 92.382 179.6368
3600.000000 92.318 178.5522
3650.000000 92.242 177.4880
3700.000000 92.155 176.4565
3750.000000 92.060 175.4697
3820.000000 91.913 174.1712
3870.000000 91.803 173.3030
3950.000000 91.617 172.0079
4000.000000 91.496 171.2567
4060.000000 91.348 170.4083
4120.000000 91.196 169.6121
4180.000000 91.041 168.8542
4250.000000 90.854 168.0096
4310.000000 90.688 167.3196
4370.000000 90.513 166.6584
4440.000000 90.295 165.9371
4500.000000 90.093 165.3898
4550.000000 89.914 165.0163
4620.000000 89.653 164.6719
4680.000000 89.428 164.5480
4750.000000 89.171 164.5679
4820.000000 88.921 164.7226
4870.000000 88.743 164.9025
4940.000000 88.487 165.2975
5000.000000 88.261 165.9085
5080.000000 88.010 167.4136
5150.000000 87.948 168.9640
5220.000000 87.985 169.5142
5300.000000 87.930 169.1583
5380.000000 87.755 168.9566
5450.000000 87.571 169.1363
5520.000000 87.390 169.5533
5600.000000 87.194 170.2157
5700.000000 86.970 171.2337
5800.000000 86.770 172.4107
5900.000000 86.593 173.7032
6000.000000 86.439 175.0998
