* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -35.0 dBFS with no timing reference
* Dated: Oct 7, 2024 11:06:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi Ears Cadenza R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 94.132 -153.9304
20.600000 94.135 -154.6364
20.900000 94.135 -155.3885
21.200001 94.134 -156.1335
21.400000 94.134 -156.6263
21.799999 94.135 -157.6051
22.000000 94.136 -158.0910
22.400000 94.139 -159.0527
22.700001 94.140 -159.7624
23.000000 94.140 -160.4593
23.299999 94.136 -161.1409
23.600000 94.130 -161.8047
24.000000 94.116 -162.6590
24.299999 94.104 -163.2760
24.700001 94.088 -164.0710
25.000000 94.077 -164.6525
25.400000 94.065 -165.4202
25.799999 94.057 -166.1908
26.200001 94.049 -166.9688
26.500000 94.042 -167.5529
26.900000 94.030 -168.3192
27.200001 94.018 -168.8744
27.600000 93.999 -169.5786
28.000000 93.980 -170.2422
28.500000 93.957 -171.0329
29.000000 93.935 -171.8063
29.500000 93.911 -172.5728
30.000000 93.888 -173.3257
30.400000 93.871 -173.9181
30.700001 93.860 -174.3619
31.100000 93.847 -174.9608
31.500000 93.833 -175.5683
32.000000 93.810 -176.3176
32.500000 93.778 -177.0141
33.000000 93.742 -177.6363
33.500000 93.709 -178.2110
34.000000 93.682 -178.7910
34.500000 93.658 -179.4089
35.000000 93.630 179.9458
35.500000 93.598 179.3082
36.000000 93.563 178.7096
36.500000 93.526 178.1639
37.000000 93.490 177.6662
37.500000 93.458 177.1917
38.200001 93.421 176.4960
38.700001 93.395 175.9542
39.500000 93.340 175.1014
40.000000 93.302 174.6451
40.599998 93.262 174.1589
41.200001 93.228 173.6520
41.799999 93.189 173.0869
42.500000 93.134 172.4221
43.099998 93.085 171.9021
43.700001 93.041 171.4235
44.400002 92.991 170.8970
45.000000 92.948 170.4623
45.500000 92.912 170.0959
46.200001 92.859 169.5609
46.799999 92.815 169.0973
47.500000 92.767 168.5680
48.200001 92.726 168.0399
48.700001 92.694 167.6709
49.400002 92.648 167.1947
50.000000 92.608 166.8226
50.799999 92.554 166.3375
51.500000 92.504 165.9180
52.200001 92.454 165.5106
53.000000 92.396 165.0486
53.799999 92.338 164.6020
54.500000 92.291 164.2286
55.200001 92.243 163.8527
56.000000 92.183 163.4294
57.000000 92.104 162.9460
58.000000 92.033 162.4693
59.000000 91.970 161.9722
60.000000 91.906 161.5059
60.799999 91.850 161.1763
61.500000 91.801 160.8865
62.200001 91.750 160.5748
63.000000 91.691 160.2281
64.000000 91.623 159.8604
65.000000 91.558 159.5071
66.000000 91.486 159.1474
67.000000 91.418 158.8084
68.000000 91.363 158.4706
69.000000 91.307 158.1156
70.000000 91.239 157.7847
71.000000 91.166 157.5264
72.000000 91.100 157.2837
73.000000 91.035 156.9900
74.000000 90.969 156.6610
75.000000 90.909 156.3033
76.199997 90.831 155.9474
77.500000 90.746 155.7408
78.800003 90.666 155.5040
80.000000 90.593 155.2275
81.199997 90.520 154.9622
82.500000 90.440 154.7039
83.800003 90.355 154.4627
85.000000 90.283 154.2579
86.199997 90.215 154.0471
87.500000 90.144 153.8367
88.500000 90.088 153.6785
90.000000 90.001 153.4606
91.199997 89.936 153.2770
92.500000 89.863 153.0758
93.800003 89.791 152.9233
95.000000 89.726 152.7851
96.199997 89.661 152.6340
97.500000 89.592 152.4771
98.800003 89.521 152.3550
100.000000 89.454 152.2718
101.500000 89.375 152.1524
103.000000 89.302 151.9890
104.400002 89.235 151.8441
106.000000 89.158 151.7039
107.500000 89.082 151.5913
109.000000 89.002 151.4866
110.599998 88.920 151.3875
112.000000 88.857 151.3207
113.800003 88.775 151.2466
115.000000 88.720 151.1956
117.199997 88.620 151.0919
118.000000 88.584 151.0643
120.599998 88.469 151.0233
122.000000 88.408 150.9907
124.099998 88.319 150.9427
125.000000 88.280 150.9258
126.500000 88.216 150.9023
128.000000 88.153 150.8912
131.500000 88.009 150.8766
132.000000 87.988 150.8741
134.000000 87.911 150.8615
136.000000 87.834 150.8859
138.000000 87.757 150.9235
140.000000 87.680 150.9315
143.000000 87.566 150.9800
145.000000 87.492 151.0280
147.500000 87.401 151.1027
150.000000 87.312 151.1822
152.500000 87.227 151.2456
155.000000 87.144 151.3177
157.500000 87.062 151.4061
160.000000 86.981 151.5077
162.500000 86.902 151.6174
165.000000 86.823 151.7413
167.500000 86.743 151.8348
170.000000 86.666 151.9291
172.500000 86.591 152.0541
175.000000 86.518 152.1833
177.500000 86.445 152.3104
180.000000 86.373 152.4579
182.500000 86.302 152.5936
185.000000 86.232 152.7428
187.500000 86.161 152.9017
190.000000 86.089 153.0749
192.500000 86.017 153.2690
195.000000 85.947 153.5009
197.500000 85.877 153.7532
200.000000 85.811 154.0350
203.000000 85.740 154.4391
206.000000 85.687 154.8868
209.000000 85.656 155.2939
212.000000 85.637 155.5370
214.000000 85.623 155.6077
218.000000 85.575 155.6538
220.000000 85.542 155.6828
224.000000 85.460 155.7857
227.000000 85.395 155.9162
230.000000 85.330 156.0707
233.000000 85.269 156.2483
236.000000 85.210 156.4537
240.000000 85.132 156.7756
243.000000 85.076 157.0161
247.000000 85.007 157.3434
250.000000 84.961 157.6033
254.000000 84.903 157.9471
258.000000 84.851 158.2457
262.000000 84.799 158.5197
265.000000 84.757 158.7080
269.000000 84.702 158.9702
272.000000 84.661 159.1900
276.000000 84.603 159.4821
280.000000 84.547 159.7513
285.000000 84.481 160.0879
290.000000 84.416 160.4491
295.000000 84.354 160.8085
300.000000 84.293 161.1661
304.000000 84.246 161.4727
307.000000 84.211 161.6983
311.000000 84.165 162.0098
315.000000 84.119 162.3462
320.000000 84.066 162.7141
325.000000 84.015 163.0566
330.000000 83.964 163.4326
335.000000 83.917 163.8095
340.000000 83.871 164.1602
345.000000 83.826 164.5237
350.000000 83.782 164.8979
355.000000 83.740 165.2633
360.000000 83.698 165.6251
365.000000 83.658 165.9933
370.000000 83.618 166.3524
375.000000 83.580 166.7138
382.000000 83.529 167.2368
387.000000 83.491 167.6023
395.000000 83.437 168.1886
400.000000 83.409 168.5359
406.000000 83.373 168.9592
412.000000 83.336 169.3903
418.000000 83.301 169.8163
425.000000 83.261 170.3083
431.000000 83.226 170.7346
437.000000 83.193 171.1488
444.000000 83.157 171.6311
450.000000 83.127 172.0534
455.000000 83.102 172.3936
462.000000 83.068 172.8625
468.000000 83.042 173.2720
475.000000 83.012 173.7396
482.000000 82.982 174.2130
487.000000 82.963 174.5561
494.000000 82.936 175.0478
500.000000 82.914 175.4690
508.000000 82.886 176.0255
515.000000 82.862 176.4917
522.000000 82.840 176.9657
530.000000 82.819 177.5171
538.000000 82.804 178.0430
545.000000 82.792 178.4873
552.000000 82.779 178.9159
560.000000 82.761 179.3936
570.000000 82.735 179.9779
580.000000 82.710 -179.4285
590.000000 82.682 -178.8145
600.000000 82.655 -178.1923
608.000000 82.636 -177.6933
615.000000 82.621 -177.2521
622.000000 82.607 -176.8114
630.000000 82.592 -176.3042
640.000000 82.570 -175.6624
650.000000 82.552 -175.0299
660.000000 82.535 -174.3858
670.000000 82.516 -173.7424
680.000000 82.500 -173.1163
690.000000 82.484 -172.5106
700.000000 82.464 -171.9058
710.000000 82.441 -171.3262
720.000000 82.404 -170.7700
730.000000 82.336 -170.1672
740.000000 82.248 -169.2228
750.000000 82.195 -167.9035
762.000000 82.185 -166.3866
775.000000 82.179 -164.6746
788.000000 82.223 -162.4969
800.000000 82.397 -160.3914
812.000000 82.670 -159.0701
825.000000 82.937 -158.7291
838.000000 83.101 -158.7866
850.000000 83.184 -158.7207
862.000000 83.237 -158.4798
875.000000 83.284 -158.0617
885.000000 83.319 -157.6488
900.000000 83.376 -156.9670
912.000000 83.427 -156.3799
925.000000 83.486 -155.7118
938.000000 83.553 -155.0288
950.000000 83.619 -154.3907
962.000000 83.691 -153.7527
975.000000 83.777 -153.0683
988.000000 83.871 -152.4029
1000.000000 83.964 -151.8110
1015.000000 84.090 -151.0930
1030.000000 84.225 -150.4331
1044.000000 84.359 -149.8909
1060.000000 84.519 -149.3836
1075.000000 84.671 -149.0307
1090.000000 84.822 -148.7859
1106.000000 84.974 -148.6306
1120.000000 85.099 -148.5571
1138.000000 85.246 -148.5292
1150.000000 85.335 -148.5333
1172.000000 85.484 -148.5581
1180.000000 85.534 -148.5711
1206.000000 85.685 -148.6172
1220.000000 85.761 -148.6316
1241.000000 85.868 -148.6443
1250.000000 85.912 -148.6485
1265.000000 85.983 -148.6525
1280.000000 86.052 -148.6510
1315.000000 86.202 -148.6231
1320.000000 86.223 -148.6166
1340.000000 86.304 -148.5888
1360.000000 86.383 -148.5633
1380.000000 86.460 -148.5217
1400.000000 86.534 -148.4630
1430.000000 86.643 -148.3766
1450.000000 86.714 -148.3107
1475.000000 86.802 -148.2225
1500.000000 86.890 -148.1247
1525.000000 86.978 -148.0179
1550.000000 87.065 -147.9081
1575.000000 87.153 -147.7986
1600.000000 87.241 -147.6850
1625.000000 87.329 -147.5668
1650.000000 87.417 -147.4451
1675.000000 87.506 -147.3300
1700.000000 87.595 -147.2208
1725.000000 87.686 -147.1134
1750.000000 87.779 -147.0082
1775.000000 87.872 -146.9147
1800.000000 87.966 -146.8346
1825.000000 88.061 -146.7575
1850.000000 88.156 -146.6843
1875.000000 88.252 -146.6243
1900.000000 88.349 -146.5743
1925.000000 88.447 -146.5356
1950.000000 88.547 -146.5114
1975.000000 88.646 -146.4964
2000.000000 88.746 -146.4955
2030.000000 88.868 -146.5166
2060.000000 88.990 -146.5567
2090.000000 89.113 -146.6163
2120.000000 89.236 -146.6988
2140.000000 89.319 -146.7663
2180.000000 89.484 -146.9345
2200.000000 89.566 -147.0349
2240.000000 89.733 -147.2664
2270.000000 89.857 -147.4707
2300.000000 89.981 -147.7044
2330.000000 90.105 -147.9625
2360.000000 90.228 -148.2445
2400.000000 90.390 -148.6642
2430.000000 90.511 -149.0105
2470.000000 90.671 -149.5109
2500.000000 90.789 -149.9190
2540.000000 90.944 -150.5075
2580.000000 91.095 -151.1442
2620.000000 91.243 -151.8281
2650.000000 91.351 -152.3743
2690.000000 91.491 -153.1436
2720.000000 91.593 -153.7504
2760.000000 91.724 -154.5987
2800.000000 91.849 -155.4904
2850.000000 91.996 -156.6669
2900.000000 92.133 -157.9061
2950.000000 92.257 -159.2011
3000.000000 92.369 -160.5439
3040.000000 92.448 -161.6541
3070.000000 92.501 -162.5018
3110.000000 92.564 -163.6463
3150.000000 92.617 -164.8065
3200.000000 92.669 -166.2681
3250.000000 92.705 -167.7250
3300.000000 92.726 -169.1544
3350.000000 92.735 -170.5334
3400.000000 92.737 -171.8584
3450.000000 92.738 -173.1501
3500.000000 92.740 -174.4573
3550.000000 92.739 -175.8234
3600.000000 92.726 -177.2615
3650.000000 92.696 -178.7431
3700.000000 92.646 179.7744
3750.000000 92.579 178.3238
3820.000000 92.459 176.3676
3870.000000 92.357 175.0355
3950.000000 92.171 173.0240
4000.000000 92.042 171.8482
4060.000000 91.878 170.5175
4120.000000 91.703 169.2717
4180.000000 91.520 168.1064
4250.000000 91.295 166.8444
4310.000000 91.092 165.8427
4370.000000 90.880 164.9155
4440.000000 90.619 163.9303
4500.000000 90.383 163.1878
4550.000000 90.177 162.6647
4620.000000 89.876 162.1172
4680.000000 89.615 161.8432
4750.000000 89.318 161.7366
4820.000000 89.037 161.8051
4870.000000 88.846 161.9234
4940.000000 88.586 162.1570
5000.000000 88.367 162.4133
5080.000000 88.073 162.8767
5150.000000 87.811 163.5243
5220.000000 87.576 164.5716
5300.000000 87.416 165.8863
5380.000000 87.303 166.5223
5450.000000 87.156 166.8626
5520.000000 86.979 167.3716
5600.000000 86.777 168.1833
5700.000000 86.543 169.4195
5800.000000 86.335 170.8156
5900.000000 86.155 172.3230
6000.000000 86.003 173.9207
