* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -35.0 dBFS with no timing reference
* Dated: Jan 20, 2025 1:54:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi Ears Quartet (11) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 95.941 -135.1998
20.600000 95.973 -135.8974
20.900000 96.006 -136.6413
21.200001 96.038 -137.3736
21.400000 96.060 -137.8531
21.799999 96.104 -138.7925
22.000000 96.127 -139.2532
22.400000 96.174 -140.1599
22.700001 96.207 -140.8296
23.000000 96.238 -141.4921
23.299999 96.266 -142.1474
23.600000 96.289 -142.7939
24.000000 96.316 -143.6389
24.299999 96.334 -144.2582
24.700001 96.358 -145.0648
25.000000 96.377 -145.6572
25.400000 96.406 -146.4327
25.799999 96.435 -147.1911
26.200001 96.465 -147.9281
26.500000 96.486 -148.4640
26.900000 96.512 -149.1557
27.200001 96.530 -149.6602
27.600000 96.552 -150.3214
28.000000 96.572 -150.9777
28.500000 96.595 -151.7968
29.000000 96.616 -152.6105
29.500000 96.637 -153.4113
30.000000 96.659 -154.1949
30.400000 96.675 -154.8067
30.700001 96.686 -155.2538
31.100000 96.698 -155.8297
31.500000 96.708 -156.3803
32.000000 96.719 -157.0403
32.500000 96.730 -157.6879
33.000000 96.740 -158.3396
33.500000 96.749 -158.9949
34.000000 96.760 -159.6438
34.500000 96.773 -160.2820
35.000000 96.787 -160.9109
35.500000 96.799 -161.5266
36.000000 96.808 -162.1183
36.500000 96.813 -162.6829
37.000000 96.817 -163.2324
37.500000 96.819 -163.7801
38.200001 96.818 -164.5342
38.700001 96.819 -165.0478
39.500000 96.828 -165.8550
40.000000 96.835 -166.3802
40.599998 96.836 -167.0185
41.200001 96.831 -167.6214
41.799999 96.828 -168.1811
42.500000 96.830 -168.8258
43.099998 96.832 -169.3876
43.700001 96.831 -169.9339
44.400002 96.826 -170.5312
45.000000 96.823 -171.0213
45.500000 96.822 -171.4285
46.200001 96.824 -172.0167
46.799999 96.825 -172.5485
47.500000 96.821 -173.1815
48.200001 96.811 -173.7780
48.700001 96.804 -174.1694
49.400002 96.799 -174.6944
50.000000 96.798 -175.1463
50.799999 96.795 -175.7425
51.500000 96.789 -176.2408
52.200001 96.779 -176.7316
53.000000 96.764 -177.3031
53.799999 96.750 -177.8747
54.500000 96.741 -178.3677
55.200001 96.733 -178.8549
56.000000 96.718 -179.3909
57.000000 96.694 179.9783
58.000000 96.678 179.3305
59.000000 96.665 178.6599
60.000000 96.648 178.0496
60.799999 96.633 177.5954
61.500000 96.620 177.1857
62.200001 96.604 176.7604
63.000000 96.585 176.2817
64.000000 96.562 175.7264
65.000000 96.542 175.1849
66.000000 96.519 174.6370
67.000000 96.496 174.1234
68.000000 96.475 173.6244
69.000000 96.450 173.1145
70.000000 96.425 172.5906
71.000000 96.401 172.0468
72.000000 96.377 171.5443
73.000000 96.356 171.0844
74.000000 96.331 170.6205
75.000000 96.306 170.1651
76.199997 96.278 169.6085
77.500000 96.244 169.0081
78.800003 96.216 168.3795
80.000000 96.181 167.8432
81.199997 96.145 167.4100
82.500000 96.110 166.9028
83.800003 96.076 166.3551
85.000000 96.042 165.8618
86.199997 96.007 165.3927
87.500000 95.970 164.9057
88.500000 95.940 164.5411
90.000000 95.894 163.9943
91.199997 95.859 163.5508
92.500000 95.821 163.0796
93.800003 95.781 162.6386
95.000000 95.746 162.2400
96.199997 95.713 161.8251
97.500000 95.677 161.3723
98.800003 95.636 160.9344
100.000000 95.597 160.5554
101.500000 95.551 160.0999
103.000000 95.503 159.6520
104.400002 95.458 159.2238
106.000000 95.410 158.7247
107.500000 95.367 158.2772
109.000000 95.324 157.8624
110.599998 95.275 157.4316
112.000000 95.230 157.0478
113.800003 95.172 156.5524
115.000000 95.133 156.2278
117.199997 95.064 155.6514
118.000000 95.040 155.4548
120.599998 94.961 154.8347
122.000000 94.914 154.4890
124.099998 94.846 153.9785
125.000000 94.818 153.7619
126.500000 94.771 153.4099
128.000000 94.723 153.0718
131.500000 94.610 152.3225
132.000000 94.594 152.2181
134.000000 94.530 151.8032
136.000000 94.465 151.3944
138.000000 94.402 150.9912
140.000000 94.338 150.6061
143.000000 94.241 150.0449
145.000000 94.176 149.6950
147.500000 94.097 149.2587
150.000000 94.019 148.8069
152.500000 93.938 148.3723
155.000000 93.858 147.9782
157.500000 93.777 147.6077
160.000000 93.696 147.2433
162.500000 93.616 146.8959
165.000000 93.536 146.5789
167.500000 93.457 146.2785
170.000000 93.385 145.9891
172.500000 93.316 145.6903
175.000000 93.246 145.3818
177.500000 93.174 145.0592
180.000000 93.098 144.7360
182.500000 93.026 144.4324
185.000000 92.954 144.1357
187.500000 92.882 143.8452
190.000000 92.808 143.5702
192.500000 92.733 143.3070
195.000000 92.657 143.0437
197.500000 92.582 142.7908
200.000000 92.508 142.5656
203.000000 92.420 142.3193
206.000000 92.332 142.0521
209.000000 92.245 141.7991
212.000000 92.160 141.5645
214.000000 92.103 141.4005
218.000000 91.986 141.1257
220.000000 91.928 141.0081
224.000000 91.815 140.7683
227.000000 91.730 140.5887
230.000000 91.644 140.4229
233.000000 91.559 140.2687
236.000000 91.476 140.1143
240.000000 91.367 139.9395
243.000000 91.289 139.8527
247.000000 91.189 139.7501
250.000000 91.117 139.6492
254.000000 91.022 139.5020
258.000000 90.925 139.3564
262.000000 90.826 139.1916
265.000000 90.750 139.0718
269.000000 90.650 138.9392
272.000000 90.574 138.8520
276.000000 90.473 138.7589
280.000000 90.370 138.7098
285.000000 90.240 138.6429
290.000000 90.116 138.5909
295.000000 89.993 138.5728
300.000000 89.869 138.6069
304.000000 89.773 138.6312
307.000000 89.702 138.6466
311.000000 89.610 138.6842
315.000000 89.518 138.7456
320.000000 89.403 138.8491
325.000000 89.288 138.9515
330.000000 89.177 139.0810
335.000000 89.068 139.2459
340.000000 88.963 139.4326
345.000000 88.861 139.6887
350.000000 88.761 139.9667
355.000000 88.666 140.2479
360.000000 88.576 140.5331
365.000000 88.493 140.8430
370.000000 88.413 141.1502
375.000000 88.336 141.4506
382.000000 88.235 141.9044
387.000000 88.168 142.2399
395.000000 88.067 142.7737
400.000000 88.006 143.1274
406.000000 87.936 143.5657
412.000000 87.873 144.0017
418.000000 87.819 144.4448
425.000000 87.759 144.9405
431.000000 87.712 145.3660
437.000000 87.673 145.7986
444.000000 87.633 146.3046
450.000000 87.603 146.7133
455.000000 87.581 147.0223
462.000000 87.556 147.4495
468.000000 87.538 147.8301
475.000000 87.519 148.2625
482.000000 87.504 148.6654
487.000000 87.499 148.9361
494.000000 87.497 149.3011
500.000000 87.499 149.5938
508.000000 87.505 149.9376
515.000000 87.512 150.1832
522.000000 87.521 150.3952
530.000000 87.531 150.5880
538.000000 87.535 150.7506
545.000000 87.539 150.8868
552.000000 87.543 151.0132
560.000000 87.545 151.1441
570.000000 87.545 151.2891
580.000000 87.543 151.4242
590.000000 87.540 151.5701
600.000000 87.539 151.7203
608.000000 87.535 151.8176
615.000000 87.532 151.9024
622.000000 87.530 151.9937
630.000000 87.527 152.1032
640.000000 87.525 152.2458
650.000000 87.524 152.3864
660.000000 87.524 152.5290
670.000000 87.523 152.6626
680.000000 87.525 152.8100
690.000000 87.529 152.9661
700.000000 87.534 153.1249
710.000000 87.540 153.2788
720.000000 87.548 153.4313
730.000000 87.557 153.6052
740.000000 87.567 153.7827
750.000000 87.579 153.9609
762.000000 87.596 154.2031
775.000000 87.624 154.5059
788.000000 87.665 154.7880
800.000000 87.708 154.9958
812.000000 87.751 155.1648
825.000000 87.801 155.3408
838.000000 87.853 155.5222
850.000000 87.902 155.6691
862.000000 87.955 155.8040
875.000000 88.017 155.9465
885.000000 88.066 156.0465
900.000000 88.144 156.1681
912.000000 88.207 156.2471
925.000000 88.279 156.3302
938.000000 88.353 156.3972
950.000000 88.424 156.4489
962.000000 88.498 156.4941
975.000000 88.579 156.5314
988.000000 88.664 156.5546
1000.000000 88.746 156.5651
1015.000000 88.854 156.5572
1030.000000 88.970 156.5315
1044.000000 89.083 156.4736
1060.000000 89.218 156.3536
1075.000000 89.349 156.1880
1090.000000 89.482 155.9674
1106.000000 89.627 155.6682
1120.000000 89.754 155.3506
1138.000000 89.916 154.8738
1150.000000 90.023 154.5196
1172.000000 90.216 153.7883
1180.000000 90.285 153.4944
1206.000000 90.502 152.4592
1220.000000 90.614 151.8579
1241.000000 90.773 150.9046
1250.000000 90.838 150.4785
1265.000000 90.944 149.7502
1280.000000 91.045 148.9989
1315.000000 91.260 147.1925
1320.000000 91.289 146.9315
1340.000000 91.398 145.8788
1360.000000 91.500 144.8198
1380.000000 91.593 143.7654
1400.000000 91.679 142.7217
1430.000000 91.796 141.1962
1450.000000 91.866 140.2047
1475.000000 91.949 138.9991
1500.000000 92.027 137.8381
1525.000000 92.102 136.7296
1550.000000 92.176 135.6685
1575.000000 92.250 134.6559
1600.000000 92.327 133.6866
1625.000000 92.407 132.7511
1650.000000 92.491 131.8405
1675.000000 92.581 130.9488
1700.000000 92.676 130.0718
1725.000000 92.777 129.2010
1750.000000 92.885 128.3224
1775.000000 92.999 127.4288
1800.000000 93.119 126.5133
1825.000000 93.244 125.5661
1850.000000 93.373 124.5833
1875.000000 93.506 123.5552
1900.000000 93.641 122.4818
1925.000000 93.778 121.3585
1950.000000 93.915 120.1811
1975.000000 94.051 118.9474
2000.000000 94.186 117.6609
2030.000000 94.344 116.0480
2060.000000 94.495 114.3621
2090.000000 94.638 112.6073
2120.000000 94.772 110.7856
2140.000000 94.855 109.5403
2180.000000 95.004 106.9922
2200.000000 95.071 105.6949
2240.000000 95.185 103.0651
2270.000000 95.255 101.0754
2300.000000 95.310 99.0854
2330.000000 95.352 97.1032
2360.000000 95.381 95.1400
2400.000000 95.400 92.5664
2430.000000 95.402 90.6747
2470.000000 95.388 88.2144
2500.000000 95.365 86.4209
2540.000000 95.322 84.1050
2580.000000 95.266 81.8856
2620.000000 95.200 79.7618
2650.000000 95.145 78.2291
2690.000000 95.066 76.2611
2720.000000 95.003 74.8430
2760.000000 94.914 73.0276
2800.000000 94.823 71.2989
2850.000000 94.705 69.2655
2900.000000 94.586 67.3720
2950.000000 94.471 65.6100
3000.000000 94.362 63.9723
3040.000000 94.280 62.7549
3070.000000 94.223 61.8983
3110.000000 94.157 60.8308
3150.000000 94.105 59.8330
3200.000000 94.067 58.6266
3250.000000 94.059 57.3682
3300.000000 94.071 55.9760
3350.000000 94.086 54.4308
3400.000000 94.094 52.7803
3450.000000 94.092 51.0884
3500.000000 94.086 49.3776
3550.000000 94.078 47.6325
3600.000000 94.067 45.8375
3650.000000 94.052 43.9888
3700.000000 94.031 42.0725
3750.000000 94.002 40.0724
3820.000000 93.939 37.1128
3870.000000 93.872 34.8758
3950.000000 93.709 31.1036
4000.000000 93.561 28.6578
4060.000000 93.326 25.6985
4120.000000 93.021 22.8033
4180.000000 92.639 20.0967
4250.000000 92.094 17.3685
4310.000000 91.548 15.5830
4370.000000 90.939 14.4934
4440.000000 90.180 14.3466
4500.000000 89.527 15.3720
4550.000000 89.018 17.1193
4620.000000 88.436 20.8853
4680.000000 88.128 25.0599
4750.000000 88.044 30.4070
4820.000000 88.267 35.4950
4870.000000 88.590 38.5583
4940.000000 89.211 41.6338
5000.000000 89.836 42.9471
5080.000000 90.692 42.7411
5150.000000 91.372 40.8788
5220.000000 91.918 37.7620
5300.000000 92.322 33.2081
5380.000000 92.471 28.2653
5450.000000 92.408 24.1194
5520.000000 92.198 20.4832
5600.000000 91.837 17.1858
5700.000000 91.293 14.4138
5800.000000 90.723 12.9848
5900.000000 90.180 12.6777
6000.000000 89.693 13.2758
6080.000000 89.356 14.2771
6150.000000 89.105 15.4619
6220.000000 88.896 16.8843
6300.000000 88.711 18.7431
6400.000000 88.563 21.3448
6500.000000 88.510 24.1766
