* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -35.0 dBFS with no timing reference
* Dated: Jan 20, 2025 1:57:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kiwi Ears Quartet (11) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 96.186 -133.9306
20.600000 96.221 -134.6227
20.900000 96.258 -135.3677
21.200001 96.292 -136.1130
21.400000 96.314 -136.6082
21.799999 96.356 -137.5904
22.000000 96.376 -138.0738
22.400000 96.415 -139.0151
22.700001 96.442 -139.6933
23.000000 96.469 -140.3468
23.299999 96.496 -140.9790
23.600000 96.523 -141.5963
24.000000 96.558 -142.4094
24.299999 96.585 -143.0199
24.700001 96.619 -143.8395
25.000000 96.642 -144.4550
25.400000 96.669 -145.2634
25.799999 96.692 -146.0400
26.200001 96.713 -146.7738
26.500000 96.729 -147.2989
26.900000 96.753 -147.9795
27.200001 96.772 -148.4865
27.600000 96.797 -149.1666
28.000000 96.820 -149.8481
28.500000 96.847 -150.6832
29.000000 96.874 -151.4870
29.500000 96.901 -152.2705
30.000000 96.925 -153.0468
30.400000 96.938 -153.6547
30.700001 96.944 -154.0930
31.100000 96.950 -154.6469
31.500000 96.958 -155.1723
32.000000 96.972 -155.8220
32.500000 96.990 -156.4979
33.000000 97.005 -157.1967
33.500000 97.015 -157.8810
34.000000 97.023 -158.5222
34.500000 97.033 -159.1249
35.000000 97.044 -159.7111
35.500000 97.053 -160.2925
36.000000 97.061 -160.8681
36.500000 97.067 -161.4391
37.000000 97.074 -162.0118
37.500000 97.080 -162.5870
38.200001 97.087 -163.3763
38.700001 97.093 -163.9182
39.500000 97.104 -164.7621
40.000000 97.109 -165.2851
40.599998 97.112 -165.9059
41.200001 97.110 -166.5115
41.799999 97.105 -167.0891
42.500000 97.098 -167.7100
43.099998 97.097 -168.2112
43.700001 97.100 -168.7253
44.400002 97.102 -169.3683
45.000000 97.101 -169.9310
45.500000 97.097 -170.3848
46.200001 97.092 -170.9831
46.799999 97.089 -171.4647
47.500000 97.086 -172.0122
48.200001 97.083 -172.5803
48.700001 97.079 -173.0001
49.400002 97.069 -173.5724
50.000000 97.060 -174.0250
50.799999 97.052 -174.5863
51.500000 97.047 -175.0649
52.200001 97.043 -175.5539
53.000000 97.035 -176.1442
53.799999 97.018 -176.7401
54.500000 96.994 -177.2265
55.200001 96.972 -177.6792
56.000000 96.954 -178.1881
57.000000 96.946 -178.8477
58.000000 96.940 -179.4960
59.000000 96.927 179.8928
60.000000 96.906 179.2804
60.799999 96.888 178.8213
61.500000 96.876 178.4500
62.200001 96.866 178.0796
63.000000 96.853 177.6435
64.000000 96.833 177.0884
65.000000 96.812 176.5132
66.000000 96.785 175.9496
67.000000 96.754 175.4401
68.000000 96.729 174.9468
69.000000 96.707 174.4553
70.000000 96.686 173.9764
71.000000 96.662 173.4964
72.000000 96.636 173.0087
73.000000 96.611 172.5183
74.000000 96.585 172.0446
75.000000 96.559 171.5903
76.199997 96.525 171.0597
77.500000 96.490 170.4765
78.800003 96.456 169.8869
80.000000 96.422 169.3789
81.199997 96.388 168.9149
82.500000 96.352 168.4217
83.800003 96.317 167.9214
85.000000 96.285 167.4544
86.199997 96.250 166.9906
87.500000 96.210 166.4833
88.500000 96.178 166.1059
90.000000 96.130 165.6005
91.199997 96.096 165.2208
92.500000 96.058 164.7915
93.800003 96.016 164.3533
95.000000 95.976 163.9532
96.199997 95.939 163.5510
97.500000 95.900 163.1411
98.800003 95.860 162.7577
100.000000 95.822 162.3909
101.500000 95.773 161.9261
103.000000 95.729 161.4798
104.400002 95.687 161.0754
106.000000 95.636 160.6213
107.500000 95.587 160.2051
109.000000 95.540 159.8059
110.599998 95.488 159.3983
112.000000 95.442 159.0435
113.800003 95.384 158.5847
115.000000 95.343 158.2892
117.199997 95.268 157.7719
118.000000 95.242 157.5988
120.599998 95.158 157.0325
122.000000 95.114 156.6846
124.099998 95.044 156.2091
125.000000 95.014 156.0186
126.500000 94.966 155.7117
128.000000 94.917 155.4195
131.500000 94.802 154.7172
132.000000 94.786 154.6160
134.000000 94.717 154.2224
136.000000 94.648 153.8640
138.000000 94.581 153.5179
140.000000 94.514 153.1560
143.000000 94.413 152.6162
145.000000 94.346 152.3107
147.500000 94.264 151.9370
150.000000 94.184 151.5658
152.500000 94.103 151.2062
155.000000 94.016 150.8425
157.500000 93.931 150.4885
160.000000 93.848 150.1706
162.500000 93.759 149.8694
165.000000 93.670 149.5822
167.500000 93.581 149.3578
170.000000 93.494 149.1295
172.500000 93.407 148.9253
175.000000 93.324 148.7821
177.500000 93.252 148.7171
180.000000 93.193 148.6613
182.500000 93.149 148.5137
185.000000 93.102 148.2278
187.500000 93.038 147.9059
190.000000 92.965 147.6276
192.500000 92.889 147.3947
195.000000 92.811 147.1851
197.500000 92.734 146.9088
200.000000 92.660 146.6544
203.000000 92.570 146.4118
206.000000 92.477 146.2003
209.000000 92.386 146.0240
212.000000 92.298 145.8525
214.000000 92.240 145.7445
218.000000 92.121 145.5620
220.000000 92.062 145.4457
224.000000 91.944 145.2725
227.000000 91.854 145.2095
230.000000 91.763 145.1331
233.000000 91.672 145.0269
236.000000 91.583 144.9240
240.000000 91.469 144.8037
243.000000 91.391 144.7654
247.000000 91.281 144.7253
250.000000 91.194 144.7051
254.000000 91.080 144.6896
258.000000 90.972 144.6896
262.000000 90.867 144.7228
265.000000 90.790 144.7401
269.000000 90.687 144.7834
272.000000 90.614 144.8335
276.000000 90.518 144.8967
280.000000 90.423 144.9799
285.000000 90.301 145.0347
290.000000 90.173 145.1261
295.000000 90.045 145.2830
300.000000 89.919 145.4212
304.000000 89.826 145.5598
307.000000 89.759 145.6832
311.000000 89.669 145.8597
315.000000 89.580 146.0354
320.000000 89.470 146.3091
325.000000 89.361 146.5840
330.000000 89.256 146.8567
335.000000 89.152 147.1883
340.000000 89.048 147.5316
345.000000 88.948 147.8858
350.000000 88.855 148.2537
355.000000 88.765 148.6450
360.000000 88.681 149.0366
365.000000 88.601 149.4751
370.000000 88.524 149.9062
375.000000 88.450 150.3409
382.000000 88.351 150.9628
387.000000 88.285 151.4026
395.000000 88.184 152.1558
400.000000 88.131 152.6347
406.000000 88.075 153.1971
412.000000 88.024 153.7700
418.000000 87.974 154.3511
425.000000 87.924 154.9582
431.000000 87.887 155.4841
437.000000 87.853 155.9938
444.000000 87.821 156.5785
450.000000 87.797 157.0593
455.000000 87.780 157.4523
462.000000 87.760 158.0095
468.000000 87.742 158.4730
475.000000 87.722 158.9692
482.000000 87.707 159.4308
487.000000 87.699 159.7416
494.000000 87.691 160.1647
500.000000 87.685 160.5344
508.000000 87.674 161.0019
515.000000 87.666 161.3802
522.000000 87.658 161.7675
530.000000 87.651 162.1943
538.000000 87.650 162.5841
545.000000 87.648 162.9264
552.000000 87.645 163.2524
560.000000 87.645 163.5986
570.000000 87.647 164.0118
580.000000 87.646 164.3941
590.000000 87.646 164.7735
600.000000 87.645 165.1334
608.000000 87.643 165.4079
615.000000 87.640 165.6585
622.000000 87.637 165.9088
630.000000 87.632 166.1913
640.000000 87.625 166.5579
650.000000 87.621 166.9175
660.000000 87.618 167.2768
670.000000 87.617 167.6654
680.000000 87.618 168.0556
690.000000 87.622 168.4382
700.000000 87.624 168.8292
710.000000 87.630 169.2291
720.000000 87.638 169.6200
730.000000 87.648 169.9913
740.000000 87.657 170.3657
750.000000 87.665 170.7513
762.000000 87.675 171.2477
775.000000 87.696 171.8670
788.000000 87.740 172.4905
800.000000 87.789 172.9688
812.000000 87.837 173.3697
825.000000 87.887 173.7637
838.000000 87.934 174.1200
850.000000 87.971 174.4499
862.000000 88.005 174.7961
875.000000 88.039 175.1974
885.000000 88.065 175.5452
900.000000 88.111 176.1294
912.000000 88.157 176.6475
925.000000 88.217 177.2225
938.000000 88.291 177.7834
950.000000 88.368 178.2742
962.000000 88.453 178.7346
975.000000 88.553 179.1935
988.000000 88.660 179.5993
1000.000000 88.762 179.9288
1015.000000 88.895 -179.7231
1030.000000 89.032 -179.4452
1044.000000 89.164 -179.2496
1060.000000 89.315 -179.0940
1075.000000 89.457 -179.0101
1090.000000 89.597 -178.9841
1106.000000 89.748 -179.0237
1120.000000 89.878 -179.1122
1138.000000 90.042 -179.2923
1150.000000 90.149 -179.4479
1172.000000 90.339 -179.8106
1180.000000 90.405 -179.9654
1206.000000 90.613 179.4684
1220.000000 90.719 179.1237
1241.000000 90.871 178.5587
1250.000000 90.932 178.3026
1265.000000 91.032 177.8606
1280.000000 91.127 177.4029
1315.000000 91.329 176.2869
1320.000000 91.356 176.1246
1340.000000 91.456 175.4715
1360.000000 91.547 174.8094
1380.000000 91.630 174.1487
1400.000000 91.704 173.4988
1430.000000 91.804 172.5677
1450.000000 91.863 171.9850
1475.000000 91.931 171.3044
1500.000000 91.994 170.6646
1525.000000 92.052 170.0749
1550.000000 92.110 169.5436
1575.000000 92.169 169.0611
1600.000000 92.227 168.6193
1625.000000 92.290 168.2240
1650.000000 92.357 167.8624
1675.000000 92.428 167.5228
1700.000000 92.506 167.2011
1725.000000 92.590 166.8882
1750.000000 92.680 166.5713
1775.000000 92.775 166.2441
1800.000000 92.877 165.8999
1825.000000 92.983 165.5262
1850.000000 93.093 165.1163
1875.000000 93.207 164.6707
1900.000000 93.325 164.1907
1925.000000 93.444 163.6628
1950.000000 93.563 163.0808
1975.000000 93.682 162.4484
2000.000000 93.799 161.7702
2030.000000 93.937 160.8876
2060.000000 94.068 159.9297
2090.000000 94.192 158.9081
2120.000000 94.307 157.8235
2140.000000 94.377 157.0690
2180.000000 94.501 155.4987
2200.000000 94.553 154.6945
2240.000000 94.636 153.0734
2270.000000 94.683 151.8724
2300.000000 94.719 150.6937
2330.000000 94.744 149.5385
2360.000000 94.763 148.4080
2400.000000 94.780 146.9147
2430.000000 94.783 145.7820
2470.000000 94.767 144.2424
2500.000000 94.735 143.0825
2540.000000 94.660 141.5930
2580.000000 94.548 140.2452
2620.000000 94.404 139.1302
2650.000000 94.282 138.5082
2690.000000 94.118 138.0195
2720.000000 94.010 137.8962
2760.000000 93.911 137.9350
2800.000000 93.864 137.9746
2850.000000 93.838 137.8494
2900.000000 93.830 137.6617
2950.000000 93.848 137.3495
3000.000000 93.868 136.7933
3040.000000 93.867 136.2469
3070.000000 93.856 135.8315
3110.000000 93.829 135.3024
3150.000000 93.791 134.8292
3200.000000 93.739 134.3596
3250.000000 93.695 134.0217
3300.000000 93.664 133.7409
3350.000000 93.647 133.4708
3400.000000 93.646 133.1864
3450.000000 93.654 132.7878
3500.000000 93.655 132.2962
3550.000000 93.650 131.7863
3600.000000 93.642 131.2540
3650.000000 93.629 130.6760
3700.000000 93.610 130.0626
3750.000000 93.586 129.4167
3820.000000 93.539 128.3990
3870.000000 93.488 127.5749
3950.000000 93.367 126.1498
4000.000000 93.260 125.2009
4060.000000 93.089 124.0150
4120.000000 92.865 122.8608
4180.000000 92.578 121.8378
4250.000000 92.159 120.9741
4310.000000 91.731 120.7073
4370.000000 91.253 121.0800
4440.000000 90.662 122.5651
4500.000000 90.174 124.8869
4550.000000 89.823 127.5889
4620.000000 89.485 132.3814
4680.000000 89.393 137.0589
4750.000000 89.548 142.4656
4820.000000 89.953 147.0107
4870.000000 90.346 149.4027
4940.000000 90.962 151.3765
5000.000000 91.486 151.8187
5080.000000 92.088 150.8799
5150.000000 92.465 148.9880
5220.000000 92.673 146.5442
5300.000000 92.705 143.6299
5380.000000 92.544 141.0519
5450.000000 92.280 139.3212
5520.000000 91.938 138.2131
5600.000000 91.493 137.7490
5700.000000 90.907 138.2783
5800.000000 90.332 139.8766
5900.000000 89.802 142.3914
6000.000000 89.335 145.6432
6080.000000 89.017 148.6644
6150.000000 88.783 151.5464
6220.000000 88.588 154.6030
6300.000000 88.412 158.2711
6400.000000 88.264 163.0955
