* Measurement data measured by REW V5.30
* Source: EXCL: FiiO JA11 (2- JadeAudio JA11), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -29.0 dBFS with no timing reference
* Dated: Jan 18, 2025 7:15:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Letshuoer S08 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 94.707 -119.4094
20.600000 94.765 -120.2264
20.900000 94.830 -121.0888
21.200001 94.895 -121.9389
21.400000 94.940 -122.5018
21.799999 95.028 -123.6268
22.000000 95.071 -124.1883
22.400000 95.152 -125.2981
22.700001 95.208 -126.1065
23.000000 95.260 -126.8860
23.299999 95.309 -127.6347
23.600000 95.357 -128.3564
24.000000 95.419 -129.2894
24.299999 95.463 -129.9762
24.700001 95.520 -130.8831
25.000000 95.560 -131.5586
25.400000 95.609 -132.4536
25.799999 95.653 -133.3433
26.200001 95.694 -134.2284
26.500000 95.724 -134.8871
26.900000 95.762 -135.7509
27.200001 95.792 -136.3819
27.600000 95.833 -137.1958
28.000000 95.878 -137.9829
28.500000 95.936 -138.9502
29.000000 95.987 -139.9171
29.500000 96.023 -140.8739
30.000000 96.048 -141.7952
30.400000 96.066 -142.5051
30.700001 96.084 -143.0324
31.100000 96.113 -143.7458
31.500000 96.146 -144.4789
32.000000 96.185 -145.4005
32.500000 96.215 -146.2748
33.000000 96.236 -147.0679
33.500000 96.254 -147.8013
34.000000 96.271 -148.5233
34.500000 96.289 -149.2599
35.000000 96.309 -150.0023
35.500000 96.333 -150.7348
36.000000 96.359 -151.4569
36.500000 96.381 -152.1736
37.000000 96.393 -152.8784
37.500000 96.397 -153.5586
38.200001 96.402 -154.4739
38.700001 96.412 -155.1241
39.500000 96.433 -156.1669
40.000000 96.442 -156.7935
40.599998 96.446 -157.5033
41.200001 96.444 -158.1872
41.799999 96.442 -158.8721
42.500000 96.445 -159.6814
43.099998 96.453 -160.3723
43.700001 96.462 -161.0409
44.400002 96.465 -161.7650
45.000000 96.465 -162.3458
45.500000 96.466 -162.8347
46.200001 96.468 -163.5592
46.799999 96.465 -164.1801
47.500000 96.455 -164.8366
48.200001 96.445 -165.4485
48.700001 96.436 -165.9021
49.400002 96.419 -166.5649
50.000000 96.406 -167.1278
50.799999 96.399 -167.8557
51.500000 96.395 -168.4757
52.200001 96.388 -169.0658
53.000000 96.378 -169.7138
53.799999 96.365 -170.3503
54.500000 96.352 -170.8944
55.200001 96.337 -171.4546
56.000000 96.311 -172.1214
57.000000 96.275 -172.8546
58.000000 96.267 -173.4474
59.000000 96.270 -174.0664
60.000000 96.252 -174.7398
60.799999 96.226 -175.2805
61.500000 96.204 -175.7485
62.200001 96.182 -176.2159
63.000000 96.153 -176.7307
64.000000 96.119 -177.3206
65.000000 96.095 -177.9105
66.000000 96.068 -178.5018
67.000000 96.037 -179.0516
68.000000 96.005 -179.5968
69.000000 95.972 179.8558
70.000000 95.943 179.3230
71.000000 95.915 178.8153
72.000000 95.883 178.3469
73.000000 95.848 177.8925
74.000000 95.812 177.4250
75.000000 95.779 176.9627
76.199997 95.744 176.4418
77.500000 95.700 175.8939
78.800003 95.653 175.3267
80.000000 95.615 174.8083
81.199997 95.576 174.3352
82.500000 95.526 173.8428
83.800003 95.473 173.3447
85.000000 95.428 172.9081
86.199997 95.386 172.4996
87.500000 95.340 172.0640
88.500000 95.304 171.7347
90.000000 95.249 171.2643
91.199997 95.205 170.8859
92.500000 95.157 170.4731
93.800003 95.109 170.0996
95.000000 95.065 169.7762
96.199997 95.020 169.4420
97.500000 94.970 169.1166
98.800003 94.917 168.8405
100.000000 94.868 168.5526
101.500000 94.814 168.1176
103.000000 94.766 167.7129
104.400002 94.717 167.4048
106.000000 94.660 167.0562
107.500000 94.607 166.7350
109.000000 94.552 166.4266
110.599998 94.495 166.1084
112.000000 94.447 165.8440
113.800003 94.380 165.5154
115.000000 94.335 165.2941
117.199997 94.253 164.8967
118.000000 94.223 164.7517
120.599998 94.128 164.3323
122.000000 94.081 164.1520
124.099998 94.008 163.8770
125.000000 93.976 163.7607
126.500000 93.923 163.5675
128.000000 93.871 163.3724
131.500000 93.750 162.9666
132.000000 93.733 162.9164
134.000000 93.665 162.7316
136.000000 93.599 162.5566
138.000000 93.536 162.3815
140.000000 93.475 162.2132
143.000000 93.385 161.9716
145.000000 93.323 161.8068
147.500000 93.248 161.5997
150.000000 93.182 161.4541
152.500000 93.110 161.2803
155.000000 93.028 161.1016
157.500000 92.953 160.9318
160.000000 92.880 160.7880
162.500000 92.805 160.6768
165.000000 92.729 160.5668
167.500000 92.656 160.4757
170.000000 92.584 160.4008
172.500000 92.513 160.3337
175.000000 92.443 160.2758
177.500000 92.371 160.2202
180.000000 92.299 160.1635
182.500000 92.230 160.1300
185.000000 92.163 160.1250
187.500000 92.097 160.1216
190.000000 92.034 160.1123
192.500000 91.971 160.1408
195.000000 91.909 160.1769
197.500000 91.851 160.1987
200.000000 91.786 160.1795
203.000000 91.701 160.2239
206.000000 91.617 160.3167
209.000000 91.532 160.4467
212.000000 91.447 160.6583
214.000000 91.396 160.8760
218.000000 91.337 161.4688
220.000000 91.334 161.6638
224.000000 91.332 161.6465
227.000000 91.301 161.4695
230.000000 91.249 161.3274
233.000000 91.194 161.2465
236.000000 91.147 161.1794
240.000000 91.055 161.1691
243.000000 90.973 161.3210
247.000000 90.885 161.5150
250.000000 90.826 161.6651
254.000000 90.747 161.8586
258.000000 90.679 162.0341
262.000000 90.625 162.2369
265.000000 90.583 162.3648
269.000000 90.519 162.5309
272.000000 90.470 162.6598
276.000000 90.411 162.8178
280.000000 90.350 162.9936
285.000000 90.271 163.2227
290.000000 90.191 163.4430
295.000000 90.115 163.7143
300.000000 90.047 163.9560
304.000000 89.996 164.2018
307.000000 89.956 164.3954
311.000000 89.904 164.6385
315.000000 89.853 164.8907
320.000000 89.790 165.1709
325.000000 89.728 165.4680
330.000000 89.668 165.7659
335.000000 89.613 166.0855
340.000000 89.560 166.3922
345.000000 89.506 166.7109
350.000000 89.450 167.0367
355.000000 89.397 167.3391
360.000000 89.349 167.6528
365.000000 89.301 167.9854
370.000000 89.255 168.3316
375.000000 89.211 168.6794
382.000000 89.148 169.1337
387.000000 89.105 169.4547
395.000000 89.041 170.0031
400.000000 89.007 170.3499
406.000000 88.963 170.7586
412.000000 88.915 171.1724
418.000000 88.871 171.5850
425.000000 88.824 172.0598
431.000000 88.786 172.4661
437.000000 88.749 172.8705
444.000000 88.706 173.3434
450.000000 88.670 173.7447
455.000000 88.642 174.0866
462.000000 88.604 174.5691
468.000000 88.572 174.9837
475.000000 88.536 175.4758
482.000000 88.504 175.9619
487.000000 88.481 176.3068
494.000000 88.450 176.7929
500.000000 88.425 177.2091
508.000000 88.393 177.7725
515.000000 88.366 178.2587
522.000000 88.341 178.7420
530.000000 88.314 179.3032
538.000000 88.289 179.8602
545.000000 88.267 -179.6501
552.000000 88.247 -179.1602
560.000000 88.226 -178.6033
570.000000 88.202 -177.9109
580.000000 88.181 -177.1993
590.000000 88.161 -176.4891
600.000000 88.145 -175.7840
608.000000 88.134 -175.2218
615.000000 88.126 -174.7349
622.000000 88.119 -174.2497
630.000000 88.111 -173.6926
640.000000 88.104 -172.9834
650.000000 88.099 -172.2700
660.000000 88.098 -171.5545
670.000000 88.099 -170.8428
680.000000 88.102 -170.1400
690.000000 88.106 -169.4314
700.000000 88.114 -168.7216
710.000000 88.124 -168.0118
720.000000 88.137 -167.2965
730.000000 88.153 -166.5858
740.000000 88.170 -165.8796
750.000000 88.190 -165.1674
762.000000 88.218 -164.3101
775.000000 88.254 -163.3884
788.000000 88.295 -162.4661
800.000000 88.337 -161.6246
812.000000 88.385 -160.7870
825.000000 88.440 -159.8925
838.000000 88.499 -159.0026
850.000000 88.558 -158.1914
862.000000 88.622 -157.3967
875.000000 88.697 -156.5556
885.000000 88.758 -155.9200
900.000000 88.855 -154.9833
912.000000 88.938 -154.2570
925.000000 89.033 -153.4972
938.000000 89.131 -152.7704
950.000000 89.224 -152.1193
962.000000 89.321 -151.4937
975.000000 89.430 -150.8510
988.000000 89.542 -150.2450
1000.000000 89.646 -149.7173
1015.000000 89.780 -149.0997
1030.000000 89.916 -148.5226
1044.000000 90.044 -148.0266
1060.000000 90.189 -147.5042
1075.000000 90.326 -147.0590
1090.000000 90.463 -146.6484
1106.000000 90.609 -146.2441
1120.000000 90.734 -145.9233
1138.000000 90.895 -145.5538
1150.000000 91.002 -145.3231
1172.000000 91.195 -144.9235
1180.000000 91.264 -144.7866
1206.000000 91.492 -144.3692
1220.000000 91.616 -144.1551
1241.000000 91.804 -143.8451
1250.000000 91.887 -143.7173
1265.000000 92.027 -143.5177
1280.000000 92.173 -143.3425
1315.000000 92.535 -143.0574
1320.000000 92.589 -143.0379
1340.000000 92.812 -143.0335
1360.000000 93.040 -143.1775
1380.000000 93.269 -143.4919
1400.000000 93.489 -143.9856
1430.000000 93.786 -145.0049
1450.000000 93.956 -145.8019
1475.000000 94.135 -146.8465
1500.000000 94.281 -147.8705
1525.000000 94.405 -148.8255
1550.000000 94.513 -149.6991
1575.000000 94.613 -150.5010
1600.000000 94.707 -151.2527
1625.000000 94.799 -151.9672
1650.000000 94.889 -152.6621
1675.000000 94.978 -153.3473
1700.000000 95.066 -154.0345
1725.000000 95.151 -154.7316
1750.000000 95.235 -155.4418
1775.000000 95.316 -156.1699
1800.000000 95.393 -156.9172
1825.000000 95.466 -157.6850
1850.000000 95.534 -158.4716
1875.000000 95.597 -159.2761
1900.000000 95.655 -160.0996
1925.000000 95.708 -160.9412
1950.000000 95.754 -161.8003
1975.000000 95.794 -162.6739
2000.000000 95.827 -163.5605
2030.000000 95.858 -164.6453
2060.000000 95.879 -165.7485
2090.000000 95.887 -166.8693
2120.000000 95.882 -168.0054
2140.000000 95.870 -168.7684
2180.000000 95.824 -170.2954
2200.000000 95.788 -171.0477
2240.000000 95.688 -172.4861
2270.000000 95.587 -173.4587
2300.000000 95.469 -174.2946
2330.000000 95.339 -174.9593
2360.000000 95.206 -175.4398
2400.000000 95.036 -175.8193
2430.000000 94.923 -175.9520
2470.000000 94.794 -176.0037
2500.000000 94.713 -175.9906
2540.000000 94.622 -175.9457
2580.000000 94.548 -175.8932
2620.000000 94.484 -175.8413
2650.000000 94.442 -175.8024
2690.000000 94.393 -175.7508
2720.000000 94.360 -175.7119
2760.000000 94.321 -175.6577
2800.000000 94.289 -175.5996
2850.000000 94.257 -175.5247
2900.000000 94.236 -175.4536
2950.000000 94.225 -175.3963
3000.000000 94.226 -175.3651
3040.000000 94.235 -175.3700
3070.000000 94.246 -175.3977
3110.000000 94.267 -175.4730
3150.000000 94.294 -175.6016
3200.000000 94.336 -175.8574
3250.000000 94.384 -176.2435
3300.000000 94.434 -176.7825
3350.000000 94.483 -177.4960
3400.000000 94.524 -178.4061
3450.000000 94.548 -179.5342
3500.000000 94.546 179.1056
3550.000000 94.501 177.5259
3600.000000 94.395 175.7932
3650.000000 94.214 174.0369
3700.000000 93.952 172.4428
3750.000000 93.613 171.2205
3820.000000 93.055 170.4806
3870.000000 92.642 170.7715
3950.000000 92.057 172.5408
4000.000000 91.782 174.2127
4060.000000 91.559 176.4498
4120.000000 91.443 178.6506
4180.000000 91.410 -179.3867
4250.000000 91.441 -177.5254
4310.000000 91.501 -176.3170
4370.000000 91.570 -175.4389
4440.000000 91.644 -174.7634
4500.000000 91.693 -174.4093
4550.000000 91.719 -174.2212
4620.000000 91.734 -174.0454
4680.000000 91.730 -173.9275
4750.000000 91.709 -173.8048
4820.000000 91.676 -173.6911
4870.000000 91.643 -173.6089
4940.000000 91.585 -173.4776
5000.000000 91.526 -173.3378
5080.000000 91.436 -173.0899
5150.000000 91.348 -172.8046
5220.000000 91.254 -172.4511
5300.000000 91.138 -171.9516
5380.000000 91.018 -171.3338
5450.000000 90.911 -170.6812
5520.000000 90.806 -169.9139
5600.000000 90.692 -168.8942
